Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000120705,ETF1,37,-0.5788,46,-0.1871,44,-0.2654,50,-0.0867,42,-0.3776,75,0.57851,60,0.22042,60,0.21108,83,0.73625
ENSG00000113013,HSPA9,131,-0.8998,280,0.35471,326,0.60292,186,-0.2941,169,-0.4826,277,0.33581,356,0.75130,230,0.04146,213,-0.0829
ENSG00000044115,CTNNA1,78,0.03762,63,-0.2994,86,0.17431,53,-0.5700,75,-0.0386,46,-0.7962,44,-0.8469,139,0.96983,106,0.52565
ENSG00000146006,LRRTM2,31,-0.7342,85,0.91389,51,0.08406,42,-0.2246,44,-0.1722,76,0.72588,34,-0.5260,65,0.46369,30,-0.7487
ENSG00000120725,SIL1,10,-1.1198,22,0.18979,28,0.56195,11,-0.8469,19,-0.0744,37,1.04817,30,0.68557,10,-0.9285,19,-0.0256
ENSG00000120727,PAIP2,140,-0.6193,148,-0.4912,220,0.13781,289,0.57856,184,-0.1657,205,0.02048,208,0.04355,262,0.41840,243,0.29666
ENSG00000170464,DNAJC18,51,-0.6489,67,-0.1784,94,0.35469,78,0.05034,78,0.04552,88,0.24201,82,0.13533,108,0.57848,55,-0.4948
ENSG00000131508,UBE2D2,70,-0.4460,63,-0.5736,51,-0.8872,107,0.26298,79,-0.2447,116,0.39502,131,0.59817,69,-0.4281,163,0.96754
ENSG00000171604,CXXC5,158,-0.4735,212,0.03365,192,-0.1287,334,0.77046,224,0.13162,212,0.03346,132,-0.7038,258,0.34397,184,-0.1907
ENSG00000146005,PSD2,88,0.88305,31,-0.8600,57,0.07393,20,-1.5252,17,-1.8696,12,-2.2379,30,-0.9078,157,1.80689,85,0.70771
ENSG00000185129,PURA,155,-0.4927,327,0.74605,358,0.89967,158,-0.4226,236,0.23766,205,-0.0142,138,-0.6288,205,-0.0130,101,-1.0954
ENSG00000182700,IGIP,71,-0.6652,87,-0.2946,113,0.11868,160,0.69050,92,-0.2238,115,0.14673,99,-0.0858,139,0.45425,114,0.13049
ENSG00000120306,CYSTM1,94,0.54533,42,-0.7694,46,-0.6444,51,-0.4760,48,-0.6404,48,-0.5897,99,0.56935,87,0.34598,110,0.74382
ENSG00000113068,PFDN1,72,-0.6167,75,-0.4861,107,0.05301,93,-0.1529,105,0.03252,114,0.15775,208,1.16523,89,-0.2235,94,-0.1505
ENSG00000131503,ANKHD1,74,-0.4476,225,1.43237,152,0.74310,77,-0.3392,73,-0.4702,84,-0.2009,74,-0.4096,83,-0.2184,67,-0.5654
ENSG00000213523,SRA1,22,-0.4124,28,-0.0369,17,-0.7457,31,0.15158,31,0.13786,28,-0.0391,34,0.28826,28,-0.0095,40,0.54729
ENSG00000113108,APBB3,11,-1.3440,28,0.08917,12,-1.1658,39,0.61077,22,-0.3269,34,0.40929,48,0.94870,20,-0.4645,45,0.83210
ENSG00000176087,SLC35A4,21,0.09554,21,0.09131,13,-0.6445,15,-0.4362,22,0.18905,11,-0.7920,24,0.30548,21,0.10787,26,0.43235
ENSG00000131495,NDUFA2,148,-0.0302,79,-0.9849,97,-0.6864,152,0.01332,133,-0.2193,154,0.03632,176,0.24999,141,-0.1048,296,1.11818
ENSG00000113141,IK,98,-0.5610,173,0.37549,238,0.90930,113,-0.3026,105,-0.4434,180,0.44304,161,0.26219,122,-0.1749,109,-0.3542
ENSG00000120314,WDR55,10,-0.0774,8,-0.3330,12,0.17348,9,-0.2426,11,0.02324,10,-0.0402,16,0.67396,7,-0.5952,12,0.16263
ENSG00000170445,HARS,54,-0.7577,83,-0.0464,68,-0.3542,101,0.26924,93,0.15729,99,0.24323,102,0.27846,79,-0.1200,111,0.42789
ENSG00000146007,ZMAT2,180,-0.1503,179,-0.1432,306,0.72313,126,-0.6849,190,-0.0536,276,0.54867,198,0.01491,181,-0.1321,152,-0.3978
ENSG00000081818,PCDHB4,11,0.00229,14,0.38861,16,0.63901,7,-0.6476,8,-0.4438,10,-0.2115,6,-0.8128,9,-0.2510,19,0.88771
ENSG00000177839,PCDHB9,6,-0.8112,17,0.80904,10,-0.1348,20,1.04773,4,-1.2953,15,0.57269,11,0.06596,15,0.55225,5,-0.9697
ENSG00000120324,PCDHB10,7,-0.9539,10,-0.3458,20,0.67904,21,0.79538,15,0.25034,16,0.33329,12,-0.0983,7,-0.9176,12,-0.1708
ENSG00000120327,PCDHB14,8,-0.8493,23,0.78463,18,0.31606,11,-0.4132,6,-1.2551,24,0.78906,11,-0.4567,30,1.19903,12,-0.2910
ENSG00000178913,TAF7,74,-0.9436,182,0.54754,162,0.35063,96,-0.4772,130,0.00869,193,0.63924,125,-0.0572,140,0.11602,123,-0.0905
ENSG00000131504,DIAPH1,37,0.39069,37,0.34546,43,0.59405,7,-2.0709,19,-0.7785,24,-0.3358,24,-0.3278,55,1.00535,26,-0.2377
ENSG00000171720,HDAC3,12,-0.8284,22,0.12184,12,-0.8065,18,-0.1393,24,0.33363,30,0.60965,26,0.40668,16,-0.3915,25,0.36759
ENSG00000164620,RELL2,18,-1.0104,28,-0.2972,12,-1.5628,47,0.51363,47,0.60361,26,-0.3986,70,1.18864,10,-1.8387,49,0.60424
ENSG00000081791,DELE1,22,-0.0153,29,0.39319,11,-1.0355,24,0.11350,18,-0.3454,20,-0.1830,28,0.34904,19,-0.3015,35,0.72319
ENSG00000013561,RNF14,26,-1.0235,32,-0.6423,24,-1.0694,113,1.40303,36,-0.5112,59,0.30558,55,0.18459,59,0.30751,70,0.57380
ENSG00000113552,GNPDA1,20,-0.6384,26,-0.1902,23,-0.3849,34,0.22960,38,0.44177,42,0.55548,32,0.09452,22,-0.4508,31,0.04948
ENSG00000131507,NDFIP1,319,-0.9309,437,-0.3801,366,-0.6536,727,0.42956,553,-0.0137,785,0.55548,948,0.87267,572,0.04181,546,-0.0308
ENSG00000187678,SPRY4,9,-0.2551,9,-0.1618,13,0.38835,15,0.63797,7,-0.6560,5,-0.9883,17,0.82360,11,0.16584,10,-0.0559
ENSG00000113578,FGF1,97,1.02433,42,-0.4685,66,0.23279,49,-0.2176,72,0.43008,7,-3.0868,23,-1.3815,60,0.09518,38,-0.6113
ENSG00000145819,ARHGAP26,99,-0.7781,298,1.04548,213,0.48431,108,-0.5891,168,0.11308,197,0.35241,194,0.33047,102,-0.6747,89,-0.8810
ENSG00000113580,NR3C1,77,-0.5625,143,0.45975,118,0.15050,105,-0.0337,119,0.17933,150,0.53268,89,-0.2945,111,0.04629,74,-0.5726
ENSG00000145817,YIPF5,46,-0.1463,65,0.42360,57,0.21885,34,-0.5724,34,-0.6315,62,0.34226,79,0.75734,53,0.09207,37,-0.4459
ENSG00000183775,KCTD16,174,-0.2086,288,0.61944,200,0.02868,42,-2.3099,138,-0.6035,383,1.10242,240,0.31576,308,0.73097,77,-1.4287
ENSG00000133706,LARS,79,-0.5972,186,0.82209,152,0.48860,95,-0.2614,105,-0.1282,146,0.41577,120,0.10246,91,-0.3283,79,-0.5425
ENSG00000091009,RBM27,60,-0.5231,124,0.67048,154,1.03756,62,-0.4240,75,-0.1620,82,0.00303,49,-0.8060,124,0.66777,37,-1.2215
ENSG00000113649,TCERG1,61,-1.2633,349,1.65682,198,0.65544,86,-0.6568,111,-0.2956,154,0.24623,143,0.12952,112,-0.2591,65,-1.0931
ENSG00000156475,PPP2R2B,128,-0.5818,175,-0.0490,185,0.04374,236,0.43640,139,-0.4456,211,0.24967,216,0.29463,161,-0.1753,263,0.61495
ENSG00000113657,DPYSL3,92,0.96598,36,-0.6446,45,-0.3229,26,-1.1226,31,-0.9504,59,0.11571,90,0.79036,57,0.04539,47,-0.2540
ENSG00000176049,JAKMIP2,57,-1.0612,165,0.69556,217,1.16449,77,-0.5249,103,-0.0758,145,0.47669,68,-0.7146,118,0.14188,75,-0.5680
ENSG00000145868,FBXO38,12,-0.9616,28,0.39648,17,-0.3833,30,0.50927,18,-0.3401,24,0.17420,26,0.26544,30,0.49298,25,0.21593
ENSG00000173210,ABLIM3,17,-0.5704,23,-0.0927,21,-0.2492,37,0.63649,37,0.77112,25,0.00746,15,-0.7209,20,-0.3483,20,-0.2896
ENSG00000164284,GRPEL2,11,-0.9933,15,-0.4562,12,-0.7978,27,0.52365,20,0.01758,16,-0.2745,29,0.61554,29,0.60309,28,0.53879
ENSG00000145882,PCYOX1L,6,-2.0206,29,0.44531,20,-0.0807,27,0.38450,16,-0.4741,34,0.72338,40,0.99318,12,-0.8720,31,0.56584
ENSG00000113712,CSNK1A1,139,-0.3096,191,0.22633,202,0.31111,156,-0.1006,153,-0.1376,183,0.15336,200,0.29996,182,0.14207,129,-0.4007
ENSG00000155846,PPARGC1B,5,-1.4550,21,0.76793,16,0.34466,17,0.41255,11,-0.3147,20,0.68838,20,0.68613,8,-0.6742,8,-0.6112
ENSG00000113716,HMGXB3,15,-0.6226,35,0.77811,11,-1.0368,20,-0.0808,21,-0.0518,21,-0.0299,24,0.15538,33,0.68438,21,-0.0118
ENSG00000113721,PDGFRB,35,1.24709,17,-0.0980,18,-0.0349,2,-2.7956,9,-1.1321,1,-3.6761,5,-1.9739,43,1.46384,25,0.51802
ENSG00000011083,SLC6A7,14,-1.2770,29,-0.0500,22,-0.4599,49,0.78702,33,0.12813,43,0.54063,44,0.58200,18,-0.7925,35,0.24281
ENSG00000070808,CAMK2A,649,0.76713,437,0.02642,617,0.58373,275,-0.6931,324,-0.4830,462,0.11596,332,-0.4051,407,-0.0873,252,-0.8268
ENSG00000070814,TCOF1,20,-1.0620,64,0.84290,53,0.52885,30,-0.3485,43,0.22198,51,0.44918,30,-0.3828,37,-0.0540,28,-0.4601
ENSG00000164587,RPS14,767,0.67980,278,-0.9995,316,-0.8027,620,0.24896,469,-0.2167,347,-0.6605,374,-0.5456,532,0.00408,900,0.86551
ENSG00000070614,NDST1,21,0.73902,15,0.08588,13,-0.0281,6,-1.1716,7,-1.0774,17,0.37167,4,-1.7137,23,0.82816,17,0.32746
ENSG00000171992,SYNPO,188,0.78440,77,-0.7180,103,-0.2713,87,-0.5417,109,-0.2089,146,0.27792,111,-0.1654,136,0.15656,99,-0.3328
ENSG00000086589,RBM22,35,-0.4205,44,-0.0089,47,0.07196,53,0.28004,40,-0.2034,45,0.00377,51,0.21677,45,0.01454,57,0.37879
ENSG00000132912,DCTN4,57,-0.3671,64,-0.1695,69,-0.0506,84,0.27219,61,-0.2565,66,-0.1107,100,0.55713,80,0.20162,80,0.19283
ENSG00000211445,GPX3,34,-0.6367,33,-0.6566,40,-0.3718,9,-2.5821,48,-0.0646,38,-0.4372,214,2.64441,12,-2.1768,42,-0.2661
ENSG00000145901,TNIP1,20,-0.5357,16,-0.7631,30,0.14396,18,-0.5864,35,0.46116,27,-0.0059,39,0.57686,21,-0.4223,38,0.52039
ENSG00000197043,ANXA6,77,-1.7548,171,-0.4556,120,-0.9969,215,-0.0936,186,-0.3554,359,0.73577,736,2.04622,107,-1.1618,279,0.32080
ENSG00000196743,GM2A,35,1.12526,9,-1.1405,22,0.18605,15,-0.4173,15,-0.4052,15,-0.4320,8,-1.2978,27,0.51694,17,-0.1752
ENSG00000123643,SLC36A1,7,-1.2834,14,-0.0784,11,-0.4412,31,1.20699,18,0.36299,15,0.01642,25,0.81431,9,-0.6868,8,-0.8807
ENSG00000113140,SPARC,260,2.50188,26,-1.7866,19,-2.2652,50,-0.7925,29,-1.7386,98,0.24192,33,-1.4258,53,-0.7288,73,-0.2287
ENSG00000177556,ATOX1,91,0.14278,31,-1.5217,40,-1.1353,63,-0.4522,70,-0.3048,83,-0.0148,97,0.22994,86,0.03367,202,1.47342
ENSG00000145907,G3BP1,34,-0.4225,58,0.43393,67,0.67288,28,-0.7035,33,-0.5064,41,-0.1162,34,-0.4035,75,0.85111,49,0.16094
ENSG00000155511,GRIA1,49,-1.4106,172,0.65185,89,-0.4033,195,0.85958,98,-0.2841,205,0.95122,72,-0.7145,136,0.26301,104,-0.1578
ENSG00000055147,FAM114A2,14,0.25007,15,0.32278,17,0.60504,4,-1.6678,7,-0.8517,20,0.85052,18,0.64211,11,-0.0828,4,-1.5245
ENSG00000164576,SAP30L,49,0.60913,23,-0.6596,34,-0.0226,30,-0.2344,36,0.06373,19,-0.9282,36,0.06549,41,0.25955,30,-0.2153
ENSG00000155506,LARP1,156,-0.8949,352,0.44966,296,0.16951,278,0.06686,344,0.46334,324,0.31170,198,-0.4603,306,0.22048,176,-0.6444
ENSG00000170271,FAXDC2,39,1.00809,15,-0.6824,27,0.23976,8,-1.5275,28,0.38652,12,-0.9978,16,-0.5450,20,-0.2319,20,-0.2428
ENSG00000155508,CNOT8,33,0.01508,35,0.09627,13,-1.3279,26,-0.3345,24,-0.5321,44,0.47578,54,0.80187,30,-0.1243,43,0.45408
ENSG00000082516,GEMIN5,11,-0.6034,23,0.63496,18,0.23815,9,-0.7782,8,-1.1348,18,0.19234,18,0.24621,35,1.32865,13,-0.2785
ENSG00000082515,MRPL22,14,-0.9193,24,-0.0290,17,-0.6189,16,-0.7061,20,-0.4053,22,-0.1836,44,0.93036,27,0.13542,56,1.34938
ENSG00000170624,SGCD,13,-0.6337,30,0.71251,22,0.19491,3,-2.7042,7,-1.6040,17,-0.1412,18,-0.0683,59,1.91947,22,0.20441
ENSG00000155868,MED7,7,-1.0682,7,-1.0369,11,-0.3550,12,-0.2416,11,-0.4343,22,0.67480,30,1.17454,11,-0.3631,28,1.05503
ENSG00000055163,CYFIP2,301,-0.3999,326,-0.2426,289,-0.4295,410,0.12211,418,0.16868,496,0.42740,432,0.20447,398,0.07402,392,0.04798
ENSG00000155858,LSM11,11,-1.8843,39,0.07734,43,0.21516,60,0.77035,56,0.72758,36,-0.0486,37,-0.0014,33,-0.1962,29,-0.4140
ENSG00000113282,CLINT1,41,-0.6592,77,0.37227,97,0.75124,45,-0.4846,63,0.06036,92,0.66195,67,0.13311,47,-0.4093,39,-0.7080
ENSG00000145860,RNF145,63,-0.8911,135,0.36540,94,-0.2087,107,0.00137,95,-0.2164,201,1.03761,121,0.19561,120,0.18151,86,-0.3495
ENSG00000164332,UBLCP1,35,-1.5269,96,0.08302,85,-0.1009,109,0.29185,108,0.31761,151,0.82429,109,0.29599,79,-0.2147,82,-0.1575
ENSG00000170214,ADRA1B,10,-0.3827,8,-0.5935,6,-1.1692,3,-1.9357,11,-0.2176,23,0.97174,25,1.11201,21,0.82718,10,-0.3800
ENSG00000113312,TTC1,110,-0.6275,161,0.02874,200,0.36909,115,-0.5075,177,0.19538,158,-0.0100,281,0.93634,125,-0.3784,133,-0.2748
ENSG00000170234,PWWP2A,29,-0.2663,77,1.34383,50,0.60864,20,-0.7945,39,0.24085,30,-0.1980,10,-1.7836,34,-0.0298,18,-0.9506
ENSG00000170231,FABP6,9,-1.0920,5,-1.6749,7,-1.3576,48,1.73711,32,1.21458,2,-2.6988,7,-1.2986,12,-0.4779,24,0.53015
ENSG00000164609,SLU7,125,-0.8358,225,0.15263,373,0.98422,208,0.02693,179,-0.2382,290,0.56314,182,-0.1865,221,0.11838,148,-0.5086
ENSG00000145864,GABRB2,262,-1.2622,777,0.52408,955,0.86937,490,-0.2153,547,-0.0474,820,0.61253,650,0.23459,476,-0.2609,394,-0.5526
ENSG00000022355,GABRA1,200,-1.5589,591,0.21028,763,0.62654,506,-0.0377,552,0.11106,676,0.42667,880,0.86825,443,-0.2472,339,-0.6591
ENSG00000280776,LINC01202,4,-1.4355,5,-1.1948,6,-0.9618,26,1.41244,18,0.91509,6,-0.8093,7,-0.7104,4,-1.4249,22,1.13800
ENSG00000113327,GABRG2,108,-1.3613,289,0.24627,262,0.08758,304,0.32710,216,-0.2340,460,1.02001,350,0.55774,184,-0.4630,227,-0.1368
ENSG00000113328,CCNG1,19,-0.2540,10,-1.1620,16,-0.4311,32,0.60136,23,0.12071,16,-0.5048,29,0.44041,31,0.56903,22,-0.0112
ENSG00000170584,NUDCD2,35,0.19607,23,-0.4892,19,-0.7419,35,0.18938,26,-0.3253,36,0.23160,28,-0.1751,39,0.36684,41,0.45427
ENSG00000038274,MAT2B,59,-0.6390,59,-0.5850,86,0.00556,140,0.80553,86,0.00378,82,-0.0718,105,0.32585,76,-0.1942,105,0.33156
ENSG00000145934,TENM2,35,-1.2299,109,0.61441,129,0.88880,60,-0.3519,60,-0.3739,102,0.50424,71,-0.0796,113,0.66695,47,-0.7069
ENSG00000113645,WWC1,47,0.47043,39,0.08981,40,0.14905,25,-0.5949,22,-0.8325,29,-0.3363,31,-0.2672,77,1.22846,22,-0.7642
ENSG00000113643,RARS,24,-0.8675,67,0.81696,41,0.01938,31,-0.4174,26,-0.7573,71,0.90635,59,0.59581,41,0.02110,37,-0.1530
ENSG00000188573,FBLL1,29,-0.9512,35,-0.5884,34,-0.6630,104,1.15105,56,0.14433,48,-0.1341,39,-0.4228,55,0.08341,84,0.79128
ENSG00000120137,PANK3,49,-0.6420,93,0.41115,72,0.00931,85,0.26819,68,-0.0888,86,0.29112,75,0.05471,85,0.26597,60,-0.2865
ENSG00000184347,SLIT3,11,-1.5153,51,1.00810,20,-0.5141,58,1.25186,25,-0.1836,61,1.32157,11,-1.3964,15,-0.8586,15,-0.9205
ENSG00000040275,SPDL1,13,-0.2312,24,0.84027,33,1.34560,10,-0.5715,10,-0.6634,19,0.46078,10,-0.5312,12,-0.2378,5,-1.4050
ENSG00000182132,KCNIP1,15,-0.2085,7,-1.2301,7,-1.1939,15,-0.1651,23,0.59773,6,-1.5444,6,-1.3648,34,1.19554,30,0.98807
ENSG00000181163,NPM1,186,-0.1437,194,-0.0581,267,0.44940,147,-0.4977,180,-0.1972,196,-0.0421,248,0.33287,280,0.52768,155,-0.4126
ENSG00000072803,FBXW11,88,-0.4573,117,0.03299,117,0.03072,104,-0.1521,115,0.00298,133,0.23747,157,0.50623,109,-0.0783,119,0.05583
ENSG00000168246,UBTD2,15,-0.0804,18,0.23456,12,-0.3500,14,-0.1816,13,-0.2740,19,0.37567,15,-0.0539,21,0.51799,14,-0.1235
ENSG00000214357,NEURL1B,23,1.27733,7,-0.7095,7,-0.7682,10,-0.2801,8,-0.7097,8,-0.5733,9,-0.3372,12,0.09295,14,0.28237
ENSG00000120129,DUSP1,42,0.92237,15,-0.8418,24,-0.1174,22,-0.1872,28,0.18933,12,-1.1484,21,-0.2821,23,-0.1212,22,-0.1984
ENSG00000113719,ERGIC1,25,-0.3508,41,0.43653,33,0.11229,28,-0.1781,27,-0.2572,31,0.00760,46,0.61204,34,0.13637,25,-0.3252
ENSG00000037241,RPL26L1,24,-0.6158,29,-0.2875,33,-0.0840,31,-0.1657,28,-0.3721,48,0.51703,67,1.07264,21,-0.7468,49,0.55160
ENSG00000113732,ATP6V0E1,41,0.93565,21,-0.2477,13,-0.9367,9,-1.5271,13,-1.0993,18,-0.5357,24,-0.0520,44,0.93504,37,0.62843
ENSG00000164463,CREBRF,60,-0.6307,146,0.83917,147,0.85061,98,0.18727,87,-0.0180,83,-0.0750,43,-1.0760,115,0.44393,34,-1.4193
ENSG00000145919,BOD1,21,-0.9359,31,-0.2338,17,-1.1500,45,0.33863,42,0.25895,45,0.32825,33,-0.1547,44,0.28578,60,0.81376
ENSG00000113742,CPEB4,122,-0.3536,227,0.66837,240,0.76445,106,-0.5456,173,0.25440,134,-0.1820,74,-1.0797,228,0.67665,52,-1.6032
ENSG00000170091,NSG2,125,-1.2647,218,-0.3237,233,-0.2229,419,0.72370,259,-0.0633,370,0.52015,253,-0.0940,338,0.37241,353,0.44238
ENSG00000184845,DRD1,8,-1.5013,14,-0.6300,7,-1.5845,77,2.19502,18,-0.3333,39,0.93772,11,-1.0598,22,0.00584,17,-0.3558
ENSG00000164466,SFXN1,63,-0.3717,80,0.04574,76,-0.0407,58,-0.4566,84,0.14682,97,0.34652,95,0.32257,78,0.00165,78,0.00031
ENSG00000113749,HRH2,17,-0.8390,38,0.41207,24,-0.2624,33,0.18601,22,-0.4491,47,0.78413,33,0.19871,41,0.56556,24,-0.3191
ENSG00000145920,CPLX2,533,0.81934,265,-0.4062,421,0.32294,252,-0.4861,355,0.05616,235,-0.5948,358,0.06317,273,-0.3598,203,-0.8181
ENSG00000051596,THOC3,10,-1.1715,15,-0.5405,12,-0.8718,30,0.56627,13,-0.7901,38,0.98793,39,1.03320,15,-0.5034,35,0.81860
ENSG00000170085,SIMC1,9,-0.0485,16,0.78748,3,-1.5688,11,0.27869,8,-0.2185,13,0.45057,10,0.09919,5,-0.8971,11,0.25853
ENSG00000122203,KIAA1191,80,-0.4166,93,-0.1543,71,-0.5592,133,0.41792,102,-0.0035,105,0.03409,128,0.35455,87,-0.2594,145,0.56170
ENSG00000175414,ARL10,23,-0.7270,66,1.01759,28,-0.3659,52,0.62746,29,-0.3569,55,0.71231,21,-0.8113,33,-0.1165,31,-0.1929
ENSG00000048162,NOP16,7,-0.5302,4,-1.1796,8,-0.2510,6,-0.6857,6,-0.8774,17,0.84938,16,0.76696,15,0.66961,16,0.76304
ENSG00000146066,HIGD2A,71,0.29586,29,-1.1165,17,-1.9309,64,0.09256,48,-0.3819,62,0.04274,65,0.11621,61,0.02587,126,1.23375
ENSG00000175416,CLTB,119,-0.5174,104,-0.6666,97,-0.7869,210,0.43278,152,-0.0924,178,0.16874,201,0.35945,175,0.13348,259,0.78013
ENSG00000113194,FAF2,39,-0.5096,73,0.53728,76,0.60291,50,-0.0712,51,-0.0330,52,-0.0078,41,-0.3660,68,0.42436,34,-0.6405
ENSG00000146083,RNF44,46,-0.2021,54,0.06856,30,-0.8530,61,0.26315,53,0.04093,53,0.03904,50,-0.0585,59,0.19310,65,0.36557
ENSG00000169258,GPRIN1,23,-0.0802,17,-0.5520,8,-1.5883,29,0.26907,22,-0.1837,31,0.39721,19,-0.3746,31,0.36384,43,0.89830
ENSG00000074317,SNCB,271,-0.6986,291,-0.5326,327,-0.3517,656,0.76757,460,0.20712,399,-0.0437,489,0.28195,374,-0.1458,509,0.34750
ENSG00000048140,TSPAN17,18,-0.4116,19,-0.3148,17,-0.4639,15,-0.6486,25,0.15366,37,0.74735,48,1.17176,12,-1.0452,21,-0.1465
ENSG00000113763,UNC5A,27,-0.4734,30,-0.2789,23,-0.6411,56,0.73123,25,-0.5772,77,1.29070,23,-0.6811,36,0.03343,41,0.23838
ENSG00000087206,UIMC1,13,-0.3134,52,2.09052,18,0.21498,9,-0.8742,14,-0.1483,17,0.11517,9,-0.8405,5,-1.5024,7,-1.1842
ENSG00000113761,ZNF346,14,-0.0343,15,0.00914,25,0.88640,12,-0.3584,13,-0.2472,21,0.53842,6,-1.4044,20,0.51798,9,-0.7612
ENSG00000165671,NSD1,29,-1.1921,134,1.35430,134,1.35488,41,-0.5626,61,0.06118,57,-0.0683,26,-1.2559,56,-0.0859,25,-1.2979
ENSG00000169228,RAB24,7,-0.4821,7,-0.5628,3,-1.5426,15,0.68089,2,-1.9829,21,1.25188,24,1.50171,6,-0.7524,11,0.24116
ENSG00000169230,PRELID1,52,-0.2960,32,-1.0156,26,-1.2972,93,0.65108,39,-0.7566,64,0.05015,89,0.58340,56,-0.1542,138,1.33953
ENSG00000169223,LMAN2,19,-0.5548,28,0.05519,24,-0.1975,41,0.68094,21,-0.4139,28,0.04230,34,0.38755,24,-0.1989,37,0.50091
ENSG00000169220,RGS14,22,0.08753,13,-0.6866,8,-1.4679,28,0.48869,13,-0.7211,26,0.34839,25,0.33450,24,0.23944,33,0.74170
ENSG00000131187,F12,7,-0.7920,11,-0.0132,7,-0.7916,17,0.59759,11,-0.0082,16,0.54437,16,0.50411,2,-2.2133,20,0.89163
ENSG00000198055,GRK6,13,-0.2071,11,-0.4362,17,0.23354,22,0.70148,11,-0.4609,21,0.59404,15,0.02337,13,-0.1293,12,-0.2312
ENSG00000131188,PRR7,15,-0.4560,13,-0.5906,12,-0.8042,26,0.41344,16,-0.3841,32,0.75304,14,-0.4717,32,0.75372,27,0.51925
ENSG00000113758,DBN1,51,-0.1293,40,-0.4847,34,-0.7212,45,-0.3128,54,-0.0159,84,0.69826,54,-0.0063,85,0.71814,49,-0.1791
ENSG00000196923,PDLIM7,15,-0.2325,19,0.17944,10,-0.8060,19,0.17296,11,-0.7751,13,-0.4574,37,1.23381,12,-0.5450,28,0.77881
ENSG00000183258,DDX41,51,0.11068,37,-0.4137,45,-0.0985,44,-0.1345,29,-0.8170,55,0.22651,71,0.62498,47,-0.0315,68,0.55724
ENSG00000146067,FAM193B,16,-0.3172,41,1.26600,14,-0.4683,32,0.81956,14,-0.5564,22,0.23721,15,-0.4000,14,-0.4874,13,-0.5576
ENSG00000184840,TMED9,37,-0.1534,29,-0.5066,25,-0.7437,45,0.15019,30,-0.4869,58,0.56901,54,0.44569,42,0.04831,59,0.60281
ENSG00000027847,B4GALT7,13,-0.4926,13,-0.4732,16,-0.1275,15,-0.1857,20,0.23776,25,0.61051,22,0.38391,15,-0.1849,18,0.07613
ENSG00000170074,FAM153A,3,-2.4962,52,2.07496,2,-2.7284,23,0.63123,6,-1.4125,31,1.11052,17,0.13713,12,-0.3694,16,0.00409
ENSG00000204677,FAM153CP,24,-1.1202,265,3.35519,12,-2.0068,17,-1.4942,27,-0.9091,47,-0.0138,23,-1.1131,24,-1.0181,29,-0.7597
ENSG00000145916,RMND5B,20,-0.1868,13,-0.7667,18,-0.3545,20,-0.1306,22,-0.0026,20,-0.1778,25,0.21156,28,0.36107,36,0.75678
ENSG00000145912,NHP2,96,-0.2416,62,-0.8987,54,-1.0957,102,-0.1215,81,-0.5317,121,0.15076,176,0.75765,179,0.79063,166,0.66368
ENSG00000197451,HNRNPAB,44,-0.4356,55,-0.0662,46,-0.3506,58,0.02837,68,0.30588,57,-0.0032,58,0.00995,56,-0.0396,76,0.44825
ENSG00000113240,CLK4,21,-0.7306,81,1.49169,18,-0.9633,37,0.17354,12,-1.5604,41,0.35997,23,-0.5567,46,0.52769,51,0.68861
ENSG00000169131,ZNF354A,13,-0.1731,31,1.22415,8,-0.9775,14,-0.0495,17,0.21776,19,0.38659,12,-0.2833,9,-0.7431,9,-0.7461
ENSG00000178338,ZNF354B,3,-1.8059,31,2.00427,10,-0.0062,11,0.23601,6,-0.7356,6,-0.6596,2,-1.9082,23,1.37468,5,-0.9607
ENSG00000176783,RUFY1,21,-0.3002,32,0.42124,32,0.38498,24,-0.0817,19,-0.4308,21,-0.2849,29,0.25209,32,0.37507,24,-0.0407
ENSG00000169045,HNRNPH1,72,-0.2008,112,0.52476,86,0.11335,92,0.21035,58,-0.5505,89,0.16074,67,-0.2894,76,-0.0941,104,0.41041
ENSG00000127022,CANX,318,-0.3100,393,0.05092,704,1.01621,393,0.05309,347,-0.1617,375,-0.0212,367,-0.0559,354,-0.1142,268,-0.5450
ENSG00000161013,MGAT4B,34,0.37635,13,-1.1746,7,-2.0879,43,0.69894,24,-0.2799,29,0.08272,34,0.29210,40,0.55888,25,-0.1418
ENSG00000161011,SQSTM1,112,-0.2174,92,-0.5030,89,-0.5488,126,-0.0036,115,-0.1713,127,0.00901,131,0.05489,163,0.40992,211,0.83437
ENSG00000161010,MRNIP,16,-0.1020,18,0.02098,7,-1.3361,26,0.63040,13,-0.4875,16,-0.1117,23,0.45560,11,-0.6808,32,0.96542
ENSG00000197226,TBC1D9B,61,0.04678,57,-0.0819,41,-0.5725,62,0.05562,42,-0.5921,48,-0.3264,100,0.83577,50,-0.2716,92,0.69759
