Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000120742,SERP1,50,-0.8266,77,-0.1665,59,-0.5765,99,0.24411,42,-1.0820,64,-0.4501,143,0.81508,121,0.54651,92,0.10010,93,0.13320
ENSG00000144895,EIF2A,67,-0.0994,79,0.16308,105,0.60647,97,0.54066,91,0.38714,60,-0.2759,43,-0.7889,58,-0.3326,51,-0.5170,55,-0.4294
ENSG00000198843,SELENOT,98,-0.6310,81,-0.9211,118,-0.3434,147,-0.0094,130,-0.1968,180,0.31561,163,0.16235,123,-0.2766,208,0.54892,187,0.42320
ENSG00000181788,SIAH2,10,-1.0852,15,-0.4877,4,-2.4835,21,-0.0324,24,0.18534,28,0.43554,28,0.42698,16,-0.4306,19,-0.1873,34,0.88157
ENSG00000144893,MED12L,25,-0.4596,43,0.38154,24,-0.5350,60,1.07824,38,0.17727,9,-1.9993,28,-0.2734,23,-0.6012,39,0.24976,27,-0.3372
ENSG00000152601,MBNL1,88,-0.5151,110,-0.1819,75,-0.7590,175,0.63013,149,0.29613,121,-0.0299,97,-0.3716,117,-0.0846,142,0.22147,115,-0.1135
ENSG00000169860,P2RY1,24,0.62054,31,1.03491,18,0.12126,2,-3.1494,13,-0.3773,22,0.47773,67,2.46666,9,-0.8966,6,-1.5537,1,-3.3297
ENSG00000181467,RAP2B,14,-0.9470,13,-0.9606,2,-3.7130,53,1.37170,24,-0.1112,21,-0.3017,19,-0.4580,16,-0.7071,17,-0.6404,38,0.70735
ENSG00000243069,ARHGEF26-AS1,30,0.79287,67,2.25496,14,-0.3801,5,-2.0562,16,-0.2116,12,-0.6737,38,1.18532,12,-0.6095,6,-1.5613,7,-1.5009
ENSG00000114790,ARHGEF26,53,1.04641,73,1.60399,19,-0.6248,10,-1.6272,16,-0.8493,14,-1.0758,102,2.23378,11,-1.3881,8,-1.8499,10,-1.6007
ENSG00000174953,DHX36,213,0.24349,198,0.12873,153,-0.2705,233,0.43676,261,0.57275,249,0.49995,97,-0.9697,101,-0.9073,244,0.46824,103,-0.9472
ENSG00000114805,PLCH1,9,-1.0104,37,1.19003,4,-2.1377,12,-0.6370,23,0.39860,0,-4.7350,11,-0.7034,22,0.32939,41,1.34447,21,0.29914
ENSG00000174928,C3orf33,11,-0.4495,7,-1.1129,27,0.89869,19,0.36826,20,0.42481,20,0.43316,13,-0.2157,8,-0.9921,20,0.39141,10,-0.7511
ENSG00000169359,SLC33A1,36,0.33537,21,-0.4885,57,1.07869,28,-0.0996,17,-0.8143,32,0.14516,25,-0.2613,14,-1.0505,22,-0.3990,35,0.32490
ENSG00000163655,GMPS,19,-1.6944,63,0.10777,73,0.32566,82,0.57471,50,-0.2581,65,0.14906,52,-0.2102,60,0.02130,77,0.41695,44,-0.5000
ENSG00000169282,KCNAB1,6,-3.1064,57,0.23811,23,-1.1357,46,-0.1268,63,0.38902,27,-0.9260,38,-0.3945,57,0.23217,60,0.31776,84,0.98212
ENSG00000114850,SSR3,98,0.29214,72,-0.1948,110,0.47684,81,-0.0258,60,-0.4693,66,-0.3226,110,0.47340,73,-0.1673,85,0.05403,72,-0.2128
ENSG00000163660,CCNL1,122,1.77594,72,0.83411,12,-1.8615,28,-0.6917,68,0.73563,51,0.29145,31,-0.4759,15,-1.5940,26,-0.7434,29,-0.6241
ENSG00000174891,RSRC1,170,0.36508,194,0.58114,111,-0.3025,169,0.40345,147,0.13825,141,0.07114,71,-0.9900,101,-0.4406,211,0.72416,66,-1.1556
ENSG00000178053,MLF1,8,-1.3840,24,0.31939,13,-0.6779,16,-0.3150,26,0.44299,19,-0.0920,25,0.35312,11,-0.8230,22,0.15938,29,0.64733
ENSG00000168827,GFM1,43,-0.2685,48,-0.0891,20,-1.4261,78,0.76483,35,-0.5830,30,-0.8218,51,-0.0050,50,-0.0484,76,0.63793,52,0.04260
ENSG00000118855,MFSD1,19,0.30940,23,0.62865,8,-1.0532,5,-1.7099,13,-0.3170,7,-1.1948,23,0.61072,13,-0.3115,30,1.05956,21,0.49830
ENSG00000240207,AC080013.1,3,-2.0986,7,-0.8774,6,-0.9798,8,-0.7983,16,0.39594,9,-0.4993,7,-0.8724,13,0.08949,15,0.22918,30,1.65103
ENSG00000180044,C3orf80,4,-4.1752,21,-1.6927,58,-0.2107,121,1.11363,67,0.02192,86,0.40404,44,-0.6170,45,-0.6141,67,0.00703,82,0.36793
ENSG00000068885,IFT80,34,-0.5750,43,-0.2439,13,-2.0485,74,0.71032,59,0.27375,60,0.28167,45,-0.1708,38,-0.4324,59,0.25441,51,0.02346
ENSG00000113810,SMC4,65,1.69032,41,0.89494,8,-1.5824,35,0.73598,23,-0.0301,23,-0.0103,9,-1.4874,15,-0.6878,13,-0.9235,7,-1.8053
ENSG00000186432,KPNA4,56,-1.0777,73,-0.6728,110,-0.0306,121,0.11980,89,-0.3723,180,0.75049,124,0.15606,99,-0.2037,151,0.46967,114,0.02703
ENSG00000163590,PPM1L,70,-1.1177,65,-1.2252,205,0.54673,217,0.71990,170,0.24246,176,0.30237,104,-0.5242,121,-0.2844,147,0.01481,128,-0.2216
ENSG00000169255,B3GALNT1,18,-1.4978,12,-2.1019,43,-0.2042,60,0.36669,50,0.03828,92,1.01903,59,0.29927,31,-0.7041,42,-0.2262,60,0.35241
ENSG00000169251,NMD3,37,0.16891,29,-0.2034,12,-1.4979,30,-0.1801,36,0.09603,41,0.31846,40,0.25898,26,-0.3857,54,0.77378,33,-0.0194
ENSG00000196542,SPTSSB,1,-4.8737,22,-0.7713,16,-1.2335,30,-0.3761,29,-0.3908,43,0.23537,30,-0.3249,64,0.87762,64,0.88161,58,0.81166
ENSG00000121871,SLITRK3,9,-1.1435,15,-0.4584,3,-2.4963,28,0.56287,40,1.10410,30,0.61473,8,-1.3072,15,-0.4301,19,-0.1303,24,0.26259
ENSG00000244128,LINC01322,12,-1.3783,43,0.55165,41,0.46631,29,-0.0749,57,1.02326,36,0.25189,21,-0.5332,60,1.11217,12,-1.3282,12,-1.5115
ENSG00000169064,ZBBX,0,-4.9584,18,0.19555,16,-0.0162,25,0.79299,44,1.65290,7,-1.2567,4,-1.9416,7,-1.1405,11,-0.6171,18,0.18574
ENSG00000114209,PDCD10,57,0.14871,37,-0.5271,58,0.16516,76,0.67153,39,-0.4445,49,-0.0933,52,-0.0218,36,-0.5892,61,0.24423,43,-0.3273
ENSG00000163536,SERPINI1,160,-2.0683,208,-1.6871,316,-1.0619,833,0.49590,574,-0.1497,747,0.26752,320,-1.0442,481,-0.4238,883,0.53797,1110,1.05071
ENSG00000173905,GOLIM4,393,1.77203,337,1.48569,260,1.03156,72,-1.0669,56,-1.3680,51,-1.5163,170,0.32960,92,-0.6236,63,-1.2013,45,-1.7756
ENSG00000085274,MYNN,13,-0.2042,16,0.15949,15,0.05548,18,0.36998,16,0.20677,11,-0.4165,7,-0.9661,14,-0.0805,10,-0.5788,18,0.35114
ENSG00000008952,SEC62,1195,0.68433,1154,0.62682,1005,0.40162,799,0.04077,843,0.12096,672,-0.2343,558,-0.5204,767,-0.0289,677,-0.2239,451,-0.9089
ENSG00000173889,PHC3,38,0.25972,44,0.48927,41,0.35909,32,-0.0507,31,-0.0720,31,-0.0957,32,-0.0387,10,-1.7322,35,0.12046,33,-0.0014
ENSG00000163558,PRKCI,25,-1.1613,55,0.03652,28,-0.9691,84,0.82448,67,0.34008,52,-0.0338,38,-0.5338,33,-0.7463,90,0.82908,43,-0.3524
ENSG00000136603,SKIL,68,-0.0207,89,0.40479,77,0.18716,113,0.91851,72,0.08617,74,0.11534,40,-0.8257,52,-0.4201,43,-0.7054,41,-0.8586
ENSG00000013297,CLDN11,478,5.65290,0,-8.2951,27,-0.8793,2,-4.3310,0,-6.0702,31,-0.6808,14,-1.7980,1,-5.1991,4,-3.6060,9,-2.6057
ENSG00000013293,SLC7A14,80,-0.1807,51,-0.8793,185,1.18525,92,0.03499,65,-0.4979,172,1.05799,36,-1.3961,49,-0.9301,109,0.29817,74,-0.3188
ENSG00000163584,RPL22L1,13,-0.6323,25,0.33772,28,0.52938,14,-0.5809,8,-1.4137,25,0.30937,51,1.51212,20,0.00612,10,-0.9803,17,-0.2997
ENSG00000163577,EIF5A2,7,-2.5685,39,-0.1628,49,0.19125,38,-0.2130,52,0.29534,24,-0.8700,34,-0.3505,40,-0.1294,106,1.48582,45,0.08124
ENSG00000154310,TNIK,180,0.54450,224,0.90651,204,0.74945,97,-0.4575,168,0.43507,186,0.59973,116,-0.1542,72,-0.8802,59,-1.1847,66,-1.0868
ENSG00000144959,NCEH1,13,-3.1664,99,-0.1692,62,-0.8839,138,0.38481,140,0.37011,108,-0.0399,70,-0.7123,99,-0.1744,200,0.96393,131,0.29512
ENSG00000169760,NLGN1,47,-0.0050,37,-0.3775,39,-0.2834,84,1.07238,76,0.76085,49,0.04757,23,-1.0963,37,-0.3708,26,-0.9222,32,-0.6313
ENSG00000177565,TBL1XR1,120,-0.4464,127,-0.3658,199,0.33971,233,0.67143,157,-0.0322,191,0.27828,132,-0.3004,119,-0.4679,172,0.10574,121,-0.4678
ENSG00000172667,ZMAT3,75,-1.5623,217,0.06139,247,0.26172,255,0.35310,223,0.10026,223,0.09824,216,0.05097,221,0.08483,230,0.15175,174,-0.3148
ENSG00000121879,PIK3CA,59,-0.1629,80,0.32640,66,0.02151,61,-0.1055,67,0.04427,75,0.21156,41,-0.7104,46,-0.5507,118,0.95757,54,-0.3056
ENSG00000121864,ZNF639,32,0.13312,16,-0.8588,18,-0.7345,28,-0.0791,30,0.06535,51,0.92414,35,0.31773,18,-0.7071,12,-1.2601,39,0.54214
ENSG00000171109,MFN1,18,-0.5094,20,-0.3740,9,-1.5077,13,-1.0109,42,0.81940,58,1.37821,23,-0.1383,15,-0.7896,29,0.23492,30,0.32968
ENSG00000114450,GNB4,37,-0.0854,13,-1.6094,108,1.70641,20,-1.0980,30,-0.3996,158,2.47301,31,-0.3308,12,-1.7617,3,-3.5713,18,-1.2634
ENSG00000136522,MRPL47,33,-0.5264,24,-1.0139,37,-0.3300,38,-0.3444,29,-0.7341,42,-0.1369,50,0.12656,61,0.42917,80,0.88049,62,0.52216
ENSG00000136521,NDUFB5,63,-1.1216,89,-0.6172,113,-0.2397,139,0.08449,69,-0.9883,116,-0.2032,157,0.26890,156,0.26269,163,0.32617,192,0.66784
ENSG00000058056,USP13,33,0.44229,18,-0.5016,8,-1.7225,29,0.29843,32,0.40594,33,0.47033,23,-0.0783,24,-0.0402,29,0.25963,19,-0.4528
ENSG00000114757,PEX5L,340,0.32028,170,-0.7619,364,0.42723,371,0.51444,298,0.11128,410,0.62230,139,-1.0661,158,-0.8672,291,0.07247,213,-0.4522
ENSG00000163728,TTC14,174,0.91068,104,0.08025,24,-2.1166,55,-0.9759,346,2.16557,223,1.33491,45,-1.1936,31,-1.7520,46,-1.1726,44,-1.3232
ENSG00000284862,CCDC39,6,-1.6712,40,1.14139,14,-0.4879,11,-0.8816,34,0.83338,26,0.44691,2,-3.0230,13,-0.6304,73,2.24569,3,-2.7454
ENSG00000114416,FXR1,287,1.00184,185,0.28302,183,0.26194,169,0.14793,161,0.06005,165,0.09332,104,-0.6182,100,-0.6743,148,-0.0682,95,-0.8142
ENSG00000205981,DNAJC19,37,-1.0258,29,-1.3767,89,0.30275,90,0.36797,39,-0.9415,41,-0.8716,80,0.14964,88,0.28519,90,0.32006,102,0.59223
ENSG00000242808,SOX2-OT,1825,4.33568,132,-0.8867,246,0.07266,68,-1.9653,42,-2.5662,119,-1.0386,94,-1.3883,67,-1.8795,38,-2.7218,57,-2.2239
ENSG00000181449,SOX2,411,1.79986,361,1.55734,138,-0.0492,53,-1.5836,74,-0.9958,43,-1.7924,355,1.52385,55,-1.4409,57,-1.3927,53,-1.5752
ENSG00000058063,ATP11B,16,0.23295,11,-0.3336,17,0.26517,13,-0.1139,8,-0.8309,18,0.43332,13,-0.0582,8,-0.7304,17,0.33427,16,0.21762
ENSG00000043093,DCUN1D1,47,-0.2814,66,0.25245,69,0.30804,51,-0.1832,39,-0.5777,70,0.34181,57,0.00576,41,-0.4788,74,0.42047,57,0.01070
ENSG00000078070,MCCC1,19,-0.3203,23,-0.0352,14,-0.7078,17,-0.5326,16,-0.5485,18,-0.3478,28,0.27002,22,-0.0886,36,0.69912,34,0.69913
ENSG00000053524,MCF2L2,27,0.18990,57,1.39307,19,-0.4103,28,0.26244,31,0.38587,9,-1.5153,15,-0.7106,36,0.62758,21,-0.2554,10,-1.3607
ENSG00000114796,KLHL24,118,0.84577,83,0.27515,83,0.26671,48,-0.6215,83,0.28106,78,0.17956,79,0.19066,58,-0.2980,61,-0.2155,49,-0.5725
ENSG00000163872,YEATS2,29,-0.4743,14,-1.5800,17,-1.2858,36,-0.1544,45,0.17833,61,0.66571,38,-0.0629,57,0.55781,44,0.15046,51,0.42565
ENSG00000180834,MAP6D1,118,1.96061,5,-2.8944,8,-2.3100,46,0.38974,15,-1.4006,37,0.00927,10,-1.9189,41,0.14445,38,0.04677,41,0.16527
ENSG00000175193,PARL,27,-0.5874,47,0.28530,20,-1.0096,41,0.08821,32,-0.3160,23,-0.8123,46,0.25848,43,0.15706,49,0.34272,51,0.44424
ENSG00000114770,ABCC5,28,-1.1862,38,-0.7632,16,-2.0013,56,-0.1833,108,0.90274,101,0.78633,35,-0.8502,62,-0.0021,87,0.54524,78,0.40726
ENSG00000145191,EIF2B5,20,-0.8417,24,-0.5939,17,-1.0528,31,-0.1857,38,0.11246,14,-1.3416,33,-0.1157,25,-0.4995,75,1.24142,56,0.84680
ENSG00000161202,DVL3,26,-0.1295,14,-1.0427,27,-0.0708,25,-0.1934,10,-1.4960,19,-0.6329,57,1.12759,40,0.52586,23,-0.3531,37,0.47898
ENSG00000161203,AP2M1,127,-1.9534,197,-1.3080,295,-0.6993,531,0.23489,302,-0.6642,514,0.15881,519,0.17532,473,0.02967,580,0.35341,752,0.88438
ENSG00000161204,ABCF3,14,-0.7128,11,-1.0634,6,-2.0541,20,-0.2567,20,-0.2299,19,-0.3179,17,-0.5115,18,-0.3768,46,1.11539,44,1.17511
ENSG00000145198,VWA5B2,13,-0.4380,18,0.04819,9,-0.9931,6,-1.7398,39,1.25426,18,0.02698,22,0.32099,23,0.39347,12,-0.6140,24,0.52367
ENSG00000163888,CAMK2N2,25,-1.0471,46,-0.1386,25,-1.0628,27,-1.0428,49,-0.0649,25,-1.0820,64,0.35908,81,0.75598,55,0.12156,93,1.11837
ENSG00000175166,PSMD2,86,-0.9638,128,-0.3633,147,-0.1474,169,0.07643,110,-0.5942,163,0.01973,209,0.41535,163,0.01184,273,0.85062,160,-0.0138
ENSG00000114867,EIF4G1,113,0.22366,123,0.35391,87,-0.1844,114,0.26434,101,0.04950,103,0.07373,73,-0.4461,79,-0.3323,125,0.38943,72,-0.5178
ENSG00000175182,FAM131A,34,-1.8762,33,-1.9199,74,-0.7148,151,0.43309,112,-0.0791,218,1.00044,103,-0.2108,105,-0.1830,99,-0.2690,168,0.63548
ENSG00000163882,POLR2H,17,-1.2714,16,-1.3235,28,-0.5484,40,0.02560,37,-0.1046,58,0.60577,44,0.15992,29,-0.4943,40,0.01398,63,0.84724
ENSG00000090539,CHRD,1,-4.3575,7,-2.0220,19,-0.5170,29,0.14553,53,1.09585,14,-1.0165,33,0.34204,33,0.31713,17,-0.6929,43,0.87821
ENSG00000177383,MAGEF1,30,-1.0607,36,-0.7942,61,0.01454,96,0.82837,33,-0.9068,51,-0.2632,76,0.35162,47,-0.3947,54,-0.1737,74,0.34341
ENSG00000156931,VPS8,34,-0.0041,22,-0.6460,13,-1.4011,28,-0.3242,24,-0.5079,49,0.59479,35,0.05261,41,0.28483,45,0.44853,44,0.44424
ENSG00000187068,C3orf70,33,0.83725,29,0.63567,30,0.67513,7,-1.5067,16,-0.3078,7,-1.5644,54,1.68691,20,0.02522,8,-1.2629,11,-0.8777
ENSG00000073803,MAP3K13,97,-0.1453,152,0.56924,99,-0.1064,111,0.07957,108,0.01819,59,-0.9054,93,-0.2181,164,0.69563,107,0.00602,88,-0.3236
ENSG00000163900,TMEM41A,21,0.36241,11,-0.6570,11,-0.5878,22,0.51331,18,0.07922,14,-0.2684,18,0.11402,8,-1.1027,9,-0.9601,23,0.57148
ENSG00000163904,SENP2,62,-0.2610,86,0.24143,87,0.27600,94,0.43452,72,-0.0217,68,-0.1184,41,-0.8823,77,0.06532,65,-0.1920,68,-0.1416
ENSG00000136527,TRA2B,105,0.31294,70,-0.3159,58,-0.6240,52,-0.8229,121,0.54103,107,0.34170,100,0.22656,76,-0.1999,69,-0.3516,113,0.47134
ENSG00000244405,ETV5,16,-1.4040,39,-0.0516,28,-0.5418,33,-0.3500,57,0.55902,38,-0.0875,65,0.78122,25,-0.7294,33,-0.2982,58,0.65005
ENSG00000058866,DGKG,42,0.33878,9,-2.0078,88,1.57439,38,0.17257,23,-0.5748,82,1.44950,36,0.06535,4,-3.0909,6,-2.4784,22,-0.7258
ENSG00000090520,DNAJB11,38,0.82812,19,-0.2935,11,-1.0671,20,-0.2052,21,-0.1241,29,0.40996,9,-1.3945,14,-0.7290,36,0.76040,27,0.31236
ENSG00000156976,EIF4A2,232,-1.9368,390,-1.1638,599,-0.5151,969,0.26215,767,-0.1334,847,0.02304,743,-0.1822,816,-0.0365,1125,0.47588,1281,0.77990
ENSG00000073849,ST6GAL1,15,-0.5538,15,-0.5760,6,-1.8607,10,-1.2317,29,0.41042,30,0.47949,34,0.67947,26,0.25204,21,-0.0816,35,0.79132
ENSG00000157005,SST,49,0.46475,72,1.10652,23,-0.6932,19,-1.0894,10,-1.9832,2,-4.3108,49,0.47566,10,-1.8653,2,-3.8502,92,1.83138
ENSG00000113916,BCL6,42,0.75075,52,1.09330,17,-0.6631,10,-1.5499,5,-2.4342,6,-2.1631,48,0.96809,23,-0.2211,49,1.00293,27,0.06236
ENSG00000145012,LPP,52,0.33826,117,1.72441,30,-0.5059,19,-1.2805,42,-0.0093,17,-1.3576,82,1.09066,28,-0.6116,54,0.41768,21,-1.0890
ENSG00000152492,CCDC50,140,1.84671,68,0.59365,42,-0.1624,26,-0.9363,48,0.03828,40,-0.2448,55,0.24981,47,0.00293,30,-0.6877,20,-1.3638
ENSG00000114279,FGF12,175,-1.5086,518,0.15031,440,-0.1068,658,0.60016,574,0.31233,447,-0.0808,241,-1.0289,365,-0.3977,772,0.79795,403,-0.2656
ENSG00000127249,ATP13A4,32,0.22851,46,0.84856,19,-0.5331,2,-3.7508,20,-0.4779,7,-1.9753,150,3.18049,5,-2.4052,7,-2.0499,19,-0.6181
ENSG00000198836,OPA1,81,-1.0721,122,-0.4595,142,-0.2216,199,0.34097,159,-0.0525,167,0.02953,120,-0.4904,148,-0.1616,276,0.83926,178,0.14168
ENSG00000114315,HES1,142,2.22790,76,1.05685,29,-0.4755,13,-1.7281,31,-0.3798,12,-1.7831,121,1.90016,10,-1.9801,4,-3.3235,11,-1.9857
ENSG00000133657,ATP13A3,27,-0.5216,27,-0.4777,23,-0.7680,38,0.01673,58,0.70789,68,0.94906,34,-0.1510,15,-1.3223,34,-0.1592,44,0.28165
ENSG00000041802,LSG1,28,0.31209,32,0.51097,9,-1.4195,29,0.38252,25,0.12773,26,0.17289,12,-0.9602,22,-0.0807,33,0.54525,16,-0.5526
ENSG00000114331,ACAP2,154,1.16827,132,0.90271,62,-0.3119,63,-0.2989,95,0.36094,108,0.57728,67,-0.1837,24,-1.7066,65,-0.2223,36,-1.2109
ENSG00000184203,PPP1R2,54,-0.6715,42,-1.0521,69,-0.2856,105,0.41329,87,0.06950,62,-0.4429,67,-0.3429,56,-0.6105,115,0.51192,118,0.63255
ENSG00000189058,APOD,960,2.96417,76,-1.4199,188,-0.0344,92,-1.2055,67,-1.5873,228,0.26992,228,0.26668,98,-1.0350,70,-1.5321,105,-0.9963
ENSG00000061938,TNK2,33,-0.9132,62,0.06959,32,-0.9679,30,-1.1430,67,0.17017,47,-0.3737,77,0.40255,120,1.14233,42,-0.5240,89,0.71512
ENSG00000072274,TFRC,23,-1.6029,83,0.32950,38,-0.8774,28,-1.4064,59,-0.2143,67,-0.0233,105,0.70728,74,0.13625,115,0.85034,96,0.62263
ENSG00000161217,PCYT1A,54,0.68255,48,0.50530,39,0.18523,22,-0.7838,48,0.50166,22,-0.7037,32,-0.1452,20,-0.8531,48,0.48206,33,-0.1008
ENSG00000213123,TCTEX1D2,16,-1.4996,23,-0.9555,39,-0.1380,50,0.24982,21,-1.1090,75,0.88761,40,-0.1031,46,0.08511,23,-0.9400,68,0.81290
ENSG00000163960,UBXN7,91,0.89170,72,0.50798,62,0.26553,49,-0.1234,60,0.21871,92,0.90116,28,-0.9770,22,-1.3284,50,-0.0761,28,-1.0464
ENSG00000163961,RNF168,91,0.34837,112,0.67619,119,0.77635,71,-0.0425,50,-0.5812,80,0.14236,32,-1.2387,84,0.21762,93,0.38053,37,-1.1045
ENSG00000174013,FBXO45,59,-0.0367,49,-0.3071,45,-0.4629,98,0.89419,47,-0.3843,62,0.05315,40,-0.6320,67,0.17313,60,-0.0085,49,-0.3613
ENSG00000163964,PIGX,70,-0.4922,91,-0.0751,94,-0.0335,111,0.25028,100,0.06279,129,0.47169,95,-0.0106,86,-0.1619,95,-0.0168,85,-0.2139
ENSG00000174007,CEP19,13,-0.5973,16,-0.3454,9,-1.1308,23,0.27530,28,0.51432,20,-0.0238,8,-1.2864,23,0.23916,34,0.86249,20,0.03563
ENSG00000180370,PAK2,158,1.49105,95,0.61504,60,-0.1222,53,-0.3294,29,-1.2119,67,0.07025,48,-0.4700,39,-0.7529,70,0.12057,51,-0.3922
ENSG00000119231,SENP5,39,-0.8930,68,-0.0243,59,-0.2609,83,0.31707,109,0.72510,67,-0.0633,48,-0.5524,60,-0.2232,73,0.07774,72,0.05928
ENSG00000114503,NCBP2,50,-0.5006,70,0.03288,61,-0.1820,90,0.46618,65,-0.0963,51,-0.4547,84,0.31833,68,-0.0336,85,0.33753,57,-0.3348
ENSG00000270170,NCBP2AS2,15,-1.6948,10,-2.1998,19,-1.3254,60,0.47099,19,-1.2990,37,-0.3128,39,-0.2356,57,0.34797,69,0.64009,82,1.08526
ENSG00000119227,PIGZ,1,-3.3074,1,-3.1693,3,-2.1744,8,-1.0845,26,0.78438,22,0.55280,36,1.36039,14,-0.1931,17,0.15400,25,0.86617
ENSG00000075711,DLG1,347,1.37783,150,-0.0148,176,0.24561,144,-0.0812,186,0.33226,162,0.10915,87,-0.8547,94,-0.7375,92,-0.7659,116,-0.4494
ENSG00000161267,BDH1,13,-1.2250,18,-0.8003,9,-1.7472,24,-0.4075,29,-0.0607,45,0.61109,39,0.37613,27,-0.2052,61,1.13307,38,0.39829
ENSG00000145016,RUBCN,44,0.05341,39,-0.1662,36,-0.2895,40,-0.1389,43,0.02005,38,-0.2009,24,-0.8806,39,-0.1558,52,0.30740,61,0.61587
ENSG00000122068,FYTTD1,88,0.49884,44,-0.5854,60,-0.0985,93,0.66724,58,-0.1586,47,-0.4784,30,-1.1562,71,0.15299,67,0.05490,60,-0.1150
ENSG00000186001,LRCH3,63,1.54782,48,1.08994,10,-1.3250,16,-0.6953,28,0.20299,23,-0.1142,28,0.18220,12,-1.1054,20,-0.3529,16,-0.6909
ENSG00000114473,IQCG,27,0.48972,19,-0.1195,52,1.56756,21,0.08989,16,-0.3064,20,0.03638,18,-0.1816,11,-0.9380,8,-1.2871,13,-0.6559
ENSG00000182899,RPL35A,504,-0.2361,602,0.04315,1034,0.92246,496,-0.2843,190,-1.7086,263,-1.2232,839,0.57515,916,0.71981,364,-0.7358,664,0.21925
ENSG00000185621,LMLN,12,-0.8027,11,-0.9785,12,-0.8393,26,0.40254,45,1.24629,24,0.23481,12,-0.8228,15,-0.4769,37,0.91622,15,-0.5766
ENSG00000131127,ZNF141,15,0.11826,17,0.37551,16,0.24153,12,-0.2715,20,0.59716,27,1.09325,12,-0.2317,13,-0.0473,4,-1.8514,8,-0.7714
ENSG00000182903,ZNF721,62,0.21438,63,0.23249,29,-0.9731,49,-0.1671,78,0.56308,94,0.88602,50,-0.1296,43,-0.3800,39,-0.5226,49,-0.1934
ENSG00000174227,PIGG,14,-0.4636,3,-2.5878,0,-5.3366,12,-0.7354,38,1.17662,45,1.43673,23,0.36367,10,-0.8741,14,-0.4717,26,0.59746
ENSG00000273238,TMEM271,11,-2.0619,42,-0.1420,71,0.69288,49,0.12786,57,0.35749,37,-0.3355,38,-0.2947,58,0.36947,18,-1.4218,60,0.46780
ENSG00000169020,ATP5ME,588,-0.0997,513,-0.3122,761,0.30974,502,-0.3749,270,-1.2831,314,-1.0571,849,0.48645,940,0.65269,547,-0.2108,864,0.57844
ENSG00000215375,MYL5,12,-0.3002,12,-0.2895,18,0.26148,22,0.69329,12,-0.3086,11,-0.4445,29,1.04585,6,-1.4118,2,-2.5322,16,0.15227
ENSG00000185619,PCGF3,13,-1.5122,24,-0.5928,37,0.07753,36,0.04267,23,-0.6746,33,-0.0782,31,-0.1744,48,0.49220,46,0.41546,48,0.53512
ENSG00000168993,CPLX1,9,-4.2774,142,-0.3321,85,-1.1008,77,-1.3310,164,-0.1070,95,-0.9403,206,0.25195,344,1.10033,265,0.65906,321,1.12881
ENSG00000178950,GAK,17,-1.4777,25,-0.9586,67,0.57656,39,-0.2921,42,-0.1543,52,0.17436,43,-0.1028,58,0.36312,56,0.28497,59,0.43561
ENSG00000127419,TMEM175,12,-0.6142,7,-1.4484,3,-2.5269,11,-0.9038,28,0.61979,24,0.42241,24,0.38097,18,-0.0787,16,-0.1856,35,1.16290
ENSG00000145214,DGKQ,2,-2.7987,12,-0.1202,8,-0.8179,4,-1.6657,22,0.81048,10,-0.4797,13,-0.0468,18,0.47163,9,-0.6418,29,1.46030
ENSG00000159692,CTBP1,59,-1.2630,110,-0.3110,147,0.14435,118,-0.2188,123,-0.1359,147,0.14579,127,-0.0880,189,0.54008,137,0.03505,169,0.39937
ENSG00000090316,MAEA,25,-1.1248,19,-1.5228,31,-0.8213,49,-0.1214,25,-1.1190,62,0.26389,50,-0.0738,39,-0.4404,114,1.26832,84,0.84694
ENSG00000163950,SLBP,38,-0.9181,44,-0.7195,54,-0.3814,81,0.25329,56,-0.3431,86,0.32610,58,-0.2764,52,-0.4614,93,0.46011,97,0.59463
ENSG00000168936,TMEM129,15,-0.0031,14,-0.0758,7,-1.1472,4,-1.8488,16,0.07687,19,0.35691,32,1.22812,17,0.24281,17,0.20745,17,0.19146
ENSG00000068078,FGFR3,84,-0.1137,127,0.55038,15,-2.6102,17,-2.5615,63,-0.5407,36,-1.4042,522,3.35230,31,-1.6047,45,-1.0565,61,-0.6478
ENSG00000168924,LETM1,32,-0.1702,48,0.45945,33,-0.1231,29,-0.3322,42,0.26161,34,-0.0950,39,0.12281,32,-0.1998,18,-1.0024,47,0.46623
ENSG00000109685,NSD2,83,0.16195,93,0.34884,70,-0.0993,91,0.34256,97,0.41673,65,-0.2211,54,-0.5006,81,0.12995,62,-0.2900,55,-0.5150
ENSG00000185049,NELFA,12,-0.5137,4,-2.1384,6,-1.5648,20,0.22195,19,0.10009,24,0.46567,23,0.43397,25,0.54019,24,0.51264,17,-0.0738
