Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000112992,NNT,92,0.05249,89,-0.0039,115,0.40806,112,0.36709,100,0.20332,54,-0.7561,75,-0.3014,94,0.07809,51,-0.8451,112,0.36065
ENSG00000251141,MRPS30-DT,9,-1.3253,8,-1.6005,17,-0.4313,0,-4.7656,48,1.42874,16,-0.5698,45,1.28587,20,-0.2246,8,-1.5374,8,-1.4900
ENSG00000112996,MRPS30,40,0.16380,24,-0.6060,27,-0.4125,25,-0.5447,55,0.77300,35,-0.0406,39,0.14742,18,-1.0698,13,-1.5536,61,0.83815
ENSG00000164588,HCN1,40,0.48237,0,-7.2682,24,-0.3490,1,-4.1268,101,2.65470,10,-1.6120,23,-0.4272,15,-1.0040,16,-0.9219,3,-3.1686
ENSG00000164172,MOCS2,197,0.39443,110,-0.5116,158,0.04876,154,0.00202,207,0.53753,90,-0.8163,192,0.39446,116,-0.4343,96,-0.7243,122,-0.3519
ENSG00000164258,NDUFS4,38,-1.9892,62,-1.2772,136,-0.0894,123,-0.2470,180,0.38690,149,0.04405,208,0.65959,158,0.13629,98,-0.6020,193,0.46028
ENSG00000178996,SNX18,46,0.28926,67,0.88300,10,-1.9947,72,1.00401,6,-2.7152,64,0.81130,18,-1.2479,67,0.88839,50,0.41857,38,-0.0114
ENSG00000067248,DHX29,107,0.75605,163,1.47771,98,0.59971,114,0.85822,78,0.26258,32,-1.1411,12,-2.6500,60,-0.1680,19,-1.8821,31,-1.1478
ENSG00000039123,MTREX,81,0.45821,94,0.69974,31,-1.0268,88,0.59126,79,0.47378,55,-0.1531,26,-1.3513,93,0.68495,23,-1.4528,52,-0.2318
ENSG00000067113,PLPP1,13,-1.6137,67,0.86106,4,-3.1298,31,-0.3315,32,-0.3384,90,1.37760,19,-1.1847,107,1.68718,45,0.23125,9,-2.1279
ENSG00000134352,IL6ST,132,-0.5346,164,-0.2047,155,-0.2903,135,-0.5068,108,-0.9045,248,0.44770,130,-0.6122,301,0.76875,335,0.94475,299,0.75391
ENSG00000062194,GPBP1,135,0.02799,162,0.31343,189,0.56150,240,0.95934,139,0.07982,89,-0.6254,88,-0.6929,129,-0.0517,93,-0.5550,105,-0.3630
ENSG00000249436,AC008780.1,20,-1.0486,10,-1.9769,31,-0.4049,59,0.62800,78,1.26162,10,-1.9871,33,-0.3152,35,-0.1977,13,-1.6931,78,1.08951
ENSG00000145632,PLK2,103,0.94575,15,-1.9530,3,-4.1002,7,-3.0188,191,2.61772,6,-3.1763,30,-1.0442,6,-3.1610,24,-1.3042,81,0.53892
ENSG00000152932,RAB3C,119,-0.4697,32,-2.4353,46,-1.8963,40,-2.0892,262,0.88943,58,-1.5601,150,-0.1245,29,-2.5768,93,-0.8535,698,2.62276
ENSG00000113448,PDE4D,65,1.45271,22,-0.3065,14,-0.9415,8,-1.8418,45,0.93745,54,1.12275,18,-0.6941,26,-0.0745,5,-2.3863,4,-2.7243
ENSG00000152931,PART1,57,0.82543,2,-3.9007,50,0.61154,30,-0.2253,75,1.50736,28,-0.3132,38,0.20423,17,-1.0679,0,-6.6258,0,-7.0485
ENSG00000164182,NDUFAF2,81,-0.3815,79,-0.4318,139,0.46563,31,-1.7992,107,0.05398,122,0.24652,155,0.71491,86,-0.2883,72,-0.5577,113,0.13496
ENSG00000188725,SMIM15,4,-3.4764,73,0.91334,24,-0.8096,79,1.05309,32,-0.4322,32,-0.4024,38,-0.1506,34,-0.2889,41,-0.0019,69,0.82988
ENSG00000130449,ZSWIM6,93,0.83585,155,1.72351,30,-0.9411,43,-0.3816,34,-0.8058,49,-0.1814,26,-1.2432,99,0.93760,58,0.06828,19,-1.6081
ENSG00000068796,KIF2A,92,-0.2680,239,1.29161,121,0.16269,298,1.69508,77,-0.5784,61,-0.9009,60,-0.9832,75,-0.5774,92,-0.2687,57,-0.9824
ENSG00000186479,RGS7BP,97,1.54514,48,0.35762,26,-0.6105,38,-0.0291,65,0.95932,26,-0.6174,21,-0.9502,24,-0.7164,3,-3.4368,26,-0.5752
ENSG00000153006,SREK1IP1,139,1.13676,102,0.61219,119,0.86920,69,-0.0106,51,-0.5199,98,0.55898,40,-0.8903,55,-0.3433,36,-0.9935,31,-1.2114
ENSG00000153015,CWC27,108,0.16672,164,0.85182,144,0.64135,168,0.88773,76,-0.4142,68,-0.5491,81,-0.2959,75,-0.3888,68,-0.5479,53,-0.9234
ENSG00000113595,TRIM23,69,0.24581,88,0.62644,55,-0.1053,79,0.46187,102,0.99332,27,-1.2002,35,-0.8741,68,0.22526,21,-1.5426,30,-1.0205
ENSG00000113597,TRAPPC13,43,0.77892,20,-0.4014,24,-0.1689,6,-2.2125,40,0.75708,25,-0.1028,14,-1.0280,22,-0.2801,19,-0.4886,50,1.02518
ENSG00000197860,SGTB,167,0.39958,38,-1.8487,238,0.98231,19,-2.8864,166,0.43207,161,0.33578,177,0.54650,108,-0.2941,50,-1.4397,95,-0.4858
ENSG00000123213,NLN,26,-0.0640,52,1.04074,11,-1.3618,46,0.82202,27,-0.0376,24,-0.2093,21,-0.4741,25,-0.1192,26,-0.0922,24,-0.2249
ENSG00000112851,ERBIN,119,-0.4400,426,1.66889,239,0.66423,355,1.34037,42,-2.0883,186,0.26217,61,-1.5229,100,-0.7056,130,-0.2976,132,-0.2735
ENSG00000153914,SREK1,564,1.92906,210,0.22311,304,0.82766,164,-0.1603,72,-1.4966,228,0.35695,81,-1.3076,173,-0.0858,100,-0.9155,137,-0.4438
ENSG00000069020,MAST4,120,0.96015,44,-0.6343,14,-2.2581,16,-2.1314,74,0.18912,121,0.97164,46,-0.6167,116,0.90251,80,0.29862,45,-0.5826
ENSG00000145675,PIK3R1,343,0.87566,265,0.44804,207,0.05770,273,0.49532,346,1.01440,41,-2.3856,159,-0.3901,98,-1.0966,83,-1.3408,81,-1.3691
ENSG00000134056,MRPS36,8,-3.7004,70,-0.5516,53,-0.9661,72,-0.5125,124,0.37638,103,0.04655,144,0.65433,135,0.47750,86,-0.2369,138,0.51478
ENSG00000085231,AK6,31,-0.8560,41,-0.4305,41,-0.4207,29,-0.9423,63,0.28062,75,0.53333,51,-0.0829,64,0.27838,48,-0.1665,87,0.78491
ENSG00000273841,TAF9,53,-0.1327,72,0.33478,19,-1.6940,36,-0.7493,128,1.51321,24,-1.3103,57,-0.0480,28,-1.1140,54,-0.1170,44,-0.4249
ENSG00000145734,BDP1,1229,1.84614,418,0.01155,1262,1.89733,427,0.04480,147,-1.6734,293,-0.5428,278,-0.6706,348,-0.2768,67,-2.7307,91,-2.2837
ENSG00000131844,MCCC2,35,0.28134,22,-0.4412,3,-3.0160,22,-0.3912,18,-0.7982,21,-0.4534,18,-0.7516,47,0.76070,37,0.39575,88,1.87408
ENSG00000131711,MAP1B,6940,1.33254,4449,0.57746,6298,1.16236,3737,0.29482,3792,0.35446,1252,-1.3851,2157,-0.6106,1660,-0.9620,352,-3.2486,659,-2.3345
ENSG00000113048,MRPS27,21,-0.3361,19,-0.4375,20,-0.4115,15,-0.7775,47,1.10444,13,-1.0044,12,-1.2334,33,0.40646,31,0.32375,38,0.63128
ENSG00000083312,TNPO1,83,0.47186,103,0.82921,23,-1.4766,79,0.39343,44,-0.5384,54,-0.1977,35,-0.9274,86,0.52941,98,0.75407,53,-0.2263
ENSG00000145741,BTF3,54,-2.2780,161,-0.6655,272,0.14160,274,0.15676,316,0.42357,314,0.37073,271,0.15404,197,-0.3644,224,-0.1652,312,0.36119
ENSG00000171617,ENC1,655,0.81287,46,-3.1920,78,-2.4419,38,-3.4865,1476,3.02881,95,-2.1563,271,-0.6374,86,-2.2901,193,-1.1026,71,-2.5711
ENSG00000164346,NSA2,137,-0.8037,329,0.56301,283,0.31805,418,0.96337,267,0.25125,184,-0.3533,234,0.01748,173,-0.4473,98,-1.3028,151,-0.6538
ENSG00000198780,FAM169A,66,0.54525,47,0.01525,18,-1.4713,31,-0.6263,72,0.77678,9,-2.3916,51,0.14953,50,0.10670,16,-1.6396,79,0.84120
ENSG00000113161,HMGCR,101,1.16034,21,-1.2919,25,-1.0564,48,-0.0447,105,1.43375,33,-0.6346,20,-1.4267,48,-0.0530,45,-0.1625,24,-1.0726
ENSG00000113163,CERT1,110,0.72095,121,0.87789,55,-0.3659,83,0.26082,89,0.43360,95,0.49116,33,-1.2037,50,-0.5135,36,-1.0148,45,-0.6819
ENSG00000122008,POLK,69,0.51250,132,1.62027,54,0.12190,80,0.74241,31,-0.7949,51,0.02395,17,-1.6814,35,-0.5690,42,-0.2826,43,-0.2549
ENSG00000164252,AGGF1,101,0.18515,129,0.57548,113,0.37039,143,0.75211,99,0.17829,77,-0.2271,50,-0.9484,64,-0.5092,80,-0.1692,68,-0.4177
ENSG00000113231,PDE8B,161,0.72696,39,-1.4575,119,0.23288,56,-0.9340,138,0.53642,106,0.05730,65,-0.7574,67,-0.6617,118,0.22010,157,0.69222
ENSG00000164253,WDR41,5,-2.5706,46,0.69184,17,-0.8785,8,-1.9238,58,1.23898,4,-2.7618,22,-0.5477,39,0.42821,33,0.13446,48,0.74703
ENSG00000171530,TBCA,319,-0.0524,374,0.19538,387,0.25014,425,0.40238,273,-0.3198,280,-0.2552,358,0.14160,293,-0.1857,176,-0.9650,444,0.47452
ENSG00000132842,AP3B1,49,-0.0678,138,1.65130,84,0.78717,118,1.36533,18,-1.7026,56,0.15006,20,-1.5314,48,-0.0982,29,-0.8742,20,-1.4166
ENSG00000085365,SCAMP1,149,0.89485,38,-1.2300,51,-0.7995,59,-0.5841,168,1.26896,72,-0.2650,41,-1.1812,85,-0.0211,64,-0.4459,93,0.11988
ENSG00000152409,JMY,66,0.48972,78,0.75947,49,0.01565,22,-1.2061,53,0.15219,31,-0.6864,26,-1.0168,61,0.36301,67,0.51185,50,0.06182
ENSG00000152413,HOMER1,191,1.32668,12,-2.9158,97,0.19850,60,-0.5298,173,1.34138,66,-0.3867,73,-0.2632,47,-0.9091,46,-0.9407,13,-2.7717
ENSG00000164309,CMYA5,49,0.38511,22,-0.8462,68,0.90383,58,0.64887,16,-1.3974,37,-0.0744,31,-0.3788,103,1.64340,28,-0.5116,5,-3.0124
ENSG00000177034,MTX3,29,-0.0234,25,-0.2484,32,0.14947,29,-0.0226,51,1.02138,12,-1.2897,30,0.04525,23,-0.3617,29,-0.0369,10,-1.5586
ENSG00000039319,ZFYVE16,98,0.60548,292,2.62477,32,-1.1131,101,0.64566,29,-1.3593,43,-0.6923,18,-2.1012,80,0.26214,62,-0.1266,7,-3.3082
ENSG00000249042,AC008771.1,10,-1.2638,7,-1.7636,5,-2.3038,30,0.32448,42,1.02103,46,1.02760,31,0.44409,4,-2.4446,38,0.73144,3,-3.0773
ENSG00000228716,DHFR,29,-1.2024,135,1.24681,45,-0.5188,54,-0.2567,55,-0.2294,63,-0.0153,58,-0.1490,51,-0.3410,80,0.37415,76,0.30133
ENSG00000113318,MSH3,104,0.90394,115,1.07275,101,0.85515,143,1.44853,27,-1.2756,51,-0.2518,26,-1.3139,55,-0.1165,26,-1.2280,12,-2.3379
ENSG00000113319,RASGRF2,41,-0.7357,29,-1.2638,3,-4.5407,14,-2.2478,193,2.22947,78,0.26649,60,-0.1512,16,-2.0719,68,0.05078,37,-0.8922
ENSG00000131732,ZCCHC9,32,0.19423,61,1.29007,30,0.10350,17,-0.7587,24,-0.2228,35,0.36832,30,0.12670,27,-0.0759,16,-0.8773,9,-1.7210
ENSG00000145687,SSBP2,61,-0.0992,55,-0.2355,33,-1.0033,26,-1.3552,107,0.93083,76,0.26674,37,-0.9097,59,-0.1461,66,0.04267,109,0.84086
ENSG00000186468,RPS23,724,-1.1546,1168,-0.4286,2140,0.52757,2666,0.89212,904,-0.8815,1932,0.36219,2068,0.52913,970,-0.7138,1340,-0.2161,1582,0.04326
ENSG00000174695,TMEM167A,102,0.10358,105,0.15889,56,-0.8076,118,0.34204,98,0.04297,90,-0.0931,87,-0.1571,78,-0.3189,121,0.38628,104,0.13190
ENSG00000038427,VCAN,102,-0.2331,431,2.24301,174,0.60990,508,2.59457,14,-3.2932,10,-3.6147,14,-3.2304,60,-1.0569,71,-0.7860,15,-3.0490
ENSG00000164176,EDIL3,54,-1.5966,894,3.31438,39,-2.0813,227,0.59977,182,0.26309,26,-2.6584,58,-1.6052,41,-2.0178,54,-1.6080,63,-1.3924
ENSG00000127184,COX7C,532,-1.2279,488,-1.3577,1218,0.03874,1101,-0.1191,1195,0.00960,1185,-0.0036,2040,1.00296,1145,-0.0581,868,-0.4883,1251,0.08058
ENSG00000145715,RASA1,45,0.46409,24,-0.5478,19,-0.8700,32,-0.0665,58,0.99074,24,-0.5238,30,-0.2001,42,0.32370,13,-1.4237,31,-0.1507
ENSG00000134480,CCNH,42,0.00421,46,0.13339,10,-2.1307,19,-1.1878,77,1.14104,21,-1.0256,33,-0.3920,36,-0.2276,32,-0.4203,76,0.96059
ENSG00000247828,TMEM161B-AS1,284,1.36424,188,0.65897,69,-0.9074,110,-0.1938,103,-0.3248,82,-0.6414,90,-0.5421,201,0.76924,109,-0.2071,66,-0.9722
ENSG00000245526,LINC00461,106,-0.1230,107,-0.1140,102,-0.1931,185,0.76185,64,-0.9574,92,-0.3458,114,-0.0175,196,0.86393,139,0.29662,98,-0.2566
ENSG00000081189,MEF2C,659,0.92226,99,-1.9992,335,-0.1716,94,-2.0855,816,1.51365,372,-0.0080,415,0.18340,181,-1.1119,112,-1.8234,171,-1.1918
ENSG00000153140,CETN3,60,-0.1572,152,1.35843,81,0.31467,163,1.48734,42,-0.7473,42,-0.7147,35,-1.0453,79,0.25688,58,-0.2088,10,-2.8199
ENSG00000164199,ADGRV1,26,-1.7278,78,-0.0476,45,-0.9037,23,-1.8521,15,-2.5918,46,-0.8626,21,-2.1171,333,2.51312,324,2.45780,22,-1.9485
ENSG00000237187,NR2F1-AS1,146,0.75294,58,-0.6967,78,-0.2527,68,-0.4542,107,0.27950,77,-0.2638,113,0.36935,62,-0.6102,64,-0.5451,104,0.20807
ENSG00000175745,NR2F1,343,1.08601,171,-0.0486,161,-0.1426,135,-0.4112,144,-0.3410,182,0.05027,135,-0.4557,202,0.21183,225,0.38859,140,-0.3613
ENSG00000113391,FAM172A,123,1.10287,61,-0.0225,51,-0.3160,137,1.29839,69,0.16833,61,-0.0421,28,-1.2891,55,-0.1810,28,-1.1932,38,-0.7601
ENSG00000133302,SLF1,164,2.27125,16,-1.5598,81,0.97332,52,0.24049,39,-0.2047,43,-0.0372,20,-1.2982,24,-0.9125,4,-3.5928,31,-0.5455
ENSG00000175471,MCTP1,86,1.50546,8,-2.0706,49,0.54674,37,0.10104,47,0.52829,40,0.22905,12,-1.6513,6,-2.6043,14,-1.3803,58,0.82970
ENSG00000198677,TTC37,103,0.34438,107,0.40214,83,0.00540,112,0.48329,107,0.46435,71,-0.2438,39,-1.2014,73,-0.1875,70,-0.2502,80,-0.0563
ENSG00000164292,RHOBTB3,122,-1.1731,532,1.15198,189,-0.5152,690,1.61580,81,-1.8835,153,-0.8360,146,-0.9756,330,0.35665,413,0.72252,280,0.09633
ENSG00000173221,GLRX,20,-0.8093,0,-6.1056,52,0.62628,9,-2.0114,77,1.52520,28,-0.3521,48,0.55436,29,-0.3005,20,-0.8313,11,-1.6549
ENSG00000118985,ELL2,72,0.39349,154,1.70852,54,-0.0464,45,-0.3190,73,0.46433,21,-1.4423,46,-0.3138,35,-0.7150,27,-1.0942,23,-1.3305
ENSG00000153113,CAST,99,-0.2303,222,1.06787,112,-0.0440,214,1.00234,52,-1.2890,226,1.09806,48,-1.4007,121,0.07391,142,0.33444,46,-1.3783
ENSG00000113441,LNPEP,153,1.83554,72,0.52621,26,-1.0504,86,0.82365,52,0.01748,49,-0.0763,23,-1.2734,49,-0.0862,32,-0.7094,1,-4.9590
ENSG00000145721,LIX1,28,-1.6020,142,0.88931,49,-0.7881,187,1.36818,5,-4.1619,20,-2.1199,18,-2.3334,76,-0.1097,241,1.83414,191,1.40946
ENSG00000174136,RGMB,41,0.46533,18,-0.7890,0,-8.0264,10,-1.6433,51,0.94339,17,-0.9037,6,-2.4972,7,-2.1113,62,1.14191,97,1.97915
ENSG00000153922,CHD1,125,1.22632,143,1.47466,77,0.41681,136,1.38424,23,-1.5071,59,-0.0005,27,-1.2487,35,-0.7813,26,-1.2386,6,-3.3406
ENSG00000174132,FAM174A,35,0.15181,23,-0.5160,16,-1.0712,18,-0.8483,72,1.57728,2,-3.6692,20,-0.7388,25,-0.3720,22,-0.5556,57,0.92518
ENSG00000145730,PAM,61,-0.0466,32,-1.0132,46,-0.4873,20,-1.7165,176,2.10893,60,-0.0805,38,-0.8167,46,-0.4935,37,-0.8087,25,-1.3728
ENSG00000145725,PPIP5K2,84,1.30711,42,0.18156,39,0.04103,7,-2.4814,65,0.98784,23,-0.7512,19,-1.0944,67,0.93803,21,-0.9137,2,-3.8906
ENSG00000181751,C5orf30,34,0.34113,57,1.21038,4,-2.6194,4,-2.6436,46,0.95218,10,-1.4296,21,-0.4425,21,-0.3890,40,0.63379,21,-0.3740
ENSG00000145743,FBXL17,107,0.35008,67,-0.3911,98,0.20906,79,-0.1351,102,0.30983,49,-0.8487,105,0.36065,95,0.16256,82,-0.0748,38,-1.2450
ENSG00000151422,FER,98,0.56504,128,1.00813,105,0.67607,130,1.04200,35,-1.1086,38,-0.9128,39,-0.9221,64,-0.1177,39,-0.8772,75,0.14767
ENSG00000198961,PJA2,402,0.37665,255,-0.3380,247,-0.3861,307,-0.0532,585,1.14841,299,-0.0935,217,-0.6354,238,-0.4435,196,-0.7413,258,-0.3225
ENSG00000164209,SLC25A46,75,0.30905,40,-0.6628,31,-1.0230,51,-0.2762,136,1.54462,15,-2.0802,51,-0.3092,67,0.13503,46,-0.4543,37,-0.7780
ENSG00000152495,CAMK4,127,0.54664,11,-3.0945,13,-2.8743,73,-0.3236,246,2.04038,52,-0.8549,80,-0.2147,65,-0.5176,53,-0.8051,40,-1.2471
ENSG00000164211,STARD4,18,-0.6597,19,-0.5727,23,-0.3193,7,-2.0042,42,0.72052,67,1.43672,18,-0.7559,39,0.52161,43,0.65869,1,-3.9818
ENSG00000134986,NREP,89,-0.6394,63,-1.1464,133,-0.0200,91,-0.5987,179,0.50608,118,-0.1981,234,1.02984,115,-0.2439,86,-0.6906,92,-0.5808
ENSG00000224032,EPB41L4A-AS1,42,-1.1517,47,-1.0068,131,0.60258,85,-0.0837,122,0.54222,85,-0.0867,155,1.00634,53,-0.8234,50,-0.8938,33,-1.5268
ENSG00000134982,APC,686,-0.5312,828,-0.2414,3378,2.17491,2097,1.27861,306,-1.8446,451,-1.1685,793,-0.3367,1101,0.20634,362,-1.4972,501,-1.0091
ENSG00000153037,SRP19,98,0.10753,109,0.26971,110,0.28673,116,0.36887,144,0.81203,72,-0.3759,78,-0.2725,42,-1.1976,52,-0.8844,60,-0.6523
ENSG00000129625,REEP5,168,-0.5628,200,-0.2917,89,-1.5234,121,-1.0568,603,1.82878,168,-0.5643,192,-0.3920,144,-0.8000,211,-0.2114,210,-0.2195
ENSG00000172795,DCP2,12,-1.1946,20,-0.4550,42,0.72541,18,-0.5636,37,0.59412,39,0.60321,24,-0.1863,30,0.17928,29,0.12121,8,-1.8290
ENSG00000171444,MCC,0,-5.2382,11,-1.4312,18,-0.7462,3,-3.0961,12,-1.3406,71,1.47842,21,-0.4936,75,1.58736,83,1.76756,18,-0.7158
ENSG00000047188,YTHDC2,82,1.70931,35,0.25581,22,-0.4782,23,-0.3812,37,0.40983,30,0.02548,13,-1.2596,25,-0.2472,19,-0.6498,17,-0.8252
ENSG00000152503,TRIM36,49,0.84411,27,-0.1415,5,-2.5076,6,-2.3136,42,0.66221,36,0.31399,34,0.27712,13,-1.2334,41,0.55912,20,-0.5755
ENSG00000164219,PGGT1B,42,-0.0648,66,0.64373,79,0.94626,85,1.06707,22,-1.1323,44,0.01229,28,-0.7386,40,-0.1442,63,0.57258,9,-2.4043
ENSG00000164221,CCDC112,160,1.35504,179,1.55754,53,-0.4374,81,0.23270,52,-0.5001,50,-0.5250,40,-0.9341,33,-1.1643,13,-2.5268,91,0.41687
ENSG00000145780,FEM1C,12,-1.5782,11,-1.7766,38,0.10076,67,1.00274,41,0.22118,14,-1.3778,16,-1.3042,68,1.03786,44,0.32796,63,0.89014
ENSG00000134970,TMED7,68,0.33158,92,0.83288,3,-4.2625,45,-0.3197,57,0.08167,49,-0.1865,27,-1.1254,118,1.25588,49,-0.1695,66,0.28294
ENSG00000129596,CDO1,67,0.78449,8,-2.4533,26,-0.6932,13,-1.7083,70,0.96779,11,-1.8924,24,-0.8686,36,-0.2174,67,0.77403,78,1.03601
ENSG00000145782,ATG12,69,0.09474,101,0.71197,60,-0.1229,25,-1.4622,74,0.21989,54,-0.2875,49,-0.4759,76,0.25138,41,-0.7089,108,0.82386
ENSG00000177879,AP3S1,89,-0.0461,66,-0.5122,47,-1.0157,52,-0.8791,130,0.62702,97,0.09059,147,0.86939,54,-0.7984,75,-0.3195,65,-0.5201
ENSG00000092421,SEMA6A,25,-1.1047,209,2.44812,4,-3.7547,108,1.19229,14,-2.0115,17,-1.6874,5,-3.5018,17,-1.6879,152,1.79910,56,0.10955
ENSG00000172869,DMXL1,52,0.63260,41,0.25735,16,-1.1631,59,0.82646,31,-0.2030,14,-1.3999,13,-1.5578,28,-0.3216,47,0.45382,75,1.24367
ENSG00000133835,HSD17B4,73,-0.3108,212,1.44474,63,-0.5342,90,0.01757,86,-0.0556,45,-1.0458,34,-1.5590,122,0.50314,106,0.27562,117,0.43746
ENSG00000205302,SNX2,34,-0.6417,71,0.51368,49,-0.0751,53,0.07182,80,0.81314,38,-0.4377,48,-0.0938,42,-0.3151,26,-1.0184,44,-0.2371
ENSG00000064652,SNX24,34,0.21376,44,0.63307,46,0.68728,19,-0.7193,28,-0.1328,31,0.05042,25,-0.2830,39,0.42542,19,-0.6959,20,-0.5720
ENSG00000151292,CSNK1G3,42,0.20108,53,0.56789,82,1.28596,75,1.12891,35,-0.1127,37,-0.0070,15,-1.4217,13,-1.5468,25,-0.6042,20,-0.9748
ENSG00000168916,ZNF608,30,-0.5529,93,1.27070,23,-0.9567,66,0.68208,25,-0.9101,47,0.13860,28,-0.7183,24,-0.9058,12,-1.9357,116,1.67265
ENSG00000155324,GRAMD2B,64,-0.9385,201,0.84174,61,-1.0210,298,1.53189,16,-3.0746,42,-1.5830,63,-1.0383,256,1.26032,209,0.91069,139,0.24770
ENSG00000164904,ALDH7A1,122,-0.6097,324,0.94513,123,-0.6015,428,1.42711,45,-2.1883,111,-0.7506,159,-0.2210,193,0.10386,347,1.06047,117,-0.6796
ENSG00000164902,PHAX,105,0.20873,105,0.20832,124,0.47744,75,-0.3122,85,-0.1308,54,-0.8173,84,-0.1588,109,0.26796,114,0.34077,79,-0.2294
ENSG00000164241,C5orf63,32,0.13481,58,1.10214,64,1.24850,39,0.42861,8,-2.0087,22,-0.4294,33,0.16249,29,-0.0406,11,-1.4413,18,-0.7222
ENSG00000145794,MEGF10,34,-0.4078,134,1.87008,8,-2.5618,81,0.96588,2,-4.3476,12,-1.9194,18,-1.4690,158,2.20210,55,0.32945,12,-1.9849
ENSG00000245937,LINC01184,54,0.28412,40,-0.1948,51,0.20711,30,-0.6004,43,-0.0637,86,1.05385,44,-0.0439,47,0.07905,30,-0.6375,27,-0.7727
ENSG00000064651,SLC12A2,67,-0.4881,586,3.61420,65,-0.5396,107,0.23862,25,-2.0435,116,0.36888,18,-2.5797,52,-0.8667,16,-2.5823,11,-3.1030
ENSG00000169567,HINT1,263,-1.3321,220,-1.5979,422,-0.6221,481,-0.4194,987,0.82022,604,-0.0674,1054,0.94891,522,-0.2940,341,-0.9446,628,-0.0044
ENSG00000186687,LYRM7,160,0.70455,145,0.53708,89,-0.2225,87,-0.2626,93,-0.1820,88,-0.2407,105,0.03098,82,-0.3629,85,-0.2999,106,0.04851
ENSG00000158985,CDC42SE2,91,-0.3689,101,-0.2214,96,-0.2925,84,-0.5014,165,0.63012,136,0.25376,169,0.67372,111,-0.0745,64,-0.9172,43,-1.5051
ENSG00000158987,RAPGEF6,104,2.31320,82,1.85621,21,-0.4295,20,-0.4868,30,0.16145,4,-2.8563,2,-3.9335,19,-0.5302,16,-0.8246,0,-6.7325
ENSG00000164398,ACSL6,132,-0.8773,37,-2.7495,150,-0.6905,110,-1.1582,230,-0.0307,65,-1.9403,144,-0.8072,884,2.33306,430,0.99181,254,0.12741
ENSG00000113522,RAD50,425,1.32639,301,0.73486,359,1.03269,239,0.35955,181,-0.0846,104,-0.9344,90,-1.2182,142,-0.4575,129,-0.6036,45,-2.1639
ENSG00000131437,KIF3A,968,1.64194,440,0.29949,558,0.68555,348,-0.0720,455,0.39093,131,-1.5573,201,-0.9809,274,-0.4442,65,-2.5933,280,-0.4108
ENSG00000164402,SEPTIN8,168,-0.6765,671,1.58639,253,-0.0450,211,-0.3244,248,-0.0796,245,-0.0924,168,-0.7314,212,-0.3169,276,0.09530,254,-0.0385
ENSG00000198944,SOWAHA,64,-1.5441,23,-3.0255,41,-2.2019,80,-1.2145,180,0.02455,244,0.50366,165,-0.1270,28,-2.7479,596,2.09000,366,1.18455
ENSG00000164405,UQCRQ,194,-1.6406,190,-1.6768,635,0.16239,414,-0.5050,620,0.13682,676,0.26132,973,0.98045,541,-0.0901,373,-0.6632,667,0.24141
ENSG00000072364,AFF4,238,1.08943,257,1.22738,159,0.42250,136,0.17805,82,-0.6525,107,-0.2015,44,-1.6304,122,0.00286,83,-0.6001,108,-0.1930
ENSG00000155329,ZCCHC10,73,1.30966,47,0.56180,41,0.35793,18,-0.8917,35,0.11805,50,0.64321,19,-0.8611,33,-0.0024,13,-1.3425,10,-1.7090
ENSG00000170606,HSPA4,59,-0.3019,80,0.17740,37,-1.0153,87,0.30313,137,1.21808,41,-0.8493,30,-1.3740,83,0.24138,77,0.10985,60,-0.2583
ENSG00000213585,VDAC1,128,-0.6679,136,-0.5721,122,-0.7419,85,-1.2837,424,1.48098,111,-0.8762,198,0.01153,186,-0.0915,179,-0.1515,173,-0.2027
ENSG00000113558,SKP1,346,-0.9545,549,-0.2501,361,-0.8914,633,-0.0286,973,0.75010,518,-0.3406,683,0.10033,600,-0.1120,668,0.05638,746,0.23138
ENSG00000113575,PPP2CA,228,0.41146,164,-0.1104,99,-0.8737,148,-0.2723,319,1.11633,93,-0.9730,167,-0.0907,160,-0.1483,135,-0.4144,111,-0.7085
ENSG00000006837,CDKL3,14,-1.3257,74,1.31394,16,-1.0989,108,2.01888,24,-0.5381,15,-1.1594,45,0.53722,19,-0.8722,9,-1.9352,6,-2.5721
ENSG00000119048,UBE2B,147,0.00067,121,-0.3074,104,-0.5399,135,-0.1328,243,0.92685,133,-0.1608,157,0.11680,116,-0.3603,93,-0.6990,114,-0.3936
ENSG00000237190,CDKN2AIPNL,33,-0.1770,30,-0.3041,23,-0.6797,21,-0.8515,68,1.15398,16,-1.2543,60,0.88622,30,-0.2902,13,-1.5905,18,-1.0436
ENSG00000152700,SAR1B,37,-0.6970,131,1.31811,75,0.37127,21,-1.5370,50,-0.2765,47,-0.3431,39,-0.6717,97,0.79668,86,0.60302,34,-0.8291
