"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009636","BP","GO:0009636","response to toxic substance","7/97","161/11800",0.000354803401880916,0.00647793398590392,0.00501860075028928,"ALDH1A1/ABCG2/MT2A/MT1X/ALOX5AP/SESN1/MT1M",7
"GO:0046651","BP","GO:0046651","lymphocyte proliferation","7/97","162/11800",0.00036836740547517,0.00667344671779436,0.00517006884877432,"TYROBP/AIF1/CD74/LILRB4/IRS2/LST1/SYK",7
"GO:1903037","BP","GO:1903037","regulation of leukocyte cell-cell adhesion","8/97","214/11800",0.000371974868078719,0.00668696358999973,0.00518054067283721,"AIF1/CD74/LAPTM5/ZBTB16/ITGB2/LILRB4/SYK/RIPOR2",8
"GO:0045453","BP","GO:0045453","bone resorption","4/97","42/11800",0.000378008072013666,0.00674354858241173,0.00522437833558461,"TF/TMEM119/CSF1R/SYK",4
"GO:0002366","BP","GO:0002366","leukocyte activation involved in immune response","7/97","163/11800",0.000382344172778149,0.00676922978623132,0.00524427414017876,"CX3CR1/TYROBP/CD74/TREM2/ITGB2/ITM2A/SYK",7
"GO:0071675","BP","GO:0071675","regulation of mononuclear cell migration","5/97","76/11800",0.000394180678085673,0.00692631762921968,0.0053659736154124,"MAPK3/CX3CR1/AIF1/CSF1R/RIPOR2",5
"GO:0042119","BP","GO:0042119","neutrophil activation","3/97","18/11800",0.000401759050306598,0.00695489555975199,0.00538811357916061,"TYROBP/ITGB2/SYK",3
"GO:2000191","BP","GO:2000191","regulation of fatty acid transport","3/97","18/11800",0.000401759050306598,0.00695489555975199,0.00538811357916061,"IRS2/FABP3/SYK",3
"GO:0046686","BP","GO:0046686","response to cadmium ion","4/97","43/11800",0.000414169624524097,0.0070247489225238,0.00544223054601758,"MAPK3/MT2A/MT1X/MT1M",4
"GO:1902107","BP","GO:1902107","positive regulation of leukocyte differentiation","6/97","118/11800",0.000414811874757503,0.0070247489225238,0.00544223054601758,"TYROBP/CD74/TREM2/ZBTB16/LILRB4/SYK",6
"GO:1903708","BP","GO:1903708","positive regulation of hemopoiesis","6/97","118/11800",0.000414811874757503,0.0070247489225238,0.00544223054601758,"TYROBP/CD74/TREM2/ZBTB16/LILRB4/SYK",6
"GO:0002263","BP","GO:0002263","cell activation involved in immune response","7/97","167/11800",0.00044256370724481,0.00744080132252605,0.00576455567179911,"CX3CR1/TYROBP/CD74/TREM2/ITGB2/ITM2A/SYK",7
"GO:0032943","BP","GO:0032943","mononuclear cell proliferation","7/97","168/11800",0.000458743938189112,0.0076050246782208,0.00589178318876643,"TYROBP/AIF1/CD74/LILRB4/IRS2/LST1/SYK",7
"GO:0031349","BP","GO:0031349","positive regulation of defense response","9/97","278/11800",0.000458839743101897,0.0076050246782208,0.00589178318876643,"MAPK3/C3/TYROBP/TREM2/HMGB2/HSPA8/CYBA/ALOX5AP/SYK",9
"GO:0035590","BP","GO:0035590","purinergic nucleotide receptor signaling pathway","3/97","19/11800",0.000474252188137934,0.00775054100474372,0.00600451795066063,"P2RY12/GPR34/P2RY13",3
"GO:0071294","BP","GO:0071294","cellular response to zinc ion","3/97","19/11800",0.000474252188137934,0.00775054100474372,0.00600451795066063,"MT2A/MT1X/MT1M",3
"GO:0031529","BP","GO:0031529","ruffle organization","4/97","45/11800",0.000493796466749914,0.00795863684685896,0.00616573446685918,"AIF1/P2RY12/CSF1R/PFN1",4
"GO:2000379","BP","GO:2000379","positive regulation of reactive oxygen species metabolic process","4/97","45/11800",0.000493796466749914,0.00795863684685896,0.00616573446685918,"TYROBP/CYBA/ITGB2/SYK",4
"GO:0050864","BP","GO:0050864","regulation of B cell activation","5/97","80/11800",0.00049983254413547,0.00800074421674379,0.00619835599072105,"TYROBP/CD74/LAPTM5/IRS2/SYK",5
"GO:0001934","BP","GO:0001934","positive regulation of protein phosphorylation","11/97","408/11800",0.00050700749770835,0.00806038450438376,0.00624456065920774,"MAPK3/CX3CR1/C3/CD74/TREM2/TMEM119/ENPP2/CSF1R/SYK/ATP2B4/LATS1",11
"GO:0002250","BP","GO:0002250","adaptive immune response","8/97","225/11800",0.000519392969577732,0.00820149574258891,0.00635388270038192,"CX3CR1/C3/CD74/TREM2/LILRB4/C1QB/SERPING1/SYK",8
"GO:0002526","BP","GO:0002526","acute inflammatory response","4/97","46/11800",0.000537441986499766,0.0082631705424339,0.00640166355110525,"A2M/C3/ALOX5AP/SERPINA3",4
"GO:0032611","BP","GO:0032611","interleukin-1 beta production","4/97","46/11800",0.000537441986499766,0.0082631705424339,0.00640166355110525,"CX3CR1/TYROBP/TREM2/LILRB4",4
"GO:0032651","BP","GO:0032651","regulation of interleukin-1 beta production","4/97","46/11800",0.000537441986499766,0.0082631705424339,0.00640166355110525,"CX3CR1/TYROBP/TREM2/LILRB4",4
"GO:0034103","BP","GO:0034103","regulation of tissue remodeling","4/97","46/11800",0.000537441986499766,0.0082631705424339,0.00640166355110525,"TF/TMEM119/CSF1R/SYK",4
"GO:0010324","BP","GO:0010324","membrane invagination","4/97","48/11800",0.000632850983265877,0.00966648854831605,0.00748884548481121,"C3/AIF1/TREM2/ITGB2",4
"GO:0036230","BP","GO:0036230","granulocyte activation","3/97","21/11800",0.000643220694563837,0.00976108287789407,0.0075621298335598,"TYROBP/ITGB2/SYK",3
"GO:0072562","CC","GO:0072562","blood microparticle","8/100","53/12324",9.28195940657333e-09,2.06059498825928e-06,1.76845752904187e-06,"A2M/C3/TF/HSPA8/SERPINA3/C1QB/SERPING1/PFN1",8
"GO:0008305","CC","GO:0008305","integrin complex","4/100","20/12324",1.78954775310069e-05,0.00197558297321723,0.00169549795235808,"ITGB2/ITGAX/PLP1/ITGB4",4
"GO:0009986","CC","GO:0009986","cell surface","14/100","483/12324",3.34858917538867e-05,0.00197558297321723,0.00169549795235808,"CX3CR1/C3/TYROBP/CD74/TF/ABCG2/TREM2/P2RY12/ITGB2/CSF1R/LILRB4/ITGAX/ITGB4/ADCYAP1R1",14
"GO:0043235","CC","GO:0043235","receptor complex","10/100","251/12324",3.55960896075177e-05,0.00197558297321723,0.00169549795235808,"CD74/TF/ITGB2/CSF1R/ITGAX/PLP1/SYK/OLR1/ITGB4/ADCYAP1R1",10
"GO:0044853","CC","GO:0044853","plasma membrane raft","6/100","83/12324",5.59305545988433e-05,0.00248331662418864,0.00213124850155592,"MAPK3/SELPLG/TREM2/ITGB2/ATP2B4/ADCYAP1R1",6
"GO:0005903","CC","GO:0005903","brush border","5/100","60/12324",0.000121987983401061,0.00423868980872546,0.00363775654518401,"PLEC/ABCG2/AQP1/KCNK1/CAPZB",5
"GO:0098862","CC","GO:0098862","cluster of actin-based cell projections","6/100","97/12324",0.000133652381356208,0.00423868980872546,0.00363775654518401,"PLEC/ABCG2/AQP1/KCNK1/RIPOR2/CAPZB",6
"GO:0098636","CC","GO:0098636","protein complex involved in cell adhesion","4/100","34/12324",0.000156997448543455,0.00435667919708087,0.00373901818241648,"ITGB2/ITGAX/PLP1/ITGB4",4
"GO:0045121","CC","GO:0045121","membrane raft","8/100","210/12324",0.000302332209620938,0.00693017181983226,0.00594765812892195,"MAPK3/SELPLG/ABCG2/TREM2/ITGB2/ATP2B4/OLR1/ADCYAP1R1",8
"GO:0098857","CC","GO:0098857","membrane microdomain","8/100","211/12324",0.000312169901794246,0.00693017181983226,0.00594765812892195,"MAPK3/SELPLG/ABCG2/TREM2/ITGB2/ATP2B4/OLR1/ADCYAP1R1",8
"GO:0098802","CC","GO:0098802","plasma membrane signaling receptor complex","6/100","120/12324",0.000425335615317435,0.00858404605458824,0.00736705706913453,"TF/ITGB2/ITGAX/PLP1/SYK/ITGB4",6
"GO:0001614","MF","GO:0001614","purinergic nucleotide receptor activity","3/97","10/12097",5.75793185144168e-05,0.00947179789562156,0.00857628796819997,"P2RY12/GPR34/P2RY13",3
"GO:0016502","MF","GO:0016502","nucleotide receptor activity","3/97","10/12097",5.75793185144168e-05,0.00947179789562156,0.00857628796819997,"P2RY12/GPR34/P2RY13",3
