Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to11,Feature log2 fold change topic 8to11
ENSG00000112983,BRD8,79,0.14994,54,-0.4708,56,-0.4073,97,0.52004,66,-0.2332
ENSG00000094880,CDC23,20,-0.2213,18,-0.3271,22,-0.0187,19,-0.3066,27,0.46319
ENSG00000120709,FAM53C,35,-0.4903,45,-0.0097,30,-0.6393,53,0.26801,54,0.38608
ENSG00000120733,KDM3B,61,0.14087,55,-0.0471,64,0.19594,82,0.68586,39,-0.7536
ENSG00000132563,REEP2,38,-2.2077,86,-0.7576,135,-0.0628,144,0.04350,230,1.36444
ENSG00000120738,EGR1,11,-3.7079,55,-1.0481,273,1.54087,135,0.37866,144,0.67125
ENSG00000120705,ETF1,49,0.04636,35,-0.4986,51,0.09713,47,-0.0331,50,0.09922
ENSG00000113013,HSPA9,217,-0.0635,241,0.11097,117,-1.0021,237,0.09866,246,0.21448
ENSG00000044115,CTNNA1,280,1.91846,98,-0.4438,98,-0.4433,45,-1.7280,76,-1.0713
ENSG00000146006,LRRTM2,30,-1.1923,32,-0.9239,171,1.85949,69,0.31002,52,-0.2357
ENSG00000120725,SIL1,34,0.66922,23,-0.0810,7,-1.8175,23,-0.1051,23,-0.1415
ENSG00000120727,PAIP2,206,0.06518,211,0.09249,117,-0.8209,118,-0.8815,252,0.57986
ENSG00000170464,DNAJC18,98,0.38857,54,-0.6303,34,-1.3289,107,0.49631,74,-0.1941
ENSG00000131508,UBE2D2,97,0.20475,72,-0.3109,81,-0.1202,40,-1.2750,110,0.54864
ENSG00000171604,CXXC5,336,0.37802,150,-0.9624,274,-0.0353,272,-0.0465,275,-0.0380
ENSG00000146005,PSD2,56,0.75818,72,1.01912,17,-1.2208,28,-0.5767,29,-0.6088
ENSG00000185129,PURA,331,0.58377,194,-0.4043,99,-1.4293,375,0.74688,181,-0.6828
ENSG00000182700,IGIP,92,-0.4245,119,0.04712,162,0.54100,107,-0.1373,125,0.17939
ENSG00000120306,CYSTM1,49,-0.1931,106,1.10677,2,-4.4153,41,-0.4830,65,0.42402
ENSG00000113068,PFDN1,80,-0.2339,87,-0.0522,32,-1.5633,107,0.31283,104,0.34889
ENSG00000131503,ANKHD1,195,0.68464,87,-0.7461,80,-0.8660,190,0.54024,105,-0.6171
ENSG00000213523,SRA1,21,-0.4326,31,0.23788,21,-0.3963,21,-0.4197,34,0.59933
ENSG00000113108,APBB3,12,-0.8944,12,-0.6758,0,-5.0153,20,0.03946,31,1.29801
ENSG00000176087,SLC35A4,23,0.35132,37,1.07473,0,-6.0033,9,-1.1343,22,0.27592
ENSG00000131495,NDUFA2,118,-0.4473,210,0.54618,133,-0.1865,91,-0.8283,192,0.60437
ENSG00000113141,IK,207,0.23753,155,-0.2685,132,-0.5107,259,0.63026,149,-0.4477
ENSG00000170445,HARS,50,-0.9638,59,-0.5717,87,0.04302,75,-0.2132,122,0.93122
ENSG00000146007,ZMAT2,152,-0.6803,276,0.37658,123,-0.8923,366,0.97769,204,-0.1499
ENSG00000178913,TAF7,147,0.10717,83,-0.8021,144,0.04519,157,0.20962,138,-0.0222
ENSG00000131504,DIAPH1,8,-2.0471,35,0.33040,27,-0.0996,60,1.47779,26,-0.1659
ENSG00000171720,HDAC3,13,-1.0342,14,-0.8018,21,-0.2063,25,0.07045,34,0.93458
ENSG00000164620,RELL2,5,-2.6362,20,-0.3505,0,-6.3744,14,-0.9021,53,2.49346
ENSG00000081791,DELE1,29,0.28666,29,0.20849,4,-2.5092,29,0.23678,25,-0.0366
ENSG00000013561,RNF14,35,-0.7873,37,-0.5997,57,0.08459,52,-0.0753,73,0.74703
ENSG00000113552,GNPDA1,19,-0.9216,30,-0.0850,23,-0.5116,28,-0.1977,46,0.92713
ENSG00000131507,NDFIP1,206,-1.7981,275,-1.1395,1013,0.92457,483,-0.3063,869,1.08161
ENSG00000113578,FGF1,466,3.14377,144,-0.2160,60,-1.5346,41,-2.2368,33,-2.8352
ENSG00000145819,ARHGAP26,37,-2.3537,104,-0.5498,172,0.24189,266,1.12880,177,0.42969
ENSG00000113580,NR3C1,134,0.20446,50,-1.3651,144,0.27344,173,0.65908,98,-0.4612
ENSG00000145817,YIPF5,66,-0.2787,44,-0.8392,97,0.37797,121,0.86450,65,-0.3612
ENSG00000183775,KCTD16,48,-1.7729,70,-1.0129,21,-2.7587,308,1.67939,157,0.36264
ENSG00000133706,LARS,133,0.25339,106,-0.1604,47,-1.3972,178,0.76970,96,-0.4314
ENSG00000091009,RBM27,94,0.14364,70,-0.3501,103,0.26024,139,0.86005,58,-0.8559
ENSG00000113649,TCERG1,117,-0.4419,91,-0.7550,196,0.45230,298,1.37780,98,-0.8454
ENSG00000156475,PPP2R2B,141,-0.2782,155,-0.0753,130,-0.3514,140,-0.2658,201,0.50884
ENSG00000113657,DPYSL3,106,0.70551,51,-0.6082,87,0.22772,67,-0.2223,61,-0.4555
ENSG00000176049,JAKMIP2,139,0.32749,83,-0.5607,116,-0.0283,188,0.86020,78,-0.8573
ENSG00000145868,FBXO38,30,0.61931,12,-0.8568,18,-0.2913,25,0.20937,18,-0.3998
ENSG00000173210,ABLIM3,14,-0.9606,15,-0.7725,38,0.68567,26,0.10588,31,0.52710
ENSG00000145882,PCYOX1L,8,-1.3188,8,-1.1674,6,-1.3769,16,-0.1086,29,1.50591
ENSG00000113712,CSNK1A1,229,0.47442,113,-0.7388,261,0.58135,133,-0.5355,169,-0.1634
ENSG00000183111,ARHGEF37,109,2.71404,17,-1.3528,39,-0.0913,13,-1.8744,12,-2.2336
ENSG00000113716,HMGXB3,21,-0.1355,8,-1.4640,0,-6.2056,26,0.24978,31,0.80832
ENSG00000182578,CSF1R,40,1.33629,47,1.23568,0,-6.2162,6,-1.9971,16,-0.6351
ENSG00000011083,SLC6A7,1,-4.1275,7,-1.7455,6,-1.9446,27,0.21398,48,2.16840
ENSG00000070808,CAMK2A,44,-2.7842,361,0.71762,106,-1.2060,454,1.30822,262,0.28609
ENSG00000070814,TCOF1,65,-0.3079,35,-1.1843,162,1.24183,96,0.40616,65,-0.3699
ENSG00000019582,CD74,383,2.42121,210,0.47327,122,-0.3909,33,-2.4433,43,-2.3566
ENSG00000164587,RPS14,783,0.24185,1493,1.27775,437,-0.7213,372,-1.0455,656,-0.1286
ENSG00000070614,NDST1,49,1.14954,19,-0.6950,24,-0.3034,18,-0.7697,24,-0.4326
ENSG00000171992,SYNPO,19,-2.8517,134,0.39185,150,0.57298,135,0.44496,137,0.65072
ENSG00000086589,RBM22,103,1.13921,29,-1.1517,33,-0.9711,51,-0.3493,52,-0.3637
ENSG00000132912,DCTN4,115,0.66238,44,-1.0030,17,-2.3785,79,-0.1216,91,0.17138
ENSG00000211445,GPX3,9,-2.4270,25,-0.7884,0,-7.0910,26,-0.7923,87,2.51528
ENSG00000145901,TNIP1,25,-0.2695,16,-0.9122,48,0.82607,24,-0.2763,32,0.26220
ENSG00000197043,ANXA6,39,-2.8558,68,-1.7566,207,-0.0665,233,0.13662,380,1.62809
ENSG00000196743,GM2A,99,2.08011,32,-0.5013,47,0.10429,9,-2.3964,22,-1.3491
ENSG00000113140,SPARC,372,2.46204,96,-0.6978,152,0.02062,39,-2.1438,53,-1.9596
ENSG00000177556,ATOX1,184,0.51246,141,-0.0251,144,0.00064,68,-1.2251,152,0.12713
ENSG00000145907,G3BP1,69,0.30933,39,-0.6623,65,0.14786,58,-0.0363,56,-0.1144
ENSG00000286749,AC008571.2,48,5.32422,2,-2.4243,0,-5.5343,1,-3.1063,0,-5.0627
ENSG00000155511,GRIA1,25,-2.3782,21,-2.3356,215,1.25668,153,0.76926,124,0.49292
ENSG00000164574,GALNT10,37,1.55232,23,0.29599,29,0.64109,5,-2.1505,10,-1.3385
ENSG00000164576,SAP30L,33,-0.0796,37,0.11554,45,0.43619,34,-0.0326,33,-0.1323
ENSG00000155506,LARP1,219,-0.4855,163,-0.8496,497,0.92699,365,0.46732,265,-0.1406
ENSG00000170271,FAXDC2,186,3.04409,35,-0.9782,22,-1.6508,14,-2.4176,23,-1.9972
ENSG00000155508,CNOT8,39,0.44713,14,-1.1728,2,-4.0979,18,-0.9364,44,0.86157
ENSG00000082516,GEMIN5,18,0.36901,14,-0.0559,0,-5.6631,17,0.24970,15,0.07039
ENSG00000082515,MRPL22,35,0.52354,30,0.14454,15,-0.9274,8,-1.9474,33,0.49325
ENSG00000170624,SGCD,39,1.73788,11,-0.7978,0,-5.9710,17,-0.1708,11,-0.9898
ENSG00000055163,CYFIP2,112,-1.9106,246,-0.4972,582,0.89124,443,0.49468,417,0.50759
ENSG00000155858,LSM11,5,-3.2119,20,-0.9216,70,1.08445,41,0.23627,52,0.97224
ENSG00000113282,CLINT1,39,-0.6320,47,-0.2192,49,-0.1676,89,0.93023,52,-0.1058
ENSG00000145860,RNF145,82,-1.1686,32,-2.3580,309,1.13148,279,1.11323,143,-0.1913
ENSG00000164332,UBLCP1,53,-0.8586,42,-1.0776,83,-0.0226,95,0.21689,113,0.74113
ENSG00000113312,TTC1,141,-0.2107,128,-0.3164,179,0.21364,177,0.21202,161,0.05378
ENSG00000170234,PWWP2A,120,1.37516,28,-1.3261,95,0.57504,70,0.10795,26,-1.7445
ENSG00000164609,SLU7,190,-0.4614,176,-0.5055,216,-0.1855,346,0.65222,254,0.10400
ENSG00000118322,ATP10B,75,5.13796,4,-2.4292,0,-6.1716,1,-4.3039,2,-3.7903
ENSG00000145864,GABRB2,110,-2.4463,201,-1.2963,519,0.16675,764,0.92716,641,0.79890
ENSG00000022355,GABRA1,81,-2.9923,164,-1.6912,754,0.68084,735,0.72976,706,0.90847
ENSG00000113327,GABRG2,25,-3.2067,52,-1.8447,93,-1.0006,243,0.57853,311,1.61940
ENSG00000113328,CCNG1,28,0.80684,21,0.16714,0,-5.1311,10,-0.9910,21,0.21939
ENSG00000170584,NUDCD2,59,0.99357,30,-0.3548,43,0.22655,25,-0.6829,28,-0.6009
ENSG00000038274,MAT2B,32,-1.4069,91,0.41453,9,-3.0805,45,-0.7582,122,1.57940
ENSG00000145934,TENM2,13,-2.1381,35,-0.4312,0,-7.2359,86,1.21786,64,0.87106
ENSG00000113645,WWC1,33,0.14203,48,0.70905,5,-2.7316,30,-0.0346,32,0.06238
ENSG00000113643,RARS,30,-0.5388,44,0.15241,4,-3.1624,52,0.47674,49,0.50362
ENSG00000188573,FBLL1,12,-2.2065,58,0.38101,34,-0.4477,44,-0.0736,72,1.19625
ENSG00000120137,PANK3,71,0.04814,44,-0.6845,80,0.22430,67,-0.0626,73,0.11319
ENSG00000184347,SLIT3,6,-2.7569,2,-3.6922,170,2.95998,41,0.26950,28,-0.4782
ENSG00000040275,SPDL1,36,1.87432,9,-0.9571,1,-3.3044,18,0.07894,8,-1.4601
ENSG00000204767,INSYN2B,56,3.20850,7,-1.5103,5,-1.8896,5,-1.9513,5,-2.2183
ENSG00000181163,NPM1,215,0.18007,249,0.37799,159,-0.3291,191,-0.0483,182,-0.1740
ENSG00000072803,FBXW11,135,0.20760,97,-0.3509,97,-0.3538,107,-0.2171,131,0.17446
ENSG00000168246,UBTD2,21,0.47434,5,-1.7925,20,0.29688,18,0.07631,15,-0.2131
ENSG00000120129,DUSP1,43,-0.2450,99,1.17048,0,-6.6587,59,0.34489,48,-0.0553
ENSG00000113719,ERGIC1,31,-0.1933,32,-0.1219,31,-0.1430,47,0.56188,32,-0.1571
ENSG00000037241,RPL26L1,19,-0.9889,17,-1.0146,66,1.15196,36,0.17394,37,0.29216
ENSG00000113732,ATP6V0E1,67,1.31836,34,-0.1489,37,-0.0226,20,-1.0123,25,-0.8150
ENSG00000164463,CREBRF,115,0.03125,64,-0.8857,155,0.49899,195,1.02916,74,-0.8892
ENSG00000145919,BOD1,33,-0.1230,32,-0.1671,26,-0.4670,23,-0.6720,46,0.64689
ENSG00000113742,CPEB4,138,-0.2763,135,-0.2572,329,1.21187,221,0.61181,107,-0.8180
ENSG00000170091,NSG2,47,-2.5885,121,-0.9397,437,1.12268,222,0.00472,324,0.98443
ENSG00000164466,SFXN1,47,-0.6758,67,-0.0224,51,-0.4609,78,0.25516,83,0.47639
ENSG00000113749,HRH2,2,-4.1649,20,-0.8252,127,2.26521,40,0.23444,38,0.18739
ENSG00000145920,CPLX2,50,-3.2771,681,0.99602,119,-1.7412,591,0.86871,490,0.68480
ENSG00000122203,KIAA1191,43,-0.9676,92,0.36730,62,-0.2580,70,-0.0793,96,0.65661
ENSG00000175414,ARL10,32,-0.4472,12,-1.8657,53,0.42506,62,0.79047,40,-0.0129
ENSG00000146066,HIGD2A,57,-0.1155,75,0.35374,17,-1.8834,38,-0.7621,81,0.73416
ENSG00000175416,CLTB,63,-1.5855,153,-0.0104,141,-0.1413,130,-0.2955,239,1.16812
ENSG00000113194,FAF2,66,0.28431,30,-0.9853,61,0.10997,72,0.42230,49,-0.3366
ENSG00000146083,RNF44,26,-0.9959,57,0.35763,24,-0.9919,47,0.03442,62,0.77782
ENSG00000169258,GPRIN1,5,-2.4196,28,0.22675,54,1.31532,28,0.25732,28,0.34525
ENSG00000074317,SNCB,55,-3.0919,264,-0.4683,292,-0.3153,428,0.32770,587,1.38032
ENSG00000048140,TSPAN17,10,-1.6223,18,-0.6205,10,-1.4134,31,0.24158,44,1.30924
ENSG00000113763,UNC5A,3,-3.7886,23,-0.5519,60,0.94834,38,0.21706,50,1.05434
ENSG00000087206,UIMC1,24,0.92995,13,-0.2580,0,-5.6935,23,0.70744,10,-0.8720
ENSG00000165671,NSD1,81,0.33577,47,-0.5875,41,-0.8099,119,1.03383,47,-0.7799
ENSG00000169230,PRELID1,44,-0.7459,89,0.49216,60,-0.1529,38,-0.9298,92,0.84754
ENSG00000169223,LMAN2,39,-0.3753,28,-0.8126,80,0.83761,34,-0.5856,58,0.46694
ENSG00000169220,RGS14,1,-3.7993,31,1.04927,0,-5.7696,12,-0.5159,30,1.80284
ENSG00000131188,PRR7,12,-1.0019,12,-0.9075,46,1.22011,16,-0.5498,28,0.63942
ENSG00000113758,DBN1,14,-2.2766,41,-0.4368,62,0.22254,75,0.57950,76,0.83964
ENSG00000183258,DDX41,28,-0.6162,49,0.36311,16,-1.3385,32,-0.3436,54,0.82137
ENSG00000146067,FAM193B,21,-0.5811,19,-0.6546,0,-6.5092,49,1.02315,34,0.38679
ENSG00000184840,TMED9,37,-0.4130,38,-0.3085,66,0.56285,30,-0.7055,58,0.55799
ENSG00000027847,B4GALT7,11,-0.8385,7,-1.2738,0,-5.8800,11,-0.8078,33,1.84606
ENSG00000204677,FAM153CP,14,-2.3569,10,-2.6174,41,-0.4918,164,2.32201,50,-0.2600
ENSG00000145916,RMND5B,19,-0.4026,14,-0.7994,22,-0.0749,26,0.19166,28,0.43338
ENSG00000145912,NHP2,88,-0.4569,129,0.22130,47,-1.3185,86,-0.4643,156,0.82897
ENSG00000197451,HNRNPAB,58,-0.0342,45,-0.4371,117,1.12314,55,-0.1362,51,-0.3059
ENSG00000113240,CLK4,52,0.67919,12,-1.6929,11,-1.7803,49,0.47249,34,-0.2087
ENSG00000176783,RUFY1,45,0.45111,29,-0.3022,61,0.86897,54,0.77188,15,-1.6221
ENSG00000169045,HNRNPH1,138,0.14619,84,-0.6447,158,0.34254,133,0.07455,121,-0.1211
ENSG00000127022,CANX,596,0.50138,392,-0.2821,304,-0.6763,548,0.28056,394,-0.3753
ENSG00000161013,MGAT4B,18,-0.3141,23,0.11674,1,-3.8344,9,-1.4361,35,1.31815
ENSG00000161011,SQSTM1,212,0.59655,127,-0.3528,135,-0.2598,71,-1.3350,179,0.26732
ENSG00000161010,MRNIP,21,0.39813,20,0.28233,0,-5.8332,23,0.54792,15,-0.3209
ENSG00000197226,TBC1D9B,89,1.04798,46,-0.2761,18,-1.6554,24,-1.3507,57,0.07697
ENSG00000113269,RNF130,289,1.60638,75,-1.0492,279,1.04991,55,-1.5940,73,-1.3733
ENSG00000050748,MAPK9,49,-2.0078,130,-0.3105,127,-0.3489,165,0.06470,253,1.26534
ENSG00000113300,CNOT6,23,0.32982,22,0.19982,6,-1.7327,22,0.16826,19,-0.1008
ENSG00000131446,MGAT1,31,0.08910,31,0.09067,21,-0.5573,26,-0.1984,32,0.17861
ENSG00000278970,HEIH,31,0.58771,21,-0.1737,25,0.09840,14,-0.8063,23,-0.0941
ENSG00000250222,AC008443.5,19,-0.0319,35,0.97331,38,1.13197,9,-1.1711,16,-0.4291
ENSG00000146063,TRIM41,53,0.50076,63,0.66220,57,0.50855,24,-0.8958,33,-0.5162
ENSG00000204628,RACK1,355,0.57417,371,0.51180,259,-0.0660,150,-0.9856,244,-0.2219
ENSG00000183718,TRIM52,19,-0.3919,11,-1.0957,34,0.65220,30,0.50324,22,-0.0372
ENSG00000248275,TRIM52-AS1,21,0.42645,26,0.65933,18,0.04272,20,0.28530,10,-1.0016
ENSG00000112679,DUSP22,40,0.57181,25,-0.2867,6,-2.4381,23,-0.4307,34,0.26250
ENSG00000112685,EXOC2,23,0.54356,16,-0.1751,0,-5.9006,17,-0.0951,19,0.17010
ENSG00000124535,WRNIP1,34,-0.8200,20,-1.4357,79,0.64928,49,-0.1368,71,0.72337
ENSG00000124570,SERPINB6,101,1.66998,47,-0.1158,25,-1.0920,39,-0.4497,26,-1.3156
ENSG00000124588,NQO2,25,-1.4492,44,-0.3903,43,-0.4072,70,0.39115,79,0.88001
ENSG00000137267,TUBB2A,112,-3.0723,352,-1.0968,1665,1.41831,523,-0.5402,1123,1.20926
ENSG00000137285,TUBB2B,107,-0.0051,308,1.80998,21,-2.4580,75,-0.6148,96,-0.2551
ENSG00000180822,PSMG4,9,-1.0770,21,0.35604,27,0.75879,16,-0.1041,20,0.33912
ENSG00000137266,SLC22A23,61,1.03498,18,-1.1034,52,0.49480,23,-0.8490,30,-0.5006
ENSG00000228793,AL033523.1,81,5.80115,2,-3.2289,5,-2.2237,0,-7.6562,0,-5.4359
ENSG00000145945,FAM50B,19,0.32479,22,0.52929,0,-5.7311,4,-2.1715,22,0.83857
ENSG00000112739,PRPF4B,242,0.54161,129,-0.5723,223,0.28084,257,0.58724,115,-0.9748
ENSG00000198721,ECI2,46,0.90106,38,0.35481,4,-2.8437,22,-0.5677,28,-0.2101
ENSG00000153046,CDYL,38,0.06800,69,1.02097,0,-5.9828,54,0.71425,28,-0.5525
ENSG00000214113,LYRM4,19,-1.1546,46,0.36173,13,-1.5481,31,-0.3002,56,1.13207
ENSG00000124785,NRN1,31,-2.8146,251,0.61711,58,-1.6564,136,-0.3961,303,1.64493
ENSG00000216863,LY86-AS1,1,-3.9483,16,-0.3069,0,-4.4670,47,1.84879,24,0.53190
ENSG00000124783,SSR1,132,0.42659,87,-0.3342,134,0.35176,100,-0.1337,92,-0.3483
ENSG00000124784,RIOK1,33,-0.1805,22,-0.7299,57,0.73196,55,0.77125,27,-0.5760
ENSG00000168566,SNRNP48,34,0.78546,10,-1.3065,7,-1.8549,42,1.07439,14,-0.9947
ENSG00000239264,TXNDC5,34,0.71781,12,-1.0146,27,0.18343,13,-0.9917,24,0.03252
ENSG00000124802,EEF1E1,29,-0.7135,28,-0.6965,75,0.88242,27,-0.7704,58,0.71987
ENSG00000124786,SLC35B3,29,1.30212,13,-0.3368,0,-5.7561,13,-0.3715,13,-0.4305
ENSG00000111845,PAK1IP1,41,-0.0118,20,-1.0918,10,-2.1299,63,0.78986,43,0.12668
ENSG00000111843,TMEM14C,73,0.50013,68,0.27912,5,-3.5014,27,-1.2270,71,0.51646
ENSG00000137210,TMEM14B,69,0.31413,73,0.33523,15,-2.0412,27,-1.3028,75,0.59720
ENSG00000224531,SMIM13,53,-0.8878,59,-0.6031,56,-0.6776,85,-0.0407,128,0.99942
ENSG00000205269,TMEM170B,32,-0.6016,46,0.07570,22,-1.0268,42,-0.0811,59,0.72721
ENSG00000095951,HIVEP1,13,-1.7324,27,-0.4650,115,1.99743,54,0.71310,28,-0.5647
ENSG00000112137,PHACTR1,57,-2.0020,241,0.43263,234,0.38615,212,0.24941,239,0.63942
ENSG00000145979,TBC1D7,10,-1.2058,20,-0.0271,31,0.69363,8,-1.3868,31,1.11585
ENSG00000145990,GFOD1,76,-1.8064,145,-0.6034,197,-0.1345,347,0.90589,274,0.59898
ENSG00000124523,SIRT5,16,-1.1319,20,-0.5991,34,0.21305,37,0.36805,39,0.60628
ENSG00000225921,NOL7,137,0.48082,164,0.65840,15,-2.9150,117,0.12724,93,-0.3352
ENSG00000010017,RANBP9,35,-1.1408,37,-0.8880,136,1.18670,46,-0.6240,90,0.76088
ENSG00000050393,MCUR1,51,0.14185,59,0.35277,26,-0.9135,42,-0.1951,50,0.10799
ENSG00000112149,CD83,4,-2.7237,9,-1.2136,0,-6.1006,16,-0.3722,43,2.44639
ENSG00000008083,JARID2,40,0.60505,10,-1.5962,0,-5.4603,45,0.76282,27,-0.2229
ENSG00000047579,DTNBP1,24,-0.6151,82,1.50632,0,-6.7728,11,-1.7487,48,0.91793
ENSG00000007944,MYLIP,54,1.95184,11,-1.1830,0,-6.3577,12,-1.1207,18,-0.6135
ENSG00000124788,ATXN1,87,-0.5189,154,0.47265,123,0.10313,145,0.41973,109,-0.1202
ENSG00000112186,CAP2,31,-3.1781,80,-1.5173,531,1.52621,319,0.72758,257,0.42339
ENSG00000137414,FAM8A1,31,-0.4601,13,-1.6498,50,0.36049,54,0.54322,43,0.20141
ENSG00000124789,NUP153,20,-0.3300,18,-0.4452,14,-0.8429,38,0.83877,24,0.00594
ENSG00000137177,KIF13A,86,1.75032,45,0.09992,28,-0.6131,34,-0.3382,15,-1.8785
ENSG00000137364,TPMT,19,-0.9844,58,0.89591,12,-1.5514,36,0.15661,41,0.53104
ENSG00000124795,DEK,327,1.02307,191,-0.1193,205,-0.0123,250,0.34965,97,-1.4565
ENSG00000172201,ID4,103,1.05532,110,0.87258,66,0.04259,52,-0.3709,29,-1.5086
ENSG00000112242,E2F3,12,-1.0140,9,-1.2905,0,-6.1080,28,0.53436,32,1.15055
ENSG00000124766,SOX4,31,0.08034,47,0.76604,24,-0.2909,47,0.85248,17,-1.1142
ENSG00000272168,CASC15,22,-1.1723,18,-1.3546,50,0.22432,76,1.08685,47,0.18894
ENSG00000152954,NRSN1,33,-2.7611,337,1.09044,191,0.14451,213,0.36312,216,0.51904
ENSG00000112294,ALDH5A1,49,-0.6153,104,0.69184,11,-2.6515,71,0.08268,86,0.56508
ENSG00000137261,KIAA0319,7,-2.2724,31,0.09276,37,0.39053,28,-0.0376,43,1.02557
ENSG00000111802,TDP2,39,-0.4403,65,0.44523,12,-2.0438,46,-0.1275,64,0.63941
ENSG00000112304,ACOT13,34,0.30568,44,0.65461,1,-4.1987,20,-0.6081,33,0.30984
ENSG00000112308,C6orf62,180,0.02724,223,0.36383,26,-2.8774,206,0.26707,188,0.13211
ENSG00000111913,RIPOR2,10,-2.3892,30,-0.5397,132,1.98282,59,0.62028,38,-0.2082
ENSG00000079691,CARMIL1,10,-1.1586,34,0.85554,15,-0.4309,37,1.21919,16,-0.4638
ENSG00000197061,HIST1H4C,77,-0.2214,134,0.72148,28,-1.7160,111,0.46047,83,-0.0769
ENSG00000180573,HIST1H2AC,55,3.03569,18,-0.1644,9,-1.1495,0,-5.7897,6,-2.1178
ENSG00000168298,HIST1H1E,19,0.18274,23,0.43201,0,-5.8814,44,1.87923,6,-1.9214
ENSG00000112763,BTN2A1,19,-0.7777,17,-0.8512,52,0.90120,48,0.90213,26,-0.2987
ENSG00000182952,HMGN4,21,-0.0331,8,-1.5010,36,0.81026,11,-1.0760,27,0.53607
ENSG00000181315,ZNF322,25,0.64586,14,-0.4279,2,-3.3483,28,0.72889,14,-0.5399
ENSG00000269293,ZSCAN16-AS1,84,0.85321,77,0.47721,79,0.51705,24,-1.4309,43,-0.6084
ENSG00000204713,TRIM27,33,-0.1355,36,0.02247,50,0.54111,39,0.18340,31,-0.2485
ENSG00000204681,GABBR1,145,-1.5725,289,-0.3228,1055,1.88679,357,0.01205,352,-0.0166
ENSG00000204655,MOG,300,3.89001,10,-3.2801,81,-0.2652,9,-3.6089,12,-3.5164
ENSG00000206503,HLA-A,167,0.78875,140,0.31153,171,0.63981,56,-1.1916,86,-0.6058
ENSG00000204619,PPP1R11,36,-0.5763,38,-0.3954,71,0.57574,26,-1.0539,69,0.81885
ENSG00000234127,TRIM26,19,0.35283,18,0.15410,3,-2.4284,19,0.29022,15,-0.1230
ENSG00000231074,HCG18,128,0.10933,81,-0.6181,150,0.34621,191,0.85205,84,-0.7642
ENSG00000241370,RPP21,32,-0.0133,27,-0.2959,67,1.19401,21,-0.7524,31,-0.0790
ENSG00000204592,HLA-E,135,1.51671,159,1.35030,12,-2.6684,41,-0.9074,31,-1.6085
ENSG00000204590,GNL1,82,-0.9391,134,-0.0320,173,0.37751,153,0.19942,161,0.39523
ENSG00000204574,ABCF1,165,0.28789,69,-1.1257,110,-0.4185,195,0.56300,128,-0.2446
ENSG00000204569,PPP1R10,71,0.42783,36,-0.7155,76,0.44917,54,-0.1016,50,-0.3094
ENSG00000204568,MRPS18B,75,0.77226,61,0.23925,16,-1.7870,22,-1.3791,57,0.20515
ENSG00000137343,ATAT1,47,-0.1260,30,-0.7786,157,1.98052,26,-1.0909,43,-0.3352
ENSG00000204564,C6orf136,28,-0.6909,21,-1.0195,28,-0.5782,33,-0.3837,63,1.13293
ENSG00000204560,DHX16,21,0.00371,26,0.31567,8,-1.4046,33,0.81467,17,-0.4242
ENSG00000137337,MDC1,31,1.66295,7,-1.2123,8,-1.0492,8,-0.9994,11,-0.6301
ENSG00000196230,TUBB,168,-1.2450,192,-0.8686,471,0.54572,230,-0.6454,517,1.15354
ENSG00000137312,FLOT1,118,-0.5294,113,-0.5104,166,0.09181,138,-0.2191,203,0.64305
ENSG00000204580,DDR1,216,2.64170,54,-0.6680,78,-0.1153,23,-2.0288,24,-2.2993
ENSG00000137411,VARS2,19,-0.0660,6,-1.6964,27,0.52779,29,0.73907,16,-0.3485
ENSG00000204525,HLA-C,50,0.41063,61,0.63006,16,-1.4392,23,-0.9476,44,0.18891
ENSG00000234745,HLA-B,121,0.87141,115,0.56552,84,0.05448,44,-1.0117,60,-0.6214
ENSG00000198563,DDX39B,116,0.18903,80,-0.4224,157,0.64499,87,-0.3285,100,-0.1142
ENSG00000213760,ATP6V1G2,61,-1.5636,167,0.18506,63,-1.3044,115,-0.4371,248,1.42508
ENSG00000204472,AIF1,60,1.88615,56,1.13717,2,-3.8708,9,-1.7681,13,-1.4725
ENSG00000204469,PRRC2A,80,-0.1148,102,0.29937,73,-0.2338,61,-0.5639,99,0.36628
ENSG00000204463,BAG6,72,-0.1812,54,-0.5870,109,0.50590,36,-1.3029,105,0.70390
ENSG00000204438,GPANK1,29,0.43425,19,-0.3281,25,0.10144,15,-0.7351,24,0.07194
ENSG00000204435,CSNK2B,118,0.08817,106,-0.0953,94,-0.2729,91,-0.3619,125,0.25556
ENSG00000204427,ABHD16A,28,-0.5479,13,-1.5086,54,0.61221,34,-0.1634,47,0.59777
ENSG00000213722,DDAH2,31,1.17394,38,1.24300,9,-1.0509,9,-1.1290,10,-1.0866
ENSG00000204394,VARS,20,-0.4635,18,-0.5565,3,-2.8505,15,-0.8309,43,1.37916
ENSG00000204392,LSM2,53,1.05525,20,-0.7801,19,-0.8116,20,-0.8437,31,-0.1308
ENSG00000204389,HSPA1A,82,0.60622,35,-0.8746,91,0.63568,27,-1.3286,63,0.03407
ENSG00000204388,HSPA1B,72,-1.0864,82,-0.7348,238,0.96954,114,-0.2573,172,0.64968
