Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12to13,Feature log2 fold change topic 12to13
ENSG00000172795,DCP2,27,-0.8238,36,-0.4154,22,-1.1356,53,0.21218,40,-0.2026,48,0.06459,47,0.03008,40,-0.2034,70,0.66702,66,0.63723
ENSG00000047188,YTHDC2,18,-1.2408,21,-1.1069,15,-1.5481,51,0.31230,74,0.89677,39,-0.1241,35,-0.3000,41,-0.0500,61,0.59092,66,0.79582
ENSG00000152503,TRIM36,16,-1.8456,37,-0.6294,29,-0.9517,62,0.20583,42,-0.4000,61,0.19670,30,-0.9204,111,1.13995,70,0.39421,77,0.59363
ENSG00000164219,PGGT1B,46,0.43209,21,-0.8060,68,1.07547,51,0.60225,41,0.25878,18,-1.0189,55,0.74105,22,-0.6597,38,0.15451,25,-0.5159
ENSG00000164221,CCDC112,39,-0.7048,27,-1.3253,159,1.55820,46,-0.4515,82,0.45552,31,-1.1306,88,0.55483,114,0.98198,51,-0.2984,55,-0.2063
ENSG00000145780,FEM1C,62,0.94449,24,-0.6044,25,-0.4753,38,0.14014,18,-0.9399,38,0.18080,52,0.64520,60,0.88383,9,-1.9123,29,-0.2631
ENSG00000134970,TMED7,86,0.60968,33,-0.9152,83,0.54914,94,0.74723,57,-0.0301,70,0.31499,23,-1.3792,85,0.58663,31,-0.9785,48,-0.3465
ENSG00000129596,CDO1,57,0.42211,26,-0.8115,11,-2.0313,31,-0.5166,11,-1.9654,71,0.87055,33,-0.4088,67,0.68374,29,-0.5959,66,0.72359
ENSG00000145782,ATG12,33,-1.1951,69,-0.1015,82,0.16632,69,-0.0910,88,0.28557,70,-0.0959,109,0.62503,70,-0.0750,61,-0.2848,83,0.20319
ENSG00000177879,AP3S1,68,-0.8270,163,0.59202,58,-1.0482,74,-0.7003,122,0.07798,102,-0.2274,147,0.37244,126,0.12343,151,0.41371,118,0.03156
ENSG00000092421,SEMA6A,47,0.52049,16,-1.2394,137,2.40372,77,1.32009,34,0.02153,16,-1.1718,10,-1.8338,25,-0.4680,11,-1.6518,19,-0.9630
ENSG00000172869,DMXL1,27,-0.6960,37,-0.2493,38,-0.1942,34,-0.3522,49,0.22345,34,-0.3696,50,0.23466,56,0.43478,44,0.04395,58,0.52667
ENSG00000133835,HSD17B4,112,0.55783,55,-0.5889,160,1.15193,101,0.40312,70,-0.1738,56,-0.5581,38,-1.0848,70,-0.1824,46,-0.8173,101,0.43506
ENSG00000151304,SRFBP1,31,0.43010,20,-0.2689,30,0.38278,11,-1.1518,30,0.42481,6,-2.1446,36,0.70291,30,0.39513,32,0.51427,25,0.16274
ENSG00000205302,SNX2,44,-0.6165,46,-0.6040,76,0.20302,73,0.15019,31,-1.1671,75,0.21050,112,0.83107,75,0.19445,55,-0.2812,78,0.26693
ENSG00000064652,SNX24,30,0.04747,32,0.15869,43,0.60132,14,-1.0746,51,0.87181,26,-0.1700,18,-0.7559,26,-0.2063,30,0.04006,26,-0.1963
ENSG00000151292,CSNK1G3,31,-0.8527,42,-0.4167,26,-1.0726,38,-0.5241,88,0.78527,39,-0.5232,148,1.67623,37,-0.5600,69,0.38864,50,-0.1229
ENSG00000168916,ZNF608,47,0.51432,52,0.75156,45,0.43791,39,0.19731,64,1.01616,35,0.04121,56,0.78530,8,-2.1940,2,-3.9615,4,-3.1561
ENSG00000155324,GRAMD2B,210,2.04873,52,-0.3255,188,1.83887,136,1.25129,54,-0.2205,22,-1.6327,22,-1.5765,7,-3.1889,21,-1.6510,15,-2.2223
ENSG00000164904,ALDH7A1,263,1.70197,105,0.17796,354,2.27004,87,-0.1254,55,-0.8155,51,-0.9995,40,-1.2967,18,-2.4575,66,-0.5519,17,-2.6409
ENSG00000164902,PHAX,98,-0.3405,102,-0.3105,206,0.82481,81,-0.6423,131,0.10473,124,0.01040,142,0.22490,117,-0.0740,158,0.39936,106,-0.2461
ENSG00000164241,C5orf63,57,1.37672,30,0.37089,83,2.07354,22,-0.1844,41,0.80803,2,-3.6394,7,-1.7375,5,-2.2298,31,0.35474,3,-2.8930
ENSG00000145794,MEGF10,157,3.19792,6,-2.3868,83,1.84639,32,0.21735,18,-0.6497,10,-1.5480,0,-7.7967,0,-5.2620,7,-1.9582,14,-1.0318
ENSG00000205279,CTXN3,8,-2.5089,28,-0.8498,0,-9.0670,0,-5.8967,3,-3.9105,91,1.24115,118,1.53150,88,1.02027,7,-2.7294,71,0.75774
ENSG00000245937,LINC01184,53,0.10741,60,0.32324,38,-0.4033,52,0.07117,60,0.29083,51,0.06792,63,0.37055,57,0.22778,22,-1.1987,38,-0.4324
ENSG00000064651,SLC12A2,49,-1.1153,60,-0.8655,384,2.28881,176,0.87752,108,0.08643,39,-1.5404,42,-1.3474,99,-0.0419,73,-0.5041,98,-0.0672
ENSG00000169567,HINT1,435,-0.8315,614,-0.3290,354,-1.1404,332,-1.2358,367,-1.0860,1181,0.81920,685,-0.1369,532,-0.5255,703,-0.0953,1362,1.09718
ENSG00000186687,LYRM7,99,-0.5646,155,0.13745,143,0.00328,121,-0.2512,209,0.60772,116,-0.3418,161,0.18607,106,-0.4543,210,0.61246,132,-0.1307
ENSG00000158985,CDC42SE2,55,-1.6822,169,0.01517,128,-0.4172,136,-0.3199,210,0.35796,156,-0.1195,194,0.23295,222,0.45159,253,0.65614,164,-0.0351
ENSG00000158987,RAPGEF6,31,-0.1023,21,-0.7337,60,0.95112,89,1.63654,63,1.04046,20,-0.8321,23,-0.5626,21,-0.6630,7,-2.2919,27,-0.3381
ENSG00000217128,FNIP1,30,-0.2510,15,-1.3216,68,1.04066,45,0.35231,73,1.16417,23,-0.6917,25,-0.5387,50,0.51695,18,-1.0143,38,0.12327
ENSG00000164398,ACSL6,566,1.31493,100,-1.4944,84,-1.6728,207,-0.3151,337,0.45255,228,-0.1790,231,-0.1475,171,-0.6008,331,0.42375,356,0.60024
ENSG00000113522,RAD50,181,-0.3105,110,-1.1286,336,0.66605,142,-0.6752,387,0.89859,97,-1.3279,432,1.08421,176,-0.3513,270,0.31378,268,0.33502
ENSG00000131437,KIF3A,206,-1.4866,247,-1.2888,399,-0.4922,218,-1.4018,999,0.96398,242,-1.3171,803,0.60477,645,0.25312,1144,1.19401,873,0.83248
ENSG00000164402,SEPTIN8,192,-0.3728,191,-0.4111,380,0.70189,259,0.09010,321,0.42910,236,-0.0611,146,-0.7947,287,0.25042,185,-0.4289,278,0.22038
ENSG00000198944,SOWAHA,104,-0.0602,303,2.05107,40,-1.4804,120,0.16389,29,-1.9640,130,0.31404,98,-0.1551,141,0.42153,1,-6.0937,3,-5.0724
ENSG00000164405,UQCRQ,521,0.04063,558,0.16380,274,-0.9430,369,-0.4922,260,-1.0207,776,0.75863,448,-0.1914,240,-1.1375,473,-0.1072,671,0.48944
ENSG00000072364,AFF4,95,-0.3113,80,-0.6103,114,-0.0276,137,0.26639,166,0.56658,68,-0.8680,357,1.89196,140,0.29308,68,-0.8112,67,-0.8905
ENSG00000155329,ZCCHC10,48,0.29595,44,0.16987,63,0.74058,22,-0.9011,46,0.22979,26,-0.6575,42,0.09675,23,-0.7924,37,-0.1016,46,0.27450
ENSG00000170606,HSPA4,59,-1.0866,65,-0.9881,90,-0.4474,36,-1.7892,57,-1.1282,141,0.27158,229,1.03784,83,-0.5587,127,0.08419,234,1.23450
ENSG00000113583,C5orf15,18,-0.6682,6,-2.4224,59,1.15545,52,0.95159,6,-2.2166,36,0.39780,18,-0.7411,31,0.11380,21,-0.4911,42,0.67489
ENSG00000213585,VDAC1,168,-0.8051,198,-0.6010,143,-1.0497,123,-1.2699,129,-1.2086,378,0.49644,206,-0.5000,363,0.38154,416,0.60385,501,1.02755
ENSG00000113558,SKP1,609,-0.1741,529,-0.4217,430,-0.7069,401,-0.8138,300,-1.2472,1004,0.68816,731,0.10978,628,-0.1260,603,-0.1908,1045,0.76391
ENSG00000113575,PPP2CA,174,-0.6112,170,-0.6941,113,-1.2537,129,-1.0645,214,-0.2941,289,0.19173,252,-0.0391,387,0.64375,301,0.23615,437,0.95024
ENSG00000006837,CDKL3,29,0.28634,32,0.49666,48,1.11877,13,-0.9136,36,0.62868,8,-1.7560,43,0.91147,6,-2.0725,9,-1.4132,25,0.04004
ENSG00000119048,UBE2B,79,-1.2282,165,-0.1313,101,-0.8634,230,0.40310,150,-0.2674,219,0.35692,216,0.30417,269,0.65629,177,-0.0091,163,-0.1504
ENSG00000237190,CDKN2AIPNL,19,-1.4911,53,0.02934,15,-1.8286,35,-0.6179,58,0.15288,84,0.85525,60,0.21671,67,0.38960,45,-0.2190,52,0.00653
ENSG00000043143,JADE2,12,-1.5848,49,0.58945,23,-0.6566,49,0.53643,19,-0.9074,51,0.66268,19,-0.9012,51,0.58884,29,-0.2895,26,-0.4681
ENSG00000152700,SAR1B,81,0.52113,42,-0.5531,94,0.76335,65,0.18155,61,0.07064,54,-0.1243,56,-0.0679,98,0.82421,25,-1.2867,43,-0.4991
ENSG00000164615,CAMLG,125,-0.3019,122,-0.3572,123,-0.3207,84,-0.8989,154,0.02797,203,0.51173,174,0.21830,124,-0.3172,153,0.00897,192,0.40887
ENSG00000145833,DDX46,98,-0.2184,66,-0.8746,166,0.60764,194,0.85740,244,1.25125,72,-0.7420,127,0.17898,102,-0.1558,114,0.00600,75,-0.6710
ENSG00000181904,C5orf24,68,-0.2229,60,-0.4450,108,0.49536,100,0.36860,81,0.03137,58,-0.5139,83,0.08130,82,0.06141,147,1.00218,60,-0.4456
ENSG00000113621,TXNDC15,87,0.55241,9,-2.9071,50,-0.2990,61,-0.0090,52,-0.2534,85,0.57993,74,0.29863,77,0.35794,36,-0.8142,85,0.58051
ENSG00000113648,H2AFY,82,-0.5217,107,-0.1303,72,-0.7163,163,0.54827,128,0.15766,135,0.27350,89,-0.3993,144,0.35251,123,0.09364,108,-0.1201
ENSG00000145824,CXCL14,919,1.44985,445,0.27086,54,-2.9083,365,-0.0643,258,-0.6013,1079,2.08569,135,-1.5722,39,-3.3626,77,-2.3985,28,-3.9855
ENSG00000113658,SMAD5,65,0.88411,27,-0.5052,86,1.37661,38,0.04023,81,1.26355,21,-0.8835,62,0.82601,9,-2.1034,24,-0.6437,10,-2.0691
ENSG00000152377,SPOCK1,121,-1.2269,117,-1.3592,272,-0.0007,132,-1.0947,328,0.29589,235,-0.2416,110,-1.3705,163,-0.7861,788,1.78121,458,0.94245
ENSG00000146021,KLHL3,13,-1.0014,23,-0.0873,22,-0.1754,0,-5.0425,40,0.77100,26,0.11542,14,-0.8309,38,0.69323,46,1.00920,23,-0.0832
ENSG00000177733,HNRNPA0,92,-0.5243,109,-0.2871,86,-0.6235,78,-0.7632,90,-0.5496,172,0.50195,115,-0.1802,150,0.23834,169,0.42636,168,0.46025
ENSG00000031003,FAM13B,36,-0.6773,40,-0.5634,54,-0.0715,42,-0.4806,101,0.91763,47,-0.3018,78,0.49303,54,-0.0869,52,-0.1316,73,0.44248
ENSG00000112981,NME5,34,-0.0520,22,-0.7745,15,-1.2906,14,-1.3322,8,-2.1251,53,0.71930,41,0.24758,60,0.86920,26,-0.4756,54,0.77059
ENSG00000112983,BRD8,58,-0.3268,23,-1.7704,57,-0.3530,97,0.47847,113,0.71589,94,0.46230,95,0.44310,61,-0.2568,58,-0.3229,80,0.18911
ENSG00000094880,CDC23,31,0.39485,15,-0.8075,35,0.58105,9,-1.4046,3,-3.0359,25,0.07750,4,-2.6193,40,0.80395,39,0.77160,36,0.71476
ENSG00000120709,FAM53C,43,0.00810,56,0.45353,26,-0.7706,21,-1.0858,42,-0.0291,54,0.38590,33,-0.3983,70,0.76662,18,-1.2876,43,0.01127
ENSG00000120733,KDM3B,65,0.64337,28,-0.6770,72,0.80893,66,0.67165,52,0.30561,50,0.24215,41,-0.0578,38,-0.2066,25,-0.7961,22,-1.0541
ENSG00000132563,REEP2,87,-0.6525,153,0.23425,58,-1.2692,112,-0.2707,161,0.30325,149,0.19318,86,-0.6768,179,0.47012,172,0.40650,136,0.04119
ENSG00000120738,EGR1,11,-3.7105,115,-0.3742,15,-3.2878,346,1.43604,80,-0.9036,112,-0.4181,226,0.71287,418,1.77910,132,-0.1347,96,-0.6683
ENSG00000120705,ETF1,51,-0.4374,39,-0.9114,33,-1.0928,91,0.47440,45,-0.6281,90,0.50714,115,0.84877,96,0.54656,45,-0.6218,73,0.12684
ENSG00000113013,HSPA9,298,0.23202,111,-1.3443,169,-0.6475,161,-0.7187,181,-0.5364,322,0.38963,307,0.28048,215,-0.2736,426,0.80871,359,0.58973
ENSG00000044115,CTNNA1,160,0.82286,91,-0.0795,219,1.34917,120,0.34824,100,0.06800,74,-0.4237,82,-0.2352,51,-0.9541,82,-0.2394,50,-1.0503
ENSG00000146006,LRRTM2,21,-1.6055,44,-0.5722,29,-1.1481,32,-1.0073,47,-0.4227,79,0.41862,116,1.01391,107,0.87509,44,-0.5331,82,0.48830
ENSG00000120727,PAIP2,232,-0.3364,177,-0.8008,261,-0.1551,107,-1.5030,167,-0.8324,434,0.72832,309,0.10743,156,-0.9345,370,0.39495,462,0.84572
ENSG00000170464,DNAJC18,45,-0.9400,83,-0.0130,74,-0.1905,33,-1.4293,86,0.02645,81,-0.0589,118,0.53444,91,0.12291,128,0.66570,95,0.20371
ENSG00000131508,UBE2D2,84,-0.5156,114,-0.0674,101,-0.2364,94,-0.3450,83,-0.5383,156,0.48986,133,0.18823,137,0.23499,61,-1.0123,151,0.42369
ENSG00000171604,CXXC5,177,-0.1540,190,-0.0479,141,-0.5037,197,0.01108,159,-0.3216,188,-0.0627,187,-0.0705,379,1.06826,234,0.27972,156,-0.3765
ENSG00000146005,PSD2,243,2.26101,71,0.14612,39,-0.7614,110,0.83286,66,0.01937,39,-0.8188,24,-1.5134,22,-1.6337,27,-1.3267,48,-0.5134
ENSG00000185129,PURA,152,-0.7156,249,0.05017,323,0.45438,254,0.07312,319,0.43751,190,-0.4006,339,0.53506,208,-0.2308,343,0.55233,165,-0.6352
ENSG00000182700,IGIP,79,-0.3523,96,-0.0517,80,-0.3344,90,-0.1399,76,-0.4021,106,0.11692,99,-0.0007,87,-0.1927,191,1.05662,90,-0.1523
ENSG00000120306,CYSTM1,236,1.38314,103,0.02767,49,-1.0994,144,0.56157,61,-0.7642,111,0.15981,80,-0.3543,42,-1.3424,72,-0.5293,102,0.01207
ENSG00000113068,PFDN1,103,-0.4104,138,0.04453,80,-0.7942,74,-0.9079,105,-0.3815,146,0.14797,184,0.49973,135,0.00819,116,-0.2206,190,0.61181
ENSG00000131503,ANKHD1,107,-0.0938,76,-0.6585,191,0.82617,214,1.01673,241,1.22181,55,-1.1673,108,-0.0841,71,-0.7318,93,-0.3077,96,-0.2843
ENSG00000213523,SRA1,57,0.63368,39,0.04825,18,-1.1646,15,-1.4352,43,0.16846,57,0.71450,25,-0.6292,16,-1.2913,53,0.52197,39,0.01469
ENSG00000113108,APBB3,14,-0.8550,13,-1.0241,7,-1.7768,19,-0.3831,9,-1.4446,32,0.46352,4,-2.4931,48,1.08576,13,-0.8903,57,1.57923
ENSG00000176087,SLC35A4,29,0.35580,18,-0.3748,18,-0.4009,70,1.84248,11,-1.0425,26,0.18796,14,-0.7991,16,-0.5228,18,-0.3801,18,-0.4145
ENSG00000131495,NDUFA2,212,-0.0213,200,-0.1248,130,-0.7713,156,-0.4888,90,-1.3122,370,0.98602,144,-0.6161,129,-0.7772,228,0.08947,282,0.47725
ENSG00000113141,IK,108,-0.5287,108,-0.5805,268,0.89864,157,0.03565,153,0.00086,137,-0.1906,272,0.92488,123,-0.3336,46,-1.8022,187,0.34380
ENSG00000170445,HARS,57,-0.6415,92,0.08707,50,-0.8358,109,0.35068,39,-1.2227,113,0.44869,43,-1.0568,101,0.23995,70,-0.3262,126,0.65888
ENSG00000146007,ZMAT2,172,-0.4683,237,0.02540,284,0.31169,161,-0.5693,141,-0.7694,198,-0.2774,464,1.11650,237,0.02378,278,0.27520,213,-0.1555
ENSG00000178913,TAF7,85,-0.5899,80,-0.7319,122,-0.0360,105,-0.2799,110,-0.1989,117,-0.1216,198,0.72815,149,0.27056,109,-0.2147,179,0.62482
ENSG00000131504,DIAPH1,14,-1.1363,54,1.11934,18,-0.7656,52,0.90426,22,-0.4492,47,0.82952,25,-0.2317,28,-0.0878,2,-3.7899,10,-1.7293
ENSG00000164620,RELL2,17,-1.3276,52,0.36204,3,-3.6565,25,-0.7891,36,-0.2226,50,0.29313,36,-0.2392,42,-0.0130,55,0.40875,64,0.75822
ENSG00000081791,DELE1,36,0.28850,25,-0.2696,32,0.09865,69,1.35650,26,-0.1922,28,-0.0917,21,-0.4964,41,0.49606,4,-2.8468,26,-0.2493
ENSG00000013561,RNF14,39,-0.6735,53,-0.2271,28,-1.1586,22,-1.4973,74,0.29260,74,0.32144,45,-0.4554,59,-0.0504,78,0.38856,97,0.82292
ENSG00000113552,GNPDA1,17,-1.0969,33,-0.1037,15,-1.3135,28,-0.3471,19,-0.9525,56,0.82535,45,0.38153,52,0.60524,32,-0.1566,36,0.05549
ENSG00000131507,NDFIP1,266,-1.1308,354,-0.7463,195,-1.5884,338,-0.7709,365,-0.6533,648,0.25846,503,-0.1620,872,0.71300,666,0.27818,1022,1.10966
ENSG00000113578,FGF1,142,1.01814,62,-0.3184,412,3.10360,94,0.34333,74,-0.0271,12,-2.7869,21,-1.9385,9,-3.0477,48,-0.6883,16,-2.3826
ENSG00000145819,ARHGAP26,75,-0.8712,101,-0.4365,66,-1.0536,106,-0.3320,190,0.57890,77,-0.8769,158,0.28401,225,0.85588,235,0.92915,151,0.23638
ENSG00000113580,NR3C1,76,-0.8009,80,-0.7777,149,0.23710,266,1.18431,135,0.07928,79,-0.7893,163,0.37499,195,0.66227,154,0.28253,107,-0.3136
ENSG00000145817,YIPF5,41,-0.8996,26,-1.6841,55,-0.4697,68,-0.1352,117,0.71158,62,-0.3155,114,0.67296,97,0.40832,90,0.30237,106,0.62338
ENSG00000183775,KCTD16,73,-1.4529,194,0.02840,55,-1.8566,93,-1.0851,209,0.14671,180,-0.0968,299,0.71627,549,1.76696,171,-0.1685,141,-0.5048
ENSG00000133706,LARS,119,-0.2615,86,-0.7979,128,-0.1447,143,0.02674,178,0.36883,119,-0.2845,256,0.96303,76,-0.9357,111,-0.3705,204,0.65773
ENSG00000091009,RBM27,100,0.10033,79,-0.2974,146,0.70474,116,0.33024,128,0.48331,64,-0.6437,148,0.72605,77,-0.3094,57,-0.7711,83,-0.2151
ENSG00000113649,TCERG1,61,-1.1667,62,-1.2237,135,0.03057,98,-0.4640,273,1.17021,86,-0.7046,192,0.58693,180,0.48695,191,0.58101,148,0.18838
ENSG00000156475,PPP2R2B,143,-0.7153,198,-0.2436,140,-0.7490,82,-1.5522,209,-0.1376,241,0.09145,291,0.38265,260,0.20198,354,0.70049,306,0.51527
ENSG00000113657,DPYSL3,117,1.00259,53,-0.2903,128,1.15293,52,-0.2927,30,-1.1075,52,-0.2957,48,-0.4174,128,1.15336,51,-0.3227,26,-1.4195
ENSG00000176049,JAKMIP2,96,-0.1297,70,-0.6554,120,0.21733,61,-0.8130,145,0.52485,62,-0.8467,185,0.92232,115,0.16113,114,0.14161,127,0.34335
ENSG00000173210,ABLIM3,29,0.29991,46,1.20449,7,-1.6957,19,-0.3218,39,0.80121,22,-0.0862,29,0.31292,23,-0.0456,10,-1.2967,7,-1.7963
ENSG00000164284,GRPEL2,17,-0.6000,23,-0.1322,24,-0.0619,34,0.46535,36,0.54374,28,0.13791,4,-2.5985,27,0.09053,11,-1.2614,37,0.67347
ENSG00000113712,CSNK1A1,184,-0.0484,111,-0.8752,168,-0.1967,261,0.50083,240,0.36727,203,0.10682,149,-0.3748,162,-0.2533,259,0.48881,211,0.17962
ENSG00000182578,CSF1R,23,-0.8858,35,-0.3231,52,0.31198,309,3.91643,12,-1.8468,30,-0.5701,9,-2.1855,13,-1.7622,1,-5.0780,0,-5.9946
ENSG00000011083,SLC6A7,3,-2.8216,22,-0.2016,0,-8.2350,5,-2.3446,31,0.35273,24,-0.0342,35,0.54766,78,1.91457,32,0.39336,23,-0.1338
ENSG00000070808,CAMK2A,381,-0.1942,832,1.21046,95,-2.2687,421,-0.0390,297,-0.5778,438,0.02471,606,0.53638,764,0.91745,208,-1.1130,151,-1.6698
ENSG00000070814,TCOF1,26,-0.8950,31,-0.6749,48,0.05156,35,-0.4126,125,1.64520,47,0.04201,31,-0.6310,60,0.39969,63,0.49485,29,-0.7622
ENSG00000019582,CD74,53,-1.3460,83,-0.7346,229,0.90580,997,4.09113,40,-1.7564,63,-1.1776,17,-3.0185,13,-3.3674,13,-3.3754,19,-2.9321
ENSG00000164587,RPS14,1143,0.32248,1581,0.95900,1198,0.39809,1183,0.37708,650,-0.5540,895,-0.0683,700,-0.4406,413,-1.2378,628,-0.6064,620,-0.6705
ENSG00000070614,NDST1,24,0.16229,48,1.46871,19,-0.2344,32,0.59938,13,-0.7913,26,0.31245,7,-1.6041,22,0.01141,6,-1.8135,6,-1.9743
ENSG00000171992,SYNPO,83,-0.4639,228,1.31947,38,-1.6291,121,0.11882,48,-1.2712,109,-0.0446,78,-0.5468,247,1.28868,75,-0.6203,46,-1.4130
ENSG00000086589,RBM22,44,-0.0888,30,-0.7313,53,0.19187,63,0.47915,48,0.05860,60,0.45244,29,-0.7271,44,-0.0795,47,0.03233,48,0.05639
ENSG00000132912,DCTN4,94,0.39128,45,-0.7915,63,-0.2444,114,0.69241,52,-0.5188,69,-0.1098,70,-0.0654,65,-0.1928,63,-0.2456,103,0.59505
ENSG00000211445,GPX3,2,-4.7214,50,-0.0434,1,-5.0421,103,1.11613,6,-3.0071,32,-0.7863,41,-0.3306,51,-0.0221,75,0.58879,113,1.47915
ENSG00000145901,TNIP1,30,0.25930,22,-0.2616,7,-1.7848,43,0.82306,28,0.14969,34,0.49783,16,-0.7012,14,-0.9087,40,0.72530,20,-0.3577
ENSG00000197043,ANXA6,73,-1.3836,77,-1.3832,38,-2.3347,146,-0.3498,77,-1.3186,141,-0.4262,88,-1.1090,291,0.74167,303,0.80926,461,1.80098
ENSG00000196743,GM2A,56,0.90729,27,-0.2421,78,1.47755,62,1.08861,24,-0.4193,28,-0.2146,13,-1.3597,18,-0.8249,23,-0.4869,13,-1.3616
ENSG00000113140,SPARC,493,1.73403,55,-1.8170,194,0.16784,1083,3.44980,19,-3.2682,72,-1.4142,54,-1.7513,99,-0.8701,6,-4.7631,32,-2.6349
ENSG00000177556,ATOX1,158,0.07030,188,0.37446,101,-0.6237,115,-0.4274,49,-1.7071,288,1.18281,88,-0.8255,81,-0.9461,109,-0.5025,158,0.06889
ENSG00000145907,G3BP1,71,0.41827,25,-1.2594,90,0.79319,129,1.39576,10,-2.4262,52,-0.0804,39,-0.5271,45,-0.2956,75,0.50182,49,-0.1907
ENSG00000155511,GRIA1,49,-1.0219,66,-0.6124,73,-0.4199,54,-0.8749,173,0.94833,154,0.84661,76,-0.3588,154,0.76369,69,-0.4957,79,-0.3281
ENSG00000164576,SAP30L,48,0.37406,37,-0.0354,50,0.44307,34,-0.1763,27,-0.5054,30,-0.3742,45,0.28645,13,-1.5368,62,0.78910,38,0.03346
ENSG00000155506,LARP1,176,-0.3426,168,-0.4461,160,-0.4897,213,-0.0501,434,1.09938,191,-0.2346,179,-0.3203,308,0.53232,293,0.45127,189,-0.2535
ENSG00000170271,FAXDC2,105,1.60837,17,-1.3716,108,1.66019,142,2.18098,50,0.35123,17,-1.2929,6,-2.7973,5,-2.9918,2,-4.0739,14,-1.5965
ENSG00000155508,CNOT8,15,-1.6411,18,-1.4661,34,-0.4520,90,1.08802,37,-0.3105,80,1.01234,19,-1.3179,53,0.23869,41,-0.1846,55,0.29934
ENSG00000082515,MRPL22,28,-0.5475,35,-0.2142,31,-0.3932,27,-0.5563,23,-0.7895,67,0.94209,45,0.20011,29,-0.4531,23,-0.8088,52,0.47949
ENSG00000055163,CYFIP2,265,-0.4699,354,-0.0210,108,-1.8040,248,-0.5668,336,-0.1026,400,0.18584,406,0.19594,418,0.23956,395,0.15066,490,0.54748
ENSG00000155858,LSM11,6,-2.2040,25,-0.1472,12,-1.2007,25,-0.1469,50,0.96990,14,-1.0733,30,0.13847,35,0.41352,41,0.66673,38,0.59637
ENSG00000113282,CLINT1,48,-0.3235,45,-0.4242,71,0.30067,66,0.17515,41,-0.5484,44,-0.4938,58,-0.0068,68,0.22366,89,0.65538,72,0.36377
ENSG00000145860,RNF145,42,-1.3835,78,-0.4893,61,-0.8301,134,0.39153,163,0.70454,72,-0.6230,81,-0.3909,218,1.19259,135,0.40480,114,0.13884
ENSG00000164332,UBLCP1,51,-0.9721,40,-1.4140,87,-0.1654,77,-0.3416,96,-0.0049,99,0.04618,105,0.12966,110,0.20809,158,0.79015,146,0.73611
ENSG00000113312,TTC1,106,-0.4137,92,-0.6658,188,0.47945,87,-0.7142,102,-0.4753,107,-0.4309,241,0.88426,95,-0.5785,195,0.54457,195,0.59914
ENSG00000170234,PWWP2A,27,-0.6831,28,-0.6402,103,1.46106,107,1.54108,81,1.06374,13,-1.7972,42,-0.0117,23,-0.9108,28,-0.6404,26,-0.7624
ENSG00000164609,SLU7,141,-0.6660,184,-0.2767,167,-0.4089,128,-0.8038,252,0.23208,147,-0.6482,333,0.67926,207,-0.0758,330,0.66388,303,0.58470
ENSG00000145864,GABRB2,139,-2.2278,219,-1.6439,114,-2.5177,205,-1.6599,774,0.36372,632,0.04696,952,0.69756,824,0.46423,887,0.58238,1197,1.23309
ENSG00000022355,GABRA1,114,-2.2841,217,-1.4113,103,-2.4293,94,-2.5696,649,0.34103,481,-0.1427,722,0.51257,524,0.00314,847,0.77117,1175,1.53704
ENSG00000113327,GABRG2,53,-2.2474,93,-1.4892,36,-2.8001,97,-1.3531,218,-0.1339,258,0.14736,401,0.84030,280,0.26045,269,0.19695,513,1.45418
ENSG00000113328,CCNG1,39,0.43615,25,-0.2510,26,-0.1529,36,0.34387,13,-1.1637,32,0.13748,22,-0.4059,33,0.17672,22,-0.4302,37,0.41157
ENSG00000170584,NUDCD2,60,0.43222,35,-0.4068,81,0.92972,27,-0.7678,30,-0.6251,49,0.14803,31,-0.5497,30,-0.6290,38,-0.2469,60,0.50516
ENSG00000038274,MAT2B,69,-0.4374,80,-0.2454,62,-0.6178,77,-0.2835,58,-0.7229,109,0.28947,65,-0.5341,138,0.63951,144,0.71060,105,0.21509
ENSG00000145934,TENM2,31,-1.2077,47,-0.6167,33,-1.1245,57,-0.2914,131,1.03724,53,-0.4513,149,1.24602,105,0.66573,61,-0.1776,65,-0.1029
ENSG00000113645,WWC1,117,1.40474,74,0.70516,28,-0.8551,67,0.46616,42,-0.2667,33,-0.6842,66,0.45313,32,-0.6575,31,-0.7103,24,-1.1475
ENSG00000113643,RARS,37,-0.3549,38,-0.3525,25,-0.9714,6,-3.0589,34,-0.4762,48,0.02145,61,0.40652,43,-0.1246,80,0.84263,77,0.87988
ENSG00000188573,FBLL1,23,-1.0394,62,0.52939,6,-3.0331,21,-1.1928,48,0.05729,81,1.01075,44,-0.0648,36,-0.3770,44,-0.0809,46,-0.0107
ENSG00000120137,PANK3,46,-0.9014,67,-0.3678,49,-0.7967,58,-0.5581,131,0.72863,66,-0.3941,125,0.65019,121,0.59127,70,-0.2562,108,0.45182
