Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000163812,ZDHHC3,33,-0.2440,34,-0.2256,42,0.15573,41,0.13996,37,-0.0458,39,0.03680
ENSG00000075914,EXOSC7,12,-0.9970,28,0.29646,17,-0.5384,29,0.41590,27,0.24708,20,-0.2540
ENSG00000249992,TMEM158,23,-0.5514,52,0.82276,31,-0.1328,25,-0.5326,37,0.13900,33,-0.0052
ENSG00000011376,LARS2,15,-0.0880,13,-0.3148,14,-0.1948,14,-0.2478,21,0.44567,26,0.80006
ENSG00000211456,SACM1L,39,-0.7511,73,0.23735,80,0.41820,66,0.06627,46,-0.5145,50,-0.3905
ENSG00000163818,LZTFL1,35,-0.9202,68,0.12064,73,0.24664,70,0.18539,77,0.30206,34,-0.9630
ENSG00000163827,LRRC2,2,-3.3871,59,1.72807,33,0.42916,21,-0.3998,4,-2.6281,5,-2.3185
ENSG00000181585,TMIE,3,-1.8265,14,0.32948,14,0.25303,15,0.46118,5,-1.3778,11,-0.1862
ENSG00000160799,CCDC12,45,-0.1032,62,0.48841,45,-0.1033,42,-0.2480,48,-0.0006,44,-0.1213
ENSG00000181555,SETD2,85,0.41932,49,-0.4966,56,-0.2883,59,-0.2069,85,0.42719,98,0.66110
ENSG00000088727,KIF9,31,0.07942,24,-0.3346,49,1.00807,30,0.05524,10,-1.6255,15,-1.0168
ENSG00000114648,KLHL18,13,-1.1085,25,-0.1511,33,0.35844,33,0.41697,20,-0.4670,23,-0.2368
ENSG00000076201,PTPN23,28,0.02402,26,-0.1250,40,0.69196,20,-0.5655,31,0.20964,23,-0.2418
ENSG00000114650,SCAP,35,-0.1611,29,-0.4642,31,-0.3644,37,-0.0803,68,0.94495,50,0.41395
ENSG00000163832,ELP6,19,-0.6816,25,-0.2467,25,-0.2469,34,0.31830,32,0.18152,37,0.38879
ENSG00000114646,CSPG5,171,0.91655,88,-0.2110,81,-0.3505,87,-0.2478,100,0.02682,117,0.27053
ENSG00000173473,SMARCC1,95,0.79923,51,-0.2429,52,-0.2006,41,-0.6756,75,0.40145,85,0.61427
ENSG00000132153,DHX30,87,-0.4286,121,0.11050,116,0.03210,113,-0.0152,136,0.28085,104,-0.1522
ENSG00000047849,MAP4,235,-0.5719,310,-0.1502,383,0.22966,327,-0.0654,304,-0.1650,470,0.54126
ENSG00000164050,PLXNB1,70,1.42917,21,-0.5756,23,-0.4283,13,-1.4257,38,0.36081,62,1.23163
ENSG00000164051,CCDC51,7,-1.0757,13,-0.1543,16,0.16908,18,0.54418,13,-0.1110,10,-0.5795
ENSG00000232112,TMA7,867,0.33085,915,0.48066,821,0.27407,591,-0.3576,421,-0.8110,540,-0.4249
ENSG00000164054,SHISA5,63,-0.0941,61,-0.1697,77,0.25934,62,-0.1711,65,-0.0609,82,0.31742
ENSG00000010256,UQCRC1,141,-0.7405,199,-0.2346,223,-0.0369,293,0.55453,206,-0.1532,203,-0.1795
ENSG00000008300,CELSR3,5,-1.6534,17,0.19350,22,0.69614,12,-0.4543,20,0.40557,14,-0.1906
ENSG00000213672,NCKIPSD,13,-2.0134,49,-0.0723,70,0.58603,57,0.21283,55,0.10741,36,-0.5734
ENSG00000068745,IP6K2,54,-0.5283,95,0.42406,78,0.06010,76,0.01782,78,0.05207,49,-0.6848
ENSG00000114302,PRKAR2A,48,0.19866,33,-0.3970,27,-0.7269,53,0.49956,40,-0.0902,52,0.35343
ENSG00000177479,ARIH2,44,-0.3718,51,-0.1693,54,-0.0505,61,0.18106,57,0.02063,65,0.24429
ENSG00000178467,P4HTM,64,-0.6834,98,-0.0295,95,-0.0763,114,0.29316,100,0.00321,102,0.03741
ENSG00000178252,WDR6,46,0.47620,35,0.06522,26,-0.4649,28,-0.3842,42,0.35390,46,0.47663
ENSG00000178149,DALRD3,21,-0.2224,23,-0.1556,25,-0.0049,25,0.06132,27,0.16658,27,0.15982
ENSG00000178057,NDUFAF3,97,-0.1837,100,-0.1542,122,0.20276,119,0.18421,81,-0.4640,111,0.03162
ENSG00000178035,IMPDH2,44,-0.0750,44,-0.0968,33,-0.5559,57,0.45934,49,0.11498,42,-0.1400
ENSG00000198218,QRICH1,23,-0.7374,31,-0.3281,48,0.49032,41,0.21346,34,-0.1247,32,-0.2197
ENSG00000172053,QARS,31,-0.2166,32,-0.2084,40,0.18923,37,0.10136,31,-0.2075,39,0.15803
ENSG00000172046,USP19,19,-0.4717,26,0.00237,22,-0.2549,30,0.30871,27,0.06904,26,0.01898
ENSG00000172037,LAMB2,80,3.36065,10,-0.6454,5,-1.8109,3,-2.5777,18,0.28347,11,-0.4220
ENSG00000185909,KLHDC8B,12,-0.3723,20,0.51279,17,0.19507,12,-0.4601,18,0.22347,13,-0.2928
ENSG00000114316,USP4,37,0.27888,27,-0.2940,35,0.21551,32,0.00482,26,-0.2807,32,0.03742
ENSG00000067560,RHOA,292,0.82304,151,-0.2887,166,-0.1173,148,-0.3605,194,0.14053,212,0.28393
ENSG00000145022,TCTA,24,-0.1896,28,0.07442,24,-0.1967,25,-0.1677,31,0.18994,37,0.49180
ENSG00000145029,NICN1,22,-1.3786,56,0.05346,62,0.21904,45,-0.3837,83,0.67645,71,0.42194
ENSG00000173402,DAG1,88,1.03569,38,-0.3626,45,-0.0766,30,-0.8276,52,0.15091,73,0.73129
ENSG00000164061,BSN,71,-1.5252,181,-0.1199,205,0.10629,208,0.15587,257,0.46219,208,0.12150
ENSG00000164062,APEH,37,-0.8573,49,-0.4723,92,0.68452,67,0.07243,74,0.22489,50,-0.4068
ENSG00000164068,RNF123,7,-1.5974,21,0.08183,21,0.03433,20,-0.0403,37,1.00135,15,-0.4462
ENSG00000173540,GMPPB,7,-0.7680,13,0.18737,13,0.08193,10,-0.3684,18,0.61604,14,0.19966
ENSG00000176095,IP6K1,34,-0.3246,37,-0.2560,53,0.42131,36,-0.2980,61,0.59430,39,-0.1253
ENSG00000164076,CAMKV,105,-0.9645,226,0.26409,166,-0.2957,160,-0.3980,378,1.10564,211,0.11848
ENSG00000164077,MON1A,13,-0.5264,14,-0.5124,15,-0.3390,21,0.21900,29,0.68647,25,0.42399
ENSG00000004534,RBM6,62,0.28941,56,0.13591,56,0.13632,40,-0.4702,62,0.30918,47,-0.1310
ENSG00000003756,RBM5,80,0.03286,79,0.02131,64,-0.3597,64,-0.4118,127,0.79798,100,0.38809
ENSG00000114353,GNAI2,212,1.56299,68,-0.4101,63,-0.5364,64,-0.5751,80,-0.1034,112,0.43177
ENSG00000012171,SEMA3B,41,1.31705,4,-2.2139,10,-0.9902,5,-2.1443,19,0.04888,82,2.75624
ENSG00000214706,IFRD2,14,0.42655,7,-0.6075,12,0.13829,8,-0.5280,15,0.56787,16,0.58440
ENSG00000186792,HYAL3,2,-2.4329,9,-0.1263,15,0.71245,11,0.18152,10,-0.0775,8,-0.3429
ENSG00000243477,NAA80,6,-1.0145,11,-0.1047,15,0.42647,13,0.15877,11,-0.1032,11,-0.1608
ENSG00000068001,HYAL2,39,2.11945,8,-0.6728,12,0.01720,6,-1.2763,12,-0.0132,10,-0.2141
ENSG00000114383,TUSC2,69,-0.6459,113,0.14105,132,0.44026,102,-0.0335,79,-0.4320,97,-0.1144
ENSG00000068028,RASSF1,9,0.10277,11,0.46837,7,-0.4418,7,-0.2977,8,-0.0843,11,0.39646
ENSG00000114388,NPRL2,20,-0.6619,28,-0.1358,33,0.17580,32,0.10384,40,0.46145,24,-0.3382
ENSG00000114395,CYB561D2,11,0.29097,5,-0.8821,8,-0.0659,9,0.09080,7,-0.3085,16,0.90661
ENSG00000126062,TMEM115,20,-0.3895,26,0.07717,23,-0.1538,24,-0.1172,38,0.67741,24,-0.0731
ENSG00000007402,CACNA2D2,7,-0.7963,5,-1.2287,14,0.28946,14,0.36266,15,0.36500,15,0.41437
ENSG00000088543,C3orf18,15,-0.8385,24,-0.1478,28,0.12825,28,0.12830,25,-0.0548,33,0.39082
ENSG00000088538,DOCK3,46,-1.6858,119,-0.2680,186,0.56148,142,0.05395,175,0.38127,126,-0.1530
ENSG00000145050,MANF,47,0.13314,44,0.05378,37,-0.2569,47,0.18657,40,-0.1072,39,-0.1506
ENSG00000259956,RBM15B,14,-0.6271,19,-0.1796,19,-0.1183,17,-0.3232,42,1.18345,22,0.12731
ENSG00000145041,DCAF1,14,-0.3160,21,0.41691,13,-0.4238,14,-0.3444,28,0.87050,15,-0.1763
ENSG00000164080,RAD54L2,19,0.58445,9,-0.6409,17,0.42115,9,-0.7366,22,0.80430,14,0.01805
ENSG00000164081,TEX264,36,-0.0555,39,0.07089,30,-0.3810,37,-0.0059,36,-0.0643,52,0.54138
ENSG00000164082,GRM2,2,-2.8389,23,0.63770,21,0.44517,11,-0.6593,27,0.85483,11,-0.5626
ENSG00000114767,RRP9,5,-0.6561,10,0.35667,9,0.03526,9,0.19149,6,-0.5870,7,-0.1637
ENSG00000090097,PCBP4,38,0.56736,19,-0.5311,24,-0.1579,17,-0.8015,24,-0.1472,64,1.50330
ENSG00000248487,ABHD14A,48,-0.5783,77,0.17828,79,0.23042,67,-0.0668,80,0.21507,55,-0.3764
ENSG00000162244,RPL29,922,0.85492,630,0.24601,485,-0.2264,460,-0.3586,467,-0.2608,510,-0.1237
ENSG00000164086,DUSP7,10,-1.3151,24,-0.0047,29,0.30348,23,-0.1469,33,0.48108,27,0.13410
ENSG00000023330,ALAS1,14,-1.6483,36,-0.3145,64,0.75751,49,0.26283,43,0.00896,26,-0.7703
ENSG00000247596,TWF2,22,-1.4057,48,-0.2894,60,0.09698,64,0.26554,76,0.48761,59,0.06544
ENSG00000164091,WDR82,88,-0.4797,127,0.12576,111,-0.1177,114,-0.0811,167,0.54997,115,-0.0588
ENSG00000163930,BAP1,71,0.00604,72,0.02463,79,0.18852,53,-0.5512,69,-0.0332,107,0.67778
ENSG00000010322,NISCH,95,-0.4741,126,-0.0332,143,0.19251,116,-0.1972,170,0.45450,132,0.04998
ENSG00000168268,NT5DC2,19,0.44936,5,-1.5444,24,0.90886,15,0.10943,5,-1.4867,17,0.23410
ENSG00000168273,SMIM4,41,0.40151,44,0.59227,23,-0.5414,28,-0.2515,26,-0.3189,33,0.08141
ENSG00000163939,PBRM1,65,0.58887,39,-0.2543,36,-0.4168,38,-0.3380,56,0.33683,68,0.66233
ENSG00000163938,GNL3,52,-0.5211,62,-0.2818,64,-0.2333,104,0.81117,52,-0.5336,59,-0.3207
ENSG00000016864,GLT8D1,29,-0.3507,32,-0.2330,28,-0.4417,37,0.03438,59,0.81301,44,0.30431
ENSG00000114902,SPCS1,133,-0.4238,176,0.01836,165,-0.1005,210,0.39722,136,-0.3890,163,-0.1092
ENSG00000114904,NEK4,23,0.30190,23,0.32019,17,-0.1536,16,-0.2839,22,0.22625,16,-0.3002
ENSG00000272573,MUSTN1,200,4.38577,12,-1.4145,9,-1.8126,7,-2.2902,3,-3.2484,16,-0.8873
ENSG00000213533,STIMATE,15,0.74501,10,0.14777,8,-0.1616,9,-0.0616,4,-1.0727,9,0.03455
ENSG00000163932,PRKCD,7,-0.4222,15,0.94149,7,-0.4863,10,0.12352,7,-0.4504,5,-0.9571
ENSG00000163931,TKT,64,-0.2703,77,0.00550,70,-0.1552,76,-0.0039,91,0.28654,86,0.19610
ENSG00000272886,DCP1A,27,0.46266,23,0.24145,19,-0.1414,17,-0.3390,22,0.14501,18,-0.1359
ENSG00000157388,CACNA1D,8,-1.0986,22,0.46192,18,0.14863,14,-0.4173,28,0.81970,12,-0.5481
ENSG00000016391,CHDH,48,2.18021,14,0.01835,9,-0.7770,4,-1.9635,12,-0.1769,21,0.63575
ENSG00000113812,ACTR8,5,-1.3772,11,-0.2556,15,0.35126,13,0.04956,15,0.29072,15,0.25560
ENSG00000113811,SELENOK,263,0.85610,187,0.32933,144,-0.1563,126,-0.4285,126,-0.3417,138,-0.2005
ENSG00000157445,CACNA2D3,18,-1.5553,60,0.28079,62,0.34481,54,0.09462,64,0.35142,26,-1.0326
ENSG00000187672,ERC2,117,-0.5298,155,-0.1000,150,-0.1571,147,-0.2213,272,0.84044,199,0.31617
ENSG00000180376,CCDC66,47,0.35917,30,-0.3981,38,0.01445,28,-0.5761,47,0.37422,62,0.83083
ENSG00000163946,TASOR,48,0.16275,47,0.15896,28,-0.7382,39,-0.2185,68,0.74019,50,0.22741
ENSG00000163947,ARHGEF3,32,-1.3644,87,0.20647,95,0.38929,92,0.36076,66,-0.2411,36,-1.1661
ENSG00000157500,APPL1,94,-0.1023,79,-0.4085,91,-0.1625,104,0.07144,146,0.61243,110,0.14506
ENSG00000174840,PDE12,26,-0.0333,32,0.36084,26,0.01707,18,-0.7214,35,0.47000,31,0.26050
ENSG00000168374,ARF4,73,-0.4346,95,-0.0266,100,0.07144,111,0.29718,80,-0.2935,87,-0.1528
ENSG00000163681,SLMAP,125,0.49089,69,-0.5037,107,0.25966,87,-0.1171,77,-0.2908,109,0.27078
ENSG00000136068,FLNB,28,1.36422,7,-0.8826,5,-1.3247,8,-0.6798,18,0.57754,27,1.29420
ENSG00000163686,ABHD6,28,-0.8435,31,-0.7948,43,-0.2145,65,0.60121,52,0.10829,68,0.52114
ENSG00000163684,RPP14,15,-0.7665,25,0.07542,34,0.59005,22,-0.1959,26,0.07677,19,-0.3615
ENSG00000168297,PXK,48,-0.1942,21,-1.5519,33,-0.8485,41,-0.5799,77,0.56021,192,2.26045
ENSG00000168291,PDHB,88,-0.4314,117,0.02330,109,-0.1056,143,0.46325,96,-0.2918,90,-0.3906
ENSG00000168301,KCTD6,41,0.25756,40,0.22485,39,0.19558,35,-0.0006,21,-0.7540,25,-0.5106
ENSG00000168309,FAM107A,970,1.61591,534,0.63785,304,-0.4006,141,-1.7782,265,-0.5758,482,0.37875
ENSG00000189283,FHIT,9,0.13125,9,0.05722,9,0.07322,9,0.11880,5,-0.7373,8,-0.0523
ENSG00000144724,PTPRG,70,1.40975,34,0.19049,19,-0.7665,22,-0.6566,36,0.24223,28,-0.1319
ENSG00000114405,C3orf14,75,-0.9868,127,-0.1971,156,0.16090,205,0.83042,73,-1.0431,94,-0.6579
ENSG00000153266,FEZF2,3,-2.7896,5,-2.3944,13,-1.0554,35,0.84525,39,0.78339,57,1.47407
ENSG00000163618,CADPS,66,-1.8526,143,-0.7664,221,-0.0165,293,0.59771,369,0.83543,189,-0.2588
ENSG00000163630,SYNPR,84,-1.0762,171,0.01969,142,-0.3017,178,0.11143,310,1.01271,134,-0.3627
ENSG00000163634,THOC7,150,-0.4344,184,-0.1246,224,0.23207,244,0.46211,129,-0.6588,145,-0.4851
ENSG00000163635,ATXN7,14,0.65873,10,0.08635,8,-0.2146,7,-0.5283,18,1.03659,4,-1.1067
ENSG00000163636,PSMD6,70,-0.2098,83,0.08152,66,-0.3329,105,0.61206,73,-0.1381,39,-1.0763
ENSG00000163637,PRICKLE2,55,-0.5928,61,-0.4624,67,-0.3172,81,0.03167,147,1.01761,98,0.32819
ENSG00000151276,MAGI1,46,-0.4675,73,0.28055,65,0.05601,57,-0.1831,81,0.40757,52,-0.2785
ENSG00000144741,SLC25A26,35,-0.4903,56,0.27345,49,0.05309,49,0.03946,45,-0.0850,42,-0.2017
ENSG00000144749,LRIG1,235,2.90552,29,-0.9757,16,-1.9026,20,-1.6741,59,0.20997,71,0.52643
ENSG00000172340,SUCLG2,34,1.82854,9,-0.5067,5,-1.4100,4,-1.6302,10,-0.2806,33,1.77865
ENSG00000183662,TAFA1,9,-2.2235,68,1.13583,46,0.35036,44,0.28511,7,-2.5049,7,-2.5804
ENSG00000144747,TMF1,79,0.38525,49,-0.4272,44,-0.5820,73,0.33795,71,0.20725,67,0.12892
ENSG00000144744,UBA3,50,-0.3469,43,-0.6100,69,0.20555,73,0.33625,75,0.30792,51,-0.2932
ENSG00000144746,ARL6IP5,226,-0.6630,320,-0.1335,381,0.18135,404,0.33573,336,-0.0433,274,-0.3611
ENSG00000114541,FRMD4B,13,0.00778,1,-3.8692,5,-1.6081,5,-1.6723,15,0.23784,78,3.59145
ENSG00000114861,FOXP1,70,-0.2276,69,-0.2993,97,0.32062,86,0.12053,93,0.21501,60,-0.4654
ENSG00000163412,EIF4E3,58,-0.3566,71,-0.0344,74,0.04806,65,-0.2020,105,0.60272,74,0.04375
ENSG00000170837,GPR27,26,-0.2197,45,0.77652,24,-0.3715,23,-0.4821,41,0.49454,24,-0.3347
ENSG00000163602,RYBP,35,-0.4640,39,-0.3213,33,-0.6291,33,-0.7054,105,1.34764,91,1.08752
ENSG00000163605,PPP4R2,63,-0.1810,73,0.06552,57,-0.3643,68,-0.0784,84,0.28832,93,0.45987
ENSG00000121440,PDZRN3,29,-0.1747,39,0.37290,45,0.63473,29,-0.1878,28,-0.2140,8,-2.0923
ENSG00000113805,CNTN3,8,-1.6929,40,0.86450,37,0.72367,26,0.07126,6,-2.1298,6,-2.0271
ENSG00000185008,ROBO2,66,-0.0944,71,0.03429,48,-0.6510,75,0.13629,117,0.84162,55,-0.3870
ENSG00000169855,ROBO1,39,0.47429,47,0.89612,16,-0.9936,18,-0.8732,38,0.43380,34,0.25544
ENSG00000114480,GBE1,6,-1.0273,6,-1.1363,10,-0.3168,15,0.54475,25,1.22304,10,-0.1964
ENSG00000175161,CADM2,226,-1.2344,418,-0.3203,408,-0.3593,695,0.73437,605,0.30409,441,-0.2013
ENSG00000083937,CHMP2B,93,0.28110,56,-0.5638,68,-0.2475,93,0.38339,66,-0.2670,93,0.28637
ENSG00000163320,CGGBP1,65,-0.3056,78,-0.0200,78,-0.0176,83,0.10624,81,0.04171,81,0.05302
ENSG00000175105,ZNF654,12,-0.7937,22,0.11707,25,0.35590,20,-0.0785,20,-0.0397,20,-0.0351
ENSG00000179021,C3orf38,9,-0.8498,16,0.05367,16,0.04603,17,0.11680,14,-0.2190,20,0.38023
ENSG00000169379,ARL13B,22,1.25201,8,-0.4882,6,-0.7250,5,-1.2314,15,0.66677,21,1.20403
ENSG00000178694,NSUN3,23,1.12131,15,0.42488,8,-0.6386,12,0.03915,6,-0.9366,6,-0.9302
ENSG00000269028,MTRNR2L12,7824,1.25361,5835,0.86196,3540,-0.0960,1723,-1.4157,1585,-1.3255,4024,0.11982
ENSG00000261292,AC110491.1,5,-2.1458,47,1.60331,29,0.56958,19,-0.2490,0,-6.4452,1,-4.0023
ENSG00000113966,ARL6,24,-0.8244,62,0.77379,41,-0.0151,45,0.19414,27,-0.6433,19,-1.1468
ENSG00000080200,CRYBG3,34,1.02037,20,0.18171,6,-1.6545,6,-1.9565,32,0.95826,45,1.54305
ENSG00000170854,RIOX2,21,-0.5649,38,0.37058,33,0.13719,31,0.01254,27,-0.1908,25,-0.3598
ENSG00000080822,CLDND1,139,-0.3536,76,-1.3773,114,-0.7280,93,-1.1661,197,0.19886,747,2.74932
ENSG00000080819,CPOX,11,-1.0895,14,-0.8590,20,-0.3250,18,-0.5695,27,0.23145,77,2.10500
ENSG00000064225,ST3GAL6,7,-1.9591,19,-0.5554,36,0.63403,34,0.58703,15,-0.8062,25,-0.0666
ENSG00000057019,DCBLD2,25,0.76288,13,-0.3645,19,0.34190,19,0.42496,5,-1.7484,6,-1.3814
ENSG00000184220,CMSS1,56,-0.8837,90,-0.1716,107,0.13528,120,0.42247,89,-0.1630,90,-0.1500
ENSG00000168386,FILIP1L,40,0.69125,10,-1.5426,16,-0.8530,25,-0.0730,78,1.89769,17,-0.6764
ENSG00000036054,TBC1D23,43,0.17033,34,-0.1946,35,-0.1470,45,0.32447,38,-0.0286,30,-0.3947
ENSG00000114021,NIT2,17,-1.1641,26,-0.5641,39,0.14927,51,0.78132,29,-0.3070,30,-0.2677
ENSG00000154174,TOMM70,79,-0.6724,97,-0.4039,102,-0.3179,161,0.61565,154,0.37397,106,-0.2286
ENSG00000206535,LNP1,12,-0.6593,29,0.77822,21,0.17624,20,0.16050,9,-1.1311,8,-1.3500
ENSG00000114354,TFG,64,-0.2116,64,-0.2263,78,0.11955,84,0.30835,64,-0.2123,64,-0.1931
ENSG00000138468,SENP7,42,0.72223,18,-0.6538,24,-0.2056,23,-0.3162,28,0.06422,46,0.87899
ENSG00000174173,TRMT10C,55,-0.5312,60,-0.4538,72,-0.1364,116,0.91128,70,-0.1697,41,-0.9962
ENSG00000081154,PCNP,181,-0.1172,220,0.21531,184,-0.1032,200,0.05291,157,-0.3478,205,0.08264
ENSG00000066422,ZBTB11,43,-0.4232,58,0.06113,50,-0.2163,58,0.05080,77,0.49369,55,-0.0520
ENSG00000114391,RPL24,1469,0.38077,1351,0.27756,1262,0.15037,996,-0.3089,898,-0.4078,1041,-0.1760
ENSG00000286699,AC084198.2,12,0.45278,7,-0.4186,10,0.12458,6,-0.8814,15,0.79733,13,0.61805
ENSG00000182504,CEP97,30,0.04778,20,-0.6754,23,-0.3837,26,-0.2190,45,0.68987,53,0.97968
ENSG00000144815,NXPE3,30,-0.4605,32,-0.4118,38,-0.1409,42,0.09104,44,0.12433,66,0.78644
ENSG00000170017,ALCAM,138,0.12500,114,-0.1946,72,-0.9694,95,-0.5715,143,0.18464,337,1.68681
ENSG00000242759,LINC00882,47,0.41627,41,0.19961,42,0.25910,33,-0.1965,21,-0.8746,32,-0.1999
ENSG00000243701,DUBR,10,-0.5032,14,-0.0095,13,-0.2468,17,0.33409,15,0.02855,15,0.02849
ENSG00000114439,BBX,139,1.12766,39,-0.9961,30,-1.3949,44,-0.9094,115,0.79928,184,1.65078
ENSG00000196776,CD47,67,-1.3759,125,-0.4773,174,0.10311,181,0.20649,250,0.68879,185,0.18642
ENSG00000114446,IFT57,30,-1.6253,84,-0.0529,89,0.05747,110,0.53405,112,0.42762,44,-1.0289
ENSG00000198919,DZIP3,102,-0.5373,160,0.19122,145,0.02107,156,0.17142,172,0.29017,85,-0.8165
ENSG00000177707,NECTIN3,16,-0.8428,69,1.89240,30,0.10146,16,-1.0491,11,-1.4460,10,-1.4901
ENSG00000240891,PLCXD2,1,-3.7001,9,-1.2194,39,1.49779,20,0.13024,9,-1.0132,20,0.14265
ENSG00000144827,ABHD10,24,-1.0064,39,-0.2958,50,0.12256,62,0.63922,31,-0.6491,46,-0.0323
ENSG00000144834,TAGLN3,146,-2.2002,409,-0.7161,628,0.02351,995,1.11316,561,-0.1608,435,-0.5572
ENSG00000091972,CD200,44,-1.3365,104,0.00082,114,0.17089,123,0.35918,116,0.17495,75,-0.5190
ENSG00000144848,ATG3,66,-0.1713,70,-0.0821,64,-0.2598,69,-0.1272,79,0.11656,116,0.74613
ENSG00000138459,SLC35A5,32,-0.4628,33,-0.4560,40,-0.1099,51,0.36046,50,0.25139,48,0.17442
ENSG00000091986,CCDC80,55,2.79228,3,-2.0171,3,-2.3257,9,-0.6063,5,-1.3305,25,1.14654
ENSG00000163607,GTPBP8,11,-0.5337,16,0.03973,9,-0.8265,20,0.57544,19,0.26311,15,-0.1101
ENSG00000163608,NEPRO,22,-0.3755,21,-0.5198,25,-0.2387,27,-0.1152,45,0.77600,44,0.71728
ENSG00000206530,CFAP44,25,1.18394,17,0.58017,9,-0.4287,9,-0.5775,9,-0.5211,9,-0.4594
ENSG00000072858,SIDT1,7,-1.3493,19,0.11692,26,0.67497,18,0.02533,17,-0.0928,11,-0.7592
ENSG00000176542,USF3,33,0.08283,29,-0.1269,17,-0.9977,29,-0.1236,67,1.29035,32,0.01830
ENSG00000121579,NAA50,65,-0.1732,82,0.23571,58,-0.3813,82,0.28052,78,0.12319,51,-0.5278
ENSG00000114573,ATP6V1A,154,-1.5632,317,-0.5151,501,0.29940,622,0.86542,344,-0.3374,257,-0.7916
ENSG00000178075,GRAMD1C,31,1.89619,10,-0.0272,8,-0.3959,6,-0.8761,9,-0.1847,7,-0.5090
ENSG00000184307,ZDHHC23,2,-3.8576,23,-0.2229,28,0.11232,38,0.84967,29,0.14049,15,-0.8425
ENSG00000163617,CCDC191,22,0.94871,12,-0.0833,11,-0.2721,8,-0.8180,12,-0.0159,21,0.84538
ENSG00000181722,ZBTB20,281,2.41085,41,-1.0356,26,-1.7019,27,-1.8134,106,0.55848,150,1.16291
ENSG00000172020,GAP43,591,-1.3926,1651,0.23107,2091,0.68914,1615,0.21987,789,-0.9545,845,-0.8494
ENSG00000185565,LSAMP,278,0.24210,162,-0.6769,214,-0.2024,272,0.27348,299,0.36016,249,0.06417
ENSG00000144847,IGSF11,27,0.96124,15,0.09372,10,-0.6460,7,-1.2588,21,0.54040,27,1.00942
ENSG00000163389,POGLUT1,10,-0.3046,8,-0.7571,10,-0.4422,18,0.70037,14,0.18868,14,0.15788
ENSG00000113845,TIMMDC1,59,0.08654,52,-0.1315,44,-0.4285,58,0.06282,64,0.21689,72,0.40709
ENSG00000138495,COX17,244,-0.1412,329,0.39123,291,0.16033,297,0.22828,113,-1.3209,177,-0.6446
ENSG00000082701,GSK3B,28,-1.8124,93,-0.0023,123,0.50528,95,0.03060,93,-0.0162,97,0.06644
ENSG00000163428,LRRC58,72,0.94499,37,-0.1718,28,-0.6004,23,-1.0126,68,0.86383,64,0.74766
ENSG00000163430,FSTL1,47,1.79757,14,-0.3154,19,0.20128,12,-0.5678,11,-0.6294,6,-1.4333
ENSG00000065518,NDUFB4,413,-0.1585,539,0.30511,595,0.49364,453,-0.0162,254,-0.9137,273,-0.8051
ENSG00000144840,RABL3,50,0.89180,29,0.00876,27,-0.1351,25,-0.3002,17,-0.8708,37,0.39149
ENSG00000153767,GTF2E1,6,-0.5464,7,-0.3489,8,-0.0488,9,0.10368,8,-0.1501,14,0.82278
ENSG00000145087,STXBP5L,38,-1.7765,122,-0.0144,129,0.08851,165,0.64817,132,0.10428,63,-1.0269
ENSG00000173230,GOLGB1,386,0.71572,158,-0.7835,146,-0.9182,313,0.48795,322,0.41130,244,-0.0343
ENSG00000173226,IQCB1,11,-0.8888,13,-0.7705,19,-0.0991,27,0.64916,31,0.70924,14,-0.5471
ENSG00000163406,SLC15A2,67,2.40647,19,0.07601,6,-1.8267,10,-1.0360,20,0.19119,12,-0.5741
ENSG00000160124,CCDC58,22,0.72224,12,-0.2200,15,0.15431,15,0.17166,11,-0.4240,7,-1.1187
ENSG00000114023,FAM162A,135,-0.1531,174,0.28932,137,-0.1370,176,0.36284,103,-0.5675,96,-0.6799
ENSG00000114030,KPNA1,47,-0.7039,87,0.28798,75,0.01831,73,-0.0522,82,0.14088,74,-0.0214
ENSG00000138496,PARP9,42,2.87465,3,-1.4868,5,-0.9069,5,-1.0648,7,-0.4713,10,0.11232
ENSG00000173193,PARP14,83,3.61043,6,-1.3917,5,-1.6553,3,-2.6552,10,-0.4579,18,0.36520
ENSG00000138463,SLC49A4,18,1.07024,7,-0.5214,8,-0.1852,7,-0.4135,12,0.42333,10,0.14087
ENSG00000082684,SEMA5B,6,-1.3422,24,0.89422,10,-0.7217,11,-0.5986,27,0.95327,17,0.17552
ENSG00000121542,SEC22A,9,-0.6146,9,-0.6168,13,0.01827,14,0.12703,21,0.74344,15,0.21857
ENSG00000173175,ADCY5,28,-0.0993,29,-0.0791,28,-0.1499,25,-0.3919,41,0.48674,46,0.66587
ENSG00000206527,HACD2,29,-0.8607,69,0.61632,42,-0.2864,35,-0.6723,105,1.25086,37,-0.4731
ENSG00000065534,MYLK,131,1.91531,18,-1.4588,36,-0.3417,20,-1.4501,37,-0.2668,105,1.47839
ENSG00000175455,CCDC14,24,-0.0539,18,-0.5940,20,-0.4170,23,-0.1464,52,1.22036,30,0.27819
