Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000134369,NAV1,164,1.57550,85,0.45158,38,-0.7983,38,-0.8403,89,0.59694,40,-0.7581,48,-0.5248
ENSG00000198700,IPO9,63,-0.4149,114,0.50759,50,-0.7655,105,0.41237,92,0.18902,61,-0.5196,84,0.02021
ENSG00000198892,SHISA4,90,0.15906,64,-0.3810,56,-0.5928,55,-0.6478,44,-1.0170,127,0.79882,106,0.52715
ENSG00000134375,TIMM17A,22,-2.3245,51,-1.0753,64,-0.7348,112,0.12978,88,-0.2801,104,0.00634,167,1.00474
ENSG00000176393,RNPEP,12,-0.3693,10,-0.5627,9,-0.7627,5,-1.6612,13,-0.2059,17,0.26493,25,1.14541
ENSG00000170075,GPR37L1,86,-0.0900,182,1.13611,47,-0.9926,19,-2.4551,35,-1.5361,243,2.00305,60,-0.7394
ENSG00000143862,ARL8A,98,0.18763,60,-0.5635,52,-0.7830,60,-0.6085,115,0.48512,84,-0.0533,105,0.37477
ENSG00000077152,UBE2T,3,-2.8962,4,-2.2377,14,-0.6341,27,0.38671,24,0.16561,16,-0.4845,34,0.98866
ENSG00000077157,PPP1R12B,240,1.25609,107,-0.0683,197,0.92234,142,0.42018,124,0.17863,56,-1.1400,52,-1.3456
ENSG00000143858,SYT2,0,-9.9622,15,-1.5777,0,-9.1088,0,-7.6715,4,-3.4122,28,-0.7104,148,3.99733
ENSG00000117139,KDM5B,62,0.40558,50,0.05500,42,-0.2023,81,0.94434,64,0.51242,25,-1.0523,28,-0.9728
ENSG00000183155,RABIF,7,-1.7750,10,-1.2561,13,-0.8475,23,-0.0717,24,0.02726,21,-0.1887,39,1.06527
ENSG00000117153,KLHL12,13,-1.5642,11,-1.8005,29,-0.3965,38,0.00176,44,0.25227,41,0.14031,51,0.62997
ENSG00000159346,ADIPOR1,52,0.22887,35,-0.3650,52,0.22999,54,0.32089,47,0.08581,33,-0.5159,43,-0.0484
ENSG00000159348,CYB5R1,14,-1.1405,14,-1.0875,14,-1.1611,17,-0.9406,33,0.21485,34,0.21737,49,1.05331
ENSG00000163444,TMEM183A,61,-1.0109,120,0.02495,109,-0.1340,122,0.05025,105,-0.2103,128,0.13018,141,0.34284
ENSG00000143847,PPFIA4,5,-2.8610,32,-0.1369,14,-1.3741,26,-0.4750,44,0.40528,46,0.50141,45,0.50775
ENSG00000163485,ADORA1,41,0.14192,25,-0.6387,26,-0.5739,22,-0.8547,52,0.56169,34,-0.1980,48,0.49851
ENSG00000188783,PRELP,29,0.93376,31,1.04673,23,0.50301,9,-0.9807,6,-1.6030,22,0.52965,13,-0.3973
ENSG00000058668,ATP2B4,150,-0.3272,83,-1.2316,275,0.63466,239,0.45633,329,1.07145,99,-1.0347,127,-0.6894
ENSG00000182004,SNRPE,48,-0.5212,52,-0.3919,43,-0.6884,66,-0.0293,45,-0.6751,75,0.18688,98,0.76506
ENSG00000143850,PLEKHA6,34,-0.6647,48,-0.1304,32,-0.7341,51,-0.0424,63,0.31553,53,0.02988,60,0.26351
ENSG00000158615,PPP1R15B,23,-0.1103,20,-0.3200,44,0.94248,17,-0.6242,24,-0.0032,25,0.06217,24,0.01358
ENSG00000198625,MDM4,135,2.00392,61,0.60417,25,-0.7749,23,-0.9482,47,0.19742,34,-0.3450,24,-0.9814
ENSG00000170382,LRRN2,8,-1.1921,10,-0.9287,10,-0.9135,11,-0.7786,22,0.31832,24,0.50465,25,0.66051
ENSG00000163531,NFASC,215,1.42594,62,-0.5988,51,-0.8983,42,-1.2367,125,0.56238,59,-0.7121,104,0.26171
ENSG00000184144,CNTN2,421,3.41998,9,-2.9946,30,-1.3035,27,-1.5462,60,-0.2892,31,-1.3072,51,-0.5975
ENSG00000117222,RBBP5,33,-0.4609,38,-0.2242,59,0.45562,60,0.52873,61,0.56954,31,-0.5793,33,-0.5625
ENSG00000133059,DSTYK,71,-0.2667,99,0.24822,47,-0.8984,102,0.33579,106,0.40806,73,-0.2399,78,-0.1607
ENSG00000133069,TMCC2,67,0.36127,62,0.23517,50,-0.0986,29,-1.0099,33,-0.8041,92,1.02661,50,-0.0945
ENSG00000117266,CDK18,87,2.33720,24,0.07353,4,-2.3707,7,-1.7776,19,-0.2596,20,-0.2324,21,-0.1025
ENSG00000174514,MFSD4A,15,-2.8180,43,-1.2996,69,-0.5856,161,0.84342,88,-0.2358,63,-0.7782,154,0.88385
ENSG00000158711,ELK4,32,1.10110,12,-0.4027,34,1.22490,8,-1.0324,12,-0.4251,10,-0.6940,17,0.13888
ENSG00000069275,NUCKS1,1919,0.99036,1501,0.58013,1253,0.28865,1179,0.21100,1086,0.06641,685,-0.7056,656,-0.8392
ENSG00000117280,RAB29,54,1.30980,40,0.78652,14,-0.8533,18,-0.5156,16,-0.6931,32,0.49875,17,-0.6078
ENSG00000133065,SLC41A1,21,-0.1390,24,0.10386,15,-0.5700,12,-1.0382,20,-0.2427,42,1.13027,22,-0.0842
ENSG00000286619,AC119673.2,19,0.20374,36,1.23971,4,-1.9478,11,-0.7189,29,0.98058,17,-0.0100,10,-0.9351
ENSG00000266028,SRGAP2,27,-0.2738,14,-1.2042,17,-0.9170,18,-0.9499,48,0.71866,32,0.00422,43,0.61296
ENSG00000266094,RASSF5,0,-7.5170,4,-1.7560,1,-3.0515,16,0.12064,28,1.17634,11,-0.4214,21,0.64478
ENSG00000123836,PFKFB2,79,1.66024,34,0.23254,10,-1.5674,18,-0.7595,20,-0.6109,26,-0.2023,33,0.22960
ENSG00000196352,CD55,51,1.59550,12,-0.7513,9,-1.0942,10,-0.9893,16,-0.2907,14,-0.5854,27,0.64569
ENSG00000117335,CD46,59,0.45019,34,-0.4200,14,-1.7248,35,-0.3769,59,0.51303,36,-0.3374,55,0.41023
ENSG00000203709,MIR29B2CHG,5,-1.8906,19,0.01748,12,-0.6367,9,-1.1842,48,1.91303,11,-0.7996,16,-0.2158
ENSG00000076356,PLXNA2,29,-1.0902,42,-0.5222,28,-1.1330,81,0.55908,101,0.98520,45,-0.4648,53,-0.2248
ENSG00000008118,CAMK1G,4,-3.2542,28,-0.5043,6,-2.6464,61,0.78452,32,-0.3406,36,-0.1690,59,0.83182
ENSG00000117597,UTP25,25,0.22622,15,-0.5132,31,0.54527,21,-0.0860,23,0.11437,19,-0.1817,21,-0.0743
ENSG00000143469,SYT14,38,0.15534,39,0.20958,28,-0.3131,43,0.37531,51,0.69285,16,-1.1949,29,-0.2909
ENSG00000082497,SERTAD4,4,-2.4789,9,-1.2899,16,-0.5180,46,1.31440,29,0.42835,9,-1.4283,25,0.18644
ENSG00000143473,KCNH1,1,-4.5145,29,-0.4538,4,-3.2795,74,1.20514,28,-0.5223,37,-0.0708,51,0.54194
ENSG00000117625,RCOR3,40,-0.2247,41,-0.2040,14,-1.7752,41,-0.2285,70,0.75029,45,-0.0463,50,0.14271
ENSG00000170385,SLC30A1,12,-1.4150,27,-0.1590,20,-0.6239,32,0.09874,18,-0.8719,69,1.59510,22,-0.5592
ENSG00000123684,LPGAT1,110,0.24895,89,-0.0779,128,0.49685,73,-0.4290,107,0.22895,70,-0.5047,100,0.12603
ENSG00000066027,PPP2R5A,94,0.93058,60,0.20412,55,0.04938,68,0.43744,41,-0.4370,45,-0.2800,40,-0.5231
ENSG00000117691,NENF,292,1.13880,92,-0.7057,178,0.31760,90,-0.7918,77,-1.0459,239,0.91280,124,-0.2985
ENSG00000117697,NSL1,102,1.08018,52,-0.0310,77,0.60978,63,0.32767,53,-0.0045,31,-0.8745,36,-0.7023
ENSG00000203705,TATDN3,23,-0.2496,11,-1.3379,20,-0.4165,25,-0.1490,38,0.60870,28,0.08828,29,0.14000
ENSG00000162769,FLVCR1,16,-0.5305,21,-0.0677,3,-2.8940,8,-1.5975,44,1.26698,17,-0.4054,30,0.56840
ENSG00000174606,ANGEL2,38,0.31352,20,-0.6613,26,-0.2988,36,0.22272,32,0.04838,34,0.16253,29,-0.1435
ENSG00000136643,RPS6KC1,31,-0.4194,42,0.06268,28,-0.5698,48,0.30992,43,0.13766,24,-0.8280,50,0.44182
ENSG00000117707,PROX1,108,3.48684,36,1.16895,2,-3.2637,14,-0.4027,1,-3.5016,10,-0.9128,5,-2.1166
ENSG00000143499,SMYD2,6,-4.2016,58,-0.8892,18,-2.6046,44,-1.3887,105,0.03128,92,-0.2049,226,1.84566
ENSG00000152104,PTPN14,25,-0.8746,65,0.59732,49,0.14298,64,0.66925,55,0.37600,43,-0.0411,23,-1.1509
ENSG00000136636,KCTD3,117,1.86212,50,0.40737,43,0.15711,23,-0.8390,43,0.18998,21,-1.0288,27,-0.6384
ENSG00000196482,ESRRG,10,-1.4757,31,0.24419,16,-0.7608,10,-1.4662,24,-0.1390,25,-0.1183,47,1.25716
ENSG00000092978,GPATCH2,44,0.09142,42,0.01776,51,0.32381,57,0.53858,62,0.72097,23,-0.9806,27,-0.8052
ENSG00000067533,RRP15,56,0.27391,55,0.23637,53,0.16264,70,0.69261,59,0.37975,36,-0.4467,25,-1.1178
ENSG00000143353,LYPLAL1,35,0.63702,20,-0.2769,25,0.09561,13,-0.8952,10,-1.3508,31,0.46404,31,0.57482
ENSG00000136628,EPRS,176,0.21393,182,0.26565,128,-0.2834,183,0.30643,209,0.55278,75,-1.1687,141,-0.1600
ENSG00000067704,IARS2,61,0.21859,52,-0.0318,88,0.81231,36,-0.6392,48,-0.1792,62,0.28048,48,-0.1938
ENSG00000118873,RAB3GAP2,74,-0.7611,122,0.00053,86,-0.5423,121,-0.0102,179,0.69502,109,-0.1892,120,-0.0195
ENSG00000116141,MARK1,16,-1.7425,35,-0.5485,42,-0.2745,50,0.01010,80,0.84771,30,-0.8204,63,0.43795
ENSG00000162817,C1orf115,40,-2.1213,159,-0.0467,111,-0.5991,350,1.46951,90,-0.9783,160,-0.0362,151,-0.1564
ENSG00000117791,MARC2,12,-0.4794,10,-0.7013,13,-0.3179,22,0.53253,14,-0.2701,20,0.35668,16,-0.0204
ENSG00000186205,MARC1,11,-0.4145,9,-0.6255,28,1.13544,11,-0.3457,14,-0.0538,17,0.28968,12,-0.2404
ENSG00000154305,MIA3,142,-0.2531,211,0.37152,142,-0.2540,262,0.82934,204,0.35308,73,-1.3356,143,-0.2922
ENSG00000186063,AIDA,68,-0.1821,98,0.40668,92,0.30731,56,-0.5167,83,0.14187,80,0.09346,72,-0.0949
ENSG00000162819,BROX,59,0.59303,29,-0.5229,35,-0.2408,35,-0.2373,36,-0.2359,44,0.13459,45,0.20958
ENSG00000143502,SUSD4,18,-1.3315,16,-1.4747,26,-0.7817,29,-0.6418,62,0.62646,31,-0.5449,72,1.07868
ENSG00000162909,CAPN2,54,0.55390,35,-0.1115,31,-0.3157,19,-1.1047,25,-0.6814,50,0.47435,49,0.51845
ENSG00000143514,TP53BP2,53,0.42886,69,0.85851,66,0.76824,7,-2.6891,22,-1.0208,87,1.45662,23,-1.0198
ENSG00000143756,FBXO28,23,-0.8109,22,-0.8538,14,-1.5619,45,0.27703,45,0.26396,32,-0.2996,53,0.65673
ENSG00000143753,DEGS1,57,0.28454,19,-1.3347,25,-0.9618,44,-0.1165,54,0.22140,46,-0.0333,59,0.44822
ENSG00000143771,CNIH4,14,-1.1130,15,-1.0645,43,0.58312,31,0.06098,24,-0.3405,38,0.44158,33,0.19020
ENSG00000162923,WDR26,68,-0.0902,44,-0.7345,68,-0.0899,74,0.06454,80,0.19100,60,-0.2879,83,0.30174
ENSG00000143786,CNIH3,5,-2.5078,11,-1.3167,19,-0.5786,20,-0.5024,34,0.35471,20,-0.4870,49,1.23367
ENSG00000154380,ENAH,358,1.44608,258,0.87857,126,-0.2665,140,-0.1102,110,-0.5155,124,-0.3260,103,-0.6888
ENSG00000143742,SRP9,130,-0.7913,132,-0.7683,265,0.31359,166,-0.4536,162,-0.4955,298,0.56402,277,0.48452
ENSG00000143819,EPHX1,26,-0.2331,38,0.36725,34,0.18131,7,-2.2518,7,-2.1861,76,1.85514,27,-0.1779
ENSG00000196187,TMEM63A,154,5.20194,4,-1.9597,1,-3.5647,0,-7.7029,4,-2.1887,5,-1.7293,6,-1.5889
ENSG00000143811,PYCR2,39,-0.0090,36,-0.1305,17,-1.2798,52,0.46807,19,-1.1943,44,0.20126,51,0.49982
ENSG00000143751,SDE2,28,0.62798,31,0.80509,17,-0.1673,19,0.08536,18,-0.0736,17,-0.1873,13,-0.5957
ENSG00000163041,H3F3A,440,0.78121,328,0.30154,256,-0.0901,274,0.01815,187,-0.6191,347,0.43894,204,-0.5209
ENSG00000182827,ACBD3,89,0.45087,90,0.46076,66,-0.0215,87,0.45495,65,-0.0527,51,-0.4486,51,-0.4934
ENSG00000143799,PARP1,326,1.14521,225,0.51912,153,-0.0880,167,0.04516,147,-0.1695,128,-0.3989,120,-0.5562
ENSG00000203685,STUM,35,-0.2287,14,-1.5474,122,1.85562,40,-0.0465,44,0.12476,47,0.25706,19,-1.3432
ENSG00000143772,ITPKB,151,2.37533,46,0.24551,38,-0.0248,8,-2.3730,13,-1.6732,65,0.93979,19,-1.1998
ENSG00000143801,PSEN2,4,-1.9393,6,-1.3350,5,-1.7766,20,0.38102,11,-0.6472,8,-1.0655,33,1.63761
ENSG00000163050,COQ8A,27,0.24356,8,-1.6381,1,-3.7564,30,0.45795,20,-0.2296,19,-0.3655,35,0.83056
ENSG00000143776,CDC42BPA,528,0.93261,477,0.76027,256,-0.2375,297,-0.0052,443,0.72110,138,-1.2488,185,-0.8574
ENSG00000143740,SNAP47,18,-1.5794,32,-0.7196,25,-1.1117,55,0.11017,58,0.21918,59,0.26007,65,0.48536
ENSG00000143761,ARF1,83,-1.5303,144,-0.7160,126,-0.9160,275,0.32068,193,-0.2901,223,-0.0473,338,0.80776
ENSG00000143793,C1orf35,36,0.88887,33,0.77975,9,-1.1317,13,-0.7703,25,0.38559,17,-0.2866,19,-0.1737
ENSG00000162910,MRPL55,38,-0.9978,24,-1.6636,62,-0.2721,66,-0.1920,68,-0.1376,70,-0.0962,118,0.98873
ENSG00000143774,GUK1,435,-0.3524,449,-0.3010,599,0.15002,492,-0.1763,284,-1.0730,1000,1.13903,502,-0.1564
ENSG00000154370,TRIM11,9,-0.5768,9,-0.6579,15,0.18300,18,0.46507,13,-0.1092,11,-0.2904,15,0.23116
ENSG00000168159,RNF187,138,-1.1162,134,-1.1585,259,-0.1580,298,0.06683,285,-0.0097,294,0.03961,386,0.60117
ENSG00000116574,RHOU,256,3.89451,16,-1.2550,39,0.08124,3,-3.5519,14,-1.5345,30,-0.3438,12,-1.8757
ENSG00000168118,RAB4A,82,-0.0434,60,-0.5321,77,-0.1487,76,-0.1759,60,-0.5755,97,0.24629,109,0.52076
ENSG00000154429,CCSAP,124,-0.2701,130,-0.1903,118,-0.3410,247,0.95555,166,0.20650,98,-0.6708,124,-0.3216
ENSG00000069248,NUP133,30,0.12748,18,-0.6781,14,-0.9871,31,0.21907,31,0.22872,26,-0.1078,30,0.19950
ENSG00000135801,TAF5L,20,0.35679,10,-0.7691,4,-1.8587,10,-0.7560,32,1.27575,11,-0.6631,18,0.19621
ENSG00000143641,GALNT2,16,-1.1879,49,0.50416,23,-0.6266,50,0.62872,23,-0.6967,29,-0.3238,44,0.41718
ENSG00000177614,PGBD5,30,-1.8316,79,-0.3976,80,-0.3863,131,0.44386,114,0.19383,101,-0.0099,114,0.22072
ENSG00000135775,COG2,23,-0.0365,22,-0.0929,14,-0.7431,22,-0.0692,32,0.53116,24,0.02510,22,-0.1169
ENSG00000135744,AGT,218,1.02647,139,0.28281,132,0.20234,31,-2.0677,50,-1.3526,299,1.90237,48,-1.5295
ENSG00000119280,C1orf198,156,2.93573,28,-0.1666,27,-0.2133,4,-2.9412,9,-1.8821,46,0.69985,15,-1.2884
ENSG00000173409,ARV1,11,-1.7306,15,-1.1934,15,-1.2410,37,0.12583,17,-1.1017,45,0.51010,56,1.07181
ENSG00000143633,C1orf131,32,1.00720,15,-0.2117,6,-1.5803,20,0.27468,21,0.35999,15,-0.1838,13,-0.4657
ENSG00000116906,GNPAT,39,-0.1998,39,-0.2189,19,-1.2925,49,0.16285,48,0.11320,32,-0.5573,60,0.61505
ENSG00000116903,EXOC8,8,-1.1677,8,-1.1505,22,0.41592,25,0.67642,19,0.13727,13,-0.5091,18,0.13438
ENSG00000135766,EGLN1,74,0.28223,44,-0.5259,82,0.45546,67,0.13273,52,-0.2825,67,0.14227,56,-0.1716
ENSG00000116918,TSNAX,72,-0.4283,52,-0.9061,54,-0.8593,156,0.90897,98,0.04985,67,-0.5840,106,0.22588
ENSG00000116991,SIPA1L2,12,-2.4819,117,1.01377,59,-0.0920,52,-0.3074,52,-0.3003,61,-0.0277,77,0.41334
ENSG00000135778,NTPCR,25,-1.4001,51,-0.3672,39,-0.7669,81,0.40810,46,-0.5565,71,0.16860,87,0.60986
ENSG00000135749,PCNX2,15,-2.5512,112,0.42803,36,-1.2990,77,-0.1729,111,0.45605,93,0.13941,100,0.31851
ENSG00000135750,KCNK1,48,-1.4673,33,-2.0131,124,-0.0455,200,0.81872,138,0.13296,94,-0.5138,154,0.37415
ENSG00000183780,SLC35F3,5,-1.9819,10,-1.0240,14,-0.4317,14,-0.4793,29,0.72696,13,-0.5854,30,0.87743
ENSG00000168275,COA6,16,-1.7254,36,-0.5218,44,-0.2268,55,0.14033,60,0.27657,44,-0.2425,66,0.50659
ENSG00000059588,TARBP1,44,-0.1777,16,-1.7010,32,-0.6377,48,-0.0235,102,1.38367,28,-0.9364,47,-0.0679
ENSG00000168264,IRF2BP2,118,0.85784,59,-0.2444,92,0.44617,52,-0.4742,73,0.10164,83,0.31021,49,-0.6437
ENSG00000173726,TOMM20,219,-0.9876,243,-0.8263,452,0.12861,492,0.29552,507,0.34969,368,-0.2108,449,0.14610
ENSG00000054267,ARID4B,711,1.79497,406,0.80588,233,-0.0919,216,-0.2260,338,0.56324,104,-1.4030,98,-1.5846
ENSG00000152904,GGPS1,27,-0.4296,19,-0.9582,12,-1.5912,44,0.35214,31,-0.2235,28,-0.3879,55,0.88232
ENSG00000162885,B3GALNT2,6,-1.2740,13,-0.1826,12,-0.3466,10,-0.6698,22,0.73234,11,-0.5487,20,0.63789
ENSG00000168243,GNG4,11,-0.8428,23,0.30543,20,0.07712,20,0.05831,18,-0.0764,22,0.26231,18,-0.0939
ENSG00000143669,LYST,87,0.87476,79,0.71841,27,-0.9352,61,0.32124,71,0.61122,22,-1.3288,35,-0.6627
ENSG00000077585,GPR137B,13,-0.4833,27,0.67041,15,-0.2808,10,-0.9001,9,-1.0149,38,1.44629,14,-0.3852
ENSG00000086619,ERO1B,15,-0.1162,10,-0.7572,3,-2.3251,20,0.32251,19,0.25623,16,-0.0852,20,0.37807
ENSG00000116977,LGALS8,34,-0.9391,35,-0.8863,25,-1.4057,59,-0.1339,79,0.39910,42,-0.6974,102,1.01215
ENSG00000119285,HEATR1,21,0.60581,6,-1.2283,15,0.07911,12,-0.2845,24,0.99338,4,-1.8192,15,0.17950
ENSG00000077522,ACTN2,73,-0.3151,19,-2.2832,91,0.01867,128,0.63013,168,1.17359,56,-0.7896,64,-0.6195
ENSG00000116984,MTR,103,1.29954,52,0.16121,41,-0.1902,33,-0.5618,83,1.07648,20,-1.3200,30,-0.7973
ENSG00000198626,RYR2,118,-1.1720,259,0.02778,252,-0.0105,282,0.18268,631,1.81663,77,-1.8954,146,-0.9832
ENSG00000133019,CHRM3,31,-1.8440,83,-0.3690,117,0.17664,205,1.26620,146,0.58957,57,-0.9995,71,-0.7099
ENSG00000155816,FMN2,68,-0.3430,125,0.63247,114,0.47373,91,0.13488,97,0.25098,80,-0.0861,56,-0.7370
ENSG00000180875,GREM2,2,-2.5853,13,-0.1575,12,-0.3007,5,-1.7092,15,-0.0038,12,-0.2738,28,1.44119
ENSG00000182901,RGS7,22,-2.0860,65,-0.5168,36,-1.4080,127,0.60293,90,-0.0122,78,-0.2596,125,0.65715
ENSG00000091483,FH,29,-0.7155,25,-0.9129,17,-1.5395,55,0.28673,33,-0.5377,55,0.28754,66,0.74067
ENSG00000054277,OPN3,9,-3.0685,36,-1.0955,18,-2.1193,127,1.01799,57,-0.4290,73,-0.0012,101,0.65259
ENSG00000203668,CHML,46,-1.0616,72,-0.3870,76,-0.3121,155,0.93733,146,0.82089,53,-0.9264,71,-0.4898
ENSG00000143702,CEP170,420,0.91836,309,0.41281,226,-0.0841,343,0.65418,288,0.33255,99,-1.4245,149,-0.8451
ENSG00000054282,SDCCAG8,274,0.86210,311,1.07744,408,1.55723,175,0.14405,91,-0.9321,125,-0.4229,51,-1.9294
ENSG00000117020,AKT3,221,-0.3026,440,0.79843,407,0.66878,307,0.23674,254,-0.0965,227,-0.2848,192,-0.6100
ENSG00000179456,ZBTB18,61,-1.9998,228,-0.0245,154,-0.6268,275,0.30605,219,-0.0964,238,0.04785,290,0.45067
ENSG00000035687,ADSS,127,0.31012,54,-1.0111,126,0.30064,85,-0.3366,157,0.74299,75,-0.5529,103,-0.0202
ENSG00000203667,COX20,165,0.11152,238,0.70103,264,0.87726,104,-0.6543,96,-0.7742,218,0.62556,114,-0.5497
ENSG00000153187,HNRNPU,587,0.78526,412,0.20923,397,0.14993,434,0.32682,361,-0.0013,231,-0.7434,294,-0.3789
ENSG00000203666,EFCAB2,26,1.05799,26,1.04905,8,-0.8222,8,-0.8688,5,-1.3569,17,0.38828,13,0.03844
ENSG00000185420,SMYD3,6,-2.0303,17,-0.5322,4,-2.4337,36,0.66074,21,-0.2883,22,-0.1783,37,0.82577
ENSG00000162852,CNST,32,-1.4831,34,-1.3951,71,-0.2633,131,0.80021,96,0.22247,66,-0.4193,97,0.27265
ENSG00000143653,SCCPDH,71,0.27980,41,-0.5713,43,-0.5076,55,-0.1322,38,-0.7502,63,0.08721,83,0.67302
ENSG00000153207,AHCTF1,96,0.38946,83,0.14976,59,-0.3688,120,0.85257,114,0.75439,49,-0.7000,33,-1.4462
ENSG00000175137,SH3BP5L,4,-1.6168,14,0.12734,9,-0.5865,13,0.04310,11,-0.2226,12,-0.0866,18,0.68006
ENSG00000035115,SH3YL1,58,0.67975,26,-0.5561,32,-0.2780,29,-0.4300,52,0.54578,25,-0.6858,43,0.21590
ENSG00000143727,ACP1,31,-1.3239,33,-1.2480,70,-0.0952,86,0.26758,51,-0.6254,86,0.25971,103,0.67711
ENSG00000151353,TMEM18,30,-0.2120,29,-0.2766,51,0.64089,35,0.02687,43,0.39869,25,-0.5307,32,-0.1279
ENSG00000186487,MYT1L,193,-1.0800,455,0.24250,566,0.59424,559,0.64621,535,0.56526,252,-0.7324,260,-0.7356
ENSG00000032389,EIPR1,12,-1.9833,21,-1.1035,31,-0.5613,49,0.18092,37,-0.3050,43,-0.0484,70,0.95603
ENSG00000171853,TRAPPC12,17,-1.1642,23,-0.6959,20,-0.8859,39,0.10267,39,0.11235,28,-0.4355,56,0.86402
ENSG00000182551,ADI1,58,0.41204,47,0.07653,32,-0.5192,27,-0.8516,33,-0.4899,85,1.19739,37,-0.3606
ENSG00000171865,RNASEH1,37,0.07483,31,-0.2426,34,-0.0622,37,0.05065,47,0.47528,42,0.29947,25,-0.6571
ENSG00000171863,RPS7,538,0.07580,471,-0.1347,650,0.37519,527,0.04532,248,-1.1902,774,0.74783,467,-0.1783
ENSG00000232044,SILC1,132,2.91124,23,-0.2548,37,0.50168,13,-1.1143,18,-0.6713,5,-2.6210,19,-0.5888
ENSG00000228203,RNF144A-AS1,3,-2.8747,14,-0.7455,12,-1.0061,36,0.85527,15,-0.6716,16,-0.5172,36,0.95885
ENSG00000151692,RNF144A,59,0.33450,40,-0.2678,18,-1.4406,43,-0.1749,59,0.36974,46,-0.0422,53,0.19407
ENSG00000115738,ID2,284,0.29809,193,-0.3090,321,0.49591,242,0.05345,199,-0.2814,292,0.38734,185,-0.4428
ENSG00000134313,KIDINS220,293,0.48056,208,-0.0701,208,-0.0635,186,-0.2666,338,0.80884,152,-0.5964,181,-0.3362
ENSG00000143797,MBOAT2,112,0.61575,86,0.20097,109,0.58082,43,-0.9461,114,0.73405,78,0.05227,45,-0.9403
ENSG00000151693,ASAP2,58,-0.3333,98,0.47940,80,0.15863,51,-0.5939,99,0.56396,53,-0.5102,75,0.07412
ENSG00000119185,ITGB1BP1,37,-1.1528,63,-0.3258,48,-0.7559,63,-0.3737,55,-0.5771,80,0.04070,131,1.11612
ENSG00000119203,CPSF3,15,-0.5795,11,-1.0962,15,-0.5783,15,-0.5993,22,-0.0375,13,-0.8176,42,1.37028
ENSG00000134330,IAH1,39,-0.0441,13,-1.7176,25,-0.7245,48,0.29618,28,-0.6296,40,-0.0276,59,0.78164
ENSG00000151694,ADAM17,44,0.22160,33,-0.2399,31,-0.3228,35,-0.1319,59,0.78597,42,0.14574,26,-0.6724
ENSG00000134308,YWHAQ,387,0.26931,131,-1.3943,299,-0.1386,415,0.42686,235,-0.5500,313,-0.0705,391,0.35906
ENSG00000115750,TAF1B,24,-0.1437,42,0.77586,67,1.57930,32,0.34100,33,0.39541,8,-1.7748,11,-1.4308
ENSG00000115756,HPCAL1,119,0.41376,16,-2.5609,120,0.43086,159,1.02151,100,0.16293,67,-0.5174,63,-0.6688
ENSG00000115758,ODC1,17,-0.6068,12,-1.0430,43,0.89833,24,-0.0684,22,-0.1813,18,-0.5089,32,0.51847
ENSG00000115761,NOL10,41,0.44635,39,0.36756,38,0.32988,40,0.44309,43,0.60093,15,-1.1540,19,-0.8807
ENSG00000143870,PDIA6,43,-0.6680,51,-0.3989,62,-0.1044,59,-0.2132,67,0.01670,72,0.14585,82,0.40906
ENSG00000162975,KCNF1,20,-1.6178,15,-2.0129,54,-0.1387,46,-0.4177,88,0.74342,62,0.09444,74,0.47026
ENSG00000134318,ROCK2,422,-0.3980,578,0.09031,521,-0.0708,1008,1.15385,739,0.54407,235,-1.3681,353,-0.7868
ENSG00000196208,GREB1,11,-0.3515,11,-0.3674,12,-0.2846,3,-2.2370,24,1.00514,18,0.44201,14,0.05653
ENSG00000169006,NTSR2,20,-0.1370,41,1.04212,13,-0.7768,4,-2.5299,11,-1.1055,52,1.73412,17,-0.4374
ENSG00000134324,LPIN1,94,0.23951,91,0.18668,49,-0.7686,54,-0.6712,98,0.34044,98,0.33957,79,-0.0540
ENSG00000071575,TRIB2,14,-0.8652,47,1.00081,28,0.19175,15,-0.8153,31,0.37246,35,0.58427,16,-0.7430
ENSG00000162981,LRATD1,13,-3.0994,53,-1.0534,33,-1.7769,192,1.10589,49,-1.2524,96,-0.1671,167,0.95258
ENSG00000151779,NBAS,46,-0.1069,36,-0.4623,57,0.24614,60,0.34850,50,0.04146,36,-0.4955,52,0.11348
ENSG00000079785,DDX1,125,-0.8965,153,-0.5852,129,-0.8478,304,0.54787,237,0.09631,139,-0.7928,307,0.64310
ENSG00000197872,FAM49A,67,-1.4846,153,-0.2491,127,-0.5320,233,0.46587,237,0.49716,138,-0.4403,196,0.17399
ENSG00000163032,VSNL1,224,-3.2659,818,-1.3626,1394,-0.5582,2557,0.43906,1698,-0.2773,1591,-0.3857,3281,1.06369
ENSG00000163029,SMC6,142,1.32085,121,1.04147,63,-0.0149,62,-0.0513,96,0.73313,25,-1.4714,24,-1.6469
ENSG00000240857,RDH14,16,-0.6697,17,-0.6060,27,0.07477,25,-0.0146,27,0.09528,22,-0.2670,33,0.48679
