Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12,Feature count topic 13,Feature log2 fold change topic 13
ENSG00000132467,UTP3,38,-0.3842,52,0.08283,35,-0.5096,43,-0.2194,66,0.46701,45,-0.1429,63,0.39295,76,0.76822,26,-0.9902,35,-0.5317,40,-0.3272
ENSG00000018189,RUFY3,596,0.50171,355,-0.3125,464,0.10176,439,0.01668,447,0.04416,516,0.29936,495,0.20503,537,0.36796,166,-1.4542,300,-0.5714,279,-0.6788
ENSG00000132463,GRSF1,198,0.87425,160,0.52429,175,0.67190,116,0.01846,84,-0.4744,102,-0.1985,83,-0.5000,100,-0.2334,86,-0.4539,92,-0.3361,94,-0.3045
ENSG00000173542,MOB1B,15,-1.1329,79,1.44103,29,-0.1878,30,-0.1466,33,0.03288,23,-0.5978,38,0.23327,35,0.11839,19,-0.7813,43,0.44490,22,-0.5825
ENSG00000156136,DCK,30,-0.2362,52,0.61089,47,0.43332,28,-0.3686,10,-1.8581,50,0.60961,31,-0.1781,40,0.21853,18,-1.0369,34,-0.0698,29,-0.2898
ENSG00000080493,SLC4A4,36,-1.4952,30,-1.7466,12,-3.0546,34,-1.5860,165,0.83378,38,-1.4880,68,-0.5457,72,-0.5053,495,2.93105,186,1.03718,22,-2.2055
ENSG00000163626,COX18,9,-0.2953,17,0.69203,18,0.76401,19,0.83988,12,0.18308,7,-0.6115,3,-1.5982,9,-0.2987,8,-0.4397,10,-0.1017,12,0.16978
ENSG00000132466,ANKRD17,252,0.01446,198,-0.3545,100,-1.3788,282,0.18985,359,0.57847,230,-0.1352,475,1.04113,331,0.49771,149,-0.7936,137,-0.9131,168,-0.6117
ENSG00000163738,MTHFD2L,10,-0.1676,11,0.04858,10,-0.1488,12,0.20344,20,0.99127,8,-0.4424,3,-1.6907,9,-0.3322,19,0.87280,6,-0.7742,15,0.47467
ENSG00000169116,PARM1,125,0.58312,64,-0.4592,188,1.26570,46,-0.9668,16,-2.5237,47,-0.9994,104,0.29950,178,1.34670,34,-1.3995,33,-1.4589,64,-0.4595
ENSG00000163743,RCHY1,42,0.08282,41,0.03215,53,0.43366,29,-0.5073,24,-0.7615,39,-0.0468,28,-0.5660,45,0.18537,27,-0.6225,35,-0.1977,76,1.00884
ENSG00000138769,CDKL2,80,0.33348,78,0.30436,50,-0.3832,93,0.57450,86,0.45560,55,-0.2567,85,0.43399,73,0.20706,27,-1.2995,26,-1.3605,57,-0.1977
ENSG00000138757,G3BP2,373,0.18785,356,0.11412,481,0.59519,318,-0.0618,270,-0.3106,360,0.14518,501,0.66119,383,0.25419,115,-1.5964,150,-1.1994,249,-0.4372
ENSG00000138768,USO1,136,0.60738,86,-0.1182,74,-0.3330,106,0.21474,108,0.24853,71,-0.4279,126,0.49394,131,0.61639,49,-0.9683,48,-0.9970,63,-0.5818
ENSG00000138744,NAAA,13,0.10238,13,0.16900,20,0.81686,17,0.51976,20,0.80910,7,-0.9497,9,-0.3968,12,0.04991,12,-0.0625,7,-0.8871,8,-0.6904
ENSG00000198301,SDAD1,122,0.31801,81,-0.3269,32,-1.7254,107,0.10051,135,0.47632,123,0.36122,184,0.98067,127,0.41756,45,-1.2229,59,-0.8038,35,-1.5795
ENSG00000138750,NUP54,10,-0.5192,21,0.64245,23,0.77591,27,1.03847,16,0.19552,5,-1.5870,7,-0.9576,4,-1.7127,19,0.41467,24,0.84452,17,0.26291
ENSG00000138760,SCARB2,135,0.25866,113,-0.0082,141,0.33129,125,0.14502,187,0.79136,90,-0.3866,100,-0.2059,93,-0.3332,134,0.25124,82,-0.5118,98,-0.2269
ENSG00000189157,FAM47E,12,-0.4241,31,1.04848,26,0.77785,8,-1.0851,17,0.08874,9,-0.9851,11,-0.5264,15,-0.1075,14,-0.2357,25,0.71368,17,0.07611
ENSG00000138771,SHROOM3,14,0.72599,17,0.97316,10,0.22756,4,-1.0187,4,-1.2978,1,-3.1947,2,-2.2358,16,0.98820,17,0.97234,11,0.24238,5,-0.8259
ENSG00000186212,SOWAHB,24,0.86073,30,1.26082,16,0.21132,16,0.21882,1,-3.6748,11,-0.3223,18,0.45743,11,-0.4064,1,-3.5576,9,-0.6771,20,0.60385
ENSG00000138758,SEPTIN11,249,-0.6611,322,-0.2674,164,-1.2851,471,0.32780,522,0.48961,458,0.31020,668,0.89355,455,0.29851,266,-0.5624,292,-0.4161,197,-1.0104
ENSG00000118816,CCNI,1015,-0.4744,567,-1.3515,1227,-0.1832,765,-0.9049,1233,-0.1761,1397,0.02014,1154,-0.2778,2259,0.88740,763,-0.9075,1371,-0.0112,2541,0.98449
ENSG00000138764,CCNG2,14,-1.4697,67,0.96863,27,-0.4625,42,0.22277,43,0.25518,33,-0.1616,23,-0.6866,35,-0.0964,15,-1.2914,68,0.98075,41,0.17360
ENSG00000138767,CNOT6L,15,-1.1329,29,-0.1750,22,-0.5923,38,0.23149,48,0.62670,25,-0.4566,24,-0.4320,54,0.89390,25,-0.3855,38,0.25114,26,-0.3526
ENSG00000169288,MRPL1,159,0.72331,98,-0.0522,68,-0.5960,119,0.25701,99,-0.0328,100,-0.0097,148,0.60983,120,0.30299,41,-1.3631,72,-0.5223,67,-0.6237
ENSG00000138759,FRAS1,4,-1.6903,22,0.97383,15,0.30811,46,2.25372,10,-0.2966,9,-0.3805,5,-1.3634,5,-1.4510,8,-0.5961,3,-1.9066,16,0.45402
ENSG00000138756,BMP2K,21,-0.2159,8,-1.5963,13,-0.9026,32,0.47029,33,0.48154,17,-0.5998,25,0.08513,15,-0.7443,79,1.99151,20,-0.2515,17,-0.5102
ENSG00000163291,PAQR3,22,0.06134,50,1.40421,30,0.55817,28,0.44588,16,-0.4131,13,-0.7178,8,-1.4933,20,-0.0440,16,-0.3832,25,0.25438,11,-0.9812
ENSG00000152784,PRDM8,135,0.97827,75,0.03512,152,1.17581,64,-0.2107,17,-2.1433,63,-0.2479,66,-0.1767,82,0.17877,39,-0.9469,26,-1.5743,91,0.33985
ENSG00000138670,RASGEF1B,13,0.49769,21,1.27892,8,-0.3465,11,0.19518,9,-0.1101,3,-1.8586,8,-0.2890,12,0.33666,5,-0.8878,8,-0.2186,12,0.38281
ENSG00000273156,AC124016.2,19,-0.9680,43,0.26120,45,0.33457,24,-0.6331,25,-0.6092,32,-0.2517,33,-0.1692,49,0.48417,25,-0.5731,55,0.64482,47,0.38117
ENSG00000138668,HNRNPD,120,-0.6451,136,-0.4529,166,-0.1529,168,-0.1285,202,0.15976,177,-0.0586,202,0.15919,227,0.37829,185,0.01624,186,0.02914,203,0.16223
ENSG00000152795,HNRNPDL,190,-0.7367,435,0.55120,414,0.46911,511,0.81286,316,0.04353,244,-0.3899,249,-0.3271,311,0.01841,305,-0.0113,216,-0.5430,253,-0.3042
ENSG00000145293,ENOPH1,74,-0.3362,130,0.55237,149,0.77144,58,-0.7122,57,-0.7217,93,0.01662,55,-0.7706,96,0.07648,106,0.22248,77,-0.2742,110,0.28659
ENSG00000249242,TMEM150C,121,0.90647,85,0.33328,57,-0.2979,93,0.48347,45,-0.6371,45,-0.6953,134,1.08113,70,0.03683,53,-0.4095,31,-1.2179,44,-0.6768
ENSG00000145284,SCD5,254,-0.4986,227,-0.6693,448,0.38355,273,-0.3894,460,0.42678,459,0.46689,266,-0.4321,262,-0.4860,620,0.91272,313,-0.1775,264,-0.4425
ENSG00000138674,SEC31A,109,0.67356,68,-0.0685,87,0.32095,90,0.36892,62,-0.2085,68,-0.0892,71,-0.0096,74,0.05535,67,-0.0975,40,-0.8793,49,-0.5617
ENSG00000251022,THAP9-AS1,8,-0.7215,23,0.93835,17,0.42720,38,1.81678,15,0.28826,5,-1.3476,8,-0.6455,7,-1.0201,15,0.29404,6,-1.0161,10,-0.3265
ENSG00000189308,LIN54,15,0.11819,20,0.57982,13,-0.0449,15,0.11007,24,0.86786,4,-1.6996,18,0.46809,20,0.65485,4,-1.5747,7,-1.0059,12,-0.1236
ENSG00000138663,COPS4,104,0.53515,101,0.48776,133,0.93600,66,-0.1841,35,-1.1217,72,-0.0583,67,-0.1691,89,0.30856,32,-1.2805,58,-0.3870,49,-0.6514
ENSG00000163312,HELQ,7,-0.4231,10,0.01664,9,-0.0882,10,0.11524,3,-1.4647,8,-0.1946,4,-1.3379,11,0.26144,14,0.59290,19,1.13045,8,-0.2601
ENSG00000163319,MRPS18C,63,0.29448,55,0.08781,70,0.47267,51,-0.0330,38,-0.4948,50,-0.0600,38,-0.4634,42,-0.3551,23,-1.2221,87,0.81742,67,0.39294
ENSG00000163624,CDS1,132,1.09985,57,-0.2526,105,0.71692,55,-0.3026,28,-1.3064,38,-0.8985,46,-0.5674,131,1.23980,33,-1.0662,28,-1.2809,46,-0.5805
ENSG00000163625,WDFY3,62,-0.0836,70,0.10456,47,-0.5014,84,0.37714,116,0.90091,70,0.11440,48,-0.4701,60,-0.1456,74,0.18803,40,-0.7728,52,-0.3493
ENSG00000180769,WDFY3-AS2,5,-1.8122,6,-1.5749,9,-0.9937,18,-0.0823,16,-0.1984,10,-0.9066,14,-0.4413,17,-0.1690,65,2.11276,35,0.98762,18,-0.0069
ENSG00000109339,MAPK10,444,0.10659,487,0.25208,443,0.10209,537,0.40715,408,-0.0256,351,-0.2806,566,0.49081,514,0.37142,141,-1.6313,260,-0.7176,379,-0.1414
ENSG00000163629,PTPN13,4,-2.7373,38,0.47085,8,-1.9295,22,-0.3582,72,1.54091,18,-0.6963,20,-0.5122,36,0.40201,60,1.21389,21,-0.4427,13,-1.1187
ENSG00000172493,AFF1,13,-0.6484,9,-1.2801,14,-0.5313,20,-0.0062,21,0.02666,21,0.01358,10,-1.0230,22,0.09471,46,1.29041,25,0.33003,23,0.17095
ENSG00000145332,KLHL8,46,-0.0659,45,-0.1101,50,0.05446,43,-0.1815,48,0.00117,41,-0.2822,77,0.74128,72,0.71510,31,-0.6734,22,-1.1917,39,-0.3231
ENSG00000198189,HSD17B11,31,0.38555,39,0.76532,29,0.26692,25,0.07663,24,-0.0134,23,-0.0920,18,-0.4904,19,-0.3681,27,0.18621,17,-0.5188,20,-0.3141
ENSG00000170502,NUDT9,61,0.64680,62,0.65960,45,0.15873,38,-0.1183,22,-0.9570,33,-0.3212,34,-0.2843,51,0.40247,35,-0.2367,28,-0.5725,35,-0.2205
ENSG00000152583,SPARCL1,5869,0.32452,2628,-0.9154,2827,-0.8054,3484,-0.4878,5538,0.23230,2995,-0.7681,4379,-0.1355,7925,0.91415,11226,1.40443,2556,-0.9570,1762,-1.5126
ENSG00000152595,MEPE,5,-2.3021,0,-10.074,47,1.04406,13,-0.9362,7,-1.8158,46,1.17246,9,-1.4809,58,1.64358,4,-2.5741,0,-9.4461,24,-0.0199
ENSG00000118785,SPP1,57,-1.1681,12,-3.4309,103,-0.2571,50,-1.3398,562,2.71050,145,0.30086,39,-1.6973,40,-1.7533,237,1.06773,14,-3.2002,143,0.24136
ENSG00000118762,PKD2,7,-0.9237,18,0.39062,5,-1.5530,52,2.20785,25,0.89859,3,-2.1363,5,-1.4919,12,-0.2757,23,0.80512,11,-0.3139,5,-1.4108
ENSG00000118777,ABCG2,4,-1.6381,6,-1.0429,1,-2.7675,2,-2.3501,45,2.25686,0,-5.1205,0,-5.2994,7,-0.8907,38,1.91409,31,1.55667,14,0.23896
ENSG00000163644,PPM1K,164,-0.5730,187,-0.3685,212,-0.1816,232,-0.0391,231,-0.0486,229,-0.0630,240,0.01553,370,0.78728,288,0.30191,166,-0.5499,175,-0.4765
ENSG00000138642,HERC6,26,0.40121,23,0.20164,25,0.33564,16,-0.4081,14,-0.5544,12,-0.8393,20,-0.0068,29,0.59690,21,0.06050,22,0.08695,16,-0.3927
ENSG00000145337,PYURF,69,-0.0692,89,0.32295,145,1.12009,50,-0.5773,56,-0.4009,53,-0.5303,34,-1.1513,68,-0.1035,98,0.48188,94,0.40230,66,-0.1417
ENSG00000138641,HERC3,38,0.46140,38,0.46549,47,0.79389,28,-0.0142,40,0.52770,22,-0.4025,24,-0.2538,27,-0.0624,15,-0.9366,18,-0.6512,21,-0.4493
ENSG00000177432,NAP1L5,466,0.58721,199,-0.7403,429,0.45370,243,-0.4381,170,-0.9736,415,0.44283,376,0.24170,430,0.50534,144,-1.2240,149,-1.1763,323,0.00410
ENSG00000138640,FAM13A,85,0.58173,90,0.67538,33,-0.8935,100,0.84674,43,-0.4893,31,-1.0245,65,0.16031,81,0.56508,17,-1.8521,50,-0.2538,58,-0.0341
ENSG00000185477,GPRIN3,2,-3.5234,1,-4.5020,17,-0.3108,16,-0.4470,24,0.22477,47,1.48254,13,-0.6744,31,0.69205,25,0.26677,4,-2.3667,16,-0.4041
ENSG00000145335,SNCA,313,-0.3523,378,-0.0603,460,0.25064,379,-0.0531,247,-0.7123,788,1.29413,564,0.57642,273,-0.6001,111,-1.8990,144,-1.5230,387,-0.0243
ENSG00000184305,CCSER1,7,-0.5871,6,-0.8178,3,-1.7307,35,1.93547,14,0.35073,4,-1.3474,18,0.78166,17,0.76011,5,-1.1060,3,-1.9510,8,-0.5387
ENSG00000152208,GRID2,3,-1.8382,11,-0.0696,5,-1.2732,25,1.20068,45,2.24530,5,-1.2477,9,-0.4440,11,-0.1334,17,0.56503,6,-0.9701,0,-4.1140
ENSG00000163104,SMARCAD1,17,-0.6374,21,-0.3339,15,-0.8827,56,1.22537,30,0.19498,21,-0.3982,32,0.31097,27,0.04087,30,0.20728,20,-0.4038,25,-0.0558
ENSG00000163110,PDLIM5,8,-2.4503,9,-2.2246,3,-3.8149,15,-1.5083,69,0.83678,23,-0.9186,14,-1.5660,22,-0.9847,236,3.22598,69,0.81935,20,-1.0774
ENSG00000182168,UNC5C,5,-1.3956,13,0.07497,8,-0.6688,23,0.95494,30,1.38895,17,0.50294,19,0.62788,6,-1.1381,9,-0.5342,5,-1.2292,6,-1.1340
ENSG00000138698,RAP1GDS1,273,1.40850,141,0.31472,167,0.58051,104,-0.1593,89,-0.4008,77,-0.6646,90,-0.3800,120,0.06289,67,-0.8419,59,-1.0234,118,0.03838
ENSG00000168785,TSPAN5,289,0.75479,182,0.01358,177,-0.0282,195,0.12555,158,-0.2063,189,0.08182,258,0.56861,197,0.15067,101,-0.8796,86,-1.1270,125,-0.5602
ENSG00000151247,EIF4E,104,0.01632,124,0.29705,121,0.25585,94,-0.1418,83,-0.3279,92,-0.1766,81,-0.3694,116,0.20251,96,-0.1043,122,0.27398,94,-0.1303
ENSG00000164024,METAP1,44,0.68648,37,0.38697,43,0.64588,39,0.48838,17,-0.7575,29,0.04546,26,-0.1348,16,-0.9319,18,-0.7075,19,-0.5908,37,0.41442
ENSG00000197894,ADH5,68,0.26002,58,0.01417,75,0.42959,28,-1.1023,70,0.31799,53,-0.1356,35,-0.7313,44,-0.4274,90,0.72170,60,0.07916,66,0.22283
ENSG00000145331,TRMT10A,6,-0.7850,10,-0.0245,2,-2.1934,15,0.60283,14,0.53498,4,-1.3589,8,-0.3069,13,0.50387,17,0.84442,17,0.79387,6,-0.6781
ENSG00000109270,LAMTOR3,66,0.25709,71,0.37741,83,0.61747,52,-0.1190,43,-0.3912,54,-0.0602,27,-1.1011,65,0.25526,35,-0.7292,63,0.18615,50,-0.1753
ENSG00000164031,DNAJB14,195,-0.0487,224,0.16630,180,-0.1710,229,0.20504,219,0.13068,188,-0.1113,269,0.45974,261,0.45828,84,-1.3145,98,-1.0961,217,0.12028
ENSG00000164032,H2AFZ,128,-0.2656,316,1.19188,226,0.62760,118,-0.3876,71,-1.1483,130,-0.2636,104,-0.5821,179,0.28378,50,-1.6867,198,0.41597,147,-0.0544
ENSG00000138814,PPP3CA,796,-0.6352,2015,0.82761,586,-1.0979,1344,0.17413,1687,0.53737,1460,0.33664,1905,0.73561,1183,-0.0277,392,-1.6946,862,-0.5137,762,-0.7017
ENSG00000254531,AP001816.1,20,-0.0959,27,0.37614,27,0.34677,22,0.07219,18,-0.2716,29,0.52073,24,0.20704,15,-0.5488,15,-0.5462,19,-0.1674,17,-0.3623
ENSG00000109320,NFKB1,11,-0.3402,10,-0.5351,22,0.67333,16,0.16054,17,0.32051,11,-0.4475,14,-0.0338,12,-0.3141,26,0.95089,10,-0.5203,13,-0.0827
ENSG00000109323,MANBA,7,-0.3513,10,0.25888,7,-0.2524,14,0.76790,11,0.39381,3,-1.5826,4,-1.0313,10,0.24175,15,0.87855,8,-0.0653,9,0.05563
ENSG00000109332,UBE2D3,189,0.19931,238,0.56419,221,0.44673,190,0.20097,135,-0.3254,155,-0.1288,124,-0.4562,162,-0.0459,110,-0.6411,143,-0.2415,185,0.15766
ENSG00000145354,CISD2,73,0.19993,68,0.10771,107,0.82731,66,0.06331,35,-0.9198,49,-0.4233,50,-0.3712,82,0.42869,41,-0.6755,45,-0.5336,82,0.39230
ENSG00000164038,SLC9B2,23,0.17524,22,0.08829,27,0.40578,27,0.39843,24,0.19652,14,-0.6694,30,0.58880,22,0.10735,19,-0.1042,16,-0.3591,10,-1.1436
ENSG00000164039,BDH2,4,-1.9991,5,-1.6104,12,-0.4787,4,-2.1220,10,-0.7148,10,-0.8120,6,-1.5077,2,-2.9348,98,3.31319,40,1.45189,9,-0.8138
ENSG00000138778,CENPE,3,-1.8018,13,0.05040,2,-2.6460,14,0.19300,26,1.15748,14,0.17986,30,1.37769,18,0.60458,6,-1.1291,3,-2.1804,3,-2.0131
ENSG00000168772,CXXC4,22,-1.3274,8,-2.7758,65,0.28425,62,0.21417,39,-0.4941,77,0.61224,75,0.50691,97,1.05625,14,-2.0431,7,-2.8860,64,0.26474
ENSG00000168769,TET2,3,-2.5952,11,-0.8649,6,-1.6991,29,0.51423,56,1.65227,6,-1.8086,32,0.66987,30,0.67968,32,0.70394,11,-0.9577,13,-0.6304
ENSG00000138777,PPA2,77,0.92649,49,0.19401,60,0.52518,40,-0.0993,18,-1.2689,26,-0.8316,28,-0.6695,48,0.19262,41,-0.0511,51,0.27497,46,0.11921
ENSG00000145348,TBCK,14,-0.7483,20,-0.2469,17,-0.4533,64,1.66119,49,1.17998,13,-0.9159,27,0.24238,18,-0.4485,16,-0.5358,17,-0.4743,17,-0.4847
ENSG00000164022,AIMP1,43,-0.5570,49,-0.3412,31,-1.0369,54,-0.2008,101,0.79162,57,-0.1378,74,0.29028,84,0.54273,76,0.33017,42,-0.5785,48,-0.3693
ENSG00000138801,PAPSS1,119,0.97246,83,0.39263,77,0.26728,83,0.37732,55,-0.2682,67,0.06157,76,0.24209,47,-0.5406,43,-0.6174,32,-1.0564,48,-0.4642
ENSG00000245293,AC096564.1,9,-1.2081,3,-2.7111,9,-1.1617,10,-1.0264,66,1.96450,43,1.36980,14,-0.5720,7,-1.6113,20,-0.0479,4,-2.2840,30,0.59294
ENSG00000155016,CYP2U1,5,-0.9195,10,0.13872,8,-0.3487,16,0.83485,11,0.21887,3,-1.5953,5,-0.8896,6,-0.7529,35,2.15923,3,-1.5413,12,0.38696
ENSG00000138796,HADH,20,0.03133,30,0.71973,27,0.50972,30,0.68259,14,-0.4444,9,-1.1584,7,-1.5326,12,-0.7596,42,1.26813,25,0.42796,12,-0.6375
ENSG00000109475,RPL34,551,-1.0138,756,-0.5346,1079,0.01408,482,-1.2152,911,-0.2488,1013,-0.0926,711,-0.6282,961,-0.1804,1351,0.36850,2292,1.24355,1824,0.85702
ENSG00000198856,OSTC,24,0.42413,17,-0.1461,34,1.00278,20,0.17027,9,-1.0243,9,-1.0854,15,-0.3477,24,0.45186,27,0.58207,16,-0.2080,10,-0.8744
ENSG00000164089,ETNPPL,3,-3.0805,6,-2.2729,7,-2.1332,8,-1.8923,57,1.03984,21,-0.5690,12,-1.2878,11,-1.5753,134,2.65584,85,1.75076,9,-1.7994
ENSG00000138802,SEC24B,31,0.45524,45,1.01981,26,0.17582,31,0.41725,12,-0.9484,16,-0.6641,21,-0.1632,27,0.22680,22,-0.1208,17,-0.4872,15,-0.6503
ENSG00000123739,PLA2G12A,57,-0.2198,66,0.00730,48,-0.4863,74,0.18517,71,0.11840,68,0.04955,82,0.34981,70,0.09091,67,0.03169,54,-0.3160,62,-0.0934
ENSG00000109534,GAR1,10,-0.3757,17,0.43939,10,-0.3278,22,0.82404,13,0.01721,10,-0.4225,8,-0.7761,9,-0.5339,18,0.53559,16,0.28568,16,0.28392
ENSG00000170522,ELOVL6,53,0.52558,41,0.12955,37,-0.0356,44,0.22562,25,-0.6175,30,-0.3932,52,0.49037,58,0.74255,17,-1.2067,13,-1.5950,36,-0.0921
ENSG00000138660,AP1AR,60,0.01731,57,-0.0578,77,0.40429,65,0.14055,63,0.07389,54,-0.1679,100,0.82730,60,0.01666,21,-1.5680,40,-0.6093,63,0.08857
ENSG00000174720,LARP7,124,-0.3666,83,-0.9754,63,-1.3833,138,-0.2015,264,0.82983,129,-0.3327,195,0.33992,206,0.47420,226,0.57745,163,0.05447,118,-0.4461
ENSG00000145362,ANK2,1934,0.54419,1038,-0.4330,768,-0.8900,1212,-0.1936,1553,0.19310,1522,0.17699,2341,0.85687,1799,0.47362,404,-1.8464,803,-0.8218,1155,-0.2687
ENSG00000145349,CAMK2D,102,-0.4409,74,-0.9262,213,0.71532,119,-0.2081,52,-1.4510,263,1.22219,217,0.75017,157,0.25065,32,-2.1543,12,-3.5703,104,-0.4111
ENSG00000174607,UGT8,16,-0.6275,2,-3.2558,10,-1.2273,10,-1.2726,139,3.23328,19,-0.3561,8,-1.6440,7,-1.8643,36,0.61614,7,-1.7883,31,0.38867
ENSG00000228358,LINC02263,2,-3.1710,72,1.96439,3,-2.7808,111,2.86754,13,-0.7931,3,-2.9341,20,-0.1804,20,-0.1637,1,-3.9616,10,-1.2328,11,-1.0595
ENSG00000164100,NDST3,23,-0.5512,94,1.72001,34,0.02230,59,0.92380,12,-1.5081,17,-1.0240,20,-0.7307,54,0.86358,1,-4.8750,24,-0.4850,21,-0.6541
ENSG00000269893,SNHG8,22,-1.5201,73,0.28985,79,0.42826,36,-0.7680,27,-1.1945,60,-0.0114,39,-0.6633,44,-0.5303,77,0.37491,115,1.03346,109,0.95212
ENSG00000145388,METTL14,18,-0.2600,13,-0.7165,12,-0.8807,28,0.42779,40,0.99003,18,-0.2953,29,0.47505,28,0.45292,16,-0.4826,21,-0.0179,10,-1.1531
ENSG00000150961,SEC24D,10,0.19716,11,0.28207,5,-0.8650,36,2.30168,6,-0.6831,7,-0.4587,21,1.33198,5,-0.9814,0,-7.2413,1,-2.8480,6,-0.6653
ENSG00000172403,SYNPO2,48,0.13402,28,-0.6779,40,-0.1229,76,0.87945,55,0.35565,51,0.26731,77,0.91161,33,-0.4536,38,-0.2006,9,-2.3083,28,-0.6654
ENSG00000145390,USP53,10,-1.6600,14,-1.2576,6,-2.4347,29,-0.1220,75,1.39512,18,-0.9359,30,-0.0857,24,-0.4622,91,1.75023,46,0.59917,28,-0.2073
ENSG00000164096,C4orf3,111,-0.6109,219,0.43609,194,0.24383,111,-0.6157,169,0.03038,167,0.00915,142,-0.2394,166,0.00388,120,-0.5015,226,0.48686,199,0.28450
ENSG00000164109,MAD2L1,6,-0.5592,20,1.30480,11,0.34724,9,-0.0076,5,-0.7603,7,-0.3183,11,0.37831,7,-0.3332,8,-0.1353,7,-0.3890,9,-0.0395
ENSG00000164111,ANXA5,30,-0.0683,9,-1.8380,12,-1.4719,25,-0.3254,51,0.75921,18,-0.9136,10,-1.7347,11,-1.5650,144,2.69016,53,0.82325,16,-1.0039
ENSG00000164112,TMEM155,87,0.33292,71,0.01858,89,0.36882,71,0.01493,62,-0.2013,119,0.93951,58,-0.2912,67,-0.0958,14,-2.3977,36,-1.0312,57,-0.3263
ENSG00000123737,EXOSC9,23,-0.5594,26,-0.3869,23,-0.5754,43,0.41597,32,-0.0607,34,0.02373,56,0.83471,49,0.68804,24,-0.5035,24,-0.4653,15,-1.1931
ENSG00000138686,BBS7,61,0.43693,39,-0.2485,46,-0.0226,64,0.51344,45,-0.0458,57,0.37352,84,0.96035,47,0.01388,8,-2.5605,21,-1.1782,25,-0.9432
ENSG00000138688,KIAA1109,238,-0.2642,190,-0.6090,156,-0.9023,302,0.10329,453,0.75409,263,-0.1223,483,0.86012,419,0.69950,208,-0.4730,105,-1.4926,174,-0.7451
ENSG00000138685,FGF2,1,-3.2781,2,-2.5287,7,-1.1374,5,-1.5541,28,0.90847,4,-2.0411,11,-0.5186,3,-2.3413,95,3.31009,33,1.16096,7,-1.1417
ENSG00000164056,SPRY1,7,-0.2079,32,2.28898,5,-0.8324,6,-0.5109,4,-0.9435,1,-2.3194,2,-1.6305,3,-1.5890,3,-1.2654,30,2.15161,9,0.05666
ENSG00000151458,ANKRD50,20,-0.5902,26,-0.2215,26,-0.2360,27,-0.1590,33,0.12694,37,0.34464,18,-0.7886,47,0.78191,16,-0.9290,34,0.16828,24,-0.3197
ENSG00000164066,INTU,16,-1.5999,49,0.10303,13,-1.8781,75,0.79586,83,0.95971,22,-1.1431,28,-0.7616,45,-0.0219,108,1.40100,67,0.60696,21,-1.1883
ENSG00000164070,HSPA4L,300,1.00830,100,-0.7277,113,-0.5423,157,-0.0322,138,-0.2369,148,-0.1345,179,0.17276,284,1.03670,68,-1.2952,57,-1.5654,111,-0.5700
ENSG00000164073,MFSD8,6,-0.8284,15,0.49746,20,0.92252,26,1.36328,11,-0.0661,5,-1.3244,7,-0.7530,9,-0.3979,17,0.62944,4,-1.3863,12,0.10180
ENSG00000164074,ABHD18,2,-2.0120,12,0.29215,13,0.32320,34,2.00570,14,0.44799,4,-1.3130,6,-0.7398,6,-0.8757,12,0.19243,9,-0.2160,11,0.06497
ENSG00000138709,LARP1B,51,-0.7042,81,0.01775,42,-0.9814,139,0.87167,102,0.37704,60,-0.4935,119,0.61545,98,0.34485,66,-0.2959,65,-0.3307,65,-0.3296
ENSG00000164040,PGRMC2,77,-0.0285,118,0.65804,94,0.29879,67,-0.2386,45,-0.8323,90,0.23573,55,-0.5414,89,0.23379,57,-0.4851,72,-0.1161,71,-0.1385
ENSG00000077684,JADE1,44,-0.4590,61,0.06940,67,0.20725,39,-0.6072,30,-1.0090,47,-0.3677,40,-0.5808,124,1.39809,59,0.00187,35,-0.7947,46,-0.3856
ENSG00000151466,SCLT1,25,-1.4696,21,-1.7186,24,-1.5651,76,0.19233,137,1.14972,71,0.10435,65,-0.0547,81,0.32716,84,0.35045,62,-0.1187,74,0.15488
ENSG00000250241,AC105383.1,10,-0.5954,8,-0.8779,11,-0.5274,23,0.63064,34,1.28736,15,0.00717,18,0.23888,19,0.34183,15,-0.0346,5,-1.5394,6,-1.3344
ENSG00000138650,PCDH10,113,-0.9310,119,-0.8521,78,-1.4880,292,0.53867,298,0.57083,353,0.95558,349,0.83179,224,0.13011,133,-0.6866,60,-1.8675,107,-1.0130
ENSG00000151012,SLC7A11,2,-3.7516,8,-2.0058,7,-2.1894,8,-2.0885,27,-0.2538,11,-1.6793,6,-2.3841,5,-2.8098,274,4.42542,52,0.74018,5,-2.7197
ENSG00000109381,ELF2,13,-1.3298,28,-0.2016,10,-1.6926,52,0.78780,78,1.47900,17,-0.9971,18,-0.8356,47,0.70236,32,0.04649,18,-0.8617,33,0.08948
ENSG00000109390,NDUFC1,144,0.01194,212,0.61926,190,0.44207,98,-0.5779,93,-0.6552,85,-0.8473,52,-1.5331,134,-0.1189,187,0.42034,257,0.93881,192,0.46120
