Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to10,Feature log2 fold change topic 8to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12,Feature count topic 13,Feature log2 fold change topic 13
ENSG00000284862,CCDC39,49,1.77492,3,-2.4757,31,0.97057,11,-0.6365,6,-1.5010,24,0.70652,0,-5.0988,7,-1.1699,28,0.81725
ENSG00000114416,FXR1,155,-0.0303,102,-0.7114,171,0.12689,199,0.36833,171,0.13742,214,0.60357,139,-0.1929,94,-0.7959,104,-0.6459
ENSG00000205981,DNAJC19,57,0.15600,79,0.74729,36,-0.5309,39,-0.4138,33,-0.7111,44,-0.3020,58,0.17105,82,0.74384,43,-0.2880
ENSG00000242808,SOX2-OT,82,-1.4509,51,-2.2653,83,-1.4395,963,2.65201,224,0.07198,137,-0.7948,400,1.00005,95,-1.2342,211,-0.0296
ENSG00000181449,SOX2,21,-2.4061,19,-2.5993,25,-2.1100,189,0.95336,40,-1.5108,82,-0.4395,519,2.88096,194,0.99780,45,-1.2721
ENSG00000058063,ATP11B,7,-1.1023,16,0.18935,24,0.81996,19,0.50506,15,0.06831,14,0.02526,15,0.12515,10,-0.5632,4,-1.6304
ENSG00000043093,DCUN1D1,42,-0.1915,46,-0.0473,64,0.48187,75,0.74569,43,-0.1512,42,-0.2102,45,-0.0731,40,-0.2628,43,-0.1343
ENSG00000078070,MCCC1,15,-0.4613,22,0.19908,35,0.91688,9,-1.1819,13,-0.6360,20,0.02532,22,0.17906,22,0.16212,23,0.22459
ENSG00000053524,MCF2L2,14,-0.4614,10,-1.0570,35,0.93319,31,0.74616,8,-1.4145,20,0.11478,6,-1.5903,29,0.66826,38,1.07951
ENSG00000114796,KLHL24,27,-0.9566,32,-0.7203,64,0.36859,85,0.83381,61,0.33520,47,-0.1251,82,0.77192,32,-0.6799,37,-0.4726
ENSG00000163872,YEATS2,26,-0.3657,44,0.51063,58,0.92170,35,0.12595,26,-0.3626,27,-0.3495,30,-0.1200,25,-0.4194,29,-0.1583
ENSG00000180834,MAP6D1,29,-0.4697,62,0.79865,16,-1.3134,85,1.23808,41,0.04947,14,-1.6845,57,0.57000,43,0.11427,36,-0.1537
ENSG00000175193,PARL,50,0.43141,49,0.43847,47,0.30811,29,-0.3991,26,-0.6152,37,-0.0536,35,-0.1553,35,-0.1187,38,0.00351
ENSG00000114770,ABCC5,86,0.69805,74,0.51550,112,1.13092,63,0.20384,52,-0.1213,41,-0.5475,21,-1.4692,22,-1.3996,43,-0.4011
ENSG00000145191,EIF2B5,48,0.26719,58,0.62916,56,0.50857,28,-0.5741,33,-0.3061,39,-0.0747,40,-0.0240,29,-0.4981,25,-0.6935
ENSG00000161202,DVL3,29,0.02147,38,0.46354,28,-0.0455,29,0.00982,23,-0.3954,14,-1.1988,66,1.31954,43,0.61017,18,-0.7443
ENSG00000161203,AP2M1,666,0.39348,906,1.01386,504,-0.0445,303,-0.8224,557,0.12071,420,-0.3871,271,-0.9933,406,-0.3787,411,-0.3600
ENSG00000161204,ABCF3,34,0.41152,47,1.04366,42,0.75367,22,-0.2832,18,-0.6425,21,-0.4216,22,-0.2728,12,-1.1676,18,-0.5828
ENSG00000145198,VWA5B2,5,-1.5683,12,-0.4019,57,2.20114,9,-0.7575,14,-0.1398,11,-0.5682,10,-0.6738,5,-1.6464,29,0.99220
ENSG00000163888,CAMK2N2,42,-0.4365,70,0.40493,27,-1.0987,40,-0.4847,20,-1.6377,71,0.48741,67,0.28981,76,0.49787,76,0.49813
ENSG00000175166,PSMD2,206,0.35837,169,0.05402,133,-0.3187,172,0.07383,161,-0.0271,187,0.25583,126,-0.4118,120,-0.4868,152,-0.1201
ENSG00000114867,EIF4G1,120,0.12745,83,-0.4746,91,-0.2924,108,-0.0286,113,0.04967,149,0.59859,104,-0.0882,87,-0.3648,82,-0.4525
ENSG00000175182,FAM131A,89,-0.0215,156,0.99528,111,0.32161,77,-0.2444,107,0.30433,67,-0.5389,20,-2.2170,77,-0.2461,71,-0.3768
ENSG00000163882,POLR2H,43,0.36119,48,0.57481,34,-0.0294,17,-1.0860,36,0.06445,32,-0.1628,44,0.39497,28,-0.3428,20,-0.8076
ENSG00000090539,CHRD,7,-1.3136,39,1.56009,25,0.60108,9,-0.9041,10,-0.8189,14,-0.3742,12,-0.4877,9,-0.9699,19,0.16437
ENSG00000182580,EPHB3,5,-1.2401,15,0.57296,17,0.65896,17,0.65191,13,0.25060,9,-0.3463,3,-1.5927,14,0.35905,4,-1.4922
ENSG00000177383,MAGEF1,46,-0.3213,93,0.86695,35,-0.7650,48,-0.2720,51,-0.1941,51,-0.2090,49,-0.2281,72,0.34762,53,-0.1101
ENSG00000156931,VPS8,30,0.04499,33,0.24097,56,1.06892,34,0.26092,32,0.16844,20,-0.6607,19,-0.6560,11,-1.3659,35,0.31039
ENSG00000187068,C3orf70,7,-1.1820,18,0.29371,4,-1.7547,16,0.14044,3,-2.3125,14,-0.1615,37,1.47084,32,1.22515,15,-0.0064
ENSG00000073803,MAP3K13,67,-0.3602,71,-0.2901,66,-0.3993,70,-0.2925,69,-0.3376,104,0.39071,99,0.23581,108,0.37192,101,0.27656
ENSG00000163900,TMEM41A,14,-0.3392,23,0.50212,25,0.57743,16,-0.0844,13,-0.4175,16,-0.1894,20,0.18226,18,0.04311,13,-0.4796
ENSG00000163904,SENP2,58,-0.3609,65,-0.2109,63,-0.2399,101,0.49604,79,0.11657,98,0.54178,28,-1.4690,61,-0.2931,68,-0.1317
ENSG00000136527,TRA2B,55,-0.3455,94,0.54063,86,0.33489,80,0.21768,58,-0.2882,57,-0.3518,82,0.26243,78,0.17889,44,-0.6985
ENSG00000244405,ETV5,24,-0.8477,45,0.12426,53,0.37746,40,-0.0788,66,0.81500,30,-0.5831,46,0.14814,37,-0.1842,31,-0.4506
ENSG00000058866,DGKG,2,-3.2762,14,-0.4432,39,1.16784,90,2.75253,19,0.04044,4,-2.3566,12,-0.6889,14,-0.4222,8,-1.1734
ENSG00000090520,DNAJB11,20,-0.0441,26,0.38580,27,0.41180,14,-0.5634,15,-0.5036,19,-0.1962,43,1.16312,17,-0.3256,10,-1.0267
ENSG00000156976,EIF4A2,712,0.24052,901,0.69080,505,-0.2944,426,-0.5575,629,0.04848,594,-0.0513,249,-1.3645,610,-0.0018,598,-0.0333
ENSG00000073849,ST6GAL1,17,-0.2290,23,0.25228,21,0.07388,11,-0.9209,18,-0.1655,14,-0.6099,39,1.08929,20,0.00741,26,0.43344
ENSG00000163923,RPL39L,9,-0.3452,18,0.72773,11,-0.1098,18,0.67194,8,-0.5564,9,-0.4952,5,-1.1473,16,0.47306,14,0.29379
ENSG00000157005,SST,9,-3.6947,82,-0.5866,106,-0.1396,140,0.29279,78,-0.6521,150,0.50076,107,-0.1361,351,1.85171,29,-2.0857
ENSG00000113916,BCL6,22,0.08410,19,-0.1493,7,-1.5436,17,-0.3172,8,-1.5350,17,-0.3128,60,1.74520,40,1.04589,19,-0.1742
ENSG00000145012,LPP,19,-0.8446,16,-1.1901,10,-1.8156,54,0.75678,6,-2.5929,34,0.02497,114,2.06909,80,1.41217,13,-1.3539
ENSG00000196083,IL1RAP,9,-0.6056,11,-0.4056,17,0.36883,3,-2.0145,3,-2.2229,29,1.59938,9,-0.5552,8,-0.7403,17,0.33614
ENSG00000152492,CCDC50,22,-1.0484,19,-1.3918,29,-0.6529,82,0.97008,33,-0.5117,53,0.33076,86,1.04263,59,0.41772,42,-0.1014
ENSG00000223812,AC073365.1,12,0.35715,16,0.93194,30,1.87887,0,-5.4171,3,-1.5652,11,0.21615,0,-7.2979,0,-8.0874,11,0.28754
ENSG00000114279,FGF12,635,0.47469,428,-0.1597,389,-0.2928,342,-0.4903,343,-0.5241,802,1.10978,122,-2.0276,358,-0.4208,322,-0.5837
ENSG00000180611,MB21D2,13,-0.0533,22,0.92373,9,-0.5147,4,-1.7588,10,-0.4122,19,0.73720,4,-1.6521,7,-0.8949,12,-0.1970
ENSG00000127249,ATP13A4,6,-1.3035,3,-2.1169,4,-1.7747,27,0.99566,0,-4.9870,4,-1.8424,109,3.98020,20,0.49977,0,-4.2133
ENSG00000198836,OPA1,246,0.76710,186,0.35163,140,-0.1278,119,-0.3728,181,0.29984,147,-0.0661,64,-1.3124,106,-0.5523,127,-0.2779
ENSG00000114315,HES1,4,-2.1146,2,-2.9700,9,-0.9720,44,1.44898,13,-0.5917,8,-1.3933,91,2.86185,26,0.54683,8,-1.1410
ENSG00000133657,ATP13A3,22,-0.4780,30,-0.0175,51,0.83259,31,0.01387,27,-0.1785,29,-0.0844,41,0.47192,23,-0.3958,25,-0.3265
ENSG00000233058,LINC00884,5,-0.7546,8,-0.1064,14,0.62097,11,0.30565,3,-1.5430,10,0.12549,8,-0.1150,12,0.45305,15,0.74202
ENSG00000041802,LSG1,41,0.67591,20,-0.4452,36,0.45141,39,0.56904,27,-0.0052,29,0.11563,28,0.05272,9,-1.5515,16,-0.7728
ENSG00000173950,XXYLT1,6,-0.3123,11,0.49059,15,0.95899,6,-0.3387,7,-0.2905,7,-0.2929,2,-2.0811,14,0.90305,5,-0.5992
ENSG00000114331,ACAP2,40,-0.7745,37,-0.9648,119,0.92270,127,1.03833,26,-1.4936,86,0.50400,118,0.91349,45,-0.6075,34,-1.0329
ENSG00000184203,PPP1R2,86,0.08429,111,0.54240,69,-0.2601,83,0.02341,68,-0.3116,95,0.28225,41,-1.0299,59,-0.4937,81,-0.0157
ENSG00000189058,APOD,89,-1.0762,101,-0.9332,96,-0.9556,438,1.46557,214,0.30621,103,-0.9759,449,1.51277,158,-0.2030,166,-0.1192
ENSG00000176945,MUC20,6,-0.6462,9,-0.2262,43,2.49194,7,-0.4133,3,-1.6025,4,-1.3101,21,1.14766,8,-0.2752,7,-0.5980
ENSG00000061938,TNK2,45,-0.1908,54,0.10992,44,-0.2344,38,-0.4426,54,0.08917,33,-0.7673,81,0.73082,64,0.36950,75,0.61832
ENSG00000072274,TFRC,98,0.59467,81,0.32558,78,0.24003,46,-0.5780,90,0.51365,48,-0.5812,63,-0.0930,45,-0.6250,55,-0.3013
ENSG00000161217,PCYT1A,36,0.03820,40,0.24561,34,-0.0263,36,0.05161,28,-0.3750,34,-0.0465,37,0.09263,27,-0.3864,45,0.40066
ENSG00000213123,TCTEX1D2,39,0.01186,64,0.87456,39,-0.0148,23,-0.7849,32,-0.3069,31,-0.4282,30,-0.4003,50,0.39714,41,0.08922
ENSG00000163960,UBXN7,38,-0.6281,29,-1.1039,49,-0.2425,115,1.13173,59,0.04866,83,0.74860,64,0.18281,25,-1.2155,27,-1.1513
ENSG00000163961,RNF168,85,0.03753,42,-1.1074,59,-0.5156,115,0.51417,88,0.09592,115,0.65796,67,-0.3297,62,-0.4352,84,0.01647
ENSG00000174013,FBXO45,45,-0.3313,61,0.15415,56,-0.0048,38,-0.6044,52,-0.1263,78,0.65283,31,-0.8864,44,-0.3519,53,-0.0763
ENSG00000163964,PIGX,93,-0.1269,122,0.31430,99,-0.0355,91,-0.1678,94,-0.1361,135,0.56787,47,-1.1783,71,-0.5470,81,-0.3540
ENSG00000174007,CEP19,22,0.25513,17,-0.0899,23,0.31851,12,-0.6493,18,-0.0340,25,0.62202,11,-0.8193,17,-0.1422,9,-1.1135
ENSG00000180370,PAK2,43,-0.7333,33,-1.1836,72,0.05718,108,0.69581,76,0.14606,79,0.24536,120,0.87149,63,-0.1542,43,-0.7357
ENSG00000119231,SENP5,34,-0.6700,56,0.09925,59,0.18873,65,0.34622,48,-0.1324,68,0.50275,29,-0.9101,44,-0.2815,39,-0.4496
ENSG00000114503,NCBP2,57,0.11217,55,0.06587,41,-0.4010,58,0.15431,40,-0.4478,44,-0.3506,86,0.76810,68,0.39323,57,0.10488
ENSG00000270170,NCBP2AS2,54,0.18978,79,0.88146,37,-0.4168,36,-0.4229,34,-0.5593,45,-0.1262,26,-0.9436,56,0.24895,55,0.21059
ENSG00000119227,PIGZ,20,0.70546,22,0.98423,21,0.79741,5,-1.3090,8,-0.6381,9,-0.6727,8,-0.6112,12,-0.1042,11,-0.1442
ENSG00000075711,DLG1,87,-0.4794,96,-0.3650,183,0.68029,199,0.81634,101,-0.2805,133,0.20851,76,-0.6890,77,-0.6657,136,0.20161
ENSG00000161267,BDH1,44,0.87015,50,1.20679,46,0.93629,14,-0.9035,13,-1.0387,14,-1.0530,14,-0.9473,24,-0.1332,24,-0.0954
ENSG00000145016,RUBCN,46,0.12526,48,0.22373,57,0.49079,41,-0.0249,32,-0.4368,32,-0.4780,46,0.13275,61,0.59202,38,-0.1451
ENSG00000122068,FYTTD1,45,-0.4404,72,0.32010,56,-0.1064,58,-0.0442,54,-0.1765,65,0.15501,64,0.10377,60,0.00246,49,-0.3262
ENSG00000186001,LRCH3,16,-0.5464,17,-0.4505,45,1.09448,44,1.03153,8,-1.6280,23,0.03866,44,1.04216,13,-0.8411,15,-0.6648
ENSG00000114473,IQCG,16,-0.0674,13,-0.3859,19,0.21220,24,0.60942,13,-0.3458,17,0.08469,34,1.15535,9,-0.9121,8,-1.0819
ENSG00000182899,RPL35A,270,-0.7699,491,0.16544,202,-1.2045,375,-0.2680,377,-0.2800,366,-0.3583,539,0.29729,1036,1.38314,540,0.30070
ENSG00000185621,LMLN,29,0.46094,20,-0.0973,47,1.25743,15,-0.5691,21,-0.0676,26,0.34153,14,-0.6053,8,-1.5194,8,-1.4763
ENSG00000131127,ZNF141,9,-0.0434,14,0.64942,16,0.86232,21,1.29744,4,-1.1552,6,-0.7294,12,0.42201,2,-1.8551,6,-0.6609
ENSG00000182903,ZNF721,29,-0.9551,59,0.14737,106,1.08619,84,0.71211,45,-0.2868,55,0.03301,27,-1.0313,47,-0.2210,35,-0.6551
ENSG00000174227,PIGG,12,-0.1237,18,0.51032,39,1.78514,9,-0.5785,5,-1.3555,7,-1.0189,18,0.44593,18,0.44414,8,-0.7184
ENSG00000273238,TMEM271,28,-0.6889,56,0.38258,56,0.33678,28,-0.7355,60,0.51315,30,-0.7166,54,0.28579,59,0.43274,36,-0.3189
ENSG00000169020,ATP5ME,665,0.35702,592,0.18758,425,-0.3434,389,-0.4789,541,0.03444,416,-0.4413,502,-0.0877,727,0.49824,676,0.38286
ENSG00000215375,MYL5,10,0.24499,9,0.13603,20,1.35133,3,-1.4303,9,0.09516,1,-2.4672,17,1.09462,4,-0.9310,15,0.85792
ENSG00000185619,PCGF3,20,-0.7292,47,0.60554,31,-0.1039,37,0.18257,27,-0.3171,31,-0.1456,17,-0.9533,37,0.15848,47,0.56906
ENSG00000168993,CPLX1,230,0.49082,198,0.27760,127,-0.4382,82,-1.0906,199,0.28551,141,-0.3232,116,-0.5811,166,-0.0280,254,0.65299
ENSG00000178950,GAK,53,0.15662,61,0.42018,54,0.20760,32,-0.6169,62,0.46660,40,-0.2924,35,-0.4861,35,-0.4795,43,-0.1490
ENSG00000127419,TMEM175,11,-0.9440,33,0.79193,30,0.55545,12,-0.8884,27,0.38786,9,-1.3475,38,0.92190,16,-0.3950,20,-0.0756
ENSG00000145214,DGKQ,23,0.91078,16,0.33579,24,0.94871,2,-2.2663,10,-0.4067,6,-1.3497,16,0.34519,12,-0.0732,22,0.80746
ENSG00000159692,CTBP1,111,-0.1814,144,0.25135,92,-0.4648,101,-0.3304,163,0.47098,108,-0.2694,101,-0.3229,137,0.14398,141,0.19693
ENSG00000090316,MAEA,72,0.66341,70,0.68954,50,0.07606,29,-0.7267,51,0.13653,34,-0.5958,36,-0.3984,34,-0.4794,49,0.05970
ENSG00000163950,SLBP,95,0.46572,98,0.59100,55,-0.3667,65,-0.1199,63,-0.1889,70,-0.0154,51,-0.5010,56,-0.3507,61,-0.2262
ENSG00000168936,TMEM129,10,-0.4244,16,0.27096,14,0.02923,7,-0.9484,15,0.12985,10,-0.5247,19,0.52179,26,1.05095,8,-0.6849
ENSG00000068078,FGFR3,21,-1.8990,18,-2.1961,18,-2.1208,79,0.11456,21,-1.9722,14,-2.6565,577,4.17461,126,0.86288,15,-2.3268
ENSG00000168924,LETM1,34,-0.0689,42,0.27430,32,-0.1633,30,-0.2657,42,0.29099,29,-0.3588,40,0.17807,38,0.10353,33,-0.0992
ENSG00000109685,NSD2,37,-1.2065,60,-0.5270,90,0.15139,112,0.49330,86,0.08085,101,0.39582,92,0.17911,66,-0.3250,75,-0.1350
ENSG00000185049,NELFA,1,-3.5239,20,0.80055,19,0.66464,9,-0.4458,14,0.16882,11,-0.2264,7,-0.7680,11,-0.1523,14,0.20715
ENSG00000243449,C4orf48,368,0.27000,414,0.50845,234,-0.4315,300,-0.0519,272,-0.2221,270,-0.2528,246,-0.3596,346,0.17517,353,0.20502
ENSG00000185818,NAT8L,338,1.07434,190,0.15703,140,-0.3378,96,-0.9071,131,-0.4731,119,-0.6728,257,0.62132,235,0.47792,194,0.17420
ENSG00000123933,MXD4,14,-1.2830,19,-0.8549,25,-0.4090,44,0.48545,22,-0.6293,19,-0.8910,83,1.54887,74,1.35747,40,0.34314
ENSG00000159733,ZFYVE28,17,-0.2723,29,0.65615,53,1.56914,15,-0.4320,14,-0.6216,15,-0.5192,2,-3.4542,23,0.19599,22,0.11654
ENSG00000063978,RNF4,39,0.12839,38,0.10675,38,0.10421,30,-0.2628,33,-0.1368,37,0.09763,32,-0.1487,41,0.23063,28,-0.3406
ENSG00000125386,FAM193A,32,-0.1238,19,-0.9950,37,0.07085,64,0.96592,18,-1.0388,47,0.56639,48,0.48392,33,-0.0921,27,-0.4079
ENSG00000087274,ADD1,184,-0.0487,227,0.31048,168,-0.1858,201,0.08967,162,-0.2653,184,-0.0579,194,0.03395,183,-0.0564,206,0.13468
ENSG00000109736,MFSD10,24,0.44878,23,0.38817,38,1.18465,14,-0.3900,25,0.56614,6,-1.8460,21,0.22305,15,-0.3108,11,-0.7924
ENSG00000087269,NOP14,28,-0.0646,10,-1.6696,16,-0.8795,50,0.84443,25,-0.2558,47,0.92938,37,0.34860,17,-0.8066,23,-0.3468
ENSG00000125388,GRK4,23,-0.0968,12,-1.1629,30,0.31519,35,0.55480,12,-1.0845,34,0.64683,28,0.19952,20,-0.3340,33,0.44205
ENSG00000197386,HTT,49,-0.2027,83,0.67912,51,-0.1664,66,0.24405,38,-0.6522,52,-0.1488,58,0.05052,54,-0.0633,57,0.02356
ENSG00000159788,RGS12,1,-5.4306,34,-0.6998,46,-0.2018,88,0.82421,39,-0.4883,29,-1.0168,122,1.36391,180,2.07873,14,-1.9979
ENSG00000163956,LRPAP1,101,-0.2308,192,0.88943,97,-0.2976,78,-0.6191,109,-0.1223,116,-0.0247,91,-0.3830,115,-0.0242,92,-0.3814
ENSG00000132406,TMEM128,11,-0.2668,22,0.82476,11,-0.3453,8,-0.8215,17,0.39460,13,-0.0847,12,-0.1566,12,-0.2043,6,-1.2164
ENSG00000145220,LYAR,9,-0.2772,6,-1.0634,6,-0.9263,34,1.81047,14,0.31666,8,-0.6088,17,0.62968,10,-0.1532,8,-0.5317
ENSG00000168824,NSG1,391,1.72975,219,0.82283,98,-0.5339,41,-1.8378,70,-1.1072,130,-0.1160,74,-0.9523,120,-0.2154,108,-0.3839
ENSG00000168818,STX18,12,-0.7636,20,0.05070,16,-0.2736,21,0.10979,23,0.29229,17,-0.2440,27,0.49892,23,0.22576,18,-0.1608
ENSG00000072832,CRMP1,174,0.17955,224,0.65515,148,-0.0665,71,-1.1774,164,0.09586,163,0.09715,108,-0.5593,107,-0.5660,140,-0.1585
ENSG00000181215,C4orf50,21,-0.1678,22,-0.1177,43,0.95432,21,-0.1579,38,0.80556,21,-0.1948,10,-1.3016,9,-1.3704,20,-0.2343
ENSG00000152969,JAKMIP1,69,0.30874,61,0.10799,61,0.11459,44,-0.3842,75,0.47217,49,-0.2622,34,-0.7663,52,-0.1345,60,0.08194
ENSG00000109501,WFS1,33,-0.3109,63,0.81829,20,-1.0639,45,0.19354,16,-1.4053,20,-1.1431,122,1.86960,61,0.67894,17,-1.2444
ENSG00000074211,PPP2R2C,160,-0.1716,194,0.13774,165,-0.1269,168,-0.0919,182,0.03406,172,-0.0716,104,-0.8227,210,0.25349,248,0.51830
ENSG00000013288,MAN2B2,86,1.18651,54,0.44654,59,0.55636,25,-0.7567,36,-0.2194,37,-0.2160,32,-0.3723,12,-1.7940,33,-0.3458
ENSG00000179010,MRFAP1,384,-0.1561,592,0.58553,333,-0.3767,274,-0.6737,451,0.10340,407,-0.0791,391,-0.1300,447,0.08092,385,-0.1522
ENSG00000170846,AC093323.1,24,-1.1141,67,0.53023,37,-0.4269,43,-0.2092,86,0.99726,43,-0.2581,26,-0.9525,40,-0.3185,38,-0.4208
ENSG00000178988,MRFAP1L1,100,-0.1626,121,0.14482,80,-0.5098,118,0.09475,123,0.17291,119,0.13796,94,-0.2624,119,0.10884,87,-0.3685
ENSG00000170871,KIAA0232,203,0.09644,157,-0.3279,210,0.14949,240,0.36080,148,-0.4174,300,0.91899,99,-0.9935,85,-1.2217,134,-0.5468
ENSG00000132405,TBC1D14,21,-0.7016,41,0.33225,21,-0.6696,31,-0.1069,25,-0.4760,34,0.04849,49,0.58463,37,0.14164,42,0.34490
ENSG00000173011,TADA2B,26,0.15133,24,0.03581,27,0.19252,39,0.81061,19,-0.3669,25,0.08665,20,-0.2597,15,-0.7240,20,-0.2509
ENSG00000109519,GRPEL1,55,0.39249,57,0.49502,40,-0.1004,44,0.02961,40,-0.1416,44,0.02568,31,-0.4819,33,-0.4258,32,-0.4699
ENSG00000184985,SORCS2,5,-1.6909,12,-0.3159,14,-0.1113,5,-1.5013,18,0.30925,8,-0.9607,64,2.52734,14,-0.0764,6,-1.3337
ENSG00000196526,AFAP1,8,-1.3164,27,0.47253,20,-0.0198,24,0.23417,11,-1.0359,24,0.31075,12,-0.7840,39,1.01526,15,-0.4371
ENSG00000163995,ABLIM2,32,-0.4862,85,1.21335,25,-0.8299,14,-1.6969,33,-0.4831,41,-0.1173,24,-0.8975,79,0.94850,36,-0.2772
ENSG00000251615,AC104825.1,15,0.63984,17,0.92423,14,0.48817,9,-0.1232,8,-0.3844,5,-1.0480,5,-1.0063,10,-0.0159,12,0.20964
ENSG00000288075,AC108519.1,5,-0.7473,4,-1.3340,35,2.28837,16,0.91844,4,-1.2943,5,-0.8155,16,0.84803,4,-1.2744,10,0.09368
ENSG00000071127,WDR1,39,-0.3330,56,0.24133,34,-0.5286,37,-0.4265,62,0.42532,31,-0.7716,94,1.06550,54,0.16575,43,-0.1838
ENSG00000178163,ZNF518B,5,-2.1647,20,-0.1238,26,0.33230,41,1.02689,13,-0.7936,30,0.68374,13,-0.7147,17,-0.3755,19,-0.1501
ENSG00000002587,HS3ST1,7,-0.8294,16,0.38507,14,0.13739,5,-1.3608,3,-2.0715,25,1.39387,4,-1.6203,15,0.19632,9,-0.6004
ENSG00000157869,RAB28,10,-0.8138,23,0.49661,23,0.42022,16,-0.1189,12,-0.6118,14,-0.4387,33,1.01359,14,-0.2854,19,0.12735
ENSG00000038219,BOD1L1,476,-0.1935,290,-1.0107,629,0.24240,846,0.72120,462,-0.2582,903,1.07095,297,-0.9084,270,-1.0537,274,-1.0329
ENSG00000137449,CPEB2,43,0.11470,41,0.02504,45,0.16830,63,0.70611,44,0.16336,28,-0.6434,29,-0.5158,22,-0.8915,67,0.80983
ENSG00000048342,CC2D2A,13,-0.2404,7,-1.1264,12,-0.2887,15,0.03147,6,-1.2711,19,0.49160,33,1.27575,30,1.10881,5,-1.5367
ENSG00000118564,FBXL5,51,-0.2363,96,0.86370,66,0.14954,53,-0.1877,48,-0.3596,52,-0.2515,59,-0.0008,58,-0.0433,43,-0.5055
ENSG00000237765,FAM200B,39,-1.0931,71,-0.2235,71,-0.1986,88,0.12863,60,-0.5010,96,0.31154,81,-0.0081,116,0.56427,111,0.49496
ENSG00000169762,TAPT1,34,-0.1611,48,0.37827,44,0.21822,31,-0.3126,31,-0.3593,43,0.23713,36,-0.1134,23,-0.7581,42,0.14546
ENSG00000169744,LDB2,267,1.15068,188,0.63305,126,-0.0624,78,-0.8004,104,-0.3881,144,0.17511,12,-3.5110,69,-0.9861,139,0.09489
ENSG00000151552,QDPR,386,0.39722,244,-0.3473,179,-0.7897,601,1.12665,392,0.46764,169,-1.0030,341,0.20070,157,-0.9911,458,0.67443
ENSG00000002549,LAP3,30,-0.0567,26,-0.3244,31,-0.0309,67,1.21956,20,-0.7228,22,-0.6719,57,0.94353,42,0.43629,26,-0.2868
ENSG00000118579,MED28,33,-0.1808,40,0.10918,35,-0.1070,51,0.48663,41,0.13623,34,-0.2020,47,0.35942,29,-0.4152,30,-0.3245
ENSG00000163257,DCAF16,18,-0.5850,24,-0.1947,29,0.11610,45,0.83269,21,-0.4014,25,-0.1426,29,0.10412,28,0.05275,36,0.44301
ENSG00000178177,LCORL,12,-0.9433,22,-0.0616,27,0.31325,29,0.42707,6,-1.8931,34,0.83934,30,0.45218,22,-0.0097,12,-0.9708
ENSG00000145147,SLIT2,59,0.61005,70,1.00285,38,-0.0694,19,-1.0882,8,-2.4281,64,0.96383,9,-2.1037,18,-1.1830,27,-0.5867
ENSG00000163138,PACRGL,6,-1.9202,28,0.46540,24,0.17808,32,0.63436,19,-0.1547,19,-0.2349,21,-0.0395,19,-0.1905,25,0.25623
ENSG00000185774,KCNIP4,183,0.82316,197,1.07406,90,-0.2966,56,-1.0129,71,-0.6985,97,-0.2234,28,-2.0517,128,0.25179,109,-0.0119
ENSG00000286318,AC096576.6,4,-0.9780,3,-1.4984,78,5.43088,3,-1.1397,0,-6.9319,1,-2.4266,2,-1.6961,0,-7.7543,0,-7.8918
ENSG00000280650,KCNIP4-IT1,11,-1.8667,13,-1.6959,364,5.02368,34,-0.1738,2,-4.2797,16,-1.4032,1,-5.2573,2,-4.1461,3,-3.5191
ENSG00000152990,ADGRA3,0,-4.2126,5,-1.5547,4,-1.7330,17,0.22041,6,-1.4950,4,-2.0475,106,3.77275,30,1.11305,2,-2.9294
ENSG00000109819,PPARGC1A,48,0.72520,40,0.46828,22,-0.4483,23,-0.4291,18,-0.8156,40,0.57170,17,-0.8489,15,-1.0246,30,-0.0082
ENSG00000109606,DHX15,46,-0.0183,62,0.51071,54,0.23218,51,0.13521,43,-0.1456,48,0.07166,36,-0.4049,37,-0.3632,27,-0.8461
ENSG00000181982,CCDC149,18,-0.6646,23,-0.3310,26,-0.0856,39,0.53986,26,-0.1367,38,0.60954,12,-1.2485,21,-0.4163,34,0.32182
ENSG00000153012,LGI2,17,-0.3553,33,0.76875,12,-0.8666,9,-1.2817,3,-2.7326,45,1.57436,4,-2.3099,20,-0.0779,10,-1.1045
ENSG00000053900,ANAPC4,16,-0.2916,27,0.54207,51,1.53135,9,-1.1591,12,-0.7590,16,-0.3712,12,-0.8034,20,0.01654,23,0.21599
ENSG00000250317,SMIM20,25,0.12751,28,0.33432,15,-0.6822,20,-0.2302,23,-0.0018,14,-0.8527,37,0.71252,40,0.86469,20,-0.2299
ENSG00000168214,RBPJ,83,-0.5881,75,-0.7940,99,-0.3323,245,1.12620,115,-0.1047,140,0.25748,155,0.37770,84,-0.5845,123,0.01490
ENSG00000109689,STIM2,55,0.18317,34,-0.5889,69,0.52802,70,0.56527,39,-0.3705,63,0.47222,48,-0.0310,37,-0.4503,24,-1.0527
ENSG00000169851,PCDH7,286,0.01468,299,0.09074,389,0.50090,332,0.24780,351,0.37494,328,0.28189,109,-1.4403,134,-1.1368,148,-0.9904
