"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002768","BP","GO:0002768","immune response-regulating cell surface receptor signaling pathway","6/56","189/11800",0.000260330409943906,0.00313353589028069,0.0022849433813962,"TYROBP/LAPTM5/TREM2/CYBA/LILRB4/SYK",6
"GO:0071402","BP","GO:0071402","cellular response to lipoprotein particle stimulus","3/56","28/11800",0.000304913988338693,0.00364338831321489,0.00265672272590148,"TREM2/ITGB2/SYK",3
"GO:0031349","BP","GO:0031349","positive regulation of defense response","7/56","278/11800",0.00032268005489453,0.00382773369465468,0.00279114555492294,"C3/TYROBP/TREM2/HSPA8/CYBA/ALOX5AP/SYK",7
"GO:0002688","BP","GO:0002688","regulation of leukocyte chemotaxis","4/56","70/11800",0.000330547280401776,0.00389284818717775,0.00283862639890658,"CX3CR1/AIF1/CD74/CSF1R",4
"GO:0061756","BP","GO:0061756","leukocyte adhesion to vascular endothelial cell","3/56","29/11800",0.000338955014591953,0.00396335256347876,0.00289003749283665,"CX3CR1/SELPLG/ITGB2",3
"GO:0002521","BP","GO:0002521","leukocyte differentiation","8/56","372/11800",0.000342036939408786,0.00397102460859704,0.00289563187226251,"TYROBP/CD74/TF/TREM2/CSF1R/LILRB4/ITM2A/SYK",8
"GO:0016064","BP","GO:0016064","immunoglobulin mediated immune response","4/56","71/11800",0.000349052823465121,0.00399580050358323,0.00291369820985975,"C3/CD74/TREM2/C1QB",4
"GO:0019724","BP","GO:0019724","B cell mediated immunity","4/56","71/11800",0.000349052823465121,0.00399580050358323,0.00291369820985975,"C3/CD74/TREM2/C1QB",4
"GO:0002757","BP","GO:0002757","immune response-activating signaling pathway","7/56","285/11800",0.000375048728361058,0.00415170821035464,0.0030273845677537,"TYROBP/LAPTM5/TREM2/HSPA8/CYBA/LILRB4/SYK",7
"GO:0002534","BP","GO:0002534","cytokine production involved in inflammatory response","3/56","30/11800",0.000375352971980749,0.00415170821035464,0.0030273845677537,"PLD4/TREM2/LILRB4",3
"GO:0046456","BP","GO:0046456","icosanoid biosynthetic process","3/56","30/11800",0.000375352971980749,0.00415170821035464,0.0030273845677537,"CD74/ALOX5AP/SYK",3
"GO:0050766","BP","GO:0050766","positive regulation of phagocytosis","3/56","30/11800",0.000375352971980749,0.00415170821035464,0.0030273845677537,"C3/TREM2/CYBA",3
"GO:1900015","BP","GO:1900015","regulation of cytokine production involved in inflammatory response","3/56","30/11800",0.000375352971980749,0.00415170821035464,0.0030273845677537,"PLD4/TREM2/LILRB4",3
"GO:0043277","BP","GO:0043277","apoptotic cell clearance","3/56","31/11800",0.000414175177350745,0.00455036755250449,0.0033180830174196,"C3/TYROBP/TREM2",3
"GO:0002705","BP","GO:0002705","positive regulation of leukocyte mediated immunity","4/56","76/11800",0.000452874975773456,0.00494237556894098,0.00360393138615508,"C3/TYROBP/TREM2/ITGB2",4
"GO:0019722","BP","GO:0019722","calcium-mediated signaling","5/56","138/11800",0.000481463152381521,0.00521957073144735,0.00380605935727184,"CX3CR1/TREM2/P2RY12/SYK/RCAN2",5
"GO:0002764","BP","GO:0002764","immune response-regulating signaling pathway","7/56","298/11800",0.000490324932071734,0.00528067048553571,0.00385061269369353,"TYROBP/LAPTM5/TREM2/HSPA8/CYBA/LILRB4/SYK",7
"GO:0051249","BP","GO:0051249","regulation of lymphocyte activation","7/56","299/11800",0.000500248848118002,0.00535233571483117,0.00390287027014664,"TYROBP/AIF1/CD74/LAPTM5/LILRB4/LST1/SYK",7
"GO:1903037","BP","GO:1903037","regulation of leukocyte cell-cell adhesion","6/56","214/11800",0.00050568930857979,0.00537541167626699,0.00391969703301082,"AIF1/CD74/LAPTM5/ITGB2/LILRB4/SYK",6
"GO:0002761","BP","GO:0002761","regulation of myeloid leukocyte differentiation","4/56","80/11800",0.000550492534809901,0.00577664281720389,0.00421227081291786,"TYROBP/CD74/TREM2/LILRB4",4
"GO:0050864","BP","GO:0050864","regulation of B cell activation","4/56","80/11800",0.000550492534809901,0.00577664281720389,0.00421227081291786,"TYROBP/CD74/LAPTM5/SYK",4
"GO:0046394","BP","GO:0046394","carboxylic acid biosynthetic process","6/56","220/11800",0.000585214675616738,0.00610188805085733,0.00444943642071325,"ALDH1A1/CD74/ALOX5AP/PLP1/SYK/OSBPL1A",6
"GO:0016053","BP","GO:0016053","organic acid biosynthetic process","6/56","221/11800",0.000599364989578224,0.00618506919327462,0.00451009128712563,"ALDH1A1/CD74/ALOX5AP/PLP1/SYK/OSBPL1A",6
"GO:0002449","BP","GO:0002449","lymphocyte mediated immunity","5/56","145/11800",0.000603452299055336,0.00618506919327462,0.00451009128712563,"C3/CD74/TREM2/LILRB4/C1QB",5
"GO:0001906","BP","GO:0001906","cell killing","4/56","82/11800",0.000604527227198497,0.00618506919327462,0.00451009128712563,"CX3CR1/C3/TYROBP/SYK",4
"GO:0001934","BP","GO:0001934","positive regulation of protein phosphorylation","8/56","408/11800",0.000632051490812919,0.00642651112087421,0.00468614835293789,"CX3CR1/C3/CD74/TREM2/TMEM119/ENPP2/CSF1R/SYK",8
"GO:0061082","BP","GO:0061082","myeloid leukocyte cytokine production","3/56","36/11800",0.000646932442188345,0.00653721239421186,0.00476687062665096,"CD74/LAPTM5/SYK",3
"GO:0070665","BP","GO:0070665","positive regulation of leukocyte proliferation","4/56","84/11800",0.000662228096721176,0.00665072021062924,0.00484963940382185,"AIF1/CD74/CSF1R/SYK",4
"GO:0002763","BP","GO:0002763","positive regulation of myeloid leukocyte differentiation","3/56","37/11800",0.000701655176737034,0.00691933448384653,0.00504551027533162,"TYROBP/CD74/TREM2",3
"GO:0048260","BP","GO:0048260","positive regulation of receptor-mediated endocytosis","3/56","37/11800",0.000701655176737034,0.00691933448384653,0.00504551027533162,"C3/TF/SYK",3
"GO:0097178","BP","GO:0097178","ruffle assembly","3/56","37/11800",0.000701655176737034,0.00691933448384653,0.00504551027533162,"AIF1/P2RY12/PFN1",3
"GO:0001961","BP","GO:0001961","positive regulation of cytokine-mediated signaling pathway","3/56","40/11800",0.000883257039460699,0.0086580345724381,0.00631335318467338,"CD74/LAPTM5/TREM2",3
"GO:1903039","BP","GO:1903039","positive regulation of leukocyte cell-cell adhesion","5/56","158/11800",0.000889893038908959,0.00867116014698789,0.00632292422382681,"AIF1/CD74/ITGB2/LILRB4/SYK",5
"GO:0007186","BP","GO:0007186","G protein-coupled receptor signaling pathway","8/56","431/11800",0.000904382713513483,0.0087602041539738,0.00638785423310053,"CX3CR1/C3/SST/CORT/P2RY12/GPR34/P2RY13/RGS10",8
"GO:0002460","BP","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","5/56","159/11800",0.000915494823784582,0.00881567662667859,0.00642830421158957,"C3/CD74/TREM2/LILRB4/C1QB",5
"GO:0030593","BP","GO:0030593","neutrophil chemotaxis","3/56","41/11800",0.000949796003354386,0.00909249156427561,0.00663015492646275,"CD74/ITGB2/SYK",3
"GO:0002438","BP","GO:0002438","acute inflammatory response to antigenic stimulus","2/56","10/11800",0.000971471781301357,0.00919248153751631,0.0067030666260769,"A2M/C3",2
"GO:0070206","BP","GO:0070206","protein trimerization","2/56","10/11800",0.000971471781301357,0.00919248153751631,0.0067030666260769,"CD74/ALOX5AP",2
"GO:0002758","BP","GO:0002758","innate immune response-activating signaling pathway","5/56","162/11800",0.00099560325750274,0.0093666812214482,0.00683009131281372,"TYROBP/TREM2/HSPA8/CYBA/SYK",5
"GO:0072562","CC","GO:0072562","blood microparticle","6/58","53/12324",1.61244003285732e-07,2.78952125684317e-05,2.18952383409047e-05,"A2M/C3/TF/HSPA8/C1QB/PFN1",6
"GO:0009986","CC","GO:0009986","cell surface","12/58","483/12324",1.97477486302997e-06,0.000170818025652092,0.000134076819647824,"CX3CR1/C3/TYROBP/CD74/TF/ABCG2/TREM2/P2RY12/ITGB2/CSF1R/LILRB4/ITGAX",12
"GO:0043235","CC","GO:0043235","receptor complex","8/58","251/12324",2.10535848218079e-05,0.00121409005805759,0.000952951734039724,"CD74/TF/ITGB2/CSF1R/ITGAX/PLP1/SYK/OLR1",8
"GO:0070821","CC","GO:0070821","tertiary granule membrane","4/58","48/12324",7.36462500345866e-05,0.00244021727584165,0.00191535155815986,"CYBA/ITGB2/ITGAX/OLR1",4
"GO:0098797","CC","GO:0098797","plasma membrane protein complex","9/58","392/12324",8.13938244972014e-05,0.00244021727584165,0.00191535155815986,"CD74/TF/GJB1/CYBA/ITGB2/ITGAX/PLP1/SYK/KCNK1",9
"GO:0098552","CC","GO:0098552","side of membrane","9/58","394/12324",8.46318130349705e-05,0.00244021727584165,0.00191535155815986,"CX3CR1/RPS26/CD74/ABCG2/HSPA8/ITGB2/LILRB4/ITGAX/SYK",9
"GO:0008305","CC","GO:0008305","integrin complex","3/58","20/12324",0.000106541505079261,0.00263309719695887,0.00206674498574806,"ITGB2/ITGAX/PLP1",3
"GO:0098802","CC","GO:0098802","plasma membrane signaling receptor complex","5/58","120/12324",0.000244293772531947,0.00528285283100335,0.00414656534955542,"TF/ITGB2/ITGAX/PLP1/SYK",5
"GO:0004888","MF","GO:0004888","transmembrane signaling receptor activity","11/57","408/12097",2.55942673734433e-06,0.000644975537810772,0.000560379748808022,"CX3CR1/CD74/IGSF6/EVI2A/TREM2/P2RY12/ITGB2/GPR34/P2RY13/CSF1R/LILRB4",11
"GO:0001614","MF","GO:0001614","purinergic nucleotide receptor activity","3/57","10/12097",1.1627565471176e-05,0.00097671549957878,0.000848608287019157,"P2RY12/GPR34/P2RY13",3
"GO:0016502","MF","GO:0016502","nucleotide receptor activity","3/57","10/12097",1.1627565471176e-05,0.00097671549957878,0.000848608287019157,"P2RY12/GPR34/P2RY13",3
