Feature ID,Feature Name,Feature count topic 1to4,Feature log2 fold change topic 1to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000051382,PIK3CB,95,0.60422,47,-0.7177,66,-0.2194,29,-1.4402,88,0.27741,74,-0.0061
ENSG00000175110,MRPS22,38,0.61049,10,-1.6482,41,0.73114,12,-1.2781,8,-1.9587,17,-0.7863
ENSG00000184432,COPB2,53,0.55861,53,0.35791,32,-0.4987,32,-0.4326,28,-0.6101,41,-0.0300
ENSG00000114115,RBP1,20,-1.0224,12,-1.4706,75,2.09775,34,0.06646,7,-2.2166,5,-2.8543
ENSG00000163864,NMNAT3,13,-1.1926,11,-1.1794,7,-2.0433,19,-0.2746,61,1.61163,94,2.51621
ENSG00000158258,CLSTN2,245,1.84640,71,-0.9528,53,-1.5927,9,-3.8887,102,-0.4027,132,-0.0050
ENSG00000114120,SLC25A36,161,0.55443,92,-0.5218,74,-1.0037,96,-0.4503,115,-0.1672,241,1.04541
ENSG00000155893,PXYLP1,27,0.51796,37,0.88130,17,-0.4005,7,-1.5841,18,-0.2655,15,-0.5456
ENSG00000177311,ZBTB38,108,0.27352,41,-1.3052,75,-0.4614,145,0.67263,87,-0.1527,125,0.42694
ENSG00000155903,RASA2,41,1.09990,11,-1.3380,13,-1.2180,15,-0.8453,14,-0.9462,51,1.03989
ENSG00000114125,RNF7,57,-0.0328,28,-1.0843,94,1.07494,28,-1.0870,25,-1.2711,45,-0.3989
ENSG00000069849,ATP1B3,104,0.80672,50,-0.6398,74,-0.0435,33,-1.2475,28,-1.5189,82,0.13405
ENSG00000114126,TFDP2,31,-1.1411,78,0.57493,49,-0.1940,43,-0.3639,95,0.90374,113,1.21107
ENSG00000175066,GK5,18,-0.4854,34,0.63340,16,-0.6876,20,-0.2301,28,0.27957,52,1.32376
ENSG00000114127,XRN1,30,-0.7626,34,-0.3499,25,-0.9707,51,0.28248,93,1.29189,99,1.40663
ENSG00000175054,ATR,26,0.06601,27,0.09293,12,-1.2460,29,0.22748,16,-0.7186,65,1.58461
ENSG00000144935,TRPC1,38,0.38248,24,-0.4863,18,-1.0565,22,-0.6355,28,-0.2142,77,1.44400
ENSG00000163714,U2SURP,197,-0.4189,117,-1.1012,86,-1.7724,503,1.23851,566,1.45246,399,0.83447
ENSG00000175040,CHST2,44,1.17114,12,-1.2476,33,0.33397,13,-1.1769,0,-5.9738,10,-1.5983
ENSG00000181744,DIPK2A,25,0.05508,21,-0.2128,22,-0.1894,34,0.55674,4,-2.6296,42,0.89110
ENSG00000152952,PLOD2,23,-0.1928,72,1.79826,14,-0.9907,25,-0.0192,1,-4.7933,44,0.89163
ENSG00000114698,PLSCR4,13,-2.2445,170,2.43316,46,0.08374,39,-0.1906,20,-1.2019,65,0.64338
ENSG00000152977,ZIC1,8,-1.0670,23,0.84628,13,-0.0872,30,1.31930,8,-0.7043,17,0.37619
ENSG00000239922,AC092958.1,4,-1.2952,3,-1.5936,4,-1.0651,49,3.36089,8,-0.0483,3,-1.5894
ENSG00000163754,GYG1,55,0.30524,70,0.60017,61,0.48926,23,-1.1475,9,-2.5205,26,-0.9466
ENSG00000071794,HLTF,67,0.27380,66,0.17897,45,-0.5129,69,0.23700,11,-2.5263,104,0.92025
ENSG00000047457,CP,17,-1.2043,85,1.70225,29,-0.1189,44,0.53900,20,-0.6539,39,0.34182
ENSG00000018408,WWTR1,6,-2.3580,36,0.78094,21,-0.0878,38,0.86374,42,1.03335,41,1.01806
ENSG00000114744,COMMD2,29,0.44060,42,0.89414,17,-0.6107,42,0.88771,5,-2.3125,9,-1.5301
ENSG00000082996,RNF13,86,0.01284,74,-0.2284,60,-0.6482,236,1.74151,18,-2.3350,87,0.02859
ENSG00000070087,PFN2,513,0.71342,251,-0.6657,491,0.50276,137,-1.5770,97,-2.0964,232,-0.7888
ENSG00000196428,TSC22D2,75,0.74149,30,-0.9398,58,0.08657,37,-0.6437,4,-3.7512,67,0.29898
ENSG00000120742,SERP1,90,-0.3331,181,0.88852,152,0.79072,66,-0.7102,40,-1.4624,53,-1.0640
ENSG00000144895,EIF2A,76,0.63441,53,-0.1677,53,-0.1993,48,-0.3029,38,-0.6551,43,-0.4708
ENSG00000198843,SELENOT,155,0.50935,86,-0.5790,141,0.24505,123,-0.0258,41,-1.7034,85,-0.6022
ENSG00000181788,SIAH2,55,1.32682,9,-1.9639,27,-0.4285,14,-1.3028,27,-0.3563,21,-0.7362
ENSG00000144893,MED12L,38,0.15545,36,0.01277,27,-0.5036,11,-1.7681,38,0.09468,73,1.18524
ENSG00000152601,MBNL1,114,0.43188,77,-0.3404,78,-0.3849,66,-0.5741,102,0.11344,113,0.27350
ENSG00000169860,P2RY1,7,-1.9179,103,3.09890,16,-0.4512,16,-0.3012,0,-7.4683,26,0.39691
ENSG00000181467,RAP2B,20,0.21605,10,-0.8848,24,0.61590,10,-0.8149,5,-1.7324,20,0.17944
ENSG00000243069,ARHGEF26-AS1,7,-1.7039,40,1.30404,27,0.82937,18,-0.0554,2,-2.8172,31,0.83173
ENSG00000114790,ARHGEF26,15,-1.7189,177,2.80586,31,-0.4082,38,-0.0510,9,-2.1163,47,0.30107
ENSG00000174953,DHX36,203,0.54859,106,-0.6638,100,-0.8885,182,0.18609,189,0.24222,195,0.29077
ENSG00000114805,PLCH1,45,2.30783,7,-1.6188,13,-0.9903,2,-3.2959,9,-1.3461,5,-2.0935
ENSG00000169359,SLC33A1,28,0.02520,35,0.35097,18,-0.8543,22,-0.3696,17,-0.7546,69,1.49275
ENSG00000163655,GMPS,72,1.04370,30,-0.7430,42,-0.2338,41,-0.2608,17,-1.5511,27,-0.8977
ENSG00000169282,KCNAB1,90,1.82582,11,-2.1885,44,-0.2157,10,-2.2761,4,-3.5638,19,-1.4077
ENSG00000114850,SSR3,85,0.01866,135,0.75136,91,0.13230,95,0.18820,27,-1.7094,61,-0.5000
ENSG00000163659,TIPARP,15,-0.4723,24,0.38140,14,-0.5741,38,1.15075,15,-0.3364,29,0.66379
ENSG00000163660,CCNL1,30,-1.5773,74,0.11591,18,-2.2779,167,1.49342,159,1.40940,182,1.66035
ENSG00000174891,RSRC1,129,0.21446,94,-0.3449,81,-0.6873,167,0.56552,146,0.34144,127,0.12081
ENSG00000178053,MLF1,22,-0.0129,42,1.08118,19,-0.2661,14,-0.7034,9,-1.3391,31,0.58225
ENSG00000168827,GFM1,42,0.37404,29,-0.3374,39,0.17182,32,-0.1788,17,-1.1198,31,-0.2202
ENSG00000118855,MFSD1,9,-0.8418,16,0.25411,24,1.33084,18,0.48744,1,-3.1989,5,-1.5712
ENSG00000180044,C3orf80,74,1.21509,2,-4.1668,57,0.37434,0,-6.8202,1,-4.7861,48,0.03071
ENSG00000068885,IFT80,55,0.34747,13,-1.8798,34,-0.6308,64,0.48063,34,-0.5139,89,1.03141
ENSG00000113810,SMC4,23,-0.3032,18,-0.6285,11,-1.4637,70,1.62166,52,1.10000,27,0.00518
ENSG00000213186,TRIM59,4,-2.7524,5,-1.8802,4,-2.5045,120,3.75184,34,0.97104,19,0.07911
ENSG00000186432,KPNA4,119,0.37768,107,0.07521,101,-0.0090,56,-0.9095,89,-0.2129,86,-0.2583
ENSG00000163590,PPM1L,147,0.93111,77,-0.4507,85,-0.3549,31,-1.8069,62,-0.7813,114,0.16630
ENSG00000169255,B3GALNT1,63,0.97609,26,-0.7828,42,-0.0548,14,-1.7301,26,-0.7840,32,-0.4899
ENSG00000169251,NMD3,30,-0.1438,52,0.81061,31,-0.0155,20,-0.7218,16,-1.0549,48,0.65702
ENSG00000196542,SPTSSB,42,1.96567,1,-4.6144,21,-0.0573,1,-3.6779,4,-2.4378,3,-2.7594
ENSG00000244128,LINC01322,29,-0.2230,33,0.05381,46,0.79268,11,-1.5930,46,0.60515,6,-2.3389
ENSG00000114209,PDCD10,45,0.42219,28,-0.4906,38,0.02996,47,0.34317,7,-2.5575,39,0.04918
ENSG00000163536,SERPINI1,826,1.45612,123,-2.0924,527,0.14188,124,-2.0885,93,-2.5038,181,-1.5258
ENSG00000173905,GOLIM4,70,-1.5927,450,1.78047,119,-0.5515,321,1.15912,190,0.28218,159,-0.0103
ENSG00000085274,MYNN,15,0.49540,7,-0.8129,11,-0.2181,17,0.54023,2,-2.4145,15,0.31788
ENSG00000008952,SEC62,671,-0.2793,751,-0.0239,678,-0.2283,1234,0.78677,1008,0.45064,675,-0.1920
ENSG00000173889,PHC3,33,0.07640,59,0.99477,16,-1.1972,34,0.08156,26,-0.3298,53,0.79565
ENSG00000163558,PRKCI,54,0.88954,25,-0.6666,28,-0.5742,21,-0.9371,13,-1.6468,61,0.75893
ENSG00000136603,SKIL,69,0.23770,48,-0.4078,42,-0.7211,44,-0.5398,84,0.48257,106,0.87619
ENSG00000013297,CLDN11,39,-1.9528,49,-1.2546,14,-3.4030,855,4.51955,73,-0.6582,50,-1.2277
ENSG00000013293,SLC7A14,88,0.92302,28,-1.1987,51,-0.3452,23,-1.4759,48,-0.3851,71,0.22241
ENSG00000163584,RPL22L1,20,-0.2719,21,-0.1110,46,1.69187,11,-1.0790,0,-7.6557,0,-7.6027
ENSG00000163577,EIF5A2,52,1.52866,25,-0.2577,24,-0.3882,9,-1.7091,4,-2.8483,11,-1.4939
ENSG00000154310,TNIK,104,-0.7526,325,1.29632,114,-0.5090,99,-0.6318,164,0.14372,298,1.14321
ENSG00000144959,NCEH1,142,1.39923,32,-1.4800,73,-0.2931,4,-4.5493,29,-1.6173,89,0.05481
ENSG00000169760,NLGN1,49,0.87371,15,-1.2607,23,-0.7665,30,-0.2353,32,-0.1411,41,0.25156
ENSG00000177565,TBL1XR1,170,0.63617,84,-0.6823,105,-0.4195,86,-0.6633,115,-0.2045,163,0.34574
ENSG00000172667,ZMAT3,212,0.64175,141,-0.2310,173,0.12100,62,-1.4857,69,-1.3181,157,-0.0615
ENSG00000121879,PIK3CA,72,0.82409,23,-1.2217,48,-0.1223,36,-0.5508,29,-0.9030,48,-0.1046
ENSG00000121864,ZNF639,35,0.49467,17,-0.8167,31,0.19012,25,-0.1755,2,-3.5905,35,0.32090
ENSG00000171109,MFN1,27,0.17740,27,0.15043,19,-0.4863,27,0.13158,6,-2.0249,48,1.07169
ENSG00000114450,GNB4,48,0.59522,46,0.33396,20,-1.1325,20,-0.9405,25,-0.6191,70,1.01425
ENSG00000136522,MRPL47,51,0.58262,30,-0.4527,52,0.52439,30,-0.4553,1,-5.1092,22,-0.9404
ENSG00000136521,NDUFB5,165,0.64002,69,-0.9392,182,0.75986,57,-1.2204,28,-2.2698,41,-1.7151
ENSG00000058056,USP13,22,0.20272,10,-1.0618,14,-0.7230,40,1.08603,18,-0.1696,26,0.38729
ENSG00000114757,PEX5L,327,0.80843,123,-1.0089,169,-0.6393,225,-0.0841,154,-0.6758,296,0.35407
ENSG00000163728,TTC14,73,-0.9653,34,-1.8700,37,-1.9986,193,0.80986,197,0.83813,468,2.49412
ENSG00000114416,FXR1,155,0.50212,113,-0.1659,88,-0.6687,210,0.83661,78,-0.7399,100,-0.3668
ENSG00000205981,DNAJC19,74,0.43510,50,-0.3395,88,0.76092,30,-1.1229,20,-1.7066,19,-1.7575
ENSG00000242808,SOX2-OT,113,-1.7227,208,-0.4630,119,-1.5189,1714,3.64080,198,-0.5428,153,-0.9317
ENSG00000181449,SOX2,75,-1.8397,588,1.86436,138,-0.6965,362,0.97597,337,0.85460,198,-0.0158
ENSG00000058063,ATP11B,20,0.61107,3,-2.4842,12,-0.4218,15,0.00189,8,-0.9169,27,0.89037
ENSG00000043093,DCUN1D1,53,-0.0771,67,0.33951,53,-0.0513,71,0.42855,20,-1.5311,71,0.42727
ENSG00000078070,MCCC1,28,0.41778,21,-0.1848,25,0.14997,23,0.01701,8,-1.6040,17,-0.4393
ENSG00000053524,MCF2L2,10,-1.3765,28,0.40479,25,0.31574,22,0.01716,29,0.47567,40,1.03953
ENSG00000114796,KLHL24,54,-0.2212,59,-0.0030,36,-0.9138,100,0.84421,99,0.82760,73,0.32610
ENSG00000163872,YEATS2,58,0.44875,34,-0.5417,30,-0.8344,43,-0.1708,35,-0.5035,93,1.09798
ENSG00000180834,MAP6D1,32,-0.9382,29,-0.8924,36,-0.6463,177,2.17056,54,0.08070,68,0.44483
ENSG00000175193,PARL,50,0.33604,40,-0.1326,57,0.56199,26,-0.7926,29,-0.6548,12,-1.8649
ENSG00000114770,ABCC5,71,0.29665,44,-0.5298,36,-0.9793,38,-0.7697,60,-0.0759,153,1.50389
ENSG00000145191,EIF2B5,43,0.57717,28,-0.3007,35,0.04892,26,-0.3905,25,-0.4778,17,-1.0088
ENSG00000161202,DVL3,43,0.41652,19,-0.9785,35,-0.0234,40,0.18384,25,-0.5715,33,-0.1165
ENSG00000161203,AP2M1,664,0.95320,284,-0.7491,514,0.22744,116,-2.0919,217,-1.1532,240,-1.0020
ENSG00000161204,ABCF3,41,0.85790,16,-0.8618,27,-0.1204,15,-0.9550,12,-1.3365,31,0.07773
ENSG00000145198,VWA5B2,17,0.06981,11,-0.6227,17,0.04846,5,-1.8339,15,-0.1130,31,1.06228
ENSG00000163888,CAMK2N2,68,0.52578,30,-0.9084,81,0.83027,7,-2.9187,29,-0.9991,22,-1.3668
ENSG00000175166,PSMD2,165,0.44831,84,-0.7661,160,0.31147,75,-0.9277,49,-1.5563,160,0.24517
ENSG00000114867,EIF4G1,121,0.30796,90,-0.2464,73,-0.6866,97,-0.1404,129,0.32226,145,0.51030
ENSG00000175182,FAM131A,165,0.85528,67,-0.8679,115,-0.0515,13,-3.2934,51,-1.2916,162,0.51064
ENSG00000163882,POLR2H,46,0.49172,33,-0.1910,41,0.20132,19,-1.0089,23,-0.7144,28,-0.4572
ENSG00000090539,CHRD,36,0.97528,20,-0.3577,22,-0.2554,5,-2.2218,11,-1.2858,27,0.13768
ENSG00000177383,MAGEF1,58,0.65846,51,0.22092,52,0.32252,30,-0.6023,0,-6.5493,19,-1.2898
ENSG00000156931,VPS8,42,0.76441,8,-2.0229,26,-0.3350,24,-0.3806,5,-2.5274,57,0.99196
ENSG00000187068,C3orf70,26,-0.7189,102,1.71542,39,0.07053,36,-0.0673,16,-1.2816,35,-0.0891
ENSG00000073803,MAP3K13,128,0.44086,111,0.06411,106,-0.0016,102,-0.0692,63,-0.8150,65,-0.7748
ENSG00000163900,TMEM41A,23,0.48976,3,-2.7376,15,-0.3519,27,0.60588,25,0.45966,12,-0.6487
ENSG00000163904,SENP2,65,0.28105,67,0.23632,57,-0.0290,57,-0.0186,40,-0.5827,40,-0.5574
ENSG00000136527,TRA2B,90,-0.0949,109,0.24072,86,-0.1699,112,0.29115,104,0.16035,89,-0.0834
ENSG00000244405,ETV5,62,0.52825,26,-0.9660,43,-0.2668,14,-1.8811,54,0.12876,75,0.66561
ENSG00000058866,DGKG,34,-0.6654,91,1.09527,28,-0.9519,28,-0.7891,58,0.33209,120,1.58041
ENSG00000090520,DNAJB11,23,-0.2050,30,0.22919,23,-0.1782,21,-0.3326,40,0.70936,28,0.16212
ENSG00000156976,EIF4A2,987,0.95626,357,-1.0022,786,0.28852,159,-2.2023,265,-1.4479,419,-0.7558
ENSG00000073849,ST6GAL1,28,0.35541,17,-0.5630,30,0.42321,11,-1.1061,28,0.22613,8,-1.6645
ENSG00000157005,SST,73,0.77067,15,-1.9379,92,1.21860,0,-8.9587,8,-2.8140,0,-7.1862
ENSG00000113916,BCL6,52,-0.2304,104,0.97415,33,-1.0104,54,-0.0903,52,-0.1458,116,1.15928
ENSG00000145012,LPP,37,-0.5343,84,0.92244,41,-0.2755,65,0.51415,42,-0.1855,60,0.38388
ENSG00000152492,CCDC50,46,-0.0421,67,0.58308,38,-0.4047,69,0.62944,40,-0.2549,41,-0.1862
ENSG00000114279,FGF12,426,1.26096,62,-2.2050,294,0.18571,44,-2.6911,122,-1.2090,133,-1.0818
ENSG00000127249,ATP13A4,12,-2.0644,158,2.71386,31,-0.2929,28,-0.3595,8,-2.2715,62,0.89384
ENSG00000198836,OPA1,188,0.90654,96,-0.5013,128,-0.0685,57,-1.2878,38,-1.8971,128,-0.0525
ENSG00000114315,HES1,13,-1.8705,166,2.79245,30,-0.3369,25,-0.5552,29,-0.3278,36,-0.0310
ENSG00000133657,ATP13A3,35,-0.0007,39,0.19615,25,-0.6181,27,-0.3656,24,-0.5375,77,1.32981
ENSG00000041802,LSG1,34,0.79863,24,-0.0199,15,-0.9116,22,-0.1989,30,0.30890,15,-0.7762
ENSG00000114331,ACAP2,44,-0.6330,110,0.99766,35,-0.9924,85,0.56572,45,-0.4516,138,1.39868
ENSG00000184203,PPP1R2,116,1.09359,31,-1.3982,75,-0.0527,35,-1.2154,34,-1.2541,56,-0.4788
ENSG00000189058,APOD,182,-1.0592,167,-0.9469,189,-0.8992,1538,3.05678,175,-0.8708,210,-0.5961
ENSG00000061938,TNK2,66,-0.0577,69,0.03194,79,0.30547,42,-0.7455,79,0.24956,55,-0.3319
ENSG00000072274,TFRC,44,0.71793,37,0.22262,24,-0.5428,16,-1.1057,15,-1.1588,43,0.43394
ENSG00000161217,PCYT1A,33,-0.3360,19,-1.0908,35,-0.1643,58,0.64743,72,1.02291,37,-0.0426
ENSG00000213123,TCTEX1D2,40,0.33047,26,-0.4146,51,0.83731,9,-2.0151,18,-1.0200,15,-1.2717
ENSG00000163960,UBXN7,55,-0.0155,30,-0.9400,30,-1.1062,118,1.27459,60,0.13757,89,0.78596
ENSG00000163961,RNF168,70,-0.0562,48,-0.6166,54,-0.5079,83,0.24116,153,1.26898,59,-0.2914
ENSG00000174013,FBXO45,67,0.66303,16,-1.7144,41,-0.4283,53,0.06523,59,0.23420,44,-0.2510
ENSG00000163964,PIGX,121,0.69813,80,-0.2178,71,-0.4831,68,-0.4558,42,-1.1935,119,0.42504
ENSG00000174007,CEP19,27,0.97190,5,-1.9197,16,-0.3109,7,-1.3619,23,0.30169,13,-0.4902
ENSG00000180370,PAK2,68,-0.1926,106,0.57174,49,-0.7671,189,1.57748,54,-0.5013,50,-0.6253
ENSG00000119231,SENP5,71,0.08943,42,-0.7388,50,-0.5815,58,-0.2549,103,0.65541,115,0.83736
ENSG00000114503,NCBP2,54,-0.0075,57,0.09025,71,0.56358,48,-0.1816,32,-0.7906,29,-0.9535
ENSG00000270170,NCBP2AS2,51,0.67033,15,-1.4714,55,0.72452,15,-1.4696,3,-3.7528,27,-0.5452
ENSG00000075711,DLG1,138,0.13850,62,-1.1305,68,-1.1662,245,1.04432,205,0.74375,161,0.34372
ENSG00000161267,BDH1,41,0.57210,31,-0.0878,44,0.60696,11,-1.5982,2,-3.9580,19,-0.8434
ENSG00000145016,RUBCN,51,0.22088,24,-1.0301,35,-0.5395,38,-0.3008,54,0.24991,86,1.00479
ENSG00000122068,FYTTD1,51,0.02557,59,0.24452,50,-0.0308,61,0.30026,23,-1.2081,60,0.25640
ENSG00000186001,LRCH3,27,-0.6916,40,0.11771,18,-1.2819,70,1.02290,85,1.37405,55,0.61031
ENSG00000182899,RPL35A,306,-0.9452,541,0.17048,893,1.41689,480,-0.0198,222,-1.2065,205,-1.3259
ENSG00000185621,LMLN,18,0.39219,21,0.45672,7,-1.3347,14,-0.1520,5,-1.5986,36,1.38260
ENSG00000182903,ZNF721,69,0.53850,23,-1.3513,33,-0.9604,64,0.21177,60,0.12219,89,0.76457
ENSG00000174227,PIGG,26,0.39700,13,-0.7875,16,-0.6265,18,-0.2832,1,-4.0082,59,1.64575
ENSG00000273238,TMEM271,44,0.04100,57,0.42977,63,0.79437,2,-4.5037,20,-1.1439,33,-0.4256
ENSG00000169020,ATP5ME,451,-0.4661,600,0.10919,885,1.01296,604,0.11943,312,-0.9077,189,-1.6604
ENSG00000185619,PCGF3,49,0.65165,31,-0.3217,33,-0.2412,18,-1.1507,29,-0.4128,41,0.13704
ENSG00000249592,AC139887.2,7,-1.6202,1,-3.8998,2,-3.0899,25,0.54404,84,2.89849,47,1.65911
ENSG00000168993,CPLX1,245,1.19660,87,-0.9055,191,0.40276,3,-5.6423,46,-1.8651,38,-2.1445
ENSG00000178950,GAK,57,0.38705,33,-0.6021,48,0.01091,27,-0.8756,32,-0.6485,66,0.50979
ENSG00000127419,TMEM175,30,0.18508,37,0.42734,21,-0.5099,13,-1.1985,36,0.39469,37,0.46455
ENSG00000127418,FGFRL1,13,-1.0802,104,2.82546,17,-0.5333,18,-0.3617,4,-2.5843,19,-0.2403
ENSG00000159692,CTBP1,175,0.52886,171,0.31024,134,-0.0974,48,-1.6158,115,-0.3180,112,-0.3574
ENSG00000090316,MAEA,64,0.93449,31,-0.5738,43,-0.0477,23,-1.0162,3,-3.7150,46,0.05578
ENSG00000163950,SLBP,77,0.71154,29,-1.0345,61,0.11471,28,-1.1247,47,-0.3325,41,-0.5519
ENSG00000168936,TMEM129,16,-0.0708,35,1.21751,16,-0.1019,17,0.05912,8,-0.9916,10,-0.7048
ENSG00000068078,FGFR3,47,-1.8975,519,2.51413,111,-0.3008,78,-0.7886,44,-1.6258,262,1.17290
ENSG00000168924,LETM1,44,0.02879,67,0.72063,35,-0.4063,22,-1.0363,53,0.33447,53,0.32389
ENSG00000109685,NSD2,76,0.24580,70,0.03986,58,-0.3103,47,-0.5944,69,0.02048,88,0.39874
ENSG00000185049,NELFA,20,0.17500,16,-0.2107,15,-0.4135,15,-0.3145,17,-0.1502,32,0.83681
ENSG00000243449,C4orf48,262,-0.2615,261,-0.1922,392,0.59805,449,0.68336,176,-0.7975,135,-1.1948
ENSG00000185818,NAT8L,239,0.36890,278,0.49124,211,0.06043,33,-2.7500,111,-0.9379,240,0.25765
ENSG00000123933,MXD4,24,-1.0404,60,0.65278,45,0.26957,33,-0.2738,51,0.40804,62,0.72539
ENSG00000159733,ZFYVE28,25,0.36233,21,-0.0431,14,-0.7726,7,-1.6879,13,-0.7345,53,1.50643
ENSG00000063978,RNF4,69,0.66673,25,-1.1267,50,-0.0807,26,-1.0455,25,-1.0996,74,0.55376
ENSG00000125386,FAM193A,30,-0.3270,56,0.78779,15,-1.4956,56,0.76130,51,0.62696,55,0.74719
ENSG00000087266,SH3BP2,10,-1.3908,75,2.16774,20,-0.1648,10,-1.0826,0,-6.9464,52,1.44931
ENSG00000087274,ADD1,240,0.02125,337,0.56571,211,-0.2290,176,-0.4702,238,0.00195,270,0.20390
ENSG00000109736,MFSD10,28,-0.0404,35,0.31928,23,-0.3911,6,-2.3739,13,-1.1950,79,1.72738
ENSG00000087269,NOP14,29,0.01278,32,0.15049,14,-1.2269,38,0.44126,49,0.86497,39,0.48399
ENSG00000125388,GRK4,18,-0.9068,43,0.70293,29,0.09329,25,-0.1520,56,1.15181,23,-0.2752
ENSG00000197386,HTT,75,0.58558,65,0.16030,58,-0.0186,21,-1.5275,64,0.12366,23,-1.4257
ENSG00000159788,RGS12,39,-0.1716,16,-1.4662,56,0.57289,36,-0.2684,26,-0.7254,64,0.66348
ENSG00000163956,LRPAP1,126,0.48976,89,-0.2320,126,0.41448,51,-1.0802,22,-2.2997,89,-0.2404
ENSG00000132406,TMEM128,23,0.15477,9,-1.3244,31,0.74193,32,0.62191,3,-2.6567,9,-1.3247
ENSG00000145220,LYAR,7,-1.5841,19,0.19687,5,-1.8467,34,1.19172,47,1.79279,36,1.31646
ENSG00000168824,NSG1,146,1.43079,37,-1.3202,94,0.15184,4,-4.4827,21,-2.1213,32,-1.5022
ENSG00000168818,STX18,22,-0.1191,20,-0.2183,22,-0.1293,21,-0.1842,25,0.08635,37,0.74934
ENSG00000163132,MSX1,3,-2.7328,59,2.06984,16,-0.2005,15,-0.2501,13,-0.5214,47,1.63042
ENSG00000072832,CRMP1,199,0.68300,158,0.07007,159,0.10144,27,-2.5562,62,-1.3672,142,-0.0951
ENSG00000181215,C4orf50,32,0.90837,15,-0.5531,20,-0.1868,1,-4.5125,19,-0.2353,21,-0.0474
ENSG00000152969,JAKMIP1,68,0.89029,40,-0.2626,49,0.05086,4,-3.4679,26,-0.9137,36,-0.4198
ENSG00000109501,WFS1,40,-0.9072,205,2.06162,48,-0.5140,30,-1.1445,11,-2.5142,141,1.35331
ENSG00000074211,PPP2R2C,222,0.52303,144,-0.3360,208,0.30684,94,-0.9917,86,-1.1261,132,-0.4744
ENSG00000013288,MAN2B2,45,0.50609,27,-0.4681,42,0.24604,16,-1.2587,21,-0.8169,33,-0.1449
ENSG00000179010,MRFAP1,489,0.16308,356,-0.3860,600,0.58211,489,0.11411,208,-1.2027,200,-1.2668
ENSG00000170846,AC093323.1,39,0.16034,27,-0.4822,52,0.75360,29,-0.3465,15,-1.2961,17,-1.1167
ENSG00000178988,MRFAP1L1,147,0.68767,87,-0.3922,120,0.14530,108,-0.0415,49,-1.2634,34,-1.7835
ENSG00000186222,BLOC1S4,19,0.85051,4,-1.5877,11,-0.3261,13,-0.1158,4,-1.6537,17,0.37476
ENSG00000170871,KIAA0232,138,0.25972,107,-0.2225,78,-0.8581,192,0.71336,127,0.04287,149,0.29326
ENSG00000132405,TBC1D14,36,-0.0688,35,-0.0942,41,0.15242,29,-0.4125,34,-0.1734,48,0.39433
ENSG00000173011,TADA2B,29,0.78481,13,-0.7320,20,-0.1347,26,0.29674,9,-1.2046,9,-1.2063
ENSG00000109519,GRPEL1,52,0.64808,25,-0.7100,46,0.26168,29,-0.5161,18,-1.2417,24,-0.8118
ENSG00000184985,SORCS2,30,-0.1243,45,0.53017,25,-0.4669,58,0.97938,21,-0.6709,33,0.03057
ENSG00000196526,AFAP1,22,-0.0701,17,-0.4916,23,-0.0401,10,-1.2703,26,0.20107,44,1.04452
ENSG00000163995,ABLIM2,47,0.65689,8,-2.1534,53,0.81085,2,-4.2004,10,-1.8779,30,-0.2950
ENSG00000071127,WDR1,52,-0.1796,95,0.84267,49,-0.2784,48,-0.2648,53,-0.0924,71,0.36153
ENSG00000178163,ZNF518B,29,0.21416,17,-0.6458,23,-0.3248,22,-0.2963,35,0.40591,35,0.42813
ENSG00000157869,RAB28,37,0.33071,30,-0.1195,26,-0.4098,33,0.03735,21,-0.6654,44,0.51516
ENSG00000038219,BOD1L1,396,-0.3787,173,-1.5375,185,-1.6465,768,0.79521,1384,1.86028,728,0.70521
ENSG00000137449,CPEB2,53,0.38297,37,-0.3137,25,-1.0636,67,0.65778,19,-1.2993,85,1.04582
ENSG00000048342,CC2D2A,16,-0.6833,43,1.11201,27,0.41313,20,-0.1305,23,0.07124,11,-0.9877
ENSG00000118564,FBXL5,88,0.50663,53,-0.4494,66,-0.1497,97,0.50725,38,-0.9715,45,-0.6973
ENSG00000237765,FAM200B,84,0.11119,65,-0.3337,88,0.19760,113,0.55102,60,-0.4532,42,-0.9798
ENSG00000169762,TAPT1,51,0.31761,45,-0.0074,49,0.17435,54,0.28539,11,-2.0728,32,-0.5393
ENSG00000169744,LDB2,147,1.28653,17,-2.5253,85,-0.1434,3,-5.0637,33,-1.5660,113,0.32825
ENSG00000151552,QDPR,196,-0.2824,245,0.15274,229,0.05682,464,1.22159,176,-0.3697,95,-1.3103
ENSG00000002549,LAP3,26,-1.0414,82,0.99886,56,0.47074,39,-0.2235,34,-0.4125,62,0.52006
ENSG00000118579,MED28,45,-0.3587,77,0.61768,47,-0.2168,29,-0.9191,82,0.71528,72,0.49475
ENSG00000163257,DCAF16,21,-1.2378,34,-0.2322,24,-0.8684,68,0.89845,81,1.20189,92,1.42760
ENSG00000178177,LCORL,12,-0.6436,5,-1.7681,10,-0.9038,46,1.68756,37,1.32616,17,0.02935
