Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000135972,MRPS9,20,-0.4911,18,-0.7464,40,0.63194,37,0.54653,3,-3.1211,38,0.51764,44,0.76742
ENSG00000135966,TGFBRAP1,22,-0.0099,16,-0.5632,13,-0.7708,33,0.75753,36,0.80628,25,0.23898,8,-1.4555
ENSG00000135974,C2orf49,53,0.38831,34,-0.4308,41,-0.0212,32,-0.4557,52,0.34205,53,0.38805,54,0.40869
ENSG00000071051,NCK2,14,-1.5694,40,0.05070,68,0.91109,52,0.54031,15,-1.4131,32,-0.2973,37,-0.0979
ENSG00000115652,UXS1,31,0.06402,14,-1.3274,27,-0.1730,42,0.61602,30,-0.0052,30,-0.0146,56,1.02651
ENSG00000144057,ST6GAL2,9,-1.4041,24,0.17070,13,-0.8478,39,1.04455,18,-0.3413,21,-0.1334,14,-0.7172
ENSG00000135968,GCC2,507,-0.2715,371,-0.9165,515,-0.2472,554,-0.1461,470,-0.3912,1038,0.90683,1266,1.26091
ENSG00000153201,RANBP2,91,-0.5716,83,-0.8786,132,0.00562,153,0.27079,151,0.21789,141,0.10744,248,1.05906
ENSG00000175701,MTLN,12,-2.7748,88,0.31466,190,1.58348,86,0.23126,83,0.14037,15,-2.4573,23,-1.8104
ENSG00000153107,ANAPC1,21,-0.1133,24,0.06164,19,-0.3232,34,0.73366,11,-1.0998,13,-0.9098,27,0.26066
ENSG00000144161,ZC3H8,26,-1.2436,37,-0.8841,52,-0.2237,65,0.14538,122,1.20886,68,0.20055,87,0.61781
ENSG00000188177,ZC3H6,415,1.57566,109,-0.8112,128,-0.4133,63,-1.6015,216,0.41956,299,0.97347,155,-0.1105
ENSG00000114999,TTL,75,-0.3946,73,-0.5383,74,-0.4138,127,0.52027,113,0.25816,105,0.14249,122,0.38567
ENSG00000144136,SLC20A1,11,-1.8173,29,-0.5059,24,-0.6966,68,1.13697,28,-0.4837,30,-0.3820,64,0.84653
ENSG00000115091,ACTR3,58,-0.5891,90,0.14380,91,0.12308,110,0.50082,35,-1.3326,69,-0.3086,98,0.24061
ENSG00000175497,DPP10,57,-0.0411,52,-0.2316,56,-0.0635,98,1.00437,45,-0.4094,30,-1.0156,44,-0.4393
ENSG00000088205,DDX18,128,0.61326,59,-0.7553,94,0.10577,102,0.27182,104,0.27506,61,-0.5668,110,0.36654
ENSG00000125633,CCDC93,71,1.57201,14,-1.3075,25,-0.1873,25,-0.1947,31,0.13630,34,0.29374,31,0.11203
ENSG00000125629,INSIG2,13,-1.0308,15,-0.9549,40,0.71831,44,1.03955,11,-1.2935,20,-0.4061,40,0.69705
ENSG00000155368,DBI,321,0.91489,268,0.83696,155,-0.2781,69,-1.6290,277,0.66186,83,-1.2309,73,-1.4239
ENSG00000088179,PTPN4,28,-1.3518,49,-0.6363,58,-0.2626,97,0.64738,90,0.44238,102,0.64326,67,-0.0497
ENSG00000144118,RALB,38,-1.5091,130,0.53686,137,0.48273,72,-0.6026,78,-0.4139,96,-0.1031,135,0.45975
ENSG00000074054,CLASP1,33,-1.1472,63,-0.2223,64,-0.1352,104,0.75284,67,-0.0639,42,-0.7831,97,0.53358
ENSG00000155438,NIFK,20,-0.2962,21,-0.2957,24,-0.0144,33,0.53668,21,-0.2089,12,-1.0546,38,0.71806
ENSG00000211460,TSN,30,-0.8851,45,-0.3501,50,-0.0952,84,0.86522,82,0.70453,23,-1.2513,46,-0.2285
ENSG00000136717,BIN1,129,0.41476,96,-0.0953,122,0.31221,127,0.44677,36,-1.5784,59,-0.8181,114,0.21384
ENSG00000163161,ERCC3,5,-2.0562,26,0.31417,29,0.40041,33,0.72159,22,-0.0178,9,-1.3242,14,-0.6723
ENSG00000169967,MAP3K2,55,0.08663,27,-1.1720,31,-0.7919,54,0.07898,104,1.16324,74,0.57593,64,0.35068
ENSG00000163166,IWS1,406,2.77321,41,-1.4949,67,-0.5209,56,-0.8650,68,-0.5098,87,-0.1115,73,-0.3906
ENSG00000136709,WDR33,43,-0.0140,31,-0.6684,55,0.36835,58,0.53643,29,-0.6072,31,-0.5453,69,0.75841
ENSG00000144231,POLR2D,27,-0.2018,25,-0.3825,33,0.10149,33,0.11506,43,0.52361,35,0.20461,29,-0.1043
ENSG00000136731,UGGT1,43,0.25696,26,-0.6350,24,-0.6487,36,-0.0262,34,-0.1046,38,0.05545,76,1.22388
ENSG00000136720,HS6ST1,27,-1.8707,104,0.25635,111,0.29286,86,-0.1385,107,0.24142,71,-0.4120,124,0.47615
ENSG00000136699,SMPD4,8,-1.6139,26,0.31296,38,0.83463,34,0.73516,9,-1.3656,13,-0.7938,13,-0.8854
ENSG00000152082,MZT2B,192,-1.0222,454,0.44322,829,1.37650,330,-0.2010,259,-0.5591,215,-0.8491,182,-1.1021
ENSG00000136710,CCDC115,8,-2.3754,40,0.01637,97,1.54882,59,0.78048,17,-1.2739,18,-1.1712,15,-1.4170
ENSG00000136718,IMP4,15,-2.0317,73,0.50916,98,0.88440,52,-0.1702,59,0.04570,53,-0.1234,27,-1.1639
ENSG00000136002,ARHGEF4,50,-1.2401,132,0.33723,150,0.46011,137,0.35483,137,0.31954,60,-0.9813,61,-0.9629
ENSG00000152102,FAM168B,66,-1.0186,146,0.30140,149,0.26472,181,0.67949,77,-0.7727,58,-1.2103,116,-0.1360
ENSG00000115762,PLEKHB2,44,-2.4410,203,-0.1574,304,0.53148,365,0.99338,171,-0.3950,135,-0.7580,202,-0.1313
ENSG00000173272,MZT2A,51,-1.8132,207,0.45698,263,0.74057,195,0.27159,152,-0.1541,139,-0.3032,62,-1.5255
ENSG00000176771,NCKAP5,298,4.64303,17,-1.5167,4,-3.4132,3,-4.0507,4,-3.1837,18,-1.2056,20,-1.0380
ENSG00000152127,MGAT5,39,-0.2588,43,-0.1631,19,-1.3283,59,0.42956,32,-0.5759,67,0.59913,61,0.43412
ENSG00000082258,CCNT2,52,0.52326,32,-0.3215,32,-0.2852,51,0.57198,10,-1.9304,26,-0.5719,59,0.71836
ENSG00000115839,RAB3GAP1,57,-0.9138,68,-0.7873,78,-0.4228,157,0.80955,74,-0.5098,128,0.35994,172,0.85132
ENSG00000048991,R3HDM1,104,-1.1774,151,-0.7332,226,0.02848,197,-0.2056,94,-1.3301,401,0.98743,545,1.54940
ENSG00000144224,UBXN4,388,1.13443,146,-0.5834,124,-0.7219,147,-0.5149,232,0.25816,285,0.60111,213,0.12318
ENSG00000115866,DARS,81,0.28365,63,-0.1516,45,-0.6504,57,-0.2952,119,0.93673,63,-0.1147,67,-0.0217
ENSG00000168702,LRP1B,55,0.07844,19,-1.8221,37,-0.5519,70,0.53608,90,0.87716,71,0.47472,78,0.63482
ENSG00000121964,GTDC1,117,-0.1588,126,-0.0534,114,-0.1946,107,-0.3316,90,-0.5593,193,0.66514,185,0.58747
ENSG00000169554,ZEB2,1708,2.79566,153,-1.6916,169,-1.3021,164,-1.4527,337,-0.2408,547,0.54470,373,-0.0796
ENSG00000115947,ORC4,28,-0.8870,35,-0.6627,76,0.70372,89,1.13953,22,-1.2289,38,-0.4374,50,0.01286
ENSG00000204406,MBD5,43,0.28584,25,-0.6638,27,-0.4405,38,0.13013,24,-0.6488,44,0.31561,68,1.07455
ENSG00000135999,EPC2,58,0.41727,37,-0.3656,42,-0.1134,53,0.29600,37,-0.2945,34,-0.4601,61,0.49518
ENSG00000168280,KIF5C,1194,0.47898,757,-0.3230,729,-0.3176,732,-0.3440,709,-0.3597,1246,0.55064,1288,0.60614
ENSG00000168288,MMADHC,0,-5.2368,28,0.21506,40,0.75974,41,0.94129,11,-1.3026,23,-0.1395,12,-1.1578
ENSG00000080345,RIF1,374,1.05204,85,-1.5503,160,-0.3513,186,-0.1253,286,0.58820,219,0.14799,331,0.83875
ENSG00000162980,ARL5A,74,-0.1720,69,-0.3559,56,-0.6135,76,-0.1579,145,0.92633,80,-0.0480,114,0.51757
ENSG00000182389,CACNB4,57,-1.6690,121,-0.6511,148,-0.2151,240,0.65884,176,0.06016,198,0.24863,273,0.78890
ENSG00000157827,FMNL2,1223,3.66452,84,-1.6387,76,-1.5457,63,-1.9419,158,-0.4429,142,-0.6038,110,-0.9978
ENSG00000196504,PRPF40A,287,1.28855,76,-1.0668,113,-0.2687,82,-0.8353,260,1.11039,149,0.17321,140,0.07127
ENSG00000162989,KCNJ3,23,-2.7305,108,-0.5390,124,-0.2186,223,0.86478,141,-0.0187,145,0.02985,221,0.72374
ENSG00000115159,GPD2,26,-0.5657,39,0.10046,16,-1.2430,69,1.22619,37,-0.0164,18,-1.1308,20,-0.9549
ENSG00000136541,ERMN,1113,5.65313,31,-2.4757,30,-2.2365,10,-3.8975,2,-5.7444,39,-1.8520,11,-3.6586
ENSG00000144283,PKP4,1135,2.89459,118,-1.3730,165,-0.6581,142,-0.9617,97,-1.4528,314,0.36739,154,-0.7570
ENSG00000123636,BAZ2B,1557,2.49221,201,-1.2860,160,-1.4239,113,-2.0712,410,0.02082,686,0.87761,401,-0.0145
ENSG00000136536,MARCH7,32,0.01776,17,-1.0876,47,0.64884,41,0.46938,36,0.22582,14,-1.2512,53,0.84096
ENSG00000153250,RBMS1,30,0.05211,19,-0.7604,24,-0.2807,22,-0.4452,43,0.65013,54,1.05622,34,0.29130
ENSG00000136560,TANK,24,0.14041,20,-0.1783,19,-0.1893,29,0.53562,31,0.58046,7,-1.6042,18,-0.2831
ENSG00000115233,PSMD14,40,-1.0893,81,-0.0048,58,-0.5364,119,0.71503,83,0.02590,71,-0.2210,82,0.00480
ENSG00000136535,TBR1,20,-2.4460,91,-0.2360,96,-0.1046,199,1.33128,53,-1.0080,87,-0.2618,99,-0.0612
ENSG00000144290,SLC4A10,33,-2.7221,111,-1.0848,148,-0.4701,321,0.92428,243,0.31906,169,-0.2625,424,1.28288
ENSG00000115271,GCA,17,-0.5573,19,-0.4233,26,0.15534,44,1.18827,8,-1.6911,30,0.37858,13,-0.9309
ENSG00000153253,SCN3A,79,-0.9237,85,-0.9889,80,-0.9174,179,0.40310,192,0.47234,226,0.74525,248,0.90778
ENSG00000136531,SCN2A,140,-2.2767,329,-1.1903,376,-0.7939,917,0.73101,540,-0.2332,859,0.51855,1516,1.52522
ENSG00000178662,CSRNP3,58,-1.6441,144,-0.3475,144,-0.2723,246,0.68638,146,-0.2577,150,-0.2101,291,0.88151
ENSG00000144285,SCN1A,46,-1.6877,108,-0.4965,98,-0.5615,126,-0.1864,82,-0.8298,144,0.04781,450,2.09351
ENSG00000198648,STK39,132,0.16610,104,-0.2645,89,-0.4563,114,-0.0776,98,-0.3025,175,0.62549,156,0.43729
ENSG00000172292,CERS6,36,-1.5610,75,-0.5770,99,-0.0345,148,0.72403,58,-0.8599,102,0.01668,194,1.09364
ENSG00000138398,PPIG,769,1.02203,240,-1.0412,226,-0.9546,389,-0.1250,561,0.48096,431,0.04990,691,0.83501
ENSG00000154479,CCDC173,82,0.53897,87,0.89542,29,-1.1109,16,-2.1028,51,-0.2255,59,0.00527,75,0.38072
ENSG00000213160,KLHL23,35,-0.5813,27,-1.1687,65,0.38140,65,0.43315,72,0.56045,52,0.03136,77,0.65833
ENSG00000138385,SSB,210,0.01783,165,-0.4542,150,-0.5124,224,0.13135,215,0.04816,218,0.07664,345,0.83526
ENSG00000138382,METTL5,25,-0.4711,34,0.00132,64,1.06931,34,0.02130,32,-0.0649,30,-0.2137,17,-1.0569
ENSG00000144357,UBR3,92,-0.1798,67,-0.8200,121,0.26531,105,0.04354,117,0.20007,98,-0.0740,190,1.02090
ENSG00000128683,GAD1,7,-3.5108,88,0.22393,131,0.83908,37,-1.2553,106,0.48606,53,-0.6179,153,1.11511
ENSG00000115806,GORASP2,22,-0.5494,23,-0.5575,39,0.35591,44,0.67870,49,0.73474,18,-0.8666,25,-0.3509
ENSG00000198586,TLK1,81,-0.6413,89,-0.6026,97,-0.3655,140,0.24991,187,0.70015,142,0.24288,166,0.49915
ENSG00000077380,DYNC1I2,606,1.45359,158,-0.9382,193,-0.4641,212,-0.3517,303,0.25001,293,0.19754,300,0.23739
ENSG00000115840,SLC25A12,27,-0.8739,44,-0.1492,51,0.10205,95,1.41603,7,-2.7153,13,-1.8885,53,0.17738
ENSG00000091409,ITGA6,67,1.32234,25,-0.3665,8,-2.0253,10,-1.7725,48,0.73629,70,1.41713,16,-0.9806
ENSG00000091428,RAPGEF4,385,0.79509,310,0.57880,362,0.69221,143,-0.8675,136,-0.8747,171,-0.5221,110,-1.1907
ENSG00000091436,MAP3K20,53,1.01250,25,-0.2896,11,-1.4975,28,-0.0634,22,-0.4143,43,0.63005,30,0.04269
ENSG00000172845,SP3,23,-0.3370,23,-0.4420,31,0.09544,25,-0.2468,47,0.77618,29,-0.0052,41,0.54692
ENSG00000138430,OLA1,28,-2.0878,96,-0.3289,142,0.37248,198,1.10360,91,-0.3457,87,-0.4124,99,-0.2135
ENSG00000138433,CIR1,183,0.43356,101,-0.6408,144,0.04323,124,-0.2223,172,0.33526,148,0.08801,205,0.62329
ENSG00000163328,GPR155,98,-0.8266,83,-1.2932,118,-0.5497,246,0.73992,248,0.65135,222,0.46377,243,0.61755
ENSG00000128656,CHN1,137,-3.5699,1271,-0.3133,1701,0.21731,2589,1.09607,1037,-0.5664,1383,-0.1157,1617,0.13562
ENSG00000115966,ATF2,23,-1.4189,46,-0.5024,69,0.23951,84,0.64950,79,0.46564,62,0.08265,54,-0.1350
ENSG00000154518,ATP5MC3,50,-2.1478,234,0.27176,456,1.35089,284,0.60357,124,-0.7900,75,-1.5593,86,-1.3512
ENSG00000144320,LNPK,22,-1.3087,39,-0.5346,47,-0.1328,86,1.01005,55,0.11959,27,-0.9748,72,0.55872
ENSG00000128654,MTX2,26,-0.9721,47,-0.0701,75,0.68841,83,1.03415,25,-1.0130,16,-1.6907,39,-0.3424
ENSG00000170144,HNRNPA3,205,-0.1159,173,-0.4708,288,0.43460,231,0.08801,272,0.34165,202,-0.1383,254,0.22853
ENSG00000116044,NFE2L2,177,1.32638,52,-0.8316,48,-0.7982,23,-2.0571,144,0.95900,135,0.84673,103,0.39017
ENSG00000018510,AGPS,31,0.33483,25,-0.0233,18,-0.5436,28,0.20076,19,-0.4168,9,-1.4802,43,0.89584
ENSG00000079156,OSBPL6,30,-1.1898,43,-0.8005,55,-0.2838,74,0.21922,103,0.73383,55,-0.2898,137,1.23887
ENSG00000180228,PRKRA,37,0.12165,37,0.13357,40,0.24894,45,0.49157,12,-1.6135,15,-1.2422,40,0.23634
ENSG00000116095,PLEKHA3,49,-0.4561,57,-0.2729,70,0.08969,68,0.06766,63,-0.0721,67,0.02438,101,0.69873
ENSG00000155657,TTN,344,3.68594,17,-2.1613,11,-2.4348,9,-2.9736,13,-2.2665,83,0.57121,63,0.13657
ENSG00000187231,SESTD1,122,0.76615,54,-0.6873,64,-0.2892,67,-0.2364,91,0.27019,83,0.13053,112,0.61991
ENSG00000144331,ZNF385B,4,-2.9599,21,-0.6806,30,0.00874,53,1.12533,6,-2.2874,51,0.88202,39,0.41813
ENSG00000163510,CWC22,151,1.28191,35,-1.2849,44,-0.7528,56,-0.4207,76,0.12578,91,0.41046,129,0.99880
ENSG00000170035,UBE2E3,23,-1.9723,98,0.31839,85,0.00500,127,0.77546,45,-0.9682,54,-0.7077,90,0.10503
ENSG00000162992,NEUROD1,1,-4.1541,21,-0.2236,33,0.52763,22,-0.1860,21,-0.1865,18,-0.4687,59,1.53705
ENSG00000138434,ITPRID2,291,2.75875,41,-0.9124,34,-1.0732,31,-1.3079,57,-0.2644,35,-1.0288,72,0.11067
ENSG00000115252,PDE1A,23,-1.9554,41,-1.2774,74,-0.1783,160,1.33345,99,0.29528,125,0.67511,62,-0.4477
ENSG00000077232,DNAJC10,38,-0.6171,25,-1.4848,33,-0.8460,107,1.25262,50,-0.2213,76,0.47596,84,0.63634
ENSG00000061676,NCKAP1,70,-2.0897,255,-0.1569,317,0.22468,417,0.79712,275,-0.0040,218,-0.3665,276,0.00077
ENSG00000170396,ZNF804A,3,-3.0869,19,-0.4495,12,-1.0855,23,-0.1049,47,1.10112,24,0.02229,53,1.30988
ENSG00000065548,ZC3H15,250,-0.4040,222,-0.7222,288,-0.1803,390,0.34764,333,0.04771,328,0.02568,585,0.99254
ENSG00000138448,ITGAV,72,0.39239,48,-0.3178,59,0.07425,19,-1.7963,175,1.99707,34,-0.8010,44,-0.3975
ENSG00000144369,FAM171B,61,-1.8524,179,-0.2870,154,-0.4560,234,0.23527,458,1.36113,213,0.04954,170,-0.3010
ENSG00000204262,COL5A2,1,-4.0079,32,0.72747,12,-0.9427,22,-0.1068,2,-3.6968,2,-3.2888,74,2.05106
ENSG00000115368,WDR75,45,0.95330,11,-1.4932,16,-0.7030,21,-0.3650,38,0.65196,41,0.77070,40,0.73835
ENSG00000138381,ASNSD1,22,-0.4085,22,-0.5328,37,0.35824,41,0.63222,19,-0.6934,20,-0.5715,46,0.73895
ENSG00000128699,ORMDL1,11,-1.6641,28,-0.2930,37,0.18569,58,1.10384,48,0.60649,21,-0.7039,12,-1.5433
ENSG00000064933,PMS1,33,0.49456,16,-0.7978,19,-0.3897,20,-0.3284,39,0.76509,31,0.37288,34,0.52737
ENSG00000198130,HIBCH,42,0.79692,18,-0.7408,25,-0.0919,18,-0.6676,57,1.31468,29,0.18160,19,-0.4496
ENSG00000151689,INPP1,56,1.03171,19,-0.8662,26,-0.2385,37,0.37986,35,0.27054,33,0.14634,19,-0.6691
ENSG00000151690,MFSD6,69,-0.9458,91,-0.6333,83,-0.6545,243,1.30954,99,-0.3797,105,-0.2969,151,0.27981
ENSG00000138386,NAB1,35,-0.0390,41,0.25868,14,-1.4666,45,0.40817,12,-1.6422,43,0.28500,44,0.32381
ENSG00000115419,GLS,27,-2.6931,130,-0.4669,223,0.50014,313,1.29597,146,-0.1889,74,-1.2217,158,-0.0657
ENSG00000115415,STAT1,24,-0.7434,31,-0.4370,49,0.34397,45,0.25229,63,0.77252,13,-1.6204,59,0.66587
ENSG00000144339,TMEFF2,23,-1.0845,36,-0.4702,37,-0.3425,98,1.56290,42,-0.1378,30,-0.6657,23,-1.0368
ENSG00000196950,SLC39A10,42,-2.7452,178,-0.7133,168,-0.6682,428,0.99017,215,-0.2874,318,0.34110,445,0.90760
ENSG00000138411,HECW2,39,-0.1776,24,-1.1095,18,-1.3572,70,0.89758,39,-0.1667,61,0.52974,69,0.74764
ENSG00000119041,GTF3C3,31,0.40042,14,-0.9863,11,-1.1798,32,0.50237,45,1.01383,19,-0.4074,31,0.36827
ENSG00000197121,PGAP1,17,-1.0729,33,-0.1253,34,-0.0509,44,0.44657,61,0.90673,26,-0.4796,24,-0.5493
ENSG00000115524,SF3B1,163,0.47232,77,-0.8619,69,-0.8807,146,0.33894,185,0.69112,121,-0.0034,154,0.38341
ENSG00000115520,COQ10B,11,-1.2929,24,-0.2419,28,0.06338,41,0.79112,23,-0.2565,20,-0.4437,34,0.34941
ENSG00000144381,HSPD1,313,0.49088,185,-0.4457,208,-0.1672,232,-0.0009,275,0.27488,233,0.01265,270,0.24516
ENSG00000115541,HSPE1,60,-0.7702,133,0.67935,196,1.16874,92,-0.1110,52,-0.9747,24,-2.1137,64,-0.6653
ENSG00000115540,MOB4,18,-1.4011,51,0.28822,26,-0.8002,77,1.09273,24,-0.9501,24,-0.9204,43,-0.0241
ENSG00000115896,PLCL1,202,2.16085,39,-0.8457,42,-0.5631,53,-0.2308,41,-0.5913,42,-0.5543,55,-0.1515
ENSG00000119042,SATB2,16,-2.1134,52,-0.4411,73,0.19227,109,1.01169,34,-1.0006,59,-0.1439,93,0.58982
ENSG00000225953,SATB2-AS1,7,-1.7096,17,-0.4972,28,0.36830,49,1.56615,4,-2.5514,6,-2.0020,31,0.52488
ENSG00000178074,C2orf69,32,-1.0744,58,-0.1970,58,-0.1443,96,0.77966,60,-0.0924,47,-0.4758,75,0.26435
ENSG00000196141,SPATS2L,61,-0.6164,75,-0.3757,130,0.58829,95,0.08764,115,0.38577,75,-0.3101,111,0.32363
ENSG00000082153,BZW1,67,-0.7022,104,-0.0256,108,0.03889,129,0.36995,96,-0.1593,89,-0.2711,125,0.27294
ENSG00000013441,CLK1,89,0.92445,35,-0.7020,41,-0.3500,65,0.43181,57,0.17273,46,-0.1798,43,-0.2707
ENSG00000155744,FAM126B,24,-2.2074,68,-0.7763,91,-0.1965,161,0.86678,91,-0.1961,144,0.54890,151,0.62864
ENSG00000119013,NDUFB3,29,-1.1940,79,0.51835,159,1.61374,65,0.07371,49,-0.3824,8,-2.9375,11,-2.5654
ENSG00000003402,CFLAR,131,1.96768,39,-0.1939,9,-2.3119,10,-2.3173,98,1.39767,24,-0.8672,30,-0.5399
ENSG00000115993,TRAK2,196,1.66074,56,-0.5874,42,-0.9085,64,-0.2813,42,-0.8943,67,-0.1791,110,0.61978
ENSG00000155755,TMEM237,16,-1.1030,27,-0.4366,26,-0.3627,36,0.13798,37,0.16530,61,0.99280,41,0.33834
ENSG00000003393,ALS2,11,-1.4429,14,-1.2857,37,0.42227,51,1.16286,26,-0.1256,20,-0.5506,46,0.77570
ENSG00000116030,SUMO1,32,-1.6969,106,0.21009,153,0.76562,128,0.53326,59,-0.7646,41,-1.3054,102,0.10053
ENSG00000055044,NOP58,129,0.65796,47,-1.1092,67,-0.3931,84,-0.0462,120,0.53674,116,0.48575,120,0.53562
ENSG00000204217,BMPR2,62,-1.7957,135,-0.7723,188,-0.1134,317,0.86998,270,0.47783,210,0.06248,250,0.34501
ENSG00000163596,ICA1L,35,-1.3193,61,-0.5653,61,-0.4589,122,0.75714,85,0.06597,109,0.46581,101,0.34583
ENSG00000138442,WDR12,15,-1.4802,27,-0.7458,29,-0.4841,55,0.64368,42,0.09043,39,-0.0050,78,1.15382
ENSG00000138443,ABI2,173,-0.9342,242,-0.5162,254,-0.3410,479,0.79946,360,0.21434,336,0.09879,348,0.15552
ENSG00000173166,RAPH1,10,-2.2619,33,-0.5450,31,-0.5421,71,0.94580,53,0.29595,45,0.05308,57,0.43995
ENSG00000114933,INO80D,20,-0.2289,15,-0.8931,16,-0.5778,31,0.51259,50,1.24475,20,-0.2573,24,0.00409
ENSG00000023228,NDUFS1,103,-1.0900,176,-0.3410,169,-0.3392,272,0.49156,246,0.26419,213,0.03142,287,0.51559
ENSG00000114942,EEF1B2,437,1.02837,256,0.16672,273,0.23677,177,-0.4984,287,0.31911,115,-1.1108,126,-0.9715
ENSG00000204186,ZDBF2,40,-0.6312,33,-1.1139,36,-0.7978,69,0.23483,64,0.09392,86,0.56391,142,1.45347
ENSG00000114948,ADAM23,11,-2.6476,51,-0.5475,71,0.08319,122,1.16346,72,0.09465,22,-1.7154,103,0.69850
ENSG00000118246,FASTKD2,13,-1.4879,29,-0.3599,36,0.03919,60,1.05590,24,-0.5967,29,-0.2946,41,0.23411
ENSG00000118263,KLF7,36,-0.1875,30,-0.5331,35,-0.2035,50,0.39408,57,0.58299,45,0.20158,37,-0.1443
ENSG00000118260,CREB1,36,-0.2751,35,-0.4013,29,-0.5759,44,0.06061,61,0.57855,35,-0.3202,73,0.88954
ENSG00000178385,PLEKHM3,19,-1.4233,36,-0.6173,47,-0.0573,59,0.33270,40,-0.3238,72,0.62438,88,0.96424
ENSG00000188674,C2orf80,3,-3.8586,58,0.23896,91,0.93681,65,0.41672,35,-0.6020,17,-1.6750,67,0.41542
ENSG00000115020,PIKFYVE,34,0.00731,24,-0.6676,23,-0.5813,41,0.32858,44,0.39772,49,0.57442,37,0.14409
ENSG00000078018,MAP2,513,-2.5818,3110,0.20923,3341,0.27697,1414,-1.1629,3870,0.51980,4637,0.82699,3641,0.41862
ENSG00000144406,UNC80,50,-1.9427,117,-0.8165,145,-0.3357,214,0.31965,139,-0.4046,369,1.21740,314,0.92997
ENSG00000115365,LANCL1,38,-1.5772,125,0.35835,68,-0.6819,173,0.96118,53,-1.0647,34,-1.7353,142,0.48551
ENSG00000178568,ERBB4,32,-1.2236,51,-0.6223,39,-0.9148,33,-1.2534,202,1.85874,94,0.47160,116,0.83584
ENSG00000144451,SPAG16,109,1.15121,50,-0.2099,28,-1.0240,52,-0.1024,37,-0.6281,76,0.51905,48,-0.2288
ENSG00000138363,ATIC,23,-0.8663,37,-0.1825,42,0.06827,62,0.83315,35,-0.2311,33,-0.2998,35,-0.2274
ENSG00000079246,XRCC5,77,-0.7238,88,-0.6380,108,-0.1907,167,0.58335,113,-0.1194,150,0.33498,176,0.59958
ENSG00000260804,LINC01963,21,-0.6450,26,-0.3940,28,-0.2116,66,1.50445,16,-0.9937,19,-0.7390,22,-0.5627
ENSG00000197756,RPL37A,2741,0.89831,2005,0.49502,2834,0.95664,983,-0.8331,1326,-0.2952,583,-1.5530,509,-1.7530
ENSG00000115461,IGFBP5,670,3.29415,40,-2.0214,47,-1.5481,94,-0.5321,174,0.49556,37,-1.8685,43,-1.6567
ENSG00000163466,ARPC2,85,-1.2132,189,0.03277,184,-0.0167,197,0.10804,215,0.23682,185,-0.0034,228,0.33205
ENSG00000127837,AAMP,17,-1.7694,51,-0.2053,72,0.38946,70,0.39361,79,0.55927,37,-0.6359,65,0.23651
ENSG00000127838,PNKD,26,-2.0233,108,0.16259,192,1.09810,110,0.17520,93,-0.1196,62,-0.7490,82,-0.3123
ENSG00000144580,CNOT9,0,-7.7138,19,-0.2819,29,0.44630,36,0.95490,21,-0.0387,23,0.09659,17,-0.4105
ENSG00000171450,CDK5R2,12,-2.5887,57,-0.3840,90,0.43536,122,1.13514,58,-0.2629,54,-0.3777,59,-0.2394
ENSG00000144567,RETREG2,36,-2.2379,144,-0.1939,204,0.41006,242,0.81395,90,-0.8724,174,0.14742,164,0.05791
ENSG00000115657,ABCB6,16,-0.5487,17,-0.5625,27,0.22060,35,0.76895,26,0.20147,22,-0.0809,19,-0.3003
ENSG00000198925,ATG9A,34,-0.8155,53,-0.1830,81,0.54677,98,1.02963,49,-0.2649,9,-2.7181,51,-0.2079
ENSG00000127824,TUBA4A,12,-4.0576,148,-0.4810,233,0.33879,403,1.56443,79,-1.3477,115,-0.7756,203,0.11462
ENSG00000135924,DNAJB2,89,-0.2251,70,-0.7157,134,0.43289,138,0.55980,116,0.20683,115,0.18417,83,-0.3383
ENSG00000054356,PTPRN,21,-3.0616,146,-0.2090,107,-0.6519,335,1.49244,108,-0.6286,136,-0.2701,139,-0.2399
ENSG00000123989,CHPF,34,-0.6890,53,-0.0230,71,0.47018,72,0.55096,48,-0.1650,45,-0.2797,34,-0.7150
ENSG00000124006,OBSL1,40,0.05064,47,0.42872,43,0.16010,28,-0.5347,46,0.28586,13,-1.6721,47,0.30037
ENSG00000114923,SLC4A3,6,-2.8893,54,0.44016,46,0.09065,46,0.07876,43,-0.0197,29,-0.6211,60,0.51135
ENSG00000116106,EPHA4,15,-3.4488,107,-0.7193,188,0.31220,244,0.87533,118,-0.4344,93,-0.8032,329,1.27498
ENSG00000163082,SGPP2,8,-1.5717,22,-0.2226,22,-0.1541,33,0.54865,23,-0.0625,28,0.19250,31,0.40122
ENSG00000116120,FARSB,15,-1.9158,44,-0.3170,81,0.73177,77,0.74826,65,0.34745,31,-0.7886,41,-0.3611
ENSG00000123983,ACSL3,106,-0.9787,121,-0.9315,158,-0.3647,317,0.90083,279,0.55596,198,-0.0071,250,0.36945
ENSG00000171951,SCG2,54,-2.0317,131,-0.8709,199,-0.0612,278,0.55191,271,0.44028,195,-0.0937,402,1.11462
