Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000118246,FASTKD2,30,-0.2257,38,0.17034,31,-0.2358,39,0.22542,37,0.10143
ENSG00000229321,AC008269.1,14,0.73729,26,2.08341,4,-1.4030,2,-2.0935,3,-1.5400
ENSG00000118263,KLF7,38,-0.3350,60,0.47738,42,-0.1711,45,-0.0411,47,0.04479
ENSG00000118260,CREB1,40,-0.1661,66,0.71268,51,0.28911,36,-0.3692,26,-0.8955
ENSG00000144401,METTL21A,18,0.19679,12,-0.4577,14,-0.2701,21,0.52528,16,-0.0353
ENSG00000163249,CCNYL1,11,-0.8645,20,0.11230,19,0.02587,26,0.60969,17,-0.1380
ENSG00000178385,PLEKHM3,30,-1.0442,73,0.43431,67,0.30768,69,0.32809,43,-0.4893
ENSG00000188674,C2orf80,41,-0.4636,39,-0.5463,27,-1.2261,97,1.09184,81,0.73193
ENSG00000138413,IDH1,18,0.20538,13,-0.3619,15,-0.1670,8,-1.0642,27,0.96246
ENSG00000115020,PIKFYVE,37,0.15912,47,0.59899,22,-0.7975,34,0.01876,35,0.06055
ENSG00000078018,MAP2,2299,0.23536,3162,0.84430,1929,-0.0866,1149,-0.9420,1583,-0.4156
ENSG00000144406,UNC80,124,-0.5908,325,1.18734,164,-0.1338,166,-0.0956,105,-0.8684
ENSG00000197713,RPE,23,-0.0430,17,-0.5965,23,-0.0647,29,0.37835,27,0.22704
ENSG00000115365,LANCL1,102,-0.7781,129,-0.3998,193,0.35665,207,0.43483,166,0.03758
ENSG00000178568,ERBB4,79,0.09664,108,0.67383,55,-0.5770,40,-1.0151,101,0.55661
ENSG00000144451,SPAG16,49,0.15109,66,0.73477,40,-0.2311,33,-0.5060,38,-0.2803
ENSG00000138376,BARD1,12,-0.1028,26,1.30773,11,-0.3815,3,-2.2149,15,0.20987
ENSG00000138363,ATIC,37,-0.5142,42,-0.2948,35,-0.6534,61,0.37332,81,0.91973
ENSG00000115414,FN1,64,2.35700,18,-0.2842,7,-1.8736,2,-3.2726,23,0.15176
ENSG00000118242,MREG,6,-1.3834,15,0.19960,16,0.37561,21,0.79293,8,-0.8038
ENSG00000163449,TMEM169,5,-1.1674,19,1.16378,8,-0.4972,12,0.22836,9,-0.2103
ENSG00000079246,XRCC5,81,-0.9250,171,0.35281,127,-0.1877,166,0.30173,163,0.27109
ENSG00000260804,LINC01963,29,-0.6085,37,-0.2180,51,0.38266,50,0.32052,39,-0.1506
ENSG00000144583,MARCH4,9,-0.0441,8,-0.3296,9,-0.1984,11,0.24240,12,0.32675
ENSG00000138375,SMARCAL1,12,-0.2525,15,0.07171,16,0.31611,11,-0.3683,15,0.06220
ENSG00000197756,RPL37A,1895,1.24865,441,-1.3442,775,-0.4773,625,-0.7878,1358,0.56732
ENSG00000115457,IGFBP2,10,-1.4082,13,-0.9173,15,-0.7969,70,2.38448,13,-0.9551
ENSG00000115461,IGFBP5,141,2.19763,26,-1.0847,2,-4.9024,75,0.71405,33,-0.6932
ENSG00000079308,TNS1,45,2.26040,17,0.17240,8,-1.1809,6,-1.4521,5,-1.6294
ENSG00000163466,ARPC2,196,0.01753,199,0.04059,138,-0.6399,262,0.54923,204,0.08705
ENSG00000127837,AAMP,38,-0.6746,50,-0.2290,50,-0.2580,72,0.42199,79,0.58703
ENSG00000127838,PNKD,102,-0.0966,59,-0.9986,99,-0.1624,157,0.68784,127,0.28677
ENSG00000135926,TMBIM1,39,1.45968,13,-0.5534,9,-1.3199,2,-2.9072,34,1.14678
ENSG00000144579,CTDSP1,22,1.65498,11,0.19731,5,-1.0788,0,-3.6769,12,0.32203
ENSG00000135913,USP37,17,0.13407,29,1.13464,12,-0.5735,13,-0.3042,11,-0.6742
ENSG00000144580,CNOT9,16,-0.6599,19,-0.3656,26,0.13238,35,0.65651,24,-0.0287
ENSG00000115568,ZNF142,16,-0.0117,10,-0.8517,14,-0.2120,16,-0.0275,26,0.85144
ENSG00000074582,BCS1L,11,-0.1097,6,-0.9698,12,0.08254,13,0.18326,16,0.51978
ENSG00000163481,RNF25,7,-0.9777,7,-0.9200,11,-0.3479,21,0.87573,20,0.78050
ENSG00000135929,CYP27A1,16,0.77044,8,-0.3475,8,-0.3868,3,-2.0286,18,0.96068
ENSG00000171450,CDK5R2,68,-0.4143,63,-0.5516,122,0.71840,99,0.22355,66,-0.4749
ENSG00000115649,CNPPD1,15,0.16982,8,-0.9133,15,0.15847,13,-0.1072,17,0.41371
ENSG00000144567,RETREG2,118,-0.6617,130,-0.4930,192,0.20311,258,0.73294,162,-0.1255
ENSG00000158552,ZFAND2B,16,-0.2300,14,-0.5297,14,-0.5831,25,0.51142,28,0.70970
ENSG00000115657,ABCB6,18,-0.9190,27,-0.2553,32,0.08072,43,0.58614,35,0.20363
ENSG00000198925,ATG9A,42,-0.7314,50,-0.4445,71,0.16581,83,0.44847,76,0.28262
ENSG00000163516,ANKZF1,9,-0.8389,23,0.79789,11,-0.6263,12,-0.3606,22,0.71903
ENSG00000115661,STK16,14,0.03499,12,-0.1540,12,-0.1432,11,-0.2512,18,0.48522
ENSG00000127824,TUBA4A,105,-1.8693,221,-0.6968,367,0.19068,651,1.30303,309,-0.1356
ENSG00000135924,DNAJB2,100,-0.0939,97,-0.1526,117,0.20535,92,-0.2496,117,0.18559
ENSG00000054356,PTPRN,109,-0.8519,149,-0.3443,194,0.13475,284,0.83437,166,-0.1591
ENSG00000123992,DNPEP,23,1.25392,10,-0.3455,9,-0.5735,6,-0.9676,13,0.18289
ENSG00000072195,SPEG,19,0.22417,19,0.20698,16,-0.1663,15,-0.2544,17,0.00431
ENSG00000144591,GMPPA,6,-0.9059,11,0.00045,11,0.00364,14,0.40985,13,0.26665
ENSG00000123989,CHPF,47,-0.0192,35,-0.5165,36,-0.5278,61,0.47449,63,0.53353
ENSG00000188760,TMEM198,10,-0.3527,8,-0.7373,14,0.38371,18,0.76889,8,-0.5602
ENSG00000124006,OBSL1,38,0.07737,25,-0.6366,32,-0.2062,37,0.07590,50,0.58440
ENSG00000144589,STK11IP,10,0.05564,10,0.05080,5,-0.9854,13,0.58187,11,0.31368
ENSG00000114923,SLC4A3,40,-0.0974,35,-0.3044,51,0.39807,50,0.31295,30,-0.5924
ENSG00000116106,EPHA4,81,-1.3935,240,0.42579,163,-0.2936,293,0.81571,184,-0.0502
ENSG00000267034,AC010980.1,8,-0.7519,11,-0.2805,17,0.52201,19,0.64754,9,-0.6971
ENSG00000163082,SGPP2,16,-1.0520,32,0.13172,33,0.15823,43,0.65372,25,-0.2950
ENSG00000116120,FARSB,32,-1.0171,48,-0.3635,56,-0.1008,94,0.86658,67,0.22651
ENSG00000123983,ACSL3,144,-0.8538,283,0.29801,212,-0.2418,313,0.48116,262,0.15539
ENSG00000171951,SCG2,112,-1.0195,232,0.20304,207,-0.0022,262,0.42341,223,0.12898
ENSG00000085449,WDFY1,20,-0.8965,37,0.15057,39,0.29090,37,0.16975,34,-0.0077
ENSG00000135900,MRPL44,12,-1.5088,25,-0.3684,34,0.23085,46,0.75526,34,0.19098
ENSG00000135919,SERPINE2,261,0.65196,93,-1.1196,26,-3.1977,177,-0.0555,437,1.78088
ENSG00000036257,CUL3,43,-1.1397,100,0.26675,81,-0.1147,107,0.39369,101,0.29490
ENSG00000135905,DOCK10,20,0.59254,15,0.08239,17,0.26902,3,-2.4836,17,0.25059
ENSG00000273301,AC016717.2,8,-0.9760,14,-0.1368,27,1.41589,7,-1.2472,12,-0.3943
ENSG00000169047,IRS1,10,-0.5756,13,-0.1457,14,-0.0169,13,-0.2092,22,0.74482
ENSG00000168958,MFF,70,-0.3123,69,-0.3282,80,-0.0912,113,0.53679,89,0.11205
ENSG00000173744,AGFG1,50,-0.5851,85,0.34911,59,-0.3294,92,0.48767,71,0.01103
ENSG00000153820,SPHKAP,11,-1.7734,33,-0.0558,66,1.52720,20,-0.8625,25,-0.5159
ENSG00000153823,PID1,19,-1.0348,31,-0.2215,57,1.10157,27,-0.4486,30,-0.2641
ENSG00000187957,DNER,140,0.10083,95,-0.5587,144,0.17267,81,-0.8308,195,0.72257
ENSG00000153827,TRIP12,79,-0.5614,149,0.55292,94,-0.3064,131,0.31714,105,-0.0795
ENSG00000163053,SLC16A14,14,-0.9729,22,-0.2982,31,0.36199,37,0.62894,23,-0.1770
ENSG00000135932,CAB39,92,-0.6597,107,-0.4041,135,-0.0072,202,0.74437,141,0.07686
ENSG00000135916,ITM2C,537,0.63147,187,-1.1810,295,-0.4861,369,-0.0587,561,0.71749
ENSG00000204128,C2orf72,34,-0.2688,32,-0.4122,26,-0.8051,33,-0.3581,84,1.44367
ENSG00000173692,PSMD1,117,-1.0650,272,0.37262,206,-0.1374,348,0.84794,171,-0.4417
ENSG00000135931,ARMC9,6,-1.4841,20,0.50694,15,-0.0749,22,0.65139,14,-0.1680
ENSG00000115053,NCL,373,-0.5914,855,0.90720,466,-0.2420,587,0.18973,390,-0.5177
ENSG00000187514,PTMA,1101,0.42204,973,0.19414,951,0.17295,524,-0.8593,776,-0.2052
ENSG00000156973,PDE6D,13,-0.4505,12,-0.5916,18,0.14191,16,-0.0618,25,0.68649
ENSG00000144524,COPS7B,14,-0.3947,20,0.26544,17,-0.0363,18,0.05566,18,0.07062
ENSG00000144535,DIS3L2,8,-0.9549,20,0.45847,16,0.07444,15,-0.0328,17,0.18519
ENSG00000135930,EIF4E2,39,-0.3861,62,0.41947,53,0.12378,60,0.33955,31,-0.7598
ENSG00000115468,EFHD1,89,1.18663,23,-1.2054,46,-0.0891,17,-1.6927,66,0.59443
ENSG00000204120,GIGYF2,71,-0.4941,161,0.99777,73,-0.5059,92,-0.0528,89,-0.1071
ENSG00000182600,SNORC,165,2.42294,17,-1.8352,15,-2.2184,34,-0.7949,63,0.25444
ENSG00000066248,NGEF,115,-0.6896,105,-0.8251,174,0.02259,264,0.79677,202,0.28515
ENSG00000085978,ATG16L1,10,-1.3124,26,0.17619,28,0.35845,28,0.31312,23,-0.0556
ENSG00000077044,DGKD,16,0.42705,17,0.58216,15,0.38744,3,-2.1228,10,-0.4171
ENSG00000085982,USP40,18,0.04343,26,0.73172,16,-0.1794,10,-0.8537,18,0.03869
ENSG00000188042,ARL4C,83,-0.1966,104,0.19627,99,0.10845,61,-0.7054,117,0.40077
ENSG00000157985,AGAP1,185,0.65903,169,0.48171,137,0.11243,73,-0.9556,80,-0.8146
ENSG00000132321,IQCA1,52,0.02128,82,0.89631,23,-1.4221,38,-0.4989,74,0.69624
ENSG00000198612,COPS8,79,-0.5458,78,-0.5729,110,0.02011,141,0.46047,137,0.41235
ENSG00000124831,LRRFIP1,69,-0.4933,146,0.84659,78,-0.3377,114,0.36919,64,-0.6203
ENSG00000132329,RAMP1,136,1.04911,31,-1.4904,36,-1.3591,73,-0.1284,136,1.05075
ENSG00000184182,UBE2F,44,0.11382,29,-0.5897,47,0.26966,43,0.08135,40,-0.0591
ENSG00000132323,ILKAP,20,-0.5654,21,-0.4756,30,0.16874,30,0.15263,37,0.48334
ENSG00000144485,HES6,44,0.58004,25,-0.4174,26,-0.3741,11,-1.7101,56,1.08235
ENSG00000132326,PER2,19,-0.4532,35,0.67720,26,0.16330,20,-0.2920,20,-0.3459
ENSG00000204104,TRAF3IP1,38,-0.4052,72,0.74615,55,0.27374,38,-0.4167,34,-0.5708
ENSG00000065802,ASB1,29,0.39347,14,-0.8657,24,0.07542,26,0.21514,23,-0.0464
ENSG00000068024,HDAC4,31,0.05595,27,-0.1923,33,0.15837,30,-0.0005,29,-0.0900
ENSG00000130414,NDUFA10,88,-0.8265,149,0.06463,126,-0.2575,225,0.82940,141,-0.0354
ENSG00000172428,COPS9,417,0.68284,137,-1.2312,183,-0.8388,305,0.09802,452,0.84387
ENSG00000063660,GPC1,67,-0.1370,60,-0.3095,72,0.00046,76,0.08473,86,0.31293
ENSG00000188542,DUSP28,11,-0.1250,5,-1.2547,14,0.41275,15,0.50741,11,-0.0923
ENSG00000142327,RNPEPL1,17,0.34685,11,-0.3736,12,-0.3372,10,-0.4637,20,0.70245
ENSG00000142330,CAPN10,10,0.01471,8,-0.3832,7,-0.6611,9,-0.2087,19,1.06998
ENSG00000130294,KIF1A,409,-0.0869,470,0.16029,545,0.49226,333,-0.4383,335,-0.4272
ENSG00000122085,MTERF4,18,-0.4676,25,0.14632,22,-0.1436,30,0.42832,23,-0.0125
ENSG00000115685,PPP1R7,83,-0.5539,92,-0.3838,107,-0.1507,153,0.51306,146,0.42456
ENSG00000115677,HDLBP,130,-0.1130,152,0.15424,142,0.03307,157,0.20968,114,-0.3377
ENSG00000168385,SEPTIN2,204,1.12816,95,-0.3035,89,-0.4428,54,-1.2030,134,0.31204
ENSG00000006607,FARP2,13,0.47964,10,0.01938,10,0.04146,10,-0.0689,7,-0.6199
ENSG00000115694,STK25,90,-0.2130,75,-0.5187,120,0.33885,95,-0.1204,120,0.28803
ENSG00000176720,BOK,11,-0.5581,12,-0.4048,32,1.72306,5,-1.6971,9,-0.8786
ENSG00000176946,THAP4,32,-0.2814,26,-0.6293,36,-0.1268,50,0.48629,48,0.40030
ENSG00000168397,ATG4B,27,-0.5930,29,-0.4976,37,-0.0871,60,0.80789,42,0.12096
ENSG00000168395,ING5,31,-0.0901,38,0.30669,29,-0.1854,23,-0.5861,42,0.46533
ENSG00000180902,D2HGDH,11,-0.4057,16,0.26314,15,0.24631,13,-0.0645,12,-0.1938
ENSG00000134121,CHL1,183,-0.8814,333,0.13014,272,-0.2462,464,0.75543,313,0.01835
ENSG00000134115,CNTN6,2,-2.7419,13,0.03948,6,-1.2551,39,2.53689,5,-1.2977
ENSG00000144619,CNTN4,32,-0.9436,94,0.95503,42,-0.5557,89,0.85163,33,-0.9086
ENSG00000072756,TRNT1,5,-1.5304,29,1.32311,9,-0.8979,20,0.59846,12,-0.3107
ENSG00000113851,CRBN,57,-0.8615,141,0.71578,93,-0.0661,103,0.12555,87,-0.1716
ENSG00000175928,LRRN1,16,-0.2836,29,0.77104,5,-2.2136,14,-0.4638,38,1.32170
ENSG00000150995,ITPR1,275,-0.1176,333,0.22394,232,-0.4532,337,0.24773,324,0.17142
ENSG00000134107,BHLHE40,71,-0.3689,80,-0.1664,83,-0.1214,128,0.68271,82,-0.1316
ENSG00000134108,ARL8B,117,-0.7242,161,-0.1870,192,0.13539,252,0.62028,170,-0.0996
ENSG00000134109,EDEM1,8,-0.6227,15,0.43792,13,0.29680,10,-0.1664,10,-0.2027
ENSG00000196277,GRM7,14,-1.1396,24,-0.2954,35,0.46736,31,0.18352,33,0.27681
ENSG00000196220,SRGAP3,44,-1.1432,142,0.89293,79,-0.2236,86,-0.0387,95,0.12934
ENSG00000206573,THUMPD3-AS1,19,-0.2512,37,0.97009,15,-0.6658,18,-0.2871,23,0.11651
ENSG00000134077,THUMPD3,15,-1.2214,50,0.84485,25,-0.4715,38,0.33180,34,0.13625
ENSG00000168137,SETD5,60,-0.4768,169,1.51227,64,-0.3838,62,-0.4063,46,-0.8835
ENSG00000156959,LHFPL4,28,-0.5490,39,0.02242,48,0.45799,42,0.15889,31,-0.3871
ENSG00000163719,MTMR14,9,-0.4153,14,0.24640,9,-0.4157,16,0.49275,12,0.08659
ENSG00000144550,CPNE9,9,-1.2462,16,-0.2643,19,0.04111,30,0.86237,20,0.09710
ENSG00000114026,OGG1,12,0.24781,8,-0.4341,7,-0.6834,9,-0.1814,17,0.92569
ENSG00000134072,CAMK1,39,-0.4926,26,-1.1752,49,-0.1105,70,0.53019,79,0.75889
ENSG00000171148,TADA3,71,0.08909,47,-0.6214,64,-0.1045,65,-0.0772,93,0.58514
ENSG00000241553,ARPC4,79,-0.5123,89,-0.2984,120,0.24738,121,0.23323,115,0.14286
ENSG00000214021,TTLL3,17,0.87915,14,0.44318,7,-0.7812,6,-0.9962,12,0.15616
ENSG00000156990,RPUSD3,21,-0.3230,21,-0.2647,25,0.02348,31,0.36879,27,0.11632
ENSG00000171135,JAGN1,13,-0.3128,13,-0.3407,10,-0.7310,20,0.42770,25,0.83982
ENSG00000163703,CRELD1,27,-1.1931,44,-0.4300,48,-0.3179,104,1.16283,65,0.22627
ENSG00000163704,PRRT3,24,-0.6712,36,0.02527,37,0.08843,43,0.32788,37,0.07758
ENSG00000125037,EMC3,59,-0.5293,68,-0.2768,68,-0.3346,131,0.91921,82,0.04469
ENSG00000254999,BRK1,146,0.06666,81,-0.9227,140,-0.0139,164,0.26834,174,0.38008
ENSG00000134086,VHL,12,0.19804,15,0.58688,11,0.07974,9,-0.2875,6,-0.8647
ENSG00000157014,TATDN2,46,0.32773,29,-0.5046,38,-0.0463,40,0.07532,40,0.08168
ENSG00000157020,SEC13,21,-0.5446,21,-0.5783,22,-0.5550,38,0.44982,50,0.96162
ENSG00000157087,ATP2B2,283,-0.7292,483,0.18563,443,0.03388,583,0.53153,382,-0.2275
ENSG00000132164,SLC6A11,19,0.79501,12,-0.0376,3,-2.4349,3,-2.1330,30,1.76733
ENSG00000157103,SLC6A1,200,0.30748,165,-0.0401,95,-1.0475,84,-1.1474,337,1.35147
ENSG00000196639,HRH1,11,-0.8718,30,0.76158,14,-0.5600,24,0.36692,21,0.10167
ENSG00000197548,ATG7,22,-0.2332,18,-0.5323,22,-0.2580,31,0.38522,34,0.53968
ENSG00000144560,VGLL4,47,0.10859,39,-0.2226,38,-0.2841,50,0.21587,50,0.22472
ENSG00000144559,TAMM41,6,-1.0192,7,-0.8005,10,-0.1883,15,0.51977,19,0.93927
ENSG00000157152,SYN2,205,-1.1574,288,-0.6078,622,0.90143,473,0.24677,366,-0.2057
ENSG00000075975,MKRN2,19,-0.6284,20,-0.6076,25,-0.2121,39,0.58482,39,0.60417
ENSG00000132155,RAF1,26,-0.3080,32,0.06150,24,-0.4988,31,0.01454,46,0.70950
ENSG00000144712,CAND2,11,-0.6848,13,-0.4274,18,0.16919,21,0.38939,20,0.29893
ENSG00000144713,RPL32,1229,1.12608,341,-1.1529,566,-0.3643,457,-0.6819,885,0.46933
ENSG00000144711,IQSEC1,263,-0.0485,193,-0.5731,394,0.81359,212,-0.4174,228,-0.2959
ENSG00000163517,HDAC11,37,-0.1539,32,-0.3902,40,-0.0018,35,-0.2572,58,0.65569
ENSG00000163528,CHCHD4,24,0.40992,15,-0.3322,20,0.08718,16,-0.3088,19,0.03106
ENSG00000170876,TMEM43,19,-0.5713,23,-0.3119,28,0.07427,34,0.39430,31,0.24948
ENSG00000154767,XPC,23,-0.4525,55,1.17697,23,-0.4904,26,-0.2306,25,-0.2662
ENSG00000170860,LSM3,64,-0.0638,37,-0.9461,60,-0.1874,75,0.22733,97,0.71362
ENSG00000131389,SLC6A6,14,0.34359,11,0.01853,10,-0.1767,11,-0.0429,11,-0.1201
ENSG00000154781,CCDC174,17,-0.7132,58,1.54778,23,-0.2386,24,-0.1550,11,-1.3682
ENSG00000225733,FGD5-AS1,109,0.39028,77,-0.2336,73,-0.3503,86,-0.0343,102,0.25746
ENSG00000177463,NR2C2,40,-0.1633,49,0.20394,39,-0.1858,45,0.07254,46,0.10845
ENSG00000131368,MRPS25,46,-0.1386,46,-0.1374,33,-0.7534,75,0.73192,59,0.27938
ENSG00000131381,RBSN,71,0.18565,69,0.12554,65,0.01494,55,-0.2789,61,-0.0818
ENSG00000131375,CAPN7,9,-1.3121,26,0.34359,26,0.41270,15,-0.5185,27,0.43183
ENSG00000131370,SH3BP5,52,-1.0735,111,0.19436,119,0.37219,124,0.39193,82,-0.3411
ENSG00000206562,METTL6,9,-0.8926,20,0.37984,17,0.01995,17,0.07679,18,0.20084
ENSG00000144597,EAF1,19,-0.9225,31,-0.1559,42,0.48423,36,0.12531,35,0.07424
ENSG00000131373,HACL1,8,-0.4884,11,-0.0160,7,-0.8079,16,0.59376,16,0.62730
ENSG00000206560,ANKRD28,40,-0.3015,57,0.31982,44,-0.1559,43,-0.1878,56,0.30181
ENSG00000131386,GALNT15,40,1.41251,15,-0.3747,18,-0.1088,11,-0.8814,12,-0.7552
ENSG00000154813,DPH3,26,-0.2025,30,0.04289,28,-0.0735,29,-0.0155,34,0.24887
ENSG00000154814,OXNAD1,6,-0.7017,22,1.57709,6,-0.8768,9,-0.2094,8,-0.3289
ENSG00000131378,RFTN1,28,-0.5683,36,-0.1686,33,-0.3370,59,0.73280,45,0.22326
ENSG00000154822,PLCL2,16,-1.7349,48,-0.0145,54,0.23269,64,0.51913,56,0.25572
ENSG00000131374,TBC1D5,78,0.23211,77,0.19312,67,-0.0661,53,-0.4349,70,0.03564
ENSG00000182568,SATB1,101,-1.2036,253,0.35112,286,0.66745,183,-0.2239,181,-0.2437
ENSG00000144566,RAB5A,105,-0.1595,110,-0.0812,97,-0.3235,139,0.34182,133,0.25971
ENSG00000114166,KAT2B,84,1.19854,56,0.38713,26,-0.9616,18,-1.4357,49,0.16718
ENSG00000151789,ZNF385D,32,-1.2780,107,0.78758,89,0.49644,46,-0.7016,66,-0.0911
ENSG00000182247,UBE2E2,50,-0.7105,82,0.14735,76,0.01315,102,0.54016,68,-0.1781
ENSG00000170142,UBE2E1,50,-0.0311,31,-0.8134,57,0.23290,53,0.06843,60,0.29509
ENSG00000197885,NKIRAS1,32,-1.0181,55,-0.0996,63,0.16684,81,0.60714,58,-0.0156
ENSG00000174748,RPL15,774,0.31251,314,-1.2037,670,0.05838,648,-0.0059,836,0.45668
ENSG00000174738,NR1D2,41,-0.8519,75,0.14998,64,-0.1445,88,0.42921,80,0.24935
ENSG00000151090,THRB,136,-0.6805,205,0.01987,262,0.53294,186,-0.1517,197,-0.0578
ENSG00000077092,RARB,8,-1.0113,22,0.79115,10,-0.6364,16,0.16319,18,0.42148
ENSG00000077097,TOP2B,103,-0.6894,263,1.00168,136,-0.2481,134,-0.2506,148,-0.0811
ENSG00000151092,NGLY1,9,-1.0035,20,0.21528,11,-0.8029,31,1.04511,20,0.20432
ENSG00000179796,LRRC3B,33,0.36152,28,0.06461,6,-2.3615,6,-2.2827,72,2.04084
ENSG00000033867,SLC4A7,107,0.25241,147,0.85229,96,0.06198,51,-1.0132,63,-0.6525
ENSG00000187118,CMC1,15,-0.1804,9,-1.0043,16,-0.0848,23,0.53008,22,0.44430
ENSG00000163512,AZI2,77,-0.2017,101,0.28166,99,0.27319,70,-0.3733,79,-0.1474
ENSG00000144642,RBMS3,40,1.38513,37,1.19433,8,-1.5234,4,-2.4556,15,-0.4333
ENSG00000163527,STT3B,47,-0.5012,85,0.55691,54,-0.2882,64,0.03698,68,0.14570
ENSG00000144645,OSBPL10,11,-0.6676,16,-0.1029,16,-0.0986,24,0.66973,17,0.03327
ENSG00000152642,GPD1L,37,-0.7179,47,-0.3556,57,-0.0137,78,0.55952,68,0.30549
ENSG00000091317,CMTM6,18,1.04920,15,0.71085,3,-2.0766,9,-0.2340,10,-0.0400
ENSG00000144635,DYNC1LI1,27,-1.5399,89,0.42303,76,0.14676,91,0.46009,67,-0.0976
ENSG00000182973,CNOT10,5,-1.1105,17,0.72976,11,0.02221,11,0.04490,11,-0.0659
ENSG00000170266,GLB1,8,-1.1510,15,-0.1386,11,-0.6305,20,0.35092,29,1.11713
ENSG00000170275,CRTAP,63,0.55361,33,-0.5948,53,0.25452,28,-0.8604,53,0.23803
ENSG00000173705,SUSD5,13,-0.4015,19,0.26262,14,-0.2124,21,0.52136,14,-0.2312
ENSG00000153558,FBXL2,16,-1.5088,33,-0.4112,44,0.08315,66,0.83532,50,0.31140
ENSG00000153560,UBP1,42,-0.5223,71,0.36574,57,-0.0394,62,0.11402,58,0.00368
ENSG00000163539,CLASP2,146,-0.9174,257,0.02462,302,0.36337,262,0.06272,274,0.13872
ENSG00000170248,PDCD6IP,35,-1.2340,92,0.38019,75,0.02190,98,0.49596,72,-0.0673
ENSG00000172995,ARPP21,135,-0.9398,330,0.60872,186,-0.4535,324,0.57426,234,-0.0226
ENSG00000168016,TRANK1,10,-0.4606,29,1.39957,9,-0.7774,11,-0.4158,13,-0.1271
ENSG00000178567,EPM2AIP1,92,-0.3966,142,0.36422,126,0.17379,97,-0.2946,116,0.00673
ENSG00000076242,MLH1,18,-0.0133,13,-0.5884,18,0.04838,21,0.24879,20,0.19214
ENSG00000093167,LRRFIP2,39,-0.2724,76,0.95054,31,-0.6925,50,0.16524,39,-0.2619
ENSG00000144674,GOLGA4,211,-0.5244,641,1.61896,217,-0.5318,195,-0.6552,207,-0.5612
ENSG00000235257,ITGA9-AS1,12,0.51721,11,0.27239,6,-0.7069,6,-0.6743,12,0.49152
ENSG00000144677,CTDSPL,36,0.40049,28,-0.0120,19,-0.6890,20,-0.6132,44,0.78639
ENSG00000136059,VILL,15,0.42702,12,0.02641,10,-0.3010,8,-0.5721,14,0.36087
ENSG00000060971,ACAA1,34,-0.2499,25,-0.7802,35,-0.2102,52,0.52229,52,0.51683
ENSG00000172939,OXSR1,22,-0.7417,57,0.94666,33,-0.1038,32,-0.1301,29,-0.2727
ENSG00000114739,ACVR2B,9,-0.4114,15,0.46054,10,-0.1608,11,-0.0436,12,0.11625
ENSG00000157036,EXOG,11,-0.1315,25,1.40737,6,-1.0656,10,-0.2886,10,-0.2807
ENSG00000114742,WDR48,41,-0.4697,78,0.66892,39,-0.5966,55,0.02943,65,0.31920
ENSG00000114745,GORASP1,26,0.16389,15,-0.8220,15,-0.8280,36,0.72909,33,0.54946
ENSG00000144655,CSRNP1,15,0.44563,6,-1.0956,14,0.37395,7,-0.8816,15,0.49755
ENSG00000144659,SLC25A38,10,-0.8258,13,-0.4330,13,-0.4612,27,0.88737,22,0.52169
ENSG00000168028,RPSA,704,0.90631,287,-0.7049,363,-0.3490,314,-0.5571,544,0.40492
ENSG00000168314,MOBP,375,0.02463,420,0.22804,712,1.55450,77,-2.4989,96,-2.1676
ENSG00000170011,MYRIP,32,-0.9461,62,0.17216,85,0.87450,47,-0.3020,42,-0.4948
ENSG00000114784,EIF1B,98,-0.7548,119,-0.4441,166,0.14589,208,0.54747,174,0.21308
ENSG00000168032,ENTPD3,10,-0.6882,11,-0.5258,18,0.35046,21,0.62585,13,-0.1559
ENSG00000188846,RPL14,501,0.42723,297,-0.4927,392,-0.0167,280,-0.5879,510,0.46166
ENSG00000172888,ZNF621,17,0.70233,17,0.65593,7,-0.9135,7,-0.8687,13,0.17517
ENSG00000168036,CTNNB1,147,-0.3158,155,-0.2228,175,-0.0129,162,-0.1489,244,0.58985
ENSG00000182606,TRAK1,66,0.03113,61,-0.0805,45,-0.6485,68,0.09290,91,0.63570
ENSG00000187094,CCK,552,-0.4577,443,-0.8223,429,-0.9514,1533,1.50182,795,0.17369
ENSG00000114812,VIPR1,13,-0.8075,21,-0.0390,25,0.35945,22,0.07028,23,0.12904
ENSG00000093183,SEC22C,38,-0.1784,53,0.43292,34,-0.4173,39,-0.1093,50,0.30197
ENSG00000008324,SS18L2,21,-0.7850,25,-0.5590,37,0.11817,41,0.33204,47,0.56057
ENSG00000114857,NKTR,98,-0.2717,316,2.17883,41,-1.7900,65,-0.9371,89,-0.4348
ENSG00000114853,ZBTB47,61,0.84475,30,-0.4231,47,0.40905,18,-1.2211,32,-0.2973
ENSG00000010282,HHATL,43,0.67268,32,0.09607,16,-1.0801,20,-0.6803,45,0.76459
ENSG00000181061,HIGD1A,229,-0.1336,155,-0.7822,253,0.04253,307,0.38900,290,0.28539
ENSG00000144647,POMGNT2,24,-0.9773,29,-0.6702,34,-0.4548,70,0.91495,63,0.70514
ENSG00000163788,SNRK,53,-0.2010,62,0.05698,56,-0.1226,57,-0.0961,73,0.36000
