Ensembl ID,Gene,n_PEC_cell_type,PEC_cell_type,Anno_cell_type,Anno_layer_marker,Note,Probesets,Anno_cell_type_obselete,dx_deg,Literature_GWAS_based_hits,BDNF_signaling,Cell_Type_Reference
ENSG00000212907,MT-ND4L,NA,NA,NA,Layer marker,NA,3,NA,NA,NA,NA,NA
ENSG00000198786,MT-ND5,NA,NA,NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000198695,MT-ND6,NA,NA,NA,Layer marker,NA,7,NA,NA,NA,NA,NA
ENSG00000169715,MT1E,4,"Astro, Endo, PC, SMC",NA,NA,NA,5,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000205364,MT1M,4,"Astro, Endo, PC, SMC",NA,NA,NA,2,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000187193,MT1X,4,"Astro, Endo, PC, SMC",NA,NA,NA,4,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000125148,MT2A,5,"Astro, Endo, Oligo, PC, SMC",NA,NA,NA,5,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000256618,MTRNR2L1,2,"Oligo, SMC",NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000269028,MTRNR2L12,1,Endo,NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000180354,MTURN,1,Oligo,NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000092841,MYL6,3,"Endo, PC, SMC",NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000101335,MYL9,4,"Endo, PC, SMC, VLMC",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000090266,NDUFB2,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000147684,NDUFB9,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000100285,NEFH,4,"L2.3.IT, L5.IT, L6.IT, Pvalb",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000277586,NEFL,3,"L2.3.IT, L5.IT, L6.IT",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000104722,NEFM,3,"L2.3.IT, L5.IT, L6.IT",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000260032,NORAD,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000089250,NOS1,4,"Lamp5.Lhx6, Oligo, OPC, Sst",In,NA,SST-interneuron; LAMP5-interneuron,8,In,NA,NA,NA,https://www.science.org/doi/10.1126/sciadv.abn8367?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed ;
ENSG00000148400,NOTCH1,6,"Astro, Endo, Micro, Oligo, OPC, PC",Endo,NA,annotated_Endothelial_in_10x_Probe_Panel,8,Endo,NA,NA,NA,10x_Probe_Panel
ENSG00000183426,NPIPA1,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000171246,NPTX1,5,"L2.3.IT, L5.IT, L6.CT, L6.IT, L6b",Ex,Layer marker,"not really a canonical marker for excitatory neurons, but useful pan-excitatory marker alternative (LIBD-PEC)",8,NA,NA,NA,NA,LIBD_PEC
ENSG00000106236,NPTX2,5,"L2.3.IT, L4.IT, L5.IT, L6.IT, L6b",In,NA,PVALB-interneuron,8,In (EI balance),Dx_DEG_Down,NA,NA,https://pmc.ncbi.nlm.nih.gov/articles/PMC8612534
ENSG00000122585,NPY,3,"Endo, Oligo, Sst",In,NA,SST-associated; LAMP5-interneuron,6,In,NA,NA,NA,https://www.science.org/doi/10.1126/sciadv.abn8367?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed
ENSG00000153234,NR4A2,3,"Endo, L6.IT.Car3, SMC",Ex,NA,annotated_Immune_in_10x_Probe_Panel;  expressed in layer 6 pyramidal excitatory neurons (Nat Neuro 2021),8,Ex,NA,NA,NA,LIBD_PEC
ENSG00000157168,NRG1,2,"L5.IT, L6.IT.Car3",NA,NA,NA,8,NA,NA,Literature,NA,NA
ENSG00000179915,NRXN1,2,"Astro, OPC",NA,NA,NA,3,NA,NA,Literature,NA,NA
ENSG00000148053,NTRK2,1,Astro,NA,NA,BDNF_signaling,8,BDNF,NA,NA,BDNF,NA
ENSG00000183828,NUDT14,4,"Endo, L5.IT, L6.IT, Micro",NA,NA,NA,5,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000176046,NUPR1,5,"Astro, Endo, PC, SMC, VLMC",NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000182379,NXPH4,2,"L6b, Vip",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000198408,OGA,1,L6.IT.Car3,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000116774,OLFML3,5,"Endo, Micro, PC, SMC, VLMC",NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000173391,OLR1,1,Micro,Mic,NA,NA,8,NA,Dx_DEG_Down,NA,NA,LIBD-PEC; https://pubmed.ncbi.nlm.nih.gov/33410555/
ENSG00000141447,OSBPL1A,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000178602,OTOS,2,"Astro, L6b",NA,NA,NA,5,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000169313,P2RY12,1,Micro,Mic,NA,annotated_Microglia-PVM_in_10x_Probe_Panel,8,Mic,Dx_DEG_Down,NA,NA,10x_Probe_Panel
ENSG00000181631,P2RY13,1,Micro,Mic,NA,annotated_Immune_in_10x_Probe_Panel,8,Mic,Dx_DEG_Down,NA,NA,10x_Probe_Panel
ENSG00000160781,PAQR6,4,"Astro, Endo, Oligo, PC",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000183036,PCP4,2,"L5.6.NP, L5.IT",Ex,Layer marker,expressed in layer 5 pyramidal excitatory neurons; subclass-selective (Nat Neuro 2021),7,Ex,NA,NA,NA,LIBD_PEC
ENSG00000160209,PDXK,1,Endo,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000261371,PECAM1,5,"Endo, Immune, Micro, PC, SMC",Endo,NA,annotated_Endothelial_in_10x_Probe_Panel,8,Endo,NA,NA,NA,10x_Probe_Panel
ENSG00000108518,PFN1,4,"Endo, Oligo, PC, SMC",NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000176485,PLAAT3,4,"Astro, Endo, Micro, Oligo",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000166428,PLD4,1,Micro,NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000178209,PLEC,1,Astro,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000123560,PLP1,2,"Endo, Oligo",Oligo,Layer marker,NA,3,Oligo,Dx_DEG_Down,NA,NA,"LIBD-PEC; https://www.biocompare.com/Editorial-Articles/590587-A-Guide-to-Oligodendrocyte-Markers/#:~:text=Oligodendrocyte%20Progenitor%20Cells%20(OPC)%20Markers&text=SOX10%2C%20NKX2.,key%20determinant%20of%20OPC%20fate."
ENSG00000109099,PMP22,7,"Astro, Endo, Oligo, OPC, PC, SMC, VLMC",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000163644,PPM1K,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000101182,PSMA7,1,Endo,NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000100362,PVALB,2,"Chandelier, Pvalb",In,NA,PVALB-interneuron; annoated_Chandelier_in_10x_probe_panel,8,In,NA,NA,NA,10x_Probe_Panel
ENSG00000241945,PWP2,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000099901,RANBP1,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000108551,RASD1,2,"L2.3.IT, L6.IT",NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000113319,RASGRF2,4,"Endo, Oligo, Pvalb, Sst",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000172348,RCAN2,1,SMC,NA,Layer marker,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000189056,RELN,5,"Lamp5, Pax6, Sncg, Sst, Vip",In,NA,LAMP5-interneuron; VIP-interneuron; annoated_Pax6_in_10x_probe_panel,8,In,NA,NA,NA,10x_Probe_Panel
ENSG00000111404,RERGL,2,"PC, SMC",NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000148908,RGS10,2,"Immune, Micro",NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000111913,RIPOR2,2,"Immune, Lamp5.Lhx6",NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000129538,RNASE1,4,"Endo, Oligo, PC, SMC",NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000198963,RORB,4,"Astro, L2.3.IT, L4.IT, L5.IT",Ex,NA,annoated_L4 IT_in_10x_probe_panel; Layer 4/5 excitatory neuron marker; strong subclass and laminar specificity ( Nat Neuro 2021),8,Ex,NA,NA,NA,10x_Probe_Panel
ENSG00000165502,RPL36AL,3,"Endo, PC, SMC",NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000197728,RPS26,3,"Endo, PC, SMC",NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000022277,RTF2,1,Micro,NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000197956,S100A6,4,"Endo, PC, SMC, VLMC",NA,NA,NA,5,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000160307,S100B,4,"Astro, Endo, Oligo, OPC",Ast,NA,"Seems to be enriched in oligo (LIBD-PEC), but known as an Ast marker",8,Ast,NA,NA,NA,"https://www.biocompare.com/Editorial-Articles/595024-A-Guide-to-Glial-Cell-Markers/#:~:text=Additional%20astrocyte%20markers%20with%20notable,channel%20AQP4%2C%20which%20maintains%20water"
ENSG00000155307,SAMSN1,2,"Immune, Micro",Mic,NA,both immune and microglia,8,NA,Dx_DEG_Down,NA,NA,https://pmc.ncbi.nlm.nih.gov/articles/PMC7059012/
ENSG00000104112,SCG3,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000105711,SCN1B,NA,NA,NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000110876,SELPLG,1,Micro,Mic,NA,immune functions,8,Mic,Dx_DEG_Down,NA,NA,LIBD-PEC
ENSG00000196136,SERPINA3,1,Astro,NA,Layer marker,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000149131,SERPING1,2,"PC, VLMC",NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000080546,SESN1,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000141469,SLC14A1,1,Astro,Ast,NA,NA,8,NA,Dx_DEG_Up,NA,NA,LIBD_PEC; https://www.sciencedirect.com/science/article/pii/S0896627322002446
ENSG00000117394,SLC2A1,3,"Endo, PC, SMC",Endo,Layer marker,endothelial development,8,NA,NA,NA,NA,LIBD-PEC; https://pubmed.ncbi.nlm.nih.gov/21194153/
ENSG00000101438,SLC32A1,5,"Lamp5, Lamp5.Lhx6, Pvalb, Sst, Vip",In,NA,GENERAL-interneuron,8,In,NA,NA,NA,LIBD-PEC; https://www.sciencedirect.com/topics/biochemistry-genetics-and-molecular-biology/slc32a1
ENSG00000138821,SLC39A8,2,"Endo, PC",Endo,NA,NA,8,NA,NA,PGC-GWAS,NA,LIBD-PEC; https://www.nature.com/articles/s41598-020-70108-9
ENSG00000070214,SLC44A1,2,"Oligo, OPC",NA,Layer marker,NA,3,NA,NA,NA,NA,NA
ENSG00000170290,SLN,2,"L5.IT, L6.IT",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000170365,SMAD1,1,OPC,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000271824,SMIM32,2,"L6.IT, L6.IT.Car3",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000091482,SMPX,3,"L2.3.IT, L6.IT, L6.IT.Car3",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000143499,SMYD2,1,L5.IT,NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000101298,SNPH,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000112096,SOD2,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000242808,SOX2-OT,3,"Lamp5.Lhx6, Oligo, OPC",NA,Layer marker,NA,3,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000136158,SPRY2,1,Astro,NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000106028,SSBP1,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000157005,SST,3,"Lamp5, Pvalb, Sst",In,NA,SST-interneuron;  https://pmc.ncbi.nlm.nih.gov/articles/PMC3556905/,4,In,Dx_DEG_Down,NA,NA,10x_Probe_Panel
ENSG00000159164,SV2A,NA,NA,NA,NA,Update,8,NA,NA,Literature,NA,NA
ENSG00000177868,SVBP,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000165025,SYK,2,"Immune, Micro",Mic,NA,immune functions,8,Mic,Dx_DEG_Down,NA,NA,LIBD-PEC
ENSG00000143858,SYT2,1,Vip,NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000102362,SYTL4,5,"Astro, Endo, OPC, PC, VLMC",NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000149591,TAGLN,2,"PC, SMC",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000167074,TEF,1,Astro,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000091513,TF,2,"Astro, Oligo",Oligo,NA,NA,5,NA,Dx_DEG_Down,NA,NA,"LIBD-PEC; https://www.biocompare.com/Editorial-Articles/590587-A-Guide-to-Oligodendrocyte-Markers/#:~:text=Oligodendrocyte%20Progenitor%20Cells%20(OPC)%20Markers&text=SOX10%2C%20NKX2.,key%20determinant%20of%20OPC%20fate."
ENSG00000172673,THEMIS,4,"Immune, L5.IT, L6.IT, L6.IT.Car3",Ex,Layer marker,expressed in layer 5/6 pyramidal excitatory neurons; subclass-selective (LIBD-PEC),8,NA,NA,NA,NA,LIBD_PEC; https://www.sciencedirect.com/science/article/pii/S2666979X2400332X ; https://www.science.org/doi/10.1126/sciadv.abn8367?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed
ENSG00000102265,TIMP1,4,"Endo, PC, SMC, VLMC",NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000183160,TMEM119,1,Micro,Mic,NA,Canonical Mic marker,8,Mic,Dx_DEG_Down,NA,NA,LIBD-PEC
ENSG00000164124,TMEM144,2,"Astro, Oligo",Oligo,NA,NA,4,NA,Dx_DEG_Down,NA,NA,LIBD-PEC; https://www.cell.com/cms/10.1016/j.cels.2019.10.007/attachment/3d83087f-54b3-4a0e-8334-8765139787f4/mmc1.pdf
ENSG00000034510,TMSB10,4,"Endo, L5.IT, PC, SMC",NA,Layer marker,NA,3,NA,NA,NA,NA,NA
ENSG00000121858,TNFSF10,4,"Endo, Immune, Micro, PC",NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000061938,TNK2,1,OPC,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000186854,TRABD2A,4,"Endo, L5.IT, L6.IT, L6b",Ex,Layer marker,"expressed in layer 5 pyramidal excitatory neurons; subclass-selective (LIBD-PEC, Nat Neuro 2021)",8,Ex,NA,NA,NA,LIBD_PEC
ENSG00000095970,TREM2,1,Micro,Mic,NA,annotated_Immune_in_10x_Probe_Panel,8,Mic,Dx_DEG_Down,NA,NA,10x_Probe_Panel
ENSG00000157514,TSC22D3,3,"Endo, Oligo, OPC",NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000174521,TTC9B,4,"L2.3.IT, L4.IT, L5.IT, L6.IT",NA,Layer marker,NA,5,NA,NA,NA,NA,NA
ENSG00000265972,TXNIP,8,"Endo, Immune, Micro, Oligo, OPC, PC, SMC, VLMC",NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000011600,TYROBP,2,"Immune, Micro",Mic,NA,both immune and microglia,4,NA,Dx_DEG_Down,NA,NA,LIBD-PEC ; https://pmc.ncbi.nlm.nih.gov/articles/PMC7059012/
ENSG00000174607,UGT8,2,"Oligo, OPC",Oligo,NA,NA,5,NA,Dx_DEG_Down,NA,NA,LIBD-PEC; https://www.sciencedirect.com/science/article/pii/S0753332222001962
ENSG00000169021,UQCRFS1,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000124422,USP22,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000139190,VAMP1,NA,NA,NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000128564,VGF,2,"L2.3.IT, L6.IT",NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000026025,VIM,6,"Astro, Endo, Immune, PC, SMC, VLMC",Ast,NA,"Seems to be enriched in endothelial cells (LIBD-PEC), but known as an Ast marker",8,Ast,NA,NA,NA,"https://www.biocompare.com/Editorial-Articles/595024-A-Guide-to-Glial-Cell-Markers/#:~:text=Additional%20astrocyte%20markers%20with%20notable,channel%20AQP4%2C%20which%20maintains%20water"
ENSG00000146469,VIP,2,"Sncg, Vip",In,NA,VIP-interneuron,8,In,NA,NA,NA,10x_Probe_Panel
ENSG00000166435,XRRA1,1,Oligo,NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000128245,YWHAH,3,"L2.3.IT, L5.IT, L6.IT",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000109906,ZBTB16,1,Endo,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000173258,ZNF483,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000170396,ZNF804A,3,"L6.IT.Car3, Pvalb, Vip",NA,NA,NA,8,NA,NA,PGC-GWAS,NA,NA
ENSG00000188372,ZP3,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
