Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to9,Feature log2 fold change topic 7to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000058668,ATP2B4,144,-0.4448,152,-0.4288,84,-1.3389,376,1.52985,128,-0.6166,137,-0.5630
ENSG00000182004,SNRPE,55,-0.4547,101,0.64365,91,0.36512,76,0.06733,38,-1.0232,39,-1.0361
ENSG00000143850,PLEKHA6,15,-2.0014,27,-1.3080,52,-0.1573,109,1.42146,55,-0.0689,54,-0.1177
ENSG00000158615,PPP1R15B,24,-0.2236,39,0.73661,24,-0.2348,25,-0.1215,30,0.14494,16,-0.8552
ENSG00000198625,MDM4,128,1.91795,41,-0.0162,9,-2.3567,28,-0.7020,76,0.98613,34,-0.3433
ENSG00000170382,LRRN2,15,-0.9269,21,-0.5053,17,-0.7776,47,1.17598,36,0.45475,19,-0.5617
ENSG00000163531,NFASC,267,1.48375,48,-1.4141,76,-0.6097,133,0.38652,192,0.90943,79,-0.5403
ENSG00000184144,CNTN2,637,3.40969,52,-1.2851,59,-0.9935,61,-1.0180,74,-0.5820,63,-0.8732
ENSG00000117222,RBBP5,18,-0.7649,26,-0.3194,21,-0.6341,49,1.01038,31,0.02012,25,-0.3196
ENSG00000133059,DSTYK,83,0.13238,52,-0.7002,72,-0.1078,104,0.63043,99,0.41282,62,-0.3668
ENSG00000133069,TMCC2,83,0.75014,59,0.23027,67,0.43706,24,-1.3650,39,-0.4547,61,0.28939
ENSG00000117266,CDK18,207,3.08738,19,-1.2750,29,-0.4985,21,-1.0757,23,-0.8059,31,-0.3818
ENSG00000174514,MFSD4A,18,-2.4260,56,-0.8968,114,0.37050,172,1.36919,35,-1.4731,73,-0.3990
ENSG00000069275,NUCKS1,1757,1.28587,670,-0.3474,456,-0.9423,857,0.11663,968,0.28999,732,-0.1671
ENSG00000117280,RAB29,59,0.92438,58,1.21190,16,-1.1780,17,-1.1881,28,-0.2786,27,-0.3139
ENSG00000133065,SLC41A1,34,0.44575,47,1.35960,21,-0.3098,18,-0.5722,11,-1.2363,10,-1.4192
ENSG00000286619,AC119673.2,33,0.15577,12,-1.5258,23,-0.4823,39,0.47869,108,2.18885,12,-1.4355
ENSG00000266028,SRGAP2,33,-0.5233,34,-0.5664,40,-0.2803,56,0.37300,59,0.36851,59,0.40024
ENSG00000266094,RASSF5,0,-4.7072,6,-2.0341,28,0.65627,24,0.37558,37,1.04217,26,0.51290
ENSG00000162889,MAPKAPK2,48,1.45459,36,1.30648,5,-2.0406,8,-1.5023,4,-2.1619,21,0.10582
ENSG00000123836,PFKFB2,77,0.90045,77,1.23649,18,-1.4341,33,-0.5170,35,-0.3247,23,-1.0247
ENSG00000180667,YOD1,16,0.21789,8,-0.8668,18,0.45457,16,0.33692,8,-0.7662,15,0.20846
ENSG00000196352,CD55,77,2.00963,13,-0.9697,33,0.58262,23,-0.0533,14,-0.7372,8,-1.6160
ENSG00000117335,CD46,72,0.85353,32,-0.5316,43,0.02235,58,0.65373,34,-0.3350,23,-0.9902
ENSG00000203709,MIR29B2CHG,6,-1.6657,9,-1.1829,7,-1.5671,25,0.62117,73,2.38020,13,-0.5426
ENSG00000076356,PLXNA2,29,-1.2705,54,-0.3837,39,-0.8685,104,0.94785,124,1.01223,46,-0.6198
ENSG00000008118,CAMK1G,5,-3.0624,11,-2.0924,55,0.62058,56,0.78416,61,0.74281,43,0.18101
ENSG00000117597,UTP25,34,1.04358,9,-1.2123,16,-0.1118,17,-0.0882,35,1.09277,17,-0.0797
ENSG00000143469,SYT14,57,1.15345,19,-0.6846,14,-1.0739,38,0.60765,42,0.64751,19,-0.6684
ENSG00000082497,SERTAD4,10,-1.1417,9,-1.5003,18,-0.2813,43,1.64565,23,0.16276,14,-0.6821
ENSG00000143473,KCNH1,0,-5.3510,11,-1.8510,53,0.80210,49,0.72558,51,0.65894,35,0.07267
ENSG00000117625,RCOR3,42,-0.1528,32,-0.6529,53,0.22707,49,0.07726,112,1.44936,28,-0.8360
ENSG00000082512,TRAF5,1,-3.4404,11,-0.5833,15,-0.0006,23,0.87203,23,0.67296,12,-0.3259
ENSG00000170385,SLC30A1,11,-1.7779,70,1.39871,21,-0.9558,31,-0.3437,26,-0.5577,33,-0.2178
ENSG00000123684,LPGAT1,97,0.35012,42,-1.0901,86,0.16449,93,0.33771,111,0.56879,76,-0.0442
ENSG00000066027,PPP2R5A,61,0.42794,70,0.81997,35,-0.4901,36,-0.4722,36,-0.4214,39,-0.3134
ENSG00000117691,NENF,383,1.38568,207,0.43515,156,-0.1118,130,-0.4596,66,-1.4010,112,-0.6531
ENSG00000117697,NSL1,97,1.41312,30,-0.5589,34,-0.3463,40,-0.0525,52,0.36955,34,-0.3418
ENSG00000203705,TATDN3,34,0.55037,17,-0.5669,18,-0.4403,36,0.82842,24,-0.0166,16,-0.6067
ENSG00000162769,FLVCR1,23,0.07522,17,-0.4909,21,-0.0524,25,0.21071,42,1.02551,16,-0.4897
ENSG00000174606,ANGEL2,44,0.57104,20,-0.7434,23,-0.4872,46,0.86532,25,-0.3216,26,-0.2439
ENSG00000136643,RPS6KC1,31,-0.1484,33,-0.0837,28,-0.3144,52,0.85391,22,-0.6984,24,-0.5889
ENSG00000117707,PROX1,81,2.67854,27,0.83890,2,-3.2324,12,-0.7593,2,-2.7510,6,-1.6502
ENSG00000143499,SMYD2,6,-3.8720,46,-1.0844,171,1.34256,78,-0.1593,130,0.69848,83,-0.0380
ENSG00000152104,PTPN14,20,-0.1168,22,0.07583,12,-0.9392,20,-0.1760,41,1.03514,24,0.16683
ENSG00000136636,KCTD3,97,1.65075,40,0.20292,11,-1.8639,36,-0.0191,47,0.40008,20,-0.9478
ENSG00000196482,ESRRG,2,-2.9115,10,-1.0574,32,0.91987,16,-0.3164,36,1.00139,25,0.41364
ENSG00000092978,GPATCH2,31,0.30543,3,-3.4206,22,-0.2170,40,0.95242,67,1.61274,17,-0.6600
ENSG00000067533,RRP15,52,0.63524,27,-0.4417,30,-0.2723,33,-0.0752,43,0.33939,41,0.26378
ENSG00000143353,LYPLAL1,32,0.13548,33,0.24349,24,-0.3529,33,0.24254,27,-0.1410,23,-0.3968
ENSG00000136628,EPRS,131,0.35776,94,-0.2046,115,0.15910,103,-0.0290,182,0.89531,61,-0.8824
ENSG00000067704,IARS2,58,0.29592,51,0.11202,41,-0.2713,38,-0.4531,48,-0.0110,62,0.44535
ENSG00000118873,RAB3GAP2,73,-0.2513,62,-0.5905,86,0.00402,96,0.20354,145,0.84305,84,-0.0366
ENSG00000116141,MARK1,11,-1.8086,18,-1.2847,48,0.43535,55,0.80710,57,0.68515,32,-0.2313
ENSG00000162817,C1orf115,33,-2.0794,79,-0.9354,170,0.42968,221,1.07753,83,-0.7380,123,-0.1397
ENSG00000117791,MARC2,6,-2.0067,37,0.99972,26,0.19966,20,-0.2362,26,0.21134,10,-1.2953
ENSG00000154305,MIA3,105,0.31714,70,-0.3773,83,-0.0633,87,0.02193,181,1.21725,55,-0.7537
ENSG00000186063,AIDA,97,0.51559,67,-0.0939,76,0.14062,51,-0.5952,55,-0.3867,93,0.50089
ENSG00000162819,BROX,69,0.72612,56,0.51300,34,-0.4018,39,-0.2157,31,-0.5051,34,-0.3922
ENSG00000143502,SUSD4,5,-2.9318,29,-0.6235,62,0.73315,53,0.49370,57,0.50502,31,-0.4572
ENSG00000162909,CAPN2,64,0.07064,114,1.38241,44,-0.5590,41,-0.7278,32,-0.9782,43,-0.5979
ENSG00000143514,TP53BP2,58,-0.5420,232,2.82959,22,-2.0624,26,-1.9520,43,-0.9983,34,-1.4216
ENSG00000143756,FBXO28,21,-0.7454,27,-0.4338,55,0.86172,44,0.49556,21,-0.7088,23,-0.6697
ENSG00000143753,DEGS1,58,0.23985,40,-0.4210,53,0.10789,65,0.52403,31,-0.7152,45,-0.1813
ENSG00000143748,NVL,29,0.87198,7,-1.3947,15,-0.1724,18,0.10401,43,1.55333,12,-0.5559
ENSG00000143771,CNIH4,14,-1.0576,25,-0.2231,30,0.07848,38,0.59380,27,-0.0677,25,-0.2131
ENSG00000162923,WDR26,78,0.21234,62,-0.1851,58,-0.2629,81,0.33499,66,-0.0505,65,-0.0873
ENSG00000143786,CNIH3,4,-2.5598,10,-1.6745,40,0.78556,25,-0.0570,42,0.74640,41,0.80478
ENSG00000154380,ENAH,380,1.66707,157,0.20744,79,-0.9600,92,-0.7648,179,0.37462,115,-0.3529
ENSG00000143742,SRP9,200,-0.1379,286,0.54445,279,0.43162,182,-0.3418,126,-0.8497,168,-0.4480
ENSG00000143819,EPHX1,47,-0.1431,119,1.99259,22,-1.3804,34,-0.7411,12,-2.1818,30,-0.9046
ENSG00000196187,TMEM63A,261,4.82200,17,-0.9948,0,-5.2247,4,-2.9967,11,-1.4605,10,-1.6650
ENSG00000143811,PYCR2,49,0.15568,64,0.73375,46,0.02723,46,0.02977,24,-0.9263,22,-1.1520
ENSG00000143751,SDE2,32,0.97772,12,-0.6119,10,-0.9028,19,0.18503,26,0.62706,18,0.08032
ENSG00000163041,H3F3A,343,0.46233,406,0.96992,230,-0.1868,215,-0.3338,135,-0.9817,140,-0.9970
ENSG00000182827,ACBD3,122,0.96693,49,-0.5694,58,-0.2486,71,0.12381,109,0.79002,48,-0.5616
ENSG00000143799,PARP1,286,1.10610,143,-0.0327,130,-0.1979,134,-0.1526,166,0.20400,102,-0.5994
ENSG00000203685,STUM,38,-0.4606,51,0.00824,13,-2.1100,78,0.90785,28,-0.8874,64,0.41976
ENSG00000143772,ITPKB,175,1.18605,203,2.14677,14,-2.7270,21,-2.3084,55,-0.6738,44,-1.0845
ENSG00000143801,PSEN2,4,-2.1727,13,-0.4310,26,0.80234,25,0.84743,4,-1.8869,12,-0.4918
ENSG00000163050,COQ8A,34,0.19179,14,-1.3756,32,0.08471,51,1.08859,23,-0.4408,25,-0.3027
ENSG00000143776,CDC42BPA,363,1.03678,134,-0.6604,157,-0.3405,194,0.01691,415,1.26822,116,-0.8414
ENSG00000143740,SNAP47,13,-1.6907,42,0.02547,47,0.22377,61,0.82369,21,-1.0096,28,-0.6123
ENSG00000143761,ARF1,124,-1.0272,195,-0.4073,308,0.41877,295,0.38517,200,-0.3033,253,0.07060
ENSG00000143793,C1orf35,31,0.30369,18,-0.5884,18,-0.5226,38,0.81887,32,0.34916,18,-0.5337
ENSG00000162910,MRPL55,53,-0.6420,70,-0.2562,128,0.83138,80,-0.0196,75,-0.1190,68,-0.3018
ENSG00000143774,GUK1,335,-0.8841,857,0.75338,743,0.39321,446,-0.5311,186,-1.7606,614,0.05175
ENSG00000154370,TRIM11,9,-0.7959,5,-1.8925,15,-0.1243,31,1.42476,17,0.09869,15,-0.1597
ENSG00000168159,RNF187,164,-1.1361,265,-0.4799,473,0.57195,382,0.20405,375,0.13420,351,0.03483
ENSG00000116574,RHOU,293,3.58643,50,0.16225,10,-2.3862,19,-1.5332,10,-2.1887,13,-2.0307
ENSG00000168118,RAB4A,42,-0.9741,96,0.38029,103,0.46735,61,-0.4916,54,-0.6048,90,0.21610
ENSG00000154429,CCSAP,109,0.08504,52,-1.2212,99,-0.0801,161,0.92670,114,0.15208,92,-0.2003
ENSG00000069248,NUP133,36,0.32375,30,0.01412,22,-0.5092,45,0.86567,30,0.01918,10,-1.6332
ENSG00000135776,ABCB10,15,-0.2831,21,0.30019,8,-1.1659,29,1.08386,14,-0.3091,8,-1.2972
ENSG00000135801,TAF5L,21,0.29776,24,0.58321,12,-0.5949,20,0.20548,13,-0.4142,11,-0.7243
ENSG00000143641,GALNT2,22,-0.8305,52,0.65372,33,-0.2158,34,-0.2013,48,0.39419,29,-0.4336
ENSG00000177614,PGBD5,50,-1.0649,45,-1.3890,101,0.01658,175,1.21486,103,0.04664,93,-0.1232
ENSG00000135775,COG2,18,-0.5370,27,0.05483,19,-0.5486,33,0.46030,36,0.52945,21,-0.3807
ENSG00000135744,AGT,232,-0.2005,774,3.04709,33,-3.2262,79,-2.0334,75,-1.8930,115,-1.3471
ENSG00000119280,C1orf198,162,1.88975,112,1.72147,21,-1.4842,21,-1.5974,12,-2.1936,12,-2.3033
ENSG00000173409,ARV1,14,-1.1484,24,-0.4387,48,0.83876,37,0.39182,31,0.04873,20,-0.7012
ENSG00000116906,GNPAT,42,-0.0392,28,-0.7838,64,0.70606,59,0.62405,37,-0.2647,26,-0.8355
ENSG00000116903,EXOC8,16,-0.1881,19,0.11488,13,-0.4648,21,0.35344,24,0.49527,13,-0.5248
ENSG00000135766,EGLN1,87,0.18201,102,0.55546,67,-0.2511,82,0.12379,32,-1.3525,62,-0.3823
ENSG00000116918,TSNAX,55,-0.7090,81,-0.1345,118,0.53540,112,0.49789,100,0.21882,39,-1.3249
ENSG00000116991,SIPA1L2,16,-1.7474,57,0.18348,59,0.24448,44,-0.2978,74,0.57637,54,0.08300
ENSG00000135778,NTPCR,69,-0.2061,76,-0.0612,128,0.87765,57,-0.5853,54,-0.5945,84,0.11005
ENSG00000135749,PCNX2,26,-1.6093,40,-1.1447,84,0.15842,102,0.56609,136,0.92474,83,0.13398
ENSG00000135750,KCNK1,24,-2.1303,42,-1.4977,119,0.30142,191,1.44578,99,-0.0136,71,-0.5823
ENSG00000183780,SLC35F3,3,-2.8151,13,-0.8736,20,-0.1409,35,1.08002,30,0.53291,19,-0.1786
ENSG00000168275,COA6,14,-1.8502,53,0.12420,78,0.80459,58,0.27682,22,-1.2510,38,-0.4779
ENSG00000059588,TARBP1,25,-1.0702,21,-1.4697,15,-1.8959,108,1.77128,115,1.36038,24,-1.2292
ENSG00000168264,IRF2BP2,151,0.95790,106,0.46312,57,-0.6334,74,-0.2390,68,-0.3293,67,-0.3806
ENSG00000173726,TOMM20,194,-0.9003,218,-0.8440,414,0.30694,537,0.91525,271,-0.3866,308,-0.2079
ENSG00000054267,ARID4B,474,1.71785,134,-0.4500,73,-1.3737,152,-0.2259,353,1.18500,112,-0.7104
ENSG00000152904,GGPS1,34,-0.0827,42,0.32140,49,0.56730,33,-0.1313,24,-0.6337,23,-0.6998
ENSG00000162885,B3GALNT2,12,-0.5720,19,0.05221,14,-0.3677,16,-0.2648,37,1.15400,18,-0.0080
ENSG00000168243,GNG4,5,-2.4004,39,0.62669,29,0.04256,28,-0.0007,20,-0.5620,28,-0.0219
ENSG00000143669,LYST,71,1.15743,16,-1.3743,25,-0.5331,40,0.27503,105,1.86290,12,-1.6441
ENSG00000077585,GPR137B,33,0.32897,45,1.08874,14,-1.0809,21,-0.4100,19,-0.4983,22,-0.3545
ENSG00000086619,ERO1B,20,0.04981,21,0.19018,14,-0.5492,25,0.49365,27,0.56405,9,-1.1952
ENSG00000116977,LGALS8,23,-1.2077,31,-0.8731,71,0.57195,68,0.55852,60,0.23404,47,-0.1454
ENSG00000077522,ACTN2,59,-0.4416,33,-1.5106,65,-0.3213,178,1.96341,36,-1.1954,43,-0.9954
ENSG00000116984,MTR,69,1.04538,30,-0.3131,13,-1.6015,39,0.12715,90,1.51286,21,-0.9171
ENSG00000198626,RYR2,67,-1.2684,31,-2.6407,102,-0.6976,290,1.39920,404,1.60785,110,-0.5759
ENSG00000133019,CHRM3,32,-1.2103,13,-2.7221,55,-0.4599,167,2.04250,40,-0.8857,70,-0.0527
ENSG00000155816,FMN2,55,-0.5008,117,0.89976,55,-0.5601,59,-0.4728,99,0.41890,62,-0.3614
ENSG00000182901,RGS7,16,-2.3732,32,-1.5347,109,0.60448,117,0.86412,82,0.09266,84,0.13827
ENSG00000091483,FH,19,-1.3389,47,0.07561,78,0.99075,50,0.18810,26,-0.8577,27,-0.8812
ENSG00000054277,OPN3,9,-2.5929,39,-0.4567,68,0.54904,73,0.76810,40,-0.3426,40,-0.3657
ENSG00000203668,CHML,26,-0.9528,33,-0.7120,26,-1.0535,78,0.96232,71,0.57244,55,0.18588
ENSG00000143702,CEP170,273,1.11197,101,-0.5777,109,-0.3984,167,0.37277,179,0.40440,93,-0.6565
ENSG00000054282,SDCCAG8,207,0.97141,135,0.33951,61,-1.0266,70,-0.8709,175,0.68964,123,0.14041
ENSG00000117020,AKT3,141,-0.3231,100,-0.9933,166,-0.0812,228,0.54665,262,0.65412,185,0.10701
ENSG00000179456,ZBTB18,62,-1.7855,146,-0.6070,239,0.28058,298,0.78908,182,-0.1759,195,-0.0774
ENSG00000035687,ADSS,69,-0.1203,45,-0.9208,93,0.37048,97,0.51711,67,-0.1705,76,0.03404
ENSG00000203667,COX20,98,-0.1514,151,0.69234,163,0.74170,54,-1.2178,58,-0.9495,99,-0.1430
ENSG00000153187,HNRNPU,493,0.65017,319,-0.0582,227,-0.6222,378,0.27782,380,0.23128,263,-0.3776
ENSG00000185420,SMYD3,7,-1.2340,19,0.37549,33,1.37568,11,-0.5524,14,-0.1774,5,-1.6569
ENSG00000162852,CNST,26,-1.4544,31,-1.3400,78,0.22940,119,1.20618,66,-0.0462,60,-0.2268
ENSG00000143653,SCCPDH,65,0.04965,58,-0.1654,82,0.46204,73,0.30273,58,-0.1159,38,-0.8458
ENSG00000153207,AHCTF1,86,0.75147,51,-0.1045,24,-1.3132,69,0.50631,87,0.77160,32,-0.8408
ENSG00000175137,SH3BP5L,10,-0.5369,11,-0.5091,12,-0.4030,19,0.50196,15,-0.0422,20,0.47987
ENSG00000171161,ZNF672,28,0.74270,23,0.51662,23,0.46435,14,-0.4113,10,-0.8657,8,-1.1844
ENSG00000171163,ZNF692,13,-0.3134,14,-0.1434,12,-0.4342,14,-0.2359,42,1.61121,12,-0.3814
ENSG00000035115,SH3YL1,38,-0.0315,37,-0.0696,33,-0.2679,51,0.53235,50,0.39338,24,-0.8025
ENSG00000143727,ACP1,41,-0.7202,55,-0.3323,104,0.84437,70,0.13300,39,-0.7899,61,-0.1080
ENSG00000151353,TMEM18,29,-0.0346,28,-0.1139,29,-0.0171,42,0.68440,40,0.45792,10,-1.6955
ENSG00000186487,MYT1L,133,-1.2690,152,-1.2349,219,-0.5666,528,1.18024,370,0.29737,349,0.22822
ENSG00000032389,EIPR1,10,-2.1861,41,-0.1767,64,0.63724,66,0.79142,17,-1.4899,32,-0.5772
ENSG00000171853,TRAPPC12,25,-0.8356,44,0.02415,47,0.15974,60,0.65934,25,-0.8366,32,-0.5195
ENSG00000182551,ADI1,59,0.20775,104,1.60022,37,-0.5356,29,-1.0321,17,-1.6773,35,-0.6462
ENSG00000171865,RNASEH1,35,0.05687,21,-0.8831,37,0.17481,48,0.70666,31,-0.1388,30,-0.2062
ENSG00000171863,RPS7,367,-0.2322,640,0.85358,565,0.50507,285,-0.7303,84,-2.4394,376,-0.2103
ENSG00000232044,SILC1,132,2.82798,22,-0.4068,13,-1.1917,15,-1.0546,34,0.31342,14,-1.0786
ENSG00000151692,RNF144A,85,0.72563,22,-1.5556,42,-0.4034,70,0.53599,84,0.70850,58,0.14354
ENSG00000115738,ID2,182,-0.4636,464,1.42653,167,-0.6461,198,-0.4020,150,-0.7566,147,-0.8517
ENSG00000134313,KIDINS220,235,0.48259,112,-0.7888,134,-0.4328,217,0.44266,284,0.79511,155,-0.1978
ENSG00000143797,MBOAT2,150,0.93987,109,0.51452,34,-1.4586,85,0.03415,102,0.31375,53,-0.7678
ENSG00000151693,ASAP2,47,-0.3650,66,0.19555,50,-0.2924,81,0.62076,50,-0.2794,39,-0.7109
ENSG00000119185,ITGB1BP1,66,-0.7883,83,-0.5077,199,1.10330,117,0.11833,67,-0.7658,94,-0.2603
ENSG00000119203,CPSF3,26,0.29427,17,-0.4646,33,0.73727,24,0.18750,13,-0.7829,17,-0.4234
ENSG00000134330,IAH1,27,-0.6989,44,0.04088,73,0.95898,49,0.25661,23,-0.9865,21,-1.1438
ENSG00000151694,ADAM17,58,0.95853,23,-0.6057,10,-1.7755,44,0.64533,63,1.11949,20,-0.7339
ENSG00000134308,YWHAQ,327,0.14353,307,0.05298,351,0.28254,363,0.38651,114,-1.4621,216,-0.5431
ENSG00000115756,HPCAL1,126,-0.3456,145,-0.1513,26,-2.7984,372,2.11839,14,-3.5299,71,-1.2977
ENSG00000115758,ODC1,16,-0.9853,46,0.89197,41,0.57486,21,-0.6162,16,-0.9326,21,-0.5481
ENSG00000115761,NOL10,45,1.33064,14,-0.6280,17,-0.2171,18,-0.2075,34,0.85581,15,-0.4933
ENSG00000143870,PDIA6,79,-0.0037,114,0.74567,68,-0.2762,73,-0.1730,68,-0.2450,56,-0.5917
ENSG00000162975,KCNF1,25,-1.9514,42,-1.3623,96,0.07591,169,1.33808,66,-0.5135,94,0.04420
ENSG00000134318,ROCK2,271,-0.1984,148,-1.2785,225,-0.5252,475,0.91536,677,1.30551,211,-0.6321
ENSG00000196208,GREB1,21,0.25502,11,-0.8098,23,0.44476,16,-0.2240,32,0.95819,17,-0.1109
ENSG00000169006,NTSR2,28,-0.3558,81,1.93353,10,-2.0165,22,-0.8990,17,-1.1514,29,-0.3516
ENSG00000134324,LPIN1,81,-0.0485,110,0.55460,61,-0.5362,87,0.07316,107,0.39024,52,-0.7967
ENSG00000071575,TRIB2,12,-1.4464,46,0.81338,20,-0.7371,35,0.23729,16,-1.0146,31,-0.0064
ENSG00000162981,LRATD1,19,-2.0127,39,-1.1395,119,0.87918,112,0.87411,69,-0.1021,53,-0.5486
ENSG00000151779,NBAS,29,-0.6643,44,-0.0578,50,0.15954,58,0.50356,33,-0.4904,38,-0.3101
ENSG00000079785,DDX1,103,-0.6661,118,-0.5369,239,0.74489,177,0.20820,178,0.18341,130,-0.3409
ENSG00000197872,FAM49A,53,-1.7053,95,-0.9688,181,0.17492,267,1.04575,167,0.03822,147,-0.1789
ENSG00000163032,VSNL1,145,-3.4021,691,-1.2676,2448,1.00860,2044,0.75114,1069,-0.4433,1372,-0.0611
ENSG00000163029,SMC6,85,1.32731,23,-0.8726,17,-1.2997,37,-0.0540,112,1.83753,22,-0.8996
ENSG00000240857,RDH14,22,-0.2830,11,-1.5416,35,0.48554,42,0.90283,45,0.83205,14,-1.0926
ENSG00000068697,LAPTM4A,77,-0.3073,197,1.70698,62,-0.6978,62,-0.7446,35,-1.4886,58,-0.7949
ENSG00000055917,PUM2,108,-0.2144,125,0.02598,114,-0.1448,138,0.22284,96,-0.3928,130,0.09432
ENSG00000143878,RHOB,334,1.10062,241,0.71003,111,-0.7130,147,-0.2776,91,-0.9611,117,-0.6226
ENSG00000173960,UBXN2A,48,1.01907,31,0.41184,17,-0.6427,16,-0.8627,27,0.12114,27,0.12223
ENSG00000119782,FKBP1B,19,-1.4478,21,-1.4921,90,1.07582,72,0.75621,43,-0.2342,40,-0.3789
ENSG00000115128,SF3B6,88,0.29892,94,0.49581,87,0.31334,69,-0.1145,20,-1.9195,53,-0.5289
ENSG00000219626,FAM228B,67,0.72527,51,0.37238,31,-0.5105,39,-0.1779,67,0.72504,22,-1.0772
ENSG00000198399,ITSN2,199,0.83782,43,-1.7132,73,-0.7865,147,0.43316,294,1.51834,104,-0.2141
ENSG00000084676,NCOA1,164,0.02849,189,0.31516,113,-0.5941,174,0.15161,183,0.19927,135,-0.2935
ENSG00000184924,PTRHD1,20,-0.8722,52,0.79573,51,0.67058,25,-0.5948,7,-2.2836,31,-0.2317
ENSG00000138031,ADCY3,43,-0.0784,49,0.15653,53,0.29443,51,0.26183,36,-0.3530,27,-0.8339
ENSG00000115137,DNAJC27,22,-0.2990,20,-0.5136,28,0.05508,28,0.10545,32,0.25439,34,0.39377
ENSG00000084710,EFR3B,22,-1.5723,56,-0.1975,91,0.69531,55,-0.2118,76,0.33192,65,0.07815
ENSG00000119772,DNMT3A,44,0.99832,14,-0.9086,9,-1.5889,27,0.22212,58,1.47729,22,-0.1666
ENSG00000138101,DTNB,27,-0.8834,29,-0.9103,54,0.15158,68,0.67205,72,0.61037,45,-0.1595
ENSG00000143970,ASXL2,58,1.15759,28,-0.0378,18,-0.7712,32,0.22928,30,0.09668,19,-0.6676
ENSG00000084731,KIF3C,83,-1.6124,146,-0.8974,321,0.50868,294,0.39646,300,0.34765,274,0.22234
ENSG00000084733,RAB10,84,-0.3978,134,0.42919,124,0.24054,124,0.27134,50,-1.1882,71,-0.7049
ENSG00000157833,GAREM2,23,-0.0078,51,1.81614,10,-1.3690,9,-1.6046,29,0.34356,14,-0.7999
ENSG00000084754,HADHA,154,1.06779,88,0.18723,76,-0.0930,59,-0.5578,75,-0.1056,69,-0.2451
ENSG00000138029,HADHB,113,0.20035,214,1.80117,72,-0.5238,53,-1.1132,16,-2.7037,58,-0.8699
ENSG00000138018,SELENOI,30,-1.1870,41,-0.8416,64,-0.0665,110,1.07432,72,0.13445,56,-0.2819
ENSG00000171303,KCNK3,4,-1.9646,16,0.05397,20,0.37915,17,0.13659,16,-0.0300,16,-0.0298
ENSG00000213699,SLC35F6,20,-0.2296,23,0.02767,20,-0.2413,25,0.17799,20,-0.1877,25,0.15349
ENSG00000157851,DPYSL5,136,2.22867,26,-0.6594,7,-2.6226,36,-0.0807,30,-0.3656,43,0.22942
ENSG00000084764,MAPRE3,58,-1.2603,67,-1.2113,179,0.52425,193,0.75599,141,0.08283,133,-0.0047
ENSG00000119777,TMEM214,23,0.26328,27,0.67976,20,0.06922,10,-1.1067,24,0.31502,17,-0.2442
ENSG00000228474,OST4,87,-0.2674,172,1.08784,125,0.33671,55,-1.1115,28,-1.9483,97,-0.1052
ENSG00000138030,KHK,9,-0.7054,12,-0.3006,17,0.24300,17,0.30016,17,0.26203,14,-0.1411
ENSG00000138028,CGREF1,6,-2.6830,34,-0.2699,58,0.71034,50,0.49806,22,-0.8756,36,-0.1179
ENSG00000138073,PREB,23,-0.3007,31,0.16306,23,-0.3540,36,0.52299,11,-1.3931,28,0.00204
ENSG00000138074,SLC5A6,22,0.08363,18,-0.3218,14,-0.6753,30,0.70214,21,-0.0259,20,-0.1060
ENSG00000138085,ATRAID,41,0.15939,69,1.37293,35,-0.1097,28,-0.5101,15,-1.3754,14,-1.5336
ENSG00000115194,SLC30A3,1,-4.9051,8,-3.0792,95,1.09431,60,0.26959,99,1.02308,69,0.47237
ENSG00000115204,MPV17,19,-0.8153,36,0.19735,49,0.72975,29,-0.2409,21,-0.7056,30,-0.1524
ENSG00000115207,GTF3C2,20,0.23609,15,-0.2804,27,0.78361,17,-0.0314,13,-0.4562,13,-0.5020
ENSG00000115211,EIF2B4,56,0.64112,30,-0.3690,23,-0.7861,40,0.13872,77,1.18415,28,-0.4580
ENSG00000115234,SNX17,66,-0.2072,57,-0.4986,102,0.55352,92,0.40928,54,-0.4955,64,-0.2759
ENSG00000115241,PPM1G,69,0.09680,49,-0.5092,55,-0.2832,79,0.37520,86,0.44302,66,0.02054
ENSG00000115216,NRBP1,24,-1.4948,48,-0.5217,86,0.53088,86,0.58990,77,0.28982,47,-0.5250
ENSG00000138002,IFT172,15,-0.3420,13,-0.6659,23,0.29823,26,0.61553,17,-0.1695,17,-0.1892
ENSG00000115226,FNDC4,49,-0.6259,73,-0.0113,101,0.58364,61,-0.3234,67,-0.1395,78,0.12095
ENSG00000243943,ZNF512,34,-0.2869,30,-0.5730,54,0.50877,48,0.31973,43,0.08425,35,-0.2452
ENSG00000198522,GPN1,9,-0.9148,12,-0.6275,22,0.40332,21,0.38288,18,0.06482,18,0.11025
ENSG00000119760,SUPT7L,26,-0.7908,28,-0.7732,47,0.17107,67,0.91806,52,0.30494,30,-0.6126
ENSG00000163798,SLC4A1AP,72,-0.2442,54,-0.7814,112,0.50449,106,0.45767,104,0.33935,64,-0.4449
