sczgenenames,ensembl_names
,ENSG00000235979
PTPRU,ENSG00000060656
GAS5-AS1,ENSG00000270084
GAS5,ENSG00000234741
,ENSG00000224977
LINC00606,ENSG00000226567
,ENSG00000253553
,ENSG00000272181
PSMD6,ENSG00000163636
TIMM10,ENSG00000134809
SMTNL1,ENSG00000214872
,ENSG00000254602
OR1A1,ENSG00000172146
SRR,ENSG00000167720
HNRNPA1P16,ENSG00000262333
,ENSG00000240695
RPS11,ENSG00000142534
IRF3,ENSG00000126456
TRANK1,ENSG00000168016
,ENSG00000272334
EFL1,ENSG00000140598
SAXO2,ENSG00000188659
NA,ENSG00000259785
NA,ENSG00000259206
GOLGA6L9,ENSG00000197978
NA,ENSG00000186322
NA,ENSG00000259387
NA,ENSG00000215749
NA,ENSG00000259323
NA,ENSG00000205275
NA,ENSG00000259310
NA,ENSG00000196648
NA,ENSG00000205271
,ENSG00000260836
,ENSG00000228141
CACNB2,ENSG00000165995
NSUN6,ENSG00000241058
,ENSG00000205106
,ENSG00000271350
,ENSG00000270072
BCAS2P3,ENSG00000226670
LINC01068,ENSG00000227676
MCHR1,ENSG00000128285
,ENSG00000230769
NA,ENSG00000255782
NA,ENSG00000236734
COL17A1,ENSG00000065618
,ENSG00000228981
PKD2L2,ENSG00000078795
NA,ENSG00000203817
NA,ENSG00000269501
NA,ENSG00000202496
UBE2D3P3,ENSG00000224690
,ENSG00000231073
LINC01300,ENSG00000253595
SDCCAG8,ENSG00000054282
MPP6,ENSG00000105926
NDUFA13,ENSG00000186010
LINC01206,ENSG00000242512
PTPRK,ENSG00000152894
EVPLL,ENSG00000214860
,ENSG00000273018
NDUFA6-DT,ENSG00000237037
CYP2D7,ENSG00000205702
POLDIP3,ENSG00000100227
,ENSG00000249458
CIDEC,ENSG00000187288
IL17RE,ENSG00000163701
EMC3-AS1,ENSG00000180385
FANCD2OS,ENSG00000163705
GHRL,ENSG00000157017
NA,ENSG00000244030
NCK1,ENSG00000158092
,ENSG00000269469
FCGRT,ENSG00000104870
PNKP,ENSG00000039650
,ENSG00000269091
MAMSTR,ENSG00000176909
RASIP1,ENSG00000105538
FGF21,ENSG00000105550
PLEKHA4,ENSG00000105559
BAX,ENSG00000087088
RUVBL2,ENSG00000183207
,ENSG00000268655
CGB2,ENSG00000104818
C19orf73,ENSG00000221916
HRC,ENSG00000130528
,ENSG00000197813
DKKL1,ENSG00000104901
,ENSG00000254519
LARGE2,ENSG00000165905
,ENSG00000254653
IGSF9B,ENSG00000080854
PLA2G15,ENSG00000103066
ESRP2,ENSG00000103067
GSDME,ENSG00000105928
CNOT1,ENSG00000125107
L3HYPDH,ENSG00000126790
TBC1D5,ENSG00000131374
CCDC39,ENSG00000145075
CCDC175,ENSG00000151838
MMP16,ENSG00000156103
ZDHHC5,ENSG00000156599
CILP2,ENSG00000160161
MAIP1,ENSG00000162972
NEMP1,ENSG00000166881
C2orf69,ENSG00000178074
GPR135,ENSG00000181619
ZNF823,ENSG00000197933
,ENSG00000206958
NPM1P46,ENSG00000213104
,ENSG00000213157
,ENSG00000216642
MIR137HG,ENSG00000225206
,ENSG00000227004
,ENSG00000228446
LINC01360,ENSG00000233973
,ENSG00000236457
RN7SL309P,ENSG00000239356
RN7SL717P,ENSG00000240302
TDGF1P6,ENSG00000241438
PSMD6-AS1,ENSG00000243410
LINC00461,ENSG00000245526
LINC02060,ENSG00000250156
,ENSG00000253122
,ENSG00000253430
,ENSG00000253879
,ENSG00000255266
,ENSG00000257237
,ENSG00000258782
LINC00933,ENSG00000259728
,ENSG00000261469
,ENSG00000270655
,ENSG00000270764
,ENSG00000271843
ATP2A2,ENSG00000174437
,ENSG00000272305
CHRNA3,ENSG00000080644
PCCB,ENSG00000114054
BCL2L12,ENSG00000126453
FGFR1,ENSG00000077782
ETF1,ENSG00000120705
TMX2,ENSG00000213593
BNIP3L,ENSG00000104765
PPP2R2A,ENSG00000221914
PGM3,ENSG00000013375
PSD3,ENSG00000156011
JKAMP,ENSG00000050130
RPTOR,ENSG00000141564
