Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to10,Feature log2 fold change topic 8to10
ENSG00000143473,KCNH1,4,-2.6191,13,-0.8144,17,-0.5223,41,1.14959,30,0.61607
ENSG00000117625,RCOR3,43,0.36522,19,-0.9687,46,0.49045,21,-0.8471,37,0.13989
ENSG00000123684,LPGAT1,92,0.20676,48,-0.8277,96,0.29805,78,-0.0932,80,-0.0539
ENSG00000066027,PPP2R5A,53,0.54278,57,0.57970,45,0.21907,23,-0.9078,33,-0.3808
ENSG00000117691,NENF,396,1.31525,201,-0.0368,130,-0.7842,182,-0.2197,148,-0.6437
ENSG00000117697,NSL1,74,0.91606,51,0.16361,47,0.03376,30,-0.7601,36,-0.4692
ENSG00000203705,TATDN3,28,0.19714,28,0.19379,23,-0.1655,21,-0.3251,26,0.10736
ENSG00000174606,ANGEL2,29,0.24085,29,0.21700,47,1.21092,13,-1.1490,16,-0.8724
ENSG00000136643,RPS6KC1,40,0.36087,16,-1.0927,39,0.29945,27,-0.3550,34,0.05910
ENSG00000143499,SMYD2,16,-2.1392,11,-2.5835,10,-2.8912,112,1.14496,113,1.45069
ENSG00000152104,PTPN14,15,-1.1279,37,0.33045,47,0.89243,31,0.09641,24,-0.3866
ENSG00000136636,KCTD3,89,1.76360,34,-0.1840,64,0.99128,8,-2.4497,9,-2.3808
ENSG00000092978,GPATCH2,37,0.19159,15,-1.1737,52,0.87402,31,-0.1155,25,-0.5269
ENSG00000067533,RRP15,53,0.35310,47,0.10254,70,0.89108,32,-0.5246,27,-0.9020
ENSG00000136628,EPRS,158,0.13329,113,-0.4130,196,0.53544,78,-1.0694,164,0.23556
ENSG00000067704,IARS2,77,0.58109,41,-0.5027,49,-0.2526,69,0.34582,45,-0.4363
ENSG00000118873,RAB3GAP2,57,-0.8671,65,-0.5869,147,0.84082,77,-0.3518,107,0.24935
ENSG00000116141,MARK1,12,-1.7830,11,-1.8497,52,0.62443,43,0.25731,49,0.60200
ENSG00000162817,C1orf115,24,-3.3395,225,0.16878,210,0.06476,299,0.74637,244,0.40552
ENSG00000154305,MIA3,84,-0.9794,93,-0.7485,275,1.21114,112,-0.5066,154,0.06264
ENSG00000186063,AIDA,64,0.11213,60,0.00480,66,0.16423,68,0.21405,49,-0.4142
ENSG00000162819,BROX,42,0.34140,27,-0.4178,47,0.55777,27,-0.4434,30,-0.2988
ENSG00000143502,SUSD4,5,-3.2537,27,-0.7222,54,0.38880,54,0.38578,61,0.74806
ENSG00000162909,CAPN2,28,-0.0573,59,1.20226,31,0.16754,24,-0.2823,20,-0.6637
ENSG00000143756,FBXO28,9,-1.8809,17,-0.7707,32,0.21871,27,-0.0735,44,0.97924
ENSG00000143753,DEGS1,53,0.21573,24,-1.0084,36,-0.4563,36,-0.4884,66,0.74065
ENSG00000143771,CNIH4,17,-0.7503,6,-2.2467,33,0.35880,32,0.28425,34,0.46437
ENSG00000162923,WDR26,38,-0.5112,49,-0.0597,60,0.28717,44,-0.2441,59,0.30643
ENSG00000154380,ENAH,385,1.76342,223,0.47087,157,-0.1122,67,-1.5065,77,-1.4115
ENSG00000143742,SRP9,137,-0.4927,201,0.16394,111,-0.8308,236,0.49309,214,0.36040
ENSG00000143819,EPHX1,46,0.90251,76,1.69048,27,-0.0739,8,-2.0199,16,-1.0902
ENSG00000196187,TMEM63A,199,5.10254,9,-2.3476,8,-2.7181,2,-4.3431,5,-3.5995
ENSG00000143811,PYCR2,35,-0.1810,35,-0.1776,39,-0.0183,24,-0.8074,54,0.67885
ENSG00000163041,H3F3A,421,1.02856,400,0.78155,189,-0.4853,161,-0.7476,183,-0.5971
ENSG00000182827,ACBD3,152,0.91453,77,-0.3214,109,0.26420,65,-0.6361,72,-0.5325
ENSG00000143799,PARP1,346,1.23442,137,-0.4820,175,-0.1166,94,-1.1534,166,-0.2305
ENSG00000203685,STUM,20,-1.0839,71,1.05782,60,0.89050,18,-1.2114,37,-0.0517
ENSG00000143772,ITPKB,112,2.23591,83,1.17300,27,-0.7376,8,-2.6195,12,-2.1261
ENSG00000163050,COQ8A,21,-0.1272,19,-0.2958,24,0.08526,19,-0.3076,27,0.34873
ENSG00000143776,CDC42BPA,529,0.88544,187,-0.9071,441,0.51679,256,-0.4651,236,-0.6773
ENSG00000143740,SNAP47,13,-2.2458,64,0.24462,68,0.41472,64,0.29674,64,0.32106
ENSG00000143761,ARF1,64,-2.1029,206,-0.2081,237,0.01210,244,0.06987,351,0.92153
ENSG00000143793,C1orf35,52,0.73506,36,0.06068,36,0.05369,23,-0.7397,31,-0.2414
ENSG00000162910,MRPL55,46,-1.2366,93,-0.0444,69,-0.5583,124,0.48333,129,0.65371
ENSG00000143774,GUK1,438,-0.7608,1076,0.75335,438,-0.7619,1141,1.00840,569,-0.3582
ENSG00000168159,RNF187,132,-1.5787,278,-0.3335,325,-0.0968,509,0.75150,408,0.36752
ENSG00000116574,RHOU,197,3.79605,40,-0.3775,14,-2.0185,10,-2.5409,7,-3.1687
ENSG00000168118,RAB4A,54,-0.1833,62,0.07103,31,-1.0976,83,0.63389,66,0.20680
ENSG00000154429,CCSAP,85,-0.8773,118,-0.2898,265,1.25799,70,-1.1905,153,0.16131
ENSG00000069248,NUP133,18,-0.9059,37,0.23303,48,0.80957,18,-0.9834,37,0.32839
ENSG00000143641,GALNT2,23,-0.6433,44,0.41423,29,-0.2886,24,-0.5802,48,0.75615
ENSG00000177614,PGBD5,19,-2.7562,97,-0.2060,153,0.61898,126,0.23767,137,0.46299
ENSG00000135744,AGT,80,1.03619,250,3.32164,12,-2.2140,4,-3.8573,10,-2.5837
ENSG00000119280,C1orf198,168,3.66516,63,0.57627,8,-2.7164,6,-2.9599,4,-3.8011
ENSG00000173409,ARV1,10,-1.5844,24,-0.1534,31,0.27999,25,-0.0944,37,0.69514
ENSG00000116906,GNPAT,44,-0.5366,30,-1.0758,64,0.10638,69,0.23462,73,0.41459
ENSG00000135766,EGLN1,50,-0.1354,71,0.45167,61,0.23359,47,-0.2254,50,-0.1447
ENSG00000116918,TSNAX,53,-0.8066,52,-0.7709,109,0.45732,74,-0.2435,109,0.54015
ENSG00000116991,SIPA1L2,26,-1.0195,81,0.88203,27,-0.9271,77,0.91518,45,-0.1140
ENSG00000135778,NTPCR,32,-0.9879,39,-0.6020,35,-0.8578,83,0.68943,79,0.70507
ENSG00000135749,PCNX2,38,-1.4098,76,-0.2452,139,0.87033,94,0.10102,89,0.02183
ENSG00000135750,KCNK1,25,-2.4797,70,-0.8516,160,0.52379,107,-0.2084,184,0.97264
ENSG00000183780,SLC35F3,8,-1.5352,1,-3.9373,9,-1.3194,23,0.25236,39,1.76469
ENSG00000168275,COA6,27,-1.8345,77,-0.1621,79,-0.1386,107,0.43405,115,0.67711
ENSG00000059588,TARBP1,13,-2.0904,38,-0.4158,138,2.31839,16,-1.7924,40,-0.3981
ENSG00000168264,IRF2BP2,105,1.29295,71,0.40885,52,-0.0862,35,-0.7784,32,-1.0270
ENSG00000173726,TOMM20,193,-1.0123,205,-0.8382,426,0.36195,340,-0.0554,461,0.60207
ENSG00000054267,ARID4B,723,1.63060,268,-0.3337,453,0.59132,151,-1.3131,130,-1.6848
ENSG00000152904,GGPS1,18,-0.7682,33,0.21059,30,0.07618,26,-0.1978,36,0.45793
ENSG00000168243,GNG4,3,-3.4642,78,1.81398,16,-0.8641,51,1.22107,19,-0.7068
ENSG00000143669,LYST,35,-0.3672,28,-0.6546,79,1.19522,26,-0.8774,42,-0.0841
ENSG00000116977,LGALS8,31,-0.9249,28,-0.9991,42,-0.4277,63,0.28260,79,0.88075
ENSG00000077522,ACTN2,72,-0.4927,44,-1.1991,140,0.72866,61,-0.7638,121,0.52665
ENSG00000116984,MTR,80,1.07314,20,-1.2987,87,1.24185,13,-2.0090,28,-0.9452
ENSG00000198626,RYR2,121,-1.2451,89,-1.6063,532,1.53020,151,-0.8834,279,0.20554
ENSG00000133019,CHRM3,25,-2.2449,90,-0.1962,235,1.76590,60,-0.8851,96,-0.1205
ENSG00000155816,FMN2,40,-0.6858,92,0.72950,78,0.51448,60,0.02400,48,-0.4082
ENSG00000182901,RGS7,19,-1.8663,22,-1.5150,74,0.36684,79,0.50003,80,0.59774
ENSG00000091483,FH,25,-0.9979,39,-0.2517,42,-0.1405,58,0.43778,56,0.42698
ENSG00000054277,OPN3,0,-5.8078,21,-0.9743,32,-0.3594,54,0.59486,66,1.25038
ENSG00000203668,CHML,26,-1.5517,53,-0.3502,151,1.73957,24,-1.6810,69,0.09448
ENSG00000143702,CEP170,416,1.13001,128,-0.9486,305,0.48875,138,-0.9036,168,-0.6517
ENSG00000054282,SDCCAG8,290,1.03293,209,0.32777,179,0.08427,156,-0.1621,84,-1.3137
ENSG00000117020,AKT3,167,-0.3928,170,-0.3281,254,0.36260,252,0.34484,191,-0.1797
ENSG00000179456,ZBTB18,30,-2.4861,113,-0.3439,184,0.50822,161,0.24682,181,0.55095
ENSG00000035687,ADSS,82,0.09069,31,-1.4090,74,-0.0791,58,-0.5053,106,0.68826
ENSG00000203667,COX20,117,0.01739,198,0.89545,76,-0.7288,156,0.56376,87,-0.5545
ENSG00000153187,HNRNPU,660,0.82552,334,-0.3980,574,0.54359,241,-0.9819,338,-0.4741
ENSG00000185420,SMYD3,3,-2.9553,22,-0.1243,25,0.11209,30,0.42923,33,0.70743
ENSG00000162852,CNST,22,-1.7633,65,-0.0275,97,0.72009,47,-0.5998,88,0.63632
ENSG00000143653,SCCPDH,80,0.17058,33,-1.1905,54,-0.5112,56,-0.4523,104,0.81737
ENSG00000153207,AHCTF1,76,0.17945,75,0.14435,139,1.43286,32,-1.2733,39,-1.0318
ENSG00000035115,SH3YL1,36,0.32084,30,0.00853,40,0.52285,18,-0.8955,28,-0.1489
ENSG00000143727,ACP1,40,-1.0247,71,-0.0766,56,-0.4875,102,0.59287,92,0.45525
ENSG00000151353,TMEM18,35,0.00821,31,-0.2004,45,0.47396,23,-0.7201,38,0.14429
ENSG00000186487,MYT1L,107,-2.1138,322,-0.3080,816,1.51462,314,-0.3852,373,-0.0996
ENSG00000032389,EIPR1,22,-1.3638,60,0.30815,48,-0.0570,49,-0.0219,66,0.63263
ENSG00000171853,TRAPPC12,42,-0.1285,31,-0.6096,26,-0.9088,57,0.41645,57,0.50579
ENSG00000182551,ADI1,42,0.46336,84,1.61248,17,-1.0645,26,-0.4268,25,-0.5495
ENSG00000171865,RNASEH1,38,-0.2573,22,-1.0590,50,0.23565,54,0.40475,44,0.00212
ENSG00000171863,RPS7,630,-0.1190,990,0.63490,431,-0.7658,1055,0.86941,502,-0.5700
ENSG00000232044,SILC1,152,3.14855,25,-0.8702,27,-0.8162,12,-2.0420,10,-2.4656
ENSG00000151692,RNF144A,30,0.08836,23,-0.3226,48,0.99516,18,-0.7993,24,-0.3608
ENSG00000115738,ID2,73,-1.2272,241,0.76843,120,-0.4092,125,-0.3290,212,0.75648
ENSG00000134313,KIDINS220,220,0.35708,122,-0.6169,256,0.65386,110,-0.8599,173,-0.0937
ENSG00000143797,MBOAT2,110,1.02726,57,-0.2221,76,0.27341,34,-1.0819,51,-0.4579
ENSG00000151693,ASAP2,40,-0.5662,37,-0.6171,95,1.05579,39,-0.6052,57,0.03336
ENSG00000119185,ITGB1BP1,46,-1.7793,95,-0.5477,93,-0.6540,221,0.95379,180,0.62614
ENSG00000134330,IAH1,27,-0.9302,57,0.33372,36,-0.4639,55,0.32233,57,0.45212
ENSG00000151694,ADAM17,33,0.05240,43,0.49017,73,1.74909,16,-1.1570,10,-1.9206
ENSG00000134308,YWHAQ,299,-0.0786,266,-0.2531,278,-0.2059,264,-0.2995,392,0.49359
ENSG00000115756,HPCAL1,53,-2.1081,515,1.70026,377,1.34832,67,-1.7335,143,-0.5948
ENSG00000115758,ODC1,10,-1.2510,32,0.66499,15,-0.5265,19,-0.1891,30,0.80063
ENSG00000115761,NOL10,60,1.07291,19,-0.9038,35,0.00323,29,-0.3167,27,-0.5065
ENSG00000143870,PDIA6,40,-0.7792,61,-0.0659,62,-0.0422,60,-0.0967,83,0.58951
ENSG00000162975,KCNF1,20,-2.7143,52,-1.1804,162,0.68813,130,0.25556,151,0.63490
ENSG00000134318,ROCK2,305,-0.8573,334,-0.6434,1043,1.50172,261,-1.1092,493,-0.0415
ENSG00000134324,LPIN1,54,-0.1429,67,0.21839,83,0.66297,32,-1.0172,60,0.05041
ENSG00000071575,TRIB2,12,-1.0350,22,-0.0995,32,0.55460,28,0.30434,23,-0.0495
ENSG00000162981,LRATD1,7,-3.2560,57,-0.1420,68,0.18081,51,-0.3282,103,1.20017
ENSG00000151779,NBAS,25,-1.0308,22,-1.1589,56,0.32623,46,-0.0437,64,0.69584
ENSG00000079785,DDX1,101,-1.1522,99,-1.0892,173,-0.2562,224,0.21213,301,0.94228
ENSG00000197872,FAM49A,31,-2.7504,84,-1.1425,222,0.42128,204,0.25958,257,0.84576
ENSG00000163032,VSNL1,185,-3.3411,697,-1.2263,1564,0.03012,1757,0.24435,2557,1.21517
ENSG00000163029,SMC6,139,1.21167,51,-0.6134,111,0.73239,51,-0.6912,35,-1.4198
ENSG00000240857,RDH14,7,-1.6734,8,-1.3137,15,-0.5115,14,-0.6407,41,1.79022
ENSG00000068697,LAPTM4A,21,-1.3008,80,0.93437,37,-0.3619,45,-0.0235,56,0.46986
ENSG00000055917,PUM2,36,-1.1347,77,0.12057,93,0.49430,96,0.54702,62,-0.2715
ENSG00000143878,RHOB,174,0.43750,103,-0.4518,116,-0.2991,152,0.18462,129,-0.1272
ENSG00000173960,UBXN2A,57,1.03031,45,0.47976,34,0.01059,21,-0.7976,22,-0.7694
ENSG00000119782,FKBP1B,6,-3.4042,52,-0.1145,54,-0.0432,75,0.57312,77,0.74191
ENSG00000115128,SF3B6,76,0.00287,72,-0.0896,44,-0.9396,93,0.36411,88,0.30633
ENSG00000219626,FAM228B,109,0.92204,73,0.13947,88,0.50058,50,-0.5286,36,-1.1642
ENSG00000198399,ITSN2,323,0.89036,137,-0.6262,319,0.86400,102,-1.1706,138,-0.7462
ENSG00000084676,NCOA1,114,-0.4414,184,0.37285,225,0.82679,95,-0.7383,137,-0.1314
ENSG00000184924,PTRHD1,30,-0.4698,60,0.71954,27,-0.6064,45,0.27455,41,0.12954
ENSG00000138031,ADCY3,8,-2.1397,35,0.08937,37,0.21265,43,0.52356,39,0.33946
ENSG00000115137,DNAJC27,24,-0.2894,12,-1.2590,36,0.47718,30,0.11202,29,0.10126
ENSG00000084710,EFR3B,21,-1.5041,56,0.12195,28,-1.0203,64,0.37167,80,0.97364
ENSG00000119772,DNMT3A,53,1.11313,31,0.04298,57,1.26916,13,-1.3909,8,-2.2381
ENSG00000138101,DTNB,43,-0.7957,49,-0.5179,66,-0.0804,94,0.58907,77,0.24993
ENSG00000143970,ASXL2,49,0.63363,29,-0.3167,38,0.13146,22,-0.7737,35,-0.0270
ENSG00000084731,KIF3C,47,-2.6856,273,0.10801,251,-0.0308,355,0.62495,324,0.52096
ENSG00000084733,RAB10,78,0.03752,70,-0.1433,74,-0.0529,69,-0.1801,84,0.19702
ENSG00000084754,HADHA,125,1.20965,91,0.46289,53,-0.4485,48,-0.6107,46,-0.7301
ENSG00000138029,HADHB,74,1.08768,141,2.15071,9,-2.3568,25,-0.9050,22,-1.1878
ENSG00000138018,SELENOI,31,-0.7691,29,-0.8176,40,-0.3368,42,-0.2829,78,1.09002
ENSG00000157851,DPYSL5,105,2.08476,20,-1.0496,33,-0.3683,15,-1.5711,26,-0.8275
ENSG00000084764,MAPRE3,43,-2.1773,68,-1.3669,154,-0.1277,207,0.40566,261,1.05680
ENSG00000228474,OST4,91,-0.2170,205,1.15901,31,-1.9347,149,0.70418,94,-0.1878
ENSG00000138030,KHK,6,-1.7465,14,-0.3798,12,-0.7267,20,0.16658,31,1.23180
ENSG00000138028,CGREF1,9,-2.6596,40,-0.3790,51,0.00827,67,0.50915,71,0.75602
ENSG00000138073,PREB,19,-0.1855,16,-0.4490,9,-1.3396,25,0.26105,31,0.78096
ENSG00000138085,ATRAID,38,0.50908,31,0.13211,24,-0.2942,30,0.08663,24,-0.3633
ENSG00000115194,SLC30A3,3,-4.1672,8,-2.5752,19,-1.3880,71,0.91679,83,1.57112
ENSG00000115204,MPV17,25,-0.4711,43,0.42672,28,-0.2721,41,0.40604,33,-0.0212
ENSG00000115211,EIF2B4,67,0.57630,46,-0.1006,61,0.37067,48,-0.0584,32,-0.8076
ENSG00000115234,SNX17,41,-1.0516,70,-0.1665,49,-0.7761,85,0.16210,118,0.96973
ENSG00000115241,PPM1G,61,-0.4949,59,-0.5115,107,0.52314,60,-0.5320,99,0.42542
ENSG00000115216,NRBP1,23,-1.8624,47,-0.6458,63,-0.2297,93,0.46873,105,0.85448
ENSG00000115226,FNDC4,19,-2.4414,78,-0.2140,74,-0.3284,150,1.02154,108,0.42905
ENSG00000243943,ZNF512,24,-0.4362,41,0.41350,27,-0.2419,35,0.17099,34,0.14148
ENSG00000198522,GPN1,5,-2.1258,17,-0.2242,12,-0.8441,23,0.24217,34,1.27155
ENSG00000119760,SUPT7L,18,-1.4562,26,-0.7636,46,0.11775,46,0.08870,63,0.82561
ENSG00000163798,SLC4A1AP,112,-0.4418,118,-0.3233,170,0.30106,106,-0.5287,183,0.51505
ENSG00000243147,MRPL33,107,-0.8118,241,0.54900,105,-0.8483,292,1.03105,158,-0.1729
ENSG00000158019,BABAM2,18,-0.9961,29,-0.2134,27,-0.3411,25,-0.4742,53,1.12906
ENSG00000075426,FOSL2,0,-7.7942,37,0.96099,15,-0.6052,28,0.57615,29,0.68763
ENSG00000213639,PPP1CB,144,-0.8054,215,-0.1075,166,-0.5677,300,0.50076,288,0.49000
ENSG00000163811,WDR43,72,0.71977,46,-0.0988,82,1.00167,18,-1.6105,33,-0.7321
ENSG00000115295,CLIP4,51,0.30371,41,-0.0854,46,0.10530,37,-0.2630,41,-0.1042
ENSG00000119801,YPEL5,55,-1.2411,89,-0.4076,82,-0.5824,155,0.56672,158,0.71974
ENSG00000213626,LBH,1,-4.0409,57,1.35083,19,-0.4923,38,0.72963,27,0.13664
ENSG00000013016,EHD3,21,-2.5502,66,-0.6937,94,-0.1593,137,0.53857,152,0.90652
ENSG00000162961,DPY30,31,-0.7960,59,0.24927,35,-0.6172,44,-0.2416,75,0.89090
ENSG00000021574,SPAST,34,0.28626,27,-0.0974,36,0.42282,26,-0.1819,23,-0.4352
ENSG00000119820,YIPF4,162,0.52756,78,-0.6976,203,0.98911,57,-1.2770,100,-0.3950
ENSG00000115760,BIRC6,154,0.88023,69,-0.5412,155,0.88805,30,-1.8954,76,-0.4833
ENSG00000119812,FAM98A,70,-0.1274,42,-0.8940,70,-0.1201,74,-0.0344,94,0.48006
ENSG00000260025,CRIM1-DT,5,-2.5536,30,0.16904,34,0.46730,29,0.17386,33,0.46244
ENSG00000150938,CRIM1,32,-1.0612,49,-0.3214,67,0.21287,43,-0.5778,89,0.89340
ENSG00000171055,FEZ2,148,0.11619,84,-0.7857,169,0.37100,105,-0.4798,152,0.20019
ENSG00000115808,STRN,166,1.77933,52,-0.4932,70,-0.0378,30,-1.4197,44,-0.9292
ENSG00000008869,HEATR5B,14,-1.3133,10,-1.7093,44,0.69868,37,0.37589,35,0.27924
ENSG00000152133,GPATCH11,121,0.48480,67,-0.5054,121,0.49590,81,-0.2474,72,-0.4915
ENSG00000055332,EIF2AK2,129,0.20262,104,-0.1604,153,0.52404,96,-0.3242,98,-0.3222
ENSG00000218739,CEBPZOS,43,-0.6388,78,0.35516,82,0.49417,60,-0.0752,60,-0.1045
ENSG00000115816,CEBPZ,155,0.85527,69,-0.5766,147,0.75347,35,-1.7236,83,-0.3443
ENSG00000115828,QPCT,0,-7.1976,12,-0.7257,4,-2.3017,24,0.46382,40,1.99449
ENSG00000163171,CDC42EP3,5,-1.9952,22,0.18382,22,0.16646,25,0.44235,23,0.36882
ENSG00000119787,ATL2,6,-2.0154,10,-1.0055,29,0.68555,20,0.00361,27,0.65033
ENSG00000143889,HNRNPLL,24,-0.6487,17,-1.0926,39,0.20055,17,-1.1802,57,1.16712
ENSG00000115875,SRSF7,32,-0.9368,57,0.01242,49,-0.2507,48,-0.2930,83,0.87810
ENSG00000188010,MORN2,15,-1.3747,38,0.14577,21,-0.8854,53,0.78119,45,0.53374
ENSG00000115904,SOS1,52,0.52376,34,-0.2433,64,0.93572,17,-1.3989,31,-0.4430
ENSG00000011566,MAP4K3,12,-1.5181,10,-1.7766,46,0.73085,30,-0.1086,43,0.67849
ENSG00000231312,MAP4K3-DT,29,-1.5076,58,-0.3796,162,1.63902,75,0.03433,49,-0.7875
ENSG00000152154,TMEM178A,43,-2.0614,49,-1.7163,209,0.59545,222,0.71908,175,0.29786
ENSG00000138050,THUMPD2,33,0.51065,19,-0.3882,42,0.99478,14,-0.9776,18,-0.6550
ENSG00000183023,SLC8A1,111,-1.0819,129,-0.7673,382,1.18403,139,-0.7207,238,0.25982
ENSG00000115944,COX7A2L,73,-1.4333,108,-0.7348,127,-0.5428,273,0.87680,226,0.58666
ENSG00000057935,MTA3,18,-1.1054,64,0.96461,46,0.45910,30,-0.2873,35,-0.0559
ENSG00000138036,DYNC2LI1,34,-0.4097,20,-1.1546,64,0.77105,37,-0.2289,45,0.12975
ENSG00000138095,LRPPRC,65,-0.8056,72,-0.5686,115,0.17760,116,0.19824,125,0.40391
ENSG00000138032,PPM1B,63,0.02929,52,-0.2760,74,0.34125,49,-0.4068,64,0.09159
ENSG00000138078,PREPL,264,-1.5701,305,-1.2451,1003,0.73693,617,-0.1772,914,0.65182
ENSG00000171132,PRKCE,43,-2.1824,106,-0.6881,217,0.50787,174,0.09250,226,0.70071
ENSG00000116016,EPAS1,33,-0.2898,171,2.78254,37,-0.0859,22,-0.9451,12,-2.0912
ENSG00000119729,RHOQ,97,0.81179,132,1.24235,27,-1.3801,65,0.04293,41,-0.8285
ENSG00000119878,CRIPT,73,0.37752,76,0.37994,54,-0.1826,61,0.03290,49,-0.4064
ENSG00000171150,SOCS5,15,-0.7579,20,-0.2710,26,0.16199,19,-0.3575,33,0.66775
ENSG00000180398,MCFD2,41,-1.3599,124,0.47581,122,0.51344,93,0.00280,97,0.09553
ENSG00000143933,CALM2,1390,-0.6934,1257,-0.7862,1966,-0.0982,2323,0.20444,2718,0.59289
ENSG00000095002,MSH2,24,-0.7906,30,-0.3759,57,0.79409,24,-0.7789,46,0.42532
ENSG00000184261,KCNK12,6,-2.4905,45,0.61402,33,0.12032,40,0.47910,35,0.26527
ENSG00000116062,MSH6,32,0.60260,9,-1.3168,19,-0.2824,13,-0.8810,30,0.58990
ENSG00000138081,FBXO11,65,-0.8129,77,-0.4788,126,0.34996,109,0.09283,121,0.32582
ENSG00000162869,PPP1R21,43,-0.4816,39,-0.6097,64,0.21677,53,-0.1291,70,0.44898
ENSG00000179915,NRXN1,134,-2.1045,410,-0.2741,883,1.18258,340,-0.6267,584,0.38944
ENSG00000115239,ASB3,24,-0.4640,33,0.04042,54,1.00576,11,-1.7476,36,0.26871
ENSG00000068912,ERLEC1,128,-0.5116,103,-0.7912,216,0.42713,102,-0.8863,240,0.75533
ENSG00000068878,PSME4,84,1.77374,16,-1.2619,46,0.43560,14,-1.4981,19,-1.1607
ENSG00000170634,ACYP2,77,-0.5944,87,-0.3537,38,-1.7377,175,0.91072,141,0.56790
ENSG00000115306,SPTBN1,832,0.09291,938,0.27705,844,0.11918,798,0.01844,672,-0.3225
ENSG00000115310,RTN4,2559,0.22291,1133,-1.0769,2401,0.10555,1560,-0.6468,2828,0.48200
ENSG00000143947,RPS27A,1485,0.43799,1788,0.69304,667,-0.9640,1699,0.70427,750,-0.8537
ENSG00000085760,MTIF2,90,0.45220,49,-0.5556,66,-0.1067,76,0.14196,63,-0.2109
ENSG00000115355,CCDC88A,2734,2.60086,373,-1.3738,1032,0.23677,166,-2.7103,277,-2.0823
ENSG00000163001,CFAP36,118,-1.2601,206,-0.3059,256,0.04473,331,0.53231,293,0.34491
ENSG00000275052,PPP4R3B,81,0.37514,79,0.28470,95,0.69625,45,-0.6617,46,-0.6788
ENSG00000138035,PNPT1,84,1.64684,33,-0.2519,36,-0.1231,16,-1.4297,26,-0.7423
ENSG00000055813,CCDC85A,1,-4.6016,51,0.50590,18,-1.2405,69,1.19354,49,0.60168
ENSG00000115392,FANCL,43,1.04915,15,-0.8052,33,0.50764,6,-2.2968,24,-0.0790
ENSG00000119866,BCL11A,51,-0.9902,41,-1.2664,141,0.81446,99,0.13235,100,0.15869
ENSG00000162929,KIAA1841,44,0.35163,14,-1.4665,55,0.78972,25,-0.6154,33,-0.1585
ENSG00000237651,C2orf74,89,-0.1144,97,0.03607,67,-0.5919,104,0.18157,109,0.30996
ENSG00000115464,USP34,170,0.74684,108,-0.1057,135,0.29720,78,-0.6773,92,-0.4352
ENSG00000082898,XPO1,77,0.01191,65,-0.2532,102,0.53523,62,-0.3531,72,-0.1133
ENSG00000170264,FAM161A,80,0.98137,60,0.36161,70,0.71888,19,-1.4829,27,-1.0551
ENSG00000115484,CCT4,74,-1.3338,77,-1.1710,149,-0.1669,180,0.17754,251,0.99223
ENSG00000173163,COMMD1,18,-1.3542,37,-0.1494,44,0.12103,42,0.05965,55,0.63387
ENSG00000115504,EHBP1,67,-0.9696,77,-0.6678,169,0.68625,134,0.22999,121,0.05337
ENSG00000143951,WDPCP,33,0.68080,30,0.38808,33,0.64684,9,-1.5195,17,-0.5583
ENSG00000014641,MDH1,99,-3.0248,214,-1.7354,294,-1.3661,899,0.56783,1284,1.68288
ENSG00000169764,UGP2,54,-2.4745,162,-0.7034,174,-0.6485,538,1.55810,280,0.21059
ENSG00000119862,LGALSL,8,-1.7452,38,0.64021,29,0.25963,23,-0.1673,31,0.45803
ENSG00000119844,AFTPH,36,-1.1420,58,-0.3272,101,0.65161,73,0.04259,79,0.20162
ENSG00000115902,SLC1A4,15,-1.7939,70,0.73185,36,-0.3761,32,-0.5708,71,1.05717
ENSG00000011523,CEP68,43,-0.7576,72,0.09841,100,0.73679,42,-0.7985,78,0.29819
ENSG00000138069,RAB1A,42,-1.9878,97,-0.6062,102,-0.5818,164,0.24471,240,1.22842
ENSG00000138071,ACTR2,170,-0.7889,188,-0.5635,245,-0.1653,318,0.30860,345,0.54639
ENSG00000197223,C1D,25,-1.4893,43,-0.5789,82,0.52092,72,0.27975,73,0.34296
ENSG00000221823,PPP3R1,27,-2.2474,50,-1.2228,111,-0.0048,134,0.34908,172,1.01167
ENSG00000119865,CNRIP1,31,-2.1568,120,0.00729,87,-0.5344,164,0.60559,168,0.77850
ENSG00000198380,GFPT1,21,-0.9527,21,-0.8921,33,-0.2070,33,-0.1959,59,1.06042
ENSG00000169599,NFU1,20,-1.2294,47,0.17160,24,-0.9679,67,0.88988,51,0.40800
ENSG00000115977,AAK1,110,-1.7064,232,-0.4530,406,0.50645,321,0.06517,397,0.54287
ENSG00000087338,GMCL1,26,0.22907,24,0.05503,13,-0.9773,22,-0.0748,28,0.42600
ENSG00000124380,SNRNP27,171,0.24795,170,0.21153,206,0.61230,125,-0.3114,106,-0.6638
ENSG00000169564,PCBP1,134,-0.6687,152,-0.4212,173,-0.2379,195,-0.0241,274,0.72853
ENSG00000116001,TIA1,61,0.69845,27,-0.7054,64,0.79257,24,-0.9400,32,-0.5197
ENSG00000116005,PCYOX1,75,-0.7564,99,-0.2522,196,1.03306,62,-1.0445,131,0.26044
