interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation,interaction_name_2,is_neurotransmitter,ligand.symbol,ligand.family,ligand.location,ligand.keyword,ligand.secreted_type,ligand.transmembrane,receptor.symbol,receptor.family,receptor.location,receptor.keyword,receptor.surfaceome_main,receptor.surfaceome_sub,receptor.adhesome,receptor.secreted_type,receptor.transmembrane,version
FCER2A_ITGAX_ITGB2,CD23,FCER2,ITGAX_ITGB2,,,,,PMID: 7621072,Cell-Cell Contact,FCER2A - (ITGAX+ITGB2),FALSE,FCER2,,"Secreted, Cell membrane","Membrane, Secreted, Disulfide bond, Transmembrane, Signal-anchor, Receptor, Glycoprotein, IgE-binding protein, Lectin, Reference proteome, Lipoprotein, Metal-binding, Transmembrane helix, Cell membrane, Direct protein sequencing, Calcium, 3D-structure, Palmitate, Repeat",secreted,TRUE,"ITGAX, ITGB2","Integrin alpha chain, Integrin beta chain","Membrane, Membrane raft, Cell membrane","Membrane, Disulfide bond, Transmembrane, Receptor, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Direct protein sequencing, Calcium, 3D-structure, Cell adhesion, Magnesium, Repeat, Phagocytosis, Disease variant, Pyrrolidone carboxylic acid, Cell membrane, Phosphoprotein",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v1
CD6_ALCAM,CD6,CD6,ALCAM,,,,,PMID: 23602662,Cell-Cell Contact,CD6 - ALCAM,FALSE,CD6,,Cell membrane,"Immunity, Membrane, Secreted, Disulfide bond, Transmembrane, Alternative splicing, Adaptive immunity, Glycoprotein, Signal, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Innate immunity, 3D-structure, Cell adhesion, Repeat",secreted,TRUE,ALCAM,,"Cell membrane, Dendrite, Cell projection, Axon","Immunity, Membrane, Disulfide bond, Secreted, Transmembrane, Alternative splicing, Adaptive immunity, Glycoprotein, Cell projection, Signal, Reference proteome, Immunoglobulin domain, Cell membrane, Transmembrane helix, Direct protein sequencing, 3D-structure, Cell adhesion, Repeat",Unclassified,Unclassified,,secreted,TRUE,CellChatDB v1
CLDN11_CLDN11,CLDN,CLDN11,CLDN11,,,,,KEGG: hsa04514,Cell-Cell Contact,CLDN11 - CLDN11,FALSE,CLDN11,Claudin,"Cell junction, Cell membrane, Tight junction","Membrane, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Transmembrane, Leukodystrophy, Tight junction, Cell junction",,TRUE,CLDN11,Claudin,"Cell junction, Cell membrane, Tight junction","Membrane, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Transmembrane, Leukodystrophy, Tight junction, Cell junction",Miscellaneous,Claudin;StructuralAndAdhesion,,,NA,CellChatDB v1
GP1BA_ITGAM_ITGB2,GP1BA,GP1BA,ITGAM_ITGB2,,,,,PMC2194217,Cell-Cell Contact,GP1BA - (ITGAM+ITGB2),FALSE,GP1BA,,Membrane,"Blood coagulation, Membrane, Leucine-rich repeat, Disulfide bond, Transmembrane, Bernard Soulier syndrome, von Willebrand disease, Glycoprotein, Disease variant, Signal, Reference proteome, Transmembrane helix, Phosphoprotein, Sulfation, Direct protein sequencing, 3D-structure, Hemostasis, Cell adhesion, Repeat",,TRUE,"ITGAM, ITGB2","Integrin alpha chain, Integrin beta chain","Membrane raft, Cell membrane","Systemic lupus erythematosus, Immunity, Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Innate immunity, Transmembrane helix, Cell membrane, Direct protein sequencing, Calcium, 3D-structure, Cell adhesion, Magnesium, Repeat, Phagocytosis, Disease variant, Pyrrolidone carboxylic acid, Phosphoprotein",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v1
ICAM1_ITGAX_ITGB2,ICAM,ICAM1,ITGAX_ITGB2,,,,,PMID: 16252253,Cell-Cell Contact,ICAM1 - (ITGAX+ITGB2),FALSE,ICAM1,"Immunoglobulin superfamily, ICAM",Membrane,"Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Host cell receptor for virus entry, Receptor, Repeat, Glycoprotein, Signal, Reference proteome, Immunoglobulin domain, Transmembrane helix, Phosphoprotein, Direct protein sequencing, 3D-structure, Cell adhesion, Ubl conjugation",,TRUE,"ITGAX, ITGB2","Integrin alpha chain, Integrin beta chain","Membrane, Membrane raft, Cell membrane","Membrane, Disulfide bond, Transmembrane, Receptor, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Direct protein sequencing, Calcium, 3D-structure, Cell adhesion, Magnesium, Repeat, Phagocytosis, Disease variant, Pyrrolidone carboxylic acid, Cell membrane, Phosphoprotein",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v1
ICAM1_ITGAL_ITGB2,ICAM,ICAM1,ITGAL_ITGB2,,,,,KEGG: hsa04514,Cell-Cell Contact,ICAM1 - (ITGAL+ITGB2),FALSE,ICAM1,"Immunoglobulin superfamily, ICAM",Membrane,"Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Host cell receptor for virus entry, Receptor, Repeat, Glycoprotein, Signal, Reference proteome, Immunoglobulin domain, Transmembrane helix, Phosphoprotein, Direct protein sequencing, 3D-structure, Cell adhesion, Ubl conjugation",,TRUE,"ITGAL, ITGB2","Integrin alpha chain, Integrin beta chain","Cell membrane, Membrane raft","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Phagocytosis, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, 3D-structure, Cell adhesion, Magnesium, Repeat, Disease variant, Pyrrolidone carboxylic acid",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v1
ICAM2_ITGAL_ITGB2,ICAM,ICAM2,ITGAL_ITGB2,,,,,KEGG: hsa04514,Cell-Cell Contact,ICAM2 - (ITGAL+ITGB2),FALSE,ICAM2,"Immunoglobulin superfamily, ICAM","Microvillus, Cell projection, Membrane","Cell projection, Membrane, Signal, Reference proteome, Immunoglobulin domain, Transmembrane helix, Disulfide bond, Transmembrane, Direct protein sequencing, Repeat, 3D-structure, Cell adhesion, Glycoprotein",,TRUE,"ITGAL, ITGB2","Integrin alpha chain, Integrin beta chain","Cell membrane, Membrane raft","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Phagocytosis, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, 3D-structure, Cell adhesion, Magnesium, Repeat, Disease variant, Pyrrolidone carboxylic acid",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v1
ICAM1_ITGAM_ITGB2,ICAM,ICAM1,ITGAM_ITGB2,,,,,KEGG: hsa04514,Cell-Cell Contact,ICAM1 - (ITGAM+ITGB2),FALSE,ICAM1,"Immunoglobulin superfamily, ICAM",Membrane,"Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Host cell receptor for virus entry, Receptor, Repeat, Glycoprotein, Signal, Reference proteome, Immunoglobulin domain, Transmembrane helix, Phosphoprotein, Direct protein sequencing, 3D-structure, Cell adhesion, Ubl conjugation",,TRUE,"ITGAM, ITGB2","Integrin alpha chain, Integrin beta chain","Membrane raft, Cell membrane","Systemic lupus erythematosus, Immunity, Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Innate immunity, Transmembrane helix, Cell membrane, Direct protein sequencing, Calcium, 3D-structure, Cell adhesion, Magnesium, Repeat, Phagocytosis, Disease variant, Pyrrolidone carboxylic acid, Phosphoprotein",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v1
ICAM2_ITGAM_ITGB2,ICAM,ICAM2,ITGAM_ITGB2,,,,,KEGG: hsa04514,Cell-Cell Contact,ICAM2 - (ITGAM+ITGB2),FALSE,ICAM2,"Immunoglobulin superfamily, ICAM","Microvillus, Cell projection, Membrane","Cell projection, Membrane, Signal, Reference proteome, Immunoglobulin domain, Transmembrane helix, Disulfide bond, Transmembrane, Direct protein sequencing, Repeat, 3D-structure, Cell adhesion, Glycoprotein",,TRUE,"ITGAM, ITGB2","Integrin alpha chain, Integrin beta chain","Membrane raft, Cell membrane","Systemic lupus erythematosus, Immunity, Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Innate immunity, Transmembrane helix, Cell membrane, Direct protein sequencing, Calcium, 3D-structure, Cell adhesion, Magnesium, Repeat, Phagocytosis, Disease variant, Pyrrolidone carboxylic acid, Phosphoprotein",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v1
JAM3_ITGAM_ITGB2,JAM,JAM3,ITGAM_ITGB2,,,,,"KEGG: hsa04514; PMID: 16118203, PMC2194005",Cell-Cell Contact,JAM3 - (ITGAM+ITGB2),FALSE,JAM3,Immunoglobulin,"Desmosome, Cell membrane, Cell junction, Tight junction","Membrane, Secreted, Disulfide bond, Differentiation, Transmembrane, Spermatogenesis, Alternative splicing, Tight junction, Glycoprotein, Disease variant, Signal, Reference proteome, Immunoglobulin domain, Lipoprotein, Transmembrane helix, Cell membrane, Direct protein sequencing, Angiogenesis, Cell junction, Palmitate, Cell adhesion",secreted,TRUE,"ITGAM, ITGB2","Integrin alpha chain, Integrin beta chain","Membrane raft, Cell membrane","Systemic lupus erythematosus, Immunity, Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Innate immunity, Transmembrane helix, Cell membrane, Direct protein sequencing, Calcium, 3D-structure, Cell adhesion, Magnesium, Repeat, Phagocytosis, Disease variant, Pyrrolidone carboxylic acid, Phosphoprotein",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v1
JAM1_ITGAL_ITGB2,JAM,F11R,ITGAL_ITGB2,,,,,PMID: 11812992,Cell-Cell Contact,JAM1 - (ITGAL+ITGB2),FALSE,F11R,Immunoglobulin,"Cell membrane, Cell junction, Tight junction","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Host cell receptor for virus entry, Receptor, Alternative splicing, Tight junction, Glycoprotein, Signal, Reference proteome, Immunoglobulin domain, Cell membrane, Transmembrane helix, Phosphoprotein, Direct protein sequencing, 3D-structure, Cell junction, Repeat",,TRUE,"ITGAL, ITGB2","Integrin alpha chain, Integrin beta chain","Cell membrane, Membrane raft","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Phagocytosis, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, 3D-structure, Cell adhesion, Magnesium, Repeat, Disease variant, Pyrrolidone carboxylic acid",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v1
MAG_MAG,MAG,MAG,MAG,,,,,KEGG: hsa04514,Cell-Cell Contact,MAG - MAG,FALSE,MAG,"Immunoglobulin superfamily, SIGLEC (sialic acid binding Ig-like lectin)","Cell membrane, Membrane raft","Membrane, Disulfide bond, Transmembrane, Lipid-binding, Hereditary spastic paraplegia, Alternative splicing, Repeat, Glycoprotein, Lectin, Disease variant, Signal, Reference proteome, Neurodegeneration, Immunoglobulin domain, Lipoprotein, Transmembrane helix, Cell membrane, Phosphoprotein, Palmitate, Cell adhesion, Ubl conjugation",,NA,MAG,"Immunoglobulin superfamily, SIGLEC (sialic acid binding Ig-like lectin)","Cell membrane, Membrane raft","Membrane, Disulfide bond, Transmembrane, Lipid-binding, Hereditary spastic paraplegia, Alternative splicing, Repeat, Glycoprotein, Lectin, Disease variant, Signal, Reference proteome, Neurodegeneration, Immunoglobulin domain, Lipoprotein, Transmembrane helix, Cell membrane, Phosphoprotein, Palmitate, Cell adhesion, Ubl conjugation",Miscellaneous,IG_AdhesionProteins;StructuralAndAdhesion,,,NA,CellChatDB v1
HLA-DPA1_CD4,MHC-II,HLA-DPA1,CD4,,,,,KEGG: hsa04514,Cell-Cell Contact,HLA-DPA1 - CD4,FALSE,HLA-DPA1,MHC class II,,,,NA,CD4,,Cell membrane,"Immunity, Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Host cell receptor for virus entry, Receptor, Adaptive immunity, Glycoprotein, Signal, Reference proteome, Immunoglobulin domain, Lipoprotein, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, 3D-structure, Palmitate, Repeat",Unclassified,Unclassified,,,NA,CellChatDB v1
SELPLG_SELE,SELPLG,SELPLG,SELE,,,,,PMC4571854,Cell-Cell Contact,SELPLG - SELE,FALSE,SELPLG,,Membrane,"Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Sialic acid, Host cell receptor for virus entry, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Pyrrolidone carboxylic acid, Transmembrane helix, Phosphoprotein, Sulfation, Direct protein sequencing, Cleavage on pair of basic residues, 3D-structure, Cell adhesion, Repeat",,TRUE,SELE,Selectin/LECAM,Cell membrane,"Membrane, Disulfide bond, Transmembrane, EGF-like domain, Glycoprotein, Lectin, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Calcium, Sushi, 3D-structure, Cell adhesion, Repeat",Receptors,Other_receptors;Selectin,,,TRUE,CellChatDB v1
SELPLG_SELL,SELPLG,SELPLG,SELL,,,,,"PMC2431087; PMID:  8892633,PMID:  8896607",Cell-Cell Contact,SELPLG - SELL,FALSE,SELPLG,,Membrane,"Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Sialic acid, Host cell receptor for virus entry, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Pyrrolidone carboxylic acid, Transmembrane helix, Phosphoprotein, Sulfation, Direct protein sequencing, Cleavage on pair of basic residues, 3D-structure, Cell adhesion, Repeat",,TRUE,SELL,Selectin/LECAM,Cell membrane,"Membrane, Alternative initiation, Disulfide bond, Transmembrane, EGF-like domain, Glycoprotein, Lectin, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Calcium, Sushi, 3D-structure, Cell adhesion, Repeat",Receptors,Other_receptors;Selectin,,,TRUE,CellChatDB v1
SELPLG_SELP,SELPLG,SELPLG,SELP,,,,,PMID: 19118202; PMID: 9829984,Cell-Cell Contact,SELPLG - SELP,FALSE,SELPLG,,Membrane,"Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Sialic acid, Host cell receptor for virus entry, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Pyrrolidone carboxylic acid, Transmembrane helix, Phosphoprotein, Sulfation, Direct protein sequencing, Cleavage on pair of basic residues, 3D-structure, Cell adhesion, Repeat",,TRUE,SELP,Selectin/LECAM,Cell membrane,"Membrane, Disulfide bond, Transmembrane, EGF-like domain, Glycoprotein, Lectin, Signal, Reference proteome, Lipoprotein, Metal-binding, Transmembrane helix, Cell membrane, Calcium, Sushi, 3D-structure, Palmitate, Cell adhesion, Repeat",Receptors,Other_receptors;Selectin,,,TRUE,CellChatDB v1
SEMA6D_PLXNA1_TREM2,SEMA6,SEMA6D,PLXNA1_TREM2,,,,,PMID: 22325954,Cell-Cell Contact,SEMA6D - (PLXNA1+TREM2),FALSE,SEMA6D,Semaphorin,"Cytoplasm, Cell membrane","Membrane, Signal, Developmental protein, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Phosphoprotein, Differentiation, Transmembrane, Neurogenesis, Cytoplasm, Alternative splicing, Glycoprotein",,TRUE,"TREM2, TYROBP, PLXNA1","TYROBP, Plexin","Cell membrane, Secreted","Membrane, Disulfide bond, Secreted, Transmembrane, Lipid-binding, Receptor, Alternative splicing, Glycoprotein, Disease variant, Signal, Reference proteome, Neurodegeneration, Immunoglobulin domain, Cell membrane, Transmembrane helix, 3D-structure, Immunity, Phosphoprotein, Metal-binding, Calcium, Coiled coil, Repeat",Receptors,"IG;OtherTREM, Other_receptors;Plexin",,,TRUE,CellChatDB v1
THY1_ITGAM_ITGB2,THY1,THY1,ITGAM_ITGB2,,,,,PMID: 15850796,Cell-Cell Contact,THY1 - (ITGAM+ITGB2),FALSE,THY1,,"Cell membrane, GPI-anchor","Membrane, Signal, Reference proteome, Pyrrolidone carboxylic acid, Immunoglobulin domain, Lipoprotein, GPI-anchor, Phosphoprotein, Disulfide bond, Cell membrane, Glycoprotein",,TRUE,"ITGAM, ITGB2","Integrin alpha chain, Integrin beta chain","Membrane raft, Cell membrane","Systemic lupus erythematosus, Immunity, Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Innate immunity, Transmembrane helix, Cell membrane, Direct protein sequencing, Calcium, 3D-structure, Cell adhesion, Magnesium, Repeat, Phagocytosis, Disease variant, Pyrrolidone carboxylic acid, Phosphoprotein",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v1
THY1_ITGAX_ITGB2,THY1,THY1,ITGAX_ITGB2,,,,,PMID: 15850796,Cell-Cell Contact,THY1 - (ITGAX+ITGB2),FALSE,THY1,,"Cell membrane, GPI-anchor","Membrane, Signal, Reference proteome, Pyrrolidone carboxylic acid, Immunoglobulin domain, Lipoprotein, GPI-anchor, Phosphoprotein, Disulfide bond, Cell membrane, Glycoprotein",,TRUE,"ITGAX, ITGB2","Integrin alpha chain, Integrin beta chain","Membrane, Membrane raft, Cell membrane","Membrane, Disulfide bond, Transmembrane, Receptor, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Direct protein sequencing, Calcium, 3D-structure, Cell adhesion, Magnesium, Repeat, Phagocytosis, Disease variant, Pyrrolidone carboxylic acid, Cell membrane, Phosphoprotein",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v1
APP_TREM2_TYROBP,APP,APP,TREM2_TYROBP,,,,,PMID:27477013,Cell-Cell Contact,APP - (TREM2+TYROBP),FALSE,APP,APP,"Perikaryon, Cell projection, Membrane, Cytoplasmic vesicle, Growth cone, Clathrin-coated pit, Cell membrane, Early endosome","Secreted, Copper, Alzheimer disease, Cytoplasm, Notch signaling pathway, Cytoplasmic vesicle, Endoplasmic reticulum, Glycoprotein, Disease variant, Cell projection, Metal-binding, Transmembrane helix, Cell membrane, Direct protein sequencing, Golgi apparatus, Zinc, Isopeptide bond, Amyloid, Heparin-binding, Ubl conjugation, Protease inhibitor, Membrane, Disulfide bond, Transmembrane, Iron, Endosome, Oxidation, Alternative splicing, Serine protease inhibitor, Amyloidosis, Endocytosis, Signal, Reference proteome, Neurodegeneration, Nucleus, Phosphoprotein, Sulfation, Apoptosis, Coated pit, 3D-structure, Cell adhesion, Proteoglycan",,TRUE,"TREM2, TYROBP",TYROBP,"Cell membrane, Secreted","Membrane, Disulfide bond, Secreted, Transmembrane, Lipid-binding, Receptor, Alternative splicing, Glycoprotein, Disease variant, Signal, Reference proteome, Neurodegeneration, Immunoglobulin domain, Cell membrane, Transmembrane helix, 3D-structure, Immunity, Phosphoprotein, Metal-binding, Calcium",Receptors,IG;OtherTREM,,,TRUE,CellChatDB v2
APOA1_TREM2_TYROBP,ApoA,APOA1,TREM2_TYROBP,,,,,uniprot;PMID:27477018,Cell-Cell Contact,APOA1 - TREM2,FALSE,APOA1,Apolipoprotein A1/A4/E,Secreted,"Glycation, Lipid transport, Secreted, Cholesterol metabolism, Neuropathy, Oxidation, Glycoprotein, Amyloidosis, Disease variant, Steroid metabolism, Atherosclerosis, Signal, Reference proteome, Sterol metabolism, Lipoprotein, Phosphoprotein, Lipid metabolism, Transport, Direct protein sequencing, HDL, 3D-structure, Amyloid, Palmitate, Repeat",secreted,FALSE,"TREM2, TYROBP",TYROBP,"Cell membrane, Secreted","Membrane, Disulfide bond, Secreted, Transmembrane, Lipid-binding, Receptor, Alternative splicing, Glycoprotein, Disease variant, Signal, Reference proteome, Neurodegeneration, Immunoglobulin domain, Cell membrane, Transmembrane helix, 3D-structure, Immunity, Phosphoprotein, Metal-binding, Calcium",Receptors,IG;OtherTREM,,,TRUE,CellChatDB v2
APOA2_TREM2_TYROBP,ApoA,APOA2,TREM2_TYROBP,,,,,uniprot;PMID:27477017,Cell-Cell Contact,APOA2 - TREM2,FALSE,APOA2,Apolipoprotein A2,Secreted,"Signal, Reference proteome, Lipid transport, Pyrrolidone carboxylic acid, Host-virus interaction, Disulfide bond, Phosphoprotein, Secreted, Transport, Direct protein sequencing, Oxidation, Cleavage on pair of basic residues, HDL, Glycoprotein",secreted,FALSE,"TREM2, TYROBP",TYROBP,"Cell membrane, Secreted","Membrane, Disulfide bond, Secreted, Transmembrane, Lipid-binding, Receptor, Alternative splicing, Glycoprotein, Disease variant, Signal, Reference proteome, Neurodegeneration, Immunoglobulin domain, Cell membrane, Transmembrane helix, 3D-structure, Immunity, Phosphoprotein, Metal-binding, Calcium",Receptors,IG;OtherTREM,,,TRUE,CellChatDB v2
APOB_TREM2_TYROBP,ApoB,APOB,TREM2_TYROBP,,,,,uniprot;PMID:27477016,Cell-Cell Contact,APOB - TREM2,FALSE,APOB,,"Cytoplasm, Secreted, Lipid droplet","Lipid transport, Secreted, Disulfide bond, Cholesterol metabolism, LDL, RNA editing, Cytoplasm, Chylomicron, Glycoprotein, VLDL, Disease variant, Steroid metabolism, Atherosclerosis, Signal, Reference proteome, Sterol metabolism, Lipoprotein, Phosphoprotein, Lipid metabolism, Lipid droplet, Transport, Direct protein sequencing, Palmitate, Heparin-binding, Acetylation",secreted,FALSE,"TREM2, TYROBP",TYROBP,"Cell membrane, Secreted","Membrane, Disulfide bond, Secreted, Transmembrane, Lipid-binding, Receptor, Alternative splicing, Glycoprotein, Disease variant, Signal, Reference proteome, Neurodegeneration, Immunoglobulin domain, Cell membrane, Transmembrane helix, 3D-structure, Immunity, Phosphoprotein, Metal-binding, Calcium",Receptors,IG;OtherTREM,,,TRUE,CellChatDB v2
APOE_TREM2_TYROBP,ApoE,APOE,TREM2_TYROBP,,,,,uniprot;PMID:27477015,Cell-Cell Contact,APOE - TREM2,FALSE,APOE,Apolipoprotein A1/A4/E,"Extracellular vesicle, Secreted, Extracellular matrix, Multivesicular body, Extracellular space, Endosome","Glycation, Lipid transport, Host-virus interaction, Secreted, Extracellular matrix, Cholesterol metabolism, Endosome, Lipid-binding, Oxidation, Alzheimer disease, Chylomicron, Glycoprotein, VLDL, Disease variant, Steroid metabolism, Amyloidosis, Signal, Reference proteome, Sterol metabolism, Neurodegeneration, Phosphoprotein, Lipid metabolism, Transport, Direct protein sequencing, Hyperlipidemia, HDL, 3D-structure, Heparin-binding, Repeat",secreted,FALSE,"TREM2, TYROBP",TYROBP,"Cell membrane, Secreted","Membrane, Disulfide bond, Secreted, Transmembrane, Lipid-binding, Receptor, Alternative splicing, Glycoprotein, Disease variant, Signal, Reference proteome, Neurodegeneration, Immunoglobulin domain, Cell membrane, Transmembrane helix, 3D-structure, Immunity, Phosphoprotein, Metal-binding, Calcium",Receptors,IG;OtherTREM,,,TRUE,CellChatDB v2
LAIR1_LILRB4,LAIR1,LAIR1,LILRB4,,,,,PMID:19283782,Cell-Cell Contact,LAIR1 - LILRB4,FALSE,LAIR1,,Cell membrane,"Immunity, Membrane, Signal, Reference proteome, Immunoglobulin domain, Cell membrane, Transmembrane helix, Disulfide bond, Phosphoprotein, Transmembrane, Receptor, Alternative splicing, 3D-structure, Adaptive immunity, Glycoprotein",,TRUE,LILRB4,,Cell membrane,"Immunity, Membrane, Signal, Reference proteome, Immunoglobulin domain, Cell membrane, Transmembrane helix, Disulfide bond, Phosphoprotein, Transmembrane, Receptor, Alternative splicing, 3D-structure, Adaptive immunity, Repeat",,,,,TRUE,CellChatDB v2
VCAM1_INTEGRIN_ADB2,VCAM,VCAM1,ITGAD_ITGB2,,,,,PMID: 9525279,Cell-Cell Contact,VCAM1 - (ITGAD+ITGB2),FALSE,VCAM1,,Membrane,"Membrane, Signal, Reference proteome, Immunoglobulin domain, Transmembrane helix, Disulfide bond, Transmembrane, Direct protein sequencing, Alternative splicing, Repeat, 3D-structure, Cell adhesion, Glycoprotein",,TRUE,"ITGAD, ITGB2","Integrin alpha chain, Integrin beta chain","Membrane, Membrane raft, Cell membrane","Membrane, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Disulfide bond, Transmembrane, Calcium, Receptor, Glycoprotein, Cell adhesion, Magnesium, Repeat, Phagocytosis, Disease variant, Pyrrolidone carboxylic acid, Cell membrane, Phosphoprotein, Direct protein sequencing, 3D-structure",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v2
