Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000113716,HMGXB3,24,0.17727,11,-0.9376,24,0.22096,30,0.54641,31,0.62492,26,0.32740,6,-1.8684,23,0.17170
ENSG00000011083,SLC6A7,0,-5.4434,55,0.61940,18,-1.1056,6,-2.7364,63,0.86011,27,-0.5465,31,-0.3177,63,1.12533
ENSG00000070808,CAMK2A,39,-3.6460,623,0.50909,738,0.78792,505,0.17199,168,-1.5100,517,0.23153,282,-0.7890,589,0.52938
ENSG00000070814,TCOF1,78,0.53490,53,-0.0801,39,-0.5217,26,-1.1466,83,0.64124,85,0.77355,36,-0.7124,48,-0.2604
ENSG00000019582,CD74,26,-0.5500,2,-4.1452,63,0.83297,71,1.01368,248,3.70886,0,-5.7362,13,-1.6231,5,-3.2368
ENSG00000164587,RPS14,887,0.44212,793,0.26150,1117,0.82111,731,0.13149,397,-0.8132,316,-1.2356,1016,0.75167,493,-0.5691
ENSG00000070614,NDST1,43,1.00093,18,-0.3261,10,-1.2325,67,1.80998,10,-1.2396,15,-0.6810,8,-1.6149,27,0.29474
ENSG00000171992,SYNPO,10,-4.0644,225,0.50469,257,0.72506,177,0.12558,144,-0.2012,133,-0.3457,90,-0.9753,235,0.74167
ENSG00000086589,RBM22,51,0.23367,31,-0.5258,22,-1.0014,11,-2.0691,37,-0.2637,38,-0.2413,55,0.40148,62,0.72559
ENSG00000132912,DCTN4,50,-0.3578,65,0.05815,37,-0.7819,59,-0.0810,30,-1.0885,48,-0.4233,73,0.27214,88,0.70850
ENSG00000211445,GPX3,6,-3.5248,42,-0.7358,53,-0.3667,33,-1.0725,92,0.50383,29,-1.3732,29,-1.3616,155,2.02130
ENSG00000145901,TNIP1,22,-0.6185,40,0.29658,43,0.42072,32,-0.0663,45,0.47820,25,-0.4764,31,-0.1005,34,0.07579
ENSG00000197043,ANXA6,21,-3.5204,118,-1.0068,107,-1.1563,74,-1.6931,177,-0.3943,306,0.52940,253,0.18511,372,1.05015
ENSG00000196743,GM2A,53,1.33626,16,-0.6125,33,0.56126,45,1.03869,34,0.56357,13,-0.9903,11,-1.2159,18,-0.4849
ENSG00000113140,SPARC,246,0.96841,22,-2.6907,252,1.01014,277,1.17169,397,1.82798,52,-1.5407,43,-1.8222,80,-0.9346
ENSG00000177556,ATOX1,129,0.08309,98,-0.3406,146,0.27054,95,-0.3909,133,0.12707,67,-0.9838,159,0.45874,139,0.24920
ENSG00000145907,G3BP1,40,0.14683,15,-1.3634,36,-0.0098,38,0.06213,47,0.40014,34,-0.1464,23,-0.7834,50,0.63237
ENSG00000155511,GRIA1,26,-2.2649,88,-0.4796,76,-0.7072,49,-1.3654,142,0.26144,176,0.68651,134,0.18652,147,0.40519
ENSG00000164576,SAP30L,21,-0.5469,58,1.06860,30,-0.0278,18,-0.7472,19,-0.7291,31,0.05133,33,0.17531,29,-0.0768
ENSG00000155506,LARP1,199,-0.3562,285,0.20691,155,-0.7412,221,-0.1911,277,0.15793,372,0.71653,212,-0.2825,233,-0.1359
ENSG00000170271,FAXDC2,90,2.26059,6,-1.9443,30,0.35543,85,2.14426,8,-1.5840,12,-1.1577,12,-1.0847,8,-1.8477
ENSG00000155508,CNOT8,16,-1.0502,12,-1.3894,35,0.13819,28,-0.1819,41,0.42851,41,0.44145,26,-0.3088,38,0.34644
ENSG00000082515,MRPL22,19,-0.3976,16,-0.6973,21,-0.2901,13,-1.0169,20,-0.3622,20,-0.3603,54,1.46758,21,-0.2989
ENSG00000055163,CYFIP2,73,-2.5056,347,-0.1738,271,-0.5540,303,-0.3830,369,-0.0783,454,0.27497,450,0.26097,495,0.48916
ENSG00000155858,LSM11,9,-1.9254,44,0.39860,29,-0.2345,8,-2.1818,28,-0.2991,45,0.49447,15,-1.3333,57,1.09606
ENSG00000113282,CLINT1,45,-0.2334,96,0.97833,27,-0.9899,42,-0.3261,47,-0.1597,70,0.50534,34,-0.6903,54,0.06315
ENSG00000145860,RNF145,57,-1.2388,87,-0.6104,71,-0.9123,79,-0.7533,171,0.45067,184,0.63994,125,-0.0573,155,0.36347
ENSG00000164332,UBLCP1,34,-1.1984,68,-0.1380,46,-0.7304,43,-0.8205,27,-1.5225,99,0.51814,88,0.31271,98,0.57878
ENSG00000113312,TTC1,134,-0.1853,218,0.59519,106,-0.5415,107,-0.5228,85,-0.8725,201,0.51123,140,-0.1197,158,0.09350
ENSG00000170234,PWWP2A,214,2.74931,41,-0.1952,32,-0.5841,38,-0.2973,31,-0.6205,46,-0.0403,20,-1.3479,24,-1.1637
ENSG00000164609,SLU7,174,-0.3246,295,0.50517,141,-0.6503,137,-0.6967,109,-1.0321,308,0.64796,196,-0.1579,238,0.20082
ENSG00000145864,GABRB2,159,-1.8097,492,-0.1080,230,-1.2655,195,-1.5095,589,0.17786,873,0.93291,436,-0.3228,679,0.51166
ENSG00000022355,GABRA1,69,-2.7912,395,-0.1874,213,-1.1301,148,-1.6691,403,-0.1566,683,0.77726,372,-0.3083,670,0.85234
ENSG00000113327,GABRG2,26,-3.3742,178,-0.5250,127,-1.0280,88,-1.5721,177,-0.5271,399,0.86333,241,-0.0537,371,0.82868
ENSG00000170584,NUDCD2,57,1.19342,15,-0.9363,27,-0.0523,41,0.62033,21,-0.4390,25,-0.1610,21,-0.4258,26,-0.1165
ENSG00000038274,MAT2B,11,-2.8772,84,0.12996,60,-0.3852,36,-1.1566,70,-0.1524,86,0.19832,89,0.25003,105,0.61932
ENSG00000145934,TENM2,21,-2.1894,76,-0.2578,52,-0.8161,73,-0.3035,58,-0.6482,120,0.52333,71,-0.3737,136,0.88042
ENSG00000113645,WWC1,26,-0.5681,22,-0.8685,48,0.35997,92,1.44834,16,-1.2959,31,-0.3476,30,-0.4048,44,0.28456
ENSG00000113643,RARS,24,-0.8642,43,0.03559,50,0.27466,17,-1.3685,27,-0.7074,65,0.77214,43,0.03681,43,0.04984
ENSG00000188573,FBLL1,9,-2.5759,62,0.25080,46,-0.1973,12,-2.1568,47,-0.1738,43,-0.3541,65,0.36611,80,0.87324
ENSG00000120137,PANK3,38,-0.6033,86,0.67772,35,-0.7158,30,-0.9508,73,0.42414,76,0.54888,45,-0.3724,56,0.00245
ENSG00000184347,SLIT3,1,-4.6831,17,-0.9608,13,-1.3603,7,-2.2697,84,1.55428,55,0.91822,50,0.73681,21,-0.7632
ENSG00000040275,SPDL1,58,2.11579,18,0.13974,7,-1.2267,13,-0.3193,2,-2.8794,25,0.75200,15,-0.1992,7,-1.4536
ENSG00000181163,NPM1,222,0.21780,216,0.17331,155,-0.3470,157,-0.3255,112,-0.8318,224,0.26276,215,0.18748,193,-0.0042
ENSG00000072803,FBXW11,84,-0.5412,113,-0.0855,81,-0.6022,83,-0.5630,112,-0.0975,133,0.18770,114,-0.0844,156,0.53237
ENSG00000120129,DUSP1,18,-1.2289,29,-0.5045,28,-0.5528,10,-2.0374,256,3.56290,11,-2.0134,21,-1.0574,28,-0.7064
ENSG00000113719,ERGIC1,26,-0.5425,20,-0.9392,45,0.31500,28,-0.4371,26,-0.5383,33,-0.1891,22,-0.8680,63,1.14625
ENSG00000037241,RPL26L1,18,-0.9291,30,-0.2008,35,0.06188,24,-0.5287,35,0.05394,30,-0.1876,41,0.31729,41,0.36319
ENSG00000113732,ATP6V0E1,19,-0.4926,3,-3.0209,28,0.14867,69,1.62658,47,0.95254,8,-1.8274,34,0.50641,20,-0.4763
ENSG00000164463,CREBRF,111,0.22131,127,0.42629,39,-1.3950,77,-0.3640,83,-0.2304,123,0.42134,73,-0.4642,111,0.26605
ENSG00000145919,BOD1,12,-1.5408,27,-0.3952,31,-0.1922,25,-0.5079,55,0.72633,23,-0.6751,52,0.70595,40,0.24530
ENSG00000113742,CPEB4,177,0.19423,215,0.50780,127,-0.3219,153,-0.0315,130,-0.2859,223,0.64527,99,-0.7607,143,-0.1696
ENSG00000170091,NSG2,42,-2.8031,178,-0.6784,168,-0.7606,106,-1.4466,307,0.17131,207,-0.4789,188,-0.6431,572,1.69064
ENSG00000164466,SFXN1,44,-0.7103,49,-0.5295,63,-0.1456,46,-0.6525,80,0.21605,87,0.39321,59,-0.2860,87,0.45122
ENSG00000113749,HRH2,4,-2.7479,33,0.15480,24,-0.3131,9,-1.7108,20,-0.5669,33,0.19474,23,-0.4261,51,1.15411
ENSG00000145920,CPLX2,31,-3.9717,935,1.19921,633,0.54319,532,0.26055,396,-0.2045,394,-0.2326,413,-0.1497,424,-0.1175
ENSG00000051596,THOC3,8,-1.4782,10,-1.1908,10,-1.1306,14,-0.6872,22,0.06582,15,-0.5811,26,0.30951,38,1.19811
ENSG00000122203,KIAA1191,32,-1.7072,110,0.17075,83,-0.2641,75,-0.4281,78,-0.3665,82,-0.3168,148,0.72654,116,0.31803
ENSG00000175414,ARL10,27,-0.4156,33,-0.1061,22,-0.6963,20,-0.8540,15,-1.3362,64,1.09735,31,-0.2259,39,0.19965
ENSG00000146066,HIGD2A,47,-0.4852,40,-0.7332,52,-0.3178,77,0.28157,75,0.23696,51,-0.3961,107,0.92841,55,-0.2808
ENSG00000175416,CLTB,64,-1.6894,140,-0.5171,148,-0.4304,121,-0.7338,199,0.03295,135,-0.6107,269,0.57776,286,0.79885
ENSG00000113194,FAF2,52,0.02980,40,-0.3675,27,-0.9704,88,0.88798,63,0.34965,79,0.79880,33,-0.7252,39,-0.4972
ENSG00000146083,RNF44,10,-2.3572,45,-0.1591,60,0.27493,39,-0.3858,28,-0.8976,45,-0.1949,51,0.04519,76,0.85914
ENSG00000169258,GPRIN1,9,-1.9721,10,-1.8193,42,0.34348,28,-0.3059,16,-1.1104,37,0.12715,32,-0.1192,55,1.03090
ENSG00000074317,SNCB,44,-3.5794,593,0.29221,321,-0.6648,189,-1.4615,325,-0.6416,466,-0.0951,645,0.47926,740,0.84986
ENSG00000048140,TSPAN17,6,-2.0261,21,-0.3338,32,0.33860,17,-0.6128,8,-1.7271,20,-0.4718,29,0.20256,43,1.07078
ENSG00000113763,UNC5A,3,-3.6280,29,-0.6117,21,-1.0530,16,-1.4756,29,-0.5721,46,0.11742,46,0.12610,77,1.28295
ENSG00000087206,UIMC1,52,1.55257,10,-1.0192,11,-0.9403,27,0.46137,52,1.57534,20,-0.0130,6,-1.8879,13,-0.8050
ENSG00000165671,NSD1,98,0.74319,73,0.27229,35,-0.8524,60,-0.0291,36,-0.8064,90,0.67548,44,-0.5738,56,-0.1639
ENSG00000169230,PRELID1,34,-1.2505,43,-0.9074,70,-0.1528,77,-0.0207,57,-0.4866,51,-0.6917,146,1.19103,85,0.18312
ENSG00000169223,LMAN2,19,-1.1273,7,-2.5879,34,-0.2210,36,-0.1397,67,0.85121,39,0.01419,39,0.01555,50,0.49401
ENSG00000169220,RGS14,0,-8.2269,8,-1.4871,13,-0.7792,26,0.31302,11,-0.9524,8,-1.4580,37,0.98117,36,1.12356
ENSG00000198055,GRK6,10,-0.9392,30,0.75551,14,-0.4316,11,-0.7854,39,1.16636,10,-1.0065,13,-0.6523,25,0.59936
ENSG00000131188,PRR7,12,-1.3340,9,-1.7865,43,0.58807,31,0.05867,23,-0.4133,29,-0.0117,26,-0.1987,42,0.72322
ENSG00000113758,DBN1,12,-2.7545,51,-0.6121,63,-0.2824,80,0.09340,96,0.38540,99,0.47306,60,-0.3977,96,0.48007
ENSG00000196923,PDLIM7,3,-2.9807,14,-0.6576,20,-0.1664,22,0.00243,73,2.05176,10,-1.2445,17,-0.4503,26,0.33821
ENSG00000183258,DDX41,13,-2.0224,42,-0.2904,51,-0.0067,30,-0.8252,53,0.07319,46,-0.1704,64,0.39544,67,0.56766
ENSG00000146067,FAM193B,30,0.37194,24,0.00530,14,-0.7846,19,-0.3045,84,2.19965,18,-0.4293,15,-0.7251,15,-0.8009
ENSG00000184840,TMED9,11,-2.0406,19,-1.2151,38,-0.1986,45,0.04830,50,0.21354,41,-0.1130,35,-0.3558,69,0.96860
ENSG00000027847,B4GALT7,0,-6.0878,21,0.20070,16,-0.1989,8,-1.2458,36,1.08060,18,0.02686,11,-0.7680,26,0.74318
ENSG00000170074,FAM153A,2,-3.4804,2,-3.3182,7,-1.5006,8,-1.4748,5,-1.9972,73,2.75590,7,-1.6056,22,0.08735
ENSG00000204677,FAM153CP,19,-1.8539,21,-1.7002,47,-0.5213,47,-0.5287,136,1.18213,187,2.14698,18,-2.0343,37,-1.0086
ENSG00000145916,RMND5B,8,-1.8398,25,-0.1296,25,-0.1463,9,-1.6591,41,0.65464,22,-0.3227,37,0.54360,33,0.40256
ENSG00000145912,NHP2,54,-1.3695,116,-0.2245,157,0.25102,76,-0.8721,105,-0.3802,91,-0.6451,210,0.82599,165,0.42024
ENSG00000197451,HNRNPAB,36,-0.5456,49,-0.0728,35,-0.5962,36,-0.5796,90,0.88620,42,-0.3438,77,0.72495,45,-0.2467
ENSG00000113240,CLK4,34,0.11799,18,-0.8507,20,-0.6646,26,-0.2827,54,0.83917,53,0.94956,19,-0.8580,28,-0.2364
ENSG00000176783,RUFY1,48,0.88999,16,-0.8699,39,0.54791,30,0.12805,10,-1.5718,46,0.91710,14,-1.1163,24,-0.3049
ENSG00000169045,HNRNPH1,103,-0.0413,70,-0.6247,72,-0.6023,132,0.35054,202,1.05337,112,0.10057,59,-0.9642,116,0.18284
ENSG00000127022,CANX,548,0.49703,326,-0.3260,229,-0.8619,523,0.42214,522,0.41988,504,0.40175,244,-0.8237,391,-0.0505
ENSG00000161013,MGAT4B,6,-2.4229,29,-0.1460,45,0.55468,34,0.09906,42,0.42673,19,-0.8577,28,-0.2158,44,0.66443
ENSG00000161011,SQSTM1,90,-0.7976,92,-0.7671,157,0.04974,132,-0.2235,185,0.31317,123,-0.3575,219,0.65594,161,0.11490
ENSG00000161010,MRNIP,9,-1.1137,11,-0.8644,5,-2.0955,22,0.17876,24,0.25727,18,-0.1395,28,0.58904,25,0.46458
ENSG00000197226,TBC1D9B,72,0.18444,46,-0.5171,72,0.18547,66,0.04797,73,0.22053,50,-0.4215,66,0.06121,69,0.14043
ENSG00000113269,RNF130,150,0.77319,68,-0.4807,99,0.10740,78,-0.2679,102,0.14267,85,-0.1462,89,-0.0683,89,-0.0739
ENSG00000050748,MAPK9,46,-1.9754,185,0.14312,111,-0.6517,68,-1.3837,99,-0.8282,170,0.00591,241,0.63126,234,0.66229
ENSG00000113300,CNOT6,16,-0.3089,36,0.99253,10,-0.9895,24,0.31707,29,0.62516,17,-0.1593,10,-0.9992,21,0.12900
ENSG00000131446,MGAT1,26,-0.4751,28,-0.3631,21,-0.7509,48,0.48906,47,0.44378,29,-0.3082,30,-0.2702,45,0.47649
ENSG00000278970,HEIH,14,-0.8874,34,0.47554,46,0.96001,28,0.17594,22,-0.1751,13,-1.0481,22,-0.2359,29,0.29074
ENSG00000250222,AC008443.5,26,0.43189,21,0.11282,38,1.04681,25,0.37756,16,-0.2847,3,-2.7398,34,0.96768,12,-0.8307
ENSG00000146063,TRIM41,56,0.68430,62,0.85479,38,0.07188,22,-0.7820,31,-0.2360,33,-0.1754,36,-0.0073,30,-0.3629
ENSG00000204628,RACK1,301,0.27374,217,-0.2391,349,0.51293,239,-0.0890,373,0.62337,149,-0.8748,292,0.24754,226,-0.2171
ENSG00000183718,TRIM52,25,0.07537,14,-0.7927,13,-0.9851,7,-1.8698,30,0.33535,49,1.31783,14,-0.9001,25,0.09209
ENSG00000112679,DUSP22,33,0.22931,23,-0.3016,30,0.06668,21,-0.4815,20,-0.5561,32,0.17253,31,0.11617,30,0.12513
ENSG00000112685,EXOC2,13,-0.7066,5,-1.9057,25,0.30849,7,-1.6348,14,-0.5245,24,0.29250,22,0.12951,29,0.74364
ENSG00000124535,WRNIP1,25,-0.8985,32,-0.5265,23,-1.0371,20,-1.2384,83,0.98917,53,0.27852,51,0.21765,50,0.20683
ENSG00000124570,SERPINB6,74,1.11414,7,-2.4336,36,-0.0341,61,0.79319,131,2.16697,16,-1.3485,17,-1.2258,24,-0.8085
ENSG00000124588,NQO2,26,-1.0941,38,-0.5564,37,-0.5707,57,0.08954,76,0.53460,54,-0.0009,48,-0.2221,71,0.53553
ENSG00000137267,TUBB2A,97,-3.1727,386,-1.1400,470,-0.8441,336,-1.3469,708,-0.2169,828,0.03066,1312,0.87799,1161,0.73445
ENSG00000137285,TUBB2B,43,-1.9936,56,-1.6151,255,0.71458,685,2.55435,185,0.19423,39,-2.2486,97,-0.8676,155,-0.0974
ENSG00000180822,PSMG4,10,-1.2069,21,-0.1427,18,-0.4020,34,0.57707,14,-0.7528,21,-0.1439,30,0.40369,27,0.28315
ENSG00000137266,SLC22A23,25,-0.1874,13,-1.1676,17,-0.7725,28,-0.0348,58,1.17036,29,0.04150,31,0.15699,26,-0.1399
ENSG00000112739,PRPF4B,445,1.39220,167,-0.2185,74,-1.4527,158,-0.3091,261,0.48621,245,0.43033,141,-0.5233,144,-0.5354
ENSG00000198721,ECI2,35,0.07266,27,-0.3553,40,0.28766,55,0.78918,84,1.51959,23,-0.6166,23,-0.6576,24,-0.6413
ENSG00000153046,CDYL,57,0.62466,93,1.47212,48,0.34074,65,0.83750,12,-1.7739,38,0.00621,27,-0.5755,18,-1.2735
ENSG00000214113,LYRM4,12,-1.8079,68,0.83542,43,0.09080,44,0.12242,34,-0.2740,40,-0.0327,45,0.18572,39,-0.0936
ENSG00000124785,NRN1,57,-1.9381,285,0.52338,164,-0.3513,85,-1.3408,216,0.07732,192,-0.1187,305,0.71289,222,0.15109
ENSG00000216863,LY86-AS1,4,-2.5184,29,0.24384,20,-0.3080,3,-2.8040,0,-7.2594,52,1.39081,22,-0.2105,31,0.45718
ENSG00000124783,SSR1,73,-0.2290,48,-0.8634,66,-0.3647,143,0.85627,101,0.28623,83,-0.0197,53,-0.7483,102,0.37771
ENSG00000124784,RIOK1,30,0.35486,45,0.98681,8,-1.5396,24,-0.0406,13,-0.8859,27,0.18445,19,-0.4309,26,0.15293
ENSG00000168566,SNRNP48,54,1.38842,17,-0.4636,15,-0.6261,28,0.27970,53,1.34836,25,0.13329,14,-0.8503,11,-1.2464
ENSG00000239264,TXNDC5,11,-1.3066,6,-2.1385,40,0.64256,25,-0.1088,92,2.13859,19,-0.5574,13,-1.1524,27,0.03239
ENSG00000124802,EEF1E1,11,-1.4474,26,-0.1956,36,0.31549,16,-0.9058,21,-0.5317,26,-0.1824,39,0.49683,38,0.47883
ENSG00000111845,PAK1IP1,44,0.23852,42,0.16778,20,-0.9425,28,-0.4772,34,-0.1834,76,1.30312,21,-0.9876,31,-0.3454
ENSG00000111843,TMEM14C,23,-1.3171,50,-0.1420,40,-0.4921,63,0.24091,47,-0.2225,50,-0.1312,67,0.35723,65,0.36487
ENSG00000137210,TMEM14B,49,-0.3713,55,-0.2002,50,-0.3490,43,-0.5564,66,0.10277,63,0.02734,80,0.44903,65,0.10172
ENSG00000224531,SMIM13,33,-1.3667,62,-0.4379,55,-0.6301,37,-1.1923,48,-0.8377,87,0.09389,117,0.63378,115,0.68036
ENSG00000205269,TMEM170B,15,-1.5454,40,-0.0956,54,0.34426,42,-0.0222,38,-0.1822,36,-0.3132,33,-0.4355,63,0.78053
ENSG00000095951,HIVEP1,21,-0.7950,48,0.43115,35,-0.0472,17,-1.1349,25,-0.5842,78,1.45787,30,-0.3168,24,-0.6995
ENSG00000112137,PHACTR1,53,-1.9262,320,0.85121,221,0.24775,153,-0.3272,174,-0.1321,210,0.18392,181,-0.0732,189,-0.0054
ENSG00000145979,TBC1D7,6,-1.5601,24,0.37876,12,-0.7198,3,-2.6208,20,0.10431,21,0.15273,19,-0.0032,27,0.75637
ENSG00000145990,GFOD1,47,-2.3485,251,0.18140,176,-0.3728,154,-0.5773,209,-0.1057,289,0.45001,211,-0.1076,284,0.47710
ENSG00000124523,SIRT5,9,-1.7190,9,-1.6085,19,-0.5615,11,-1.3295,19,-0.5979,34,0.37878,37,0.50377,41,0.80026
ENSG00000225921,NOL7,113,0.07712,159,0.62166,70,-0.6654,139,0.41114,185,0.87617,97,-0.1846,95,-0.2091,81,-0.5297
ENSG00000010017,RANBP9,24,-1.4830,41,-0.6516,38,-0.7800,28,-1.2219,90,0.55599,62,-0.0419,96,0.74984,74,0.31950
ENSG00000050393,MCUR1,23,-1.1516,46,-0.0864,57,0.23049,49,-0.0006,41,-0.2743,55,0.20861,58,0.29357,48,-0.0183
ENSG00000112149,CD83,4,-2.9646,20,-0.6957,19,-0.7639,15,-1.0838,27,-0.2078,22,-0.5844,37,0.29855,57,1.32652
ENSG00000008083,JARID2,36,0.30364,17,-0.8084,18,-0.7638,44,0.65130,55,1.01132,25,-0.2458,10,-1.7354,37,0.48523
ENSG00000047579,DTNBP1,49,0.16787,28,-0.6882,48,0.12174,46,0.06513,31,-0.5355,16,-1.5885,54,0.35962,63,0.70129
ENSG00000007944,MYLIP,44,1.44939,13,-0.5446,10,-0.8415,16,-0.2423,21,0.19969,19,0.05280,9,-1.1186,20,0.16548
ENSG00000124788,ATXN1,70,-0.6373,179,0.84065,130,0.31994,102,-0.0611,96,-0.1580,130,0.35132,90,-0.2877,86,-0.3853
ENSG00000112186,CAP2,38,-2.7109,233,0.00103,111,-1.1252,78,-1.6588,121,-0.9942,356,0.77781,285,0.35990,308,0.57427
ENSG00000137414,FAM8A1,15,-1.3248,47,0.45830,26,-0.4590,29,-0.2852,46,0.40624,38,0.13350,34,-0.0844,39,0.19622
ENSG00000124789,NUP153,9,-1.0968,17,-0.1913,6,-1.8016,26,0.43671,22,0.14212,25,0.45497,18,-0.1124,23,0.27946
ENSG00000137177,KIF13A,111,2.06765,29,-0.2192,25,-0.4451,51,0.68504,41,0.33447,21,-0.7127,12,-1.5826,25,-0.5322
ENSG00000137364,TPMT,9,-2.2696,46,0.09063,61,0.53060,44,0.01786,21,-1.1277,36,-0.3296,54,0.39056,54,0.41655
ENSG00000124795,DEK,432,1.45419,211,0.25313,150,-0.2877,200,0.16903,161,-0.1728,195,0.13494,123,-0.6387,124,-0.6796
ENSG00000172201,ID4,69,-0.0810,39,-0.9340,71,-0.0352,442,3.50097,76,0.07407,34,-1.2066,21,-1.9417,20,-2.1427
ENSG00000112242,E2F3,7,-1.8554,19,-0.4873,12,-1.1882,32,0.34995,19,-0.4723,39,0.74780,24,-0.1265,31,0.39437
ENSG00000124766,SOX4,29,0.50509,34,0.79280,24,0.20661,33,0.74072,49,1.41448,11,-0.9932,12,-0.8701,11,-1.0599
ENSG00000272168,CASC15,27,-0.5237,63,0.79629,39,0.03604,31,-0.3350,24,-0.7285,48,0.41648,38,-0.0266,34,-0.2003
ENSG00000152954,NRSN1,84,-0.9050,291,1.06846,85,-0.8883,64,-1.3145,91,-0.7833,182,0.32707,232,0.78372,124,-0.3736
ENSG00000124532,MRS2,14,-0.7725,15,-0.6852,13,-0.9101,19,-0.3332,28,0.23163,24,0.02800,21,-0.2030,35,0.80883
ENSG00000112294,ALDH5A1,25,-1.8638,100,0.23935,78,-0.1639,134,0.71235,113,0.42871,57,-0.6752,101,0.27126,89,0.07035
ENSG00000137261,KIAA0319,6,-2.6319,36,-0.0324,18,-1.0932,45,0.35365,37,0.02082,39,0.10995,44,0.35114,43,0.31938
ENSG00000111802,TDP2,15,-1.8904,45,-0.2916,35,-0.6609,54,-0.0157,46,-0.2776,79,0.65601,52,-0.0810,66,0.37390
ENSG00000112304,ACOT13,24,-0.5601,29,-0.3020,24,-0.5592,52,0.62050,23,-0.6520,40,0.23931,39,0.18187,37,0.09026
ENSG00000112308,C6orf62,126,-0.1870,130,-0.1420,120,-0.2668,181,0.38512,169,0.27282,157,0.17011,120,-0.2874,142,0.00084
ENSG00000111913,RIPOR2,11,-2.0926,37,-0.3902,37,-0.3736,46,-0.0226,31,-0.6206,62,0.48131,46,-0.0379,62,0.55950
ENSG00000079691,CARMIL1,10,-1.2401,20,-0.2036,28,0.33234,58,1.55624,27,0.28611,39,0.99330,11,-1.1192,9,-1.4722
ENSG00000197061,HIST1H4C,66,-0.6978,144,0.51076,117,0.18047,139,0.46141,89,-0.2481,101,-0.0584,160,0.77311,58,-1.0259
ENSG00000112763,BTN2A1,21,-0.2522,10,-1.3525,13,-0.9898,6,-2.1091,26,0.07831,34,0.56452,15,-0.8542,42,1.08876
ENSG00000228223,HCG11,20,0.02029,27,0.45578,16,-0.3536,14,-0.5522,15,-0.4267,21,0.02638,21,0.05137,22,0.19137
ENSG00000182952,HMGN4,6,-1.9486,12,-1.0574,16,-0.6286,21,-0.2103,23,-0.1025,17,-0.5981,40,0.88853,33,0.63944
ENSG00000269293,ZSCAN16-AS1,78,0.76753,85,0.91224,74,0.69141,47,-0.0324,41,-0.2402,19,-1.5251,46,-0.0891,42,-0.2787
ENSG00000204713,TRIM27,24,-0.5711,18,-0.9787,32,-0.1008,32,-0.1299,53,0.67372,31,-0.1653,28,-0.3268,45,0.54928
ENSG00000204681,GABBR1,95,-1.7912,233,-0.4438,327,0.08582,434,0.53910,321,0.05811,280,-0.1749,307,-0.0177,378,0.39787
ENSG00000204655,MOG,296,4.75248,8,-2.1709,21,-0.7215,11,-1.6821,9,-1.9902,2,-3.8418,24,-0.5715,4,-3.1795
ENSG00000206503,HLA-A,87,-0.7170,41,-1.8309,159,0.21387,378,1.69127,595,2.60940,43,-1.8683,75,-1.0135,56,-1.5617
ENSG00000204619,PPP1R11,21,-1.1802,51,0.20298,53,0.24585,16,-1.5280,31,-0.5594,35,-0.4232,76,0.96450,49,0.15165
ENSG00000234127,TRIM26,21,0.12932,6,-1.6714,16,-0.2805,10,-0.9184,51,1.64397,23,0.33147,13,-0.6207,17,-0.1674
ENSG00000231074,HCG18,204,0.96193,126,0.17366,78,-0.5740,78,-0.5647,93,-0.3038,194,0.99870,95,-0.2978,66,-0.9512
ENSG00000241370,RPP21,15,-1.2053,18,-0.9486,32,-0.1087,47,0.50256,29,-0.2389,15,-1.2648,68,1.31360,33,-0.0400
ENSG00000204592,HLA-E,93,-0.3614,56,-1.1207,101,-0.2339,259,1.30329,719,3.50684,18,-2.8895,50,-1.3695,15,-3.3128
ENSG00000204590,GNL1,88,-0.9155,181,0.18579,84,-0.9907,96,-0.7863,131,-0.3188,225,0.60758,159,-0.0143,193,0.36054
ENSG00000204574,ABCF1,181,0.59750,101,-0.3238,51,-1.3517,91,-0.4778,131,0.08588,151,0.33528,77,-0.8011,161,0.51901
ENSG00000204569,PPP1R10,39,-0.1496,47,0.11575,26,-0.8091,67,0.69228,63,0.59048,40,-0.1445,29,-0.6910,48,0.17435
ENSG00000204568,MRPS18B,40,-0.5048,47,-0.2377,38,-0.5562,61,0.16590,48,-0.1978,42,-0.4346,64,0.26787,71,0.50430
ENSG00000137343,ATAT1,27,-0.5325,23,-0.7467,38,-0.0031,18,-1.1241,51,0.48277,37,-0.0096,35,-0.1170,50,0.57699
ENSG00000204564,C6orf136,14,-1.7746,25,-0.9067,33,-0.5395,19,-1.3426,58,0.35395,48,0.04752,48,0.07167,72,0.91129
ENSG00000204560,DHX16,21,-0.0162,16,-0.4555,11,-0.9946,16,-0.4868,26,0.33097,26,0.36196,30,0.62158,18,-0.3404
ENSG00000196230,TUBB,112,-1.9367,189,-1.1571,342,-0.2519,212,-0.9840,514,0.39003,413,0.04839,586,0.68250,486,0.37598
ENSG00000137312,FLOT1,99,-0.7730,91,-0.9007,87,-0.9566,109,-0.6257,142,-0.2100,123,-0.4722,194,0.31199,264,1.02945
