Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000181788,SIAH2,26,-0.3634,41,0.35213,28,-0.3022,33,-0.0336,41,0.32663,17,-1.0535,38,0.22825
ENSG00000144893,MED12L,7,-1.6224,21,-0.0357,15,-0.5320,21,-0.0347,41,1.07075,13,-0.7324,27,0.41246
ENSG00000152601,MBNL1,95,-0.0204,83,-0.2585,95,-0.0170,97,0.01698,88,-0.1329,134,0.54104,94,-0.0326
ENSG00000169860,P2RY1,18,0.77275,4,-1.4503,4,-1.6505,4,-1.5567,4,-1.5843,36,2.02240,17,0.75965
ENSG00000181467,RAP2B,5,-2.4394,21,-0.3471,34,0.42911,30,0.27544,31,0.28727,17,-0.6338,35,0.54316
ENSG00000243069,ARHGEF26-AS1,15,-0.1873,8,-1.1841,8,-1.1577,8,-1.1492,35,1.19125,38,1.36140,20,0.32739
ENSG00000114790,ARHGEF26,27,0.34368,6,-2.0129,13,-0.7046,8,-1.5332,30,0.52389,70,2.09129,23,0.13742
ENSG00000174953,DHX36,116,0.06620,129,0.27297,77,-0.5828,160,0.68766,80,-0.5168,131,0.25938,66,-0.8989
ENSG00000114805,PLCH1,7,-1.2170,35,1.44740,6,-1.4877,7,-1.4275,3,-2.6053,11,-0.7165,30,1.07241
ENSG00000174928,C3orf33,14,-0.1494,16,0.06482,18,0.29917,23,0.76928,10,-0.6743,6,-1.4282,13,-0.2086
ENSG00000169359,SLC33A1,32,0.55769,20,-0.2558,33,0.56534,19,-0.3192,23,0.01499,21,-0.1031,21,-0.1536
ENSG00000163655,GMPS,31,-0.7124,54,0.15724,39,-0.3505,59,0.32318,42,-0.2489,51,0.06339,52,0.09328
ENSG00000169282,KCNAB1,11,-2.4850,93,0.89740,44,-0.4563,36,-0.8255,50,-0.2370,40,-0.6097,91,0.84735
ENSG00000272990,AC084036.1,18,1.06595,6,-0.7784,12,0.36736,11,0.34583,6,-0.7196,8,-0.2144,8,-0.3185
ENSG00000114850,SSR3,112,0.26376,87,-0.1572,105,0.15913,78,-0.3416,99,0.07674,118,0.35992,92,-0.0516
ENSG00000163659,TIPARP,44,1.73235,11,-0.6268,10,-0.7095,11,-0.6808,18,0.14801,16,0.00744,15,-0.1642
ENSG00000163660,CCNL1,73,1.39241,23,-0.5434,14,-1.2026,35,0.18544,40,0.37327,31,-0.0438,22,-0.6522
ENSG00000174891,RSRC1,106,0.34553,85,-0.0082,80,-0.1010,112,0.50496,53,-0.7419,100,0.25275,61,-0.5920
ENSG00000178053,MLF1,15,-0.7719,29,0.26699,15,-0.7640,27,0.11694,42,0.87289,18,-0.4803,24,-0.0909
ENSG00000168827,GFM1,50,0.03148,57,0.26418,39,-0.3523,48,-0.0423,43,-0.2033,39,-0.3668,55,0.21038
ENSG00000118855,MFSD1,25,0.44427,17,-0.1592,21,0.13768,14,-0.5448,27,0.55184,17,-0.1504,19,-0.0047
ENSG00000240207,AC080013.1,3,-2.0248,21,1.21030,4,-1.6484,7,-0.7133,9,-0.3571,8,-0.4830,16,0.68685
ENSG00000151967,SCHIP1,6,-0.3278,7,-0.1867,9,0.12945,8,0.01987,18,1.28791,11,0.48776,3,-1.5276
ENSG00000180044,C3orf80,1,-5.4382,87,0.49497,80,0.29852,90,0.56287,75,0.19781,25,-1.5093,65,-0.0328
ENSG00000068885,IFT80,82,0.93069,43,-0.1372,49,0.08001,53,0.22188,33,-0.5415,36,-0.4083,38,-0.3817
ENSG00000113810,SMC4,46,1.64048,6,-1.6569,13,-0.4271,21,0.30450,9,-1.0196,39,1.32169,7,-1.3788
ENSG00000213186,TRIM59,115,5.47412,3,-2.0501,4,-1.8094,3,-2.4081,0,-8.1196,3,-2.0569,0,-4.7289
ENSG00000186432,KPNA4,65,-0.6569,90,-0.1706,99,0.00057,133,0.55558,79,-0.3683,98,-0.0129,102,0.04681
ENSG00000163590,PPM1L,47,-1.1965,118,0.27772,93,-0.1268,141,0.62698,90,-0.1824,91,-0.1676,87,-0.2765
ENSG00000169255,B3GALNT1,18,-1.9624,81,0.33028,80,0.28080,72,0.11980,66,-0.0234,79,0.26328,62,-0.1453
ENSG00000169251,NMD3,34,0.03140,21,-0.7706,32,-0.0504,37,0.19380,25,-0.4504,60,0.95727,33,-0.0153
ENSG00000196542,SPTSSB,0,-9.5866,43,1.33387,16,-0.4381,16,-0.5791,12,-0.9317,10,-1.1578,32,0.71983
ENSG00000121871,SLITRK3,5,-1.9318,15,-0.2938,23,0.42400,19,0.14827,17,-0.0489,14,-0.3207,25,0.61551
ENSG00000244128,LINC01322,3,-2.4044,7,-1.3280,16,-0.0437,21,0.47527,21,0.44338,25,0.72380,20,0.39464
ENSG00000114209,PDCD10,74,0.05042,83,0.26978,58,-0.3256,83,0.26617,78,0.13351,68,-0.0781,53,-0.5167
ENSG00000163536,SERPINI1,225,-1.7181,1264,1.21158,454,-0.6544,833,0.35092,584,-0.2612,399,-0.8535,517,-0.5003
ENSG00000173905,GOLIM4,221,1.39415,35,-1.6755,50,-1.0392,43,-1.3532,121,0.34658,223,1.40954,102,0.08220
ENSG00000085274,MYNN,16,0.26463,9,-0.6808,15,0.22934,15,0.15537,24,0.92411,13,-0.0837,10,-0.5566
ENSG00000008952,SEC62,863,0.67729,456,-0.3970,475,-0.2931,645,0.21886,487,-0.2566,692,0.30903,500,-0.2375
ENSG00000173889,PHC3,55,1.06825,22,-0.4482,24,-0.2808,33,0.25248,25,-0.2505,19,-0.6319,28,-0.0863
ENSG00000163558,PRKCI,30,-0.4864,33,-0.3763,50,0.32424,61,0.77984,50,0.32402,30,-0.4734,30,-0.5439
ENSG00000136603,SKIL,56,0.25553,37,-0.4515,46,-0.0450,70,0.73207,35,-0.4792,57,0.27454,34,-0.5553
ENSG00000013297,CLDN11,1216,5.33611,19,-3.2055,68,-1.2118,37,-2.2333,6,-4.7605,35,-2.1712,23,-2.9468
ENSG00000013293,SLC7A14,50,-0.6486,53,-0.6009,79,0.06630,159,1.53585,34,-1.2219,60,-0.3524,54,-0.5914
ENSG00000163584,RPL22L1,35,-0.0814,41,0.18098,38,0.07575,29,-0.3963,55,0.64508,37,-0.0030,31,-0.2688
ENSG00000163577,EIF5A2,12,-1.3069,38,0.52987,36,0.37209,35,0.36786,9,-1.7108,20,-0.5372,32,0.15892
ENSG00000154310,TNIK,91,0.12666,48,-0.9610,58,-0.5682,89,0.10361,75,-0.1847,169,1.18104,87,0.05594
ENSG00000075651,PLD1,81,4.59375,1,-2.8409,7,-0.6336,4,-1.5443,0,-4.6614,2,-2.1510,3,-1.8885
ENSG00000075420,FNDC3B,8,-0.1390,3,-1.4099,6,-0.6077,6,-0.7209,12,0.46896,27,1.94417,8,-0.0929
ENSG00000144959,NCEH1,9,-3.3604,100,0.32654,97,0.23687,108,0.46915,86,0.04701,68,-0.3186,81,-0.0642
ENSG00000114346,ECT2,5,-0.7863,8,-0.1377,6,-0.6629,18,1.27891,3,-1.3836,11,0.22074,7,-0.4392
ENSG00000169760,NLGN1,44,0.68858,29,0.00366,21,-0.5237,36,0.38922,34,0.25741,16,-0.8570,22,-0.4547
ENSG00000177565,TBL1XR1,122,-0.0623,132,0.07312,112,-0.1932,156,0.38477,112,-0.2066,119,-0.1007,114,-0.1953
ENSG00000197584,KCNMB2,3,-1.5176,7,-0.2302,10,0.26026,8,-0.1574,11,0.37594,6,-0.4219,12,0.66455
ENSG00000172667,ZMAT3,66,-1.0551,136,0.06739,153,0.24928,155,0.30575,112,-0.2453,165,0.37031,116,-0.2107
ENSG00000121879,PIK3CA,41,-0.2940,45,-0.1516,56,0.19149,59,0.33114,28,-0.8627,71,0.57447,45,-0.1701
ENSG00000121864,ZNF639,33,0.00761,33,0.03152,29,-0.1918,42,0.46177,33,0.04813,20,-0.7146,30,-0.1414
ENSG00000171109,MFN1,38,0.39744,32,0.16273,24,-0.2986,36,0.33806,15,-1.0028,31,0.06384,26,-0.2459
ENSG00000114450,GNB4,33,-0.1794,14,-1.5574,82,1.32781,62,0.95746,21,-0.8741,43,0.20590,22,-0.9200
ENSG00000136522,MRPL47,40,-0.7764,99,0.75434,56,-0.2711,62,-0.1248,69,0.04714,62,-0.1254,59,-0.2249
ENSG00000136521,NDUFB5,88,-1.4349,298,0.52759,245,0.14314,222,-0.0236,257,0.21513,195,-0.2254,211,-0.1117
ENSG00000058056,USP13,31,1.15841,12,-0.4696,18,0.24665,13,-0.2413,11,-0.5629,14,-0.1150,15,-0.0519
ENSG00000114757,PEX5L,320,0.73177,149,-0.5538,230,0.18223,324,0.88063,92,-1.2458,151,-0.4843,157,-0.4665
ENSG00000163728,TTC14,113,1.01182,32,-1.0950,64,0.06025,73,0.30988,55,-0.1896,76,0.34646,49,-0.4006
ENSG00000114416,FXR1,218,1.06856,102,-0.2185,91,-0.3670,128,0.18712,117,0.02785,108,-0.0961,79,-0.6508
ENSG00000205981,DNAJC19,63,-0.7709,145,0.62685,85,-0.3101,108,0.07225,127,0.32474,66,-0.7036,96,-0.1495
ENSG00000242808,SOX2-OT,2274,4.22167,68,-2.5649,264,-0.3867,115,-1.7711,57,-2.6861,228,-0.6093,90,-2.1465
ENSG00000181449,SOX2,210,0.88805,37,-1.9343,50,-1.3785,44,-1.6793,165,0.47585,364,1.91392,139,0.22138
ENSG00000058063,ATP11B,24,0.43246,15,-0.2881,26,0.58769,16,-0.2033,17,-0.0968,19,0.11041,16,-0.2176
ENSG00000043093,DCUN1D1,93,0.61400,65,0.01736,68,0.10194,61,-0.1003,43,-0.6358,77,0.29242,55,-0.2817
ENSG00000078070,MCCC1,36,0.17186,29,-0.2329,27,-0.3097,34,0.04829,32,-0.0502,31,-0.0844,38,0.28839
ENSG00000053524,MCF2L2,12,-0.2892,9,-0.7614,11,-0.4292,14,0.04266,15,0.09219,17,0.32228,20,0.63206
ENSG00000114796,KLHL24,148,1.66107,36,-0.7835,32,-0.8981,44,-0.4433,54,-0.0589,55,-0.0353,59,0.06577
ENSG00000163872,YEATS2,35,-0.3061,52,0.38306,47,0.15405,44,0.06722,30,-0.5155,27,-0.7223,46,0.16447
ENSG00000180834,MAP6D1,275,3.32332,21,-1.4497,32,-0.7479,34,-0.7159,25,-1.1148,20,-1.4806,28,-1.0407
ENSG00000175193,PARL,32,-0.1722,33,-0.1243,25,-0.5030,33,-0.1088,47,0.46638,32,-0.1439,42,0.32372
ENSG00000114770,ABCC5,48,-0.2865,56,-0.0557,57,-0.0042,64,0.18812,37,-0.6961,53,-0.1131,70,0.36740
ENSG00000145191,EIF2B5,38,-0.3336,63,0.51210,30,-0.7164,47,-0.0322,48,-0.0009,38,-0.3627,52,0.14774
ENSG00000161202,DVL3,41,0.41925,27,-0.2703,29,-0.1351,23,-0.5453,38,0.30490,36,0.23383,35,0.21215
ENSG00000161203,AP2M1,216,-1.5217,697,0.33511,667,0.22272,656,0.21982,487,-0.2814,506,-0.2215,616,0.10543
ENSG00000161204,ABCF3,23,-0.5095,33,0.08192,24,-0.4447,37,0.24466,29,-0.1566,32,-0.0158,36,0.21335
ENSG00000145198,VWA5B2,6,-1.0411,15,0.29860,14,0.19505,14,0.11984,7,-0.9684,5,-1.3936,19,0.72797
ENSG00000214160,ALG3,12,0.12462,12,0.07794,11,-0.0800,10,-0.1243,18,0.76376,8,-0.5148,9,-0.2812
ENSG00000163888,CAMK2N2,29,-0.7461,48,0.03654,49,0.06548,33,-0.5977,32,-0.6158,51,0.13255,74,0.85693
ENSG00000175166,PSMD2,99,-0.8222,192,0.25706,147,-0.2077,160,-0.0789,151,-0.1575,166,-0.0093,202,0.35030
ENSG00000114867,EIF4G1,77,-0.0857,79,-0.0513,91,0.17464,88,0.13599,59,-0.5063,78,-0.0790,88,0.14187
ENSG00000175182,FAM131A,38,-1.9251,136,-0.0046,213,0.73170,171,0.41378,157,0.22498,81,-0.8226,131,-0.0691
ENSG00000114859,CLCN2,20,1.54910,8,0.12463,5,-0.5571,6,-0.3216,3,-1.4246,5,-0.5873,7,-0.0460
ENSG00000163882,POLR2H,22,-1.1724,68,0.69897,50,0.08871,47,-0.0064,55,0.24917,43,-0.1292,35,-0.4968
ENSG00000090539,CHRD,6,-2.4915,33,0.16183,30,-0.0298,28,-0.1468,27,-0.1632,31,0.03340,44,0.68952
ENSG00000182580,EPHB3,11,-0.3730,12,-0.2171,15,0.11572,12,-0.2452,11,-0.3863,13,-0.0854,20,0.70271
ENSG00000177383,MAGEF1,44,-0.7237,85,0.36910,70,0.00850,78,0.20412,66,-0.0913,42,-0.8025,75,0.12669
ENSG00000156931,VPS8,30,-0.5281,51,0.35880,42,-0.0206,47,0.17702,23,-0.9303,34,-0.3448,49,0.26557
ENSG00000187068,C3orf70,22,-0.0953,22,-0.0963,9,-1.3801,14,-0.8824,35,0.66348,35,0.65973,30,0.46795
ENSG00000073803,MAP3K13,63,-0.2930,68,-0.1885,53,-0.5698,51,-0.6999,119,0.73275,106,0.54067,91,0.32853
ENSG00000163900,TMEM41A,25,0.77832,12,-0.4356,12,-0.4430,16,0.04372,16,0.07790,11,-0.5622,18,0.24476
ENSG00000163904,SENP2,55,-0.0341,51,-0.1659,43,-0.4023,72,0.46809,65,0.24110,38,-0.6121,56,0.01373
ENSG00000136527,TRA2B,97,0.13147,89,-0.0141,87,-0.0386,95,0.10717,102,0.21344,92,0.03552,75,-0.3192
ENSG00000244405,ETV5,22,-1.6769,73,0.13118,59,-0.2284,69,0.03133,88,0.43315,47,-0.5752,89,0.50224
ENSG00000058866,DGKG,17,-1.3646,7,-2.6762,86,1.21489,100,1.85231,19,-1.1828,53,0.38466,14,-1.7724
ENSG00000090520,DNAJB11,42,0.40507,37,0.20180,44,0.46497,27,-0.3607,29,-0.2190,37,0.21274,25,-0.4881
ENSG00000156976,EIF4A2,316,-1.7145,1176,0.36415,926,-0.0663,1191,0.38958,633,-0.6637,942,-0.0390,1053,0.15742
ENSG00000163918,RFC4,10,-0.0134,12,0.28285,11,0.09442,10,-0.1085,6,-0.8551,9,-0.1253,12,0.19930
ENSG00000073849,ST6GAL1,40,0.32487,29,-0.1777,37,0.22240,27,-0.3141,26,-0.3443,36,0.15322,36,0.20906
ENSG00000163923,RPL39L,5,-1.4897,18,0.34060,12,-0.3437,15,-0.0595,18,0.22743,23,0.67642,14,-0.1720
ENSG00000157005,SST,31,-3.4307,210,-0.6740,62,-2.4422,93,-1.9641,30,-3.4875,2135,4.30923,118,-1.5932
ENSG00000113916,BCL6,39,0.54892,32,0.27229,14,-1.0391,13,-1.2922,50,0.97179,14,-0.9869,35,0.43292
ENSG00000145012,LPP,39,0.64936,15,-0.9644,6,-2.1721,14,-1.0249,78,1.92139,45,0.89485,18,-0.6537
ENSG00000196083,IL1RAP,10,0.41584,10,0.44770,4,-0.7763,4,-1.1038,8,0.14941,9,0.20499,9,0.24264
ENSG00000152492,CCDC50,82,1.00959,22,-1.1574,34,-0.4119,28,-0.7713,64,0.59726,77,0.89460,44,-0.0320
ENSG00000114279,FGF12,44,-2.9235,416,0.58782,255,-0.2817,416,0.58512,348,0.21244,257,-0.2704,240,-0.4188
ENSG00000180611,MB21D2,6,-1.5692,26,0.87323,11,-0.5921,12,-0.5145,18,0.12133,13,-0.3613,20,0.37459
ENSG00000127249,ATP13A4,32,0.16374,11,-1.5957,13,-1.1710,12,-1.4652,32,0.18082,88,1.95583,39,0.56358
ENSG00000198836,OPA1,70,-1.0110,169,0.43835,126,-0.0971,166,0.39825,122,-0.1412,101,-0.4437,124,-0.1322
ENSG00000114315,HES1,32,0.52043,8,-1.7446,21,-0.1665,10,-1.3445,32,0.51280,61,1.64068,26,0.16779
ENSG00000133657,ATP13A3,32,0.03661,22,-0.6345,34,0.10920,37,0.26096,32,0.03628,28,-0.2061,37,0.26748
ENSG00000041802,LSG1,27,0.52268,20,-0.0064,11,-0.8604,23,0.27742,12,-0.7296,21,0.08578,20,0.04087
ENSG00000185112,FAM43A,6,-0.9305,8,-0.5044,14,0.45916,10,-0.1866,7,-0.5555,11,-0.0357,17,0.87524
ENSG00000173950,XXYLT1,8,-0.2688,8,-0.1858,8,-0.2053,8,-0.2660,5,-1.0136,17,1.00018,11,0.34783
ENSG00000114331,ACAP2,84,1.14974,25,-0.8523,39,-0.0971,48,0.25910,33,-0.3564,64,0.68235,26,-0.8069
ENSG00000184203,PPP1R2,51,-0.7724,90,0.12089,79,-0.1043,101,0.31788,88,0.05702,76,-0.1707,85,0.00419
ENSG00000189058,APOD,1789,3.00773,122,-1.8539,402,0.09647,126,-1.8042,447,0.26708,351,-0.1211,151,-1.5279
ENSG00000061938,TNK2,67,-0.1047,61,-0.2777,96,0.47922,51,-0.5932,81,0.20242,59,-0.2939,94,0.51085
ENSG00000072274,TFRC,19,-1.9332,76,0.17166,63,-0.1543,57,-0.3342,66,-0.0717,85,0.33725,96,0.61618
ENSG00000161217,PCYT1A,38,0.79316,26,0.19365,10,-1.2465,20,-0.2752,25,0.12644,25,0.08613,22,-0.1241
ENSG00000213123,TCTEX1D2,8,-3.0738,95,0.75265,51,-0.3384,71,0.19694,67,0.07988,53,-0.2892,63,-0.0123
ENSG00000163960,UBXN7,61,1.20995,21,-0.5806,14,-1.0970,37,0.37162,26,-0.1964,36,0.29342,22,-0.4993
ENSG00000163961,RNF168,56,0.22808,34,-0.5987,50,0.03774,58,0.31149,25,-1.0329,65,0.46800,54,0.16788
ENSG00000174013,FBXO45,59,0.18219,59,0.22361,59,0.19795,58,0.19103,36,-0.5798,40,-0.4101,47,-0.1811
ENSG00000163964,PIGX,44,-0.6577,74,0.16378,78,0.23146,83,0.36147,68,0.00320,49,-0.5012,62,-0.1494
ENSG00000174007,CEP19,3,-2.0325,16,0.25342,13,-0.1522,20,0.66040,13,-0.0938,12,-0.2403,13,-0.0958
ENSG00000180370,PAK2,184,1.92600,30,-1.1752,58,-0.0845,57,-0.1488,55,-0.1743,60,-0.0470,42,-0.6445
ENSG00000119231,SENP5,52,-0.0668,64,0.29936,50,-0.1278,59,0.14015,52,-0.0624,38,-0.5721,53,-0.0472
ENSG00000114503,NCBP2,45,-0.3691,54,-0.1000,43,-0.4487,50,-0.2461,70,0.33544,55,-0.0536,75,0.51059
ENSG00000270170,NCBP2AS2,30,-1.0339,83,0.66532,33,-0.8814,49,-0.3034,80,0.51134,55,-0.0835,60,0.06800
ENSG00000119227,PIGZ,9,-1.0616,23,0.35175,16,-0.2895,21,0.16331,17,-0.2151,14,-0.4651,23,0.36600
ENSG00000163975,MELTF,1,-2.7458,8,-0.4833,8,-0.5092,5,-1.3218,10,-0.1560,16,0.55149,25,1.64015
ENSG00000228109,MELTF-AS1,6,-0.7934,10,-0.1433,11,0.03279,11,0.01539,8,-0.4481,10,-0.1969,16,0.69227
ENSG00000075711,DLG1,279,1.52025,96,-0.3084,109,-0.0914,109,-0.0982,60,-1.0145,66,-0.8550,113,-0.0310
ENSG00000161267,BDH1,17,-1.1403,42,0.24347,50,0.49586,34,-0.1509,21,-0.8862,34,-0.1162,47,0.45108
ENSG00000145016,RUBCN,37,-0.2053,45,0.13090,31,-0.4715,42,0.01426,30,-0.5144,46,0.13865,51,0.33903
ENSG00000122068,FYTTD1,78,0.15988,67,-0.1144,75,0.08008,80,0.22595,73,0.04566,79,0.16531,56,-0.4254
ENSG00000186001,LRCH3,51,1.34327,13,-0.8977,13,-0.8273,18,-0.4495,35,0.71671,22,-0.0227,22,-0.0444
ENSG00000114473,IQCG,14,-0.2700,12,-0.5311,26,0.76404,16,-0.0729,18,0.17949,16,-0.0189,17,0.06045
ENSG00000182899,RPL35A,489,-0.9075,932,0.11376,940,0.11531,700,-0.3909,1163,0.46429,936,0.10820,979,0.20523
ENSG00000185621,LMLN,12,-0.0344,14,0.15583,8,-0.6436,15,0.37480,7,-0.8227,10,-0.3256,15,0.27733
ENSG00000272602,ZNF595,14,1.03932,6,-0.3064,12,0.74392,6,-0.3014,5,-0.4093,7,-0.0100,5,-0.5737
ENSG00000131127,ZNF141,24,0.98138,7,-0.9174,14,0.08775,10,-0.5027,15,0.25629,19,0.64550,12,-0.1644
ENSG00000182903,ZNF721,56,0.27895,36,-0.4644,61,0.42572,52,0.17546,39,-0.3158,51,0.13825,44,-0.1214
ENSG00000174227,PIGG,26,0.11235,20,-0.3337,22,-0.2021,26,0.10910,25,0.02275,30,0.33652,25,0.02086
ENSG00000273238,TMEM271,11,-2.4235,53,-0.1642,78,0.48176,68,0.30615,63,0.13102,47,-0.3416,69,0.31939
ENSG00000283183,AC116565.1,4,-1.2999,9,0.03863,5,-0.9658,9,0.01845,7,-0.4279,10,0.10687,14,0.86896
ENSG00000133256,PDE6B,67,3.62204,4,-1.6100,9,-0.2826,4,-1.5699,8,-0.4134,1,-2.7383,5,-1.3056
ENSG00000169020,ATP5ME,871,0.01310,1161,0.55606,687,-0.3619,694,-0.3854,811,-0.1014,888,0.04354,836,-0.0585
ENSG00000215375,MYL5,10,0.42157,11,0.53964,3,-1.4321,6,-0.5192,7,-0.0716,3,-1.3938,11,0.63501
ENSG00000185619,PCGF3,29,-0.2168,39,0.28117,41,0.33874,36,0.16024,29,-0.2203,22,-0.6073,30,-0.1573
ENSG00000249592,AC139887.2,18,1.31339,7,-0.1374,8,0.05605,5,-0.7339,3,-1.5170,4,-0.9644,11,0.58661
ENSG00000168993,CPLX1,13,-3.5297,188,0.51261,90,-0.7236,111,-0.4371,111,-0.4043,108,-0.4502,255,1.14486
ENSG00000178950,GAK,40,-0.1431,45,0.03950,60,0.51287,46,0.08782,27,-0.7402,35,-0.3651,47,0.13693
ENSG00000127419,TMEM175,31,-0.0241,24,-0.4448,30,-0.0548,30,-0.0895,15,-1.1186,35,0.18366,47,0.76879
ENSG00000145214,DGKQ,9,-1.3471,26,0.30924,23,0.06219,23,0.06198,21,-0.0703,13,-0.8344,28,0.46376
ENSG00000127418,FGFRL1,13,-0.0484,7,-1.0696,7,-0.8846,5,-1.4783,17,0.40808,26,1.08101,23,1.03429
ENSG00000159674,SPON2,0,-4.2166,6,-0.7554,3,-1.3925,12,0.46831,28,1.97730,6,-0.6326,9,-0.0339
ENSG00000159692,CTBP1,74,-0.6391,100,-0.1726,90,-0.3209,101,-0.1593,103,-0.1091,112,0.01447,162,0.72900
ENSG00000196810,CTBP1-DT,15,1.11226,5,-0.6063,5,-0.5224,5,-0.7464,6,-0.2404,16,1.14289,7,-0.1799
ENSG00000090316,MAEA,38,-0.5913,76,0.59001,57,0.02799,61,0.17294,40,-0.5205,43,-0.3954,52,-0.1251
ENSG00000163950,SLBP,25,-1.4450,77,0.32805,79,0.31224,89,0.58654,59,-0.1500,35,-0.9564,59,-0.1626
ENSG00000168936,TMEM129,31,0.64763,16,-0.4448,22,0.14078,19,-0.1402,25,0.30988,15,-0.4907,21,0.07290
ENSG00000068078,FGFR3,91,0.04184,33,-1.6189,46,-1.0090,37,-1.4225,86,-0.0363,198,1.37504,161,1.18859
ENSG00000168924,LETM1,40,0.00089,34,-0.2704,39,-0.0574,44,0.14174,27,-0.5921,42,0.05732,49,0.36319
ENSG00000109685,NSD2,42,-0.4278,51,-0.1217,68,0.34956,57,0.07876,61,0.18265,43,-0.3761,58,0.11558
ENSG00000185049,NELFA,23,0.46415,12,-0.6237,21,0.31266,13,-0.4987,18,0.08152,17,-0.0223,22,0.43099
ENSG00000243449,C4orf48,623,0.87716,381,0.06679,483,0.44664,286,-0.4398,359,-0.0349,330,-0.1710,272,-0.5230
ENSG00000185818,NAT8L,86,-1.0515,164,-0.0633,137,-0.3370,166,-0.0384,173,0.02663,152,-0.1792,245,0.69702
ENSG00000214367,HAUS3,14,0.58371,8,-0.2508,5,-0.9551,10,0.05192,8,-0.1806,8,-0.1947,12,0.38277
ENSG00000123933,MXD4,56,1.02617,20,-0.6637,25,-0.3096,16,-1.0340,39,0.41513,34,0.17568,38,0.39611
ENSG00000159733,ZFYVE28,10,-0.9594,20,0.14443,13,-0.5069,23,0.42406,20,0.14167,12,-0.6342,21,0.25480
ENSG00000063978,RNF4,41,-0.3520,45,-0.1954,53,0.07641,53,0.07548,32,-0.7297,76,0.66469,55,0.12991
ENSG00000125386,FAM193A,32,0.63827,20,-0.1410,13,-0.8110,20,-0.1497,27,0.36672,25,0.18624,20,-0.1227
ENSG00000087266,SH3BP2,14,0.46202,7,-0.6594,5,-1.0724,3,-1.7760,12,0.24075,23,1.35272,14,0.60364
ENSG00000087274,ADD1,248,0.25179,200,-0.1024,227,0.11010,179,-0.2963,187,-0.2036,245,0.23003,228,0.12966
ENSG00000109736,MFSD10,27,-0.2476,30,-0.1019,36,0.17629,29,-0.1688,27,-0.2362,30,-0.0891,40,0.42464
ENSG00000249673,NOP14-AS1,14,0.27315,8,-0.5052,8,-0.5874,10,-0.1842,9,-0.3783,13,0.23067,17,0.69823
ENSG00000087269,NOP14,19,0.52328,10,-0.5767,8,-0.8657,16,0.31342,15,0.09116,9,-0.6494,17,0.43239
ENSG00000125388,GRK4,16,-0.4979,19,-0.2387,20,-0.1754,28,0.43108,9,-1.3878,35,0.76262,23,0.09914
ENSG00000197386,HTT,43,-0.4863,61,0.04897,83,0.56314,53,-0.2060,49,-0.3059,43,-0.5127,73,0.39317
ENSG00000188981,MSANTD1,0,-3.4880,9,0.20930,6,-0.3263,9,0.12686,15,0.96617,10,0.29554,7,-0.2696
ENSG00000159788,RGS12,28,-0.9196,18,-1.6793,49,-0.0420,63,0.39795,109,1.28718,63,0.35757,48,-0.1015
ENSG00000163956,LRPAP1,113,-0.7667,159,-0.2651,256,0.53445,212,0.25386,149,-0.3386,187,0.01894,200,0.14247
ENSG00000132406,TMEM128,54,1.39644,20,-0.2816,22,-0.1162,17,-0.5431,9,-1.4644,29,0.31998,24,0.02854
ENSG00000145220,LYAR,25,1.14776,10,-0.4482,12,-0.1127,10,-0.3676,16,0.40733,13,0.08188,10,-0.4092
ENSG00000168824,NSG1,13,-3.2116,241,1.47760,55,-1.1685,99,-0.2968,113,-0.0639,73,-0.7329,119,0.02477
ENSG00000168818,STX18,36,0.36445,28,-0.0498,22,-0.4297,29,0.03039,19,-0.6436,28,-0.0264,34,0.30496
ENSG00000163132,MSX1,10,-0.0864,0,-6.6712,0,-4.1988,2,-2.2998,46,2.66134,44,2.54543,2,-2.5017
ENSG00000072832,CRMP1,39,-2.0999,186,0.31786,177,0.18976,199,0.43910,143,-0.1529,142,-0.1566,149,-0.0915
ENSG00000181215,C4orf50,1,-3.9982,25,0.09284,42,0.91923,31,0.49035,13,-0.9343,16,-0.5861,27,0.21726
ENSG00000152969,JAKMIP1,11,-2.7130,61,-0.1480,79,0.27114,95,0.66369,56,-0.2591,46,-0.5792,81,0.36194
ENSG00000109501,WFS1,47,0.09766,33,-0.5054,38,-0.2526,28,-0.7953,72,0.79123,64,0.59359,51,0.23973
ENSG00000074211,PPP2R2C,103,-0.7695,171,0.02271,169,-7.6918,174,0.05811,141,-0.2884,127,-0.4513,229,0.57395
ENSG00000013288,MAN2B2,22,-0.8736,44,0.20780,28,-0.5101,52,0.51017,28,-0.5328,26,-0.6598,49,0.39046
ENSG00000179010,MRFAP1,578,0.16346,556,0.11383,512,-0.0308,468,-0.1949,533,0.03308,457,-0.2124,547,0.08391
ENSG00000251580,LINC02482,7,-0.4081,9,0.10360,4,-0.9843,5,-0.9789,19,1.25141,8,-0.1769,11,0.38862
ENSG00000170846,AC093323.1,36,-0.4626,47,-0.0641,60,0.34541,61,0.43804,36,-0.4649,38,-0.3843,49,0.02466
