Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to10,Feature log2 fold change topic 8to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12,Feature count topic 13,Feature log2 fold change topic 13
ENSG00000144040,SFXN5,42,-0.9062,39,-0.8985,43,-0.7534,35,-1.1402,54,-0.5014,274,2.32735,172,1.44988,37,-0.9732
ENSG00000135631,RAB11FIP5,76,1.00949,31,-0.6003,18,-1.4182,47,0.02013,41,-0.2305,23,-1.0481,33,-0.5157,53,0.21156
ENSG00000272702,AC010913.1,11,0.12877,6,-0.8305,4,-1.1871,10,0.07327,11,0.18638,3,-1.8451,17,0.80482,14,0.54080
ENSG00000135632,SMYD5,21,0.65389,17,0.17685,9,-0.7980,16,0.09456,11,-0.5185,8,-0.9989,18,0.28261,16,0.05575
ENSG00000135617,PRADC1,31,0.77360,19,-0.1706,16,-0.4159,12,-0.8436,12,-0.9721,28,0.45020,41,1.07098,16,-0.4513
ENSG00000135624,CCT7,175,0.93642,87,-0.3659,66,-0.7979,104,-0.0983,103,-0.1419,39,-1.5526,100,-0.1557,105,-0.0895
ENSG00000163013,FBXO41,59,-0.3303,53,-0.4487,69,-0.0438,79,0.19422,66,-0.1100,52,-0.4613,133,1.02467,76,0.12467
ENSG00000116127,ALMS1,7,-1.5971,38,1.15433,60,1.96915,12,-0.7418,16,-0.2833,19,0.06386,19,0.05644,12,-0.6146
ENSG00000144034,TPRKB,17,-0.1100,19,0.07824,19,0.12005,10,-0.8786,19,0.10965,15,-0.2113,27,0.66748,23,0.41541
ENSG00000144048,DUSP11,22,1.10214,16,0.40176,8,-0.6326,9,-0.6071,7,-1.0482,17,0.49465,7,-0.9458,13,0.02619
ENSG00000124356,STAMBP,26,-0.7186,33,-0.2732,52,0.40828,50,0.39037,49,0.40499,47,0.24947,24,-0.7419,35,-0.2059
ENSG00000114956,DGUOK,63,0.72219,41,-0.0982,28,-0.6653,38,-0.2161,32,-0.5687,29,-0.6049,62,0.55964,46,0.09800
ENSG00000187605,TET3,9,-0.2369,16,0.63395,29,1.67751,4,-1.5765,7,-0.7350,14,0.42551,8,-0.4192,14,0.45663
ENSG00000163170,BOLA3,54,0.31489,44,-0.0423,17,-1.4928,28,-0.8040,43,-0.1078,39,-0.2226,89,1.08239,57,0.34774
ENSG00000225439,BOLA3-AS1,21,-0.2375,21,-0.2359,24,-0.0039,16,-0.6546,38,0.90600,16,-0.5903,18,-0.4292,25,0.06563
ENSG00000114978,MOB1A,16,-0.2839,17,-0.1805,19,-0.0358,20,0.07589,13,-0.5974,40,1.18198,26,0.46757,17,-0.1464
ENSG00000204843,DCTN1,400,0.55735,286,-0.0807,241,-0.3412,254,-0.2848,358,0.33212,164,-0.9274,194,-0.6734,248,-0.3011
ENSG00000005448,WDR54,49,0.97827,37,0.30986,13,-1.2139,39,0.41183,20,-0.7700,8,-2.0072,22,-0.5238,32,0.07608
ENSG00000115274,INO80B,22,-0.3765,25,-0.1762,29,0.09258,36,0.45669,33,0.31834,16,-0.8519,34,0.33390,18,-0.6361
ENSG00000239779,WBP1,23,-0.7453,22,-0.7463,39,0.14961,40,0.18933,20,-1.0136,54,0.65429,78,1.25920,62,0.87957
ENSG00000115275,MOGS,19,1.02532,13,0.16595,7,-0.6408,15,0.44797,8,-0.5280,8,-0.5429,4,-1.5952,5,-1.2991
ENSG00000115289,PCGF1,18,0.85145,19,0.83761,10,-0.2194,3,-1.9469,7,-0.8512,10,-0.1319,20,0.88581,9,-0.3678
ENSG00000115307,AUP1,54,0.67446,67,0.87697,28,-0.5073,24,-0.7850,28,-0.5804,51,0.43234,39,0.01660,23,-0.7652
ENSG00000115317,HTRA2,30,0.40502,16,-0.5735,12,-1.0189,21,-0.2161,24,0.00654,9,-1.4474,46,1.02964,25,0.08511
ENSG00000135622,SEMA4F,32,1.25708,20,0.19291,2,-3.0152,10,-0.9409,20,0.24906,8,-1.1758,10,-0.8665,13,-0.4739
ENSG00000115350,POLE4,48,-0.1089,40,-0.3909,66,0.41473,66,0.44718,39,-0.5016,37,-0.4838,50,-0.0202,78,0.66857
ENSG00000115364,MRPL19,35,0.51103,33,0.30937,22,-0.3176,24,-0.2191,24,-0.1896,28,0.05025,22,-0.3298,21,-0.4032
ENSG00000005436,GCFC2,13,0.11203,14,0.22123,26,1.17783,6,-1.1813,12,-0.0051,18,0.60619,6,-1.0211,8,-0.6144
ENSG00000176204,LRRTM4,70,1.17921,52,0.42500,28,-0.5159,14,-1.6538,40,0.00695,14,-1.5169,39,-0.0205,25,-0.6839
ENSG00000066032,CTNNA2,199,0.15652,195,0.10409,125,-0.5782,139,-0.4547,219,0.35169,172,-0.0942,172,-0.0957,180,-0.0264
ENSG00000162951,LRRTM1,25,1.14736,15,0.08606,16,0.16415,7,-1.0892,13,-0.2365,10,-0.4882,10,-0.5126,8,-0.9571
ENSG00000163541,SUCLG1,121,0.36097,106,0.08357,61,-0.7586,84,-0.2985,120,0.34071,80,-0.3477,95,-0.0919,73,-0.4982
ENSG00000186854,TRABD2A,7,-2.3431,27,-0.2551,0,-7.1331,106,2.52288,46,0.73471,2,-3.9385,0,-9.8245,11,-1.4887
ENSG00000034510,TMSB10,2347,0.08811,2089,-0.1086,1019,-1.2003,4322,1.21476,1901,-0.3007,695,-1.7690,1298,-0.8371,2633,0.25455
ENSG00000176407,KCMF1,72,0.13915,60,-0.1797,40,-0.7833,74,0.17908,64,-0.0767,44,-0.6369,77,0.21638,92,0.50332
ENSG00000152291,TGOLN2,265,0.22097,257,0.13273,235,-0.0039,267,0.21218,279,0.32154,151,-0.6798,118,-1.0566,140,-0.7938
ENSG00000042445,RETSAT,22,0.33874,11,-0.7466,15,-0.3724,17,-0.1604,17,-0.1603,46,1.45398,9,-1.0039,9,-1.0054
ENSG00000168906,MAT2A,64,0.39845,84,0.76695,42,-0.3173,36,-0.6075,27,-1.1080,120,1.36210,38,-0.4722,46,-0.1946
ENSG00000115486,GGCX,25,0.51120,18,-0.1132,28,0.56766,14,-0.5255,14,-0.5145,17,-0.2101,23,0.25654,19,-0.0272
ENSG00000168894,RNF181,59,0.54973,31,-0.5697,24,-0.9497,27,-0.8372,43,-0.0547,42,-0.0838,82,0.98022,40,-0.1517
ENSG00000168883,USP39,23,0.93060,14,-0.0828,7,-0.9898,3,-2.1739,18,0.39634,17,0.28597,13,-0.2068,8,-0.9406
ENSG00000115525,ST3GAL5,109,0.48993,107,0.35762,89,0.07107,49,-0.8779,82,-0.0686,48,-0.8595,103,0.30670,85,-0.0025
ENSG00000068654,POLR1A,14,-0.0314,19,0.46631,20,0.49170,12,-0.3107,17,0.35039,6,-1.3336,8,-0.8590,16,0.14767
ENSG00000132300,PTCD3,57,0.12114,110,1.16154,67,0.34928,23,-1.3257,47,-0.2498,86,0.74058,39,-0.4797,37,-0.5689
ENSG00000132305,IMMT,125,0.31407,121,0.20962,90,-0.2415,122,0.24404,126,0.33306,61,-0.8479,54,-1.0270,54,-1.0137
ENSG00000132313,MRPL35,63,0.33603,38,-0.4964,36,-0.5665,47,-0.1781,64,0.38482,48,-0.1381,43,-0.2957,42,-0.3243
ENSG00000068615,REEP1,153,0.69845,137,0.38475,42,-1.4072,123,0.22737,107,-0.0160,47,-1.2530,36,-1.6574,112,0.06474
ENSG00000115548,KDM3A,24,-0.0234,18,-0.4901,31,0.35618,11,-1.2730,30,0.36220,41,0.81539,23,-0.1144,23,-0.1015
ENSG00000115561,CHMP3,238,-0.5296,249,-0.3818,516,0.76828,297,-0.1237,407,0.47078,167,-0.9880,391,0.31733,301,-0.0929
ENSG00000239305,RNF103,47,0.50259,40,0.16429,34,-0.1001,29,-0.3352,38,0.08324,20,-0.8845,26,-0.5065,37,0.03102
ENSG00000153561,RMND5A,50,-0.1097,29,-0.9154,50,-0.0804,72,0.53096,51,-0.0810,49,-0.1199,55,0.06969,60,0.18338
ENSG00000222041,CYTOR,11,0.08093,33,1.84413,8,-0.3619,8,-0.4677,6,-1.0220,5,-1.1640,6,-0.8326,21,0.99551
ENSG00000172086,KRCC1,11,-1.4184,26,-0.0161,62,1.38680,32,0.34580,17,-0.7335,55,1.18195,25,-0.0532,24,-0.1437
ENSG00000144115,THNSL2,16,0.36697,15,0.13893,7,-0.9556,7,-1.0836,8,-0.9247,21,0.71596,25,0.99158,21,0.67981
ENSG00000172071,EIF2AK3,12,0.38123,9,-0.1479,5,-0.9087,13,0.50695,13,0.47869,7,-0.5597,2,-1.8936,4,-1.3803
ENSG00000172005,MAL,10,-2.2713,13,-1.6466,169,2.48182,57,0.60134,10,-2.3019,116,1.74520,22,-0.9044,33,-0.3001
ENSG00000144029,MRPS5,96,0.19178,127,0.60283,119,0.49467,68,-0.4087,87,-0.0030,70,-0.3329,66,-0.4344,64,-0.4797
ENSG00000144026,ZNF514,8,-0.7432,33,1.66802,12,-0.0037,10,-0.3478,9,-0.3972,21,0.86477,5,-1.3148,13,0.19717
ENSG00000115041,KCNIP3,28,-0.0908,39,0.44020,19,-0.6983,48,0.85810,22,-0.5380,29,-0.0319,26,-0.1831,26,-0.2161
ENSG00000115042,FAHD2A,20,-0.0309,55,1.61051,23,0.14836,13,-0.7420,14,-0.6731,22,0.10824,33,0.71807,7,-1.6290
ENSG00000232931,LINC00342,14,-2.2069,391,3.84233,92,0.81850,9,-2.7048,27,-1.2316,64,0.24532,6,-3.2764,19,-1.5572
ENSG00000174501,ANKRD36C,42,-1.9825,606,2.60315,361,1.58589,60,-1.3514,100,-0.5721,156,0.19062,41,-1.8242,88,-0.6954
ENSG00000158050,DUSP2,14,0.24724,18,0.57719,2,-2.5347,31,1.70499,9,-0.5476,1,-3.3949,3,-1.9594,6,-0.9493
ENSG00000084090,STARD7,155,0.30083,111,-0.2705,94,-0.5335,115,-0.2456,114,-0.2708,177,0.45909,167,0.36108,137,0.05224
ENSG00000135956,TMEM127,73,0.84196,41,-0.2474,35,-0.4813,36,-0.4758,52,0.14817,41,-0.2558,31,-0.6612,30,-0.7260
ENSG00000144021,CIAO1,144,0.21768,142,0.15688,160,0.34516,102,-0.3783,143,0.20906,132,0.03765,89,-0.5606,80,-0.7198
ENSG00000144028,SNRNP200,56,0.10174,63,0.25677,49,-0.1170,29,-0.9682,63,0.33103,72,0.47671,43,-0.3263,48,-0.1619
ENSG00000114982,KANSL3,40,0.70161,50,0.90677,42,0.61724,20,-0.5771,15,-1.0534,16,-0.8082,28,-0.0197,25,-0.2074
ENSG00000213337,ANKRD39,30,0.27108,27,0.04989,26,0.00911,27,0.09294,25,-0.0630,18,-0.5234,25,-0.0418,21,-0.3290
ENSG00000168758,SEMA4C,11,-0.1154,12,-0.0015,26,1.21469,12,-0.0211,8,-0.6096,11,-0.1944,9,-0.3691,16,0.40658
ENSG00000144199,FAHD2B,27,0.65316,11,-0.8116,8,-1.2429,11,-0.9111,15,-0.4524,44,1.33031,28,0.60169,11,-0.7688
ENSG00000135976,ANKRD36,29,-1.6606,431,3.11616,155,1.09906,37,-1.1945,47,-0.9085,83,0.07354,21,-1.9960,30,-1.4339
ENSG00000277701,AC159540.2,3,-1.8602,94,4.64865,9,-0.1325,2,-2.4570,4,-1.4352,4,-1.2072,0,-5.3419,1,-3.4006
ENSG00000230606,AC092683.1,20,-2.1275,646,4.65517,60,-0.3049,13,-2.6048,35,-1.2719,17,-2.1373,14,-2.4675,21,-1.8749
ENSG00000196912,ANKRD36B,18,-1.8938,396,3.71324,120,1.17961,16,-2.0122,27,-1.2901,29,-1.0219,15,-2.0135,24,-1.3218
ENSG00000135940,COX5B,710,0.53932,343,-0.6948,329,-0.7602,329,-0.8085,522,-0.0593,351,-0.6602,929,0.87299,704,0.42197
ENSG00000115073,ACTR1B,87,0.46402,68,-0.0032,52,-0.4245,71,0.07366,53,-0.4670,46,-0.6203,84,0.31809,78,0.20443
ENSG00000075568,TMEM131,60,0.21804,94,0.91220,55,0.06431,61,0.23953,45,-0.2843,52,-0.0254,23,-1.2509,29,-0.9364
ENSG00000040933,INPP4A,96,0.50260,83,0.18682,71,-0.0747,77,0.06687,63,-0.2986,62,-0.2837,62,-0.2661,55,-0.4673
ENSG00000183513,COA5,56,0.16164,32,-0.7427,37,-0.5213,50,-0.0518,51,-0.0301,62,0.28562,64,0.35208,55,0.09591
ENSG00000115446,UNC50,28,0.74469,16,-0.2996,17,-0.1657,10,-0.9553,13,-0.7162,21,0.15982,33,0.89285,18,-0.0685
ENSG00000071073,MGAT4A,30,-0.2294,39,0.22910,40,0.25953,45,0.47080,38,0.21261,23,-0.6017,19,-0.8433,27,-0.3619
ENSG00000196872,KIAA1211L,148,0.43757,116,-0.0297,117,-0.0150,87,-0.5036,146,0.39901,51,-1.2630,149,0.36065,49,-1.3296
ENSG00000135951,TSGA10,13,-1.0117,55,1.34976,38,0.74029,19,-0.4103,24,-0.0126,23,-0.0276,22,-0.1224,24,-0.0011
ENSG00000158411,MITD1,14,-0.3474,21,0.37726,25,0.62221,13,-0.4111,23,0.58462,14,-0.2376,12,-0.5540,10,-0.7395
ENSG00000185414,MRPL30,43,0.17733,39,-0.0074,19,-1.0867,41,0.09138,49,0.42434,25,-0.6693,28,-0.5123,40,0.02352
ENSG00000115514,TXNDC9,32,0.83582,24,0.23285,12,-0.8628,19,-0.1925,21,-0.0230,15,-0.4918,10,-1.0313,16,-0.4383
ENSG00000158417,EIF5B,304,-0.6611,454,0.04599,613,0.52444,539,0.35068,552,0.43668,423,-0.0638,299,-0.5972,293,-0.6256
ENSG00000135945,REV1,35,-0.3831,73,0.80015,90,1.15503,35,-0.3782,44,0.01145,47,0.09803,21,-1.0980,31,-0.5045
ENSG00000144218,AFF3,36,-0.8582,70,0.28833,62,0.09477,80,0.55263,59,0.03976,29,-1.0608,74,0.38755,76,0.43056
ENSG00000170500,LONRF2,224,0.15034,232,0.17786,215,0.05743,210,0.02862,245,0.32191,102,-1.0740,144,-0.5591,171,-0.2977
ENSG00000115526,CHST10,41,0.94607,37,0.60089,11,-1.2102,17,-0.6423,18,-0.5845,29,0.20269,20,-0.3402,22,-0.2276
ENSG00000115539,PDCL3,36,0.62194,18,-0.5673,12,-1.1459,22,-0.2923,26,0.00181,27,0.04479,12,-1.2136,41,0.71730
ENSG00000170485,NPAS2,34,-0.0188,43,0.35885,34,-0.0120,29,-0.2834,24,-0.6502,49,0.55481,51,0.63003,38,0.15500
ENSG00000071082,RPL31,675,-0.2915,401,-1.0373,715,-0.1589,675,-0.2679,549,-0.6535,868,0.14367,2040,1.56815,1244,0.72241
ENSG00000158435,CNOT11,15,0.91561,15,0.64367,7,-0.4519,4,-1.3415,11,0.25108,4,-1.1731,8,-0.2916,4,-1.1345
ENSG00000163162,RNF149,26,0.46633,41,1.12231,35,0.85869,10,-1.1750,14,-0.6857,24,0.26175,16,-0.3971,10,-0.9966
ENSG00000175874,CREG2,719,0.12122,851,0.36639,937,0.52158,749,0.18008,835,0.41548,131,-2.4536,321,-1.1317,367,-0.9294
ENSG00000071054,MAP4K4,92,-1.3109,146,-0.4580,430,1.27095,262,0.50057,161,-0.3644,310,0.72065,159,-0.3340,234,0.26736
ENSG00000233639,PANTR1,23,0.51599,13,-0.4598,19,0.11832,3,-2.3786,10,-0.8882,38,1.23473,38,1.25798,13,-0.4817
ENSG00000198914,POU3F3,43,-0.7145,33,-1.0299,97,0.64972,47,-0.5364,50,-0.4666,145,1.31229,113,0.88941,81,0.34403
ENSG00000135972,MRPS9,52,0.51591,42,0.07371,29,-0.4846,39,-0.0447,41,0.06225,36,-0.1396,25,-0.7272,29,-0.4808
ENSG00000135966,TGFBRAP1,31,0.74091,22,0.07272,20,-0.0753,26,0.35611,18,-0.2801,10,-1.1850,12,-0.8296,12,-0.8177
ENSG00000135974,C2orf49,30,-0.6787,32,-0.4763,67,0.64023,41,-0.1292,65,0.76574,47,0.09688,39,-0.2105,24,-0.9495
ENSG00000115641,FHL2,27,0.56817,30,0.64704,10,-0.9822,29,0.61573,18,-0.2244,5,-1.9070,11,-0.9480,13,-0.6364
ENSG00000071051,NCK2,44,0.35439,37,0.00938,13,-1.5330,26,-0.5585,36,-0.0065,31,-0.2593,33,-0.1424,68,0.99314
ENSG00000115652,UXS1,40,0.16032,46,0.33768,48,0.41265,30,-0.3305,41,0.21867,28,-0.4241,20,-0.9585,33,-0.1665
ENSG00000144057,ST6GAL2,16,-0.2706,29,0.73021,13,-0.4959,22,0.28847,17,-0.1224,16,-0.2093,21,0.17718,17,-0.0924
ENSG00000135968,GCC2,443,-0.9324,814,0.12181,909,0.29602,947,0.39997,1313,1.16686,240,-1.7269,195,-2.0343,467,-0.7326
ENSG00000169756,LIMS1,8,-1.6557,11,-1.0652,72,1.96410,14,-0.7151,16,-0.5812,65,1.78484,23,0.07036,17,-0.4074
ENSG00000153201,RANBP2,166,0.09144,174,0.14937,173,0.13794,106,-0.6638,232,0.76547,87,-0.9104,81,-1.0264,137,-0.2204
ENSG00000172985,SH3RF3,8,-0.3806,9,-0.1387,13,0.40815,6,-0.9043,9,-0.2034,24,1.34470,16,0.70166,7,-0.5595
ENSG00000282033,AC074387.1,19,1.26535,10,-0.0610,7,-0.5747,2,-2.4998,6,-0.9802,17,0.73783,13,0.36102,10,-0.0986
ENSG00000144061,NPHP1,8,-0.5777,41,2.09285,24,1.12648,3,-1.9033,9,-0.3664,15,0.38288,9,-0.4449,4,-1.6642
ENSG00000175701,MTLN,104,0.78469,39,-0.9111,39,-0.8991,40,-0.9084,69,-0.0252,67,-0.0809,85,0.29072,85,0.29140
ENSG00000175772,LINC01106,24,1.03512,18,0.34671,13,-0.1663,12,-0.2560,12,-0.3551,2,-2.5970,8,-0.9188,14,-0.0103
ENSG00000172965,MIR4435-2HG,12,0.23753,20,0.94136,6,-0.9386,7,-0.7103,14,0.44630,0,-4.3093,4,-1.4593,19,0.90937
ENSG00000153107,ANAPC1,34,0.46859,30,0.18391,21,-0.3954,27,0.04038,27,0.00974,12,-1.2503,25,-0.0926,22,-0.2669
ENSG00000153214,TMEM87B,18,0.99020,12,0.07874,5,-1.0278,6,-0.8231,11,-0.0155,10,-0.2199,6,-0.8208,10,-0.0910
ENSG00000144152,FBLN7,20,1.47622,8,-0.3305,9,-0.0691,1,-3.4130,10,0.07070,4,-1.3472,8,-0.2306,7,-0.5198
ENSG00000144161,ZC3H8,34,-0.5686,96,1.18130,70,0.64559,18,-1.4887,63,0.59453,30,-0.6643,45,-0.0438,36,-0.3814
ENSG00000188177,ZC3H6,69,-1.2420,104,-0.4733,223,0.72525,148,0.07705,199,0.68108,155,0.14646,152,0.11578,104,-0.4697
ENSG00000114999,TTL,106,0.17587,98,0.02187,108,0.16701,112,0.25046,91,-0.1160,56,-0.8202,104,0.11775,76,-0.3667
ENSG00000125611,CHCHD5,32,0.63571,15,-0.5958,16,-0.5198,13,-0.8943,18,-0.4713,32,0.53004,34,0.62520,26,0.18611
ENSG00000144136,SLC20A1,81,0.42504,123,1.02833,33,-1.0145,58,-0.1831,77,0.33484,25,-1.4421,19,-1.8050,53,-0.3248
ENSG00000136682,CBWD2,14,0.51791,10,-0.0119,8,-0.3175,8,-0.4979,9,-0.3260,14,0.42414,10,-0.0455,10,0.02274
ENSG00000144134,RABL2A,10,0.18524,20,1.25066,15,0.76476,9,-0.0527,6,-0.7125,2,-1.8477,1,-2.6506,14,0.66247
ENSG00000115084,SLC35F5,11,-0.6835,41,1.54329,16,0.03256,3,-2.3477,11,-0.5545,52,1.97310,16,0.01805,8,-0.9920
ENSG00000115091,ACTR3,109,0.11837,90,-0.2044,103,0.00263,107,0.06386,116,0.22358,62,-0.7782,60,-0.8293,133,0.40856
ENSG00000175497,DPP10,92,0.49615,113,0.73256,49,-0.5776,47,-0.6843,52,-0.5556,140,1.09836,52,-0.4643,45,-0.7046
ENSG00000235026,DPP10-AS1,26,0.77637,13,-0.4683,16,-0.2090,8,-1.2483,17,-0.1087,13,-0.5197,28,0.71271,17,-0.0887
ENSG00000088205,DDX18,88,-0.3861,123,0.18438,156,0.57136,88,-0.3566,149,0.61624,84,-0.4011,87,-0.3421,79,-0.4839
ENSG00000125633,CCDC93,16,-0.5469,50,1.37057,16,-0.4254,15,-0.5550,23,0.15639,36,0.83426,18,-0.2345,10,-1.0873
ENSG00000125629,INSIG2,42,0.75869,41,0.56299,22,-0.4246,22,-0.4164,28,-0.0279,10,-1.5961,18,-0.7172,27,-0.0832
ENSG00000144119,C1QL2,19,2.02845,0,-8.2367,4,-0.9220,0,-7.0014,0,-4.9152,12,0.63201,27,2.09644,1,-2.1145
ENSG00000155368,DBI,70,-0.9457,44,-1.5213,118,-0.0335,49,-1.4234,61,-1.1771,525,2.59329,291,1.45551,94,-0.3724
ENSG00000163075,CFAP221,18,0.48981,36,1.50191,8,-0.7915,3,-2.4512,19,0.57357,10,-0.5157,5,-1.3774,7,-1.0103
ENSG00000144120,TMEM177,18,1.80207,12,0.58303,2,-1.9264,3,-1.2337,3,-1.6495,3,-1.4063,10,0.39733,7,-0.1948
ENSG00000088179,PTPN4,82,0.29957,123,0.91425,60,-0.2325,65,-0.1116,65,-0.1256,45,-0.6610,50,-0.4978,57,-0.3126
ENSG00000115109,EPB41L5,8,-0.4219,18,0.91408,20,1.06812,0,-3.9428,6,-0.9572,27,1.57870,16,0.69049,9,-0.1641
ENSG00000226479,TMEM185B,14,0.78844,12,0.33708,6,-0.7579,6,-0.6947,6,-0.7818,25,1.56614,1,-2.8120,7,-0.4556
ENSG00000144118,RALB,115,-0.0562,77,-0.6622,93,-0.3646,122,0.05217,121,0.03945,59,-1.0553,132,0.17538,226,1.04173
ENSG00000074054,CLASP1,72,0.52164,75,0.47773,45,-0.3207,45,-0.3368,49,-0.2108,45,-0.3279,44,-0.3469,55,0.00169
ENSG00000155438,NIFK,27,-0.1717,26,-0.1952,36,0.27589,27,-0.1898,39,0.53148,20,-0.6153,32,0.11284,22,-0.4907
ENSG00000211460,TSN,91,0.61368,63,-0.0727,60,-0.1588,74,0.17998,44,-0.7137,82,0.31752,57,-0.2413,49,-0.4598
ENSG00000155052,CNTNAP5,13,-0.4566,25,0.68534,24,0.62457,4,-2.1409,31,1.38340,5,-1.6320,14,-0.1840,3,-2.4100
ENSG00000136717,BIN1,132,0.28598,116,0.02972,160,0.54611,107,-0.0945,80,-0.6355,130,0.21712,105,-0.1287,116,0.03811
ENSG00000163161,ERCC3,31,0.50407,44,1.00843,21,-0.1457,16,-0.5984,22,-0.1406,17,-0.5033,22,-0.0760,11,-1.0776
ENSG00000169967,MAP3K2,33,-0.8062,95,0.95939,127,1.46531,30,-0.8827,48,-0.1369,84,0.75654,38,-0.4880,29,-0.8752
ENSG00000163166,IWS1,43,-0.9359,68,-0.1095,145,1.10511,73,-0.0149,95,0.49997,91,0.34384,46,-0.7003,44,-0.7919
ENSG00000136709,WDR33,40,-0.2328,51,0.17436,36,-0.3687,40,-0.2330,57,0.43344,57,0.33648,45,-0.0356,34,-0.4535
ENSG00000144231,POLR2D,24,-0.6647,20,-0.7796,29,-0.2504,46,0.52115,44,0.49041,42,0.29545,33,-0.0711,26,-0.3999
ENSG00000136715,SAP130,18,0.18148,15,-0.1225,14,-0.2869,20,0.28535,16,-0.0496,27,0.74534,10,-0.7761,7,-1.1568
ENSG00000136731,UGGT1,29,-0.0235,49,0.80050,57,1.06332,21,-0.5498,33,0.18976,21,-0.5208,9,-1.6882,20,-0.6169
ENSG00000136720,HS6ST1,122,0.92546,47,-0.7509,30,-1.4450,30,-1.4781,71,-0.1507,95,0.31714,110,0.55950,83,0.11366
ENSG00000136699,SMPD4,28,0.15249,62,1.40903,18,-0.5909,26,-0.0231,18,-0.6535,32,0.33316,14,-0.9326,23,-0.2024
ENSG00000152082,MZT2B,410,0.18309,199,-0.9569,259,-0.5557,358,-0.0638,307,-0.3540,305,-0.3105,744,1.12413,466,0.35270
ENSG00000136710,CCDC115,70,0.67712,28,-0.8519,20,-1.3589,49,-0.0311,62,0.43317,29,-0.8099,25,-1.0276,49,-0.0141
ENSG00000136718,IMP4,59,0.27853,41,-0.3516,26,-1.0479,43,-0.2832,40,-0.4276,47,-0.1291,85,0.80053,82,0.75445
ENSG00000072135,PTPN18,14,0.00244,18,0.45390,22,0.70490,3,-2.2125,7,-1.0657,41,1.77451,20,0.54260,9,-0.5545
ENSG00000178171,AMER3,28,0.82963,17,-0.1559,16,-0.2454,16,-0.2091,15,-0.3933,2,-3.1813,25,0.49387,19,0.08087
ENSG00000136002,ARHGEF4,143,-0.0294,131,-0.1680,69,-1.1257,186,0.42644,94,-0.7804,302,1.18416,177,0.30974,131,-0.1664
ENSG00000152102,FAM168B,190,0.63247,123,-0.1715,96,-0.5564,131,-0.0813,120,-0.2515,102,-0.4686,127,-0.1328,152,0.15085
ENSG00000115762,PLEKHB2,339,0.29537,258,-0.1860,203,-0.5524,392,0.52583,286,-0.0314,144,-1.0648,207,-0.5246,308,0.08939
ENSG00000173272,MZT2A,182,0.20227,94,-0.8480,129,-0.3661,160,-0.0395,133,-0.3760,98,-0.7861,333,1.15651,207,0.37632
ENSG00000287151,C2orf27A,10,-0.4518,30,1.36052,20,0.64022,6,-1.2826,16,0.35781,8,-0.7610,6,-1.1116,17,0.37749
ENSG00000150551,LYPD1,5,-1.6154,5,-1.3841,10,-0.2692,12,-0.0759,6,-1.1312,37,1.79735,48,2.28767,5,-1.2512
ENSG00000176771,NCKAP5,2,-3.1971,6,-1.6495,81,2.67125,12,-0.5779,9,-1.0678,52,1.77729,16,-0.1468,16,-0.1525
ENSG00000152127,MGAT5,66,0.52194,56,0.15585,60,0.28321,54,0.12938,48,-0.1008,44,-0.1967,13,-2.0125,32,-0.6812
ENSG00000152128,TMEM163,40,1.23071,21,-0.0952,7,-1.7537,20,-0.1179,20,-0.2008,8,-1.4308,10,-1.1465,21,-0.0686
ENSG00000082258,CCNT2,37,0.10064,109,1.89522,33,-0.1016,24,-0.5958,27,-0.4354,34,-0.0525,16,-1.1259,22,-0.7305
ENSG00000115839,RAB3GAP1,109,-0.2246,129,0.07083,104,-0.2614,167,0.53373,164,0.56154,75,-0.7557,52,-1.2967,88,-0.5140
ENSG00000121988,ZRANB3,9,-0.0727,20,1.13092,12,0.37699,5,-0.9040,10,0.13290,3,-1.7543,11,0.20941,10,0.02191
ENSG00000048991,R3HDM1,223,-0.0533,454,1.10610,186,-0.3285,133,-0.8909,324,0.68470,71,-1.7586,180,-0.3728,186,-0.3276
ENSG00000144224,UBXN4,126,-0.7198,254,0.47427,289,0.68302,190,0.01129,197,0.08745,254,0.47494,140,-0.4557,163,-0.2261
ENSG00000076003,MCM6,15,0.16767,16,0.24020,4,-1.5543,14,0.09436,18,0.62965,5,-1.5232,9,-0.5434,12,-0.1707
ENSG00000115866,DARS,58,-0.4320,75,0.01390,88,0.27061,61,-0.3128,74,0.00735,149,1.13049,83,0.18244,47,-0.6911
ENSG00000150540,HNMT,12,0.09989,9,-0.2831,10,-0.2498,7,-0.8069,5,-1.4479,38,2.02507,18,0.70261,9,-0.3539
ENSG00000144228,SPOPL,14,-0.3788,22,0.34190,16,-0.1840,19,0.15560,22,0.45582,17,-0.0475,15,-0.2373,11,-0.7220
ENSG00000144227,NXPH2,11,-0.3286,5,-1.3278,7,-0.9549,22,0.81612,15,0.11191,11,-0.3301,30,1.21667,4,-1.8829
ENSG00000168702,LRP1B,19,-1.6989,135,1.56298,162,1.89953,68,0.47041,36,-0.6669,44,-0.2729,11,-2.2417,26,-1.0497
