Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000121440,PDZRN3,2,-3.5176,21,-0.4267,18,-0.6789,31,0.16956,36,0.42117,27,-0.0571,14,-1.0832,39,0.56109,51,1.15416
ENSG00000113805,CNTN3,1,-4.5607,15,-1.0519,14,-1.1434,5,-2.7070,46,0.67910,57,1.21587,10,-1.6710,60,1.11925,42,0.59997
ENSG00000185008,ROBO2,14,-2.7715,57,-0.6912,30,-1.6463,56,-0.7122,94,0.07483,159,1.07026,92,0.05553,58,-0.6702,131,0.68658
ENSG00000169855,ROBO1,62,1.09909,10,-1.6304,35,0.15829,47,0.63247,35,0.16949,44,0.59602,24,-0.4464,19,-0.7920,17,-1.0144
ENSG00000175161,CADM2,212,-1.2483,462,-0.0629,237,-1.0837,295,-0.7504,366,-0.4237,842,1.04437,484,0.01324,368,-0.4140,586,0.35211
ENSG00000083937,CHMP2B,75,0.22749,49,-0.4469,17,-1.9888,78,0.29747,27,-1.3468,69,0.11134,83,0.42882,61,-0.1020,84,0.46223
ENSG00000163320,CGGBP1,24,-1.5615,78,0.22789,43,-0.6947,58,-0.2270,70,0.06312,64,-0.0839,70,0.06567,97,0.58913,85,0.40855
ENSG00000175105,ZNF654,27,0.36412,29,0.48110,17,-0.3208,16,-0.4471,10,-1.1561,28,0.50282,20,-0.0859,14,-0.5849,23,0.10059
ENSG00000269028,MTRNR2L12,9277,-0.2064,39197,2.29530,14942,0.55219,24498,1.39404,4887,-1.1841,7153,-0.6560,3327,-1.8549,5090,-1.1229,4089,-1.5391
ENSG00000113966,ARL6,5,-2.2844,11,-1.1123,22,-0.1351,17,-0.4897,7,-1.7131,25,0.12188,26,0.15479,35,0.63047,42,1.05032
ENSG00000080200,CRYBG3,125,2.87071,20,-0.3694,15,-0.8238,28,0.14001,43,0.81661,18,-0.5997,2,-3.5120,19,-0.4642,9,-1.6142
ENSG00000170854,RIOX2,22,0.07714,4,-2.4207,7,-1.5302,16,-0.3692,12,-0.7763,29,0.59398,13,-0.6840,52,1.52030,25,0.31925
ENSG00000080822,CLDND1,1123,3.54381,63,-1.5963,125,-0.5751,114,-0.7108,131,-0.5076,92,-1.1165,121,-0.6755,50,-1.9328,73,-1.4782
ENSG00000080819,CPOX,39,1.15439,6,-1.7038,13,-0.6018,15,-0.3461,22,0.23827,18,-0.0869,12,-0.7210,39,1.13920,17,-0.1698
ENSG00000064225,ST3GAL6,23,0.12136,9,-1.2193,1,-4.0595,6,-1.7989,62,1.82004,18,-0.2965,29,0.57338,5,-2.0493,26,0.39022
ENSG00000184220,CMSS1,74,-0.2186,82,-0.0561,36,-1.2820,66,-0.3864,76,-0.1604,101,0.31160,105,0.38681,100,0.25778,85,-0.0001
ENSG00000168386,FILIP1L,18,-0.9467,71,1.25308,10,-1.7145,18,-0.9240,67,1.15281,55,0.94648,31,-0.1183,14,-1.2263,12,-1.5278
ENSG00000036054,TBC1D23,38,0.39367,12,-1.3147,17,-0.8611,26,-0.1918,57,1.06721,28,-0.0920,30,0.00495,33,0.19611,28,-0.1006
ENSG00000114021,NIT2,6,-1.9132,16,-0.6112,12,-0.9772,15,-0.6815,34,0.53026,22,-0.1478,37,0.79800,24,0.00172,31,0.42846
ENSG00000154174,TOMM70,51,-1.0756,134,0.41646,53,-1.0175,55,-0.9432,94,-0.1370,120,0.27327,113,0.16578,96,-0.1047,142,0.57967
ENSG00000114354,TFG,27,-1.0858,16,-1.8370,46,-0.2771,46,-0.2798,122,1.29709,48,-0.2481,59,0.09339,43,-0.4087,76,0.56234
ENSG00000138468,SENP7,105,1.84837,28,-0.3526,23,-0.6342,37,0.08286,59,0.83091,46,0.49210,10,-1.9190,13,-1.4540,21,-0.8057
ENSG00000174173,TRMT10C,27,-0.8720,26,-0.8956,24,-1.0284,26,-0.8971,39,-0.2935,71,0.72570,49,0.04675,40,-0.2536,74,0.79206
ENSG00000081154,PCNP,110,-0.1973,157,0.35371,120,-0.0610,60,-1.1104,114,-0.1419,112,-0.1861,181,0.66430,107,-0.2404,123,-0.0263
ENSG00000066422,ZBTB11,42,-0.2876,39,-0.4005,35,-0.5292,33,-0.6376,36,-0.4999,69,0.56998,47,-0.0971,62,0.34510,61,0.33462
ENSG00000114391,RPL24,731,0.31026,724,0.29478,865,0.58304,606,0.01287,493,-0.3093,327,-1.0021,847,0.61857,587,-0.0360,429,-0.5665
ENSG00000182504,CEP97,85,1.39867,25,-0.5515,19,-0.9707,19,-0.9456,31,-0.2478,56,0.80127,27,-0.5130,15,-1.3585,37,0.05593
ENSG00000144815,NXPE3,125,1.33603,36,-0.6513,28,-1.0343,28,-1.0357,35,-0.7049,87,0.80186,44,-0.3995,39,-0.5372,57,0.05163
ENSG00000170017,ALCAM,424,1.84272,87,-0.7612,49,-1.6355,106,-0.4692,96,-0.6221,144,0.00967,85,-0.8630,111,-0.3956,195,0.54656
ENSG00000242759,LINC00882,82,1.17687,58,0.59186,28,-0.5367,25,-0.6957,37,-0.1206,50,0.39322,27,-0.6303,52,0.42637,21,-1.0441
ENSG00000243701,DUBR,62,2.21948,25,0.61282,8,-1.1468,5,-1.7009,1,-4.0042,28,0.89256,4,-1.9946,8,-1.1181,15,-0.1865
ENSG00000114439,BBX,472,2.46282,88,-0.4496,81,-0.5746,131,0.16988,56,-1.1400,147,0.40351,64,-0.9992,57,-1.1124,51,-1.3381
ENSG00000196776,CD47,80,-0.7214,63,-1.0711,79,-0.7462,52,-1.3562,104,-0.3206,172,0.52894,138,0.13347,166,0.40996,185,0.66752
ENSG00000114446,IFT57,31,-0.9498,53,-0.1404,28,-1.0896,32,-0.8995,45,-0.3973,99,0.98173,61,0.07875,29,-1.0286,79,0.55148
ENSG00000198919,DZIP3,181,0.17676,208,0.40053,69,-1.2914,154,-0.0783,125,-0.3952,256,0.84102,121,-0.4836,128,-0.3645,160,-0.0165
ENSG00000177707,NECTIN3,48,0.58102,30,-0.1852,24,-0.4811,11,-1.6190,22,-0.6151,33,-0.0003,4,-3.1073,115,2.12746,37,0.19910
ENSG00000144827,ABHD10,17,-1.3000,25,-0.7497,32,-0.3591,17,-1.2951,32,-0.3855,41,-0.0020,57,0.57398,61,0.64061,56,0.54682
ENSG00000144834,TAGLN3,50,-2.8171,183,-0.8991,204,-0.7343,115,-1.5868,279,-0.2552,283,-0.2547,641,1.26874,299,-0.1481,482,0.69235
ENSG00000091972,CD200,26,-1.9084,65,-0.5319,33,-1.5292,42,-1.1944,121,0.43354,90,-0.0271,114,0.38783,144,0.72845,131,0.63290
ENSG00000144848,ATG3,100,1.26352,28,-0.7515,38,-0.2989,56,0.30326,49,0.09680,46,-0.0014,32,-0.6333,41,-0.1763,43,-0.1121
ENSG00000138459,SLC35A5,22,-0.3951,5,-2.6096,16,-0.9120,25,-0.2132,15,-0.9416,32,0.17558,42,0.69736,16,-0.8713,48,0.96067
ENSG00000091986,CCDC80,91,1.80632,18,-0.8634,26,-0.2948,148,2.81585,44,0.53666,13,-1.4161,8,-2.0161,1,-4.8412,2,-3.6784
ENSG00000163608,NEPRO,24,-0.0270,29,0.23628,23,-0.0986,28,0.17790,7,-1.7545,31,0.38060,31,0.37947,24,-0.0751,19,-0.4062
ENSG00000206530,CFAP44,52,1.24242,25,0.05486,5,-2.3485,32,0.45269,27,0.19393,39,0.87036,5,-2.4730,27,0.17888,17,-0.5730
ENSG00000072858,SIDT1,3,-3.1330,18,-0.7079,10,-1.5024,7,-2.1070,61,1.24728,41,0.65969,22,-0.4584,24,-0.2527,47,0.88497
ENSG00000176542,USF3,90,0.81224,46,-0.2493,23,-1.3160,42,-0.3908,46,-0.2548,93,0.98408,48,-0.2048,42,-0.4036,41,-0.4880
ENSG00000121579,NAA50,26,-1.2389,60,0.01117,52,-0.2202,43,-0.5120,97,0.78174,53,-0.2012,81,0.53250,67,0.17509,52,-0.2279
ENSG00000114573,ATP6V1A,44,-2.7523,244,-0.2189,179,-0.6959,143,-1.0309,253,-0.1606,329,0.27984,366,0.47601,180,-0.6859,466,0.93636
ENSG00000184307,ZDHHC23,4,-2.4150,21,-0.0097,14,-0.6530,8,-1.4384,14,-0.6350,33,0.79976,16,-0.4286,15,-0.4715,39,1.15991
ENSG00000163617,CCDC191,85,2.21495,24,0.06448,13,-0.8457,23,-0.0419,18,-0.3951,35,0.73057,5,-2.2249,11,-1.1791,13,-0.9526
ENSG00000181722,ZBTB20,426,2.10479,77,-0.7631,74,-0.8163,546,2.62996,85,-0.6151,38,-1.8942,50,-1.4941,55,-1.2514,36,-1.9656
ENSG00000172020,GAP43,307,-2.1486,2485,1.08985,1089,-0.2484,525,-1.3555,448,-1.5924,1513,0.29842,1924,0.74491,1120,-0.2048,1238,-0.0535
ENSG00000185565,LSAMP,239,-0.7925,430,0.11673,250,-0.7186,486,0.31304,321,-0.3394,569,0.64039,384,-0.0664,124,-1.7664,516,0.45779
ENSG00000113845,TIMMDC1,42,0.36326,29,-0.1879,21,-0.6686,15,-1.2331,19,-0.8406,20,-0.8202,53,0.83158,48,0.58574,39,0.29888
ENSG00000138495,COX17,97,-0.3605,132,0.12105,148,0.31120,76,-0.7218,126,0.04963,67,-0.9771,231,1.20691,107,-0.2042,90,-0.5108
ENSG00000082701,GSK3B,47,-0.9996,126,0.54646,38,-1.3151,41,-1.1796,104,0.23537,83,-0.1397,108,0.33304,68,-0.4351,135,0.74401
ENSG00000163428,LRRC58,130,1.19485,47,-0.4408,41,-0.6296,92,0.61702,99,0.74588,67,0.11255,30,-1.1897,54,-0.2314,47,-0.4912
ENSG00000065518,NDUFB4,92,-0.8592,104,-0.6837,241,0.64073,154,-0.0767,166,0.04543,99,-0.8167,243,0.74063,167,0.04835,166,0.04530
ENSG00000144840,RABL3,6,-2.2372,13,-1.0818,21,-0.4065,44,0.74441,42,0.65816,20,-0.5539,30,0.14410,35,0.36296,36,0.43223
ENSG00000145087,STXBP5L,27,-2.1354,146,0.40015,55,-1.1010,49,-1.2797,77,-0.5983,227,1.32246,113,0.00063,92,-0.3220,116,0.04741
ENSG00000173230,GOLGB1,982,0.99990,617,0.23744,177,-1.6708,406,-0.4178,420,-0.3648,1043,1.27932,283,-1.0375,331,-0.7306,397,-0.4930
ENSG00000114023,FAM162A,28,-1.7539,68,-0.4223,108,0.29084,47,-0.9997,81,-0.1636,81,-0.1808,119,0.48952,120,0.46249,114,0.41963
ENSG00000114030,KPNA1,67,-0.2522,34,-1.2683,34,-1.2684,94,0.27064,108,0.50563,101,0.43780,68,-0.2469,74,-0.0931,98,0.38680
ENSG00000173175,ADCY5,27,-0.7640,68,0.65522,77,0.85483,16,-1.5491,53,0.24120,50,0.17472,48,0.11154,50,0.15890,27,-0.8226
ENSG00000206527,HACD2,75,0.61218,41,-0.3164,16,-1.7643,61,0.29640,10,-2.4356,65,0.44072,58,0.21300,91,0.93240,36,-0.5884
ENSG00000065534,MYLK,152,1.69791,55,-0.0163,48,-0.2044,53,-0.0719,205,2.28786,22,-1.4482,27,-1.1466,17,-1.7335,17,-1.8710
ENSG00000175455,CCDC14,75,0.86917,27,-0.7026,13,-1.8255,35,-0.3374,79,0.96792,97,1.53901,14,-1.7724,20,-1.1434,26,-0.8609
ENSG00000160145,KALRN,28,-2.8736,233,0.29635,134,-0.5662,124,-0.6883,114,-0.8090,275,0.63746,222,0.23966,250,0.40787,221,0.23741
ENSG00000163848,ZNF148,90,0.04732,82,-0.1009,46,-0.9926,97,0.16209,73,-0.2902,147,0.95042,77,-0.2152,65,-0.4675,75,-0.2570
ENSG00000114520,SNX4,29,-0.3890,29,-0.4244,27,-0.5159,42,0.18141,32,-0.2767,41,0.13825,50,0.51100,19,-0.9977,46,0.34763
ENSG00000114544,SLC41A3,19,-1.7470,46,-0.4521,30,-1.1022,69,0.17344,80,0.41573,49,-0.3910,60,-0.0482,74,0.29268,102,0.92304
ENSG00000144908,ALDH1L1,12,-1.8793,2,-4.1813,57,0.51825,233,3.27224,49,0.28786,9,-2.2674,25,-0.8036,43,0.06187,14,-1.6776
ENSG00000159685,CHCHD6,3,-4.3601,45,-0.4857,91,0.61063,23,-1.4715,53,-0.2442,56,-0.1691,73,0.28162,131,1.23657,69,0.19898
ENSG00000114554,PLXNA1,9,-1.9488,39,0.22718,21,-0.7299,16,-1.0892,28,-0.2961,43,0.39816,29,-0.2351,70,1.17305,40,0.27632
ENSG00000114631,PODXL2,37,-1.6302,69,-0.6989,105,-0.0482,55,-1.0231,151,0.52734,101,-0.1116,116,0.11914,72,-0.6191,188,1.01916
ENSG00000114626,ABTB1,9,-2.7733,38,-0.6462,42,-0.5133,25,-1.2454,91,0.72444,56,-0.0520,64,0.15490,107,0.98986,73,0.39140
ENSG00000074416,MGLL,85,-1.3342,277,0.47965,208,0.02451,321,0.72073,327,0.75313,163,-0.3865,280,0.56241,92,-1.2140,131,-0.7469
ENSG00000058262,SEC61A1,19,-1.1805,8,-2.4932,47,0.14278,77,0.96431,90,1.21880,35,-0.3351,31,-0.5366,52,0.31800,43,0.02655
ENSG00000163902,RPN1,41,-0.8509,22,-1.7512,35,-1.0839,83,0.24416,132,0.99501,66,-0.1267,59,-0.3274,104,0.59289,95,0.50539
ENSG00000075785,RAB7A,89,-0.8699,131,-0.2917,120,-0.4270,144,-0.1397,172,0.14251,138,-0.2285,163,0.06442,208,0.44140,212,0.52993
ENSG00000177646,ACAD9,3,-2.5281,7,-1.4725,4,-2.1869,26,0.41203,15,-0.4345,29,0.69811,22,0.17236,22,0.13778,29,0.67802
ENSG00000240682,ISY1,27,0.00749,31,0.27100,17,-0.6921,39,0.61396,48,0.97143,15,-0.8886,23,-0.2636,22,-0.2573,29,0.13180
ENSG00000169714,CNBP,128,-0.6890,141,-0.5429,157,-0.3779,190,-0.0811,261,0.42655,147,-0.5206,226,0.21493,224,0.17877,277,0.58225
ENSG00000181789,COPG1,15,-1.8762,10,-2.4645,21,-1.4092,30,-0.9243,64,0.24977,50,-0.1553,82,0.74119,76,0.53486,86,0.84353
ENSG00000183624,HMCES,10,-2.1380,27,-0.6952,39,-0.1563,40,-0.1016,23,-0.9324,41,-0.0981,33,-0.4561,80,1.00242,75,1.02224
ENSG00000184897,H1FX,51,-1.6929,98,-0.7331,124,-0.3691,112,-0.5242,215,0.49202,125,-0.3934,220,0.59923,220,0.53377,190,0.33316
ENSG00000129071,MBD4,86,0.72194,54,-0.0029,14,-1.9993,19,-1.5488,29,-0.9613,83,0.74892,51,-0.1114,37,-0.6075,74,0.54078
ENSG00000163913,IFT122,10,-1.8336,20,-0.8619,20,-0.8408,33,-0.1152,62,0.88636,38,0.11699,26,-0.5292,67,1.02888,43,0.33509
ENSG00000004399,PLXND1,26,-0.1149,32,0.21159,20,-0.4884,31,0.16528,44,0.73583,9,-1.8280,11,-1.4471,112,2.44044,15,-1.0093
ENSG00000172765,TMCC1,37,-0.3277,44,-0.0538,27,-0.8199,35,-0.4266,34,-0.4542,68,0.71162,32,-0.6171,42,-0.1263,66,0.64643
ENSG00000196455,PIK3R4,12,-1.1136,9,-1.4626,11,-1.1834,11,-1.1962,42,0.79842,26,0.08827,43,0.96150,17,-0.5691,30,0.33278
ENSG00000017260,ATP2C1,47,-1.0626,62,-0.6449,52,-0.9235,59,-0.7229,97,0.04636,137,0.66974,100,0.10805,91,-0.0604,125,0.50187
ENSG00000114670,NEK11,28,0.68488,30,0.74775,8,-1.1453,39,1.23278,13,-0.4757,14,-0.4648,16,-0.2798,9,-1.0602,17,-0.1424
ENSG00000198585,NUDT16,84,0.20879,91,0.33145,53,-0.4982,53,-0.5210,67,-0.1417,93,0.39933,65,-0.2033,95,0.39425,63,-0.2653
ENSG00000114686,MRPL3,23,-0.7284,18,-1.0580,21,-0.8314,31,-0.2914,18,-1.0960,34,-0.1332,39,0.09919,54,0.59490,66,1.07342
ENSG00000196353,CPNE4,1,-5.3178,26,-0.5599,14,-1.4071,9,-2.1140,28,-0.4542,50,0.53189,66,1.07948,29,-0.3871,53,0.63766
ENSG00000138246,DNAJC13,37,-0.0519,48,0.37757,20,-0.9781,54,0.54817,47,0.32167,60,0.84375,16,-1.3640,29,-0.3950,34,-0.1875
ENSG00000081307,UBA5,30,-0.6099,22,-1.0420,17,-1.4180,51,0.23844,10,-2.1480,61,0.56106,57,0.43652,59,0.46651,53,0.31462
ENSG00000113971,NPHP3,102,2.07670,6,-2.4044,13,-1.2239,59,1.08496,51,0.84260,44,0.65424,4,-3.1546,25,-0.2860,6,-2.4265
ENSG00000091527,CDV3,115,0.00683,163,0.56095,103,-0.1663,113,-0.0249,98,-0.2447,142,0.37964,83,-0.5498,114,-0.0147,111,-0.0639
ENSG00000163781,TOPBP1,25,-0.2260,19,-0.6236,19,-0.6838,16,-0.9072,24,-0.2721,55,1.17077,24,-0.3599,29,0.01126,30,0.06613
ENSG00000091513,TF,1254,5.14873,13,-3.4823,64,-1.1473,50,-1.5059,52,-1.4524,22,-2.8619,40,-1.9300,30,-2.2434,25,-2.6659
ENSG00000144867,SRPRB,27,-0.6424,18,-1.2036,29,-0.5206,29,-0.5310,44,0.14169,47,0.27338,40,-0.0147,49,0.30628,58,0.62786
ENSG00000154917,RAB6B,69,-3.1457,451,-0.3521,441,-0.3864,224,-1.4116,424,-0.4459,645,0.23042,704,0.38859,823,0.60273,827,0.68945
ENSG00000114019,AMOTL2,124,2.49583,22,-0.4888,15,-1.0095,9,-1.7705,27,-0.1450,34,0.22502,20,-0.7082,14,-1.1449,21,-0.5932
ENSG00000129055,ANAPC13,27,-1.1933,91,0.67473,40,-0.6243,47,-0.3620,94,0.72772,30,-1.1294,77,0.45566,32,-0.9358,85,0.64366
ENSG00000182923,CEP63,117,0.94584,65,-0.0040,43,-0.6300,56,-0.2537,66,0.01354,114,1.01880,46,-0.5793,15,-2.1981,52,-0.4000
ENSG00000154928,EPHB1,9,-1.4052,24,0.02930,10,-1.2923,72,1.90207,21,-0.1257,27,0.26875,13,-0.9824,30,0.42143,17,-0.5391
ENSG00000073711,PPP2R3A,62,1.97641,18,-0.1306,10,-0.9270,6,-1.6897,6,-1.7513,26,0.51296,17,-0.2253,6,-1.7858,19,0.00050
ENSG00000114054,PCCB,18,-0.4747,16,-0.6308,26,0.12774,41,0.86521,35,0.59405,15,-0.8187,20,-0.2958,22,-0.1269,31,0.42140
ENSG00000118007,STAG1,40,1.24520,17,-0.1099,6,-1.5426,15,-0.2824,34,0.95170,26,0.61432,11,-0.7909,25,0.43875,5,-1.9897
ENSG00000114098,ARMC8,17,-1.6142,48,-0.0447,30,-0.7413,27,-0.9153,69,0.53700,53,0.13218,62,0.42422,53,0.10901,58,0.28017
ENSG00000158186,MRAS,56,-1.1154,125,0.10946,98,-0.2601,157,0.47475,111,-0.0758,116,-0.0094,104,-0.1820,150,0.39975,129,0.18813
ENSG00000114107,CEP70,37,0.36135,29,0.00392,11,-1.4274,20,-0.5813,18,-0.7297,60,1.36547,23,-0.4344,19,-0.6932,26,-0.2064
ENSG00000051382,PIK3CB,23,-1.9130,70,-0.2721,51,-0.7451,61,-0.4697,44,-0.9807,108,0.46389,113,0.55452,58,-0.5373,123,0.71481
ENSG00000175110,MRPS22,14,-0.6072,8,-1.4271,10,-1.1045,21,0.00383,15,-0.4465,25,0.30713,30,0.67697,13,-0.7010,29,0.58473
ENSG00000184432,COPB2,42,0.06942,32,-0.3535,34,-0.2683,34,-0.2627,23,-0.8238,61,0.74228,23,-0.9017,35,-0.2211,58,0.63742
ENSG00000114115,RBP1,41,0.99671,20,-0.1152,30,0.50302,42,1.03288,33,0.63434,2,-3.5755,23,0.06679,39,0.94427,4,-2.4290
ENSG00000158258,CLSTN2,40,-1.8838,129,-0.1189,25,-2.5609,21,-2.8232,50,-1.5623,251,1.09166,305,1.51266,3,-5.4344,148,0.10193
ENSG00000114120,SLC25A36,94,-0.3097,120,0.06543,57,-1.0724,36,-1.7324,168,0.60327,180,0.81972,111,-0.0575,72,-0.7170,125,0.14284
ENSG00000155893,PXYLP1,4,-2.2665,20,-0.0184,9,-1.1076,9,-1.1017,23,0.22695,19,-0.0528,13,-0.6416,44,1.27288,32,0.86074
ENSG00000177311,ZBTB38,139,0.29559,112,-0.0473,86,-0.4439,84,-0.4958,140,0.30466,173,0.74315,88,-0.4524,71,-0.7467,114,-0.0185
ENSG00000155903,RASA2,20,-0.5384,12,-1.3380,7,-2.0099,10,-1.5089,32,0.18266,54,1.16039,20,-0.6055,32,0.14775,42,0.68436
ENSG00000114125,RNF7,40,-0.4144,52,0.01474,55,0.07889,21,-1.3429,36,-0.5482,36,-0.5929,87,0.95030,65,0.34427,54,0.05480
ENSG00000069849,ATP1B3,21,-2.1939,95,0.03360,63,-0.6007,68,-0.4902,119,0.39044,93,0.00844,88,-0.0879,89,-0.0757,149,0.85987
ENSG00000114126,TFDP2,62,0.39841,79,0.78575,38,-0.3819,60,0.35211,49,0.03830,55,0.22618,31,-0.7242,41,-0.2368,39,-0.3735
ENSG00000175066,GK5,38,0.51477,19,-0.5616,12,-1.1830,23,-0.2701,38,0.52784,45,0.91620,17,-0.7980,24,-0.2133,25,-0.1506
ENSG00000114127,XRN1,79,1.05940,47,0.20443,17,-1.2976,37,-0.1465,58,0.54778,69,0.96110,9,-2.2562,28,-0.5718,34,-0.3092
ENSG00000175054,ATR,32,0.18723,16,-0.8903,23,-0.3286,16,-0.8599,45,0.75414,43,0.73912,14,-1.1494,27,-0.0652,34,0.30727
ENSG00000144935,TRPC1,25,-0.3369,13,-1.3415,15,-1.1524,11,-1.5563,38,0.27018,33,0.06786,52,0.91519,20,-0.6970,44,0.57771
ENSG00000163714,U2SURP,737,1.97674,160,-0.5800,68,-1.8565,189,-0.3227,160,-0.5795,366,0.82907,125,-1.0210,120,-1.0175,188,-0.3613
ENSG00000175040,CHST2,9,-1.8578,21,-0.6330,12,-1.5007,16,-1.0224,64,1.14329,25,-0.3858,52,0.89711,20,-0.7263,43,0.51904
ENSG00000181744,DIPK2A,16,-0.2291,15,-0.3003,8,-1.2450,14,-0.4618,6,-1.6216,14,-0.4687,27,0.64202,34,0.94791,24,0.48234
ENSG00000163754,GYG1,6,-2.8139,11,-1.8837,27,-0.6096,66,0.81544,84,1.22339,29,-0.5325,48,0.34813,24,-0.7543,52,0.48263
ENSG00000071794,HLTF,74,0.28113,58,-0.1054,29,-1.1477,57,-0.1108,37,-0.7653,106,0.99519,43,-0.5859,44,-0.5130,71,0.25122
ENSG00000114744,COMMD2,30,0.31828,12,-1.0748,22,-0.1289,25,0.05648,34,0.53089,36,0.67200,20,-0.2983,14,-0.8305,21,-0.2099
ENSG00000082996,RNF13,148,1.37983,37,-0.8312,42,-0.6539,61,-0.0736,59,-0.1175,62,-0.0574,56,-0.2195,58,-0.1479,63,-0.0174
ENSG00000070087,PFN2,80,-2.5783,489,0.13691,402,-0.1701,218,-1.1020,322,-0.5126,395,-0.2181,685,0.77186,557,0.34413,576,0.44595
ENSG00000196428,TSC22D2,29,-1.0047,65,0.20964,19,-1.6703,61,0.11405,52,-0.1399,67,0.27530,77,0.53321,38,-0.6399,66,0.26263
ENSG00000120742,SERP1,44,-1.0813,85,-0.0961,116,0.39451,140,0.70019,119,0.43534,41,-1.2763,96,0.10940,109,0.30220,98,0.14390
ENSG00000144895,EIF2A,61,0.09069,76,0.46046,24,-1.3091,65,0.19579,67,0.24189,68,0.30939,62,0.15531,50,-0.2171,41,-0.5458
ENSG00000198843,SELENOT,72,-0.7087,42,-1.5330,110,-0.0702,102,-0.1918,106,-0.1223,80,-0.5975,134,0.27191,114,-0.0076,202,1.04538
ENSG00000181788,SIAH2,8,-1.8339,29,0.10794,22,-0.3006,8,-1.8254,43,0.72845,20,-0.5433,35,0.46825,40,0.61511,33,0.33662
ENSG00000144893,MED12L,4,-2.8254,26,-0.2910,16,-1.0280,34,0.08290,32,-0.0132,48,0.73697,13,-1.4837,61,1.04086,45,0.58458
ENSG00000152601,MBNL1,85,-0.3217,94,-0.1651,57,-0.9285,60,-0.8507,131,0.35718,132,0.41249,87,-0.3112,193,0.99929,98,-0.1084
ENSG00000181467,RAP2B,3,-3.0207,11,-1.0228,28,0.34093,30,0.42230,18,-0.3848,21,-0.1322,16,-0.5331,57,1.51409,26,0.20432
ENSG00000114790,ARHGEF26,19,-0.4887,14,-0.9825,25,-0.1128,162,3.44211,8,-1.8348,14,-1.0090,10,-1.5886,10,-1.5051,18,-0.6652
ENSG00000174953,DHX36,239,0.61300,136,-0.2769,79,-1.0986,113,-0.5656,147,-0.1623,294,1.09923,105,-0.7258,112,-0.5763,165,0.02526
ENSG00000169359,SLC33A1,24,0.15562,13,-0.7813,14,-0.6796,21,-0.0543,13,-0.8066,31,0.59017,22,0.00270,20,-0.1291,26,0.31396
ENSG00000163655,GMPS,27,-1.0550,62,0.19301,37,-0.6186,36,-0.6355,54,-0.0252,78,0.61645,54,-0.0467,41,-0.4540,70,0.42473
ENSG00000169282,KCNAB1,10,-2.5982,43,-0.4910,24,-1.3328,33,-0.8858,114,1.07546,35,-0.8620,39,-0.6628,20,-1.6287,157,1.98637
ENSG00000114850,SSR3,65,-0.0935,50,-0.4907,41,-0.8024,110,0.74679,74,0.10004,66,-0.0740,73,0.09758,55,-0.3405,78,0.20279
ENSG00000163660,CCNL1,191,2.31517,24,-1.1338,11,-2.2607,27,-0.9550,120,1.42203,57,0.19956,20,-1.4723,47,-0.1203,17,-1.6932
ENSG00000174891,RSRC1,210,1.07506,126,0.24057,83,-0.4210,93,-0.2322,78,-0.5062,157,0.66235,82,-0.4640,53,-1.0788,90,-0.3164
ENSG00000178053,MLF1,8,-1.2620,34,0.85024,26,0.39805,23,0.24997,25,0.39159,16,-0.3814,17,-0.2621,23,0.25531,16,-0.3252
ENSG00000168827,GFM1,29,-0.4953,38,-0.0747,38,-0.0596,46,0.22749,37,-0.0971,31,-0.3913,56,0.61358,24,-0.7540,44,0.20586
ENSG00000180044,C3orf80,4,-3.6373,38,-0.3985,19,-1.4076,15,-1.7950,11,-2.1494,70,0.65770,68,0.59438,57,0.24432,82,0.96296
ENSG00000068885,IFT80,60,0.54415,43,0.02982,24,-0.8956,25,-0.8072,32,-0.4155,65,0.76504,44,0.03898,24,-0.8764,43,0.00288
ENSG00000113810,SMC4,81,2.19168,9,-1.3273,16,-0.5587,39,0.85937,14,-0.7450,32,0.62678,13,-0.8762,6,-1.9892,8,-1.5521
ENSG00000186432,KPNA4,50,-0.9353,108,0.23703,73,-0.3695,69,-0.4586,62,-0.6277,104,0.19973,115,0.38563,109,0.25958,102,0.15759
ENSG00000163590,PPM1L,50,-1.3300,121,0.02703,79,-0.6311,81,-0.5935,87,-0.4892,185,0.79339,105,-0.2165,159,0.45561,138,0.24999
ENSG00000169255,B3GALNT1,3,-4.2546,32,-0.8041,21,-1.3933,33,-0.7599,81,0.65659,57,0.09091,58,0.14031,57,0.09861,94,1.03790
ENSG00000169251,NMD3,15,-0.9601,18,-0.7193,18,-0.6990,41,0.54731,35,0.27880,33,0.21076,19,-0.7207,22,-0.4358,48,0.91787
ENSG00000196542,SPTSSB,2,-3.3462,50,1.43315,11,-0.9281,5,-2.1742,10,-1.0943,37,1.06067,13,-0.7753,9,-1.2701,32,0.75643
ENSG00000244128,LINC01322,21,-0.6414,76,1.45522,36,0.18731,34,0.13269,31,-0.0125,52,0.90215,12,-1.5599,31,-0.0319,11,-1.6215
