Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000123612,ACVR1C,0,-6.6432,25,2.35448,19,1.25118,0,-4.5417,0,-4.9455,0,-4.7726,6,-0.5655
ENSG00000115170,ACVR1,18,0.47576,15,0.28340,10,-0.3766,12,-0.0788,14,0.07717,9,-0.5530,12,-0.1458
ENSG00000153237,CCDC148,10,-0.0320,6,-0.9863,10,-0.0858,25,1.42837,14,0.37119,8,-0.4672,9,-0.3240
ENSG00000144283,PKP4,167,0.00888,56,-1.7963,62,-1.5235,84,-1.0691,158,-0.0795,246,0.65701,332,1.48255
ENSG00000115183,TANC1,16,-0.0355,6,-1.5980,4,-1.9588,6,-1.6036,27,0.75201,6,-1.5900,40,1.92649
ENSG00000123636,BAZ2B,260,0.61701,104,-0.9450,64,-1.5976,178,-0.0146,200,0.17415,108,-0.7965,299,1.03574
ENSG00000136536,MARCH7,57,0.07601,48,-0.2126,82,0.68441,52,-0.0602,52,-0.0619,49,-0.1555,50,-0.1602
ENSG00000241399,CD302,20,0.04182,18,-0.1734,7,-1.5160,16,-0.3493,32,0.80819,1,-4.1221,33,1.01426
ENSG00000153250,RBMS1,9,-0.2212,12,0.33609,15,0.56837,17,0.81538,7,-0.5494,6,-0.7140,7,-0.6735
ENSG00000136560,TANK,39,0.33843,19,-0.8566,21,-0.6711,24,-0.4621,47,0.64866,40,0.34905,39,0.37291
ENSG00000115233,PSMD14,95,-0.0359,98,0.01389,143,0.64505,96,-0.0126,63,-0.6749,108,0.17649,86,-0.2172
ENSG00000136535,TBR1,147,0.97393,69,-0.3363,139,0.87657,162,1.14752,15,-2.5424,123,0.66220,10,-3.2753
ENSG00000144290,SLC4A10,253,1.33718,135,0.26415,251,1.32220,176,0.68393,28,-2.1909,61,-1.0173,7,-4.2950
ENSG00000115271,GCA,76,0.20813,28,-1.4544,46,-0.5844,33,-1.0796,43,-0.7113,98,0.63426,125,1.30132
ENSG00000182263,FIGN,7,-0.6516,7,-0.6547,16,0.62836,21,1.11269,19,0.97388,3,-1.5950,8,-0.5730
ENSG00000082438,COBLL1,24,1.07536,11,-0.3216,5,-1.4618,8,-0.7364,32,1.59488,3,-1.9713,11,-0.3104
ENSG00000153253,SCN3A,58,0.84133,20,-0.9871,49,0.53731,78,1.38906,23,-0.6763,37,0.10008,15,-1.3600
ENSG00000136531,SCN2A,545,1.47649,179,-0.4810,429,1.02825,526,1.40568,38,-2.7383,168,-0.5303,23,-3.6652
ENSG00000178662,CSRNP3,79,-0.2601,125,0.56847,212,1.44001,200,1.33110,19,-2.4221,24,-2.0269,26,-2.0915
ENSG00000123607,TTC21B,27,0.96493,20,0.56168,19,0.37462,18,0.25373,5,-1.7388,6,-1.4224,11,-0.6128
ENSG00000144285,SCN1A,31,-0.8892,97,1.18328,182,2.21320,59,0.11807,6,-3.1906,7,-3.0632,7,-3.2769
ENSG00000172318,B3GALT1,28,1.18091,19,0.55012,18,0.42084,16,0.22150,9,-0.7122,5,-1.5636,6,-1.3274
ENSG00000198648,STK39,70,-0.8712,88,-0.5606,143,0.26840,151,0.36674,82,-0.6188,120,-0.0136,174,0.71088
ENSG00000172292,CERS6,69,-0.0516,95,0.55836,171,1.53781,109,0.71384,31,-1.2980,34,-1.1635,18,-2.1991
ENSG00000081479,LRP2,4,-2.5446,0,-9.5480,0,-6.2576,1,-3.8562,3,-2.7402,40,0.89515,81,3.48195
ENSG00000163093,BBS5,13,0.03275,18,0.64771,18,0.56768,12,-0.1051,11,-0.2534,9,-0.5548,8,-0.7680
ENSG00000138399,FASTKD1,4,-0.8536,10,0.58900,12,0.78942,6,-0.1637,8,0.12854,0,-4.2934,7,0.06502
ENSG00000138398,PPIG,337,0.70737,114,-1.1392,215,-0.0406,262,0.28253,219,-0.0147,158,-0.5349,284,0.48611
ENSG00000154479,CCDC173,12,-0.5753,12,-0.5814,7,-1.4142,15,-0.1680,38,1.37660,13,-0.4143,22,0.49149
ENSG00000213160,KLHL23,33,0.60570,24,0.06256,31,0.49615,28,0.31553,28,0.32331,22,-0.0475,8,-1.6635
ENSG00000138385,SSB,235,0.27838,168,-0.2963,232,0.25406,295,0.66280,161,-0.3327,197,-0.0120,164,-0.3405
ENSG00000138382,METTL5,41,-0.1725,56,0.38386,63,0.54325,64,0.57707,30,-0.6313,39,-0.2359,30,-0.7326
ENSG00000144357,UBR3,146,0.80698,84,-0.1348,127,0.57423,100,0.17168,53,-0.8277,88,-0.0455,65,-0.5858
ENSG00000128683,GAD1,19,-2.7056,299,2.21998,152,0.44325,85,-0.4890,52,-1.2443,71,-0.7706,33,-2.0450
ENSG00000115806,GORASP2,41,-0.3406,59,0.27700,61,0.31591,40,-0.3835,34,-0.6097,55,0.14680,53,0.09351
ENSG00000198586,TLK1,97,0.07173,93,0.00273,107,0.22199,154,0.84262,72,-0.4186,105,0.19800,59,-0.8109
ENSG00000123600,METTL8,28,0.48211,12,-0.9306,10,-1.0469,16,-0.4430,24,0.20479,26,0.32518,30,0.70946
ENSG00000115827,DCAF17,0,-4.1505,7,-0.2438,13,0.58761,14,0.72358,5,-0.8393,6,-0.5170,13,0.74476
ENSG00000071967,CYBRD1,40,-0.0228,33,-0.3740,8,-2.3890,23,-0.8876,121,1.94762,20,-1.0799,45,0.16066
ENSG00000077380,DYNC1I2,411,0.02251,115,-2.0789,199,-1.1170,290,-0.5331,321,-0.3757,736,1.01273,732,1.22665
ENSG00000115840,SLC25A12,43,-0.2476,79,0.90157,99,1.16154,66,0.44899,20,-1.4186,32,-0.7092,17,-1.7807
ENSG00000128708,HAT1,27,-0.2510,19,-0.9043,28,-0.2245,25,-0.3992,36,0.20093,31,-0.0163,51,0.93746
ENSG00000144355,DLX1,8,-0.3009,26,2.11929,16,0.76728,7,-0.5480,5,-0.9783,0,-3.6923,1,-3.1778
ENSG00000091409,ITGA6,37,0.15488,16,-1.2049,10,-1.8943,22,-0.6591,82,1.55999,21,-0.7381,49,0.73750
ENSG00000152256,PDK1,27,0.50749,16,-0.3624,25,0.37930,19,-0.1104,12,-0.7258,41,1.21094,11,-0.9482
ENSG00000091428,RAPGEF4,122,-0.2614,180,0.43475,111,-0.4185,198,0.52865,124,-0.2349,116,-0.3458,131,-0.1648
ENSG00000091436,MAP3K20,32,0.30789,22,-0.3648,15,-0.8597,13,-1.1055,55,1.24258,10,-1.4255,35,0.53198
ENSG00000172845,SP3,22,-0.7445,30,-0.3324,39,0.11656,41,0.22360,41,0.19320,32,-0.1930,45,0.41104
ENSG00000138430,OLA1,140,0.13313,180,0.64402,243,1.07408,176,0.51532,41,-1.7609,68,-1.0016,68,-1.1152
ENSG00000138433,CIR1,156,0.07032,116,-0.4445,124,-0.2998,198,0.46226,121,-0.3364,100,-0.6287,206,0.62930
ENSG00000144306,SCRN3,20,0.03491,13,-0.6979,22,0.19344,25,0.39697,8,-1.3233,19,-0.0428,28,0.68357
ENSG00000163328,GPR155,145,1.33823,61,-0.1587,118,0.96868,93,0.54189,26,-1.4506,62,-0.1058,17,-2.2209
ENSG00000115935,WIPF1,72,0.06949,3,-4.4892,6,-3.6313,22,-1.7358,53,-0.4098,132,1.11037,164,1.96219
ENSG00000128656,CHN1,1260,0.22817,1610,0.76170,2212,1.20895,1946,0.97547,361,-1.7155,582,-0.9946,141,-3.2697
ENSG00000115966,ATF2,57,0.10453,75,0.65597,87,0.81875,64,0.28571,26,-1.1191,38,-0.5337,30,-1.0090
ENSG00000154518,ATP5MC3,177,-0.9372,500,0.89055,569,0.97187,383,0.29150,156,-1.1234,162,-1.0672,220,-0.6691
ENSG00000144320,LNPK,22,-0.9308,43,0.14166,76,1.09957,54,0.48884,21,-1.0161,25,-0.7170,37,-0.1091
ENSG00000128654,MTX2,34,-0.6505,55,0.10459,101,1.12689,50,-0.0764,43,-0.2980,45,-0.2215,43,-0.3637
ENSG00000170144,HNRNPA3,340,0.46235,251,-0.0431,228,-0.1935,303,0.26735,196,-0.4315,230,-0.1808,257,0.00260
ENSG00000116044,NFE2L2,133,0.29009,56,-1.1764,38,-1.6743,114,0.03782,152,0.51545,85,-0.4405,185,1.02622
ENSG00000018510,AGPS,19,-0.6120,19,-0.7301,23,-0.3311,24,-0.2699,12,-1.3383,53,1.04927,44,0.85385
ENSG00000079156,OSBPL6,88,1.30264,41,-0.0150,50,0.31853,41,-0.0290,28,-0.6086,30,-0.4901,26,-0.7828
ENSG00000180228,PRKRA,50,-0.3829,62,-0.0555,94,0.64581,53,-0.2903,35,-0.9256,73,0.22648,72,0.23193
ENSG00000116095,PLEKHA3,65,0.54969,45,-0.0382,50,0.13554,59,0.40125,28,-0.7750,28,-0.7939,48,0.06337
ENSG00000187231,SESTD1,72,-0.0215,44,-0.8763,79,0.11760,87,0.28728,51,-0.5729,53,-0.5060,114,0.88558
ENSG00000144331,ZNF385B,4,-1.9212,23,0.66518,40,1.52644,42,1.63337,11,-0.6410,1,-3.6982,2,-3.2937
ENSG00000163510,CWC22,71,0.92380,31,-0.4729,43,0.08751,76,1.04584,36,-0.2273,12,-1.8268,34,-0.3346
ENSG00000170035,UBE2E3,54,-0.6999,118,0.65823,140,0.84862,73,-0.2273,48,-0.8918,57,-0.6117,76,-0.2031
ENSG00000138434,ITPRID2,56,0.14515,30,-0.9529,28,-0.9421,55,0.10864,81,0.76136,40,-0.3979,72,0.64359
ENSG00000115252,PDE1A,70,0.20827,47,-0.4977,109,0.94783,160,1.67857,14,-2.2391,52,-0.2780,29,-1.2656
ENSG00000077232,DNAJC10,105,1.19175,46,-0.2303,61,0.24780,54,0.03934,44,-0.2867,33,-0.7223,41,-0.4238
ENSG00000162998,FRZB,15,0.39812,14,0.32908,9,-0.3820,11,-0.0501,27,1.47769,0,-6.6569,7,-0.8147
ENSG00000061676,NCKAP1,308,0.31301,354,0.64638,392,0.72318,321,0.38573,127,-1.0825,213,-0.2844,110,-1.4226
ENSG00000170396,ZNF804A,17,1.01714,17,1.19112,14,0.61651,10,0.18577,0,-5.0114,1,-2.9845,4,-1.3856
ENSG00000065548,ZC3H15,433,0.83102,235,-0.2131,369,0.55411,418,0.76921,150,-0.8888,195,-0.4838,172,-0.7599
ENSG00000138448,ITGAV,112,-0.1968,91,-0.5938,54,-1.3292,82,-0.6935,180,0.57742,157,0.34536,189,0.77986
ENSG00000144369,FAM171B,273,0.42598,223,0.10097,244,0.23453,359,0.89455,183,-0.2286,200,-0.0866,98,-1.3123
ENSG00000144366,GULP1,0,-4.1807,19,1.82059,25,1.92549,5,-0.6272,2,-2.1621,0,-6.4317,2,-2.0290
ENSG00000204262,COL5A2,0,-5.7200,21,2.58540,17,1.46197,0,-6.3896,0,-6.9186,0,-6.1976,3,-1.2747
ENSG00000115368,WDR75,17,-0.0571,14,-0.3504,24,0.50309,15,-0.1945,17,-0.0404,15,-0.2710,20,0.28683
ENSG00000138381,ASNSD1,28,-0.2002,33,0.12492,50,0.77910,38,0.33492,19,-0.7372,33,0.10573,23,-0.5508
ENSG00000128699,ORMDL1,64,0.24975,50,-0.1869,57,0.06603,48,-0.2275,38,-0.5757,60,0.13391,64,0.29686
ENSG00000064933,PMS1,14,-0.0353,13,-0.2367,18,0.27656,14,-0.1102,10,-0.5930,20,0.50429,16,0.09429
ENSG00000187699,C2orf88,14,-0.9439,2,-3.9967,3,-3.0419,4,-2.8265,43,0.83770,31,0.26835,68,2.24746
ENSG00000198130,HIBCH,19,0.16854,14,-0.2850,16,-0.0895,12,-0.5447,17,0.02326,11,-0.6834,24,0.70586
ENSG00000151689,INPP1,97,0.42519,49,-0.7373,39,-1.0128,51,-0.6173,58,-0.3957,110,0.63309,111,0.76698
ENSG00000151690,MFSD6,222,0.29297,112,-0.8765,227,0.32896,235,0.38538,90,-1.1351,231,0.35664,221,0.33295
ENSG00000138386,NAB1,37,0.07722,24,-0.6448,26,-0.4562,46,0.46122,35,0.00412,47,0.49765,37,0.12262
ENSG00000115419,GLS,163,0.12035,220,0.73921,275,1.00960,241,0.77963,46,-1.8305,154,0.02097,22,-3.0562
ENSG00000115415,STAT1,68,-0.1205,64,-0.2561,88,0.29210,61,-0.2943,86,0.25723,71,-0.0431,79,0.14762
ENSG00000138378,STAT4,15,-0.1307,35,1.51712,40,1.48578,17,0.05585,7,-1.2419,0,-5.1549,1,-3.8323
ENSG00000128641,MYO1B,26,0.90850,32,1.54630,27,0.96396,8,-1.0317,4,-2.0397,0,-5.4103,4,-1.9471
ENSG00000168497,CAVIN2,58,1.33652,12,-1.2665,3,-3.3155,10,-1.4579,47,0.95223,3,-3.0392,47,1.15146
ENSG00000144339,TMEFF2,94,0.54398,37,-1.0428,73,0.13439,132,1.14056,21,-1.7997,99,0.62906,58,-0.2780
ENSG00000196950,SLC39A10,217,0.39279,165,-0.0643,414,1.56043,413,1.55461,39,-2.2638,62,-1.5629,31,-2.7585
ENSG00000081320,STK17B,9,-0.8229,24,0.82844,28,0.96524,8,-1.0633,16,0.05298,8,-0.9866,12,-0.4733
ENSG00000138411,HECW2,76,0.77615,36,-0.5105,56,0.27444,71,0.67612,12,-2.1003,73,0.70804,34,-0.5751
ENSG00000119041,GTF3C3,18,-0.0440,21,0.17643,32,0.86372,17,-0.1456,8,-1.3347,4,-2.3022,25,0.50869
ENSG00000197121,PGAP1,71,1.26490,27,-0.4410,39,0.22565,41,0.30615,14,-1.3418,57,0.87400,15,-1.3568
ENSG00000065413,ANKRD44,11,-0.5035,12,-0.4610,6,-1.4771,5,-1.5323,17,0.18022,9,-0.7975,33,1.64295
ENSG00000115524,SF3B1,173,0.09161,149,-0.1788,132,-0.3484,205,0.36648,147,-0.1760,152,-0.1207,184,0.22244
ENSG00000115520,COQ10B,48,0.18422,48,0.23671,64,0.66691,55,0.41065,31,-0.4856,32,-0.4358,28,-0.7048
ENSG00000144381,HSPD1,183,0.47149,133,-0.0572,157,0.20977,146,0.09028,132,-0.0660,98,-0.5340,128,-0.1306
ENSG00000115541,HSPE1,89,-1.2635,234,0.30009,260,0.43342,168,-0.2798,200,-0.0013,168,-0.2749,223,0.20580
ENSG00000115540,MOB4,47,-0.7175,96,0.47301,125,0.86056,88,0.26163,42,-0.8937,73,-0.0491,53,-0.5929
ENSG00000162944,RFTN2,4,-1.8151,13,-0.2322,4,-1.7830,9,-0.7160,45,1.93620,4,-1.8938,21,0.64065
ENSG00000115896,PLCL1,38,-1.2750,44,-1.1520,69,-0.3728,34,-1.4627,43,-1.0973,157,1.00375,176,1.51745
ENSG00000119042,SATB2,137,1.59759,43,-0.4555,59,0.09975,72,0.42542,16,-1.9239,100,1.00079,14,-2.1812
ENSG00000225953,SATB2-AS1,31,0.67410,21,0.05357,38,1.05730,30,0.62123,7,-1.4945,23,0.17628,6,-1.9009
ENSG00000178074,C2orf69,95,0.41788,77,0.06816,85,0.23188,95,0.41986,58,-0.3893,81,0.15758,48,-0.7449
ENSG00000162971,TYW5,14,-0.2559,11,-0.6422,10,-0.6379,10,-0.7245,20,0.32686,30,1.03636,19,0.34465
ENSG00000162972,MAIP1,29,0.90807,22,0.52319,31,1.07191,18,0.10878,10,-0.6948,6,-1.4578,5,-1.7794
ENSG00000196141,SPATS2L,89,-0.0489,120,0.51029,116,0.39043,74,-0.3324,68,-0.4779,87,-0.0886,76,-0.3384
ENSG00000155729,KCTD18,10,-0.6155,10,-0.6332,13,-0.2263,9,-0.7788,22,0.62849,9,-0.8177,25,1.07906
ENSG00000082153,BZW1,204,0.17145,149,-0.3836,180,-0.0361,194,0.08580,128,-0.5735,248,0.49290,202,0.17647
ENSG00000013441,CLK1,68,0.40654,33,-0.8115,34,-0.6788,32,-0.7853,62,0.26524,67,0.37572,73,0.63716
ENSG00000240344,PPIL3,41,0.81275,29,0.26766,37,0.66539,13,-1.0270,6,-2.0816,27,0.15734,21,-0.2868
ENSG00000196290,NIF3L1,8,-1.3856,26,0.46430,30,0.64034,18,-0.2143,15,-0.4476,16,-0.4022,22,0.15157
ENSG00000115942,ORC2,15,0.20420,9,-0.6155,12,-0.1853,7,-0.9205,12,-0.2491,20,0.62149,19,0.58156
ENSG00000155744,FAM126B,109,0.94309,77,0.40560,113,0.99271,72,0.23091,20,-1.7159,48,-0.4309,23,-1.6575
ENSG00000119013,NDUFB3,74,-0.9840,232,1.04224,238,0.91086,165,0.28478,60,-1.3122,87,-0.7371,81,-0.9353
ENSG00000003402,CFLAR,107,1.41107,15,-1.8512,6,-2.9948,21,-1.2239,66,0.55145,50,0.07634,73,0.84801
ENSG00000115993,TRAK2,45,-0.4243,45,-0.4793,59,0.00160,55,-0.1235,41,-0.5799,91,0.72730,75,0.45848
ENSG00000082146,STRADB,25,0.17889,11,-1.1712,15,-0.5908,15,-0.6275,27,0.32824,33,0.62915,32,0.68200
ENSG00000155755,TMEM237,28,-0.1578,37,0.37185,37,0.28965,29,-0.0621,36,0.28490,19,-0.7554,26,-0.2963
ENSG00000003393,ALS2,13,-0.6573,23,0.32508,40,1.19002,20,0.02980,8,-1.3505,30,0.68626,10,-1.1548
ENSG00000116030,SUMO1,72,-0.8106,161,0.54949,213,0.95306,165,0.51365,54,-1.2492,64,-1.0063,100,-0.3434
ENSG00000055044,NOP58,75,0.07753,55,-0.4768,92,0.40646,66,-0.1302,52,-0.4965,83,0.24698,83,0.28286
ENSG00000204217,BMPR2,245,0.92400,165,0.29107,247,0.93748,199,0.56541,89,-0.7391,75,-0.9984,45,-1.8926
ENSG00000138439,FAM117B,3,-1.7128,16,0.71150,15,0.53781,22,1.19529,8,-0.3547,2,-2.1614,7,-0.6707
ENSG00000163596,ICA1L,86,0.79826,54,0.00782,71,0.47439,74,0.53220,29,-0.9456,53,-0.0260,30,-0.9747
ENSG00000138442,WDR12,18,-0.0495,25,0.59392,29,0.77360,23,0.35328,12,-0.6224,13,-0.4715,10,-1.0757
ENSG00000138380,CARF,17,0.48049,11,-0.1798,14,0.15076,19,0.61731,11,-0.2002,6,-1.1635,12,-0.0495
ENSG00000144426,NBEAL1,10,-0.0291,8,-0.3152,6,-0.7388,9,-0.1792,14,0.59139,8,-0.3373,13,0.49093
ENSG00000138443,ABI2,356,0.51327,272,0.07535,319,0.33289,353,0.50238,189,-0.5155,307,0.26899,140,-1.0746
ENSG00000173166,RAPH1,97,1.19534,53,0.16657,54,0.17806,30,-0.7293,19,-1.4085,95,1.15012,17,-1.7460
ENSG00000118257,NRP2,4,-1.0090,8,0.06417,11,0.59579,5,-0.6308,3,-1.0456,1,-2.1511,13,1.18296
ENSG00000114933,INO80D,30,0.91050,17,-0.0539,10,-0.8025,15,-0.3005,13,-0.5261,14,-0.3998,21,0.36132
ENSG00000023228,NDUFS1,99,-0.5807,174,0.36890,233,0.81672,190,0.46955,87,-0.7859,67,-1.1721,132,-0.1461
ENSG00000114942,EEF1B2,266,-0.6311,419,0.10467,350,-0.1992,448,0.20328,473,0.29103,360,-0.1508,414,0.08410
ENSG00000204186,ZDBF2,60,0.93708,38,0.19094,55,0.77882,64,1.04400,17,-1.0496,17,-1.0578,10,-2.0192
ENSG00000114948,ADAM23,79,0.32922,93,0.72413,154,1.53439,111,0.91278,13,-2.3459,20,-1.8012,8,-3.2744
ENSG00000118246,FASTKD2,52,0.70708,37,0.18975,43,0.39269,30,-0.1913,18,-0.9677,34,0.00634,26,-0.4449
ENSG00000118263,KLF7,49,0.78150,15,-1.1481,19,-0.7650,34,0.17220,35,0.23670,33,0.15637,37,0.34531
ENSG00000118260,CREB1,39,0.82219,23,-0.0667,24,0.02844,12,-1.0574,19,-0.3348,14,-0.7866,30,0.42468
ENSG00000144401,METTL21A,10,-0.6673,21,0.53555,19,0.29691,8,-1.0307,11,-0.5591,21,0.45114,16,-0.0249
ENSG00000163249,CCNYL1,44,0.80935,31,0.21847,42,0.71896,18,-0.6317,13,-1.1232,25,-0.1366,21,-0.4887
ENSG00000178385,PLEKHM3,15,-0.9048,36,0.55072,50,1.02326,46,0.88180,14,-0.9892,19,-0.5966,14,-1.1087
ENSG00000188674,C2orf80,41,0.13454,73,1.37034,79,1.26010,28,-0.4860,16,-1.2821,13,-1.5876,9,-2.3422
ENSG00000138413,IDH1,8,-0.1892,7,-0.5814,6,-0.6260,10,0.04197,9,-0.0353,2,-2.1983,18,1.32212
ENSG00000115020,PIKFYVE,70,1.48850,21,-0.5835,20,-0.6256,26,-0.2148,23,-0.3837,27,-0.1669,30,-0.0152
ENSG00000078018,MAP2,1456,0.30085,1503,0.41228,972,-0.3536,3144,1.69530,803,-0.6522,797,-0.6651,365,-1.9907
ENSG00000144406,UNC80,147,0.90185,91,0.11869,152,0.96292,149,0.92810,35,-1.4053,53,-0.7654,28,-1.8748
ENSG00000197713,RPE,15,-0.4578,25,0.48553,23,0.28905,18,-0.1403,8,-1.2818,21,0.09163,20,0.06460
ENSG00000115365,LANCL1,194,-0.2392,183,-0.3759,226,0.00528,216,-0.0682,98,-1.2915,283,0.37328,323,0.70570
ENSG00000178568,ERBB4,28,-0.6331,69,1.01917,40,-0.0808,38,-0.1535,51,0.32330,15,-1.5939,33,-0.4101
ENSG00000144451,SPAG16,37,-0.5791,42,-0.4278,31,-0.8370,74,0.53833,101,1.06516,16,-1.8042,69,0.49232
ENSG00000138363,ATIC,25,-0.4340,31,-0.1391,48,0.60149,29,-0.2321,20,-0.7643,35,0.07316,40,0.36465
ENSG00000115414,FN1,60,1.00912,22,-0.7232,5,-2.6340,21,-0.6715,81,1.56591,21,-0.7133,32,-0.0355
ENSG00000118242,MREG,37,1.96816,10,-0.2922,14,0.24587,23,1.07449,2,-2.4515,8,-0.5614,2,-2.6185
ENSG00000079246,XRCC5,116,-0.5880,136,-0.3738,162,-0.0537,187,0.17096,127,-0.4474,246,0.63829,200,0.33469
ENSG00000260804,LINC01963,74,1.11039,40,0.08191,55,0.59355,46,0.28436,21,-0.9250,38,0.00085,15,-1.5036
ENSG00000197756,RPL37A,1430,-0.5628,2086,0.04498,1400,-0.5960,2239,0.15477,2848,0.55726,1904,-0.1084,2168,0.11678
ENSG00000115457,IGFBP2,98,1.43916,67,0.89669,61,0.59868,39,-0.1621,28,-0.6510,14,-1.6734,5,-3.2824
ENSG00000115461,IGFBP5,81,-0.6630,18,-3.0637,27,-2.2948,13,-3.3612,279,1.41807,182,0.65099,246,1.47383
ENSG00000079308,TNS1,61,1.11702,8,-2.1880,4,-2.9537,9,-1.8261,70,1.37203,26,-0.3164,49,0.86388
ENSG00000163466,ARPC2,217,0.09490,242,0.31511,229,0.18179,241,0.26422,189,-0.1278,222,0.13022,131,-0.7845
ENSG00000127837,AAMP,53,-0.2196,70,0.26443,65,0.10401,58,-0.0781,59,-0.0545,57,-0.0999,58,-0.0922
ENSG00000127838,PNKD,100,-0.3720,174,0.63135,170,0.49551,100,-0.3684,112,-0.1870,108,-0.2395,97,-0.4563
ENSG00000135926,TMBIM1,53,-0.3708,25,-1.6566,21,-1.7977,26,-1.4647,139,1.26230,96,0.59311,109,0.98606
ENSG00000144579,CTDSP1,22,-0.0794,16,-0.5969,3,-2.7196,10,-1.2241,34,0.66889,25,0.18343,39,1.07548
ENSG00000135913,USP37,19,0.87261,6,-0.8975,5,-1.2282,15,0.47624,17,0.69669,5,-1.0943,13,0.28499
ENSG00000144580,CNOT9,51,0.42502,29,-0.5222,32,-0.3539,29,-0.4802,39,-0.0324,75,1.09133,35,-0.1943
ENSG00000115568,ZNF142,15,0.18179,12,-0.2700,13,-0.0577,8,-0.8913,10,-0.5329,35,1.62431,9,-0.6258
ENSG00000074582,BCS1L,11,-0.9085,15,-0.4697,19,-0.0597,21,0.08575,22,0.21193,23,0.24512,25,0.49330
ENSG00000163481,RNF25,18,-0.0631,18,-0.0775,33,0.90605,19,0.00489,25,0.42983,12,-0.7144,14,-0.5431
ENSG00000135912,TTLL4,14,0.72837,6,-0.8143,3,-1.4103,0,-3.5728,13,0.56418,5,-0.9141,18,1.31298
ENSG00000135929,CYP27A1,46,0.25916,12,-1.8617,5,-3.0819,14,-1.5541,40,0.06460,66,0.89051,77,1.44693
ENSG00000171450,CDK5R2,67,0.48121,74,0.76896,77,0.73223,65,0.44162,21,-1.3107,44,-0.1844,13,-2.1663
ENSG00000115649,CNPPD1,19,-0.7004,12,-1.5233,15,-1.0574,30,-0.0463,37,0.29046,49,0.79666,50,0.99308
ENSG00000144567,RETREG2,203,0.27574,229,0.56179,230,0.49200,189,0.16416,135,-0.3732,128,-0.4595,99,-0.9580
ENSG00000158552,ZFAND2B,25,-0.2026,33,0.27102,39,0.48009,29,-0.0047,18,-0.7200,23,-0.3805,30,0.04986
ENSG00000115657,ABCB6,19,0.14542,20,0.32324,20,0.28571,29,0.87757,14,-0.3154,6,-1.5047,12,-0.5558
ENSG00000198925,ATG9A,63,-0.0066,76,0.35250,59,-0.1004,53,-0.2791,47,-0.4520,57,-0.1657,68,0.14644
ENSG00000163516,ANKZF1,12,-0.2655,13,-0.1132,13,-0.1175,26,1.02942,8,-0.8931,16,0.27172,12,-0.2282
ENSG00000115661,STK16,22,0.05161,26,0.34411,18,-0.2520,17,-0.3979,17,-0.4142,34,0.73411,17,-0.3839
ENSG00000127824,TUBA4A,253,0.21653,267,0.35407,394,0.97811,293,0.46365,68,-1.8072,386,0.94004,33,-3.0593
ENSG00000135924,DNAJB2,135,-0.1984,80,-1.1057,61,-1.4185,94,-0.7722,110,-0.5277,274,0.98734,271,1.18208
ENSG00000054356,PTPRN,176,0.45462,200,0.80131,231,0.92533,137,0.03809,61,-1.2233,142,0.10551,27,-2.5540
ENSG00000123992,DNPEP,23,0.69751,18,0.37322,10,-0.5778,3,-2.0724,20,0.51552,15,0.05473,12,-0.2968
ENSG00000072195,SPEG,29,0.69563,22,0.34143,14,-0.4715,18,-0.0208,20,0.08887,33,0.96514,5,-2.1633
ENSG00000144591,GMPPA,3,-1.6628,8,-0.0450,15,1.00265,11,0.49986,9,0.13980,3,-1.3300,8,0.03331
ENSG00000123989,CHPF,87,0.41745,72,0.13237,65,-0.0509,37,-0.9331,93,0.53010,85,0.38378,47,-0.6260
ENSG00000188760,TMEM198,39,1.26349,22,0.31654,20,0.13784,12,-0.7188,22,0.26049,20,0.11326,5,-2.0176
ENSG00000124006,OBSL1,19,-0.6805,49,0.98027,32,0.10901,20,-0.6101,39,0.45657,18,-0.7391,21,-0.6218
ENSG00000144589,STK11IP,8,0.11820,12,0.85826,7,-0.1087,9,0.16280,8,0.01412,2,-2.0163,6,-0.4738
ENSG00000114923,SLC4A3,20,-0.1699,41,1.22205,46,1.22285,14,-0.7803,14,-0.7654,17,-0.4628,5,-2.3036
ENSG00000116106,EPHA4,23,-1.4677,143,2.02587,173,1.94424,33,-0.8840,3,-4.2927,7,-3.1105,2,-4.8037
ENSG00000267034,AC010980.1,12,0.12334,18,0.98793,17,0.77800,18,0.84441,5,-1.1195,7,-0.6497,1,-3.1853
ENSG00000163082,SGPP2,22,0.15745,29,0.72659,36,0.99848,18,-0.1760,4,-2.2763,20,-0.0399,11,-1.0182
ENSG00000116120,FARSB,43,-0.2330,57,0.26302,85,0.90658,46,-0.1089,23,-1.1889,60,0.31762,37,-0.4999
ENSG00000123983,ACSL3,185,0.15350,209,0.41841,307,1.02035,168,-0.0040,83,-1.1101,117,-0.5768,118,-0.6234
ENSG00000171951,SCG2,414,0.61898,293,0.05188,378,0.46406,297,0.06532,167,-0.8459,537,1.07985,94,-1.8446
ENSG00000085449,WDFY1,27,-0.5138,17,-1.2863,29,-0.3694,55,0.64330,28,-0.4262,50,0.48393,55,0.78021
