Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7to10,Feature log2 fold change topic 7to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000066583,ISOC1,34,1.29764,14,-0.1381,4,-2.0120,16,0.08174,19,0.37966,25,0.78482
ENSG00000169567,HINT1,530,-1.0509,914,-0.2401,1194,0.24905,1435,0.73725,401,-1.4697,543,-1.0150
ENSG00000186687,LYRM7,107,0.34814,93,0.14653,77,-0.1923,74,-0.3033,96,0.17756,111,0.40749
ENSG00000158985,CDC42SE2,141,-0.1864,133,-0.3069,176,0.20550,181,0.28804,113,-0.5290,135,-0.2532
ENSG00000158987,RAPGEF6,39,0.78215,21,-0.2013,20,-0.3404,21,-0.2469,17,-0.5575,45,0.99739
ENSG00000217128,FNIP1,44,0.27331,34,-0.1481,34,-0.1841,30,-0.4305,50,0.47048,62,0.82612
ENSG00000164398,ACSL6,125,-0.8185,153,-0.5591,208,-0.0443,311,0.91777,234,0.14717,25,-3.1752
ENSG00000113522,RAD50,423,1.52514,85,-1.1260,124,-0.5815,172,0.02996,200,0.25989,184,0.12809
ENSG00000131437,KIF3A,719,1.00604,215,-0.9699,335,-0.2745,525,0.71365,210,-0.9428,192,-1.0801
ENSG00000164402,SEPTIN8,243,-0.0095,124,-1.1087,195,-0.4215,203,-0.3830,276,0.19276,769,1.96359
ENSG00000198944,SOWAHA,34,-1.1244,113,0.80969,159,1.86433,8,-3.5868,68,-0.0830,28,-1.4067
ENSG00000164405,UQCRQ,286,-1.3150,811,0.31890,677,-0.0011,857,0.54676,325,-1.1229,431,-0.6978
ENSG00000072364,AFF4,129,0.43920,79,-0.3483,87,-0.2115,86,-0.2565,155,0.74074,122,0.35322
ENSG00000155329,ZCCHC10,29,-0.0928,26,-0.3000,30,-0.0398,34,0.16411,24,-0.3840,42,0.48176
ENSG00000170606,HSPA4,231,0.71926,113,-0.4471,140,-0.1028,162,0.20182,130,-0.1971,118,-0.3533
ENSG00000113583,C5orf15,18,-0.6647,14,-1.1180,32,0.25412,30,0.17092,26,-0.0742,46,0.80780
ENSG00000213585,VDAC1,318,0.17585,253,-0.2005,347,0.39703,331,0.34654,145,-1.0320,76,-1.9910
ENSG00000113558,SKP1,635,-0.3437,642,-0.3539,907,0.26947,900,0.28753,601,-0.4272,654,-0.2968
ENSG00000113575,PPP2CA,281,0.02705,184,-0.6720,359,0.53361,327,0.38439,124,-1.2226,152,-0.9207
ENSG00000006837,CDKL3,29,-0.0632,20,-0.6958,21,-0.5987,30,-0.0008,68,1.35944,39,0.40302
ENSG00000119048,UBE2B,208,0.36150,123,-0.4954,203,0.40739,176,0.12631,115,-0.5654,107,-0.6807
ENSG00000237190,CDKN2AIPNL,26,-0.9072,56,0.29993,63,0.57129,53,0.24010,11,-2.1455,19,-1.3890
ENSG00000043143,JADE2,29,-0.4076,39,0.07982,40,0.11243,40,0.12881,33,-0.1979,31,-0.2817
ENSG00000152700,SAR1B,53,-0.2046,52,-0.2584,48,-0.4158,47,-0.4852,79,0.42617,154,1.56260
ENSG00000164615,CAMLG,140,-0.2315,155,-0.0851,195,0.35543,196,0.42142,67,-1.3560,69,-1.3177
ENSG00000145833,DDX46,127,0.92189,36,-1.1175,70,-0.0473,68,-0.1267,75,0.07629,107,0.62840
ENSG00000181904,C5orf24,97,0.34392,67,-0.2617,80,0.02955,71,-0.1993,82,0.07147,103,0.43063
ENSG00000113621,TXNDC15,76,0.46329,41,-0.5591,61,0.12672,56,-0.0461,75,0.42699,46,-0.3378
ENSG00000113648,H2AFY,109,0.27845,85,-0.1270,104,0.26320,103,0.28229,31,-1.6467,59,-0.6767
ENSG00000145824,CXCL14,16,-3.0568,400,2.54423,132,0.12964,42,-1.9640,99,-0.3494,4,-4.7656
ENSG00000113658,SMAD5,24,-0.0868,28,0.19164,12,-1.2162,13,-1.1919,70,1.72268,60,1.45397
ENSG00000152377,SPOCK1,312,-0.1016,224,-0.6588,231,-0.6627,424,0.56595,214,-0.6784,625,1.02839
ENSG00000146021,KLHL3,37,0.41296,29,0.05822,30,0.15038,29,0.07306,12,-1.2068,23,-0.3387
ENSG00000177733,HNRNPA0,147,0.17376,130,-0.0171,186,0.71836,130,-0.0205,38,-1.8469,52,-1.4150
ENSG00000031003,FAM13B,93,0.60120,70,0.15693,63,-0.0222,62,-0.0521,48,-0.4329,46,-0.4869
ENSG00000112981,NME5,39,-0.2410,40,-0.2114,64,0.69968,52,0.30040,15,-1.6904,11,-2.0445
ENSG00000112983,BRD8,95,0.17023,68,-0.3948,76,-0.2077,97,0.28823,107,0.35159,70,-0.3140
ENSG00000094880,CDC23,27,0.02568,20,-0.4956,38,0.70507,26,-0.0558,10,-1.5290,27,0.00609
ENSG00000120709,FAM53C,70,0.66266,46,-0.0178,48,0.05927,46,-0.0352,50,0.10223,19,-1.3419
ENSG00000120733,KDM3B,59,0.94228,37,0.19506,28,-0.2749,20,-0.9947,53,0.77710,45,0.49576
ENSG00000132563,REEP2,81,-0.7024,165,0.45578,126,-0.0269,155,0.43140,79,-0.7434,47,-1.5027
ENSG00000120738,EGR1,56,-0.4948,74,-0.0686,142,1.35747,62,-0.4353,37,-1.1096,7,-3.4572
ENSG00000120705,ETF1,101,0.49660,68,-0.1519,91,0.40555,74,-0.0021,37,-1.0737,47,-0.6976
ENSG00000113013,HSPA9,334,0.33690,161,-0.8524,237,-0.2424,336,0.50396,263,-0.0436,264,-0.0346
ENSG00000044115,CTNNA1,121,0.06175,94,-0.3542,67,-0.9849,69,-1.0052,205,0.91568,404,2.15438
ENSG00000146006,LRRTM2,113,1.27133,41,-0.4102,53,0.04984,55,0.10671,20,-1.4303,31,-0.7852
ENSG00000120725,SIL1,28,0.54203,20,0.02550,13,-0.7511,17,-0.3001,31,0.67891,32,0.75260
ENSG00000120727,PAIP2,255,-0.3322,307,-0.0490,239,-0.5091,383,0.44104,289,-0.1384,380,0.29370
ENSG00000170464,DNAJC18,49,-0.5164,61,-0.1955,64,-0.1261,83,0.42454,61,-0.1760,67,-0.0341
ENSG00000131508,UBE2D2,123,-0.2481,137,-0.0810,146,0.03082,169,0.37178,82,-0.8641,130,-0.1553
ENSG00000171604,CXXC5,173,0.16586,113,-0.5389,147,-0.1121,153,-0.0375,243,0.71408,175,0.18040
ENSG00000146005,PSD2,18,-1.4527,57,0.33162,32,-0.7107,30,-0.9020,187,2.41261,34,-0.5019
ENSG00000185129,PURA,131,0.53449,84,-0.1843,61,-0.7665,78,-0.3809,186,1.11864,144,0.68910
ENSG00000182700,IGIP,119,-0.0397,133,0.14945,117,-0.0689,140,0.30276,67,-0.9099,100,-0.3075
ENSG00000120306,CYSTM1,65,-0.1587,90,0.39071,63,-0.2461,71,-0.0078,108,0.66047,34,-1.1331
ENSG00000113068,PFDN1,122,-0.1535,127,-0.0958,160,0.34259,133,-0.0241,113,-0.2761,114,-0.2668
ENSG00000131503,ANKHD1,96,0.47868,58,-0.3502,57,-0.4168,60,-0.3462,124,0.90075,106,0.64888
ENSG00000213523,SRA1,28,-0.1409,31,0.04562,36,0.30450,30,-0.0207,21,-0.5421,26,-0.2242
ENSG00000113108,APBB3,30,-0.4122,23,-0.8799,53,0.59815,48,0.44313,30,-0.4215,16,-1.3508
ENSG00000176087,SLC35A4,7,-1.5653,17,-0.1707,20,0.12243,17,-0.2678,36,1.00868,24,0.36823
ENSG00000131495,NDUFA2,142,-1.0273,324,0.27389,292,0.09662,325,0.35815,182,-0.6547,182,-0.6532
ENSG00000113141,IK,246,0.62644,88,-1.0383,150,-0.1953,182,0.19793,174,0.06907,222,0.46027
ENSG00000120314,WDR55,31,1.27345,9,-0.6793,14,0.00550,12,-0.3256,21,0.65075,8,-0.8502
ENSG00000170445,HARS,119,0.41077,76,-0.3279,98,0.12378,113,0.46458,44,-1.1324,44,-1.1169
ENSG00000112855,HARS2,11,-0.5538,17,0.07682,20,0.47118,15,-0.1033,9,-0.8642,16,0.05470
ENSG00000146007,ZMAT2,238,0.01519,249,0.09617,276,0.31253,218,-0.1566,213,-0.1516,174,-0.4686
ENSG00000178913,TAF7,209,0.49448,75,-1.1589,149,-0.0450,172,0.25423,167,0.13842,176,0.21653
ENSG00000131504,DIAPH1,15,-0.5850,30,0.55132,37,1.11264,14,-0.8643,14,-0.6712,7,-1.6662
ENSG00000171720,HDAC3,29,-0.0054,29,-0.0038,29,0.02961,32,0.18049,34,0.24190,13,-1.2013
ENSG00000164620,RELL2,10,-2.1738,44,-0.0248,40,-0.2018,75,1.32259,7,-2.7072,11,-2.0235
ENSG00000081791,DELE1,18,-0.5467,22,-0.2321,28,0.14572,21,-0.3506,40,0.73361,35,0.49421
ENSG00000013561,RNF14,49,-0.2594,49,-0.2842,69,0.34638,67,0.32175,33,-0.8748,41,-0.5390
ENSG00000113552,GNPDA1,34,-0.2334,30,-0.4314,43,0.17966,49,0.52110,25,-0.6885,25,-0.6759
ENSG00000131507,NDFIP1,846,0.39856,543,-0.3280,808,0.40706,773,0.36114,245,-1.5045,213,-1.7158
ENSG00000113578,FGF1,80,-0.3031,43,-1.3425,9,-3.6998,37,-1.7588,250,1.57542,578,3.40961
ENSG00000145819,ARHGAP26,147,0.04943,147,0.04625,181,0.47513,154,0.16827,85,-0.8027,29,-2.3995
ENSG00000113580,NR3C1,145,0.80994,65,-0.5083,90,0.03618,87,-0.0184,86,-0.0398,77,-0.2115
ENSG00000145817,YIPF5,75,0.50699,42,-0.4433,66,0.37033,55,0.02766,30,-0.9115,47,-0.2172
ENSG00000183775,KCTD16,92,-0.5298,128,-0.0132,255,1.53256,91,-0.7018,65,-1.0467,11,-3.6518
ENSG00000133706,LARS,206,0.71781,87,-0.6981,121,-0.1567,141,0.14007,149,0.18984,128,-0.0483
ENSG00000091009,RBM27,101,0.82625,45,-0.4829,63,0.09036,49,-0.4342,73,0.30591,75,0.33619
ENSG00000113649,TCERG1,159,0.90547,65,-0.5452,97,0.13859,94,0.06609,61,-0.6144,72,-0.3664
ENSG00000156475,PPP2R2B,196,0.00560,147,-0.4833,213,0.16715,220,0.26332,160,-0.3137,178,-0.1513
ENSG00000113657,DPYSL3,50,-0.4499,59,-0.2159,72,0.15110,48,-0.6654,160,1.45319,65,-0.0337
ENSG00000176049,JAKMIP2,125,0.79221,62,-0.3544,63,-0.3625,73,-0.1058,90,0.26211,99,0.40292
ENSG00000145868,FBXO38,16,-0.3934,15,-0.5602,24,0.25000,19,-0.2583,38,0.94395,22,0.09149
ENSG00000173210,ABLIM3,29,0.65675,29,0.70057,15,-0.4085,16,-0.4148,31,0.76885,5,-2.0319
ENSG00000164284,GRPEL2,35,0.45742,17,-0.7480,28,0.14688,35,0.62635,12,-1.1670,12,-1.1820
ENSG00000145882,PCYOX1L,20,-0.3909,19,-0.4663,33,0.53544,32,0.53644,17,-0.6292,2,-3.6687
ENSG00000113712,CSNK1A1,233,0.51295,164,-0.0545,143,-0.3051,158,-0.1357,208,0.32854,195,0.22422
ENSG00000183111,ARHGEF37,31,0.93677,6,-1.6384,6,-1.5995,9,-1.2124,25,0.57838,83,2.84627
ENSG00000113716,HMGXB3,21,0.05928,14,-0.6501,24,0.26620,21,0.08850,18,-0.2197,23,0.20346
ENSG00000113721,PDGFRB,2,-2.5912,19,0.50888,9,-0.8253,10,-0.6390,58,2.45087,5,-1.5450
ENSG00000011083,SLC6A7,12,-1.6414,28,-0.4402,63,1.15682,43,0.33189,10,-1.9902,3,-3.4504
ENSG00000070808,CAMK2A,209,-0.5970,419,0.55304,525,1.15662,218,-0.6926,155,-1.0489,43,-2.9327
ENSG00000070814,TCOF1,56,1.02169,21,-0.5932,36,0.34737,27,-0.2014,20,-0.5996,25,-0.2791
ENSG00000019582,CD74,11,-1.6424,52,0.84733,14,-1.4029,14,-1.5294,105,2.01143,70,1.26488
ENSG00000164587,RPS14,552,-0.9774,1479,0.62908,949,-0.1803,978,-0.1374,1047,0.00539,1204,0.22741
ENSG00000070614,NDST1,13,-0.5826,13,-0.5681,18,-0.1159,13,-0.6639,27,0.56776,53,1.71661
ENSG00000171992,SYNPO,76,-0.3811,141,0.67681,137,0.70993,64,-0.8122,110,0.20756,26,-1.9494
ENSG00000086589,RBM22,65,0.55217,40,-0.2257,41,-0.1959,38,-0.3845,63,0.50035,66,0.58543
ENSG00000132912,DCTN4,66,-0.1940,57,-0.4641,83,0.21567,77,0.06529,63,-0.2626,96,0.39525
ENSG00000211445,GPX3,7,-2.4342,46,0.44086,46,0.49893,39,0.22273,31,-0.2223,3,-3.3307
ENSG00000145901,TNIP1,11,-1.3092,26,-0.0426,25,-0.1351,31,0.37060,36,0.51208,19,-0.4657
ENSG00000197043,ANXA6,301,0.09295,195,-0.6260,312,0.18479,396,0.80000,150,-0.9768,42,-2.8373
ENSG00000196743,GM2A,41,0.81537,23,-0.1222,10,-1.5452,14,-1.0271,49,1.09978,73,1.83015
ENSG00000123643,SLC36A1,13,-0.4733,18,-0.0117,20,0.13725,26,0.83973,3,-2.5949,3,-2.3375
ENSG00000113140,SPARC,61,-1.4678,114,-0.5914,102,-0.8354,22,-3.3491,605,2.31170,654,2.47575
ENSG00000177556,ATOX1,103,-0.8155,172,-0.0241,165,-0.1082,164,-0.1266,203,0.24309,291,0.82936
ENSG00000145907,G3BP1,34,-0.2722,34,-0.3044,41,0.00693,30,-0.5879,70,0.88291,72,0.91720
ENSG00000155511,GRIA1,178,0.82809,80,-0.4817,120,0.24427,122,0.30627,78,-0.4710,11,-3.3095
ENSG00000055147,FAM114A2,13,-0.2043,11,-0.4935,13,-0.2640,14,-0.1700,42,1.65919,10,-0.6585
ENSG00000164576,SAP30L,12,-1.4784,36,0.16984,36,0.15958,33,0.02929,42,0.37149,28,-0.2648
ENSG00000155506,LARP1,222,0.25062,174,-0.1425,199,0.09827,207,0.20394,134,-0.5289,139,-0.4772
ENSG00000170271,FAXDC2,35,-0.1125,20,-1.0459,4,-3.3744,16,-1.5459,107,1.75399,192,3.00629
ENSG00000155508,CNOT8,59,0.26436,38,-0.4409,52,0.08835,52,0.06184,50,-0.0022,51,0.03764
ENSG00000082516,GEMIN5,21,0.56434,20,0.54714,11,-0.4297,12,-0.3983,12,-0.2904,20,0.48329
ENSG00000082515,MRPL22,53,-0.0319,39,-0.5394,55,0.00668,65,0.37843,47,-0.2406,53,-0.0419
ENSG00000155868,MED7,12,-0.4867,10,-0.8579,18,0.17481,24,0.84121,10,-0.7584,8,-1.0242
ENSG00000055163,CYFIP2,394,0.27643,354,0.11760,408,0.41603,355,0.15182,154,-1.1650,73,-2.2619
ENSG00000155858,LSM11,41,0.76003,21,-0.3247,16,-0.7598,41,1.21537,3,-2.9488,4,-2.5281
ENSG00000113282,CLINT1,65,0.24046,36,-0.7096,59,0.09921,57,0.04712,90,0.76447,38,-0.6013
ENSG00000145860,RNF145,162,1.25697,39,-1.0848,110,0.78308,66,-0.2861,39,-1.0116,33,-1.2470
ENSG00000164332,UBLCP1,104,0.37265,54,-0.6835,86,0.09587,104,0.55104,42,-1.0283,55,-0.6213
ENSG00000113312,TTC1,186,0.18142,150,-0.1727,135,-0.3905,192,0.32032,151,-0.1463,185,0.17116
ENSG00000170234,PWWP2A,87,1.58811,21,-0.7369,18,-1.1042,21,-0.9469,67,1.10654,71,1.21554
ENSG00000170231,FABP6,13,-1.2414,25,-0.2291,9,-2.0041,56,1.84512,18,-0.6878,15,-0.9590
ENSG00000164609,SLU7,223,0.29330,134,-0.5408,203,0.17503,204,0.21623,142,-0.4167,165,-0.1800
ENSG00000145864,GABRB2,729,0.62038,366,-0.5097,708,0.73644,565,0.29314,75,-2.8140,26,-4.3327
ENSG00000022355,GABRA1,593,0.26526,368,-0.5214,620,0.42153,678,0.71334,86,-2.6371,34,-3.9966
ENSG00000280776,LINC01202,0,-7.8260,12,-0.3335,19,0.55779,23,1.10475,2,-2.5664,0,-8.8369
ENSG00000113327,GABRG2,251,-0.2685,206,-0.6181,431,0.75821,388,0.61381,57,-2.4718,15,-4.3568
ENSG00000113328,CCNG1,26,-0.1851,25,-0.2914,30,0.02478,28,-0.1108,31,0.10808,45,0.67227
ENSG00000170584,NUDCD2,39,-0.4531,43,-0.3329,48,-0.1645,43,-0.3812,54,0.05900,131,1.52664
ENSG00000038274,MAT2B,48,-1.1743,115,0.17297,122,0.31164,124,0.40728,69,-0.6287,38,-1.5353
ENSG00000145934,TENM2,20,-1.2468,30,-0.6774,95,1.71979,38,-0.3654,25,-0.9088,1,-5.0033
ENSG00000113645,WWC1,16,-0.8159,21,-0.3961,29,0.13468,26,-0.1108,57,1.19861,20,-0.4611
ENSG00000113643,RARS,100,0.69901,49,-0.4466,69,0.13222,72,0.25064,54,-0.2684,25,-1.4275
ENSG00000188573,FBLL1,21,-1.1452,48,0.09097,52,0.25670,61,0.69895,21,-1.1865,7,-2.7143
ENSG00000120137,PANK3,85,0.16975,73,-0.0819,88,0.26936,77,-0.0059,75,-0.0380,44,-0.8525
ENSG00000184347,SLIT3,77,2.12106,19,-0.2342,17,-0.4611,19,-0.3706,24,0.10780,2,-3.4481
ENSG00000182132,KCNIP1,15,-0.2069,32,1.07027,9,-1.1715,24,0.68791,10,-0.8194,1,-3.6471
ENSG00000181163,NPM1,408,0.43938,328,0.09702,261,-0.3253,299,-0.0774,348,0.18151,331,0.10258
ENSG00000072803,FBXW11,122,0.10926,102,-0.1856,129,0.23937,110,-0.0848,101,-0.1855,116,0.01908
ENSG00000168246,UBTD2,1,-3.8461,18,0.48507,18,0.47332,12,-0.3444,16,0.24194,13,-0.0832
ENSG00000120129,DUSP1,15,-0.7898,49,1.21999,15,-0.8654,19,-0.5418,56,1.31330,11,-1.2170
ENSG00000113719,ERGIC1,35,-0.0448,50,0.59050,40,0.21419,28,-0.5051,52,0.61287,11,-1.7603
ENSG00000037241,RPL26L1,61,-0.2269,60,-0.2923,93,0.55294,79,0.23329,32,-1.1992,43,-0.7627
ENSG00000113732,ATP6V0E1,16,-1.3074,27,-0.5525,20,-1.1384,25,-0.7967,133,2.16359,92,1.46077
ENSG00000164463,CREBRF,111,0.94007,52,-0.3036,49,-0.4229,56,-0.2212,82,0.44290,77,0.33339
ENSG00000145919,BOD1,38,-0.2822,45,-0.0088,50,0.20356,44,-0.0490,47,0.05032,41,-0.1569
ENSG00000113742,CPEB4,84,-0.1999,106,0.17033,105,0.18763,83,-0.2987,108,0.18644,98,0.03161
ENSG00000170091,NSG2,263,0.04747,242,-0.0881,362,0.72111,288,0.26949,47,-2.5275,29,-3.2341
ENSG00000184845,DRD1,36,1.18497,17,-0.0380,15,-0.2059,21,0.43009,7,-1.3641,1,-4.2171
ENSG00000164466,SFXN1,70,-0.0936,76,0.03639,97,0.51349,72,-0.0822,57,-0.4234,40,-0.9610
ENSG00000113749,HRH2,35,0.72125,26,0.24712,34,0.86163,16,-0.6195,6,-1.8561,8,-1.5271
ENSG00000145920,CPLX2,301,0.08437,395,0.58032,258,-0.1899,302,0.12015,276,-0.0548,79,-1.9369
ENSG00000051596,THOC3,27,-0.3257,19,-0.9568,63,1.33718,34,0.02696,12,-1.5642,5,-2.6304
ENSG00000122203,KIAA1191,90,-0.2208,99,-0.0869,122,0.32434,117,0.27536,69,-0.6207,52,-1.0562
ENSG00000175414,ARL10,32,0.40121,21,-0.3108,35,0.68644,21,-0.3191,18,-0.5095,17,-0.5440
ENSG00000048162,NOP16,41,0.68417,25,-0.0772,30,0.23080,29,0.20876,8,-1.7172,12,-1.1683
ENSG00000146066,HIGD2A,84,-0.5242,116,-0.0301,111,-0.1117,145,0.47893,80,-0.5896,103,-0.1995
ENSG00000175416,CLTB,142,-0.4718,209,0.14238,213,0.19494,216,0.25210,131,-0.5998,119,-0.7388
ENSG00000113194,FAF2,62,0.68981,30,-0.4954,32,-0.4297,41,0.04911,71,0.91248,30,-0.4489
ENSG00000146083,RNF44,47,0.03778,60,0.48325,52,0.24159,47,0.03385,21,-1.1855,20,-1.2645
ENSG00000169258,GPRIN1,42,0.53672,36,0.33168,39,0.55508,23,-0.5186,20,-0.6430,14,-1.1282
ENSG00000074317,SNCB,177,-1.0028,407,0.31791,420,0.42259,400,0.36810,170,-1.0649,58,-2.6399
ENSG00000048140,TSPAN17,8,-1.8262,42,0.65554,44,0.82583,25,-0.3189,16,-0.9009,11,-1.4843
ENSG00000113763,UNC5A,48,-0.0823,60,0.29286,71,0.66530,51,0.01114,22,-1.2617,4,-3.7469
ENSG00000165671,NSD1,74,1.02160,47,0.30999,28,-0.6553,32,-0.4108,45,0.18518,49,0.35035
ENSG00000169228,RAB24,4,-1.6705,16,0.33939,19,0.73618,11,-0.2919,13,0.07075,5,-1.2777
ENSG00000169230,PRELID1,56,-0.8952,107,0.09115,97,-0.0825,124,0.45776,92,-0.1436,67,-0.6383
ENSG00000169223,LMAN2,24,-0.6305,34,-0.1473,35,-0.0659,37,0.00101,61,0.81689,34,-0.0932
ENSG00000169220,RGS14,13,-0.7538,31,0.59336,39,1.17095,13,-1.0495,18,-0.3001,6,-1.8273
ENSG00000131187,F12,14,-0.2749,12,-0.4941,19,0.23483,22,0.65386,12,-0.4307,4,-2.1155
ENSG00000198055,GRK6,25,0.48352,21,0.26752,16,-0.2698,24,0.59664,2,-3.1245,7,-1.2946
ENSG00000131188,PRR7,15,-0.6850,31,0.51745,36,0.93028,15,-0.8113,15,-0.6740,17,-0.5150
ENSG00000113758,DBN1,56,0.26221,45,-0.0967,80,1.11887,29,-0.9554,54,0.20108,14,-1.8504
ENSG00000196923,PDLIM7,13,-0.0886,12,-0.1101,15,0.27721,18,0.61959,1,-3.1165,5,-1.4432
ENSG00000183258,DDX41,38,-0.2489,34,-0.4388,53,0.36626,53,0.39499,32,-0.4876,22,-1.0425
ENSG00000146067,FAM193B,16,-0.1951,21,0.27132,26,0.77072,14,-0.5413,9,-1.0163,15,-0.2563
ENSG00000184840,TMED9,53,0.03816,46,-0.2143,51,-0.0075,59,0.27728,41,-0.3489,46,-0.1729
ENSG00000027847,B4GALT7,9,-1.1168,27,0.63955,22,0.26719,18,-0.1169,13,-0.5710,14,-0.4432
ENSG00000170074,FAM153A,36,0.74717,19,-0.2869,41,1.34368,16,-0.6073,4,-2.5801,1,-3.8188
ENSG00000204677,FAM153CP,31,0.00704,30,-0.0567,56,1.32890,21,-0.7017,14,-1.1242,9,-1.8793
ENSG00000145916,RMND5B,23,-0.1264,36,0.62848,31,0.37715,21,-0.3637,12,-1.1143,20,-0.3945
ENSG00000145912,NHP2,175,-0.2108,205,0.04370,234,0.30469,202,0.02055,156,-0.3852,151,-0.4345
ENSG00000197451,HNRNPAB,64,0.24202,52,-0.0947,55,0.01296,45,-0.4203,73,0.45154,74,0.45660
ENSG00000113240,CLK4,68,0.82984,25,-0.8033,54,0.57661,30,-0.6345,43,0.08751,46,0.19615
ENSG00000176783,RUFY1,28,0.29710,24,0.04803,23,-0.0558,15,-0.9090,44,1.02431,34,0.57172
ENSG00000169045,HNRNPH1,135,0.31318,106,-0.0818,117,0.09230,94,-0.3460,114,0.03719,147,0.43939
ENSG00000127022,CANX,432,0.23304,305,-0.3394,278,-0.5355,362,-0.0627,605,0.78201,542,0.59971
ENSG00000161013,MGAT4B,16,-1.4039,50,0.34466,53,0.53276,39,-0.0771,35,-0.2166,22,-0.9547
ENSG00000161011,SQSTM1,163,-0.2531,199,0.06621,181,-0.1128,190,-0.0171,189,-0.0217,248,0.40556
ENSG00000161010,MRNIP,14,-0.9636,36,0.55222,33,0.42911,23,-0.2922,22,-0.2946,19,-0.5102
ENSG00000197226,TBC1D9B,64,-0.2272,81,0.17203,66,-0.2016,71,-0.0831,69,-0.1044,107,0.59462
ENSG00000113269,RNF130,178,0.65274,68,-0.9018,80,-0.7132,71,-0.9890,127,0.11479,453,2.36173
ENSG00000050748,MAPK9,216,0.09868,178,-0.2312,237,0.30435,256,0.53538,77,-1.4834,54,-1.9847
ENSG00000113300,CNOT6,21,0.16016,28,0.68502,21,0.20421,14,-0.6364,16,-0.2747,17,-0.1912
ENSG00000131446,MGAT1,23,-0.1583,30,0.31860,22,-0.2105,21,-0.3791,49,1.07549,19,-0.4371
ENSG00000278970,HEIH,23,0.19970,11,-0.9270,19,-0.1033,21,0.04304,23,0.16306,35,0.85359
ENSG00000196670,ZFP62,16,0.43766,13,0.18211,11,-0.1660,7,-0.8462,21,0.90951,16,0.48570
ENSG00000250222,AC008443.5,8,-1.9075,45,0.76518,29,-0.0452,25,-0.3768,35,0.25736,37,0.32862
ENSG00000146063,TRIM41,31,0.14875,33,0.25814,17,-0.9092,28,-0.0132,37,0.42475,42,0.64723
ENSG00000204628,RACK1,214,-0.3411,344,0.45134,235,-0.2390,221,-0.3905,333,0.35230,378,0.55722
ENSG00000183718,TRIM52,32,0.90135,17,-0.0792,21,0.28925,16,-0.2291,16,-0.1866,7,-1.4027
ENSG00000248275,TRIM52-AS1,6,-1.5001,19,0.28633,18,0.23429,12,-0.6133,24,0.64743,23,0.58679
ENSG00000112679,DUSP22,9,-1.5488,23,-0.2748,33,0.38712,24,-0.2482,25,-0.1120,49,0.96342
ENSG00000112685,EXOC2,37,0.44888,20,-0.5109,27,-0.0177,29,0.14623,20,-0.4898,34,0.31828
ENSG00000124535,WRNIP1,71,0.62223,39,-0.3209,61,0.50211,47,-0.0222,19,-1.3570,31,-0.6617
ENSG00000124570,SERPINB6,13,-1.3611,38,0.32688,10,-1.8488,17,-1.1365,89,1.73147,101,1.97588
ENSG00000244041,LINC01011,16,-0.1979,19,0.13022,21,0.31818,22,0.46467,3,-2.4782,6,-1.6025
ENSG00000124588,NQO2,30,-1.1760,70,0.13360,70,0.15286,84,0.59973,41,-0.6797,20,-1.7554
ENSG00000137274,BPHL,8,-1.3604,14,-0.5416,28,0.71810,19,-0.1078,28,0.53756,13,-0.5791
ENSG00000137267,TUBB2A,997,0.28707,625,-0.4809,777,-0.1292,1231,0.96167,362,-1.2725,115,-2.9517
ENSG00000137285,TUBB2B,67,-0.7477,151,0.58017,65,-0.9224,68,-0.9219,421,2.36960,53,-1.1087
ENSG00000180822,PSMG4,38,0.29116,33,0.08895,39,0.37953,34,0.16896,5,-2.5855,18,-0.8743
ENSG00000137266,SLC22A23,20,-0.7477,23,-0.5615,27,-0.3467,35,0.18159,30,-0.1138,72,1.29370
ENSG00000145945,FAM50B,31,0.14216,18,-0.7469,35,0.40513,29,0.04302,25,-0.1968,28,-0.0133
ENSG00000112739,PRPF4B,188,0.63676,78,-0.7998,98,-0.4628,126,-0.0162,208,0.80207,168,0.45354
ENSG00000198721,ECI2,30,-0.4894,47,0.26017,33,-0.4088,25,-0.9263,124,1.88419,42,0.04428
ENSG00000153046,CDYL,47,0.14947,55,0.45332,22,-1.1438,45,0.12143,62,0.60281,45,0.09933
ENSG00000214113,LYRM4,38,-0.4155,52,0.04883,67,0.58591,53,0.09666,20,-1.3701,29,-0.8212
ENSG00000124785,NRN1,172,-0.9353,358,0.21760,374,0.33221,422,0.67909,70,-2.2733,27,-3.6360
ENSG00000216863,LY86-AS1,9,-1.6690,18,-0.6889,55,1.58305,28,0.04604,7,-2.0684,0,-7.5245
ENSG00000124783,SSR1,41,-0.9207,75,-0.0036,67,-0.2045,65,-0.2897,118,0.73227,128,0.86436
ENSG00000124784,RIOK1,44,1.02819,22,-0.1126,22,-0.1034,23,-0.0629,24,0.03601,11,-1.0624
ENSG00000168566,SNRNP48,11,-0.2253,11,-0.1165,10,-0.3001,10,-0.4819,19,0.70432,25,1.13499
ENSG00000239264,TXNDC5,67,1.57595,21,-0.3497,19,-0.5574,21,-0.4181,29,0.17205,31,0.30896
