Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000163785,RYK,24,0.21378,24,0.24681,23,0.16612,18,-0.2543,12,-0.8596,30,0.59605,17,-0.3459
ENSG00000114019,AMOTL2,81,1.87911,25,-0.1989,15,-0.9217,23,-0.3553,25,-0.1709,20,-0.4911,17,-0.7596
ENSG00000129055,ANAPC13,31,-1.1435,69,0.08968,64,-0.0314,66,-0.0044,118,0.97460,48,-0.5035,61,-0.1214
ENSG00000182923,CEP63,101,0.84059,45,-0.5147,104,0.89476,32,-1.1984,41,-0.6068,93,0.69860,83,0.49977
ENSG00000154928,EPHB1,14,-1.4642,39,0.07305,84,1.37512,41,0.16965,24,-0.6790,28,-0.4263,23,-0.7292
ENSG00000073711,PPP2R3A,42,1.52283,11,-0.7778,21,0.30590,16,-0.1442,8,-1.1015,20,0.20600,11,-0.6137
ENSG00000174579,MSL2,22,0.52560,12,-0.5371,20,0.38191,17,0.15798,17,0.10643,13,-0.2915,12,-0.4521
ENSG00000114054,PCCB,18,-0.3514,15,-0.7383,31,0.47968,31,0.69740,20,-0.1892,9,-1.4472,27,0.26029
ENSG00000118007,STAG1,45,1.20903,15,-0.6256,28,0.39525,18,-0.3907,17,-0.4067,34,0.72049,11,-1.0703
ENSG00000168917,SLC35G2,3,-2.1345,7,-1.3440,13,-0.2159,25,1.17721,16,0.06433,15,-0.0162,16,0.04923
ENSG00000158092,NCK1,11,-0.6219,9,-0.9779,16,-0.0515,25,0.85039,14,-0.3226,20,0.24132,15,-0.1745
ENSG00000114098,ARMC8,17,-1.6776,41,-0.4073,39,-0.4166,61,0.35797,59,0.21412,62,0.31041,73,0.56510
ENSG00000158186,MRAS,49,-1.1548,88,-0.2907,139,0.46918,126,0.40597,83,-0.3581,93,-0.1812,123,0.27161
ENSG00000114107,CEP70,43,0.93220,20,-0.3921,36,0.63870,11,-1.4352,22,-0.1589,40,0.80027,32,0.40347
ENSG00000051382,PIK3CB,30,-1.4185,64,-0.2738,61,-0.3321,71,-0.1203,99,0.44885,105,0.55315,115,0.70118
ENSG00000175110,MRPS22,5,-2.1334,8,-1.6082,30,0.56671,32,0.91574,35,0.83708,16,-0.4111,14,-0.5975
ENSG00000184432,COPB2,42,0.03280,23,-1.0107,61,0.62800,43,0.08126,33,-0.3278,50,0.29625,53,0.39741
ENSG00000114115,RBP1,11,-2.2590,37,-0.5289,48,-0.0736,99,1.70223,32,-0.6951,14,-1.8893,29,-0.8408
ENSG00000163864,NMNAT3,22,0.77836,5,-1.5620,5,-1.3357,11,-0.4584,13,-0.1128,47,2.18171,7,-0.9712
ENSG00000158258,CLSTN2,59,-1.0401,84,-0.5565,84,-0.5071,32,-2.2404,405,2.27177,239,1.22439,107,-0.1247
ENSG00000114120,SLC25A36,70,-0.7242,74,-0.7027,128,0.22174,85,-0.5179,150,0.48845,216,1.10981,145,0.43377
ENSG00000155893,PXYLP1,2,-3.6817,18,-0.4744,10,-1.3369,35,0.78408,31,0.38131,32,0.45623,28,0.20394
ENSG00000177311,ZBTB38,124,0.34767,69,-0.6412,191,1.07818,60,-0.9534,85,-0.2524,158,0.75077,124,0.34815
ENSG00000155903,RASA2,17,-1.0225,17,-1.1821,40,0.23951,32,-0.1252,46,0.47279,67,1.12376,42,0.32679
ENSG00000114125,RNF7,15,-1.8240,34,-0.6928,45,-0.2351,75,0.83981,59,0.22028,42,-0.3175,62,0.27926
ENSG00000069849,ATP1B3,29,-1.3892,58,-0.3935,40,-0.9165,76,0.10786,147,1.18133,105,0.59660,60,-0.2998
ENSG00000114126,TFDP2,62,0.39597,52,0.13767,72,0.65280,46,-0.0934,23,-1.1126,53,0.15070,30,-0.7302
ENSG00000175066,GK5,41,0.77126,20,-0.3872,17,-0.6410,21,-0.4196,24,-0.0898,35,0.51904,36,0.53980
ENSG00000114127,XRN1,67,1.09467,20,-0.9191,58,0.86696,14,-1.5950,17,-1.0999,77,1.35599,44,0.40168
ENSG00000175054,ATR,21,-0.2930,14,-1.0021,22,-0.2636,26,0.05273,30,0.25429,50,1.08382,27,0.09070
ENSG00000144935,TRPC1,15,-0.9122,29,0.12360,10,-1.4360,26,-0.0912,40,0.62545,26,-0.0586,44,0.78975
ENSG00000163714,U2SURP,542,1.62634,130,-0.8305,313,0.64067,104,-1.3001,82,-1.4534,380,0.97530,227,0.11140
ENSG00000175040,CHST2,18,-0.6216,22,-0.3920,21,-0.4234,34,0.48214,40,0.64975,20,-0.4448,26,-0.0366
ENSG00000181744,DIPK2A,13,-0.7030,18,-0.2589,12,-0.9021,20,-0.0916,36,0.86453,28,0.46479,25,0.28338
ENSG00000152952,PLOD2,29,0.81834,12,-0.6265,21,0.30945,19,0.18722,16,-0.1592,23,0.45645,4,-2.1125
ENSG00000114698,PLSCR4,34,0.44836,32,0.41055,30,0.24574,30,0.36656,16,-0.6873,10,-1.4351,11,-1.3198
ENSG00000163754,GYG1,14,-1.1534,25,-0.3061,28,-0.1221,37,0.44191,61,1.15744,25,-0.3104,13,-1.3134
ENSG00000071794,HLTF,80,0.40786,34,-1.0131,113,0.98910,44,-0.6465,54,-0.2251,78,0.36768,96,0.70655
ENSG00000163755,HPS3,4,-1.5214,12,-0.1494,6,-0.9855,13,0.00731,27,1.26589,20,0.76256,7,-0.9291
ENSG00000018408,WWTR1,61,2.18349,19,0.13560,26,0.60998,10,-1.1105,4,-2.1124,3,-2.6491,17,-0.0644
ENSG00000114744,COMMD2,22,0.12153,13,-0.7221,17,-0.2255,18,-0.2493,18,-0.1387,25,0.32277,39,1.12518
ENSG00000082996,RNF13,118,1.14495,39,-0.7291,42,-0.5397,62,0.08483,67,0.17543,46,-0.3950,59,-0.0192
ENSG00000070087,PFN2,88,-2.2742,295,-0.5096,214,-0.9551,482,0.43092,677,0.89380,383,-0.0497,552,0.54766
ENSG00000196428,TSC22D2,39,-0.5359,40,-0.5532,72,0.40919,59,0.11716,54,-0.0506,75,0.49071,59,0.08486
ENSG00000120742,SERP1,65,-0.7218,106,0.03431,111,0.10683,138,0.62403,64,-0.7590,91,-0.2079,82,-0.3723
ENSG00000144895,EIF2A,43,-0.1690,39,-0.3787,80,0.82141,37,-0.5359,32,-0.6418,75,0.71040,66,0.50498
ENSG00000198843,SELENOT,52,-1.3748,94,-0.5265,61,-1.1394,155,0.42257,215,0.87405,117,-0.1249,174,0.50874
ENSG00000181788,SIAH2,3,-3.0262,18,-0.5019,14,-0.8332,32,0.57733,30,0.33533,20,-0.2970,45,1.00040
ENSG00000144893,MED12L,10,-2.0814,20,-1.1157,53,0.51878,43,0.19707,35,-0.1458,56,0.59316,66,0.87615
ENSG00000152601,MBNL1,73,-0.6196,81,-0.5060,133,0.32752,116,0.13285,135,0.35013,114,0.07678,121,0.18100
ENSG00000169860,P2RY1,46,1.74522,16,-0.0577,23,0.51015,17,0.07635,7,-1.2661,5,-1.6300,1,-3.7382
ENSG00000181467,RAP2B,11,-1.3076,11,-1.4396,26,0.00823,36,0.67132,31,0.25156,28,0.10554,38,0.58524
ENSG00000243069,ARHGEF26-AS1,37,0.71381,22,-0.0995,49,1.19961,31,0.54428,5,-2.2936,5,-2.3129,5,-2.1324
ENSG00000114790,ARHGEF26,46,0.29115,39,-0.0053,88,1.40369,43,0.20322,16,-1.3240,22,-0.8679,9,-2.2101
ENSG00000174953,DHX36,207,0.53306,94,-0.7821,241,0.79070,95,-0.8549,105,-0.5482,214,0.59031,251,0.86028
ENSG00000114805,PLCH1,14,-0.2883,8,-1.1214,32,1.07045,8,-1.3210,51,1.94054,24,0.60568,5,-1.6444
ENSG00000174928,C3orf33,12,-0.1442,14,0.12387,24,0.93681,4,-2.0838,17,0.32969,15,0.19300,26,1.09776
ENSG00000169359,SLC33A1,39,0.46139,14,-1.1947,27,-0.1188,27,-0.1739,47,0.75422,42,0.55544,30,0.03980
ENSG00000163655,GMPS,37,-0.5315,26,-1.1218,79,0.68789,44,-0.3103,80,0.72308,82,0.76341,53,0.05124
ENSG00000169282,KCNAB1,10,-2.1706,50,0.19862,51,0.22674,28,-0.8475,98,1.33733,54,0.30786,47,0.08502
ENSG00000114850,SSR3,79,-0.0630,70,-0.2666,86,0.08087,94,0.28334,97,0.27664,45,-0.9244,90,0.15262
ENSG00000163659,TIPARP,27,1.17179,10,-0.5045,18,0.47554,16,0.42652,7,-1.0520,7,-0.9231,6,-1.2559
ENSG00000163660,CCNL1,128,1.81874,25,-1.0051,23,-1.0452,27,-0.9905,37,-0.3069,92,1.18368,43,-0.0788
ENSG00000174891,RSRC1,124,0.30366,77,-0.5016,215,1.24856,66,-0.8515,85,-0.2958,135,0.44831,117,0.21000
ENSG00000178053,MLF1,9,-1.2127,15,-0.4647,12,-0.6779,27,0.67690,21,0.09164,13,-0.6718,31,0.75923
ENSG00000168827,GFM1,34,-0.0576,33,-0.1130,42,0.27571,32,-0.2282,43,0.30218,31,-0.1889,43,0.29620
ENSG00000118855,MFSD1,9,-0.6574,14,-0.0906,12,-0.2320,16,0.24632,12,-0.2560,22,0.65171,12,-0.2241
ENSG00000180044,C3orf80,5,-3.4881,19,-1.7592,23,-1.3562,80,0.84616,75,0.49967,54,-0.0355,117,1.26789
ENSG00000068885,IFT80,44,0.03368,29,-0.6443,26,-0.7991,42,-0.0356,50,0.23927,42,-0.0186,82,1.08112
ENSG00000113810,SMC4,62,2.09278,9,-1.1514,33,0.92819,10,-1.1227,6,-1.7180,26,0.53354,13,-0.6275
ENSG00000186432,KPNA4,51,-0.7375,53,-0.7375,81,-0.0189,87,0.12321,104,0.38882,101,0.32605,116,0.56073
ENSG00000163590,PPM1L,34,-1.8057,64,-0.9339,148,0.45925,118,0.10663,113,0.02405,143,0.39772,197,0.94302
ENSG00000169255,B3GALNT1,22,-1.1391,30,-0.7143,27,-0.8040,59,0.54739,49,0.11238,48,0.07037,75,0.81056
ENSG00000169251,NMD3,29,-0.0031,18,-0.7913,46,0.71618,29,-0.0269,42,0.57451,36,0.29284,18,-0.7556
ENSG00000196542,SPTSSB,6,-2.1261,20,-0.3717,19,-0.4413,14,-1.0361,101,2.59057,25,0.00544,16,-0.7129
ENSG00000121871,SLITRK3,5,-1.6654,11,-0.5974,10,-0.6871,17,0.19899,26,0.89468,14,-0.1739,26,0.87402
ENSG00000244128,LINC01322,21,-0.8019,60,1.03578,60,0.89998,23,-0.8263,19,-0.9127,47,0.47549,16,-1.2276
ENSG00000169064,ZBBX,4,-2.0421,4,-2.0665,19,0.31522,17,0.14529,2,-3.1593,49,1.95062,26,0.79531
ENSG00000114209,PDCD10,40,0.04956,25,-0.7885,44,0.18087,40,0.06480,44,0.19991,51,0.42499,41,0.09469
ENSG00000163536,SERPINI1,61,-3.1648,296,-0.8976,302,-0.7916,573,0.28842,790,0.75354,415,-0.2956,1126,1.38379
ENSG00000173905,GOLIM4,503,1.82562,198,0.19432,304,0.89021,120,-0.7466,55,-1.7844,83,-1.1856,76,-1.3069
ENSG00000008952,SEC62,1299,0.91596,763,0.03181,968,0.41743,558,-0.5758,498,-0.6427,747,-0.0041,782,0.06947
ENSG00000173889,PHC3,39,0.46940,29,-0.0039,17,-0.8062,23,-0.4756,16,-0.9286,55,1.07057,37,0.39413
ENSG00000163558,PRKCI,29,-0.7613,12,-2.1751,70,0.63873,47,-0.0118,47,-0.0070,76,0.78165,85,0.98554
ENSG00000136603,SKIL,47,-0.2501,39,-0.6012,86,0.70777,39,-0.6616,49,-0.1808,92,0.82922,85,0.69179
ENSG00000013297,CLDN11,269,5.65802,12,-1.5489,0,-8.5322,1,-5.3788,13,-1.2886,0,-9.7362,5,-2.5646
ENSG00000013293,SLC7A14,45,-0.3952,41,-0.6187,57,-0.0398,38,-0.8044,58,-0.0052,97,0.84107,130,1.35936
ENSG00000163584,RPL22L1,2,-3.0108,10,-0.9715,35,1.04512,33,1.34464,6,-1.7634,10,-0.9527,15,-0.3603
ENSG00000163577,EIF5A2,14,-1.0192,26,-0.0338,20,-0.4659,20,-0.5610,78,1.89090,19,-0.5276,23,-0.1887
ENSG00000154310,TNIK,201,0.72426,131,0.01617,229,0.94617,98,-0.5461,63,-1.1033,182,0.55944,64,-1.0782
ENSG00000144959,NCEH1,14,-2.5989,51,-0.8189,58,-0.5376,67,-0.3893,156,1.07403,133,0.79656,156,1.06745
ENSG00000169760,NLGN1,37,-0.1319,20,-1.1421,79,1.13178,24,-0.9817,30,-0.4359,63,0.74147,80,1.16544
ENSG00000177565,TBL1XR1,76,-0.8371,108,-0.3279,156,0.29130,115,-0.2480,133,0.03379,187,0.59043,189,0.61052
ENSG00000172667,ZMAT3,69,-1.4033,177,0.04609,236,0.50818,161,-0.1402,200,0.24169,182,0.08226,201,0.24986
ENSG00000121879,PIK3CA,33,-0.8715,37,-0.7385,94,0.80973,53,-0.1455,66,0.22008,60,0.05935,87,0.68790
ENSG00000121864,ZNF639,14,-0.9426,20,-0.5014,31,0.27174,34,0.57276,23,-0.2051,18,-0.5555,34,0.42099
ENSG00000171109,MFN1,19,-0.4265,15,-0.8550,18,-0.4742,23,-0.1824,29,0.23712,41,0.81870,44,0.92653
ENSG00000114450,GNB4,45,0.84907,35,0.45261,25,-0.0998,16,-1.0044,20,-0.4437,42,0.70236,21,-0.3591
ENSG00000136522,MRPL47,17,-1.0023,19,-0.9038,28,-0.2909,43,0.53462,63,1.06971,27,-0.3132,31,-0.1312
ENSG00000136521,NDUFB5,48,-1.1112,66,-0.6931,104,0.08192,121,0.42377,143,0.60289,75,-0.4408,126,0.38684
ENSG00000058056,USP13,10,-0.7971,15,-0.2576,18,0.08652,16,-0.0951,19,0.14327,22,0.37031,24,0.55351
ENSG00000114757,PEX5L,115,-0.6820,152,-0.2835,181,0.03028,126,-0.6648,276,0.72373,297,0.84904,229,0.40591
ENSG00000163728,TTC14,181,0.93004,46,-1.3395,87,-0.2748,71,-0.7133,47,-1.2091,310,1.94388,102,-0.0206
ENSG00000114416,FXR1,229,0.86371,104,-0.4679,239,0.94198,93,-0.7341,95,-0.5620,162,0.28475,148,0.13510
ENSG00000205981,DNAJC19,23,-1.2736,36,-0.6430,43,-0.3082,73,0.73295,45,-0.2392,33,-0.7216,90,0.88813
ENSG00000242808,SOX2-OT,1051,4.03095,101,-0.8139,87,-0.9658,66,-1.6274,44,-1.9853,18,-3.2541,26,-2.7613
ENSG00000181449,SOX2,475,1.53100,147,-0.4952,339,0.91902,216,0.21159,70,-1.5751,79,-1.3884,47,-2.1539
ENSG00000058063,ATP11B,22,0.79544,3,-2.2742,14,0.10910,16,0.31500,15,0.18728,22,0.76786,8,-0.7240
ENSG00000043093,DCUN1D1,72,0.60997,25,-1.1612,56,0.18128,48,-0.0722,53,0.11414,53,0.10023,69,0.54150
ENSG00000078070,MCCC1,16,-0.4184,14,-0.7015,17,-0.3853,28,0.58587,26,0.34106,23,0.13600,19,-0.2041
ENSG00000053524,MCF2L2,39,0.60837,29,0.16176,56,1.21393,19,-0.6125,10,-1.5168,33,0.30943,14,-0.9515
ENSG00000114796,KLHL24,55,-0.0729,61,0.11204,69,0.30057,46,-0.4139,65,0.20842,70,0.32062,53,-0.1269
ENSG00000163872,YEATS2,25,-1.0344,35,-0.5699,29,-0.7927,63,0.56849,52,0.10982,63,0.43289,57,0.26868
ENSG00000180834,MAP6D1,58,1.02052,19,-0.8094,14,-1.2536,37,0.36180,18,-0.8284,19,-0.7914,54,0.90612
ENSG00000175193,PARL,24,-0.5965,34,-0.0801,29,-0.3187,43,0.41166,46,0.43920,19,-0.9210,39,0.13946
ENSG00000114770,ABCC5,16,-1.8776,33,-0.8667,31,-0.8872,58,0.10357,99,0.95613,103,1.02948,64,0.23874
ENSG00000145191,EIF2B5,29,-0.1962,21,-0.7297,14,-1.3314,44,0.61188,49,0.62991,34,0.03239,31,-0.1023
ENSG00000161202,DVL3,20,-0.9629,31,-0.3509,39,0.03708,48,0.50160,23,-0.7748,35,-0.1169,56,0.64805
ENSG00000161203,AP2M1,82,-2.3658,306,-0.4249,173,-1.2520,507,0.57700,652,0.85558,356,-0.1425,501,0.40823
ENSG00000161204,ABCF3,9,-1.3050,11,-1.0761,8,-1.4844,32,0.95998,28,0.51670,30,0.63036,15,-0.4712
ENSG00000145198,VWA5B2,14,-0.6052,21,0.00500,6,-1.8088,23,0.19580,30,0.61031,39,1.07039,7,-1.5248
ENSG00000163888,CAMK2N2,12,-1.9573,62,0.59972,24,-0.9618,62,0.70680,44,-0.0557,28,-0.7370,33,-0.5010
ENSG00000175166,PSMD2,54,-1.1906,100,-0.2558,127,0.14752,122,0.10803,159,0.51243,120,0.05547,133,0.21997
ENSG00000114867,EIF4G1,130,0.63261,67,-0.4809,117,0.45775,79,-0.2210,79,-0.1648,104,0.26539,81,-0.1347
ENSG00000175182,FAM131A,13,-3.5873,88,-0.8292,51,-1.5774,192,0.67123,178,0.36541,201,0.56765,227,0.77062
ENSG00000163882,POLR2H,14,-1.4512,23,-0.7724,19,-0.9924,47,0.59698,57,0.75059,42,0.24064,41,0.20523
ENSG00000090539,CHRD,3,-3.0287,19,-0.6475,12,-1.2595,45,1.09743,36,0.40169,25,-0.1516,30,0.11351
ENSG00000177383,MAGEF1,21,-1.1958,30,-0.7404,27,-0.8659,58,0.47027,35,-0.4633,38,-0.3157,111,1.48349
ENSG00000156931,VPS8,18,-0.8393,20,-0.7472,18,-0.8616,36,0.24900,39,0.33812,35,0.16678,59,1.00933
ENSG00000187068,C3orf70,36,0.50014,25,-0.0634,18,-0.5556,38,0.85069,7,-1.9111,7,-1.9822,29,0.13684
ENSG00000073803,MAP3K13,96,-0.0427,97,-0.0354,132,0.47002,106,0.14376,78,-0.3670,62,-0.7407,109,0.15605
ENSG00000163900,TMEM41A,6,-1.4552,13,-0.4667,8,-1.0761,25,0.81234,15,-0.2690,11,-0.7650,32,1.00761
ENSG00000163904,SENP2,60,0.07569,32,-0.9638,71,0.33472,56,-0.0363,57,-0.0101,72,0.36440,80,0.54404
ENSG00000136527,TRA2B,120,0.60302,54,-0.7220,42,-1.0520,68,-0.3755,80,-0.0506,105,0.39182,166,1.17618
ENSG00000244405,ETV5,23,-1.6492,53,-0.4513,37,-0.9547,76,0.22425,116,0.86830,94,0.51402,81,0.26512
ENSG00000058866,DGKG,52,0.81863,17,-1.0267,21,-0.6168,28,-0.2370,23,-0.4653,68,1.29731,33,0.05746
ENSG00000090520,DNAJB11,18,-0.3756,16,-0.6506,16,-0.5311,31,0.66868,25,0.11227,26,0.21222,20,-0.2423
ENSG00000156976,EIF4A2,140,-2.2432,396,-0.7544,460,-0.4553,732,0.38027,947,0.71570,577,-0.0989,1023,0.84779
ENSG00000073849,ST6GAL1,30,0.48288,22,-0.0163,11,-0.9909,16,-0.5998,36,0.80488,13,-0.7550,38,0.87908
ENSG00000157005,SST,11,-1.6467,58,1.19799,10,-1.6806,36,0.27406,31,-0.0520,25,-0.3510,15,-1.0943
ENSG00000113916,BCL6,36,-0.4451,38,-0.3784,49,0.03414,64,0.66457,39,-0.3026,44,-0.1352,39,-0.3137
ENSG00000145012,LPP,96,0.81106,83,0.64379,96,0.80609,51,-0.2951,16,-1.9295,38,-0.6781,24,-1.3719
ENSG00000152492,CCDC50,111,1.48664,43,-0.1407,93,1.14648,31,-0.7464,28,-0.8114,22,-1.1568,32,-0.5661
ENSG00000114279,FGF12,88,-1.7933,168,-0.9028,603,1.27320,267,-0.1265,269,-0.0902,414,0.61724,334,0.25760
ENSG00000127249,ATP13A4,46,0.51710,20,-0.8211,47,0.55812,52,1.01465,25,-0.4267,12,-1.5898,7,-2.2881
ENSG00000198836,OPA1,57,-1.2428,99,-0.4651,127,-0.0245,134,0.08641,206,0.77544,153,0.27708,144,0.18512
ENSG00000114315,HES1,39,-0.2901,29,-0.8154,74,0.77146,74,1.09279,21,-1.2052,34,-0.4778,16,-1.5952
ENSG00000133657,ATP13A3,43,0.24587,27,-0.4973,38,0.08020,30,-0.4126,36,-0.0115,44,0.31638,60,0.81627
ENSG00000041802,LSG1,19,-0.2302,8,-1.5766,54,1.48385,15,-0.7304,33,0.59004,27,0.27785,30,0.44971
ENSG00000114331,ACAP2,157,1.40555,31,-1.3430,109,0.75493,61,-0.2486,31,-1.1998,104,0.67866,43,-0.7307
ENSG00000184203,PPP1R2,38,-0.9126,47,-0.6261,62,-0.1405,74,0.17588,88,0.42289,80,0.25282,96,0.55747
ENSG00000189058,APOD,615,2.18433,185,0.01650,83,-1.2120,149,-0.4053,74,-1.3931,57,-1.7746,183,0.00500
ENSG00000176945,MUC20,19,0.68941,3,-2.1970,6,-1.0167,13,0.11392,14,0.17683,30,1.41371,11,-0.2133
ENSG00000061938,TNK2,21,-1.9720,108,0.59232,55,-0.5585,97,0.46679,93,0.27503,61,-0.4035,47,-0.7847
ENSG00000072274,TFRC,20,-1.3099,35,-0.4963,37,-0.3528,52,0.23961,85,1.00907,37,-0.3516,59,0.39750
ENSG00000161217,PCYT1A,45,0.45048,30,-0.2113,51,0.66339,29,-0.3387,35,0.03709,51,0.64126,13,-1.4996
ENSG00000213123,TCTEX1D2,6,-2.3060,16,-1.0028,25,-0.2261,49,1.19300,21,-0.5349,20,-0.5822,43,0.61172
ENSG00000163960,UBXN7,89,0.88565,51,-0.0441,64,0.33360,30,-1.0005,46,-0.1750,75,0.60885,52,0.01277
ENSG00000163961,RNF168,114,0.86738,61,-0.1704,116,0.90994,46,-0.7410,42,-0.7259,86,0.40164,55,-0.3158
ENSG00000174013,FBXO45,33,-0.4555,31,-0.6027,50,0.20725,42,-0.0861,44,-0.0055,51,0.25040,73,0.84087
ENSG00000163964,PIGX,49,-0.6669,62,-0.3304,91,0.29817,72,-0.0900,87,0.23179,104,0.52288,82,0.12992
ENSG00000174007,CEP19,12,-0.4770,13,-0.2839,21,0.41607,11,-0.6240,16,-0.0051,20,0.37111,30,1.01821
ENSG00000180370,PAK2,171,1.76724,38,-0.8366,113,1.00110,41,-0.7901,40,-0.6723,46,-0.4566,51,-0.3118
ENSG00000119231,SENP5,42,-0.5802,50,-0.3219,76,0.36242,56,-0.1491,69,0.21415,94,0.72886,55,-0.1550
ENSG00000114503,NCBP2,42,-0.4117,44,-0.3517,77,0.56973,55,0.01241,57,0.06906,49,-0.1647,66,0.31099
ENSG00000270170,NCBP2AS2,1,-4.7579,23,-0.5881,17,-1.0270,48,0.85091,36,0.14105,23,-0.5144,61,1.02412
ENSG00000119227,PIGZ,5,-1.3160,10,-0.2812,2,-2.2520,13,0.10945,32,1.62221,13,0.11834,10,-0.2546
ENSG00000075711,DLG1,261,1.24041,96,-0.4592,103,-0.3036,83,-0.7874,113,-0.1663,164,0.43403,171,0.50380
ENSG00000161267,BDH1,8,-2.0708,20,-0.7924,23,-0.4897,40,0.49024,33,0.07211,46,0.61496,47,0.65580
ENSG00000145016,RUBCN,43,-0.0909,43,-0.1270,39,-0.2450,38,-0.3942,66,0.58657,54,0.25060,59,0.40033
ENSG00000122068,FYTTD1,47,-0.0603,21,-1.3825,85,0.92310,40,-0.3766,37,-0.4395,66,0.51182,88,0.99722
ENSG00000186001,LRCH3,41,0.53773,31,0.09230,30,0.05863,22,-0.5591,20,-0.6164,44,0.66526,31,0.06672
ENSG00000182899,RPL35A,411,-0.1172,452,0.03767,423,-0.0715,663,0.92814,161,-1.5567,155,-1.6093,383,-0.2302
ENSG00000185621,LMLN,22,0.31591,13,-0.4801,18,-0.0159,7,-1.6463,20,0.16289,38,1.23953,34,1.06494
ENSG00000131127,ZNF141,29,0.96151,13,-0.3593,13,-0.3190,14,-0.2609,12,-0.4750,20,0.34420,19,0.24222
ENSG00000182903,ZNF721,53,-0.1666,34,-0.9170,57,-0.0627,51,-0.2877,49,-0.2934,104,0.93734,106,0.96695
ENSG00000174227,PIGG,20,-0.0806,9,-1.3405,12,-0.8645,27,0.52588,21,-0.0010,30,0.54045,29,0.51361
ENSG00000273238,TMEM271,7,-2.8540,42,-0.2703,20,-1.3375,69,0.78956,40,-0.2958,47,-0.0468,81,0.83472
ENSG00000169020,ATP5ME,467,0.04340,369,-0.3693,368,-0.3364,695,0.98239,311,-0.5982,243,-0.9755,336,-0.4783
ENSG00000185619,PCGF3,15,-1.3238,34,-0.1427,18,-1.1290,48,0.58747,39,0.08157,37,-0.0062,47,0.40146
ENSG00000168993,CPLX1,22,-2.8158,169,0.26234,111,-0.4334,146,-0.0034,409,1.79298,97,-0.6403,49,-1.6705
ENSG00000178950,GAK,23,-1.1509,51,0.09687,24,-1.0953,60,0.46312,75,0.73171,44,-0.1384,35,-0.4942
ENSG00000127419,TMEM175,5,-2.1865,16,-0.4075,9,-1.2382,27,0.62102,30,0.60859,30,0.58283,18,-0.2074
ENSG00000145214,DGKQ,0,-6.6561,9,-0.5399,3,-1.9865,15,0.46669,29,1.40395,22,0.90205,6,-0.9667
ENSG00000127418,FGFRL1,16,0.14656,17,0.31510,6,-1.3452,25,1.32457,9,-0.6521,3,-2.1117,0,-5.4449
ENSG00000159692,CTBP1,44,-1.7968,147,0.06008,101,-0.5426,170,0.38512,231,0.79827,128,-0.1626,114,-0.3477
ENSG00000090316,MAEA,13,-1.9344,26,-1.0057,19,-1.3795,49,0.09711,125,1.68366,56,0.27701,59,0.34999
ENSG00000163950,SLBP,20,-1.7572,34,-1.1033,57,-0.2032,65,0.00712,102,0.74313,78,0.29314,129,1.15405
ENSG00000168936,TMEM129,19,0.24660,15,-0.1496,7,-1.2767,21,0.59711,18,0.15932,8,-1.0379,16,0.01163
ENSG00000068078,FGFR3,84,-0.6071,137,0.17874,101,-0.3221,207,1.21079,89,-0.5205,56,-1.2392,18,-2.8666
ENSG00000168924,LETM1,26,-0.7677,41,-0.0382,26,-0.7634,41,-0.0263,61,0.60711,51,0.30106,51,0.29777
ENSG00000109685,NSD2,90,0.23348,46,-0.8759,151,1.10894,60,-0.5161,70,-0.1737,104,0.47726,91,0.25472
ENSG00000185049,NELFA,7,-1.3555,16,-0.1386,5,-1.9435,26,0.84721,15,-0.2362,22,0.34716,18,-0.0022
ENSG00000243449,C4orf48,285,0.12673,215,-0.3565,150,-0.8803,383,0.85234,226,-0.2439,115,-1.2811,279,0.09075
ENSG00000185818,NAT8L,75,-1.5371,226,0.17230,156,-0.4369,238,0.31722,373,0.99415,145,-0.5482,139,-0.6170
ENSG00000123933,MXD4,45,0.24808,57,0.72382,34,-0.2157,39,0.04021,20,-0.9920,29,-0.4601,27,-0.5541
ENSG00000159733,ZFYVE28,9,-1.6138,22,-0.2563,30,0.29374,23,-0.2049,25,-0.0469,44,0.92299,33,0.42565
ENSG00000063978,RNF4,14,-1.4204,28,-0.4358,19,-1.0247,48,0.59838,56,0.68912,27,-0.4919,49,0.47409
ENSG00000125386,FAM193A,67,1.08281,29,-0.3001,52,0.62906,23,-0.8117,16,-1.1962,61,0.92333,27,-0.4026
ENSG00000087266,SH3BP2,11,-0.1765,16,0.35208,12,-0.0975,17,0.52950,12,-0.1071,9,-0.5024,3,-2.0531
ENSG00000087274,ADD1,161,-0.4914,199,-0.1782,183,-0.2868,242,0.20472,256,0.24429,203,-0.1231,270,0.33356
ENSG00000109736,MFSD10,16,-0.5340,13,-0.9373,5,-2.1756,26,0.31826,34,0.70443,40,0.97400,24,0.13212
ENSG00000087269,NOP14,69,1.85749,21,-0.2262,25,0.05120,13,-1.1635,22,-0.1131,25,0.06119,18,-0.4344
ENSG00000125388,GRK4,35,0.61153,25,0.06114,43,0.95075,15,-0.8526,15,-0.7366,30,0.37008,22,-0.1449
