Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000164032,H2AFZ,34,-1.8005,71,-0.7518,66,-0.7966,138,0.35756,173,0.86704,81,-0.4978,73,-0.6396,224,1.19131
ENSG00000138814,PPP3CA,219,-2.5208,991,-0.2730,1406,0.31702,916,-0.3688,1150,-0.0095,973,-0.2738,1771,0.70340,1994,0.90721
ENSG00000109332,UBE2D3,87,-0.8837,122,-0.4024,133,-0.2235,180,0.26520,166,0.14750,176,0.22585,175,0.21985,204,0.46545
ENSG00000145354,CISD2,30,-0.9270,41,-0.4797,43,-0.3558,56,0.05449,69,0.42453,80,0.63171,71,0.43205,44,-0.3349
ENSG00000164038,SLC9B2,17,-0.5493,12,-1.0743,32,0.46908,20,-0.2614,27,0.21706,25,0.07781,29,0.32433,36,0.70026
ENSG00000164039,BDH2,34,0.03567,29,-0.2624,31,-0.1135,105,2.00703,26,-0.4388,19,-0.8589,9,-2.0331,28,-0.2855
ENSG00000168772,CXXC4,46,0.29553,33,-0.2468,51,0.45119,10,-2.0393,17,-1.3586,82,1.27588,58,0.66041,38,-0.0395
ENSG00000168769,TET2,66,1.73372,11,-1.2333,28,0.24603,30,0.36584,15,-0.8454,15,-0.7088,32,0.46603,18,-0.4854
ENSG00000138777,PPA2,24,-0.6924,17,-1.2696,51,0.51737,46,0.34117,38,0.04183,62,0.82975,30,-0.3268,48,0.42917
ENSG00000145348,TBCK,16,-0.4633,11,-1.2047,34,0.67295,29,0.39934,13,-0.8698,22,0.01442,56,1.56655,18,-0.3456
ENSG00000164022,AIMP1,152,1.74096,46,-0.3294,82,0.63225,34,-0.7642,17,-1.9036,43,-0.4118,74,0.45013,47,-0.2880
ENSG00000138801,PAPSS1,46,-0.7144,36,-1.1822,34,-1.1671,63,-0.2478,77,0.09286,159,1.30928,96,0.44616,108,0.63037
ENSG00000245293,AC096564.1,330,4.54834,28,-0.8137,14,-1.7682,10,-2.2412,6,-3.1924,19,-1.3385,6,-2.9141,7,-2.8195
ENSG00000138796,HADH,12,-1.1280,19,-0.5762,34,0.40062,60,1.37737,26,-0.0233,22,-0.2932,17,-0.6756,29,0.16117
ENSG00000109475,RPL34,1489,0.58880,1272,0.37275,979,-0.0967,1048,0.01235,1363,0.50586,388,-1.5177,390,-1.5096,837,-0.3443
ENSG00000198856,OSTC,16,-0.3320,10,-1.0921,14,-0.4638,26,0.48493,25,0.47034,20,0.04841,18,-0.1126,30,0.68199
ENSG00000164089,ETNPPL,125,0.02683,74,-0.8624,163,0.46600,575,2.98653,50,-1.4971,42,-1.6470,47,-1.4816,27,-2.2893
ENSG00000138802,SEC24B,20,-0.5135,22,-0.3523,15,-0.9090,33,0.29808,35,0.42728,25,-0.1432,40,0.59448,28,0.02067
ENSG00000123739,PLA2G12A,105,0.96155,50,-0.2789,95,0.78710,35,-0.8023,37,-0.7674,62,0.07484,46,-0.3781,70,0.28042
ENSG00000109534,GAR1,13,-0.3790,11,-0.7224,16,-0.0542,19,0.24371,21,0.45987,10,-0.7162,13,-0.4104,30,0.98627
ENSG00000170522,ELOVL6,17,-0.9658,17,-1.0733,37,0.19532,38,0.25265,25,-0.4422,52,0.78798,44,0.48921,52,0.76608
ENSG00000138660,AP1AR,15,-1.5703,37,-0.2491,37,-0.2139,29,-0.5916,43,0.01575,68,0.77183,57,0.48672,59,0.52832
ENSG00000174720,LARP7,292,1.17179,138,-0.0974,267,1.00968,107,-0.4908,76,-1.0967,55,-1.4934,193,0.45543,116,-0.3644
ENSG00000145362,ANK2,477,-0.8172,527,-0.7272,1759,1.33359,504,-0.7330,584,-0.5554,827,0.04609,1242,0.71693,1008,0.36689
ENSG00000145349,CAMK2D,60,-0.6379,61,-0.6513,76,-0.2581,29,-1.6914,50,-0.9984,238,1.69970,147,0.81324,124,0.52694
ENSG00000228358,LINC02263,2,-3.6851,13,-1.2862,39,0.45693,25,-0.2809,50,1.02967,0,-6.7313,27,-0.1514,75,1.60365
ENSG00000164100,NDST3,1,-4.5776,14,-1.4510,38,0.20641,41,0.34766,36,0.12474,38,0.19845,41,0.33932,75,1.37373
ENSG00000269893,SNHG8,67,0.30043,51,-0.1604,47,-0.2779,75,0.46301,70,0.42220,33,-0.8005,28,-1.0777,67,0.28403
ENSG00000145388,METTL14,44,0.81402,19,-0.5901,37,0.55234,18,-0.5989,22,-0.3581,18,-0.6023,28,0.07805,40,0.65984
ENSG00000150961,SEC24D,4,-1.5615,7,-0.9802,2,-2.6200,2,-2.6331,14,0.10599,17,0.36269,37,1.74966,28,1.23107
ENSG00000172403,SYNPO2,115,1.34654,53,0.03794,35,-0.6316,18,-1.6357,31,-0.8862,42,-0.3254,78,0.65691,65,0.35393
ENSG00000145390,USP53,53,0.83001,27,-0.2476,60,1.07522,49,0.72562,10,-1.8681,9,-1.8333,54,0.88345,16,-1.0253
ENSG00000164096,C4orf3,293,0.81445,170,-0.0991,161,-0.1701,178,-0.0135,189,0.09371,148,-0.2991,128,-0.5302,167,-0.1088
ENSG00000164111,ANXA5,86,1.51905,39,0.16533,30,-0.2834,57,0.79191,18,-1.1472,35,-0.0016,18,-1.0494,15,-1.3332
ENSG00000164112,TMEM155,6,-3.5238,39,-0.9358,37,-0.9425,45,-0.6537,90,0.50457,155,1.38990,91,0.47085,91,0.47102
ENSG00000123737,EXOSC9,21,-0.4768,19,-0.6655,31,0.17009,21,-0.4295,24,-0.2753,25,-0.1874,38,0.49765,59,1.23103
ENSG00000138686,BBS7,14,-1.3027,21,-0.7594,27,-0.2998,18,-0.8891,40,0.38559,67,1.19476,47,0.57260,32,-0.0311
ENSG00000138688,KIAA1109,323,0.77782,116,-0.9399,414,1.21627,186,-0.1301,90,-1.3516,163,-0.3320,321,0.76774,197,-0.0336
ENSG00000138685,FGF2,35,0.11346,49,0.76657,58,0.95267,79,1.50967,7,-2.3120,12,-1.4837,19,-0.8081,10,-1.7887
ENSG00000164056,SPRY1,3,-2.6360,9,-1.1585,23,0.27858,51,1.67972,29,0.73978,4,-2.1102,12,-0.7090,23,0.25659
ENSG00000151458,ANKRD50,16,-0.7322,14,-0.9662,29,0.18436,32,0.35194,27,0.09215,26,0.02548,40,0.70174,32,0.32916
ENSG00000164066,INTU,83,0.59914,38,-0.7058,83,0.58311,123,1.28243,37,-0.7725,20,-1.5969,71,0.34259,47,-0.3345
ENSG00000164070,HSPA4L,62,-0.9792,70,-0.8651,203,0.91890,93,-0.3516,78,-0.6905,208,0.96681,184,0.75584,119,0.02749
ENSG00000164073,MFSD8,15,-0.0982,10,-0.7929,12,-0.4612,15,-0.0846,20,0.41943,11,-0.5945,19,0.24814,28,0.92951
ENSG00000164074,ABHD18,25,0.56435,23,0.46182,12,-0.5723,11,-0.7555,14,-0.3679,20,0.22290,23,0.39340,12,-0.6286
ENSG00000138709,LARP1B,87,0.42535,49,-0.5346,115,0.89438,41,-0.7730,42,-0.7711,32,-1.1274,123,1.01510,88,0.44272
ENSG00000164040,PGRMC2,38,-0.8747,48,-0.5556,46,-0.5680,87,0.43622,90,0.56437,81,0.32996,57,-0.2490,79,0.28370
ENSG00000077684,JADE1,33,-0.8173,45,-0.3791,62,0.14155,65,0.21775,64,0.22785,72,0.40223,63,0.18437,50,-0.1814
ENSG00000151466,SCLT1,200,1.97865,64,-0.0340,124,1.06213,29,-1.2316,12,-2.7263,24,-1.5250,104,0.75421,22,-1.6451
ENSG00000250241,AC105383.1,34,1.19987,16,-0.0574,25,0.65706,14,-0.2704,7,-1.4205,15,-0.1095,20,0.31310,11,-0.5745
ENSG00000138650,PCDH10,170,-0.0641,165,-0.1282,276,0.73493,114,-0.6868,108,-0.8494,179,0.02303,291,0.82545,193,0.14397
ENSG00000151012,SLC7A11,89,0.17555,99,0.38477,112,0.54874,206,1.63096,36,-1.3250,43,-0.9651,43,-0.9568,38,-1.1445
ENSG00000251372,LINC00499,0,-5.9917,8,-0.8680,33,1.52495,57,2.72403,6,-1.1671,1,-3.8409,11,-0.2560,2,-2.5071
ENSG00000109381,ELF2,74,1.34821,24,-0.5455,57,0.90433,33,-0.0101,26,-0.3978,14,-1.3267,34,0.04326,19,-0.8757
ENSG00000109390,NDUFC1,34,-2.1999,121,-0.3426,141,-0.0729,267,0.99153,216,0.73378,82,-0.9082,81,-0.9233,192,0.43148
ENSG00000164134,NAA15,135,0.87765,47,-0.9037,127,0.77446,75,-0.0955,56,-0.6135,69,-0.2292,133,0.85285,51,-0.6879
ENSG00000273247,AC097376.3,46,2.10119,6,-1.3037,19,0.49426,16,0.22891,3,-2.1008,6,-1.1265,28,1.12899,5,-1.5867
ENSG00000145391,SETD7,66,0.89470,40,0.07238,22,-0.8143,32,-0.2962,38,-0.0079,33,-0.2069,20,-0.9762,53,0.52499
ENSG00000153130,SCOC,110,-1.0261,152,-0.5855,119,-0.9111,210,-0.0269,277,0.48899,347,0.80739,212,-0.0107,276,0.42074
ENSG00000153132,CLGN,6,-1.2833,3,-2.3452,32,1.35477,8,-0.7707,10,-0.5413,22,0.70757,29,1.17394,18,0.38081
ENSG00000109436,TBC1D9,9,-2.8815,38,-0.8374,49,-0.3780,69,0.16364,86,0.62957,111,0.97259,53,-0.2492,80,0.42181
ENSG00000170153,RNF150,23,-1.3361,41,-0.4651,54,0.00017,55,0.02506,52,-0.0649,46,-0.2571,87,0.78098,89,0.82708
ENSG00000109445,ZNF330,23,0.07888,20,-0.1755,21,-0.0935,29,0.46739,14,-0.7073,36,0.78047,21,-0.0991,22,-0.0125
ENSG00000109452,INPP4B,13,-0.4437,22,0.48005,24,0.51417,11,-0.7001,10,-0.8023,16,-0.1159,31,0.97513,11,-0.6221
ENSG00000170185,USP38,21,0.30353,15,-0.2950,14,-0.3803,27,0.70692,22,0.39897,9,-1.0387,9,-1.0449,22,0.39704
ENSG00000109458,GAB1,96,2.13141,20,-0.6177,20,-0.6001,40,0.50499,19,-0.7037,12,-1.3792,21,-0.4896,23,-0.3416
ENSG00000153147,SMARCA5,478,1.51094,114,-0.9399,368,1.03373,130,-0.6676,96,-1.2116,113,-0.8720,222,0.18097,252,0.38845
ENSG00000164163,ABCE1,39,-0.2569,24,-1.0545,41,-0.1566,61,0.48041,54,0.30109,36,-0.3525,52,0.22572,70,0.69117
ENSG00000164164,OTUD4,56,0.76768,22,-0.7871,29,-0.3273,25,-0.5354,32,-0.1538,40,0.19771,62,0.92679,32,-0.1515
ENSG00000170365,SMAD1,47,0.59175,28,-0.2850,34,0.07460,37,0.20919,21,-0.7448,31,-0.1089,42,0.39683,38,0.25263
ENSG00000151612,ZNF827,50,-0.0727,42,-0.3868,57,0.12379,58,0.15695,40,-0.4605,35,-0.6112,72,0.50440,89,0.86198
ENSG00000164167,LSM6,4,-2.1655,15,-0.3863,15,-0.3422,30,0.78836,22,0.33012,7,-1.4863,19,0.02865,37,1.12087
ENSG00000164168,TMEM184C,28,0.44441,8,-1.5623,50,1.49440,19,-0.1626,13,-0.7398,23,0.14440,27,0.44235,19,-0.1479
ENSG00000071205,ARHGAP10,46,1.22841,15,-0.6566,67,1.95298,17,-0.3817,13,-0.8698,5,-2.0507,12,-0.9745,17,-0.4091
ENSG00000151623,NR3C2,12,-1.2155,28,0.01919,17,-0.7096,46,0.82354,34,0.36296,33,0.28791,21,-0.4079,23,-0.2724
ENSG00000170390,DCLK2,45,-0.3621,47,-0.3600,27,-1.1380,87,0.69248,75,0.51471,59,0.04616,60,0.08036,49,-0.2418
ENSG00000198589,LRBA,31,1.00489,16,-0.0092,18,0.14540,12,-0.5292,11,-0.6209,10,-0.7603,26,0.71531,14,-0.3129
ENSG00000145425,RPS3A,630,0.49082,554,0.31562,398,-0.2531,518,0.16870,623,0.54306,180,-1.4631,151,-1.7307,435,-0.1125
ENSG00000059691,GATB,12,-1.8048,25,-0.8742,24,-0.8546,51,0.34297,64,0.82335,39,-0.0921,24,-0.8549,87,1.24782
ENSG00000109670,FBXW7,466,-0.5076,500,-0.4397,738,0.22403,286,-1.2542,576,-0.1934,893,0.53888,1115,0.91777,775,0.30393
ENSG00000164144,ARFIP1,15,-0.1726,13,-0.3606,14,-0.2110,29,0.89017,13,-0.3920,17,-0.0043,13,-0.3976,25,0.68329
ENSG00000109654,TRIM2,641,1.06754,261,-0.4584,402,0.27572,176,-1.0229,241,-0.5943,400,0.26791,443,0.43414,326,-0.0622
ENSG00000145428,RNF175,3,-3.3824,16,-1.1345,8,-2.1405,22,-0.6047,56,1.07143,52,0.75538,44,0.47864,52,0.75737
ENSG00000171566,PLRG1,33,-0.1097,28,-0.4174,35,-0.0251,46,0.43493,38,0.11540,29,-0.3061,39,0.14001,41,0.23011
ENSG00000164114,MAP9,149,-0.9365,184,-0.6719,536,1.14242,177,-0.6737,201,-0.5227,336,0.34271,470,0.90975,280,0.04745
ENSG00000164116,GUCY1A1,55,0.50482,34,-0.2999,61,0.67828,15,-1.4800,12,-1.9418,47,0.26055,63,0.74681,69,0.88270
ENSG00000260244,AC104083.1,13,-0.6770,22,0.17325,18,-0.1348,10,-0.9745,14,-0.5642,48,1.53159,21,0.12856,14,-0.4830
ENSG00000061918,GUCY1B1,36,-2.7050,145,-0.7132,205,-0.1060,188,-0.2414,218,-0.0113,423,1.10500,263,0.29665,350,0.77450
ENSG00000256043,CTSO,22,0.68221,10,-0.6207,13,-0.1134,36,1.57923,8,-0.9067,8,-0.9443,5,-1.4663,22,0.72917
ENSG00000109738,GLRB,19,-2.5286,57,-0.9828,44,-1.2872,74,-0.4903,138,0.57144,233,1.40957,120,0.26025,138,0.49944
ENSG00000120251,GRIA2,313,-0.8819,267,-1.2138,594,0.12284,541,-0.0266,460,-0.3165,392,-0.5357,1023,1.03878,1185,1.30450
ENSG00000164125,GASK1B,27,-0.8695,62,0.51733,36,-0.4093,86,0.99752,32,-0.6831,71,0.65863,45,-0.0805,19,-1.3654
ENSG00000164124,TMEM144,364,4.84941,17,-1.6842,3,-4.1387,6,-3.0190,10,-2.4149,17,-1.5831,9,-2.4555,21,-1.2188
ENSG00000171509,RXFP1,4,-2.3631,14,-0.8030,12,-0.9645,0,-5.0739,5,-2.2240,103,2.83355,58,1.58498,12,-0.9721
ENSG00000171503,ETFDH,27,0.57825,17,-0.2423,10,-0.9898,44,1.40884,10,-1.0423,18,-0.1086,21,0.16227,17,-0.1646
ENSG00000171497,PPID,14,-1.6994,27,-0.8045,34,-0.3543,37,-0.2353,42,-0.0621,80,1.01822,57,0.43971,73,0.85793
ENSG00000052795,FNIP2,62,-0.4496,59,-0.5931,80,-0.0563,63,-0.4408,91,0.16818,75,-0.1710,129,0.72895,121,0.61873
ENSG00000109756,RAPGEF2,111,-0.2575,87,-0.7010,193,0.63970,106,-0.3369,101,-0.4451,102,-0.3851,207,0.75798,211,0.79384
ENSG00000168843,FSTL5,6,-2.0086,20,-0.3161,36,0.66088,20,-0.2980,12,-1.1284,54,1.35291,35,0.58915,26,0.10441
ENSG00000164128,NPY1R,10,-1.2103,20,-0.1166,3,-2.9451,8,-1.4534,26,0.39018,27,0.36488,47,1.32252,27,0.35161
ENSG00000198498,TMA16,23,0.44601,13,-0.4782,37,1.21810,14,-0.3908,10,-0.9003,12,-0.5816,19,0.06806,25,0.56648
ENSG00000145416,MARCH1,84,1.37072,28,-0.4892,23,-0.7692,24,-0.6933,34,-0.1838,11,-1.8457,53,0.55974,56,0.65640
ENSG00000170088,TMEM192,36,0.06529,31,-0.1565,39,0.19955,41,0.28339,24,-0.6307,51,0.64822,36,0.08099,30,-0.2055
ENSG00000109466,KLHL2,96,0.05241,68,-0.5444,29,-1.7993,58,-0.7432,134,0.68888,86,-0.1263,94,0.01850,165,0.94659
ENSG00000052802,MSMO1,57,-0.4726,74,-0.0840,40,-1.0260,105,0.49293,57,-0.5237,168,1.30762,89,0.22245,54,-0.5737
ENSG00000109472,CPE,653,-1.0380,979,-0.4579,1430,0.18891,3623,1.84097,1079,-0.2908,1138,-0.1773,900,-0.5446,860,-0.6155
ENSG00000196104,SPOCK3,211,2.18255,48,-0.4641,23,-1.5526,50,-0.3602,66,0.10460,46,-0.4668,25,-1.3795,42,-0.6087
ENSG00000129116,PALLD,124,1.58261,43,-0.2354,82,0.82719,66,0.46408,35,-0.5945,19,-1.4245,29,-0.8214,18,-1.5474
ENSG00000145439,CBR4,16,-0.6836,14,-0.8907,28,0.22644,29,0.27342,20,-0.3832,48,1.11471,29,0.25751,27,0.16844
ENSG00000154447,SH3RF1,34,0.07529,34,0.08561,56,0.89778,29,-0.2046,25,-0.4308,46,0.56762,20,-0.7756,22,-0.6226
ENSG00000137601,NEK1,228,1.60162,85,-0.1044,160,0.94790,61,-0.6077,37,-1.4870,46,-1.0301,95,0.07520,69,-0.4252
ENSG00000109572,CLCN3,111,-0.2246,112,-0.2245,144,0.19414,102,-0.3601,106,-0.3253,177,0.52986,142,0.16814,165,0.41324
ENSG00000056050,HPF1,31,-0.6174,29,-0.7997,66,0.56706,38,-0.3097,49,0.08419,35,-0.4359,48,0.05670,91,1.11777
ENSG00000198948,MFAP3L,59,0.63229,21,-1.1014,38,-0.0877,98,1.54277,26,-0.7549,43,0.10701,32,-0.3681,38,-0.0930
ENSG00000109576,AADAT,11,-0.5687,5,-1.7452,14,-0.2262,51,1.97743,21,0.44094,11,-0.5959,12,-0.4579,12,-0.4945
ENSG00000109586,GALNT7,10,-0.5351,11,-0.4331,16,0.12977,27,0.96817,12,-0.3360,12,-0.3328,23,0.75185,12,-0.3225
ENSG00000164104,HMGB2,93,1.08164,37,-0.4486,91,1.05663,58,0.28073,26,-1.0141,20,-1.3767,36,-0.4665,59,0.32968
ENSG00000164105,SAP30,20,0.41834,3,-2.3704,21,0.49540,37,1.44759,15,-0.0799,16,0.01068,10,-0.7225,16,0.02481
ENSG00000164106,SCRG1,122,0.27184,85,-0.3460,123,0.28886,278,1.72925,101,-0.0303,46,-1.2237,20,-2.4279,68,-0.6453
ENSG00000145451,GLRA3,3,-3.5073,13,-1.4768,34,0.10852,27,-0.2692,54,1.01071,6,-2.4648,21,-0.6618,96,1.92121
ENSG00000150625,GPM6A,531,-1.8829,1615,-0.2095,1427,-0.3820,2330,0.40486,2258,0.40362,1683,-0.1226,2112,0.24318,2341,0.41248
ENSG00000150627,WDR17,20,-1.3029,29,-0.8612,35,-0.4882,57,0.28147,46,-0.0838,49,0.03441,71,0.62214,99,1.21001
ENSG00000129128,SPCS3,18,-1.5312,37,-0.5180,42,-0.2693,49,-0.0359,57,0.25726,75,0.66053,65,0.44234,61,0.31630
ENSG00000218336,TENM3,18,-1.2293,35,-0.1954,18,-1.1786,23,-0.8609,28,-0.5746,39,-0.0094,90,1.38361,81,1.19876
ENSG00000129187,DCTD,10,-1.8264,36,0.14530,24,-0.4781,27,-0.2770,56,1.03316,37,0.19427,21,-0.6861,26,-0.3672
ENSG00000151718,WWC2,39,1.05411,12,-0.8313,35,0.87286,13,-0.7136,6,-1.9903,10,-1.1253,40,1.12823,32,0.70930
ENSG00000168564,CDKN2AIP,16,0.09240,11,-0.5770,15,-0.0106,14,-0.1271,16,0.06373,20,0.41366,16,0.05375,18,0.28708
ENSG00000168556,ING2,34,0.28947,11,-1.6004,64,1.36069,29,0.01464,26,-0.1886,8,-1.8570,36,0.35752,42,0.63412
ENSG00000182552,RWDD4,11,-0.5403,17,0.04740,20,0.32849,22,0.47341,10,-0.7473,12,-0.4719,28,0.90569,15,-0.1409
ENSG00000168538,TRAPPC11,23,-0.5603,25,-0.5397,26,-0.3963,38,0.17900,49,0.72751,32,-0.0809,37,0.15577,32,-0.0711
ENSG00000173320,STOX2,99,-0.2024,83,-0.5237,140,0.35452,71,-0.7224,115,0.03963,137,0.32017,150,0.47014,131,0.24958
ENSG00000168310,IRF2,24,0.90171,8,-0.8045,32,1.45235,22,0.80126,3,-2.2587,6,-1.1687,13,-0.1009,16,0.25240
ENSG00000164305,CASP3,18,0.42491,8,-0.7694,13,-0.1072,25,0.98310,14,0.03218,12,-0.2384,15,0.19107,9,-0.6419
ENSG00000151726,ACSL1,36,1.01909,8,-1.4887,7,-1.5598,15,-0.4336,24,0.40753,34,0.91460,17,-0.1646,21,0.14905
ENSG00000151729,SLC25A4,55,-1.9481,135,-0.6677,159,-0.3479,217,0.14925,240,0.35275,309,0.73064,187,-0.0950,306,0.71391
ENSG00000164323,CFAP97,90,0.76086,40,-0.5872,107,1.05866,51,-0.1547,29,-1.1106,25,-1.2559,76,0.46802,79,0.53607
ENSG00000109762,SNX25,6,-1.6714,15,-0.5336,12,-0.7600,21,0.02665,22,0.17829,37,1.00770,30,0.66152,21,0.05021
ENSG00000186352,ANKRD37,5,-1.8570,10,-0.7868,8,-1.0558,34,1.20788,25,0.76148,10,-0.7808,14,-0.1883,23,0.56843
ENSG00000109775,UFSP2,11,-0.9038,17,-0.2221,16,-0.3406,40,1.17890,22,0.18913,15,-0.3775,17,-0.1954,19,-0.0529
ENSG00000154553,PDLIM3,35,1.25165,18,0.10941,16,-0.0890,35,1.26481,10,-0.7946,6,-1.3757,6,-1.4258,11,-0.6454
ENSG00000154556,SORBS2,67,-0.4935,97,0.11652,60,-0.6437,65,-0.5401,88,-0.0702,35,-1.4695,214,1.45805,102,0.17508
ENSG00000109794,FAM149A,12,-0.8534,27,0.43526,18,-0.2230,30,0.54410,22,0.03393,15,-0.5659,23,0.12552,17,-0.3269
ENSG00000145476,CYP4V2,27,0.56726,17,-0.1731,20,0.08323,78,2.60762,2,-2.9881,14,-0.4516,8,-1.1960,3,-2.7609
ENSG00000083857,FAT1,43,1.14935,21,0.01653,38,0.95976,34,0.77508,8,-1.6194,18,-0.2940,8,-1.4507,14,-0.6632
ENSG00000109536,FRG1,129,0.90580,47,-0.7850,138,1.02866,76,0.03287,48,-0.7468,43,-0.8598,93,0.35636,76,0.03572
ENSG00000164366,CCDC127,21,-0.3830,23,-0.2740,29,0.14603,36,0.51980,28,0.07891,18,-0.5997,25,-0.0575,34,0.42220
ENSG00000073578,SDHA,30,-1.7954,66,-0.6718,76,-0.3879,152,0.72633,115,0.29646,163,0.84331,60,-0.7525,134,0.51229
ENSG00000249915,PDCD6,37,-1.3906,56,-0.8664,33,-1.5862,142,0.70694,122,0.52494,141,0.69374,64,-0.5708,151,0.81013
ENSG00000180104,EXOC3,32,-0.6516,33,-0.6451,24,-1.0406,70,0.59725,54,0.21625,69,0.58570,39,-0.3320,74,0.68863
ENSG00000171368,TPPP,178,-0.6182,295,0.20444,137,-1.0152,184,-0.5681,321,0.36264,384,0.61597,267,0.01663,257,-0.0449
ENSG00000028310,BRD9,130,1.17042,42,-0.7467,76,0.25890,54,-0.2766,55,-0.2945,52,-0.3530,64,-0.0156,78,0.30275
ENSG00000049656,CLPTM1L,21,-1.4082,43,-0.3667,32,-0.7858,40,-0.4447,62,0.29568,79,0.65316,49,-0.1152,99,1.02896
ENSG00000153395,LPCAT1,13,-1.3776,24,-0.5042,13,-1.3688,44,0.50190,44,0.58511,48,0.64070,33,0.03099,35,0.14765
ENSG00000171421,MRPL36,12,-1.0664,12,-1.2137,20,-0.3545,53,1.27298,41,0.95680,22,-0.1723,4,-2.5275,31,0.36682
ENSG00000145494,NDUFS6,59,-0.7323,87,-0.1477,65,-0.5741,133,0.56640,146,0.83869,92,-0.0312,53,-0.9036,75,-0.3661
ENSG00000164151,ICE1,106,0.65371,46,-0.7446,103,0.59718,45,-0.7331,30,-1.4329,70,-0.0358,160,1.36766,78,0.14558
ENSG00000133398,MED10,25,-1.1085,33,-0.8048,49,-0.0879,46,-0.2150,60,0.26303,97,1.03733,51,-0.0439,68,0.42793
ENSG00000215218,UBE2QL1,12,-3.3990,94,-0.4648,61,-1.0704,88,-0.5212,131,0.13266,256,1.24989,142,0.24734,212,0.91738
ENSG00000037474,NSUN2,4,-1.8800,11,-0.4245,9,-0.7433,25,0.88705,7,-1.2767,17,0.27087,20,0.50556,35,1.45083
ENSG00000145545,SRD5A1,15,-0.9092,21,-0.5333,29,0.05877,23,-0.3165,20,-0.6011,76,1.72933,35,0.33257,22,-0.3983
ENSG00000112941,TENT4A,4,-2.9378,24,-0.3539,22,-0.4330,22,-0.4920,31,0.05340,49,0.83767,42,0.57978,47,0.76425
ENSG00000078295,ADCY2,86,-0.6561,134,0.04616,165,0.38501,136,0.06823,130,-0.0084,127,-0.0394,124,-0.0752,138,0.09197
ENSG00000124275,MTRR,22,0.39481,13,-0.4169,14,-0.2793,21,0.37391,17,0.03538,23,0.50789,9,-0.9952,19,0.18127
ENSG00000247516,MIR4458HG,38,0.39747,27,-0.1712,23,-0.3819,46,0.70998,43,0.70317,19,-0.7160,10,-1.6342,21,-0.5377
ENSG00000112902,SEMA5A,102,1.86473,42,0.34175,45,0.38756,28,-0.3309,18,-1.1129,7,-2.3824,21,-0.7908,27,-0.3848
ENSG00000150753,CCT5,27,-1.5743,44,-0.9118,54,-0.5193,67,-0.1802,102,0.55304,99,0.43912,70,-0.1124,146,1.10603
ENSG00000164237,CMBL,18,-1.3649,31,-0.6269,77,0.87823,70,0.70712,57,0.41375,27,-0.7801,31,-0.5693,52,0.23876
ENSG00000145495,MARCH6,126,-1.1955,189,-0.6429,267,-0.0371,277,0.01962,262,-0.0772,461,0.86424,324,0.27138,380,0.53568
ENSG00000164236,ANKRD33B,6,-2.8693,34,-0.5067,52,0.20150,44,-0.0720,40,-0.2403,63,0.50017,80,0.91721,66,0.58183
ENSG00000112977,DAP,14,-0.4448,25,0.52986,23,0.33113,17,-0.1463,24,0.44112,10,-0.9870,10,-0.8625,15,-0.3269
ENSG00000169862,CTNND2,404,0.18516,444,0.38789,402,0.17610,341,-0.0885,369,0.04386,232,-0.6914,307,-0.2553,291,-0.3387
ENSG00000038382,TRIO,31,-1.4151,64,-0.3408,43,-0.9217,66,-0.2652,101,0.47990,106,0.49678,120,0.71106,83,0.11129
ENSG00000154122,ANKH,60,-1.1149,110,-0.2087,90,-0.4995,148,0.28790,132,0.11042,173,0.54397,125,0.01576,159,0.40308
ENSG00000173545,ZNF622,27,0.25157,20,-0.3065,32,0.49680,13,-0.9124,32,0.59726,19,-0.3355,20,-0.2720,20,-0.2744
ENSG00000154153,RETREG1,142,0.57878,57,-0.9542,98,-0.0269,23,-2.1833,53,-1.0627,249,1.57553,182,1.00157,83,-0.2858
ENSG00000145555,MYO10,736,2.59929,189,0.05735,173,-0.0905,279,0.69460,57,-1.9104,59,-1.7291,43,-2.1991,47,-2.0656
ENSG00000176788,BASP1,277,-2.1477,935,-0.3437,1295,0.21161,641,-0.8924,1178,0.06518,1684,0.64699,1573,0.53294,1664,0.62695
ENSG00000215196,BASP1-AS1,18,-0.9045,25,-0.4522,51,0.73298,22,-0.6404,33,0.02779,14,-1.3074,60,1.02257,45,0.51265
ENSG00000271892,AC026790.1,2,-2.7261,10,-0.5488,19,0.56208,6,-1.0597,22,0.91939,31,1.40630,6,-1.1088,6,-1.1251
ENSG00000248455,LINC02217,8,-1.5874,20,-0.3340,15,-0.7173,13,-0.9918,35,0.70618,30,0.33494,37,0.68848,29,0.26972
ENSG00000145526,CDH18,7,-3.1758,32,-1.0109,63,0.12155,35,-0.7906,73,0.40903,68,0.24015,85,0.61576,116,1.15700
ENSG00000154162,CDH12,4,-1.9026,4,-2.1311,16,0.01664,10,-0.5922,13,-0.2570,3,-2.1188,41,1.65433,46,1.88090
