Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000071051,NCK2,10,-2.4533,19,-1.4879,44,-0.2612,70,0.45169,58,0.14774,38,-0.5171,46,-0.1963,64,0.31357,61,0.24930,90,0.99171
ENSG00000115652,UXS1,17,-1.0954,30,-0.2798,40,0.18864,20,-0.8885,41,0.23479,29,-0.3271,50,0.54722,48,0.45609,49,0.50348,37,0.05865
ENSG00000144057,ST6GAL2,11,-0.9486,22,0.09479,11,-0.9402,10,-1.0863,24,0.18619,24,0.25489,18,-0.2022,4,-2.4882,26,0.31717,38,1.11950
ENSG00000135968,GCC2,353,-0.8572,293,-1.1377,382,-0.7365,423,-0.5813,1517,1.50704,875,0.63401,438,-0.5265,622,0.01807,510,-0.2937,549,-0.1962
ENSG00000169756,LIMS1,44,1.10704,84,2.30936,15,-0.6195,8,-1.4185,18,-0.3007,18,-0.3831,9,-1.3324,10,-1.1221,9,-1.2517,16,-0.5057
ENSG00000153201,RANBP2,109,-0.5619,82,-0.9834,94,-0.7774,124,-0.3582,234,0.64813,207,0.50407,253,0.77475,198,0.37730,119,-0.4214,124,-0.3952
ENSG00000175701,MTLN,36,-1.7666,49,-1.2998,149,0.40167,205,0.91980,70,-0.7661,124,0.11524,137,0.25890,131,0.19160,112,-0.0556,127,0.16349
ENSG00000175772,LINC01106,0,-4.7534,3,-2.6500,16,-0.2118,18,-0.0998,16,-0.1983,19,0.03812,30,0.77193,25,0.46829,25,0.44744,26,0.58858
ENSG00000153107,ANAPC1,24,-0.4429,28,-0.2410,23,-0.5365,26,-0.3010,16,-1.0188,27,-0.2798,48,0.63493,51,0.73196,39,0.30343,38,0.30440
ENSG00000144161,ZC3H8,47,-0.3336,46,-0.3890,66,0.17485,28,-1.1041,83,0.54431,110,1.16657,99,0.83257,36,-0.7413,16,-1.9196,33,-0.9660
ENSG00000188177,ZC3H6,188,0.75347,199,0.84990,171,0.60115,57,-1.0979,184,0.72455,138,0.27904,95,-0.3244,39,-1.6720,76,-0.6678,62,-1.0343
ENSG00000114999,TTL,75,-0.4738,64,-0.7291,90,-0.1966,99,-0.0516,91,-0.1754,129,0.40713,144,0.54388,99,-0.0527,149,0.59789,79,-0.4235
ENSG00000125611,CHCHD5,24,0.02498,51,1.21110,43,0.91603,33,0.47231,22,-0.1487,15,-0.7215,12,-1.0558,20,-0.2532,22,-0.1463,16,-0.6883
ENSG00000144136,SLC20A1,42,-0.8094,53,-0.4526,39,-0.9117,63,-0.2014,59,-0.3007,75,0.08496,48,-0.6100,144,1.15086,93,0.42019,82,0.25488
ENSG00000144134,RABL2A,7,-1.0524,2,-2.9357,7,-1.1692,8,-1.0294,13,-0.2928,26,0.94000,30,1.05625,14,-0.1529,14,-0.1381,19,0.38874
ENSG00000115084,SLC35F5,31,0.43646,28,0.27509,13,-0.8611,9,-1.4129,14,-0.8459,23,-0.0855,32,0.46960,16,-0.6347,27,0.20292,35,0.67543
ENSG00000115091,ACTR3,116,0.13259,84,-0.3804,109,0.03745,119,0.17377,108,0.02279,67,-0.7635,111,0.05818,131,0.32863,100,-0.1054,134,0.40137
ENSG00000175497,DPP10,34,-1.4872,127,0.52056,62,-0.5884,46,-1.0546,125,0.50155,90,-0.0210,163,0.93665,69,-0.4366,98,0.10908,96,0.08641
ENSG00000235026,DPP10-AS1,0,-5.1398,3,-2.8911,28,0.48158,24,0.26959,13,-0.6248,31,0.78123,46,1.33534,25,0.30505,27,0.47849,7,-1.5859
ENSG00000088205,DDX18,164,0.52497,153,0.40832,89,-0.4349,44,-1.4903,146,0.33760,182,0.78796,113,-0.0743,66,-0.8833,82,-0.5585,98,-0.3211
ENSG00000125633,CCDC93,24,-0.1546,51,1.06821,12,-1.1204,6,-2.1011,32,0.32666,45,1.01616,20,-0.3763,13,-1.0057,20,-0.3763,22,-0.3096
ENSG00000125629,INSIG2,12,-1.6271,27,-0.4104,19,-0.8822,35,-0.0091,40,0.20912,36,0.07271,62,0.92442,45,0.40099,32,-0.1067,37,0.09968
ENSG00000144119,C1QL2,1,-3.3568,16,0.19408,43,1.89100,0,-4.7738,0,-7.8725,17,0.35270,74,3.09004,0,-8.5464,0,-8.0857,0,-7.9708
ENSG00000155368,DBI,301,1.05155,520,2.04788,316,1.13330,107,-0.5966,59,-1.4888,83,-1.0641,74,-1.1627,76,-1.1132,118,-0.4573,81,-1.1036
ENSG00000163075,CFAP221,10,-0.6784,1,-3.6744,12,-0.4079,11,-0.5438,23,0.66582,34,1.53895,17,0.20438,14,-0.1532,11,-0.4764,8,-0.9978
ENSG00000088179,PTPN4,25,-1.8551,53,-0.7544,78,-0.1484,83,-0.0644,100,0.23412,113,0.48124,109,0.38035,82,-0.0709,90,0.06931,94,0.14571
ENSG00000144118,RALB,55,-0.9991,78,-0.4772,140,0.43459,220,1.18403,106,-0.0111,119,0.18938,61,-0.8586,142,0.45287,116,0.13084,62,-0.8935
ENSG00000074054,CLASP1,63,-0.1636,52,-0.4712,66,-0.0972,41,-0.8290,63,-0.1668,78,0.18990,93,0.43763,93,0.45111,79,0.18055,68,-0.0475
ENSG00000155438,NIFK,59,0.71612,12,-1.7159,46,0.32808,24,-0.7074,49,0.41714,47,0.40016,54,0.58261,27,-0.5199,26,-0.5403,30,-0.3874
ENSG00000211460,TSN,65,-0.0162,35,-0.9699,60,-0.1442,49,-0.4486,56,-0.2478,53,-0.3658,84,0.39461,70,0.08950,90,0.49017,87,0.50491
ENSG00000136717,BIN1,436,1.77572,99,-0.6686,109,-0.5271,119,-0.3909,80,-0.9840,111,-0.5293,126,-0.2979,114,-0.4465,124,-0.3205,201,0.49136
ENSG00000163161,ERCC3,13,-1.0508,19,-0.5021,20,-0.4568,23,-0.2187,20,-0.4475,26,-0.0349,32,0.25825,19,-0.5482,36,0.47162,44,0.87750
ENSG00000169967,MAP3K2,100,1.00749,84,0.72251,28,-0.9644,25,-1.1584,60,0.18258,60,0.19822,60,0.17946,43,-0.3282,42,-0.3878,40,-0.4801
ENSG00000163166,IWS1,176,1.41589,114,0.67642,52,-0.5659,29,-1.4065,125,0.82507,73,-0.0329,64,-0.2497,50,-0.6240,36,-1.0908,52,-0.5936
ENSG00000136709,WDR33,46,-0.1028,54,0.13113,39,-0.3437,39,-0.3684,53,0.10633,48,-0.0487,54,0.13293,42,-0.2453,49,-0.0063,60,0.34647
ENSG00000144231,POLR2D,37,0.21258,29,-0.1530,49,0.66457,20,-0.6892,12,-1.4519,38,0.27770,44,0.50930,26,-0.3123,30,-0.1258,31,-0.0405
ENSG00000136715,SAP130,14,-0.6195,16,-0.4492,20,-0.0946,13,-0.6756,12,-0.7981,31,0.69081,24,0.22043,19,-0.1645,18,-0.2169,27,0.43065
ENSG00000136731,UGGT1,46,0.44871,29,-0.2906,26,-0.4492,28,-0.3195,40,0.19491,26,-0.4977,55,0.72306,25,-0.4989,31,-0.2067,44,0.39170
ENSG00000136720,HS6ST1,19,-2.2856,56,-0.6889,125,0.56645,76,-0.2290,60,-0.5738,130,0.71410,155,0.92365,99,0.19975,42,-1.1340,80,-0.1615
ENSG00000136699,SMPD4,49,0.47918,52,0.57716,23,-0.7080,41,0.18662,21,-0.8053,32,-0.2418,40,0.16083,33,-0.1668,44,0.31114,35,-0.0813
ENSG00000152082,MZT2B,333,-0.4476,382,-0.2363,669,0.65734,798,0.95106,224,-1.0517,434,-0.0409,433,-0.0422,376,-0.2615,473,0.09783,389,-0.2271
ENSG00000136710,CCDC115,33,-0.5139,22,-1.1223,35,-0.4276,54,0.24344,50,0.12187,45,-0.0324,28,-0.7347,76,0.80153,64,0.51015,51,0.16142
ENSG00000136718,IMP4,41,-0.4924,54,-0.0494,68,0.31509,110,1.09675,36,-0.6773,54,-0.0707,43,-0.4014,66,0.25107,52,-0.1210,47,-0.2821
ENSG00000072135,PTPN18,23,0.38924,26,0.55118,28,0.69974,32,0.91194,6,-1.5496,11,-0.7657,17,-0.1364,7,-1.3911,22,0.32282,17,-0.1360
ENSG00000178171,AMER3,9,-1.0664,1,-3.8931,20,0.21192,20,0.22420,16,-0.1420,17,-0.0950,35,1.08011,21,0.25190,17,-0.0751,20,0.21961
ENSG00000136002,ARHGEF4,54,-1.5557,168,0.17302,202,0.46936,204,0.49140,115,-0.4078,120,-0.3751,134,-0.1810,130,-0.2293,242,0.76700,157,0.07510
ENSG00000152102,FAM168B,96,-0.8563,76,-1.2123,136,-0.3302,170,0.02363,151,-0.1634,132,-0.4094,205,0.31705,215,0.39100,309,0.99243,197,0.27687
ENSG00000115762,PLEKHB2,178,-0.7839,139,-1.1575,222,-0.4515,346,0.24047,230,-0.3976,294,-0.0171,316,0.10044,417,0.54203,393,0.44799,367,0.37338
ENSG00000173272,MZT2A,108,-0.7772,168,-0.1022,306,0.86466,284,0.74056,99,-0.9040,147,-0.3315,185,0.05366,86,-1.1159,240,0.46922,189,0.09418
ENSG00000176771,NCKAP5,101,2.74943,67,1.89496,16,-0.4871,10,-1.2151,15,-0.5937,23,0.10329,1,-3.9157,2,-3.2263,3,-2.5833,0,-5.2777
ENSG00000152127,MGAT5,67,0.08931,76,0.27540,28,-1.2336,44,-0.5597,66,0.05007,46,-0.5502,41,-0.6767,115,0.95566,101,0.74085,67,0.09094
ENSG00000152128,TMEM163,2,-3.4838,14,-0.6663,11,-1.0452,33,0.62840,13,-0.7701,12,-0.9209,13,-0.7457,56,1.53961,27,0.31287,35,0.84476
ENSG00000082258,CCNT2,64,0.42516,21,-1.2607,23,-1.1160,21,-1.2654,79,0.77519,51,0.08418,59,0.29802,33,-0.5871,67,0.49582,58,0.29640
ENSG00000115839,RAB3GAP1,71,-0.6127,75,-0.5257,61,-0.8216,82,-0.3783,139,0.44054,107,0.03126,118,0.17595,116,0.15860,142,0.48047,122,0.25666
ENSG00000048991,R3HDM1,41,-2.5001,78,-1.5734,244,0.16815,149,-0.5986,319,0.60220,414,1.19723,319,0.60119,184,-0.2709,113,-1.0130,178,-0.3554
ENSG00000144224,UBXN4,361,1.19716,258,0.62901,163,-0.1066,139,-0.3532,235,0.47420,182,0.07432,124,-0.5286,143,-0.3132,98,-0.8816,104,-0.8576
ENSG00000076003,MCM6,9,-0.8461,27,0.83265,6,-1.5235,13,-0.3560,22,0.50408,9,-0.9432,22,0.50200,7,-1.2229,30,0.99055,19,0.34517
ENSG00000115866,DARS,123,0.57887,175,1.16638,74,-0.2246,52,-0.7822,69,-0.3425,71,-0.3252,68,-0.3627,78,-0.1445,60,-0.5397,94,0.16494
ENSG00000144228,SPOPL,44,1.26986,19,-0.0571,11,-0.8476,15,-0.4222,8,-1.4187,20,-0.0127,17,-0.2895,19,-0.0660,25,0.35312,21,0.10206
ENSG00000168702,LRP1B,59,0.33749,47,-0.0072,14,-1.8041,8,-2.5614,121,1.56532,19,-1.4833,56,0.27079,18,-1.4502,96,1.15060,56,0.28330
ENSG00000121964,GTDC1,58,-1.0173,64,-0.8625,135,0.28973,146,0.41735,134,0.27837,168,0.71965,82,-0.4873,102,-0.1514,94,-0.2737,100,-0.2083
ENSG00000169554,ZEB2,1150,2.19827,649,1.13071,180,-0.9063,195,-0.7896,312,-0.0667,302,-0.1257,138,-1.3086,99,-1.8039,241,-0.4683,168,-1.0846
ENSG00000121989,ACVR2A,16,-0.3159,4,-2.4642,12,-0.7278,13,-0.7115,41,1.13626,16,-0.4113,16,-0.3375,22,0.10009,21,0.05880,33,0.89739
ENSG00000115947,ORC4,28,-1.4798,31,-1.3110,49,-0.6566,69,-0.1224,88,0.25267,75,0.00824,84,0.17738,106,0.56345,71,-0.0840,110,0.70335
ENSG00000204406,MBD5,31,-0.0764,38,0.25032,16,-1.1016,31,-0.0583,49,0.64686,46,0.60452,31,-0.0875,24,-0.4680,16,-1.0285,31,-0.0578
ENSG00000135999,EPC2,33,-0.2778,34,-0.2343,27,-0.6098,26,-0.6666,81,1.14440,53,0.48243,51,0.37143,40,-0.0013,16,-1.3578,33,-0.3011
ENSG00000168280,KIF5C,976,0.13201,739,-0.3023,917,0.03397,991,0.15736,1180,0.43692,1130,0.40970,605,-0.6104,893,-0.0072,915,0.03010,646,-0.5530
ENSG00000168288,MMADHC,30,-0.5499,33,-0.3978,39,-0.1273,46,0.14565,45,0.11244,32,-0.4433,49,0.24544,54,0.39858,36,-0.2471,55,0.45889
ENSG00000080345,RIF1,322,0.73604,171,-0.2750,168,-0.3068,63,-1.7774,305,0.64349,364,1.07541,233,0.20814,158,-0.3971,89,-1.2648,107,-1.0622
ENSG00000162980,ARL5A,59,-0.2751,100,0.54165,102,0.57486,39,-0.9291,78,0.15600,110,0.79927,71,0.00080,61,-0.2376,30,-1.3050,46,-0.7267
ENSG00000182389,CACNB4,73,-1.3439,96,-0.9384,110,-0.7222,135,-0.4128,274,0.71012,235,0.51466,223,0.37649,183,0.05784,217,0.32764,167,-0.0932
ENSG00000115145,STAM2,48,1.29466,11,-1.0041,33,0.64491,7,-1.7535,23,0.08729,13,-0.8096,22,0.04379,18,-0.3182,22,0.03980,25,0.26705
ENSG00000157827,FMNL2,890,2.95198,314,0.91021,107,-0.7981,62,-1.6022,131,-0.4840,99,-0.9714,133,-0.4607,65,-1.5455,84,-1.1505,83,-1.2559
ENSG00000196504,PRPF40A,210,1.01376,177,0.72777,77,-0.5836,41,-1.5207,184,0.79132,147,0.48024,102,-0.1561,68,-0.7623,59,-0.9942,69,-0.8142
ENSG00000144278,GALNT13,21,0.36475,17,0.09452,35,1.23655,7,-1.2353,14,-0.2431,35,1.40473,12,-0.4486,9,-0.9164,4,-2.1584,4,-2.0123
ENSG00000162989,KCNJ3,48,-1.4749,31,-2.1057,117,-0.1331,119,-0.1023,167,0.42931,180,0.61927,202,0.74121,165,0.41522,64,-1.0377,127,-0.0016
ENSG00000153234,NR4A2,14,-1.0643,30,0.03527,1,-4.0992,1,-4.6120,51,0.86344,0,-5.4540,37,0.33893,0,-7.6545,190,3.62615,15,-1.1019
ENSG00000115159,GPD2,16,-0.9242,62,1.17734,23,-0.4236,11,-1.4341,38,0.35761,16,-1.0120,29,-0.0474,4,-2.8474,87,1.78954,29,-0.0626
ENSG00000136541,ERMN,2077,5.02732,317,0.50499,20,-3.6027,105,-1.1962,60,-2.0296,23,-3.5605,7,-5.1384,23,-3.4119,67,-1.8707,25,-3.3977
ENSG00000123612,ACVR1C,20,-0.1853,1,-4.4188,44,1.08492,9,-1.2889,1,-3.9203,42,1.18634,41,0.95993,62,1.71811,0,-5.4739,3,-3.0929
ENSG00000144283,PKP4,588,1.89486,383,1.11626,106,-0.9213,223,0.22356,193,-0.0073,169,-0.2294,72,-1.4910,94,-1.1013,134,-0.5707,96,-1.1511
ENSG00000123636,BAZ2B,637,1.62744,613,1.55659,262,0.12578,135,-0.8901,285,0.26043,290,0.32170,69,-1.8906,89,-1.5100,80,-1.6759,75,-1.8657
ENSG00000136536,MARCH7,44,0.35224,30,-0.2539,28,-0.3534,18,-1.0097,31,-0.1974,39,0.17651,44,0.35335,38,0.12742,22,-0.6875,44,0.40980
ENSG00000153250,RBMS1,15,-0.7509,31,0.38401,17,-0.4778,31,0.43170,37,0.67515,27,0.22465,15,-0.7140,24,0.00648,19,-0.3222,22,-0.1576
ENSG00000136560,TANK,15,-0.7444,29,0.23241,11,-1.2148,14,-0.8330,40,0.75333,25,0.00658,31,0.32571,28,0.19496,21,-0.2977,30,0.32383
ENSG00000115233,PSMD14,111,0.06987,83,-0.3804,107,0.01439,66,-0.7347,91,-0.2346,114,0.11861,144,0.48172,136,0.39398,87,-0.3086,111,0.07345
ENSG00000136535,TBR1,42,-1.7611,38,-1.9044,42,-1.7698,93,-0.5764,141,0.07843,47,-1.6841,120,-0.1736,151,0.18755,420,1.94589,237,1.04950
ENSG00000144290,SLC4A10,44,-2.3670,71,-1.6809,127,-0.8025,101,-1.1507,323,0.65865,324,0.75174,437,1.16888,155,-0.4990,241,0.18181,213,-0.0154
ENSG00000115271,GCA,85,1.20285,19,-1.1707,16,-1.3496,50,0.32575,28,-0.5400,26,-0.7089,43,0.11124,31,-0.4262,42,0.06802,59,0.68853
ENSG00000182263,FIGN,19,0.02125,17,-0.1649,15,-0.3219,10,-0.9499,31,0.80132,11,-0.8554,15,-0.3159,38,1.15139,25,0.47780,16,-0.2607
ENSG00000082438,COBLL1,1,-3.4191,45,1.57046,16,-0.1527,33,1.03126,3,-2.3721,39,1.52522,0,-4.7255,11,-0.7269,5,-1.6753,8,-1.1836
ENSG00000153253,SCN3A,62,-0.9325,86,-0.4427,63,-0.9288,57,-1.0700,197,0.87557,192,0.95075,110,-0.0678,48,-1.3191,44,-1.4556,163,0.62687
ENSG00000136531,SCN2A,166,-1.8891,127,-2.2791,276,-1.1344,209,-1.5531,1578,1.69006,837,0.66449,938,0.77677,466,-0.3413,491,-0.2596,515,-0.2027
ENSG00000178662,CSRNP3,59,-1.6543,68,-1.4432,128,-0.4930,140,-0.3532,273,0.70252,262,0.71488,230,0.42280,198,0.18808,168,-0.0778,163,-0.1283
ENSG00000123607,TTC21B,12,-1.0663,29,0.26694,17,-0.5184,7,-1.7372,36,0.63629,36,0.72547,23,-0.0889,26,0.08777,13,-0.9674,28,0.22984
ENSG00000144285,SCN1A,19,-3.2898,48,-1.9791,119,-0.6293,165,-0.1244,176,-0.0211,353,1.29643,78,-1.2692,515,1.79478,32,-2.5810,142,-0.3822
ENSG00000172318,B3GALT1,7,-1.0499,6,-1.3663,12,-0.3699,13,-0.2732,20,0.45329,26,0.97683,11,-0.4730,17,0.16970,5,-1.5187,19,0.41105
ENSG00000198648,STK39,210,0.71073,114,-0.2566,90,-0.6236,131,-0.0494,145,0.12098,126,-0.1085,94,-0.5489,223,0.81308,131,-0.0402,113,-0.3042
ENSG00000172292,CERS6,37,-1.8548,29,-2.2135,74,-0.8196,114,-0.1583,173,0.49777,163,0.45714,185,0.61204,192,0.67207,160,0.37343,113,-0.1931
ENSG00000138399,FASTKD1,24,0.12822,13,-0.7807,3,-2.5951,15,-0.5136,31,0.56060,26,0.31430,25,0.22010,25,0.23702,15,-0.5302,28,0.45822
ENSG00000138398,PPIG,380,0.03556,357,-0.0610,260,-0.5549,254,-0.5904,645,0.89372,575,0.79501,320,-0.2340,342,-0.1315,228,-0.7537,262,-0.5836
ENSG00000154479,CCDC173,61,1.28034,71,1.55395,58,1.19755,24,-0.1923,28,0.04244,21,-0.4813,21,-0.4020,8,-1.7558,12,-1.2314,3,-3.0591
ENSG00000213160,KLHL23,34,-0.6154,68,0.47942,65,0.41400,17,-1.6402,62,0.33510,75,0.71907,74,0.61952,26,-0.9729,26,-0.9939,40,-0.3691
ENSG00000138385,SSB,195,-0.3463,225,-0.1267,201,-0.3056,183,-0.4438,327,0.46586,357,0.68944,258,0.08809,274,0.18524,134,-0.9176,208,-0.2719
ENSG00000138382,METTL5,64,0.46055,23,-1.0672,71,0.64401,45,-0.0864,61,0.38886,39,-0.3230,50,0.07768,39,-0.3239,33,-0.5527,53,0.19371
ENSG00000144357,UBR3,145,0.30951,50,-1.3098,61,-1.0250,57,-1.1144,175,0.61646,150,0.40562,131,0.14993,164,0.50459,116,-0.0406,116,-0.0545
ENSG00000128683,GAD1,12,-3.5311,62,-1.1980,141,0.05287,305,1.32749,82,-0.7895,246,1.09725,34,-2.0756,51,-1.4912,15,-3.2407,222,0.89098
ENSG00000115806,GORASP2,47,0.06093,24,-0.9352,29,-0.6647,37,-0.2962,40,-0.2035,39,-0.2491,56,0.33296,59,0.40405,43,-0.0797,65,0.64549
ENSG00000198586,TLK1,48,-1.2490,83,-0.4174,165,0.66596,45,-1.3595,158,0.59234,134,0.36009,135,0.33746,146,0.46562,86,-0.3746,88,-0.3669
ENSG00000123600,METTL8,29,0.62342,33,0.82042,27,0.52430,17,-0.2075,28,0.55322,26,0.46942,21,0.08700,14,-0.4814,8,-1.3054,3,-2.6448
ENSG00000077380,DYNC1I2,1056,2.08290,450,0.56343,175,-0.9094,166,-0.9919,362,0.21290,278,-0.2173,195,-0.7459,235,-0.4587,166,-0.9905,217,-0.6317
ENSG00000115840,SLC25A12,38,-1.1401,9,-3.2449,59,-0.4702,71,-0.1840,67,-0.2811,71,-0.2073,110,0.50149,134,0.83422,93,0.23685,119,0.71919
ENSG00000144355,DLX1,4,-2.2021,25,0.30764,41,1.12490,29,0.56087,14,-0.6087,40,1.26244,2,-3.1052,0,-4.7349,6,-1.8687,22,0.10622
ENSG00000091409,ITGA6,43,0.73957,160,3.34918,34,0.33976,15,-0.9286,11,-1.3985,19,-0.5754,1,-4.5220,2,-3.4229,3,-3.1031,10,-1.5467
ENSG00000091428,RAPGEF4,255,0.22256,305,0.50996,183,-0.2973,548,1.51461,129,-0.8265,139,-0.7744,56,-2.0654,143,-0.6735,365,0.80735,197,-0.1972
ENSG00000091436,MAP3K20,7,-2.1697,162,2.93131,39,0.26824,22,-0.5626,16,-1.0788,53,0.88281,11,-1.6406,13,-1.3221,5,-2.5674,4,-2.9733
ENSG00000172845,SP3,34,0.21984,41,0.53101,23,-0.3386,25,-0.2169,25,-0.2083,25,-0.2273,40,0.48261,14,-1.0468,29,-0.0071,34,0.24753
ENSG00000138430,OLA1,56,-1.4160,49,-1.6072,121,-0.2538,123,-0.2188,149,0.08017,125,-0.2154,202,0.56122,191,0.47098,169,0.27421,197,0.58636
ENSG00000138433,CIR1,179,0.36693,170,0.28348,149,0.07330,86,-0.7631,213,0.65039,203,0.64326,134,-0.0902,89,-0.7178,74,-0.9921,102,-0.5573
ENSG00000144306,SCRN3,31,0.77421,15,-0.3858,13,-0.5347,12,-0.6591,14,-0.4306,28,0.72256,25,0.44193,10,-0.9818,17,-0.1578,16,-0.2226
ENSG00000163328,GPR155,155,-0.1713,96,-0.8969,102,-0.8178,64,-1.5110,338,1.09714,212,0.36103,194,0.18444,142,-0.3110,140,-0.3262,210,0.34072
ENSG00000115935,WIPF1,244,4.36039,54,0.91579,3,-3.2534,7,-2.0660,18,-0.7973,3,-3.5816,0,-5.5450,4,-2.9200,9,-1.7617,12,-1.5101
ENSG00000128656,CHN1,456,-1.9767,577,-1.6283,1306,-0.3958,1489,-0.1932,2024,0.29135,1728,0.04401,2705,0.76484,2129,0.37300,2315,0.50861,1879,0.19083
ENSG00000115966,ATF2,48,-0.6056,25,-1.5984,62,-0.2054,82,0.21416,72,0.00547,70,-0.0301,93,0.41982,52,-0.4767,93,0.42732,94,0.49522
ENSG00000154518,ATP5MC3,128,-1.5517,154,-1.2706,304,-0.2405,473,0.46105,256,-0.5064,366,0.05694,341,-0.0621,616,0.89479,447,0.36970,402,0.21843
ENSG00000144320,LNPK,54,-0.3346,54,-0.3415,37,-0.9270,48,-0.5142,96,0.56826,70,0.06432,76,0.19949,91,0.48522,49,-0.4780,81,0.32126
ENSG00000128654,MTX2,28,-1.4578,41,-0.9013,27,-1.5286,72,-0.0521,66,-0.1839,65,-0.2273,108,0.57970,121,0.77755,67,-0.1610,117,0.81851
ENSG00000170144,HNRNPA3,325,0.23983,282,0.01598,269,-0.0603,209,-0.4502,242,-0.2216,359,0.44558,302,0.12198,189,-0.6035,245,-0.2029,285,0.03666
ENSG00000116044,NFE2L2,283,2.14575,260,1.97645,69,-0.2639,43,-0.9671,65,-0.3580,69,-0.2930,25,-1.8003,37,-1.1876,19,-2.1819,22,-2.0922
ENSG00000018510,AGPS,24,-0.2491,24,-0.2316,27,-0.0418,16,-0.8045,22,-0.3423,40,0.62060,25,-0.1451,18,-0.6492,37,0.46265,31,0.15652
ENSG00000079156,OSBPL6,32,-1.3694,70,-0.1769,51,-0.6727,80,0.02877,95,0.30132,119,0.74911,102,0.41564,88,0.17997,43,-0.9257,72,-0.1441
ENSG00000180228,PRKRA,57,0.05431,50,-0.1440,41,-0.4628,66,0.28232,48,-0.1923,57,0.06121,61,0.17345,60,0.12972,51,-0.0995,55,0.01688
ENSG00000116095,PLEKHA3,22,-1.7360,60,-0.2176,57,-0.2938,69,-0.0149,71,0.03502,84,0.33130,91,0.42138,55,-0.3605,61,-0.2117,90,0.45915
ENSG00000155657,TTN,62,1.48071,100,2.40514,3,-3.0508,11,-1.2627,35,0.50257,34,0.53027,2,-3.6611,12,-1.1378,0,-5.3263,5,-2.3411
ENSG00000187231,SESTD1,174,1.41750,67,-0.1509,40,-0.9482,43,-0.8320,88,0.28118,90,0.34720,69,-0.0987,60,-0.3271,51,-0.5802,57,-0.4218
ENSG00000144331,ZNF385B,3,-4.0201,15,-1.7746,25,-1.0149,50,0.06555,40,-0.2711,32,-0.6586,30,-0.7103,58,0.30335,79,0.79017,107,1.53408
ENSG00000163510,CWC22,62,0.01919,53,-0.2004,35,-0.8298,27,-1.2537,152,1.52213,96,0.82849,36,-0.7870,60,-0.0096,31,-1.0312,41,-0.6598
ENSG00000170035,UBE2E3,60,-0.9505,54,-1.1211,102,-0.1442,162,0.59092,79,-0.5469,122,0.15140,68,-0.7774,166,0.62890,117,0.07075,146,0.47403
ENSG00000138434,ITPRID2,103,1.17936,135,1.66556,46,-0.1254,30,-0.7541,44,-0.1921,39,-0.3997,42,-0.2588,22,-1.2226,21,-1.3144,38,-0.4380
ENSG00000115252,PDE1A,76,-0.2795,26,-1.8877,26,-1.8721,40,-1.2314,187,1.17721,40,-1.3293,64,-0.5505,70,-0.4038,198,1.27503,163,1.08252
ENSG00000077232,DNAJC10,45,-0.5398,41,-0.6760,43,-0.6028,25,-1.4022,90,0.54902,61,-0.0664,96,0.65632,56,-0.1954,80,0.35281,83,0.47000
ENSG00000061676,NCKAP1,116,-1.5202,140,-1.2345,331,0.07674,235,-0.4552,302,-0.0679,315,-0.0005,446,0.55856,340,0.12005,425,0.47844,407,0.45844
ENSG00000170396,ZNF804A,0,-8.4928,3,-3.1910,45,0.54163,24,-0.4788,22,-0.5912,85,1.94086,67,1.18188,25,-0.3969,13,-1.3819,10,-1.8881
ENSG00000065548,ZC3H15,300,-0.2328,219,-0.7123,291,-0.2784,208,-0.7926,570,0.79725,507,0.67980,420,0.29785,345,-0.0137,176,-1.0410,316,-0.1633
ENSG00000138448,ITGAV,87,1.18851,131,1.93541,70,0.83596,13,-1.7066,9,-2.3271,27,-0.7124,59,0.54433,26,-0.7367,16,-1.4361,19,-1.2864
ENSG00000144369,FAM171B,153,-0.1119,167,0.03002,170,0.05347,49,-1.8355,228,0.52348,108,-0.6939,400,1.48699,75,-1.1953,174,0.08967,169,0.04818
ENSG00000144366,GULP1,3,-2.6152,0,-6.3668,28,0.46048,13,-0.6708,18,-0.2531,44,1.39866,44,1.19169,23,0.13429,4,-2.4060,15,-0.5064
ENSG00000204262,COL5A2,0,-8.3932,0,-6.3383,31,0.15951,9,-1.6717,6,-2.3119,65,1.64530,16,-0.8410,137,2.89892,0,-7.8914,3,-3.0802
ENSG00000115368,WDR75,32,0.28078,24,-0.1543,16,-0.7549,13,-1.0409,25,-0.1376,45,0.93324,26,-0.0468,23,-0.2530,8,-1.7267,33,0.32557
ENSG00000138381,ASNSD1,45,0.14193,34,-0.2933,32,-0.3971,33,-0.3284,31,-0.4560,51,0.37088,54,0.42756,47,0.20804,13,-1.7457,52,0.40767
ENSG00000128699,ORMDL1,49,-0.0788,48,-0.1003,30,-0.8292,30,-0.8298,54,0.08963,56,0.16533,61,0.28036,65,0.36969,32,-0.7227,67,0.47139
