Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000082497,SERTAD4,6,-1.3192,15,0.06621,25,0.91389,23,0.93995,17,0.31845,13,-0.1837,2,-2.6325,11,-0.3718
ENSG00000143473,KCNH1,3,-3.0516,7,-1.7336,9,-1.2826,48,1.58550,34,0.68334,49,1.33011,7,-1.5950,13,-0.7789
ENSG00000117625,RCOR3,61,0.65387,61,0.57709,36,-0.2640,46,0.12083,44,0.05383,38,-0.1836,17,-1.4187,19,-1.2492
ENSG00000153363,LINC00467,28,1.44414,21,0.72665,15,0.20543,1,-3.4290,1,-3.8081,0,-4.3533,26,1.05790,14,0.03879
ENSG00000170385,SLC30A1,17,-0.1077,10,-0.8172,23,0.40077,9,-1.1001,20,0.16046,29,0.79863,9,-0.9848,35,1.11895
ENSG00000123684,LPGAT1,130,0.46725,130,0.40156,109,0.12195,98,-0.0523,72,-0.5315,78,-0.4128,115,0.21124,51,-1.0582
ENSG00000143493,INTS7,17,0.60702,15,0.30000,6,-1.0629,15,0.32545,14,0.22586,11,-0.1180,5,-1.4010,8,-0.6387
ENSG00000066027,PPP2R5A,88,1.07288,41,-0.3565,24,-1.1272,19,-1.6328,60,0.27001,55,0.11390,46,-0.1740,70,0.51911
ENSG00000065600,PACC1,89,3.01865,14,-0.9178,26,0.00171,11,-1.4077,1,-3.9950,2,-3.3163,11,-1.2615,7,-2.0314
ENSG00000117691,NENF,438,1.47119,146,-0.6022,237,0.16820,108,-1.1540,121,-0.8801,154,-0.5193,243,0.20559,145,-0.6071
ENSG00000117697,NSL1,93,0.95214,91,0.75954,53,-0.1048,41,-0.5682,25,-1.2536,29,-1.0579,35,-0.7684,69,0.31346
ENSG00000203705,TATDN3,24,-0.1926,24,-0.1934,51,1.06075,27,0.03493,15,-0.8809,23,-0.2338,34,0.38955,18,-0.5710
ENSG00000162769,FLVCR1,16,-0.1669,29,0.80325,15,-0.2541,21,0.28195,10,-0.8794,29,0.77099,4,-2.1192,17,-0.0674
ENSG00000174606,ANGEL2,38,0.29612,63,1.07987,53,0.79461,11,-1.7012,26,-0.3699,29,-0.1729,15,-1.1436,41,0.36491
ENSG00000136643,RPS6KC1,31,-0.1603,27,-0.3351,38,0.17686,41,0.37817,43,0.37606,39,0.24809,26,-0.3965,20,-0.8262
ENSG00000117707,PROX1,108,2.89531,40,0.29076,19,-0.8081,1,-4.5048,1,-4.7023,17,-0.9824,20,-0.8029,14,-1.3393
ENSG00000143499,SMYD2,6,-3.8844,8,-3.3174,6,-3.8548,245,2.67924,123,0.72052,39,-1.0850,62,-0.3961,53,-0.6354
ENSG00000152104,PTPN14,17,-0.7305,63,1.52604,15,-0.7837,15,-0.9289,40,0.71734,27,0.08968,16,-0.6992,33,0.37171
ENSG00000136636,KCTD3,93,1.37569,78,0.83081,66,0.55039,19,-1.5264,17,-1.5358,23,-1.0720,35,-0.4840,29,-0.7739
ENSG00000196482,ESRRG,4,-2.2229,2,-3.1839,0,-6.1797,46,2.06401,18,-0.0035,13,-0.4229,20,0.17022,25,0.51512
ENSG00000092978,GPATCH2,28,0.00554,39,0.54697,29,0.05845,31,0.20408,33,0.27992,28,-0.0128,11,-1.4091,21,-0.4713
ENSG00000067533,RRP15,35,-0.0836,63,0.88701,68,1.01501,27,-0.5543,17,-1.1731,33,-0.1738,35,-0.0753,29,-0.3973
ENSG00000143353,LYPLAL1,37,0.93218,25,0.15623,18,-0.3458,22,-0.0457,13,-0.8554,12,-0.9602,14,-0.7794,27,0.27909
ENSG00000136628,EPRS,168,0.34610,157,0.19076,164,0.26002,160,0.25343,80,-0.8565,143,0.03942,114,-0.3170,79,-0.8757
ENSG00000162813,BPNT1,23,0.87633,9,-0.6926,28,1.08587,12,-0.3159,8,-0.8403,12,-0.3017,12,-0.2965,5,-1.4552
ENSG00000067704,IARS2,61,0.05201,66,0.16807,52,-0.2134,59,-0.0296,54,-0.1548,40,-0.6131,90,0.66498,54,-0.1547
ENSG00000118873,RAB3GAP2,64,-0.6864,140,0.62121,144,0.66217,127,0.51603,89,-0.1256,96,0.00461,62,-0.6872,47,-1.0956
ENSG00000116141,MARK1,5,-3.2384,58,0.53349,39,-0.1174,80,1.31010,35,-0.2516,49,0.24834,44,0.10476,21,-1.0365
ENSG00000162817,C1orf115,14,-3.2427,70,-0.7731,112,-0.0392,113,-0.0318,258,1.38021,263,1.41965,92,-0.3524,98,-0.2468
ENSG00000117791,MARC2,7,-1.1316,18,0.30096,15,0.05222,16,0.14684,16,0.17164,29,1.14270,2,-2.9001,20,0.48030
ENSG00000154305,MIA3,82,-0.7296,172,0.50216,215,0.88852,133,0.09011,137,0.12789,123,-0.0450,112,-0.1837,72,-0.8615
ENSG00000186063,AIDA,89,0.35239,75,0.04025,64,-0.2259,58,-0.4099,58,-0.3615,38,-1.0127,119,0.79406,86,0.25478
ENSG00000162819,BROX,83,1.16405,44,-0.0816,55,0.29301,27,-0.8635,35,-0.4191,28,-0.7507,37,-0.3386,39,-0.2424
ENSG00000143502,SUSD4,3,-3.8327,15,-1.3680,42,0.24712,73,1.44423,50,0.54426,56,0.71763,14,-1.3774,30,-0.2551
ENSG00000162909,CAPN2,79,0.82941,101,1.13495,31,-0.7695,43,-0.3099,19,-1.4771,32,-0.7324,30,-0.8253,55,0.11155
ENSG00000143514,TP53BP2,60,0.36153,63,0.41211,26,-0.9759,12,-2.2077,21,-1.3156,27,-0.9059,22,-1.2062,187,2.45522
ENSG00000143756,FBXO28,24,-0.5804,17,-1.0361,38,0.18612,55,0.90168,26,-0.4083,47,0.52101,29,-0.2561,25,-0.4569
ENSG00000143753,DEGS1,86,0.76834,27,-1.1401,69,0.29264,46,-0.3590,57,-0.0045,65,0.20525,31,-0.9547,59,0.04673
ENSG00000143748,NVL,23,0.64346,54,2.14516,21,0.45109,9,-0.9719,3,-2.2583,4,-1.9475,9,-0.8395,5,-1.5915
ENSG00000143771,CNIH4,21,-0.3914,17,-0.6762,39,0.60132,38,0.61577,23,-0.2485,26,-0.0421,24,-0.2064,22,-0.2976
ENSG00000162923,WDR26,64,-0.0674,65,-0.0467,84,0.37731,82,0.37866,65,-0.0356,56,-0.2721,61,-0.1392,43,-0.6733
ENSG00000143786,CNIH3,3,-2.9505,17,-0.3847,9,-1.2947,63,2.44587,23,0.11653,6,-1.7557,18,-0.2411,9,-1.2385
ENSG00000143815,LBR,43,1.84605,12,-0.6178,20,0.13467,6,-1.7544,4,-2.2759,8,-1.2276,16,-0.1797,22,0.35432
ENSG00000154380,ENAH,303,1.29677,224,0.56198,189,0.27736,71,-1.3460,79,-1.0876,92,-0.8455,127,-0.3544,131,-0.3054
ENSG00000143742,SRP9,220,0.00960,136,-0.7442,227,0.05980,184,-0.2987,272,0.35639,259,0.27592,236,0.12285,247,0.19705
ENSG00000143819,EPHX1,63,1.05372,32,-0.1943,26,-0.5362,14,-1.5665,11,-1.7456,33,-0.1599,11,-1.7626,99,1.70999
ENSG00000196187,TMEM63A,170,3.47753,48,0.08869,28,-0.7558,4,-3.7219,1,-5.4109,1,-5.6596,23,-1.0461,10,-2.2802
ENSG00000143811,PYCR2,68,0.95859,39,-0.1113,28,-0.5998,36,-0.2331,28,-0.6325,54,0.41022,22,-0.9960,36,-0.2079
ENSG00000143751,SDE2,31,1.37479,10,-0.6386,29,1.02964,8,-0.9888,7,-1.2382,6,-1.4557,10,-0.5912,14,-0.1557
ENSG00000163041,H3F3A,577,1.36249,211,-0.5284,323,0.14739,123,-1.4504,158,-0.9715,259,-0.2079,230,-0.3914,367,0.35367
ENSG00000182827,ACBD3,82,0.35916,88,0.42790,113,0.85193,53,-0.4292,42,-0.7539,51,-0.4526,51,-0.4481,62,-0.1450
ENSG00000143799,PARP1,322,1.07400,198,0.09639,221,0.27432,136,-0.5449,106,-0.8788,147,-0.3770,137,-0.4887,140,-0.4528
ENSG00000203685,STUM,14,-1.2528,41,0.52187,56,1.02781,14,-1.3047,19,-0.7259,54,0.96579,18,-0.7987,57,1.07390
ENSG00000143772,ITPKB,139,2.19644,64,0.34000,21,-1.3706,10,-2.5333,13,-2.0704,14,-1.9806,23,-1.2351,84,0.79780
ENSG00000143801,PSEN2,5,-1.4335,2,-2.2934,1,-3.1920,22,1.09748,18,0.53260,18,0.60870,18,0.54878,14,0.14517
ENSG00000163050,COQ8A,30,0.05865,40,0.52261,33,0.17692,24,-0.3354,20,-0.5872,52,0.94189,17,-0.7838,21,-0.4876
ENSG00000143776,CDC42BPA,414,0.67147,561,1.10317,349,0.29514,200,-0.6486,244,-0.2777,146,-1.0664,231,-0.3602,148,-1.0480
ENSG00000143740,SNAP47,18,-1.2985,30,-0.3909,48,0.34665,45,0.27040,62,0.75092,71,0.99969,34,-0.2265,18,-1.1366
ENSG00000143761,ARF1,121,-0.8919,103,-1.0502,198,-0.0448,259,0.44744,263,0.41743,391,1.09475,139,-0.5973,182,-0.1776
ENSG00000143793,C1orf35,27,0.23608,48,1.19992,11,-1.1866,18,-0.4312,21,-0.1883,26,0.19726,21,-0.1629,17,-0.4733
ENSG00000162910,MRPL55,47,-0.8405,28,-1.5228,51,-0.6410,125,0.96298,118,0.72132,93,0.31859,62,-0.3138,67,-0.2123
ENSG00000143774,GUK1,385,-0.7784,316,-1.0146,372,-0.7637,373,-0.8335,1074,0.95399,644,0.09829,1005,0.83926,1133,1.04932
ENSG00000198835,GJC2,122,3.51175,16,-1.0497,16,-1.0876,4,-3.1403,1,-4.8900,0,-6.1072,33,0.00706,8,-2.0770
ENSG00000154370,TRIM11,6,-1.1571,12,-0.1708,27,1.18905,9,-0.6361,16,0.30826,28,1.23779,11,-0.2971,7,-0.8739
ENSG00000168159,RNF187,120,-1.5067,215,-0.5102,290,-0.0408,411,0.61141,448,0.67196,433,0.61736,279,-0.1046,248,-0.2916
ENSG00000116574,RHOU,280,2.94527,66,-0.3947,87,0.04181,24,-2.0237,5,-4.1904,9,-3.3680,51,-0.7793,22,-2.0667
ENSG00000168118,RAB4A,70,-0.1058,54,-0.4969,45,-0.7664,88,0.30451,87,0.25364,74,0.00104,82,0.14602,85,0.22219
ENSG00000154429,CCSAP,96,-0.3256,147,0.38321,172,0.64800,110,-0.0931,133,0.22763,146,0.37746,83,-0.5219,64,-0.9087
ENSG00000069248,NUP133,49,0.58856,37,0.06291,25,-0.5565,44,0.36641,39,0.11153,22,-0.7763,22,-0.7861,29,-0.3501
ENSG00000135776,ABCB10,11,-0.1712,29,1.35581,10,-0.3590,10,-0.3708,9,-0.5063,11,-0.2205,7,-0.8432,17,0.51769
ENSG00000135801,TAF5L,13,-0.1193,27,1.03455,7,-1.0409,13,-0.1911,19,0.48909,11,-0.3973,13,-0.1624,13,-0.1055
ENSG00000143641,GALNT2,24,-0.5743,37,0.16886,30,-0.1227,49,0.74796,30,-0.1406,44,0.47763,12,-1.5103,31,-0.1021
ENSG00000177614,PGBD5,23,-2.1429,61,-0.5498,123,0.58099,103,0.31866,155,0.97804,155,0.98101,43,-1.0646,74,-0.2435
ENSG00000135775,COG2,27,0.38778,30,0.51428,20,-0.1407,25,0.27509,12,-0.8689,17,-0.3360,13,-0.7690,20,-0.1108
ENSG00000135744,AGT,248,0.65132,304,0.90588,90,-1.0345,23,-3.1647,16,-3.5335,42,-2.1713,23,-3.0536,742,2.70655
ENSG00000119280,C1orf198,256,2.97137,54,-0.5399,64,-0.2971,8,-3.4254,7,-3.4758,7,-3.5833,39,-1.0491,70,-0.1493
ENSG00000143643,TTC13,12,-0.2767,26,0.91116,18,0.33986,14,-0.1259,7,-1.0601,15,0.07245,16,0.09309,12,-0.2536
ENSG00000173409,ARV1,27,-0.0342,18,-0.6518,21,-0.4534,42,0.79114,16,-0.8344,40,0.61667,10,-1.5198,33,0.28396
ENSG00000143633,C1orf131,38,1.63631,14,-0.2941,20,0.22998,9,-1.0574,6,-1.4496,20,0.21024,9,-1.0119,9,-1.0223
ENSG00000116906,GNPAT,51,0.17579,45,-0.0356,46,-0.0248,57,0.37402,44,-0.0658,42,-0.1513,36,-0.4071,34,-0.4628
ENSG00000116903,EXOC8,10,-0.9606,14,-0.3233,23,0.43062,20,0.22707,20,0.21026,25,0.57886,13,-0.4554,20,0.25100
ENSG00000135766,EGLN1,81,0.52422,38,-0.7610,74,0.29068,48,-0.4255,51,-0.2799,96,0.73369,38,-0.7272,58,-0.0862
ENSG00000116918,TSNAX,65,-0.6039,72,-0.3969,130,0.56729,118,0.46143,130,0.56518,132,0.59066,42,-1.2072,49,-0.9882
ENSG00000116991,SIPA1L2,16,-1.6271,24,-0.9155,32,-0.5029,64,0.70575,68,0.71679,42,-0.0888,74,0.85222,40,-0.1493
ENSG00000135778,NTPCR,48,-0.2936,39,-0.5826,28,-1.0764,89,0.85620,71,0.34075,50,-0.2091,75,0.44174,33,-0.8587
ENSG00000135749,PCNX2,14,-2.3068,46,-0.4633,40,-0.6773,100,0.92684,112,0.99789,74,0.28753,46,-0.4506,70,0.21147
ENSG00000135750,KCNK1,48,-1.4782,94,-0.3374,145,0.36174,183,0.87753,121,0.06594,213,1.01136,61,-0.9883,66,-0.8802
ENSG00000183780,SLC35F3,3,-2.6318,7,-1.4272,39,1.14388,39,1.35698,13,-0.6093,33,0.86198,11,-0.8286,7,-1.4432
ENSG00000168275,COA6,22,-1.3524,17,-1.6602,41,-0.2957,84,1.00635,84,0.85219,57,0.21357,45,-0.1726,44,-0.1926
ENSG00000059588,TARBP1,27,-0.7119,101,1.51269,64,0.71510,40,-0.0862,20,-1.0893,68,0.80533,11,-2.0113,18,-1.3082
ENSG00000168264,IRF2BP2,126,0.68659,136,0.71536,136,0.71033,41,-1.2573,50,-0.8826,47,-0.9740,101,0.22938,74,-0.2645
ENSG00000173726,TOMM20,206,-0.8866,226,-0.6666,491,0.57371,472,0.58535,411,0.27739,471,0.50190,308,-0.1875,198,-0.8715
ENSG00000054267,ARID4B,475,1.11047,549,1.19453,339,0.36638,126,-1.2768,170,-0.7289,94,-1.6212,233,-0.2386,119,-1.2669
ENSG00000152904,GGPS1,33,-0.0859,16,-1.1674,39,0.22594,42,0.35680,26,-0.4186,33,-0.0564,41,0.28572,38,0.18505
ENSG00000162885,B3GALNT2,12,-0.1713,14,0.13499,19,0.66637,14,0.18165,8,-0.6767,9,-0.4588,16,0.38586,9,-0.5136
ENSG00000168243,GNG4,7,-2.0744,19,-0.4425,28,0.17032,8,-1.7491,21,-0.2912,46,1.01158,46,1.02000,60,1.49016
ENSG00000143669,LYST,45,0.14798,102,1.55170,37,-0.1807,31,-0.4942,26,-0.7047,54,0.43100,21,-1.0175,21,-1.0405
ENSG00000077585,GPR137B,25,0.39035,22,0.13818,16,-0.3745,9,-1.3352,12,-0.7679,14,-0.4977,20,0.02753,48,1.50076
ENSG00000086619,ERO1B,14,-0.2986,21,0.38510,36,1.32243,18,0.14412,5,-1.8201,12,-0.4243,11,-0.6670,16,-0.0310
ENSG00000116977,LGALS8,39,-0.6886,68,0.24869,69,0.27459,104,1.14981,45,-0.4155,45,-0.4094,42,-0.5041,27,-1.1694
ENSG00000119285,HEATR1,13,0.14072,17,0.55679,20,0.78289,14,0.29617,12,0.04671,6,-0.9947,5,-1.2807,6,-1.1214
ENSG00000077522,ACTN2,60,-0.6950,109,0.30907,165,1.01360,125,0.61544,90,0.00840,98,0.13600,41,-1.2119,27,-1.8469
ENSG00000116984,MTR,74,0.84210,120,1.58029,64,0.48033,30,-0.7639,14,-1.8246,30,-0.7153,22,-1.1552,17,-1.5204
ENSG00000198626,RYR2,28,-2.9906,315,0.87804,471,1.61413,312,1.01840,105,-0.8906,95,-1.0394,140,-0.4461,49,-2.0173
ENSG00000133019,CHRM3,9,-3.4486,58,-0.5185,259,2.09498,74,-0.1479,102,0.38376,118,0.63686,57,-0.5224,43,-0.9631
ENSG00000155816,FMN2,40,-0.8456,95,0.58352,74,0.16779,59,-0.2124,57,-0.2431,70,0.08556,49,-0.4762,121,0.99641
ENSG00000180875,GREM2,0,-5.3494,2,-2.3376,4,-1.7882,33,2.11352,23,0.99898,7,-0.8541,18,0.55754,5,-1.3631
ENSG00000182901,RGS7,13,-2.4139,35,-0.7889,68,0.23258,77,0.50711,93,0.76633,104,0.96276,71,0.31376,34,-0.8298
ENSG00000091483,FH,32,-0.5089,19,-1.2184,23,-0.9394,79,1.18244,31,-0.5050,56,0.42389,36,-0.2671,44,0.02185
ENSG00000054277,OPN3,1,-4.7786,19,-1.0999,22,-0.8657,80,1.46395,83,1.27283,71,0.98842,14,-1.5069,18,-1.1994
ENSG00000203668,CHML,19,-2.0084,73,0.14423,119,0.96752,93,0.61999,95,0.57802,75,0.18110,43,-0.6770,38,-0.8797
ENSG00000180287,PLD5,23,0.78233,20,0.50186,7,-1.0363,19,0.47861,3,-2.1951,15,-0.0125,11,-0.4100,8,-0.9738
ENSG00000143702,CEP170,322,0.89631,259,0.39675,262,0.41427,170,-0.3075,153,-0.4441,127,-0.7283,141,-0.5758,101,-1.0755
ENSG00000054282,SDCCAG8,174,0.36922,215,0.66964,145,0.02195,83,-0.9118,101,-0.5468,67,-1.1621,252,0.94601,132,-0.1203
ENSG00000117020,AKT3,107,-0.9971,204,0.08694,253,0.44282,205,0.11069,303,0.74600,135,-0.5644,224,0.23850,186,-0.0568
ENSG00000179456,ZBTB18,46,-1.8087,118,-0.2603,140,0.00472,179,0.45661,235,0.85942,216,0.71436,90,-0.6900,149,0.09927
ENSG00000035687,ADSS,108,0.23188,130,0.51117,117,0.33658,116,0.37580,53,-0.9096,57,-0.8032,82,-0.2417,63,-0.6353
ENSG00000203667,COX20,138,0.20613,76,-0.7516,46,-1.5030,85,-0.6389,105,-0.2510,123,-0.0034,212,0.90406,223,0.99096
ENSG00000153187,HNRNPU,523,0.52178,586,0.64670,536,0.49577,303,-0.4650,294,-0.4655,314,-0.3655,326,-0.3086,248,-0.7319
ENSG00000185420,SMYD3,4,-2.4086,2,-3.4018,21,-0.0483,39,1.17143,22,0.04776,37,0.92702,27,0.40082,17,-0.3148
ENSG00000162852,CNST,18,-1.9322,47,-0.3796,79,0.46565,56,-0.1040,88,0.64556,115,1.11539,57,-0.0725,60,0.00707
ENSG00000143653,SCCPDH,86,0.52214,20,-1.7701,60,-0.1415,87,0.54042,88,0.49031,89,0.49615,28,-1.3102,21,-1.7149
ENSG00000153207,AHCTF1,73,0.32652,89,0.62190,103,0.86246,40,-0.7079,47,-0.4221,50,-0.3029,45,-0.4779,50,-0.3257
ENSG00000175137,SH3BP5L,9,-0.6311,16,0.37200,10,-0.3952,12,-0.0719,24,1.02681,25,1.13454,7,-0.9521,3,-1.8332
ENSG00000171161,ZNF672,16,0.39420,11,-0.2407,13,0.04691,13,0.07718,13,-3.4857,17,0.46530,8,-0.6244,7,-0.9369
ENSG00000171163,ZNF692,19,0.40099,26,0.89952,13,-0.1714,17,0.21671,6,-1.2320,13,-0.2647,13,-0.1605,6,-1.2384
ENSG00000035115,SH3YL1,56,0.55975,60,0.59179,69,0.82326,25,-0.8549,27,-0.6919,46,0.15504,24,-0.8608,29,-0.5741
ENSG00000143727,ACP1,41,-0.8647,20,-1.8161,67,-0.0258,86,0.42341,113,0.83502,94,0.52151,81,0.28633,52,-0.4155
ENSG00000151353,TMEM18,36,0.40136,26,-0.1386,21,-0.5083,29,0.03893,24,-0.2545,37,0.39248,10,-1.5521,39,0.48152
ENSG00000186487,MYT1L,55,-2.6992,428,0.58383,690,1.42797,258,-0.2650,386,0.41398,346,0.23469,308,0.04209,211,-0.5491
ENSG00000032389,EIPR1,16,-1.4167,28,-0.4998,17,-1.2421,47,0.40649,63,0.83728,83,1.32029,19,-1.0758,44,0.22401
ENSG00000171853,TRAPPC12,31,-0.3651,35,-0.1500,30,-0.3595,49,0.44275,44,0.20698,53,0.53388,28,-0.4734,33,-0.2259
ENSG00000182551,ADI1,76,0.78348,43,-0.2362,51,0.00417,30,-0.8994,23,-1.1793,48,-0.0888,31,-0.7324,97,1.08229
ENSG00000171865,RNASEH1,29,-0.4328,44,0.27936,41,0.15616,35,-0.1068,31,-0.2549,47,0.39953,46,0.34320,33,-0.1719
ENSG00000171863,RPS7,478,-0.0176,277,-0.8676,269,-0.9092,436,-0.1807,397,-0.3087,549,0.20837,767,0.76501,739,0.70192
ENSG00000232044,SILC1,164,2.45203,60,0.09277,36,-0.7129,16,-2.0436,7,-3.1475,15,-2.0304,70,0.34503,18,-1.6952
ENSG00000151692,RNF144A,89,1.39293,57,0.39853,20,-1.2011,33,-0.5362,48,0.11909,36,-0.3538,30,-0.6436,13,-1.9102
ENSG00000115738,ID2,248,-0.0145,508,1.19427,218,-0.2197,229,-0.1548,149,-0.8051,159,-0.7053,99,-1.4254,413,0.83181
ENSG00000134313,KIDINS220,239,0.16626,325,0.65559,271,0.35058,212,-0.0538,245,0.18804,152,-0.5630,150,-0.5842,136,-0.7375
ENSG00000143797,MBOAT2,146,0.95290,157,0.93381,137,0.69830,56,-0.7911,41,-1.1839,49,-0.9301,34,-1.5004,72,-0.3478
ENSG00000151693,ASAP2,23,-1.4774,74,0.39571,92,0.76813,76,0.52376,54,-0.0990,40,-0.5767,45,-0.3860,72,0.36106
ENSG00000119185,ITGB1BP1,57,-1.1722,41,-1.5573,39,-1.6404,175,0.82469,193,0.86996,125,0.15292,162,0.57767,116,0.02340
ENSG00000119203,CPSF3,19,-0.1667,20,-0.0738,14,-0.6588,37,1.05957,25,0.25124,10,-1.1616,22,0.07987,9,-1.2432
ENSG00000134330,IAH1,37,-0.1166,24,-0.7589,51,0.40391,43,0.16120,35,-0.1795,70,0.95895,19,-1.1084,35,-0.1964
ENSG00000151694,ADAM17,36,0.25788,81,1.60543,41,0.39996,26,-0.3392,16,-0.9993,32,0.03370,8,-2.0087,13,-1.3174
ENSG00000134308,YWHAQ,609,0.95705,201,-0.9585,321,-0.2383,323,-0.2517,256,-0.5872,442,0.27603,355,-0.0750,286,-0.4198
ENSG00000115750,TAF1B,16,-0.0050,15,-0.1020,28,0.90431,13,-0.3217,16,-0.0359,14,-0.2495,14,-0.1963,16,-0.0611
ENSG00000115756,HPCAL1,43,-1.5470,74,-0.6014,208,1.07905,4,-4.8285,44,-1.3843,490,2.86649,17,-2.7791,164,0.66463
ENSG00000115758,ODC1,22,-0.0291,8,-1.5130,14,-0.7056,27,0.36986,25,0.19936,32,0.56466,26,0.26479,19,-0.2449
ENSG00000115761,NOL10,35,0.58946,25,-0.0232,38,0.64152,27,0.12185,19,-0.4510,12,-1.1855,13,-1.0041,23,-0.1282
ENSG00000143870,PDIA6,68,-0.2208,41,-0.9833,101,0.43223,86,0.17885,84,0.11949,103,0.46316,61,-0.3698,77,-0.0080
ENSG00000162975,KCNF1,9,-3.5636,62,-0.6885,171,0.96550,142,0.75066,117,0.31577,118,0.33887,90,-0.1031,98,0.03114
ENSG00000134318,ROCK2,196,-1.0328,404,0.18291,654,0.99648,419,0.27630,511,0.57288,422,0.25638,170,-1.1644,212,-0.8250
ENSG00000196208,GREB1,7,-1.0614,10,-0.4393,21,0.71081,12,-0.2225,9,-0.6241,21,0.72957,6,-1.1630,30,1.31750
ENSG00000169006,NTSR2,44,0.65756,36,0.25364,32,0.05079,8,-2.0931,8,-2.0080,23,-0.4811,15,-1.1187,92,1.89464
ENSG00000134324,LPIN1,78,0.09581,119,0.78326,68,-0.1279,65,-0.2123,62,-0.2756,58,-0.3915,62,-0.2862,84,0.20010
ENSG00000071575,TRIB2,12,-1.4113,30,0.01279,35,0.28357,40,0.56077,31,0.08133,21,-0.5486,37,0.34338,37,0.36773
ENSG00000162981,LRATD1,6,-3.3522,51,-0.1350,30,-0.9404,79,0.66587,91,0.81883,124,1.38067,41,-0.4546,45,-0.3104
ENSG00000151779,NBAS,34,-0.6259,67,0.51223,40,-0.3218,63,0.45413,46,-0.0893,72,0.62910,42,-0.2546,30,-0.7834
ENSG00000079785,DDX1,119,-0.7034,92,-1.0357,178,-0.0162,338,1.27092,222,0.34708,192,0.11072,115,-0.6994,81,-1.2298
ENSG00000197872,FAM49A,30,-2.5749,155,0.05759,290,1.11027,213,0.66524,206,0.52031,181,0.30779,95,-0.7034,84,-0.8925
ENSG00000163032,VSNL1,98,-4.0052,570,-1.2542,1068,-0.2890,2395,1.25475,1875,0.62473,2546,1.15771,925,-0.5133,846,-0.6526
ENSG00000163029,SMC6,93,0.47330,180,1.57352,133,1.01971,47,-0.7488,46,-0.6942,25,-1.6252,40,-0.9131,18,-2.0728
ENSG00000240857,RDH14,16,-0.4524,13,-0.7657,17,-0.3450,31,0.70440,25,0.28677,33,0.72402,14,-0.6128,15,-0.5156
ENSG00000183891,TTC32,27,1.96985,6,-0.7175,16,0.71130,5,-1.1392,1,-3.1891,9,-0.2744,1,-2.6468,7,-0.5077
ENSG00000118965,WDR35,13,-0.4481,20,0.26927,31,0.96197,15,-0.2794,14,-0.3422,20,0.27947,16,-0.1172,15,-0.2403
ENSG00000068697,LAPTM4A,64,-0.0729,69,0.04793,55,-0.3064,59,-0.2178,45,-0.6023,92,0.51985,42,-0.7266,119,0.95313
ENSG00000055917,PUM2,78,-0.2607,62,-0.5868,86,-0.0915,70,-0.4648,128,0.56435,111,0.32730,131,0.59306,94,0.05795
ENSG00000143878,RHOB,286,1.20191,160,0.02897,170,0.13062,112,-0.5868,111,-0.5446,80,-1.0476,94,-0.7919,156,-0.0030
ENSG00000119778,ATAD2B,37,1.08347,90,2.69229,3,-2.5968,5,-2.2106,10,-1.0529,4,-2.2890,10,-1.1654,9,-1.1988
ENSG00000173960,UBXN2A,53,0.81471,36,0.08429,44,0.38297,15,-1.3501,21,-0.7824,17,-1.0344,52,0.68752,38,0.14492
ENSG00000119782,FKBP1B,7,-2.8686,29,-0.7604,52,0.16140,68,0.71095,84,0.96317,75,0.77200,44,-0.1025,34,-0.4941
ENSG00000115128,SF3B6,95,0.63512,27,-1.4167,50,-0.4617,71,0.08718,72,0.08638,58,-0.2371,61,-0.1686,77,0.21514
ENSG00000219626,FAM228B,79,0.53428,75,0.37707,87,0.61559,44,-0.5295,35,-0.8453,26,-1.2571,74,0.34709,53,-0.1947
ENSG00000198399,ITSN2,143,0.01444,303,1.28319,250,0.93993,128,-0.1877,92,-0.6872,66,-1.1786,103,-0.5102,65,-1.1997
ENSG00000084676,NCOA1,131,-0.2994,225,0.59948,263,0.86721,118,-0.4865,143,-0.1322,153,-0.0232,102,-0.6612,173,0.16640
ENSG00000184924,PTRHD1,27,-0.3340,22,-0.5961,9,-1.8526,40,0.36028,57,0.90686,41,0.34029,29,-0.1678,35,0.11621
ENSG00000138031,ADCY3,26,-0.3023,16,-1.0024,22,-0.5090,37,0.31182,46,0.64403,64,1.18453,16,-0.9919,21,-0.6259
ENSG00000115137,DNAJC27,26,-0.3659,13,-1.4077,30,-0.1235,43,0.53666,34,0.10996,22,-0.5738,57,0.94618,27,-0.2440
ENSG00000084710,EFR3B,21,-1.2113,34,-0.3927,18,-1.3038,43,-0.0030,70,0.77908,75,0.89709,44,0.00703,65,0.66488
ENSG00000119772,DNMT3A,35,0.62585,85,2.21541,13,-0.9324,14,-0.9500,14,-0.8540,9,-1.5468,11,-1.2687,18,-0.4962
ENSG00000138101,DTNB,42,-0.3501,41,-0.3698,39,-0.4519,63,0.34914,68,0.44772,96,1.02130,44,-0.2468,20,-1.4550
