Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000119203,CPSF3,26,0.29427,7,-1.5998,35,0.75580,8,-1.4429,33,0.73727,23,0.06376,17,-0.3461,32,0.60719,13,-0.7829,17,-0.4234
ENSG00000134330,IAH1,27,-0.6989,30,-0.5502,52,0.29725,50,0.23106,73,0.95898,83,1.04717,25,-0.8190,40,-0.1108,23,-0.9865,21,-1.1438
ENSG00000151694,ADAM17,58,0.95853,33,0.06234,28,-0.1994,7,-2.1825,10,-1.7755,76,1.44148,8,-2.0678,47,0.63160,63,1.11949,20,-0.7339
ENSG00000134308,YWHAQ,327,0.14353,300,0.00776,255,-0.2492,366,0.32369,351,0.28254,379,0.37908,280,-0.1017,429,0.58042,114,-1.4621,216,-0.5431
ENSG00000115756,HPCAL1,126,-0.3456,170,0.12857,56,-1.5695,209,0.45391,26,-2.7984,300,1.05803,47,-1.8202,769,2.91729,14,-3.5299,71,-1.2977
ENSG00000115758,ODC1,16,-0.9853,54,0.93711,60,1.11500,25,-0.2856,41,0.57486,5,-2.5757,31,0.07384,27,-0.1389,16,-0.9326,21,-0.5481
ENSG00000115761,NOL10,45,1.33064,9,-1.2282,23,0.23387,10,-0.9999,17,-0.2171,6,-1.8352,30,0.64200,18,-0.1666,34,0.85581,15,-0.4933
ENSG00000143870,PDIA6,79,-0.0037,87,0.13467,145,0.96621,112,0.54296,68,-0.2762,95,0.27777,52,-0.6409,71,-0.1894,68,-0.2450,56,-0.5917
ENSG00000162975,KCNF1,25,-1.9514,55,-0.7990,39,-1.2840,32,-1.5992,96,0.07591,231,1.53430,168,0.97724,107,0.24219,66,-0.5135,94,0.04420
ENSG00000134318,ROCK2,271,-0.1984,121,-1.4236,162,-0.9848,162,-0.9783,225,-0.5252,244,-0.3554,632,1.18501,547,0.93840,677,1.30551,211,-0.6321
ENSG00000196208,GREB1,21,0.25502,3,-2.6803,27,0.63529,4,-2.0114,23,0.44476,21,0.26180,11,-0.7134,15,-0.2457,32,0.95819,17,-0.1109
ENSG00000169006,NTSR2,28,-0.3558,51,0.55833,128,2.20105,64,0.92565,10,-2.0165,43,0.29313,4,-3.2233,18,-1.0601,17,-1.1514,29,-0.3516
ENSG00000134324,LPIN1,81,-0.0485,82,-0.0265,149,0.93277,99,0.27110,61,-0.5362,133,0.74151,50,-0.7889,78,-0.1097,107,0.39024,52,-0.7967
ENSG00000071575,TRIB2,12,-1.4464,44,0.58691,56,0.97954,36,0.24475,20,-0.7371,72,1.40090,27,-0.2029,5,-2.5484,16,-1.0146,31,-0.0064
ENSG00000162981,LRATD1,19,-2.0127,36,-1.1069,63,-0.2508,17,-2.1595,119,0.87918,47,-0.7026,94,0.38503,196,1.63537,69,-0.1021,53,-0.5486
ENSG00000151779,NBAS,29,-0.6643,44,-0.0297,45,-0.0026,42,-0.1119,50,0.15954,55,0.31628,57,0.36537,62,0.50686,33,-0.4904,38,-0.3101
ENSG00000079785,DDX1,103,-0.6661,87,-0.9207,164,0.05378,104,-0.6497,239,0.74489,135,-0.2507,239,0.65375,156,-0.0270,178,0.18341,130,-0.3409
ENSG00000197872,FAM49A,53,-1.7053,72,-1.2572,88,-0.9465,125,-0.4147,181,0.17492,272,0.82203,322,1.11161,206,0.36765,167,0.03822,147,-0.1789
ENSG00000163032,VSNL1,145,-3.4021,464,-1.7014,786,-0.9130,825,-0.8391,2448,1.00860,1337,-0.0966,2463,0.89159,2333,0.80094,1069,-0.4433,1372,-0.0611
ENSG00000163029,SMC6,85,1.32731,32,-0.2721,32,-0.2630,6,-2.7229,17,-1.2997,64,0.86031,28,-0.4544,17,-1.1569,112,1.83753,22,-0.8996
ENSG00000240857,RDH14,22,-0.2830,8,-1.7391,8,-1.7655,16,-0.7830,35,0.48554,56,1.20168,33,0.32152,35,0.42831,45,0.83205,14,-1.0926
ENSG00000068697,LAPTM4A,77,-0.3073,85,-0.1643,335,2.20942,170,0.95811,62,-0.6978,63,-0.6082,57,-0.7753,67,-0.5303,35,-1.4886,58,-0.7949
ENSG00000055917,PUM2,108,-0.2144,126,0.03627,133,0.11416,116,-0.0930,114,-0.1448,142,0.21572,100,-0.3328,174,0.54708,96,-0.3928,130,0.09432
ENSG00000143878,RHOB,334,1.10062,110,-0.6676,385,1.34791,227,0.45516,111,-0.7130,145,-0.2542,96,-0.8768,200,0.25191,91,-0.9611,117,-0.6226
ENSG00000173960,UBXN2A,48,1.01907,24,-0.0797,36,0.56409,34,0.43622,17,-0.6427,24,-0.1179,10,-1.3483,13,-1.0119,27,0.12114,27,0.12223
ENSG00000119782,FKBP1B,19,-1.4478,8,-2.6664,28,-0.8729,27,-0.9639,90,1.07582,68,0.49399,58,0.24320,90,0.95199,43,-0.2342,40,-0.3789
ENSG00000115128,SF3B6,88,0.29892,71,-0.0429,119,0.78270,91,0.34342,87,0.31334,56,-0.4039,75,0.02850,76,0.05443,20,-1.9195,53,-0.5289
ENSG00000219626,FAM228B,67,0.72527,72,0.85061,53,0.34971,29,-0.5950,31,-0.5105,62,0.59502,36,-0.2758,19,-1.2421,67,0.72504,22,-1.0772
ENSG00000198399,ITSN2,199,0.83782,51,-1.2756,55,-1.1615,24,-2.3912,73,-0.7865,120,0.02372,232,1.10229,88,-0.4481,294,1.51834,104,-0.2141
ENSG00000084676,NCOA1,164,0.02849,167,0.06165,207,0.39983,192,0.27974,113,-0.5941,123,-0.4153,210,0.42231,189,0.25398,183,0.19927,135,-0.2935
ENSG00000184924,PTRHD1,20,-0.8722,76,1.25948,58,0.79887,21,-0.7511,51,0.67058,45,0.37816,8,-2.2461,24,-0.6067,7,-2.2836,31,-0.2317
ENSG00000138031,ADCY3,43,-0.0784,40,-0.1781,58,0.39427,48,0.11784,53,0.29443,40,-0.1750,62,0.50660,52,0.23485,36,-0.3530,27,-0.8339
ENSG00000115137,DNAJC27,22,-0.2990,14,-1.0096,40,0.62104,7,-1.9226,28,0.05508,18,-0.6190,47,0.91490,20,-0.4660,32,0.25439,34,0.39377
ENSG00000084710,EFR3B,22,-1.5723,64,0.05601,53,-0.2271,49,-0.3448,91,0.69531,23,-1.4728,50,-0.3139,92,0.63396,76,0.33192,65,0.07815
ENSG00000119772,DNMT3A,44,0.99832,18,-0.4561,6,-1.8857,18,-0.3958,9,-1.5889,27,0.17578,17,-0.4651,36,0.65275,58,1.47729,22,-0.1666
ENSG00000138101,DTNB,27,-0.8834,27,-0.8871,23,-1.1705,38,-0.3877,54,0.15158,41,-0.2958,48,-0.0219,116,1.42081,72,0.61037,45,-0.1595
ENSG00000143970,ASXL2,58,1.15759,44,0.68863,30,0.07064,10,-1.5475,18,-0.7712,39,0.51904,25,-0.1732,31,0.14083,30,0.09668,19,-0.6676
ENSG00000084731,KIF3C,83,-1.6124,161,-0.6211,165,-0.5877,112,-1.1659,321,0.50868,236,-0.0316,331,0.50744,315,0.42602,300,0.34765,274,0.22234
ENSG00000084733,RAB10,84,-0.3978,163,0.65222,130,0.29111,110,0.02516,124,0.24054,126,0.23767,134,0.33662,113,0.06972,50,-1.1882,71,-0.7049
ENSG00000157833,GAREM2,23,-0.0078,39,0.81661,71,1.86197,44,0.99704,10,-1.3690,3,-2.8946,2,-3.2245,22,-0.1225,29,0.34356,14,-0.7999
ENSG00000084754,HADHA,154,1.06779,74,-0.1207,102,0.37810,89,0.16144,76,-0.0930,67,-0.2735,65,-0.3230,45,-0.8843,75,-0.1056,69,-0.2451
ENSG00000138029,HADHB,113,0.20035,211,1.24279,167,0.84727,262,1.63162,72,-0.5238,98,-0.0248,21,-2.3068,39,-1.3935,16,-2.7037,58,-0.8699
ENSG00000138018,SELENOI,30,-1.1870,23,-1.6094,39,-0.7964,62,-0.1005,64,-0.0665,118,0.93167,142,1.25146,69,0.06271,72,0.13445,56,-0.2819
ENSG00000171303,KCNK3,4,-1.9646,8,-1.0736,10,-0.7595,32,1.11714,20,0.37915,4,-2.0512,12,-0.4460,36,1.31198,16,-0.0300,16,-0.0298
ENSG00000213699,SLC35F6,20,-0.2296,6,-1.9115,47,1.14486,17,-0.4439,20,-0.2413,33,0.56432,13,-0.8290,30,0.39321,20,-0.1877,25,0.15349
ENSG00000157851,DPYSL5,136,2.22867,17,-1.1843,36,-0.0678,25,-0.6160,7,-2.6226,39,0.07453,35,-0.1078,33,-0.1757,30,-0.3656,43,0.22942
ENSG00000084764,MAPRE3,58,-1.2603,65,-1.0887,78,-0.8206,57,-1.2877,179,0.52425,158,0.26434,255,1.05151,166,0.33983,141,0.08283,133,-0.0047
ENSG00000119777,TMEM214,23,0.26328,10,-0.9072,59,1.86626,12,-0.7019,20,0.06922,7,-1.4122,17,-0.1508,6,-1.8071,24,0.31502,17,-0.2442
ENSG00000228474,OST4,87,-0.2674,168,0.78098,180,0.89566,168,0.77879,125,0.33671,45,-1.2743,41,-1.3886,79,-0.4140,28,-1.9483,97,-0.1052
ENSG00000138030,KHK,9,-0.7054,8,-0.9121,16,0.11312,14,-0.1161,17,0.24300,10,-0.5510,8,-0.8224,33,1.30749,17,0.26203,14,-0.1411
ENSG00000138028,CGREF1,6,-2.6830,25,-0.6874,11,-1.8463,65,0.82222,58,0.71034,37,-0.0887,48,0.33281,65,0.82364,22,-0.8756,36,-0.1179
ENSG00000138073,PREB,23,-0.3007,29,0.04145,39,0.52196,24,-0.2554,23,-0.3540,38,0.46081,43,0.66319,29,0.06440,11,-1.3931,28,0.00204
ENSG00000138074,SLC5A6,22,0.08363,21,-0.0149,20,-0.0848,12,-0.8178,14,-0.6753,51,1.44758,12,-0.8200,27,0.35192,21,-0.0259,20,-0.1060
ENSG00000138085,ATRAID,41,0.15939,55,0.62404,89,1.45346,63,0.85360,35,-0.1097,35,-0.0855,14,-1.4330,35,-0.1001,15,-1.3754,14,-1.5336
ENSG00000115194,SLC30A3,1,-4.9051,11,-2.3082,5,-3.2717,6,-3.0859,95,1.09431,12,-2.2044,52,-0.0203,117,1.32050,99,1.02308,69,0.47237
ENSG00000115204,MPV17,19,-0.8153,42,0.37086,51,0.69624,17,-1.0189,49,0.72975,41,0.33797,28,-0.2207,17,-0.9623,21,-0.7056,30,-0.1524
ENSG00000115207,GTF3C2,20,0.23609,16,-0.1077,15,-0.1997,13,-0.4062,27,0.78361,18,0.03808,24,0.54682,9,-1.0052,13,-0.4562,13,-0.5020
ENSG00000115211,EIF2B4,56,0.64112,57,0.67094,21,-0.8324,13,-1.5486,23,-0.7861,53,0.57330,37,0.00788,29,-0.3738,77,1.18415,28,-0.4580
ENSG00000115234,SNX17,66,-0.2072,67,-0.1753,67,-0.1728,37,-1.0607,102,0.55352,75,0.00603,77,0.04494,124,0.80967,54,-0.4955,64,-0.2759
ENSG00000115241,PPM1G,69,0.09680,65,-0.0115,38,-0.8425,46,-0.5416,55,-0.2832,57,-0.2232,112,0.87278,68,0.06566,86,0.44302,66,0.02054
ENSG00000115216,NRBP1,24,-1.4948,47,-0.4824,58,-0.1501,39,-0.7403,86,0.53088,48,-0.4496,149,1.40334,60,-0.1072,77,0.28982,47,-0.5250
ENSG00000138002,IFT172,15,-0.3420,22,0.22136,14,-0.4559,3,-2.5168,23,0.29823,43,1.28938,21,0.12025,15,-0.3557,17,-0.1695,17,-0.1892
ENSG00000115226,FNDC4,49,-0.6259,50,-0.5911,74,0.01699,94,0.40411,101,0.58364,47,-0.6924,58,-0.3673,80,0.14368,67,-0.1395,78,0.12095
ENSG00000243943,ZNF512,34,-0.2869,27,-0.6079,39,-0.0660,23,-0.8871,54,0.50877,56,0.49767,38,-0.0938,50,0.31418,43,0.08425,35,-0.2452
ENSG00000198522,GPN1,9,-0.9148,16,-0.0688,9,-1.0184,11,-0.6500,22,0.40332,28,0.79211,12,-0.4776,22,0.37820,18,0.06482,18,0.11025
ENSG00000119760,SUPT7L,26,-0.7908,16,-1.4523,45,0.06403,23,-0.9731,47,0.17107,96,1.32725,53,0.34312,50,0.24588,52,0.30494,30,-0.6126
ENSG00000163798,SLC4A1AP,72,-0.2442,37,-1.2496,92,0.14430,34,-1.3558,112,0.50449,65,-0.3992,163,1.07963,89,0.09251,104,0.33935,64,-0.4449
ENSG00000243147,MRPL33,64,-0.6026,75,-0.3480,118,0.35236,178,1.03572,136,0.65619,39,-1.3333,57,-0.7827,144,0.67447,52,-0.9137,67,-0.5750
ENSG00000158019,BABAM2,16,-0.9556,10,-1.6704,12,-1.3192,31,0.07755,48,0.86151,38,0.36859,43,0.58420,48,0.76713,20,-0.5935,22,-0.5194
ENSG00000075426,FOSL2,12,-1.0638,16,-0.6636,41,0.76379,33,0.39625,23,-0.1488,11,-1.2116,16,-0.6895,56,1.30119,17,-0.6119,27,0.13769
ENSG00000213639,PPP1CB,245,-0.4097,243,-0.4232,326,0.03225,316,-0.0163,416,0.47377,254,-0.3526,309,-0.0508,361,0.19636,301,-0.0904,321,0.00769
ENSG00000171103,TRMT61B,3,-2.5212,38,1.13477,26,0.48656,23,0.27617,31,0.88965,26,0.51935,7,-1.4275,10,-0.9036,1,-3.4659,15,-0.3824
ENSG00000163811,WDR43,104,1.79809,38,0.09665,16,-1.2134,0,-7.5526,18,-1.1330,40,0.17834,43,0.28393,37,0.05464,67,1.02651,24,-0.6368
ENSG00000115295,CLIP4,41,-0.4259,27,-1.0651,53,-0.0353,36,-0.6080,52,-0.0678,98,0.95457,27,-1.0398,91,0.84030,75,0.51934,49,-0.1852
ENSG00000119801,YPEL5,57,-1.2952,147,0.16546,130,-0.0308,94,-0.5374,178,0.52104,146,0.15379,143,0.11418,239,0.95364,56,-1.2989,112,-0.2811
ENSG00000213626,LBH,3,-2.7378,22,0.20724,33,0.86580,1,-3.4449,39,1.31418,8,-1.3184,3,-2.5984,19,-0.0292,38,1.08106,13,-0.6084
ENSG00000172954,LCLAT1,7,-1.4044,11,-0.7371,22,0.33622,2,-2.8335,17,-0.0567,47,1.57509,25,0.53404,24,0.44714,12,-0.5593,15,-0.2919
ENSG00000013016,EHD3,30,-1.8931,50,-1.1354,80,-0.4249,47,-1.2219,138,0.48371,142,0.47911,203,1.08105,94,-0.1635,105,0.00799,116,0.17589
ENSG00000162961,DPY30,54,0.10848,31,-0.7487,38,-0.4309,76,0.65568,74,0.68070,62,0.31190,43,-0.2660,28,-0.9006,21,-1.3313,53,0.08701
ENSG00000021574,SPAST,46,0.41932,32,-0.1773,26,-0.4889,28,-0.3581,34,-0.0724,60,0.84475,48,0.48415,30,-0.2548,31,-0.2047,28,-0.3795
ENSG00000119820,YIPF4,142,0.25535,75,-0.7239,122,0.01742,128,0.09058,94,-0.4209,133,0.15315,141,0.25067,159,0.44493,148,0.32451,105,-0.2296
ENSG00000115760,BIRC6,167,1.49565,20,-1.8590,81,0.28451,46,-0.5849,54,-0.3814,75,0.15607,105,0.69395,62,-0.1395,95,0.53791,28,-1.4422
ENSG00000119812,FAM98A,68,0.18884,35,-0.8103,26,-1.2636,62,0.05036,86,0.63197,63,0.06041,106,0.90765,29,-1.1283,79,0.42646,42,-0.5994
ENSG00000260025,CRIM1-DT,0,-8.8320,12,-1.0169,43,0.89931,7,-1.8692,30,0.38659,65,1.64004,35,0.56281,31,0.36437,13,-0.9554,13,-0.9887
ENSG00000150938,CRIM1,48,-0.9064,69,-0.3689,183,1.21807,49,-0.8906,70,-0.3747,78,-0.1741,155,0.93406,42,-1.0946,97,0.17002,92,0.10338
ENSG00000171055,FEZ2,141,0.47270,90,-0.2397,59,-0.8768,123,0.24532,86,-0.3345,89,-0.2520,138,0.43553,190,0.96601,108,0.05263,74,-0.5831
ENSG00000115808,STRN,180,2.11332,20,-1.4862,16,-1.7769,27,-1.0075,26,-1.1239,47,-0.1688,45,-0.2437,78,0.62450,64,0.29583,52,-0.0313
ENSG00000008869,HEATR5B,22,-0.1067,3,-2.9558,24,-0.0042,30,0.37617,31,0.46483,17,-0.5195,34,0.56325,34,0.59290,27,0.20728,16,-0.6654
ENSG00000152133,GPATCH11,81,0.77793,19,-1.4395,55,0.13622,16,-1.7050,49,-0.0324,37,-0.4611,81,0.76382,53,0.08195,81,0.76466,40,-0.3707
ENSG00000055332,EIF2AK2,126,0.36704,61,-0.7502,103,0.04605,133,0.45506,86,-0.2598,100,0.01263,131,0.43989,76,-0.4118,157,0.73169,69,-0.6202
ENSG00000218739,CEBPZOS,54,-0.0167,78,0.56425,46,-0.2467,31,-0.8519,49,-0.1874,75,0.51172,86,0.72487,55,0.01511,51,-0.0874,40,-0.5223
ENSG00000115816,CEBPZ,142,1.24199,49,-0.4604,73,0.14750,72,0.12475,51,-0.4587,50,-0.4571,49,-0.4821,64,-0.0663,91,0.50228,54,-0.3555
ENSG00000003509,NDUFAF7,9,-0.7426,7,-1.0890,19,0.45384,6,-1.3639,15,0.10668,20,0.49657,23,0.75797,23,0.72642,9,-0.6451,13,-0.1487
ENSG00000115828,QPCT,0,-6.1168,22,0.20021,12,-0.7162,19,0.00549,25,0.45966,44,1.35806,22,0.21543,26,0.48973,6,-1.6196,14,-0.4728
ENSG00000163171,CDC42EP3,1,-3.7103,5,-2.2646,9,-1.4125,13,-0.8537,35,0.71539,23,-0.0493,38,0.77118,59,1.52786,25,0.14144,18,-0.3888
ENSG00000119787,ATL2,15,-1.4629,24,-0.7895,37,-0.0991,23,-0.8126,35,-0.2321,43,0.12908,45,0.20679,83,1.20239,59,0.62533,39,-0.0301
ENSG00000143889,HNRNPLL,30,-0.5258,54,0.38029,32,-0.4501,47,0.14227,61,0.63853,55,0.38733,45,0.07760,69,0.77082,19,-1.1886,20,-1.2542
ENSG00000115875,SRSF7,63,-0.3388,47,-0.7966,74,-0.0918,116,0.63171,69,-0.2058,148,1.03635,84,0.11256,112,0.56590,72,-0.1334,43,-0.9884
ENSG00000163214,DHX57,13,-0.4224,3,-2.3713,26,0.63214,28,0.74591,12,-0.6609,8,-1.1833,35,1.12881,17,0.00155,25,0.58403,15,-0.2558
ENSG00000188010,MORN2,17,-1.0332,45,0.45403,37,0.18129,68,1.15923,45,0.54865,25,-0.4156,22,-0.6665,39,0.22945,25,-0.4386,16,-1.1816
ENSG00000115904,SOS1,43,0.18448,40,0.09187,38,0.01005,35,-0.1144,21,-0.9223,38,-0.0164,55,0.58168,30,-0.3695,71,1.02026,31,-0.3260
ENSG00000011566,MAP4K3,27,-0.5951,39,-0.0412,30,-0.4802,26,-0.6716,38,-0.1067,88,1.26328,73,0.95019,55,0.47088,40,-0.0094,16,-1.4782
ENSG00000231312,MAP4K3-DT,21,-1.2293,52,0.12530,34,-0.5248,38,-0.3462,29,-0.8326,120,1.52613,64,0.46603,43,-0.1716,67,0.53304,39,-0.3536
ENSG00000152154,TMEM178A,53,-1.3809,41,-1.7700,44,-1.6621,70,-0.9628,103,-0.4070,448,2.12477,196,0.64705,81,-0.7330,177,0.47528,129,-0.0261
ENSG00000183023,SLC8A1,108,-0.9607,99,-1.0929,66,-1.6863,156,-0.4013,145,-0.5590,462,1.36804,452,1.32652,167,-0.3005,288,0.56355,170,-0.2945
ENSG00000162878,PKDCC,8,-1.0147,10,-0.7246,4,-2.0461,0,-5.4261,12,-0.4595,34,1.21611,24,0.59530,35,1.26152,17,0.05234,19,0.26668
ENSG00000143924,EML4,25,0.47552,1,-4.1711,17,-0.1385,0,-4.8499,18,0.01153,62,2.07310,10,-0.9284,7,-1.4776,31,0.82970,15,-0.2665
ENSG00000115944,COX7A2L,98,-0.6754,98,-0.6689,110,-0.4922,154,0.03404,219,0.67144,183,0.30585,140,-0.1229,137,-0.1518,111,-0.4743,172,0.22516
ENSG00000057935,MTA3,23,-0.3628,17,-0.8695,13,-1.2613,34,0.23015,33,0.18232,39,0.44020,47,0.74790,40,0.46505,18,-0.7589,29,-0.0280
ENSG00000152518,ZFP36L2,100,1.05619,164,1.94080,163,1.93547,74,0.54353,10,-2.5003,24,-1.1780,8,-2.7574,5,-3.3251,11,-2.2642,29,-0.9521
ENSG00000138036,DYNC2LI1,20,-1.1286,45,0.07109,25,-0.8366,52,0.31469,26,-0.8223,133,1.93021,39,-0.1481,66,0.70743,44,0.04489,18,-1.3416
ENSG00000138095,LRPPRC,90,-0.1340,74,-0.4463,74,-0.4373,32,-1.6933,117,0.30411,160,0.77917,125,0.38672,131,0.46190,97,-0.0184,81,-0.3231
ENSG00000138032,PPM1B,77,-0.1630,77,-0.1548,160,1.02720,50,-0.8172,72,-0.2861,113,0.45047,107,0.36169,69,-0.3310,69,-0.3375,79,-0.1411
ENSG00000138078,PREPL,214,-1.6265,205,-1.6924,468,-0.4512,252,-1.3842,851,0.54970,870,0.52682,1105,0.92387,716,0.21358,767,0.32305,605,-0.0576
ENSG00000171132,PRKCE,36,-1.9802,72,-0.9300,54,-1.3781,80,-0.7717,113,-0.2825,260,1.09666,279,1.21737,156,0.25587,176,0.44350,129,-0.0578
ENSG00000116016,EPAS1,73,-0.3853,210,1.34167,312,2.07974,89,-0.0705,36,-1.5443,80,-0.2441,12,-2.9695,51,-0.9297,28,-1.8019,96,0.05973
ENSG00000119729,RHOQ,127,0.57727,100,0.19435,138,0.71862,194,1.29534,82,-0.1320,46,-0.9857,28,-1.7454,54,-0.7589,71,-0.3314,69,-0.4104
ENSG00000151665,PIGF,17,-0.0863,12,-0.5051,39,1.31992,41,1.37187,15,-0.2473,19,0.09228,5,-1.8614,13,-0.4814,18,0.05671,8,-1.1818
ENSG00000119878,CRIPT,92,0.95200,37,-0.4806,53,0.05715,61,0.29093,38,-0.5008,45,-0.2081,58,0.19055,52,0.03374,29,-0.8474,55,0.12206
ENSG00000171150,SOCS5,25,-0.7917,31,-0.4828,73,0.90257,31,-0.4716,43,0.03717,36,-0.2411,44,0.06342,35,-0.2540,48,0.22518,47,0.20076
ENSG00000180398,MCFD2,51,-0.7384,119,0.57944,57,-0.5759,99,0.29257,101,0.35826,78,-0.0907,99,0.28970,113,0.50008,41,-1.0743,66,-0.3823
ENSG00000143933,CALM2,966,-0.9352,1177,-0.6352,1418,-0.3490,1160,-0.6566,2719,0.77835,2221,0.35798,2697,0.67431,1947,0.14761,1135,-0.6905,1563,-0.2159
ENSG00000095002,MSH2,21,-0.7477,5,-2.8699,33,-0.0300,51,0.65587,44,0.49127,49,0.59669,52,0.68732,32,-0.0975,42,0.34049,16,-1.2060
ENSG00000184261,KCNK12,9,-1.6679,41,0.51894,25,-0.2618,41,0.53903,34,0.28859,17,-0.8254,21,-0.5249,38,0.40260,22,-0.4523,34,0.28236
ENSG00000116062,MSH6,39,0.65450,22,-0.2522,31,0.30095,16,-0.7507,29,0.20979,27,0.09626,43,0.83037,16,-0.6849,34,0.42150,11,-1.3175
ENSG00000138081,FBXO11,45,-1.1290,37,-1.4003,76,-0.3328,85,-0.1616,98,0.06067,148,0.72639,194,1.18158,125,0.45146,102,0.12444,62,-0.7047
ENSG00000170802,FOXN2,106,2.86388,7,-1.5845,32,0.61069,2,-3.3079,17,-0.4172,15,-0.5431,18,-0.2648,14,-0.6569,16,-0.4690,8,-1.5038
ENSG00000162869,PPP1R21,55,0.13926,22,-1.2676,57,0.17764,13,-1.9653,66,0.47447,27,-0.9688,64,0.36144,102,1.13137,67,0.43509,35,-0.6268
ENSG00000179915,NRXN1,138,-1.6942,267,-0.7059,465,0.15491,326,-0.4006,429,0.03309,449,0.10216,616,0.61043,803,1.05400,467,0.16266,333,-0.3984
ENSG00000115239,ASB3,35,-0.0169,39,0.13745,34,-0.0718,42,0.22955,33,-0.1229,41,0.20274,56,0.69524,31,-0.2411,50,0.52111,18,-1.0932
ENSG00000068912,ERLEC1,96,-0.4575,42,-1.6838,91,-0.5508,132,0.02535,147,0.22627,174,0.47345,247,1.05009,230,0.93058,76,-0.8247,86,-0.6845
ENSG00000068878,PSME4,67,1.41998,15,-0.9306,25,-0.1839,9,-1.6974,12,-1.4033,71,1.53291,24,-0.2389,14,-1.0894,50,0.91871,20,-0.5562
ENSG00000170634,ACYP2,78,-0.3840,53,-0.9620,119,0.26828,146,0.60362,183,1.12500,110,0.15426,55,-0.9278,46,-1.1774,48,-1.1142,90,-0.1795
ENSG00000115306,SPTBN1,873,0.37575,724,0.07695,741,0.11416,586,-0.2529,631,-0.1532,483,-0.5512,817,0.26971,664,-0.0602,638,-0.1207,743,0.12995
ENSG00000214595,EML6,16,-0.8093,20,-0.4644,8,-1.8915,11,-1.3914,12,-1.2820,102,2.27655,20,-0.5029,45,0.77827,55,1.11423,15,-1.0145
ENSG00000115310,RTN4,1776,0.29939,863,-0.8219,1063,-0.5037,830,-0.8810,1752,0.30892,1193,-0.3264,2217,0.65994,2533,0.88232,1513,0.04415,1078,-0.5227
ENSG00000143947,RPS27A,1099,0.53121,1367,0.89419,626,-0.3591,1377,0.90569,957,0.34302,498,-0.7091,367,-1.1713,647,-0.3087,186,-2.1794,689,-0.2292
ENSG00000085760,MTIF2,45,0.43255,33,-0.0542,23,-0.6126,24,-0.5759,40,0.26721,14,-1.3394,42,0.29901,33,-0.0777,52,0.66076,33,-0.0450
ENSG00000115355,CCDC88A,1750,2.13313,233,-1.1982,372,-0.4923,358,-0.5507,161,-1.8529,668,0.42704,423,-0.2965,317,-0.7390,1306,1.57178,193,-1.5736
ENSG00000163001,CFAP36,90,-0.5462,65,-1.0429,98,-0.4169,82,-0.6929,176,0.55944,149,0.23010,177,0.51020,167,0.41761,157,0.31651,103,-0.3759
ENSG00000275052,PPP4R3B,96,0.36047,37,-1.0885,90,0.25236,152,1.12608,58,-0.4552,73,-0.0815,65,-0.2438,82,0.11292,77,0.00941,64,-0.2951
ENSG00000138035,PNPT1,85,1.58368,20,-0.7597,26,-0.3510,27,-0.3081,20,-0.7848,88,1.64752,34,0.05618,15,-1.1683,42,0.40078,8,-2.1932
ENSG00000115380,EFEMP1,56,-0.1138,44,-0.4937,359,3.41304,137,1.35185,17,-1.9519,37,-0.7581,3,-4.1882,3,-4.4020,10,-2.6380,21,-1.7061
ENSG00000055813,CCDC85A,3,-4.0968,31,-0.9462,37,-0.6656,36,-0.7088,75,0.48214,87,0.66870,56,-0.0222,98,0.87095,50,-0.2105,69,0.32714
ENSG00000115392,FANCL,43,1.09517,2,-3.2301,14,-0.6328,19,-0.2252,6,-1.8573,78,2.19433,22,0.05413,31,0.56910,6,-1.8452,16,-0.4942
ENSG00000119866,BCL11A,53,-0.8522,47,-1.0242,24,-2.0302,51,-0.9105,60,-0.7263,291,1.96336,135,0.60673,91,-0.0157,114,0.33869,91,-0.0218
ENSG00000115421,PAPOLG,18,-0.1683,23,0.25522,6,-1.6932,17,-0.1810,18,-0.1414,21,0.09201,35,0.94123,18,-0.1025,18,-0.1247,21,0.13663
ENSG00000162929,KIAA1841,30,-0.0566,33,0.08061,15,-1.1313,17,-0.9047,20,-0.7685,39,0.35609,63,1.13692,11,-1.5682,71,1.32782,29,-0.1324
ENSG00000237651,C2orf74,56,0.41253,37,-0.2623,43,-0.0057,15,-1.5973,59,0.53581,32,-0.4664,54,0.34715,35,-0.3315,48,0.15776,42,-0.0726
ENSG00000115464,USP34,150,0.50681,86,-0.3675,140,0.39220,65,-0.7883,98,-0.1902,119,0.13943,79,-0.4973,92,-0.2653,226,1.18791,79,-0.5441
ENSG00000082898,XPO1,74,-0.3192,68,-0.4688,111,0.30690,131,0.57030,71,-0.4330,169,0.99677,93,0.01893,96,0.07178,95,0.05703,60,-0.6960
